id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/8/value,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/12/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2818701379,6,1,1,0,25,5h878vnmkbuy2ummddprusxgq,1,36.3,93.6,2025-05-25T02:37:13.369Z,2025-05-25T02:37:14Z,2mgcta30puk8kuwb5mo4zvcnp,A. Moreno,,,5749038419,140,26.9,5749038425,213,2.94,5749038423,212,10.1,5749038421,141,96.5,5749038417,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818701385,7,1,1,0,26,5h878vnmkbuy2ummddprusxgq,0,26.9,96.5,2025-05-25T02:37:14.489Z,2025-05-25T02:37:18Z,6fgxgq77v66va16tcuqvyn6x,Gabi Torres,,,5749038459,140,31.0,5749038535,236,,5749038463,212,4.5,5749038467,1,,5749038461,141,94.8,5749038541,286,,5749038537,233,6,5749038465,213,6.02,5749038453,157,5749038457,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,
2818701397,6,74,1,0,26,7c9knuwazz9k9449u5rnuuy5m,1,67.5,2.5,2025-05-25T02:37:14.490Z,2025-05-25T04:16:10Z,40qi53orb0eur2jevowkvrcb8,P. Leal,,,5749038543,233,7,5749038515,56,Right,5749038517,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818701403,7,5,1,0,28,7c9knuwazz9k9449u5rnuuy5m,0,69.4,-1.6,2025-05-25T02:37:16.744Z,2025-05-25T04:41:14Z,4nwnrf33mdxscx5rdaw1529cl,Y. Boudadi,,,5749038547,56,Right,5749038669,233,8,5749038549,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818701419,8,5,1,0,28,5h878vnmkbuy2ummddprusxgq,1,30.6,101.6,2025-05-25T02:37:16.744Z,2025-05-25T04:41:14Z,6fgxgq77v66va16tcuqvyn6x,Gabi Torres,,,5749038659,347,,5749038657,56,Back,5749038665,233,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818701539,9,1,1,1,6,5h878vnmkbuy2ummddprusxgq,1,19.9,100.0,2025-05-25T02:37:54.449Z,2025-05-25T02:37:55Z,7vs1eqm82fwwuhwfqodb3dyw9,R. Ruiz,,,5749039421,140,21.4,5749039417,107,,5749039427,213,4.84,5749039423,141,84.1,5749039419,56,Back,5749039425,212,12.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818701547,10,1,1,1,7,5h878vnmkbuy2ummddprusxgq,1,21.4,84.1,2025-05-25T02:37:55.361Z,2025-05-25T04:45:38Z,7ajceczjsu9ci4nqv9gg2860a,F. Daroma,,,5749039471,213,1.19,5749039467,141,96.8,5749039463,56,Back,5749039465,140,24.7,5749039469,212,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818701575,11,1,1,1,9,5h878vnmkbuy2ummddprusxgq,1,24.7,96.8,2025-05-25T02:37:57.761Z,2025-05-25T02:38:01Z,7vs1eqm82fwwuhwfqodb3dyw9,R. Ruiz,,,5749039617,56,Back,5749039621,141,88.6,5749039623,212,10.7,5749039619,140,33.4,5749039625,213,5.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818701577,12,1,1,1,12,5h878vnmkbuy2ummddprusxgq,0,33.4,88.6,2025-05-25T02:38:01.298Z,2025-05-25T04:45:47Z,6fgxgq77v66va16tcuqvyn6x,Gabi Torres,,,5749039629,56,Back,5749043735,233,8,5749043739,286,,5749039635,212,0.4,5749043733,236,,5749039633,141,88.1,5749039637,213,5.01,5749039631,140,33.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818701621,8,74,1,1,12,7c9knuwazz9k9449u5rnuuy5m,1,64.1,13.3,2025-05-25T02:38:01.299Z,2025-05-25T04:16:10Z,40qi53orb0eur2jevowkvrcb8,P. Leal,,,5749043709,56,Right,5749043745,233,12,5749043711,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818701625,9,1,1,1,14,7c9knuwazz9k9449u5rnuuy5m,1,67.7,17.6,2025-05-25T02:38:02.334Z,2025-05-25T02:41:18Z,f3ftrudyp33naykboqmua0jro,J. Rodriguez,,,5749044579,212,8.7,5749044581,213,2.83,5749044577,141,21.5,5749044575,140,59.8,5749044573,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818701633,11,1,1,1,15,7c9knuwazz9k9449u5rnuuy5m,1,62.1,16.6,2025-05-25T02:38:03.655Z,2025-05-25T02:41:43Z,f3ftrudyp33naykboqmua0jro,J. Rodriguez,,,5749045125,56,Center,5749045129,141,24.6,5749045127,140,61.5,5749045133,213,1.69,5749045131,212,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818701635,12,1,1,1,23,7c9knuwazz9k9449u5rnuuy5m,1,61.8,35.6,2025-05-25T02:38:11.791Z,2025-05-25T02:41:55Z,65jctzcct9irz3wre08c2v2wa,E. Azcona,,,5749045551,140,60.1,5749045557,213,4.54,5749045555,212,10.4,5749045553,141,20.5,5749045549,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818701637,13,1,1,1,23,7c9knuwazz9k9449u5rnuuy5m,1,60.7,24.8,2025-05-25T02:38:11.975Z,2025-05-25T02:42:08Z,40qi53orb0eur2jevowkvrcb8,P. Leal,,,5749045829,212,22.3,5749045827,141,18.4,5749045825,140,39.9,5749045823,56,Back,5749045831,213,3.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818701643,14,1,1,1,23,7c9knuwazz9k9449u5rnuuy5m,1,26.5,15.0,2025-05-25T02:38:12.119Z,2025-05-25T02:42:20Z,8i5k1tx7x5hx4kk3qzyvrfj84,E. Gärtig,,,5749046177,141,5.8,5749046173,56,Right,5749046175,140,61.0,5749046183,1,,5749046181,213,6.11,5749046179,212,36.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818703265,66,1,1,1,24,7c9knuwazz9k9449u5rnuuy5m,1,55.1,4.1,2025-05-25T02:38:12.622Z,2025-05-25T03:03:06Z,4nwnrf33mdxscx5rdaw1529cl,Y. Boudadi,,,5749050049,213,1.08,5749050045,141,16.4,5749050041,56,Right,5749050043,140,59.4,5749050047,212,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818701659,15,1,1,1,25,7c9knuwazz9k9449u5rnuuy5m,0,70.8,17.6,2025-05-25T02:38:13.896Z,2025-05-25T02:38:16Z,9elhnfsovx9efu5f92mkkls7o,C. Pearson,,,5749039955,212,43.7,5749039947,155,,5749039959,1,,5749039957,213,0.78,5749039953,141,62.7,5749039951,140,100.0,5749039945,2,,5749039949,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818701699,13,5,1,1,27,5h878vnmkbuy2ummddprusxgq,1,-0.8,37.8,2025-05-25T02:38:16.136Z,2025-05-25T04:41:14Z,8gy9wgqywaqi9uy6i31i0q21h,A. Ortíz,,,5749040901,233,16,5749040155,56,Back,5749040157,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818701847,16,5,1,1,27,7c9knuwazz9k9449u5rnuuy5m,0,100.8,62.2,2025-05-25T02:38:16.136Z,2025-05-25T04:41:15Z,9elhnfsovx9efu5f92mkkls7o,C. Pearson,,,5749040905,233,13,5749040895,346,,5749040893,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818701717,14,1,1,1,37,5h878vnmkbuy2ummddprusxgq,1,3.7,42.5,2025-05-25T02:38:25.761Z,2025-05-25T02:38:29Z,cuw4kvdf0bazq87mh3dwv71ii,S. Mora-Mora,,,5749040251,56,Back,5749040257,212,17.4,5749040253,140,9.6,5749040249,124,,5749040263,237,,5749040255,141,66.4,5749040259,213,1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818701737,15,1,1,1,40,5h878vnmkbuy2ummddprusxgq,1,12.7,73.3,2025-05-25T02:38:29.242Z,2025-05-25T02:38:32Z,2mxaagzu9rb92z9880yjllbzd,W. Ackwei,,,5749040333,56,Back,5749040337,141,97.1,5749040335,140,28.1,5749040341,213,0.79,5749040339,212,22.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818701749,16,1,1,1,44,5h878vnmkbuy2ummddprusxgq,1,28.1,97.1,2025-05-25T02:38:32.410Z,2025-05-25T02:38:33Z,6fgxgq77v66va16tcuqvyn6x,Gabi Torres,,,5749040393,56,Back,5749040397,141,91.2,5749040399,212,10.9,5749040395,140,18.4,5749040401,213,3.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818701773,17,1,1,1,45,5h878vnmkbuy2ummddprusxgq,1,18.4,91.2,2025-05-25T02:38:33.529Z,2025-05-25T02:38:38Z,7vs1eqm82fwwuhwfqodb3dyw9,R. Ruiz,,,5749040501,56,Back,5749040503,140,10.9,5749040507,212,43.7,5749040511,1,,5749040505,141,28.0,5749040499,196,,5749040509,213,4.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818701805,18,1,1,1,50,5h878vnmkbuy2ummddprusxgq,1,12.2,28.8,2025-05-25T02:38:38.593Z,2025-05-25T02:38:45Z,8gy9wgqywaqi9uy6i31i0q21h,A. Ortíz,,,5749040677,140,15.5,5749040679,141,69.6,5749040683,213,1.45,5749040681,212,28.0,5749040675,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818701815,19,1,1,1,56,5h878vnmkbuy2ummddprusxgq,1,27.3,81.5,2025-05-25T02:38:44.914Z,2025-05-25T02:38:46Z,2mxaagzu9rb92z9880yjllbzd,W. Ackwei,,,5749040739,56,Back,5749040741,140,40.8,5749040745,212,14.3,5749040747,213,6.17,5749040743,141,79.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818701821,20,1,1,1,57,5h878vnmkbuy2ummddprusxgq,1,40.8,79.1,2025-05-25T02:38:46.018Z,2025-05-25T02:38:47Z,7ctc1xui7wk89o5v00z8ijqw9,E. Calvillo,,,5749040777,140,24.7,5749040775,56,Back,5749040779,141,93.5,5749040781,212,19.5,5749040783,213,2.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818701825,21,1,1,1,59,5h878vnmkbuy2ummddprusxgq,1,24.6,93.5,2025-05-25T02:38:47.625Z,2025-05-25T02:38:49Z,7vs1eqm82fwwuhwfqodb3dyw9,R. Ruiz,,,5749040799,213,0.20,5749040791,56,Back,5749040793,140,37.1,5749040797,212,13.4,5749040795,141,97.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818701833,22,1,1,2,0,5h878vnmkbuy2ummddprusxgq,0,37.1,97.5,2025-05-25T02:38:48.810Z,2025-05-25T02:38:50Z,6fgxgq77v66va16tcuqvyn6x,Gabi Torres,,,5749040839,141,69.4,5749040843,213,5.54,5749040841,212,28.3,5749040835,56,Center,5749040837,140,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818701873,23,83,1,2,6,5h878vnmkbuy2ummddprusxgq,0,55.7,63.3,2025-05-25T02:38:54.921Z,2025-05-25T04:46:19Z,cqmvrx028gh19yh8qh7w01y0a,R. Avila,,,5749041077,399,9elhnfsovx9efu5f92mkkls7o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818701883,18,1,1,2,7,7c9knuwazz9k9449u5rnuuy5m,1,53.6,46.1,2025-05-25T02:38:55.519Z,2025-05-25T02:38:57Z,9elhnfsovx9efu5f92mkkls7o,C. Pearson,,,5749041065,212,17.9,5749041067,213,0.57,5749041063,141,60.2,5749041061,140,68.0,5749041059,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818701885,19,61,1,2,8,7c9knuwazz9k9449u5rnuuy5m,0,68.0,60.2,2025-05-25T02:38:57.087Z,2025-05-25T02:38:57Z,e6gr1t1rp2x7waywgzlrj8yqx,V. Noël,,,5749041075,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818701931,25,1,1,2,10,5h878vnmkbuy2ummddprusxgq,1,28.9,81.2,2025-05-25T02:38:58.530Z,2025-05-25T02:39:04Z,7vs1eqm82fwwuhwfqodb3dyw9,R. Ruiz,,,5749041279,56,Back,5749041287,213,0.62,5749041283,141,96.2,5749041285,212,17.6,5749041281,140,42.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818701941,26,1,1,2,16,5h878vnmkbuy2ummddprusxgq,1,58.5,92.3,2025-05-25T02:39:04.674Z,2025-05-25T02:39:07Z,6fgxgq77v66va16tcuqvyn6x,Gabi Torres,,,5749041339,56,Back,5749041347,213,3.48,5749041345,212,10.1,5749041343,141,87.4,5749041341,140,49.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818701951,27,1,1,2,18,5h878vnmkbuy2ummddprusxgq,1,52.8,88.4,2025-05-25T02:39:06.971Z,2025-05-25T04:46:42Z,7ctc1xui7wk89o5v00z8ijqw9,E. Calvillo,,,5749041391,56,Back,5749041393,140,39.6,5749041397,212,13.9,5749041399,213,3.09,5749041395,141,89.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818701965,28,1,1,2,21,5h878vnmkbuy2ummddprusxgq,1,39.0,87.4,2025-05-25T02:39:10.034Z,2025-05-25T02:39:12Z,7vs1eqm82fwwuhwfqodb3dyw9,R. Ruiz,,,5749041493,213,5.24,5749041491,212,46.5,5749041487,140,61.1,5749041483,155,,5749041495,1,,5749041485,56,Center,5749041489,141,28.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818702005,29,1,1,2,23,5h878vnmkbuy2ummddprusxgq,1,59.9,24.3,2025-05-25T02:39:12.322Z,2025-05-25T02:48:03Z,7ll9dqayz9698v71x2pvgrspg,Á. Quezada,,,5749041721,212,30.3,5749041717,140,31.5,5749041723,213,3.32,5749041719,141,16.2,5749041715,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818702007,30,43,1,2,31,5h878vnmkbuy2ummddprusxgq,1,0.0,0.0,2025-05-25T02:39:19.938Z,2025-05-25T02:39:26Z,3lndo247f4br8t6xxdvlij4a2,W. Cabrera,,,5749041857,144,50,5749041727,56,Center,5749041729,286,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818704651,127,1,1,2,31,5h878vnmkbuy2ummddprusxgq,1,31.3,25.6,2025-05-25T02:39:20.023Z,2025-05-25T02:49:02Z,8gy9wgqywaqi9uy6i31i0q21h,A. Ortíz,,,5749057539,213,0.25,5749057531,56,Center,5749057537,212,27.2,5749057535,141,35.6,5749057533,140,56.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818702039,31,4,1,2,33,5h878vnmkbuy2ummddprusxgq,1,60.5,24.0,2025-05-25T02:39:21.568Z,2025-05-25T04:15:42Z,3lndo247f4br8t6xxdvlij4a2,W. Cabrera,,,5749041915,286,,5749041907,13,,5749051031,233,20,5749041909,56,Center,5749041913,265,,5749041911,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818702015,20,4,1,2,33,7c9knuwazz9k9449u5rnuuy5m,0,39.5,76.0,2025-05-25T02:39:21.569Z,2025-05-25T04:15:42Z,65jctzcct9irz3wre08c2v2wa,E. Azcona,,,5749051039,233,31,5749041783,56,Back,5749041787,265,,5749041781,13,,5749041789,285,,5749041785,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818702089,32,1,1,2,48,5h878vnmkbuy2ummddprusxgq,1,60.4,24.0,2025-05-25T02:39:37.042Z,2025-05-25T02:39:37Z,8gy9wgqywaqi9uy6i31i0q21h,A. Ortíz,,,5749042125,56,Center,5749042129,141,29.2,5749042133,213,1.20,5749042131,212,3.8,5749042121,5,,5749042127,140,61.7,5749042123,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818702093,33,1,1,2,49,5h878vnmkbuy2ummddprusxgq,1,61.7,29.2,2025-05-25T02:39:37.715Z,2025-05-25T04:46:35Z,7ajceczjsu9ci4nqv9gg2860a,F. Daroma,,,5749042159,213,4.13,5749042155,141,20.1,5749042157,212,7.4,5749042153,140,57.8,5749042151,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818702109,34,1,1,2,50,5h878vnmkbuy2ummddprusxgq,1,57.8,20.1,2025-05-25T02:39:38.482Z,2025-05-25T02:39:40Z,8gy9wgqywaqi9uy6i31i0q21h,A. Ortíz,,,5749042239,141,7.0,5749042233,56,Right,5749042237,140,66.3,5749042243,213,5.50,5749042241,212,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818702143,35,1,1,2,52,5h878vnmkbuy2ummddprusxgq,1,66.2,7.0,2025-05-25T02:39:40.755Z,2025-05-25T02:39:45Z,7ll9dqayz9698v71x2pvgrspg,Á. Quezada,,,5749042375,212,27.8,5749042377,213,2.91,5749042373,141,16.5,5749042371,140,40.4,5749042367,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818702175,36,1,1,2,58,5h878vnmkbuy2ummddprusxgq,1,37.2,19.8,2025-05-25T02:39:46.883Z,2025-05-25T02:39:49Z,8gy9wgqywaqi9uy6i31i0q21h,A. Ortíz,,,5749042491,56,Center,5749042497,212,21.1,5749042493,140,55.8,5749042495,141,31.5,5749042499,213,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818702179,37,61,1,3,0,5h878vnmkbuy2ummddprusxgq,0,57.2,30.1,2025-05-25T02:39:49.059Z,2025-05-25T02:39:53Z,7ajceczjsu9ci4nqv9gg2860a,F. Daroma,,,5749042515,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818702195,22,1,1,3,3,7c9knuwazz9k9449u5rnuuy5m,1,37.0,73.9,2025-05-25T02:39:51.392Z,2025-05-25T02:39:53Z,65jctzcct9irz3wre08c2v2wa,E. Azcona,,,5749042589,56,Back,5749042597,213,2.62,5749042595,212,19.5,5749042593,141,88.1,5749042591,140,20.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818702227,23,1,1,3,4,7c9knuwazz9k9449u5rnuuy5m,1,20.9,88.1,2025-05-25T02:39:53.008Z,2025-05-25T02:39:58Z,20z2nx7xh9mgty7qp6xur14yy,G. Nigro,,,5749042741,140,14.2,5749042743,141,71.8,5749042747,213,4.15,5749042745,212,13.1,5749042739,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
