id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/15/value,qualifier/11/value,qualifier/13/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId
2822657331,6,5,1,0,9,224tl8u2smnbyliroayk69nt0,1,70.2,-0.8,2025-06-14T23:06:39.572Z,2025-06-15T00:08:52Z,8pli7fk5kjmt0f9pl6sjsltuy,P. Barnes,,,5771210229,347,,5771210227,56,Right,5771210233,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657341,7,1,1,0,12,224tl8u2smnbyliroayk69nt0,1,70.0,0.0,2025-06-14T23:06:42.209Z,2025-06-14T23:06:43Z,8pli7fk5kjmt0f9pl6sjsltuy,P. Barnes,,,5771210279,56,Right,5771210283,141,9.4,5771210277,107,,5771210285,212,7.6,5771210287,213,1.42,5771210281,140,71.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657345,8,1,1,0,13,224tl8u2smnbyliroayk69nt0,1,70.4,9.5,2025-06-14T23:06:43.409Z,2025-06-14T23:06:45Z,1l26kd7tulii6x999b3fdxi0a,B. Sample,,,5771210297,141,5.6,5771210295,140,77.2,5771210293,56,Right,5771210299,212,7.6,5771210301,213,5.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657355,9,1,1,0,15,224tl8u2smnbyliroayk69nt0,1,76.2,7.6,2025-06-14T23:06:45.185Z,2025-06-14T23:06:46Z,8pli7fk5kjmt0f9pl6sjsltuy,P. Barnes,,,5771210361,213,2.68,5771210357,141,13.8,5771210355,140,68.2,5771210353,56,Right,5771210359,212,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657365,10,1,1,0,16,224tl8u2smnbyliroayk69nt0,1,69.4,13.8,2025-06-14T23:06:46.585Z,2025-06-14T23:06:47Z,1l26kd7tulii6x999b3fdxi0a,B. Sample,,,5771210413,212,3.8,5771210409,140,71.9,5771210407,56,Right,5771210415,213,5.47,5771210411,141,9.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657381,11,61,1,0,17,224tl8u2smnbyliroayk69nt0,0,71.9,9.7,2025-06-14T23:06:47.353Z,2025-06-14T23:11:28Z,8pli7fk5kjmt0f9pl6sjsltuy,P. Barnes,,,5771210503,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657421,6,5,1,0,20,8cpjplodpphtkbt0hq8sr8mqs,1,35.9,101.4,2025-06-14T23:06:50.292Z,2025-06-15T00:08:52Z,2pka62t1zg04jwkcx6zbc4wlw,F. McRobb,,,5771210761,347,,5771210781,233,12,5771210759,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657385,12,5,1,0,20,224tl8u2smnbyliroayk69nt0,0,64.1,-1.4,2025-06-14T23:06:50.292Z,2025-06-15T00:08:53Z,8pli7fk5kjmt0f9pl6sjsltuy,P. Barnes,,,5771210789,233,6,5771210523,347,,5771210521,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657439,7,1,1,0,31,8cpjplodpphtkbt0hq8sr8mqs,1,37.2,100.0,2025-06-14T23:07:00.869Z,2025-06-14T23:07:04Z,2pka62t1zg04jwkcx6zbc4wlw,F. McRobb,,,5771210901,212,18.2,5771210897,140,22.5,5771210895,56,Back,5771210903,213,3.70,5771210893,107,,5771210899,141,87.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657449,8,1,1,0,34,8cpjplodpphtkbt0hq8sr8mqs,1,21.4,86.6,2025-06-14T23:07:04.620Z,2025-06-14T23:07:08Z,54yx5xkqrktd2hp0sxjx6hm8l,J. Musa,,,5771210981,56,Back,5771210983,140,3.9,5771210989,213,3.89,5771210987,212,25.1,5771210985,141,61.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657457,9,1,1,0,38,8cpjplodpphtkbt0hq8sr8mqs,1,3.7,66.1,2025-06-14T23:07:08.690Z,2025-06-14T23:07:11Z,d38osra1p83cgtmrwqt6w60yy,H. Sulte,,,5771211033,56,Left,5771211039,212,60.4,5771211041,213,0.28,5771211035,140,59.0,5771211037,141,90.5,5771211031,157,,5771211043,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657461,10,44,1,0,40,8cpjplodpphtkbt0hq8sr8mqs,1,61.4,78.9,2025-06-14T23:07:10.368Z,2025-06-15T00:12:43Z,5fhb206czgy2ul5j0tsqeo7ah,E. Amoh,,,5771211065,233,13,5771211063,286,,5771211061,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657455,13,44,1,0,40,224tl8u2smnbyliroayk69nt0,0,38.6,21.1,2025-06-14T23:07:10.369Z,2025-06-15T00:12:43Z,c8nk2hg1xy4h4646ajpq65dnu,I. Osumanu,,,5771211013,56,Back,5771211015,285,,5771211073,233,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657467,11,1,1,0,41,8cpjplodpphtkbt0hq8sr8mqs,1,59.2,90.5,2025-06-14T23:07:11.003Z,2025-06-15T01:10:48Z,5fhb206czgy2ul5j0tsqeo7ah,E. Amoh,,,5771211097,141,73.0,5771211095,140,40.8,5771211093,56,Back,5771211099,212,22.7,5771211101,213,3.69,5771217039,156,,5771211091,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657473,12,1,1,0,44,8cpjplodpphtkbt0hq8sr8mqs,1,40.8,73.0,2025-06-14T23:07:14.259Z,2025-06-14T23:07:16Z,e93nozniig2wriw9doit6a4tl,J. Murphy,,,5771211133,140,52.9,5771211139,213,0.72,5771211135,141,89.4,5771211137,212,16.9,5771211129,3,,5771211131,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657483,13,1,1,0,46,8cpjplodpphtkbt0hq8sr8mqs,1,52.9,89.4,2025-06-14T23:07:16.080Z,2025-06-14T23:11:35Z,9tispdm7tc3te31awsfcmd905,A. Quinn,,,5771211203,213,3.91,5771211201,212,15.9,5771218987,156,,5771211197,140,42.0,5771211195,56,Back,5771211199,141,73.2,5771211193,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657477,14,43,1,0,46,224tl8u2smnbyliroayk69nt0,1,0.0,0.0,2025-06-14T23:07:16.626Z,2025-06-15T22:37:29Z,c8nk2hg1xy4h4646ajpq65dnu,I. Osumanu,,,5771211303,399,e93nozniig2wriw9doit6a4tl,5772886745,144,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657487,14,1,1,0,47,8cpjplodpphtkbt0hq8sr8mqs,1,42.2,72.9,2025-06-14T23:07:17.660Z,2025-06-15T01:32:35Z,e93nozniig2wriw9doit6a4tl,J. Murphy,,,5771211251,140,67.4,5771211249,56,Center,5771211255,212,26.6,5771211257,213,0.09,5771211253,141,76.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657493,15,1,1,0,49,8cpjplodpphtkbt0hq8sr8mqs,1,67.4,76.3,2025-06-14T23:07:19.428Z,2025-06-14T23:07:20Z,5fhb206czgy2ul5j0tsqeo7ah,E. Amoh,,,5771211287,213,2.39,5771211285,212,18.3,5771211279,56,Left,5771211283,141,94.7,5771211281,140,54.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657495,16,1,1,0,50,8cpjplodpphtkbt0hq8sr8mqs,1,54.7,94.7,2025-06-14T23:07:20.355Z,2025-06-14T23:07:22Z,2pka62t1zg04jwkcx6zbc4wlw,F. McRobb,,,5771211291,56,Back,5771211297,212,12.8,5771211295,141,83.5,5771211293,140,44.9,5771211299,213,3.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657511,17,1,1,0,52,8cpjplodpphtkbt0hq8sr8mqs,1,44.9,83.5,2025-06-14T23:07:22.235Z,2025-06-15T01:32:36Z,e93nozniig2wriw9doit6a4tl,J. Murphy,,,5771211365,213,3.35,5771211363,212,17.4,5771211359,140,28.7,5771211357,56,Back,5771211361,141,78.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657521,18,1,1,0,54,8cpjplodpphtkbt0hq8sr8mqs,1,29.8,75.7,2025-06-14T23:07:24.555Z,2025-06-14T23:07:26Z,54yx5xkqrktd2hp0sxjx6hm8l,J. Musa,,,5771211441,140,27.2,5771211445,212,17.6,5771211447,213,4.56,5771211443,141,50.1,5771211439,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657535,19,1,1,0,56,8cpjplodpphtkbt0hq8sr8mqs,1,26.5,46.7,2025-06-14T23:07:26.187Z,2025-06-14T23:07:27Z,97d0drjb3zqkh5ozfufg17nys,P. Hogan,,,5771211521,56,Back,5771211529,213,5.87,5771211523,140,38.7,5771211525,141,38.5,5771211527,212,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657547,20,1,1,0,57,8cpjplodpphtkbt0hq8sr8mqs,1,38.9,37.9,2025-06-14T23:07:27.851Z,2025-06-14T23:07:30Z,blts89a19itip4gjeagcwc1xx,C. Lindley,,,5771211581,212,18.2,5771211575,56,Back,5771211577,140,27.9,5771211579,141,17.3,5771211583,213,4.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657563,21,1,1,1,0,8cpjplodpphtkbt0hq8sr8mqs,1,28.6,15.0,2025-06-14T23:07:29.908Z,2025-06-14T23:07:32Z,arxprecroj7kqwx1tmkhhfsdm,B. Ofeimu,,,5771211653,213,1.63,5771211649,141,47.8,5771211651,212,22.3,5771211647,140,27.4,5771211645,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657573,22,1,1,1,2,8cpjplodpphtkbt0hq8sr8mqs,1,26.5,49.1,2025-06-14T23:07:32.403Z,2025-06-14T23:07:34Z,97d0drjb3zqkh5ozfufg17nys,P. Hogan,,,5771211691,140,35.9,5771211697,213,0.48,5771211695,212,11.1,5771211689,56,Back,5771211693,141,56.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657587,23,1,1,1,4,8cpjplodpphtkbt0hq8sr8mqs,1,35.9,55.4,2025-06-14T23:07:33.979Z,2025-06-14T23:07:38Z,e93nozniig2wriw9doit6a4tl,J. Murphy,,,5771211833,212,30.1,5771211835,213,3.20,5771211831,141,52.7,5771211829,140,7.3,5771211827,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657607,24,1,1,1,9,8cpjplodpphtkbt0hq8sr8mqs,0,7.8,49.7,2025-06-14T23:07:38.878Z,2025-06-14T23:13:25Z,d38osra1p83cgtmrwqt6w60yy,H. Sulte,,,5771211911,213,0.01,5771222045,157,,5771211913,1,,5771211909,212,58.9,5771211903,56,Center,5771211905,140,63.9,5771211907,141,50.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657599,15,44,1,1,10,224tl8u2smnbyliroayk69nt0,1,39.8,50.8,2025-06-14T23:07:40.450Z,2025-06-15T00:12:43Z,3g0rdzkjns986gn34vg3umiqy,S. Suber,,,5771211879,285,,5771211969,233,25,5771211877,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657609,25,44,1,1,10,8cpjplodpphtkbt0hq8sr8mqs,0,60.2,49.2,2025-06-14T23:07:40.451Z,2025-06-15T00:12:44Z,5fhb206czgy2ul5j0tsqeo7ah,E. Amoh,,,5771211979,233,15,5771211919,286,,5771211917,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657611,16,1,1,1,11,224tl8u2smnbyliroayk69nt0,1,46.1,53.6,2025-06-14T23:07:40.881Z,2025-06-14T23:07:42Z,3g0rdzkjns986gn34vg3umiqy,S. Suber,,,5771211929,212,9.2,5771211931,213,5.39,5771211923,56,Center,5771211927,141,43.1,5771211925,140,51.6,5771211921,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657619,17,1,1,1,12,224tl8u2smnbyliroayk69nt0,1,51.6,43.1,2025-06-14T23:07:42.297Z,2025-06-14T23:13:52Z,1l26kd7tulii6x999b3fdxi0a,B. Sample,,,5771211939,56,Back,5771211943,141,32.8,5771211945,212,13.9,5771211947,213,3.67,5771211941,140,40.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657633,18,43,1,1,16,224tl8u2smnbyliroayk69nt0,1,0.0,0.0,2025-06-14T23:07:46.097Z,2025-06-14T23:14:29Z,c8nk2hg1xy4h4646ajpq65dnu,I. Osumanu,,,5771224367,144,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657635,19,1,1,1,16,224tl8u2smnbyliroayk69nt0,0,40.2,32.8,2025-06-14T23:07:46.734Z,2025-06-14T23:14:10Z,c8nk2hg1xy4h4646ajpq65dnu,I. Osumanu,,,5771212049,56,Right,5771212051,140,59.2,5771223365,157,,5771223367,1,,5771212057,213,5.85,5771212055,212,21.9,5771212053,141,19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657637,26,43,1,1,17,8cpjplodpphtkbt0hq8sr8mqs,1,0.0,0.0,2025-06-14T23:07:47.699Z,2025-06-14T23:14:31Z,2pka62t1zg04jwkcx6zbc4wlw,F. McRobb,,,5771224421,144,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657657,27,1,1,1,17,8cpjplodpphtkbt0hq8sr8mqs,1,45.6,97.5,2025-06-14T23:07:47.819Z,2025-06-14T23:07:50Z,2pka62t1zg04jwkcx6zbc4wlw,F. McRobb,,,5771212157,213,3.56,5771212155,212,17.6,5771212153,141,86.9,5771212151,140,30.3,5771212149,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657667,28,1,1,1,20,8cpjplodpphtkbt0hq8sr8mqs,1,35.4,82.6,2025-06-14T23:07:50.299Z,2025-06-14T23:07:52Z,54yx5xkqrktd2hp0sxjx6hm8l,J. Musa,,,5771212213,56,Back,5771212219,212,27.7,5771212221,213,4.42,5771212215,140,27.7,5771212217,141,43.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657675,29,1,1,1,22,8cpjplodpphtkbt0hq8sr8mqs,1,28.4,40.6,2025-06-14T23:07:52.195Z,2025-06-14T23:07:54Z,arxprecroj7kqwx1tmkhhfsdm,B. Ofeimu,,,5771212281,213,1.59,5771212273,56,Back,5771212279,212,13.2,5771212275,140,28.1,5771212277,141,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657685,30,1,1,1,24,8cpjplodpphtkbt0hq8sr8mqs,1,27.0,56.0,2025-06-14T23:07:54.276Z,2025-06-14T23:07:55Z,97d0drjb3zqkh5ozfufg17nys,P. Hogan,,,5771212325,213,0.57,5771212323,212,12.3,5771212317,56,Back,5771212319,140,36.9,5771212321,141,65.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657687,31,1,1,1,25,8cpjplodpphtkbt0hq8sr8mqs,0,36.9,65.7,2025-06-14T23:07:55.507Z,2025-06-14T23:07:56Z,e93nozniig2wriw9doit6a4tl,J. Murphy,,,5771212333,141,49.3,5771212337,213,5.26,5771212335,212,13.1,5771212329,56,Back,5771212331,140,43.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657689,20,61,1,1,27,224tl8u2smnbyliroayk69nt0,0,59.4,45.5,2025-06-14T23:07:56.945Z,2025-06-14T23:07:57Z,6jsu34146kbtoeco3ue1a7ok4,J. Wälti,,,5771212339,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657699,32,1,1,1,29,8cpjplodpphtkbt0hq8sr8mqs,1,36.7,50.4,2025-06-14T23:07:59.227Z,2025-06-14T23:08:01Z,blts89a19itip4gjeagcwc1xx,C. Lindley,,,5771212395,141,72.3,5771212397,212,19.9,5771212393,140,49.3,5771212399,213,0.84,5771212391,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657703,33,43,1,1,31,8cpjplodpphtkbt0hq8sr8mqs,1,0.0,0.0,2025-06-14T23:08:00.963Z,2025-06-14T23:15:05Z,9tispdm7tc3te31awsfcmd905,A. Quinn,,,5771225409,144,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657707,34,1,1,1,31,8cpjplodpphtkbt0hq8sr8mqs,1,49.3,72.3,2025-06-14T23:08:01.011Z,2025-06-14T23:08:02Z,9tispdm7tc3te31awsfcmd905,A. Quinn,,,5771212443,213,1.86,5771212439,141,93.0,5771212435,56,Back,5771212437,140,45.3,5771212441,212,14.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657723,35,1,1,1,32,8cpjplodpphtkbt0hq8sr8mqs,1,45.3,93.0,2025-06-14T23:08:02.123Z,2025-06-14T23:15:13Z,2pka62t1zg04jwkcx6zbc4wlw,F. McRobb,,,5771212541,213,3.60,5771212537,141,79.4,5771212535,140,27.3,5771212533,56,Back,5771212539,212,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657743,36,1,1,1,35,8cpjplodpphtkbt0hq8sr8mqs,1,27.9,77.5,2025-06-14T23:08:05.667Z,2025-06-14T23:08:10Z,54yx5xkqrktd2hp0sxjx6hm8l,J. Musa,,,5771212643,213,0.81,5771212639,141,96.0,5771212637,140,39.2,5771212635,56,Back,5771212641,212,17.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
