id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/9/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId
2821740861,9,1,1,0,18,2iwybwokic7nmr1t33abdbjoq,1,46.6,14.6,2025-06-08T02:36:57.701Z,2025-06-08T02:37:01Z,dt8nthxqalx3bhz723zdty39w,C. Kowell,,,5766087437,140,33.2,5766087435,56,Back,5766087443,213,2.78,5766087439,141,22.4,5766087441,212,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821740869,10,1,1,0,21,2iwybwokic7nmr1t33abdbjoq,0,33.2,22.4,2025-06-08T02:37:00.814Z,2025-06-08T02:37:02Z,9xjixcn3jhf7m75dl49u0qe7e,C. Smith,,,5766087483,213,1.57,5766087479,141,53.6,5766087481,212,21.2,5766087477,140,33.3,5766087475,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821740901,5,1,1,0,24,cf5r1qpotp6n5i3vdchsp2en1,1,66.0,52.2,2025-06-08T02:37:04.009Z,2025-06-08T02:42:57Z,4eo92l592013pjmwitoxmuyvo,M. War,,,5766087623,56,Center,5766087629,212,16.2,5766087627,141,29.2,5766087631,213,4.98,5766087625,140,70.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821740891,11,83,1,0,32,2iwybwokic7nmr1t33abdbjoq,0,27.5,91.7,2025-06-08T02:37:11.559Z,2025-06-08T02:37:19Z,3csngjh4kjgpkfayppiwfbw2c,B. Montgomery,,,5766087753,399,6kp2pv58u27yf5tnclyhnuoh6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821740921,6,1,1,0,36,cf5r1qpotp6n5i3vdchsp2en1,1,88.1,5.6,2025-06-08T02:37:15.633Z,2025-06-08T02:37:18Z,6kp2pv58u27yf5tnclyhnuoh6,C. Dunbar,,,5766087735,212,17.5,5766087737,213,3.01,5766087731,140,71.6,5766087729,56,Right,5766087733,141,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821740931,7,1,1,0,39,cf5r1qpotp6n5i3vdchsp2en1,1,71.6,9.1,2025-06-08T02:37:18.176Z,2025-06-08T02:37:20Z,7d1v02o7kk9guqpn77xzgtvu2,C. Hegardt,,,5766087793,141,7.4,5766087789,56,Right,5766087791,140,73.9,5766087797,213,5.84,5766087795,212,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821740941,8,1,1,0,41,cf5r1qpotp6n5i3vdchsp2en1,1,73.6,6.7,2025-06-08T02:37:20.609Z,2025-06-08T02:37:23Z,8sydisziijh84elb8dprtlduy,N. Benalcázar,,,5766087857,212,12.1,5766087851,56,Center,5766087855,141,24.4,5766087859,213,1.64,5766087853,140,72.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821740947,9,1,1,0,43,cf5r1qpotp6n5i3vdchsp2en1,0,72.8,24.4,2025-06-08T02:37:22.793Z,2025-06-08T02:37:23Z,f1j8v0figkewc23fmaexubo4p,K. Partida,,,5766087879,140,90.4,5766087883,212,18.5,5766087885,213,0.07,5766087881,141,26.2,5766087877,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821751143,460,61,1,0,44,2iwybwokic7nmr1t33abdbjoq,1,6.1,69.0,2025-06-08T02:37:23.024Z,2025-06-08T03:27:23Z,6ahu72g0u39bxbjiz7ggefai1,N. Okello,,,5766144923,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821740965,12,1,1,0,44,2iwybwokic7nmr1t33abdbjoq,1,23.8,73.3,2025-06-08T02:37:23.935Z,2025-06-08T02:37:27Z,2p7o7pd4vfw3mvp5o8euss6xg,M. Traore,,,5766087973,1,,5766087963,56,Back,5766087965,140,33.5,5766087971,213,5.69,5766087967,141,63.3,5766087961,157,,5766087969,212,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821740969,13,50,1,0,48,2iwybwokic7nmr1t33abdbjoq,1,34.6,67.4,2025-06-08T02:37:27.329Z,2025-06-08T04:53:23Z,74bhj4xi5zgq6evsr4c766p04,H. Avayevu,,,5766087983,286,,5766088009,233,10,5766087981,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821740967,10,7,1,0,48,cf5r1qpotp6n5i3vdchsp2en1,1,65.4,32.6,2025-06-08T02:37:27.330Z,2025-06-08T04:53:23Z,7d1v02o7kk9guqpn77xzgtvu2,C. Hegardt,,,5766087979,285,,5766087997,233,13,5766087977,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821741013,12,1,1,0,49,cf5r1qpotp6n5i3vdchsp2en1,1,65.7,23.4,2025-06-08T02:37:28.937Z,2025-06-08T02:37:34Z,7d1v02o7kk9guqpn77xzgtvu2,C. Hegardt,,,5766088163,56,Right,5766088179,213,5.46,5766088175,212,15.1,5766088167,140,75.4,5766088171,141,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821741005,15,83,1,0,54,2iwybwokic7nmr1t33abdbjoq,0,31.0,88.4,2025-06-08T02:37:33.853Z,2025-06-08T02:37:36Z,74bhj4xi5zgq6evsr4c766p04,H. Avayevu,,,5766088199,399,6kp2pv58u27yf5tnclyhnuoh6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821741015,13,1,1,0,55,cf5r1qpotp6n5i3vdchsp2en1,0,86.9,5.8,2025-06-08T02:37:34.425Z,2025-06-08T02:37:40Z,6kp2pv58u27yf5tnclyhnuoh6,C. Dunbar,,,5766088183,2,,5766088193,212,50.1,5766088213,1,,5766088189,140,100.0,5766088191,141,76.1,5766088195,213,1.27,5766088253,345,,5766088187,56,Center,5766088185,155,,,,,,,,,,,,,,,,,,,,,,,,
2821741021,14,5,1,0,58,cf5r1qpotp6n5i3vdchsp2en1,0,101.4,73.3,2025-06-08T02:37:37.402Z,2025-06-08T02:37:50Z,6kp2pv58u27yf5tnclyhnuoh6,C. Dunbar,,,5766088401,233,16,5766088233,346,,5766088231,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821741057,16,5,1,0,59,2iwybwokic7nmr1t33abdbjoq,1,-1.3,25.3,2025-06-08T02:37:38.999Z,2025-06-08T02:37:50Z,74bhj4xi5zgq6evsr4c766p04,H. Avayevu,,,5766088375,346,,5766088385,233,14,5766088373,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821741063,17,1,1,1,10,2iwybwokic7nmr1t33abdbjoq,1,3.5,59.3,2025-06-08T02:37:49.043Z,2025-06-08T02:37:52Z,2p7o7pd4vfw3mvp5o8euss6xg,M. Traore,,,5766088433,56,Back,5766088435,140,2.7,5766088431,124,,5766088437,141,47.5,5766088441,213,4.61,5766088439,212,8.1,5766088445,237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821741071,18,1,1,1,13,2iwybwokic7nmr1t33abdbjoq,1,2.7,47.5,2025-06-08T02:37:52.222Z,2025-06-08T02:37:55Z,7y56spdjsagw833hgo5ranvf9,P. Rakovsky,,,5766088503,141,28.3,5766088499,56,Back,5766088507,213,5.27,5766088501,140,10.5,5766088505,212,15.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821741079,19,1,1,1,16,2iwybwokic7nmr1t33abdbjoq,1,10.5,28.6,2025-06-08T02:37:55.231Z,2025-06-08T02:37:57Z,e23yyl43xtcve09dx234uuj8,A. Essengue,,,5766088525,212,17.3,5766088527,213,2.04,5766088521,140,3.0,5766088519,56,Back,5766088523,141,51.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821741085,20,1,1,1,18,2iwybwokic7nmr1t33abdbjoq,1,3.0,51.3,2025-06-08T02:37:57.583Z,2025-06-08T02:38:00Z,7y56spdjsagw833hgo5ranvf9,P. Rakovsky,,,5766088553,140,4.8,5766088559,213,1.41,5766088557,212,11.8,5766088551,56,Back,5766088555,141,68.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821741087,21,1,1,1,21,2iwybwokic7nmr1t33abdbjoq,1,5.4,69.7,2025-06-08T02:38:00.109Z,2025-06-08T02:38:01Z,2p7o7pd4vfw3mvp5o8euss6xg,M. Traore,,,5766088571,141,53.9,5766088567,56,Back,5766088575,213,5.72,5766088569,140,21.6,5766088573,212,20.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821741091,22,1,1,1,22,2iwybwokic7nmr1t33abdbjoq,1,21.6,53.9,2025-06-08T02:38:01.469Z,2025-06-08T02:38:03Z,39jhew6iao7uriko5shx2tnje,J. Scearce,,,5766088607,213,3.28,5766088601,140,5.1,5766088599,56,Back,5766088605,212,17.5,5766088603,141,50.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821741101,23,1,1,1,24,2iwybwokic7nmr1t33abdbjoq,1,5.0,50.6,2025-06-08T02:38:03.598Z,2025-06-08T02:38:06Z,7y56spdjsagw833hgo5ranvf9,P. Rakovsky,,,5766088661,212,20.6,5766088663,213,5.25,5766088659,141,24.6,5766088655,56,Back,5766088657,140,15.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821741105,24,1,1,1,27,2iwybwokic7nmr1t33abdbjoq,1,22.4,18.9,2025-06-08T02:38:06.501Z,2025-06-08T02:38:08Z,e23yyl43xtcve09dx234uuj8,A. Essengue,,,5766088681,141,11.0,5766088685,213,5.59,5766088683,212,8.4,5766088679,140,28.5,5766088677,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821741113,25,1,1,1,28,2iwybwokic7nmr1t33abdbjoq,1,28.5,11.3,2025-06-08T02:38:07.926Z,2025-06-08T02:38:12Z,9xjixcn3jhf7m75dl49u0qe7e,C. Smith,,,5766088719,213,0.53,5766088713,140,37.7,5766088717,212,11.2,5766088711,56,Back,5766088715,141,19.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821741117,26,61,1,1,33,2iwybwokic7nmr1t33abdbjoq,0,38.1,25.9,2025-06-08T02:38:12.534Z,2025-06-08T02:38:13Z,dt8nthxqalx3bhz723zdty39w,C. Kowell,,,5766088723,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821741121,15,4,1,1,34,cf5r1qpotp6n5i3vdchsp2en1,1,62.7,76.3,2025-06-08T02:38:13.442Z,2025-06-08T05:03:57Z,f1j8v0figkewc23fmaexubo4p,K. Partida,,,5766088749,56,Center,5766088753,265,,5766088747,13,,5766088755,286,,5766088819,233,27,5766088751,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821741123,27,4,1,1,34,2iwybwokic7nmr1t33abdbjoq,0,37.3,23.7,2025-06-08T02:38:13.443Z,2025-06-08T05:03:57Z,dt8nthxqalx3bhz723zdty39w,C. Kowell,,,5766088813,152,,5766088809,13,,5766088837,233,15,5766088815,265,,5766088811,56,Back,5766088817,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821741195,16,1,1,1,53,cf5r1qpotp6n5i3vdchsp2en1,1,62.3,76.9,2025-06-08T02:38:32.937Z,2025-06-08T02:38:38Z,3sp46qr51lu5o2213enn5xtjp,K. Scott,,,5766089135,5,,5766089137,152,,5766089141,140,76.9,5766089147,213,0.63,5766089145,212,18.9,5766089139,56,Left,5766089143,141,93.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821741197,17,1,1,1,59,cf5r1qpotp6n5i3vdchsp2en1,0,87.8,75.4,2025-06-08T02:38:38.705Z,2025-06-08T05:45:20Z,6ydk69km9oe49cg6plrc6u0wk,L. MacKinnon,,,5766089153,140,87.1,5766089155,141,48.8,5766089157,212,18.1,5766089151,56,Center,5766147545,2,,5766089159,213,4.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821741199,28,12,1,2,1,2iwybwokic7nmr1t33abdbjoq,1,12.5,46.1,2025-06-08T02:38:40.069Z,2025-06-08T02:38:42Z,39jhew6iao7uriko5shx2tnje,J. Scearce,,,5766089175,56,Back,5766089177,140,24.1,5766089181,212,13.0,5766089179,141,39.5,5766089183,213,5.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821741207,30,1,1,2,5,2iwybwokic7nmr1t33abdbjoq,0,32.0,34.0,2025-06-08T02:38:44.175Z,2025-06-08T02:38:45Z,74bhj4xi5zgq6evsr4c766p04,H. Avayevu,,,5766089199,56,Back,5766089205,212,11.4,5766089201,140,28.6,5766089207,213,1.89,5766089203,141,49.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821741211,31,1,1,2,7,2iwybwokic7nmr1t33abdbjoq,1,29.9,40.7,2025-06-08T02:38:46.421Z,2025-06-08T05:45:22Z,6ahu72g0u39bxbjiz7ggefai1,N. Okello,,,5766089235,213,1.92,5766089227,56,Back,5766089231,141,56.6,5766089229,140,26.2,5766089233,212,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821741223,32,1,1,2,10,2iwybwokic7nmr1t33abdbjoq,1,26.2,56.6,2025-06-08T02:38:49.053Z,2025-06-08T02:38:52Z,e23yyl43xtcve09dx234uuj8,A. Essengue,,,5766089329,212,7.8,5766089323,56,Back,5766089327,141,67.6,5766089331,213,1.87,5766089325,140,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821741257,33,1,1,2,12,2iwybwokic7nmr1t33abdbjoq,1,24.9,75.7,2025-06-08T02:38:51.821Z,2025-06-08T02:38:56Z,2p7o7pd4vfw3mvp5o8euss6xg,M. Traore,,,5766089471,212,33.4,5766089467,140,42.1,5766089465,56,Back,5766089475,1,,5766089469,141,34.3,5766089473,213,5.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821741263,34,1,1,2,17,2iwybwokic7nmr1t33abdbjoq,1,47.7,32.8,2025-06-08T02:38:56.295Z,2025-06-08T02:38:58Z,74bhj4xi5zgq6evsr4c766p04,H. Avayevu,,,5766089513,141,19.5,5766089515,212,27.7,5766089509,56,Right,5766089517,213,5.95,5766089511,140,72.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821741271,35,1,1,2,19,2iwybwokic7nmr1t33abdbjoq,1,72.4,20.7,2025-06-08T02:38:58.759Z,2025-06-08T02:39:01Z,dt8nthxqalx3bhz723zdty39w,C. Kowell,,,5766089561,140,66.1,5766089567,213,2.09,5766089565,212,13.4,5766089563,141,37.9,5766089559,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821741281,36,1,1,2,21,2iwybwokic7nmr1t33abdbjoq,1,66.1,36.6,2025-06-08T02:39:00.966Z,2025-06-08T02:39:02Z,74bhj4xi5zgq6evsr4c766p04,H. Avayevu,,,5766089593,140,65.3,5766089599,213,4.65,5766089595,141,15.5,5766089597,212,14.4,5766089591,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821741295,37,1,1,2,23,2iwybwokic7nmr1t33abdbjoq,1,65.3,15.5,2025-06-08T02:39:02.447Z,2025-06-08T02:39:05Z,dt8nthxqalx3bhz723zdty39w,C. Kowell,,,5766089669,212,14.0,5766089665,140,53.8,5766089667,141,25.9,5766089671,213,2.61,5766089663,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821741303,38,1,1,2,25,2iwybwokic7nmr1t33abdbjoq,1,53.8,25.9,2025-06-08T02:39:04.878Z,2025-06-08T02:39:06Z,9xjixcn3jhf7m75dl49u0qe7e,C. Smith,,,5766089721,141,36.3,5766089725,213,0.95,5766089723,212,8.7,5766089719,140,58.6,5766089717,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821741305,39,1,1,2,27,2iwybwokic7nmr1t33abdbjoq,1,58.6,36.3,2025-06-08T02:39:06.117Z,2025-06-08T02:39:07Z,6ahu72g0u39bxbjiz7ggefai1,N. Okello,,,5766089747,141,43.9,5766089751,213,0.46,5766089745,140,68.6,5766089743,56,Center,5766089749,212,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821741309,40,1,1,2,27,2iwybwokic7nmr1t33abdbjoq,1,68.6,43.9,2025-06-08T02:39:06.943Z,2025-06-08T02:39:08Z,39jhew6iao7uriko5shx2tnje,J. Scearce,,,5766089773,213,3.67,5766089765,56,Center,5766089777,156,,5766089771,212,15.5,5766089767,140,55.9,5766089769,141,32.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821741321,41,1,1,2,29,2iwybwokic7nmr1t33abdbjoq,1,55.9,32.4,2025-06-08T02:39:08.945Z,2025-06-08T02:39:11Z,6ahu72g0u39bxbjiz7ggefai1,N. Okello,,,5766089837,140,36.6,5766089835,56,Back,5766089843,213,2.36,5766089839,141,61.7,5766089841,212,28.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821741327,42,1,1,2,32,2iwybwokic7nmr1t33abdbjoq,1,36.6,61.7,2025-06-08T02:39:11.336Z,2025-06-08T02:39:12Z,2p7o7pd4vfw3mvp5o8euss6xg,M. Traore,,,5766089877,212,23.9,5766089871,56,Center,5766089875,141,60.0,5766089873,140,59.3,5766089879,213,6.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821741331,43,1,1,2,33,2iwybwokic7nmr1t33abdbjoq,1,59.3,60.0,2025-06-08T02:39:12.637Z,2025-06-08T02:39:14Z,3csngjh4kjgpkfayppiwfbw2c,B. Montgomery,,,5766089897,56,Back,5766089899,140,40.7,5766089905,213,2.85,5766089901,141,68.7,5766089903,212,20.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821741333,44,1,1,2,35,2iwybwokic7nmr1t33abdbjoq,1,40.7,68.7,2025-06-08T02:39:14.237Z,2025-06-08T02:39:16Z,2p7o7pd4vfw3mvp5o8euss6xg,M. Traore,,,5766089909,56,Center,5766089911,140,56.9,5766089917,213,6.06,5766089915,212,17.4,5766089913,141,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821741335,45,1,1,2,36,2iwybwokic7nmr1t33abdbjoq,1,56.9,63.0,2025-06-08T02:39:15.895Z,2025-06-08T02:39:17Z,3csngjh4kjgpkfayppiwfbw2c,B. Montgomery,,,5766089923,140,40.4,5766089929,213,2.37,5766089921,56,Back,5766089927,212,24.2,5766089925,141,87.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
