id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value
2813078331,8,5,1,0,17,2n3wgr89m7jl8tmioemit2pgq,0,91.0,101.8,2025-05-10T23:06:42.252Z,2025-05-11T00:06:24Z,lu2g4n0jcfxk41i8ro05ad5g,A. Obalola,,5717955667,347,,5718153391,233,8,5717955665,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813078389,9,1,1,0,27,b1rpb2ox52uxcmjrsnqd95pk5,0,17.6,0.0,2025-05-10T23:06:52.341Z,2025-05-11T00:06:28Z,9jc85hbpruze4v8u1pjzsjt62,M. Bryant,,5717955949,140,39.1,5717955955,213,0.28,5717955951,141,7.4,5717956685,1,,5717956683,107,,5717955953,212,23.5,5717955947,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813078375,9,44,1,0,28,2n3wgr89m7jl8tmioemit2pgq,1,58.4,90.4,2025-05-10T23:06:53.634Z,2025-05-11T00:13:35Z,6pqwh2z47uwgr9u9y8n79ppzp,M. Hairston,,5717956081,286,,5717955879,56,Left,5717956037,233,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813078397,10,44,1,0,28,b1rpb2ox52uxcmjrsnqd95pk5,0,41.6,9.6,2025-05-10T23:06:53.635Z,2025-05-11T00:13:35Z,cujkrjaqaizwr771ist04uaj9,S. Guenzatti,,5717956003,56,Back,5717956117,233,9,5717956053,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813078391,10,1,1,0,28,2n3wgr89m7jl8tmioemit2pgq,1,35.0,68.5,2025-05-10T23:06:54.003Z,2025-05-10T23:06:55Z,6pqwh2z47uwgr9u9y8n79ppzp,M. Hairston,,5717955967,140,43.0,5717955963,3,,5717955973,213,5.53,5717955971,212,11.5,5717955969,141,56.9,5717955965,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813078423,11,1,1,0,29,2n3wgr89m7jl8tmioemit2pgq,1,43.0,56.9,2025-05-10T23:06:55.195Z,2025-05-10T23:06:59Z,7i9qesz7fugndupldntvshwd0,S. Careaga,,5717956155,56,Back,5717956163,212,10.3,5717956161,141,43.9,5717956165,213,5.25,5717956157,140,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813078451,12,1,1,0,32,2n3wgr89m7jl8tmioemit2pgq,1,46.2,43.3,2025-05-10T23:06:57.818Z,2025-05-10T23:07:02Z,dkk3twgai2ldi75eh0xr37hbe,M. Ngalina,,5717956307,213,4.49,5717956303,141,21.2,5717956299,56,Back,5717956305,212,15.4,5717956301,140,42.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813082089,41,83,1,0,35,b1rpb2ox52uxcmjrsnqd95pk5,0,29.2,45.8,2025-05-10T23:07:01.082Z,2025-05-10T23:13:32Z,1nw1tmtpagpr647obkvygwgr9,Ryan Williams,,5717976095,399,8qqehla9xvhut6uua4a0zcju2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813078477,13,1,1,0,37,2n3wgr89m7jl8tmioemit2pgq,1,61.3,18.9,2025-05-10T23:07:02.532Z,2025-05-10T23:07:05Z,8qqehla9xvhut6uua4a0zcju2,S. Anderson,,5717956459,213,3.07,5717956455,141,20.1,5717956451,56,Right,5717956457,212,10.7,5717956453,140,51.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813078525,14,1,1,0,40,2n3wgr89m7jl8tmioemit2pgq,1,50.9,20.0,2025-05-10T23:07:05.611Z,2025-05-10T23:07:10Z,c7q476j0dkl7e4fhqqlsp5rai,T. Presthus,,5717956689,140,40.1,5717956691,141,28.3,5717956695,212,12.7,5717956699,213,2.68,5717956687,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813078549,15,1,1,0,45,2n3wgr89m7jl8tmioemit2pgq,1,39.6,42.8,2025-05-10T23:07:10.346Z,2025-05-10T23:07:14Z,dqvxmefhimxvxstvlz5yd7ysp,J. Farrell,,5717956839,140,42.3,5717956843,212,23.4,5717956845,213,1.45,5717956841,141,76.9,5717956837,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813078563,16,1,1,0,48,2n3wgr89m7jl8tmioemit2pgq,0,41.8,78.8,2025-05-10T23:07:14.027Z,2025-05-10T23:07:16Z,38ghqgck8fwnxap6em08avzs9,J. Scarlett,,5717956935,140,78.6,5717956931,155,,5717956939,212,38.6,5717956943,1,,5717956941,213,0.01,5717956937,141,79.6,5717956933,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813078581,11,1,1,0,51,b1rpb2ox52uxcmjrsnqd95pk5,0,23.7,21.8,2025-05-10T23:07:16.980Z,2025-05-10T23:07:18Z,9jc85hbpruze4v8u1pjzsjt62,M. Bryant,,5717957043,141,20.7,5717957047,213,6.21,5717957039,56,Back,5717957037,3,,5717957045,212,10.1,5717957041,140,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813078601,17,1,1,0,53,2n3wgr89m7jl8tmioemit2pgq,0,75.6,85.1,2025-05-10T23:07:18.506Z,2025-05-10T23:07:19Z,6tesoh4ckbbkisphokig9yqz8,E. Samadia,,5717957089,3,,5717957097,212,9.5,5717957093,140,80.6,5717957091,56,Center,5717957095,141,73.5,5717957099,213,5.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813078643,12,1,1,0,55,b1rpb2ox52uxcmjrsnqd95pk5,1,30.0,19.7,2025-05-10T23:07:20.310Z,2025-05-10T23:07:22Z,9jc85hbpruze4v8u1pjzsjt62,M. Bryant,,5717957279,213,0.71,5717957275,141,28.8,5717957271,56,Back,5717957273,140,36.9,5717957277,212,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813078667,14,1,1,0,57,b1rpb2ox52uxcmjrsnqd95pk5,1,32.5,27.6,2025-05-10T23:07:22.852Z,2025-05-11T00:08:04Z,1nw1tmtpagpr647obkvygwgr9,Ryan Williams,,5717957387,140,22.6,5717957393,212,13.2,5717957395,213,3.81,5717957389,141,15.6,5717957385,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813078671,15,1,1,0,59,b1rpb2ox52uxcmjrsnqd95pk5,1,22.1,15.6,2025-05-10T23:07:24.436Z,2025-05-11T00:08:02Z,7jizpx7yu2zxvcrnf9z4408vd,R. Williams,,5717957409,56,Back,5717957415,212,14.3,5717957411,140,32.0,5717957413,141,30.0,5717957417,213,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813114425,372,61,1,1,0,b1rpb2ox52uxcmjrsnqd95pk5,0,25.1,26.8,2025-05-10T23:07:25.236Z,2025-05-11T00:07:50Z,9jc85hbpruze4v8u1pjzsjt62,M. Bryant,,5718159635,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813078693,18,1,1,1,1,2n3wgr89m7jl8tmioemit2pgq,1,75.2,75.0,2025-05-10T23:07:26.418Z,2025-05-11T00:05:05Z,lu2g4n0jcfxk41i8ro05ad5g,A. Obalola,,5717957561,212,12.6,5717957557,140,79.4,5717957559,141,57.6,5717957555,56,Center,5717957563,213,5.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813078719,19,1,1,1,2,2n3wgr89m7jl8tmioemit2pgq,1,79.4,57.6,2025-05-10T23:07:27.754Z,2025-05-11T00:05:08Z,dkk3twgai2ldi75eh0xr37hbe,M. Ngalina,,5717957715,141,50.1,5717957711,56,Center,5717957719,212,7.0,5717957721,213,3.97,5717957713,140,74.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813078731,20,1,1,1,6,2n3wgr89m7jl8tmioemit2pgq,1,66.0,41.5,2025-05-10T23:07:31.554Z,2025-05-11T00:05:19Z,7i9qesz7fugndupldntvshwd0,S. Careaga,,5717957795,141,21.6,5717957791,56,Back,5717957799,213,3.72,5717957797,212,24.9,5717957793,140,46.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813078757,21,1,1,1,7,2n3wgr89m7jl8tmioemit2pgq,1,46.1,21.6,2025-05-10T23:07:33.043Z,2025-05-11T00:05:25Z,c7q476j0dkl7e4fhqqlsp5rai,T. Presthus,,5717957921,140,61.7,5717957925,212,16.7,5717957919,56,Right,5717957927,213,6.09,5717957923,141,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813078819,22,4,1,1,15,2n3wgr89m7jl8tmioemit2pgq,1,62.4,38.0,2025-05-10T23:07:40.908Z,2025-05-11T00:05:37Z,7i9qesz7fugndupldntvshwd0,S. Careaga,,5717958307,13,,5717958315,286,,5717958311,152,,5717958313,265,,5717958309,56,Center,5717958325,233,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813078813,16,4,1,1,15,b1rpb2ox52uxcmjrsnqd95pk5,0,37.6,62.0,2025-05-10T23:07:40.909Z,2025-05-10T23:07:48Z,3ldhrzekr0tztaxr3sc8mmg2x,B. Morris,,5717958237,56,Back,5717958343,233,22,5717958241,265,,5717958243,285,,5717958239,152,,5717958235,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813078969,23,1,1,1,31,2n3wgr89m7jl8tmioemit2pgq,1,63.7,27.4,2025-05-10T23:07:56.498Z,2025-05-10T23:08:08Z,c7q476j0dkl7e4fhqqlsp5rai,T. Presthus,,5717959511,189,,5717958993,152,,5717958997,140,67.8,5717959001,212,30.0,5717958999,141,71.1,5717959003,213,1.43,5717958991,5,,5717958995,56,Center,,,,,,,,,,,,,,,,,,,,,,,,
2813078985,24,1,1,1,33,2n3wgr89m7jl8tmioemit2pgq,1,67.8,74.7,2025-05-10T23:07:58.363Z,2025-05-10T23:08:00Z,38ghqgck8fwnxap6em08avzs9,J. Scarlett,,5717959073,213,0.71,5717959067,140,73.4,5717959065,56,Left,5717959069,141,82.1,5717959071,212,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813079003,25,1,1,1,34,2n3wgr89m7jl8tmioemit2pgq,1,72.4,82.4,2025-05-10T23:08:00.027Z,2025-05-10T23:08:02Z,6tesoh4ckbbkisphokig9yqz8,E. Samadia,,5717959147,212,12.4,5717959143,140,62.2,5717959141,56,Center,5717959145,141,73.2,5717959149,213,3.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813079027,26,1,1,1,36,2n3wgr89m7jl8tmioemit2pgq,0,62.2,73.2,2025-05-10T23:08:01.796Z,2025-05-10T23:08:03Z,38ghqgck8fwnxap6em08avzs9,J. Scarlett,,5717959261,212,23.2,5717959255,140,74.9,5717959251,56,Left,5717959259,141,100.0,5717959263,213,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813079089,17,5,1,1,37,b1rpb2ox52uxcmjrsnqd95pk5,1,25.3,-1.4,2025-05-10T23:08:03.004Z,2025-05-11T00:12:47Z,8d6e9axgsli468lnomdbcgu6t,D. Smith,,5717959565,56,Back,5717959567,347,,5717959589,233,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813079031,27,5,1,1,37,2n3wgr89m7jl8tmioemit2pgq,0,74.7,101.4,2025-05-10T23:08:03.004Z,2025-05-11T00:12:47Z,38ghqgck8fwnxap6em08avzs9,J. Scarlett,,5717959281,56,Left,5717959625,233,17,5717959283,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813079177,18,1,1,1,51,b1rpb2ox52uxcmjrsnqd95pk5,1,20.0,0.0,2025-05-10T23:08:17.012Z,2025-05-10T23:08:19Z,7jizpx7yu2zxvcrnf9z4408vd,R. Williams,,5717960037,56,Back,5717960041,141,12.6,5717960045,213,2.24,5717960043,212,12.7,5717960039,140,12.5,5717960035,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813079215,19,1,1,1,53,b1rpb2ox52uxcmjrsnqd95pk5,1,12.2,11.7,2025-05-10T23:08:18.868Z,2025-05-10T23:08:23Z,9jc85hbpruze4v8u1pjzsjt62,M. Bryant,,5717960257,56,Back,5717960261,141,25.3,5717960265,213,0.55,5717960263,212,17.8,5717960259,140,26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813079239,20,1,1,1,57,b1rpb2ox52uxcmjrsnqd95pk5,1,27.0,27.3,2025-05-10T23:08:22.868Z,2025-05-10T23:08:24Z,3ldhrzekr0tztaxr3sc8mmg2x,B. Morris,,5717960373,212,18.8,5717960367,56,Back,5717960369,140,10.2,5717960375,213,3.49,5717960371,141,17.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813079289,21,1,1,1,59,b1rpb2ox52uxcmjrsnqd95pk5,1,10.2,17.6,2025-05-10T23:08:24.684Z,2025-05-10T23:08:28Z,9jc85hbpruze4v8u1pjzsjt62,M. Bryant,,5717960607,213,1.59,5717960603,141,74.1,5717960599,56,Back,5717960609,1,,5717960601,140,9.5,5717960605,212,38.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813079311,22,1,1,2,3,b1rpb2ox52uxcmjrsnqd95pk5,1,18.7,81.8,2025-05-10T23:08:28.404Z,2025-05-10T23:08:30Z,7lnb14nmxv9gggyedv3tydvdg,D. Amoo-Mensah,,5717960725,141,93.6,5717960721,56,Back,5717960729,213,0.72,5717960727,212,12.2,5717960723,140,27.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813079363,23,1,1,2,5,b1rpb2ox52uxcmjrsnqd95pk5,1,27.4,93.9,2025-05-10T23:08:30.332Z,2025-05-11T00:09:07Z,62d3tsany7t5t2bwm4cx9pbai,A. Villanueva,,5717960949,56,Back,5717960955,212,12.7,5717960951,140,37.8,5717960953,141,84.5,5717960957,213,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813079391,24,1,1,2,9,b1rpb2ox52uxcmjrsnqd95pk5,1,36.5,97.1,2025-05-10T23:08:34.444Z,2025-05-11T00:09:09Z,cujkrjaqaizwr771ist04uaj9,S. Guenzatti,,5717961075,141,95.7,5717961071,56,Back,5717961079,213,3.23,5717961077,212,11.1,5717961073,140,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813079403,25,1,1,2,11,b1rpb2ox52uxcmjrsnqd95pk5,0,21.5,94.8,2025-05-10T23:08:36.620Z,2025-05-10T23:08:37Z,7lnb14nmxv9gggyedv3tydvdg,D. Amoo-Mensah,,5717961123,140,37.6,5717961135,1,,5717961119,157,,5717961133,213,5.96,5717961121,56,Back,5717961125,141,86.6,5717961129,212,17.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813079415,28,1,1,2,13,2n3wgr89m7jl8tmioemit2pgq,0,49.6,47.3,2025-05-10T23:08:38.243Z,2025-05-11T00:06:39Z,8qqehla9xvhut6uua4a0zcju2,S. Anderson,,5717961181,56,Center,5717961185,141,40.1,5717961179,3,,5717961191,213,5.46,5717961183,140,53.9,5717961187,212,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813079665,26,43,1,2,20,b1rpb2ox52uxcmjrsnqd95pk5,1,0.0,0.0,2025-05-10T23:08:45.812Z,2025-05-10T23:09:20Z,cujkrjaqaizwr771ist04uaj9,S. Guenzatti,,5717962435,140,22.2,5717962439,212,5.9,5717963509,144,1,5717962441,213,3.47,5717962433,56,Back,5717962437,141,92.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813079835,27,4,1,2,28,b1rpb2ox52uxcmjrsnqd95pk5,1,28.7,72.5,2025-05-10T23:08:54.073Z,2025-05-11T00:13:12Z,1nw1tmtpagpr647obkvygwgr9,Ryan Williams,,5717963381,56,Back,5717963385,265,,5717963379,13,,5718027101,233,29,5717963387,285,,5717963383,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813079595,29,4,1,2,28,2n3wgr89m7jl8tmioemit2pgq,0,71.3,27.5,2025-05-10T23:08:54.074Z,2025-05-11T00:13:13Z,c7q476j0dkl7e4fhqqlsp5rai,T. Presthus,,5717962229,286,,5717962221,13,,5717962225,152,,5718027113,233,27,5717962223,56,Center,5717962227,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813080003,28,1,1,3,7,b1rpb2ox52uxcmjrsnqd95pk5,1,31.5,91.1,2025-05-10T23:09:32.387Z,2025-05-10T23:09:35Z,7lnb14nmxv9gggyedv3tydvdg,D. Amoo-Mensah,,5717964183,213,3.63,5717964173,152,,5717964177,140,17.9,5717964171,5,,5717964175,56,Back,5717964179,141,79.9,5717964181,212,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813080041,29,1,1,3,10,b1rpb2ox52uxcmjrsnqd95pk5,1,14.6,71.8,2025-05-10T23:09:35.756Z,2025-05-10T23:09:39Z,b3ktzeb8cz6vl5snbrtnpzw4q,S. Wiedt,,5717964383,212,35.3,5717964387,1,,5717964377,56,Back,5717964379,140,19.0,5717964381,141,20.3,5717964385,213,4.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813080059,30,1,1,3,14,b1rpb2ox52uxcmjrsnqd95pk5,0,19.6,14.4,2025-05-10T23:09:39.236Z,2025-05-10T23:09:40Z,9jc85hbpruze4v8u1pjzsjt62,M. Bryant,,5717964455,56,Back,5717964459,141,5.0,5717964463,213,5.74,5717964461,212,12.3,5717964457,140,29.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813080061,30,8,1,3,15,2n3wgr89m7jl8tmioemit2pgq,1,67.3,78.2,2025-05-10T23:09:40.546Z,2025-05-11T00:07:54Z,6tesoh4ckbbkisphokig9yqz8,E. Samadia,,5717964465,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
