id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/9/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/13/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/15/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2800311621,6,1,1,0,16,b5l2e3csycjb8twvq9ek0j5gq,1,36.7,7.3,2025-04-13T00:07:03.636Z,2025-04-13T00:07:20Z,doseo9fbdr1a1srm0jhdqmr55,J. Sinisterra,,,5647503415,168,,5647503425,213,0.89,5647503423,212,4.7,5647503419,140,39.5,5647503413,3,,5647503417,56,Back,5647503421,141,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800311629,7,43,1,0,18,b5l2e3csycjb8twvq9ek0j5gq,1,0.0,0.0,2025-04-13T00:07:05.468Z,2025-04-13T00:07:15Z,cclpvd1z3yyruciida1q3x4o9,P. Wilson,,,5647504111,144,44,5647503457,286,0,5647503453,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800311643,8,43,1,0,18,b5l2e3csycjb8twvq9ek0j5gq,1,0.0,0.0,2025-04-13T00:07:05.892Z,2025-04-13T00:07:13Z,cclpvd1z3yyruciida1q3x4o9,P. Wilson,,,5647503507,3,0,5647503517,213,2.98,5647503513,141,12.6,5647503511,140,42.1,5647503509,56,Left,5647503939,144,1,5647503515,212,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800311671,6,4,1,0,22,aj8ytsr2ap33tod0hd8ofzaw9,1,57.0,87.5,2025-04-13T00:07:09.844Z,2025-04-13T02:40:05Z,dg0vj3tk1fqeyuocfy4rmyoh6,P. Seagrist,,,5647503701,152,,5647503697,13,,5647503699,56,Left,5647517227,233,9,5647503705,286,,5648003519,294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800311667,9,4,1,0,22,b5l2e3csycjb8twvq9ek0j5gq,0,43.0,12.5,2025-04-13T00:07:09.845Z,2025-04-13T02:40:07Z,cclpvd1z3yyruciida1q3x4o9,P. Wilson,,,5647503715,56,Back,5647517201,285,,5647517271,233,6,5647503713,13,,5647503717,152,,5648003575,294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800311729,7,1,1,0,25,aj8ytsr2ap33tod0hd8ofzaw9,1,48.3,87.2,2025-04-13T00:07:12.573Z,2025-04-13T00:07:14Z,2giowiodzndu5m2gwn79iiui1,L. Batista,,,5647503997,152,,5647504005,212,13.3,5647503999,56,Back,5647504007,213,3.73,5647504003,141,76.3,5647504001,140,37.8,5647503995,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800311797,8,1,1,0,27,aj8ytsr2ap33tod0hd8ofzaw9,1,37.8,76.3,2025-04-13T00:07:14.590Z,2025-04-13T00:07:19Z,d99eakp27bro9g50wpzti8rca,A. Cissoko,,,5647504405,213,4.42,5647504399,140,32.0,5647504401,141,46.9,5647504403,212,20.9,5647504397,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800311819,9,1,1,0,32,aj8ytsr2ap33tod0hd8ofzaw9,1,30.6,37.9,2025-04-13T00:07:19.086Z,2025-04-13T00:07:21Z,2imizu6je16b3ssheijycxjh1,H. St Clair,,,5647504505,140,40.6,5647504509,212,20.4,5647504511,213,5.25,5647504503,56,Back,5647504507,141,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800311855,10,1,1,0,34,aj8ytsr2ap33tod0hd8ofzaw9,1,40.6,12.2,2025-04-13T00:07:21.638Z,2025-04-13T00:07:25Z,dgpphcc9ql3pv3b4chhchml90,O. Damm,,,5647504677,56,Back,5647504681,141,12.5,5647504685,213,3.13,5647504679,140,24.7,5647504683,212,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800311883,11,1,1,0,38,aj8ytsr2ap33tod0hd8ofzaw9,0,24.7,12.5,2025-04-13T00:07:25.271Z,2025-04-13T00:07:29Z,2imizu6je16b3ssheijycxjh1,H. St Clair,,,5647504869,157,,5647504873,140,69.7,5647504881,1,,5647504877,212,49.0,5647504879,213,0.27,5647504871,56,Center,5647504875,141,31.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800311901,10,44,1,0,41,b5l2e3csycjb8twvq9ek0j5gq,1,30.9,69.8,2025-04-13T00:07:28.837Z,2025-04-13T04:05:38Z,3xd2kq7cxmvdbqsfzgi644c4q,J. Bravo,,,5647505033,285,,5647505063,233,12,5647505031,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800311887,12,44,1,0,41,aj8ytsr2ap33tod0hd8ofzaw9,0,69.1,30.2,2025-04-13T00:07:28.838Z,2025-04-13T04:05:39Z,1d20nyyvmp0doobj6heejkowk,T. Calheira,,,5647504897,56,Center,5647505095,233,10,5647504899,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800311929,11,12,1,0,42,b5l2e3csycjb8twvq9ek0j5gq,1,31.9,71.8,2025-04-13T00:07:29.566Z,2025-04-16T05:52:30Z,3xd2kq7cxmvdbqsfzgi644c4q,J. Bravo,,,5647505173,140,37.6,5647505177,212,6.0,5647505179,213,0.02,5647505171,56,Back,5647505175,141,72.0,5655975109,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800311935,13,1,1,0,43,aj8ytsr2ap33tod0hd8ofzaw9,1,62.6,27.3,2025-04-13T00:07:30.598Z,2025-04-13T00:07:32Z,1e1wh213cg8q6lsqa3kvbjdka,G. Colli,,,5647505209,213,5.43,5647505201,56,Right,5647505203,140,67.6,5647505207,212,8.0,5647505205,141,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800311943,14,1,1,0,45,aj8ytsr2ap33tod0hd8ofzaw9,1,67.6,18.5,2025-04-13T00:07:32.198Z,2025-04-13T00:07:33Z,dgpphcc9ql3pv3b4chhchml90,O. Damm,,,5647505245,212,6.3,5647505239,56,Center,5647505241,140,63.5,5647505243,141,25.3,5647505247,213,2.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800311981,15,1,1,0,46,aj8ytsr2ap33tod0hd8ofzaw9,1,63.5,25.3,2025-04-13T00:07:33.302Z,2025-04-13T00:07:37Z,1e1wh213cg8q6lsqa3kvbjdka,G. Colli,,,5647505453,213,3.11,5647505447,140,33.5,5647505451,212,31.5,5647505449,141,26.7,5647505445,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800312015,16,1,1,0,50,aj8ytsr2ap33tod0hd8ofzaw9,1,32.0,31.5,2025-04-13T00:07:37.166Z,2025-04-13T00:07:41Z,d99eakp27bro9g50wpzti8rca,A. Cissoko,,,5647505623,212,25.9,5647505619,140,36.9,5647505625,213,1.37,5647505617,56,Back,5647505621,141,68.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800312045,17,1,1,0,54,aj8ytsr2ap33tod0hd8ofzaw9,1,38.4,71.7,2025-04-13T00:07:41.502Z,2025-04-13T00:07:44Z,2giowiodzndu5m2gwn79iiui1,L. Batista,,,5647505827,212,20.2,5647505823,140,57.6,5647505821,56,Center,5647505825,141,72.0,5647505829,213,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800312059,18,1,1,0,57,aj8ytsr2ap33tod0hd8ofzaw9,1,54.0,75.4,2025-04-13T00:07:44.510Z,2025-04-16T05:52:51Z,87pe681vhgbb6plpej3tr74oa,K. ElMedkhar,,,5647505879,140,61.3,5647505883,212,10.4,5647505877,56,Left,5647505881,141,85.7,5647505885,213,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800312069,19,1,1,0,58,aj8ytsr2ap33tod0hd8ofzaw9,0,64.0,97.3,2025-04-13T00:07:45.550Z,2025-04-16T05:53:01Z,dg0vj3tk1fqeyuocfy4rmyoh6,P. Seagrist,,,5647505937,141,88.7,5647505933,56,Left,5647505941,213,4.98,5647505935,140,65.5,5647505939,212,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800312119,13,1,1,1,2,b5l2e3csycjb8twvq9ek0j5gq,0,40.7,28.2,2025-04-13T00:07:49.204Z,2025-04-16T05:55:59Z,bogxgfao7j28diagxffy0z9ey,D. Gomez,,,5647506179,140,54.1,5647506183,212,14.1,5647506177,56,Center,5647506181,141,29.5,5647506185,213,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800312127,20,8,1,1,3,aj8ytsr2ap33tod0hd8ofzaw9,1,45.5,70.0,2025-04-13T00:07:50.430Z,2025-04-16T05:56:04Z,1e1wh213cg8q6lsqa3kvbjdka,G. Colli,,,5647506221,56,Back,5655975707,383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800312169,21,1,1,1,3,aj8ytsr2ap33tod0hd8ofzaw9,1,45.5,70.0,2025-04-13T00:07:50.840Z,2025-04-13T00:07:53Z,1e1wh213cg8q6lsqa3kvbjdka,G. Colli,,,5647506437,213,5.99,5647506433,141,64.8,5647506429,140,56.5,5647506435,212,12.1,5647506425,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2801853741,798,83,1,1,4,b5l2e3csycjb8twvq9ek0j5gq,1,42.0,28.5,2025-04-13T00:07:51.193Z,2025-04-16T05:56:40Z,bogxgfao7j28diagxffy0z9ey,D. Gomez,,,5655975799,399,do5q14naxm61jw8px8qvacn4k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800312175,22,4,1,1,6,aj8ytsr2ap33tod0hd8ofzaw9,1,54.8,63.4,2025-04-13T00:07:53.518Z,2025-04-13T02:40:50Z,do5q14naxm61jw8px8qvacn4k,B. Diallo,,,5647506823,233,14,5648005005,295,,5647506525,56,Center,5647506523,13,,5647506533,286,,5647506527,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800312207,14,4,1,1,6,b5l2e3csycjb8twvq9ek0j5gq,0,45.2,36.6,2025-04-13T00:07:53.519Z,2025-04-16T05:58:33Z,bogxgfao7j28diagxffy0z9ey,D. Gomez,,,5647506773,13,,5647506851,233,22,5647506777,152,,5647506781,285,,5647762407,295,,5647506775,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800312381,23,1,1,1,24,aj8ytsr2ap33tod0hd8ofzaw9,1,55.6,68.5,2025-04-13T00:08:11.286Z,2025-04-13T00:08:13Z,do5q14naxm61jw8px8qvacn4k,B. Diallo,,,5647507675,141,60.8,5647507671,56,Back,5647507667,5,,5647507679,213,3.42,5647507677,212,19.1,5647507673,140,38.1,5647507669,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800312419,24,1,1,1,25,aj8ytsr2ap33tod0hd8ofzaw9,1,38.1,60.8,2025-04-13T00:08:12.911Z,2025-04-13T00:08:15Z,d99eakp27bro9g50wpzti8rca,A. Cissoko,,,5647507885,212,9.4,5647507883,141,73.2,5647507887,213,1.11,5647507877,56,Back,5647507881,140,42.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800312459,25,1,1,1,28,aj8ytsr2ap33tod0hd8ofzaw9,1,55.1,78.5,2025-04-13T00:08:15.686Z,2025-04-13T00:08:18Z,2giowiodzndu5m2gwn79iiui1,L. Batista,,,5647508067,141,77.8,5647508071,213,6.26,5647508063,56,Center,5647508061,155,,5647508069,212,21.2,5647508065,140,75.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800312475,26,1,1,1,31,aj8ytsr2ap33tod0hd8ofzaw9,0,75.3,77.8,2025-04-13T00:08:18.007Z,2025-04-13T00:08:18Z,dg0vj3tk1fqeyuocfy4rmyoh6,P. Seagrist,,,5647508143,212,6.5,5647508137,56,Center,5647508135,3,,5647508139,140,75.3,5647508145,213,4.71,5647508141,141,68.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800312549,15,12,1,1,33,b5l2e3csycjb8twvq9ek0j5gq,1,16.2,31.3,2025-04-13T00:08:20.156Z,2025-04-16T05:59:03Z,4e47ixpbc8x9qzn7l3aeej0tl,K. Greene,,,5647508501,140,34.2,5647508505,212,19.0,5647508499,56,Back,5647508507,213,6.20,5647508503,141,28.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800312521,27,1,1,1,34,aj8ytsr2ap33tod0hd8ofzaw9,0,68.0,71.2,2025-04-13T00:08:21.134Z,2025-04-13T00:08:22Z,do5q14naxm61jw8px8qvacn4k,B. Diallo,,,5647508379,213,0.17,5647508375,141,74.1,5647508371,56,Center,5647508373,140,79.2,5647508377,212,11.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800312555,16,1,1,1,36,b5l2e3csycjb8twvq9ek0j5gq,0,26.0,36.0,2025-04-13T00:08:23.798Z,2025-04-16T05:59:18Z,evk0esdocrzt5zxqmv4ostdcl,J. Damm,,,5647508535,56,Center,5647508541,212,32.8,5647508543,213,0.20,5655976079,1,,5647508539,141,45.8,5655976077,157,,5647508537,140,56.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800312577,28,1,1,1,37,aj8ytsr2ap33tod0hd8ofzaw9,0,46.7,76.3,2025-04-13T00:08:24.503Z,2025-04-13T00:08:26Z,d99eakp27bro9g50wpzti8rca,A. Cissoko,,,5647508613,3,,5647508621,212,16.6,5647508617,140,62.2,5647508619,141,81.1,5647508623,213,0.20,5647508615,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800312605,29,83,1,1,41,aj8ytsr2ap33tod0hd8ofzaw9,0,63.0,81.1,2025-04-13T00:08:28.895Z,2025-04-13T00:08:35Z,dg0vj3tk1fqeyuocfy4rmyoh6,P. Seagrist,,,5647509279,399,ov91zkisppven9tp72gfbjf8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800312663,18,3,1,1,44,b5l2e3csycjb8twvq9ek0j5gq,0,38.2,25.1,2025-04-13T00:08:31.792Z,2025-04-16T09:30:56Z,ov91zkisppven9tp72gfbjf8,B. Byaruhanga,,,5647509117,56,Back,5655976151,464,,5647509119,286,,5656037171,233,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800312649,30,7,1,1,44,aj8ytsr2ap33tod0hd8ofzaw9,0,61.8,74.9,2025-04-13T00:08:31.793Z,2025-04-16T09:30:56Z,87pe681vhgbb6plpej3tr74oa,K. ElMedkhar,,,5655976135,385,,5647509033,285,,5656037167,233,18,5647509031,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800312641,17,61,1,1,45,b5l2e3csycjb8twvq9ek0j5gq,1,45.1,36.9,2025-04-13T00:08:32.309Z,2025-04-16T05:59:44Z,ov91zkisppven9tp72gfbjf8,B. Byaruhanga,,,5647508981,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800312683,19,43,1,1,45,b5l2e3csycjb8twvq9ek0j5gq,1,0.0,0.0,2025-04-13T00:08:32.780Z,2025-04-16T05:59:57Z,ov91zkisppven9tp72gfbjf8,B. Byaruhanga,,,5647509201,140,36.3,5655976159,144,1,5647509207,213,3.72,5647509203,141,28.8,5647509205,212,8.7,5647509199,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800312693,20,1,1,1,46,b5l2e3csycjb8twvq9ek0j5gq,1,36.8,13.3,2025-04-13T00:08:33.548Z,2025-04-16T06:00:01Z,evk0esdocrzt5zxqmv4ostdcl,J. Damm,,,5647509261,141,28.6,5647509259,140,36.6,5647509265,213,1.59,5647509257,56,Back,5647509263,212,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800312709,21,1,1,1,46,b5l2e3csycjb8twvq9ek0j5gq,0,38.1,38.8,2025-04-13T00:08:33.636Z,2025-04-13T02:41:32Z,bogxgfao7j28diagxffy0z9ey,D. Gomez,,,5647509325,212,2.9,5647509321,140,40.6,5647767755,155,,5647509327,213,0.46,5647509323,141,40.7,5647509319,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800312687,31,61,1,1,47,aj8ytsr2ap33tod0hd8ofzaw9,1,63.9,68.8,2025-04-13T00:08:34.405Z,2025-04-13T00:08:34Z,1e1wh213cg8q6lsqa3kvbjdka,G. Colli,,,5647509225,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800312743,22,61,1,1,49,b5l2e3csycjb8twvq9ek0j5gq,0,59.2,53.6,2025-04-13T00:08:36.764Z,2025-04-16T06:00:13Z,6g7v93m80xq6x38o9u3t8y3je,W. Prentice,,,5647509511,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800312791,33,1,1,1,52,aj8ytsr2ap33tod0hd8ofzaw9,1,56.2,38.2,2025-04-13T00:08:39.319Z,2025-04-13T00:08:42Z,2imizu6je16b3ssheijycxjh1,H. St Clair,,,5647509723,213,4.53,5647509715,56,Center,5647509719,141,22.4,5647509721,212,10.9,5647509717,140,54.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800312849,34,1,1,1,55,aj8ytsr2ap33tod0hd8ofzaw9,1,54.2,18.3,2025-04-13T00:08:42.079Z,2025-04-13T00:08:45Z,dgpphcc9ql3pv3b4chhchml90,O. Damm,,,5647509885,213,2.77,5647509881,141,25.9,5647509877,56,Back,5647509879,140,41.5,5647509883,212,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800312925,35,1,1,1,57,aj8ytsr2ap33tod0hd8ofzaw9,1,41.5,25.9,2025-04-13T00:08:44.839Z,2025-04-13T00:08:53Z,2imizu6je16b3ssheijycxjh1,H. St Clair,,,5647510377,213,1.60,5647510369,56,Back,5647510373,141,66.3,5647510371,140,40.7,5647510375,212,27.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
