id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/8/value,qualifier/9/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/14/value,qualifier/13/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId
2790945677,15,1,1,0,53,bk3zg8yaj5uoqhxzwons3bo8a,1,50.1,39.4,2025-03-22T21:07:58.121Z,2025-03-22T21:08:02Z,9imj5ig0i01uljnd3gd2cz1m,T. Maples,,,5596053039,141,53.7,5596053043,213,1.19,5596053041,212,10.5,5596053037,140,53.8,5596053035,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790945687,16,1,1,0,57,bk3zg8yaj5uoqhxzwons3bo8a,1,57.9,68.5,2025-03-22T21:08:02.441Z,2025-03-22T21:08:03Z,cvdn34vl3zje5uq54nvg77sut,K. Ryden,,,5596053109,141,71.2,5596053111,212,7.3,5596053113,213,0.26,5596053105,56,Center,5596053107,140,64.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790945691,17,1,1,0,58,bk3zg8yaj5uoqhxzwons3bo8a,1,64.6,71.2,2025-03-22T21:08:03.634Z,2025-03-22T21:08:41Z,ew8oodr9hiuqve7xlz24xznfu,M. Vargas,,,5596053129,212,9.1,5596053131,213,3.23,5596053139,156,,5596053125,140,56.0,5596053127,141,70.0,5596053123,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790945715,18,1,1,1,3,bk3zg8yaj5uoqhxzwons3bo8a,1,57.2,69.0,2025-03-22T21:08:07.961Z,2025-03-22T21:08:11Z,cvdn34vl3zje5uq54nvg77sut,K. Ryden,,,5596053259,212,19.7,5596053261,213,1.09,5596053253,56,Left,5596053255,140,65.9,5596053257,141,94.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790945735,19,1,1,1,6,bk3zg8yaj5uoqhxzwons3bo8a,1,65.9,94.7,2025-03-22T21:08:11.240Z,2025-03-22T21:08:16Z,52rcg38mijjjusfwqxa2l7hex,J. Lindsey,,,5596053391,213,3.65,5596053389,212,16.7,5596053385,140,52.0,5596053387,141,82.7,5596053383,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790945751,20,1,1,1,11,bk3zg8yaj5uoqhxzwons3bo8a,1,57.6,72.0,2025-03-22T21:08:16.392Z,2025-03-22T21:08:21Z,cvdn34vl3zje5uq54nvg77sut,K. Ryden,,,5596053493,213,1.03,5596053489,141,92.7,5596053491,212,16.4,5596053487,140,65.7,5596053485,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790945789,21,1,1,1,15,bk3zg8yaj5uoqhxzwons3bo8a,1,63.5,90.0,2025-03-22T21:08:20.904Z,2025-03-22T21:08:28Z,52rcg38mijjjusfwqxa2l7hex,J. Lindsey,,,5596053651,56,Back,5596053653,140,47.8,5596053657,212,31.6,5596053655,141,50.3,5596053659,213,4.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790945815,22,1,1,1,23,bk3zg8yaj5uoqhxzwons3bo8a,1,64.7,23.1,2025-03-22T21:08:28.544Z,2025-03-22T21:08:36Z,9imj5ig0i01uljnd3gd2cz1m,T. Maples,,,5596053839,56,Right,5596053847,213,5.64,5596053845,212,15.8,5596053841,140,76.8,5596053843,141,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790945819,23,61,1,1,25,bk3zg8yaj5uoqhxzwons3bo8a,0,76.8,9.2,2025-03-22T21:08:30.760Z,2025-03-22T21:58:58Z,bhzsz7pbe6pbwojtc1mi8m28l,M. Akale,,,5596053869,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790945895,4,5,1,1,27,5h878vnmkbuy2ummddprusxgq,1,24.6,101.2,2025-03-22T21:08:32.206Z,2025-03-22T22:52:03Z,3lndo247f4br8t6xxdvlij4a2,W. Cabrera,,,5596054307,56,Back,5596059919,233,24,5596054309,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790945827,24,5,1,1,27,bk3zg8yaj5uoqhxzwons3bo8a,0,75.4,-1.2,2025-03-22T21:08:32.206Z,2025-03-22T22:52:03Z,bosdsb16w79aihfktvp4cjvje,S. Rivas,,,5596053901,347,,5596053897,56,Right,5596059923,233,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790945923,5,1,1,1,48,5h878vnmkbuy2ummddprusxgq,1,30.1,100.0,2025-03-22T21:08:53.125Z,2025-03-22T21:09:37Z,6fgxgq77v66va16tcuqvyn6x,Gabi Torres,,,5596054443,56,Back,5596054439,107,,5596054447,140,49.4,5596055355,189,,5596054449,141,95.4,5596054453,213,6.09,5596054451,212,20.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790945927,6,4,1,1,52,5h878vnmkbuy2ummddprusxgq,1,51.6,94.1,2025-03-22T21:08:57.244Z,2025-03-22T23:33:17Z,cqmvrx028gh19yh8qh7w01y0a,R. Avila,,,5596054507,265,,5596054505,152,,5596054563,233,25,5596054503,56,Left,5596054501,13,,5596054509,286,,5596079025,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790945929,25,4,1,1,52,bk3zg8yaj5uoqhxzwons3bo8a,0,48.4,5.9,2025-03-22T21:08:57.245Z,2025-03-22T23:40:28Z,bosdsb16w79aihfktvp4cjvje,S. Rivas,,,5596054559,265,,5596054561,285,,5596054553,13,,5596071103,189,,5596054555,56,Back,5596054557,152,,5596054567,233,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790946005,7,1,1,2,12,5h878vnmkbuy2ummddprusxgq,1,48.7,94.7,2025-03-22T21:09:17.052Z,2025-03-22T21:17:37Z,6fgxgq77v66va16tcuqvyn6x,Gabi Torres,,,5596054951,213,4.13,5596054949,212,27.2,5596055473,189,,5596054945,140,34.4,5596054947,141,61.4,5596054939,5,,5596054941,152,,5596054943,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790946039,9,1,1,2,13,5h878vnmkbuy2ummddprusxgq,1,35.3,61.7,2025-03-22T21:09:17.948Z,2025-03-22T21:17:43Z,9hqo1ykdlw9iv4tlo8d3vu9ec,B. Romero,,,5596055149,141,43.0,5596074073,189,,5596055147,140,35.2,5596055145,56,Back,5596055153,213,4.70,5596055151,212,12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790946013,8,1,1,2,15,5h878vnmkbuy2ummddprusxgq,1,34.9,61.4,2025-03-22T21:09:20.358Z,2025-03-22T21:17:46Z,8gy9wgqywaqi9uy6i31i0q21h,A. Ortíz,,,5596054971,140,36.5,5596054973,141,24.3,5596054969,56,Back,5596074043,155,,5596054977,213,4.78,5596054975,212,25.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790946047,10,1,1,2,24,5h878vnmkbuy2ummddprusxgq,0,98.7,24.3,2025-03-22T21:09:29.652Z,2025-03-22T21:09:31Z,cqmvrx028gh19yh8qh7w01y0a,R. Avila,,,5596055219,195,,5596055199,140,86.0,5596055205,213,2.40,5596055201,141,42.1,5596055203,212,18.0,5596055197,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790946065,27,1,1,2,27,bk3zg8yaj5uoqhxzwons3bo8a,1,23.8,70.3,2025-03-22T21:09:32.607Z,2025-03-22T21:09:35Z,bosdsb16w79aihfktvp4cjvje,S. Rivas,,,5596055321,140,29.5,5596055323,141,92.3,5596055325,212,16.1,5596055327,213,1.19,5596055319,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790946071,28,1,1,2,30,bk3zg8yaj5uoqhxzwons3bo8a,1,27.9,92.0,2025-03-22T21:09:35.743Z,2025-03-22T21:09:38Z,ew8oodr9hiuqve7xlz24xznfu,M. Vargas,,,5596055363,212,10.9,5596055361,141,89.7,5596055357,56,Back,5596055365,213,3.29,5596055359,140,17.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790946089,29,1,1,2,33,bk3zg8yaj5uoqhxzwons3bo8a,1,19.3,85.3,2025-03-22T21:09:38.151Z,2025-03-22T21:09:42Z,52rcg38mijjjusfwqxa2l7hex,J. Lindsey,,,5596055451,212,12.9,5596055453,213,4.19,5596055449,141,68.8,5596055445,56,Back,5596055447,140,13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790946105,30,1,1,2,37,bk3zg8yaj5uoqhxzwons3bo8a,1,15.9,51.5,2025-03-22T21:09:42.056Z,2025-03-22T21:09:45Z,cvdn34vl3zje5uq54nvg77sut,K. Ryden,,,5596055559,213,5.45,5596055557,212,11.3,5596055555,141,39.2,5596055551,56,Back,5596055553,140,23.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790946137,31,1,1,2,40,bk3zg8yaj5uoqhxzwons3bo8a,1,31.1,32.2,2025-03-22T21:09:45.687Z,2025-03-22T21:09:51Z,9imj5ig0i01uljnd3gd2cz1m,T. Maples,,,5596055745,141,8.8,5596055747,212,21.4,5596055743,140,44.7,5596055741,56,Back,5596055749,213,5.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790946151,32,1,1,2,46,bk3zg8yaj5uoqhxzwons3bo8a,1,61.6,4.7,2025-03-22T21:09:51.455Z,2025-03-22T21:09:53Z,2o86bp6u8hbr8q43mea7srco9,W. Seymore,,,5596055839,213,2.74,5596055833,140,52.5,5596055831,56,Right,5596055835,141,10.6,5596055837,212,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790946159,33,1,1,2,48,bk3zg8yaj5uoqhxzwons3bo8a,1,53.7,12.5,2025-03-22T21:09:53.192Z,2025-03-22T21:09:54Z,bosdsb16w79aihfktvp4cjvje,S. Rivas,,,5596055883,140,56.8,5596055881,56,Right,5596055887,212,5.8,5596055885,141,19.5,5596055889,213,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790946169,34,1,1,2,49,bk3zg8yaj5uoqhxzwons3bo8a,1,56.8,19.5,2025-03-22T21:09:54.230Z,2025-03-22T21:09:55Z,djau5chcmoyiyq28jt9ypzh4a,O. Jabang,,,5596055939,140,47.7,5596055945,213,3.42,5596055943,212,9.9,5596055941,141,15.5,5596055937,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790946213,35,1,1,2,50,bk3zg8yaj5uoqhxzwons3bo8a,1,47.1,15.9,2025-03-22T21:09:55.758Z,2025-03-22T21:10:04Z,bosdsb16w79aihfktvp4cjvje,S. Rivas,,,5596056201,141,46.3,5596056203,212,20.9,5596056205,213,1.73,5596056197,56,Back,5596056199,140,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790946227,36,1,1,2,59,bk3zg8yaj5uoqhxzwons3bo8a,1,57.9,67.2,2025-03-22T21:10:04.430Z,2025-03-22T21:10:07Z,cvdn34vl3zje5uq54nvg77sut,K. Ryden,,,5596056261,140,56.6,5596056263,141,43.7,5596056267,213,4.63,5596056265,212,16.0,5596056259,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790946243,37,1,1,3,2,bk3zg8yaj5uoqhxzwons3bo8a,0,59.2,37.9,2025-03-22T21:10:07.079Z,2025-03-22T21:10:09Z,9imj5ig0i01uljnd3gd2cz1m,T. Maples,,,5596056391,212,31.2,5596056393,213,0.23,5596056389,141,48.2,5596056383,155,,5596056387,140,88.2,5596056385,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790946245,11,11,1,3,5,5h878vnmkbuy2ummddprusxgq,1,11.7,49.3,2025-03-22T21:10:10.747Z,2025-03-25T11:23:19Z,cuw4kvdf0bazq87mh3dwv71ii,S. Mora-Mora,,,5599834521,88,,5599834551,378,,5599834519,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790946327,12,1,1,3,10,5h878vnmkbuy2ummddprusxgq,1,12.8,51.5,2025-03-22T21:10:15.875Z,2025-03-22T21:10:22Z,cuw4kvdf0bazq87mh3dwv71ii,S. Mora-Mora,,,5596056793,140,23.8,5596056789,123,,5596056791,56,Back,5596056797,212,29.7,5596056795,141,91.7,5596056799,213,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790946349,13,1,1,3,17,5h878vnmkbuy2ummddprusxgq,1,36.0,91.8,2025-03-22T21:10:22.221Z,2025-03-22T21:10:24Z,2dbik29e0m9bil2ofn2yhrget,T. Alfaro,,,5596056919,56,Back,5596056921,140,40.6,5596056923,141,81.1,5596056927,213,5.30,5596056925,212,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790946367,14,1,1,3,19,5h878vnmkbuy2ummddprusxgq,1,38.6,78.4,2025-03-22T21:10:23.955Z,2025-03-22T21:10:26Z,7ctc1xui7wk89o5v00z8ijqw9,E. Calvillo,,,5596057019,56,Back,5596057021,140,24.4,5596057023,141,68.5,5596057027,213,3.57,5596057025,212,16.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790946385,15,1,1,3,21,5h878vnmkbuy2ummddprusxgq,1,24.2,66.7,2025-03-22T21:10:26.531Z,2025-03-22T22:10:29Z,9hqo1ykdlw9iv4tlo8d3vu9ec,B. Romero,,,5596057103,212,24.1,5596057101,141,31.5,5596057105,213,4.59,5596057097,56,Back,5596057099,140,21.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790946449,16,1,1,3,26,5h878vnmkbuy2ummddprusxgq,1,32.8,15.0,2025-03-22T21:10:31.563Z,2025-03-22T21:10:34Z,8gy9wgqywaqi9uy6i31i0q21h,A. Ortíz,,,5596057451,140,23.8,5596057453,141,35.8,5596057457,213,2.16,5596057455,212,17.0,5596057449,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790946491,17,1,1,3,29,5h878vnmkbuy2ummddprusxgq,1,24.9,46.3,2025-03-22T21:10:34.141Z,2025-03-22T21:10:40Z,9hqo1ykdlw9iv4tlo8d3vu9ec,B. Romero,,,5596057711,213,1.15,5596057703,56,Back,5596057707,141,83.9,5596057705,140,35.7,5596057709,212,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790946503,18,1,1,3,35,5h878vnmkbuy2ummddprusxgq,1,36.7,84.1,2025-03-22T21:10:40.284Z,2025-03-22T21:10:42Z,2dbik29e0m9bil2ofn2yhrget,T. Alfaro,,,5596057787,140,42.9,5596057785,56,Back,5596057793,213,0.78,5596057789,141,93.5,5596057791,212,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790946505,19,1,1,3,37,5h878vnmkbuy2ummddprusxgq,1,43.3,93.5,2025-03-22T21:10:42.531Z,2025-03-22T21:10:43Z,6fgxgq77v66va16tcuqvyn6x,Gabi Torres,,,5596057805,212,9.8,5596057807,213,6.16,5596057801,140,52.6,5596057803,141,91.7,5596057799,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790946513,20,1,1,3,38,5h878vnmkbuy2ummddprusxgq,1,52.6,91.7,2025-03-22T21:10:43.395Z,2025-03-22T21:10:44Z,2mgcta30puk8kuwb5mo4zvcnp,A. Moreno,,,5596057837,56,Back,5596057845,213,3.44,5596057839,140,43.6,5596057841,141,87.5,5596057843,212,9.9,5596057887,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790946527,21,61,1,3,40,5h878vnmkbuy2ummddprusxgq,0,46.1,88.1,2025-03-22T21:10:45.283Z,2025-03-22T21:10:45Z,6fgxgq77v66va16tcuqvyn6x,Gabi Torres,,,5596057919,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
