id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/10/value,qualifier/9/value,qualifier/12/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/14/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId
2813135651,9,1,1,0,17,87c66ubwpzykovmkaf1t46bis,0,20.2,81.2,2025-05-11T00:39:31.391Z,2025-05-11T00:39:33Z,ks7omik17xov44i4hhjrldyh,M. Taintor,,,5718282663,56,Left,5718282669,212,48.0,5718282671,213,0.28,5718282665,140,64.1,5718282667,141,100.0,5718282673,1,,5718282661,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813135803,3,5,1,0,17,b5l2e3csycjb8twvq9ek0j5gq,1,32.4,-1.2,2025-05-11T00:39:32.155Z,2025-05-11T03:20:35Z,24r8fdf8ypk7ejch9t86zjwgk,I. Alekseev,,,5718283429,56,Back,5718283431,347,,5718283437,233,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813135659,10,5,1,0,17,87c66ubwpzykovmkaf1t46bis,0,67.6,101.2,2025-05-11T00:39:32.155Z,2025-05-11T03:20:35Z,ks7omik17xov44i4hhjrldyh,M. Taintor,,,5718283447,233,3,5718282705,347,,5718282701,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813135835,4,1,1,0,32,b5l2e3csycjb8twvq9ek0j5gq,1,32.4,0.0,2025-05-11T00:39:46.402Z,2025-05-11T00:39:50Z,24r8fdf8ypk7ejch9t86zjwgk,I. Alekseev,,,5718283613,140,28.4,5718283619,213,1.79,5718283615,141,25.2,5718283617,212,19.0,5718283609,107,,5718283623,189,,5718283611,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813135849,5,1,1,0,36,b5l2e3csycjb8twvq9ek0j5gq,1,28.1,25.5,2025-05-11T00:39:50.825Z,2025-05-11T00:39:51Z,2w7w1l7lwhu2u6nhvqg1bnd2h,N. Hackshaw,,,5718283703,1,,5718283693,56,Back,5718283701,213,1.27,5718283697,141,72.9,5718283695,140,37.6,5718283699,212,33.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813135857,6,1,1,0,37,b5l2e3csycjb8twvq9ek0j5gq,0,37.6,72.9,2025-05-11T00:39:51.705Z,2025-05-11T00:39:52Z,3xd2kq7cxmvdbqsfzgi644c4q,J. Bravo,,,5718283729,140,62.7,5718283731,141,73.5,5718283727,56,Center,5718283735,213,0.02,5718283733,212,26.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813135889,11,61,1,0,38,87c66ubwpzykovmkaf1t46bis,1,39.0,14.3,2025-05-11T00:39:53.095Z,2025-05-11T03:12:32Z,euesmrqkdyvekqtpk81ln7uqy,L. Paredes,,,5718283887,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813135883,7,1,1,0,40,b5l2e3csycjb8twvq9ek0j5gq,1,53.5,90.0,2025-05-11T00:39:54.226Z,2025-05-11T00:39:55Z,6g7v93m80xq6x38o9u3t8y3je,W. Prentice,,,5718283859,56,Back,5718283861,140,40.1,5718283865,212,16.7,5718283867,213,3.71,5718283863,141,76.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813135899,8,1,1,0,40,b5l2e3csycjb8twvq9ek0j5gq,1,40.1,76.9,2025-05-11T00:39:55.002Z,2025-05-11T00:39:56Z,3xd2kq7cxmvdbqsfzgi644c4q,J. Bravo,,,5718283937,141,64.3,5718283935,140,49.3,5718283941,213,5.56,5718283933,56,Back,5718283939,212,12.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813135907,9,1,1,0,41,b5l2e3csycjb8twvq9ek0j5gq,1,49.3,64.3,2025-05-11T00:39:56.186Z,2025-05-11T00:39:57Z,4jq1xl8ott88bxfdo4bjm47hl,T. Gibson,,,5718284003,212,17.0,5718284005,213,2.28,5718283997,56,Back,5718283999,140,38.8,5718284001,141,83.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813135927,10,1,1,0,43,b5l2e3csycjb8twvq9ek0j5gq,1,38.8,83.3,2025-05-11T00:39:57.290Z,2025-05-11T00:39:59Z,3xd2kq7cxmvdbqsfzgi644c4q,J. Bravo,,,5718284089,140,33.4,5718284091,141,64.2,5718284087,56,Back,5718284093,212,14.2,5718284095,213,4.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813135947,11,1,1,0,44,b5l2e3csycjb8twvq9ek0j5gq,1,32.9,63.4,2025-05-11T00:39:58.815Z,2025-05-11T00:40:01Z,2w7w1l7lwhu2u6nhvqg1bnd2h,N. Hackshaw,,,5718284225,140,34.1,5718284227,141,35.5,5718284229,212,19.0,5718284223,56,Back,5718284231,213,4.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813135959,12,1,1,0,47,b5l2e3csycjb8twvq9ek0j5gq,1,32.4,24.4,2025-05-11T00:40:01.673Z,2025-05-11T00:40:04Z,4e47ixpbc8x9qzn7l3aeej0tl,K. Greene,,,5718284313,213,5.00,5718284309,141,3.7,5718284303,140,36.4,5718284299,56,Back,5718284311,212,14.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813135973,13,1,1,0,50,b5l2e3csycjb8twvq9ek0j5gq,1,36.4,3.7,2025-05-11T00:40:04.257Z,2025-05-11T00:40:06Z,24r8fdf8ypk7ejch9t86zjwgk,I. Alekseev,,,5718284433,213,1.56,5718284425,56,Back,5718284427,140,36.5,5718284429,141,16.7,5718284431,212,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813135985,14,1,1,0,52,b5l2e3csycjb8twvq9ek0j5gq,1,33.3,6.7,2025-05-11T00:40:06.369Z,2025-05-11T00:40:08Z,ov91zkisppven9tp72gfbjf8,B. Byaruhanga,,,5718284513,141,1.6,5718284511,140,42.2,5718284517,213,5.93,5718284509,56,Back,5718284515,212,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813136023,15,1,1,0,53,b5l2e3csycjb8twvq9ek0j5gq,1,42.2,1.6,2025-05-11T00:40:08.097Z,2025-05-11T00:40:13Z,24r8fdf8ypk7ejch9t86zjwgk,I. Alekseev,,,5718284761,212,24.6,5718284759,141,15.0,5718284757,140,64.0,5718284755,56,Right,5718284763,213,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813136067,16,1,1,0,59,b5l2e3csycjb8twvq9ek0j5gq,1,66.1,27.4,2025-05-11T00:40:13.346Z,2025-05-11T00:40:16Z,doseo9fbdr1a1srm0jhdqmr55,J. Sinisterra,,,5718284963,212,32.2,5718284965,213,1.55,5718284967,1,,5718284959,140,66.8,5718284961,141,74.8,5718284957,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813136041,12,83,1,1,0,87c66ubwpzykovmkaf1t46bis,0,31.4,60.8,2025-05-11T00:40:14.309Z,2025-05-11T01:28:59Z,bzu3rjr0r2qmxluguyseq5sdl,A. Soto,,,5718285035,399,6g7v93m80xq6x38o9u3t8y3je,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813136075,17,1,1,1,2,b5l2e3csycjb8twvq9ek0j5gq,1,71.4,69.6,2025-05-11T00:40:16.482Z,2025-05-11T00:40:17Z,6g7v93m80xq6x38o9u3t8y3je,W. Prentice,,,5718285029,212,3.5,5718285023,56,Center,5718285031,213,4.53,5718285025,140,70.8,5718285027,141,64.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813136085,13,83,1,1,2,87c66ubwpzykovmkaf1t46bis,0,27.5,23.3,2025-05-11T00:40:16.533Z,2025-05-11T01:28:58Z,euesmrqkdyvekqtpk81ln7uqy,L. Paredes,,,5718511349,399,cxnq0rc4u1efzt82nw3xgk355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813136097,18,1,1,1,4,b5l2e3csycjb8twvq9ek0j5gq,0,70.7,64.5,2025-05-11T00:40:18.282Z,2025-05-11T00:53:44Z,cxnq0rc4u1efzt82nw3xgk355,P. Armenakas,,,5718285151,140,94.2,5718285149,56,Center,5718285147,155,,5718285157,213,0.10,5718285155,212,24.8,5718285153,141,68.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813136167,15,1,1,1,11,87c66ubwpzykovmkaf1t46bis,1,11.7,36.1,2025-05-11T00:40:25.533Z,2025-05-11T00:40:28Z,h4nbagq5dsdltn9x62oi0t05,R. Sánchez,,,5718285539,287,,5718285491,123,,5718285503,1,,5718285501,213,1.21,5718285499,212,34.3,5718285493,56,Back,5718285497,141,83.3,5718285495,140,23.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813136199,16,1,1,1,15,87c66ubwpzykovmkaf1t46bis,1,22.8,83.5,2025-05-11T00:40:29.334Z,2025-05-11T00:40:30Z,ks7omik17xov44i4hhjrldyh,M. Taintor,,,5718285651,212,8.0,5718285649,141,78.4,5718285647,140,29.7,5718285645,56,Back,5718285653,213,5.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813136203,17,1,1,1,15,87c66ubwpzykovmkaf1t46bis,1,29.7,78.4,2025-05-11T00:40:29.988Z,2025-05-11T00:40:31Z,bfdes5ft117ggu7ue5tnu5hm2,N. Hernandez,,,5718285673,213,3.61,5718285697,156,,5718285669,141,69.9,5718285667,140,18.9,5718285665,56,Back,5718285671,212,12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813136253,18,1,1,1,19,87c66ubwpzykovmkaf1t46bis,1,11.6,67.9,2025-05-11T00:40:33.829Z,2025-05-11T00:40:35Z,9izvs4qd03gfmqukkk5csxxxw,M. Omar,,,5718285957,213,4.15,5718285955,212,16.1,5718285951,140,3.4,5718285949,56,Back,5718285953,141,47.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813136295,19,1,1,1,20,87c66ubwpzykovmkaf1t46bis,1,3.4,47.9,2025-05-11T00:40:34.956Z,2025-05-11T00:40:38Z,h4nbagq5dsdltn9x62oi0t05,R. Sánchez,,,5718286179,212,20.8,5718286177,141,18.0,5718286175,140,7.5,5718286181,213,4.92,5718286173,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813136369,20,1,1,1,24,87c66ubwpzykovmkaf1t46bis,1,7.2,10.1,2025-05-11T00:40:38.540Z,2025-05-11T00:40:43Z,4o1ryjpzoxzpi3ex53cmayui1,A. Crognale,,,5718286519,1,,5718286507,157,,5718286515,212,44.5,5718286517,213,0.52,5718286509,56,Back,5718286511,140,44.0,5718286513,141,42.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813136403,21,1,1,1,29,87c66ubwpzykovmkaf1t46bis,1,44.0,42.5,2025-05-11T00:40:43.669Z,2025-05-11T00:40:46Z,4695nvcz8lcrklltxvalcizmd,J. Agudelo,,,5718286695,212,12.7,5718286697,213,1.46,5718286691,140,45.3,5718286693,141,61.1,5718286689,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813136445,22,1,1,1,32,87c66ubwpzykovmkaf1t46bis,1,64.7,66.4,2025-05-11T00:40:46.493Z,2025-05-11T00:40:50Z,zd582wgzhdcz8n6oipywt3vt,J. Hernández,,,5718286911,212,21.2,5718286909,141,93.0,5718286905,56,Left,5718286907,140,75.2,5718286913,213,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813136481,23,1,1,1,35,87c66ubwpzykovmkaf1t46bis,1,76.9,91.1,2025-05-11T00:40:49.965Z,2025-05-11T00:40:52Z,c481wk3de3opu190d8z99w8yy,N. Flores,,,5718287103,213,5.97,5718287095,56,Left,5718287101,212,12.7,5718287097,140,88.4,5718287099,141,85.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813136513,24,1,1,1,38,87c66ubwpzykovmkaf1t46bis,1,90.7,90.8,2025-05-11T00:40:52.364Z,2025-05-11T00:40:55Z,zd582wgzhdcz8n6oipywt3vt,J. Hernández,,,5718287275,212,9.5,5718287277,213,2.79,5718287271,140,82.2,5718287273,141,95.6,5718287269,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813136593,25,1,1,1,41,87c66ubwpzykovmkaf1t46bis,1,93.7,94.4,2025-05-11T00:40:55.461Z,2025-05-11T00:41:09Z,c481wk3de3opu190d8z99w8yy,N. Flores,1.0,,5718287741,212,14.9,5718287739,141,73.0,5718287737,140,90.5,5718287735,56,Center,5718287731,2,,5718288557,210,15,5718287733,155,,5718288559,154,,5718287743,213,4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813136619,26,44,1,1,45,87c66ubwpzykovmkaf1t46bis,1,90.0,64.7,2025-05-11T00:41:00.040Z,2025-05-11T03:05:44Z,bfdes5ft117ggu7ue5tnu5hm2,N. Hernandez,,,5718287875,286,,5718287873,56,Center,5718287939,233,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813136589,19,44,1,1,45,b5l2e3csycjb8twvq9ek0j5gq,0,10.0,35.3,2025-05-11T00:41:00.041Z,2025-05-11T03:05:44Z,4jq1xl8ott88bxfdo4bjm47hl,T. Gibson,,,5718287993,233,26,5718287715,56,Back,5718287717,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813136625,27,15,1,1,46,87c66ubwpzykovmkaf1t46bis,1,91.4,70.1,2025-05-11T00:41:01.022Z,2025-05-11T03:21:58Z,bfdes5ft117ggu7ue5tnu5hm2,N. Hernandez,,,5718288609,103,12.7,5718288589,29,,5718288623,147,54.5,5718288587,76,,5718288597,55,25,5718287903,56,Center,5718288591,154,,5718288619,146,98.9,5718288605,102,53.6,5718288617,328,5718288585,15,5718288639,233,20,5718287897,22,5718287899,64,,,,,,,,,,,,,,,,
2813136613,20,10,1,1,46,b5l2e3csycjb8twvq9ek0j5gq,1,1.8,47.1,2025-05-11T00:41:01.122Z,2025-05-11T00:42:37Z,6j38lv6xa3gnzzsn5x2i35rdh,K. McIntosh,,,5718287853,182,,5718288683,233,27,5718287855,56,Back,5718287851,178,,5718287849,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813136665,22,1,1,1,49,b5l2e3csycjb8twvq9ek0j5gq,1,3.0,47.8,2025-05-11T00:41:03.449Z,2025-05-11T00:41:05Z,6j38lv6xa3gnzzsn5x2i35rdh,K. McIntosh,,,5718288093,141,82.1,5718288085,56,Back,5718288089,140,28.3,5718288097,213,0.72,5718288095,212,35.4,5718288099,1,,5718288161,287,,5718288083,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813136735,23,1,1,1,52,b5l2e3csycjb8twvq9ek0j5gq,1,35.0,86.6,2025-05-11T00:41:06.969Z,2025-05-11T00:41:08Z,cxnq0rc4u1efzt82nw3xgk355,P. Armenakas,,,5718288497,141,91.4,5718288495,140,24.0,5718288501,213,2.87,5718288499,212,12.0,5718288493,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813136785,24,1,1,1,54,b5l2e3csycjb8twvq9ek0j5gq,1,24.0,91.4,2025-05-11T00:41:08.241Z,2025-05-11T00:41:12Z,6g7v93m80xq6x38o9u3t8y3je,W. Prentice,,,5718288807,56,Back,5718288809,140,20.9,5718288815,213,4.35,5718288811,141,78.7,5718288813,212,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813136835,25,1,1,1,59,b5l2e3csycjb8twvq9ek0j5gq,1,21.4,76.3,2025-05-11T00:41:13.584Z,2025-05-11T00:41:16Z,3xd2kq7cxmvdbqsfzgi644c4q,J. Bravo,,,5718289111,56,Back,5718289115,141,23.1,5718289117,212,36.5,5718289113,140,26.2,5718289119,213,4.85,5718289121,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813136869,26,1,1,2,1,b5l2e3csycjb8twvq9ek0j5gq,1,26.6,21.9,2025-05-11T00:41:15.881Z,2025-05-11T00:41:19Z,4e47ixpbc8x9qzn7l3aeej0tl,K. Greene,,,5718289305,140,39.9,5718289309,141,6.2,5718289317,213,5.63,5718289313,212,17.6,5718289303,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813136929,27,1,1,2,4,b5l2e3csycjb8twvq9ek0j5gq,1,39.9,6.2,2025-05-11T00:41:18.969Z,2025-05-11T00:41:22Z,24r8fdf8ypk7ejch9t86zjwgk,I. Alekseev,,,5718289713,141,18.0,5718289711,140,35.2,5718289715,212,9.4,5718289709,56,Back,5718289717,213,2.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813136977,28,1,1,2,8,b5l2e3csycjb8twvq9ek0j5gq,1,35.3,23.1,2025-05-11T00:41:22.481Z,2025-05-11T00:41:25Z,ov91zkisppven9tp72gfbjf8,B. Byaruhanga,,,5718289935,213,1.14,5718289933,212,24.4,5718289931,141,55.7,5718289929,140,45.1,5718289927,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813136989,29,1,1,2,11,b5l2e3csycjb8twvq9ek0j5gq,0,45.1,55.7,2025-05-11T00:41:25.657Z,2025-05-11T00:41:26Z,cxnq0rc4u1efzt82nw3xgk355,P. Armenakas,,,5718290001,140,60.7,5718289999,56,Center,5718290003,141,26.1,5718290005,212,26.0,5718290007,213,5.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813137091,28,1,1,2,13,87c66ubwpzykovmkaf1t46bis,1,41.9,86.3,2025-05-11T00:41:27.524Z,2025-05-11T00:41:32Z,c481wk3de3opu190d8z99w8yy,N. Flores,,,5718290537,141,88.1,5718290535,140,66.8,5718290541,213,0.05,5718290533,56,Left,5718290539,212,26.2,5718290531,157,,5718290545,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813137099,29,4,1,2,18,87c66ubwpzykovmkaf1t46bis,1,59.3,85.2,2025-05-11T00:41:32.200Z,2025-05-11T03:05:15Z,zd582wgzhdcz8n6oipywt3vt,J. Hernández,,,5718290601,13,,5718290609,286,,5718290605,152,,5718290607,265,,5718290645,233,30,5718290603,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813137085,30,4,1,2,18,b5l2e3csycjb8twvq9ek0j5gq,0,40.7,14.8,2025-05-11T00:41:32.201Z,2025-05-11T03:05:15Z,24r8fdf8ypk7ejch9t86zjwgk,I. Alekseev,,,5718290627,285,,5718290625,265,,5718290683,233,29,5718290621,56,Back,5718290623,152,,5718290619,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
