id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2800292467,3,43,1,0,20,e3k8yw2rbmphyfu5htn4yi5jk,1,0.0,0.0,2025-04-12T23:37:47.874Z,2025-04-12T23:38:37Z,ect3pxkbjycux4simxmzp9jze,L. Zamudio,,,5647399105,144,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800292483,4,1,1,0,20,e3k8yw2rbmphyfu5htn4yi5jk,1,12.6,12.9,2025-04-12T23:37:48.146Z,2025-04-12T23:37:51Z,ect3pxkbjycux4simxmzp9jze,L. Zamudio,,,5647396159,56,Back,5647396161,140,36.6,5647396163,141,20.4,5647396167,213,0.20,5647396169,1,,5647396165,212,25.7,5647396157,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800292517,5,1,1,0,23,e3k8yw2rbmphyfu5htn4yi5jk,1,36.6,20.4,2025-04-12T23:37:50.914Z,2025-04-12T23:37:54Z,dmbqkvvaray373vy9eiq4l1ck,J. Torres,,,5647396377,56,Back,5647396385,213,2.21,5647396381,141,33.3,5647396383,212,10.9,5647396379,140,30.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800292567,7,1,1,0,27,e3k8yw2rbmphyfu5htn4yi5jk,1,29.7,33.6,2025-04-12T23:37:54.602Z,2025-04-12T23:37:59Z,5tyrfuxsp7s9thsmhfqevuoyx,A. Molloy,,,5647396687,141,53.9,5647396683,56,Back,5647396685,140,29.6,5647396691,213,1.58,5647396689,212,13.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800292587,8,1,1,0,31,e3k8yw2rbmphyfu5htn4yi5jk,1,36.1,60.3,2025-04-12T23:37:59.170Z,2025-04-12T23:38:00Z,ecjt2cd0xn1qyeyboapqwxbvu,E. Ycaza,,,5647396779,213,3.16,5647396773,140,24.6,5647396771,56,Back,5647396775,141,60.0,5647396777,212,12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800292649,9,1,1,0,32,e3k8yw2rbmphyfu5htn4yi5jk,1,24.6,60.0,2025-04-12T23:38:00.530Z,2025-04-12T23:38:06Z,14oq6mvlh5e51d9y20nbpok4p,C. Allan,,,5647397091,140,23.2,5647397099,212,22.6,5647397101,213,4.65,5647397089,56,Back,5647397095,141,26.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800292687,10,1,1,0,39,e3k8yw2rbmphyfu5htn4yi5jk,1,30.0,32.4,2025-04-12T23:38:06.770Z,2025-04-12T23:38:09Z,ani26vxlo22iw1u9oexptml05,L. Archer,,,5647397307,141,43.0,5647397305,140,36.2,5647397303,56,Back,5647397311,213,0.84,5647397309,212,9.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800292723,11,1,1,0,42,e3k8yw2rbmphyfu5htn4yi5jk,1,36.0,42.5,2025-04-12T23:38:09.649Z,2025-04-12T23:38:12Z,14oq6mvlh5e51d9y20nbpok4p,C. Allan,,,5647397511,141,10.3,5647397513,212,29.4,5647397509,140,54.7,5647397505,56,Right,5647397515,213,5.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800292757,12,1,1,0,45,e3k8yw2rbmphyfu5htn4yi5jk,1,45.3,6.2,2025-04-12T23:38:12.578Z,2025-04-12T23:38:14Z,dmbqkvvaray373vy9eiq4l1ck,J. Torres,,,5647397615,141,4.9,5647397617,212,13.3,5647397619,213,3.21,5647397611,56,Back,5647397613,140,32.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800292809,13,1,1,0,49,e3k8yw2rbmphyfu5htn4yi5jk,1,32.1,5.3,2025-04-12T23:38:17.450Z,2025-04-12T23:38:18Z,94zkjopy373mgso15ljxmhd04,N. Houssou,,,5647397855,212,17.9,5647397857,213,2.11,5647397849,56,Back,5647397853,141,27.9,5647397851,140,23.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800292867,14,1,1,0,50,e3k8yw2rbmphyfu5htn4yi5jk,1,23.3,27.9,2025-04-12T23:38:18.226Z,2025-04-12T23:38:22Z,ani26vxlo22iw1u9oexptml05,L. Archer,,,5647398141,141,65.8,5647398137,56,Back,5647398143,212,25.8,5647398139,140,24.3,5647398145,213,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800292891,15,1,1,0,54,e3k8yw2rbmphyfu5htn4yi5jk,1,24.3,65.8,2025-04-12T23:38:22.339Z,2025-04-12T23:38:25Z,3s1a50dskuehneuuy9b1nxg4,J. Akpunonu,,,5647398281,213,4.83,5647398275,140,27.0,5647398279,212,23.9,5647398273,56,Back,5647398277,141,30.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800292951,16,1,1,0,57,e3k8yw2rbmphyfu5htn4yi5jk,1,26.2,28.5,2025-04-12T23:38:25.018Z,2025-04-12T23:38:31Z,ani26vxlo22iw1u9oexptml05,L. Archer,,,5647398699,213,1.59,5647398693,140,25.9,5647398691,56,Back,5647398695,141,54.8,5647398697,212,17.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800292997,17,1,1,1,3,e3k8yw2rbmphyfu5htn4yi5jk,0,27.0,56.7,2025-04-12T23:38:31.378Z,2025-04-12T23:38:35Z,3s1a50dskuehneuuy9b1nxg4,J. Akpunonu,,,5647398961,213,5.48,5647398963,1,,5647398955,140,63.5,5647398957,141,0.0,5647398959,212,55.1,5647398951,155,,5647398953,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800293103,9,5,1,1,6,224tl8u2smnbyliroayk69nt0,1,36.0,101.8,2025-04-12T23:38:34.509Z,2025-04-13T01:46:41Z,cxrjwzo1fmvgcw8i820hwn07p,J. Etou,,,5647399573,347,,5647399585,233,18,5647399571,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800293003,18,5,1,1,6,e3k8yw2rbmphyfu5htn4yi5jk,0,64.0,-1.8,2025-04-12T23:38:34.509Z,2025-04-13T01:46:41Z,3s1a50dskuehneuuy9b1nxg4,J. Akpunonu,,,5647398993,56,Right,5647398995,347,,5647399615,233,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800293129,10,1,1,1,17,224tl8u2smnbyliroayk69nt0,1,35.2,100.0,2025-04-12T23:38:45.022Z,2025-04-12T23:38:47Z,cxrjwzo1fmvgcw8i820hwn07p,J. Etou,,,5647399741,140,35.9,5647399737,107,,5647399747,213,4.76,5647399743,141,79.7,5647399739,56,Back,5647399745,212,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800293151,11,1,1,1,18,224tl8u2smnbyliroayk69nt0,0,35.9,79.7,2025-04-12T23:38:46.061Z,2025-04-13T01:48:05Z,e8rbnbqkrxia3lgt7agaid4kq,R. Mertz,,,5647399891,1,,5647399877,56,Center,5647399887,212,22.7,5647399875,157,,5647399889,213,6.16,5647399883,141,75.5,5647399881,140,57.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800330007,315,3,1,1,20,224tl8u2smnbyliroayk69nt0,0,58.6,68.4,2025-04-12T23:38:48.081Z,2025-04-13T01:48:40Z,e8rbnbqkrxia3lgt7agaid4kq,R. Mertz,,,5647604077,56,Center,5647604079,286,,5647604999,233,466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800330165,466,7,1,1,20,e3k8yw2rbmphyfu5htn4yi5jk,1,41.4,31.6,2025-04-12T23:38:48.082Z,2025-04-13T02:00:31Z,14oq6mvlh5e51d9y20nbpok4p,C. Allan,,,5647604993,233,315,5647604985,285,,5647604983,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800293193,19,83,1,1,22,e3k8yw2rbmphyfu5htn4yi5jk,0,41.2,33.1,2025-04-12T23:38:50.082Z,2025-04-13T01:48:49Z,ecjt2cd0xn1qyeyboapqwxbvu,E. Ycaza,,,5647885135,399,c4va4gt5g10zm05qtucgyt889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800293221,12,1,1,1,24,224tl8u2smnbyliroayk69nt0,1,58.2,73.8,2025-04-12T23:38:51.806Z,2025-04-13T01:48:18Z,c4va4gt5g10zm05qtucgyt889,D. Griffin,,,5647400181,141,77.2,5647400183,212,2.7,5647400179,140,56.9,5647400177,56,Center,5647400185,213,2.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800293229,13,1,1,1,27,224tl8u2smnbyliroayk69nt0,1,54.7,76.5,2025-04-12T23:38:54.790Z,2025-04-13T00:34:20Z,1445ppxg007udzcj6t20ceyju,R. Ydrach,,,5647400237,212,22.9,5647400235,141,71.0,5647400233,140,33.2,5647400231,56,Back,5647400239,213,3.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800293257,14,1,1,1,29,224tl8u2smnbyliroayk69nt0,1,33.6,75.5,2025-04-12T23:38:57.397Z,2025-04-13T00:34:24Z,3g0rdzkjns986gn34vg3umiqy,S. Suber,,,5647400391,212,17.2,5647400389,141,50.2,5647400393,213,4.74,5647400383,140,34.1,5647400379,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800293305,15,1,1,1,31,224tl8u2smnbyliroayk69nt0,1,34.2,46.6,2025-04-12T23:38:59.413Z,2025-04-12T23:39:03Z,c8nk2hg1xy4h4646ajpq65dnu,I. Osumanu,,,5647400681,140,37.8,5647400679,56,Back,5647400693,213,4.97,5647400685,141,25.4,5647400687,212,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800293339,16,1,1,1,35,224tl8u2smnbyliroayk69nt0,1,42.4,16.4,2025-04-12T23:39:03.462Z,2025-04-12T23:39:06Z,69pe2d0b9ughzcn3iqarracr8,L. Biasi,,,5647400835,212,10.8,5647400827,56,Back,5647400837,213,2.64,5647400833,141,24.0,5647400831,140,33.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800293343,17,1,1,1,39,224tl8u2smnbyliroayk69nt0,0,33.1,23.7,2025-04-12T23:39:06.750Z,2025-04-12T23:39:07Z,c8nk2hg1xy4h4646ajpq65dnu,I. Osumanu,,,5647400867,140,72.1,5647400865,56,Center,5647400873,213,6.28,5647400871,212,41.0,5647400875,1,,5647400863,157,,5647400869,141,23.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800293497,20,1,1,1,43,e3k8yw2rbmphyfu5htn4yi5jk,0,29.3,70.9,2025-04-12T23:39:10.867Z,2025-04-12T23:42:55Z,3s1a50dskuehneuuy9b1nxg4,J. Akpunonu,,,5647401681,3,,5647401683,56,Back,5647401687,141,100.0,5647401689,212,24.1,5647401693,213,1.06,5647401685,140,40.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800293593,18,5,1,1,54,224tl8u2smnbyliroayk69nt0,1,56.8,-1.8,2025-04-12T23:39:22.085Z,2025-04-13T01:46:42Z,c8nk2hg1xy4h4646ajpq65dnu,I. Osumanu,,,5647402235,233,21,5647402191,56,Right,5647402193,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800293503,21,5,1,1,54,e3k8yw2rbmphyfu5htn4yi5jk,0,43.2,101.8,2025-04-12T23:39:22.085Z,2025-04-13T01:46:42Z,5tyrfuxsp7s9thsmhfqevuoyx,A. Molloy,,,5647401723,347,,5647401721,56,Back,5647402265,233,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800293635,19,1,1,2,6,224tl8u2smnbyliroayk69nt0,1,58.0,0.0,2025-04-12T23:39:34.301Z,2025-04-12T23:39:37Z,69pe2d0b9ughzcn3iqarracr8,L. Biasi,,,5647402411,212,8.8,5647402413,213,1.39,5647402403,107,,5647402409,141,11.9,5647402407,140,59.5,5647402405,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800293647,20,1,1,2,7,224tl8u2smnbyliroayk69nt0,0,59.5,12.6,2025-04-12T23:39:35.413Z,2025-04-13T00:34:51Z,1445ppxg007udzcj6t20ceyju,R. Ydrach,,,5647402493,56,Right,5647606813,189,,5647402491,3,,5647402501,213,0.68,5647402499,212,6.5,5647402497,141,18.6,5647402495,140,64.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800293641,22,1,1,2,9,e3k8yw2rbmphyfu5htn4yi5jk,0,31.6,68.4,2025-04-12T23:39:37.194Z,2025-04-12T23:39:37Z,ani26vxlo22iw1u9oexptml05,L. Archer,,,5647402461,212,12.6,5647402463,213,0.93,5647402457,140,38.8,5647402449,157,,5647402459,141,83.2,5647402465,1,,5647402453,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800293669,21,1,1,2,11,224tl8u2smnbyliroayk69nt0,0,61.5,16.7,2025-04-12T23:39:39.005Z,2025-04-13T00:35:19Z,1445ppxg007udzcj6t20ceyju,R. Ydrach,,,5647402613,212,5.2,5647402611,141,15.3,5647402609,140,66.4,5647402607,56,Right,5647402605,3,,5647402615,213,6.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800293725,22,83,1,2,15,224tl8u2smnbyliroayk69nt0,0,64.6,15.9,2025-04-12T23:39:43.181Z,2025-04-13T00:35:21Z,1l26kd7tulii6x999b3fdxi0a,B. Sample,,,5647403339,399,ecjt2cd0xn1qyeyboapqwxbvu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800293733,23,1,1,2,16,e3k8yw2rbmphyfu5htn4yi5jk,0,28.5,95.9,2025-04-12T23:39:43.532Z,2025-04-12T23:39:44Z,ecjt2cd0xn1qyeyboapqwxbvu,E. Ycaza,,,5647403009,213,5.70,5647403005,141,78.7,5647403001,56,Back,5647403007,212,21.3,5647403003,140,45.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800293773,23,1,1,2,17,224tl8u2smnbyliroayk69nt0,0,58.6,28.2,2025-04-12T23:39:45.197Z,2025-04-13T00:35:23Z,c8nk2hg1xy4h4646ajpq65dnu,I. Osumanu,,,5647403203,56,Center,5647403213,1,,5647403201,157,,5647403211,213,0.31,5647403209,212,3.1,5647403207,141,29.6,5647403205,140,61.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800293801,24,1,1,2,19,e3k8yw2rbmphyfu5htn4yi5jk,1,32.2,58.8,2025-04-12T23:39:47.042Z,2025-04-12T23:39:49Z,5tyrfuxsp7s9thsmhfqevuoyx,A. Molloy,,,5647403313,56,Back,5647403321,213,5.24,5647403317,141,42.8,5647403319,212,12.6,5647403315,140,38.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800293867,25,1,1,2,22,e3k8yw2rbmphyfu5htn4yi5jk,1,33.0,41.6,2025-04-12T23:39:50.242Z,2025-04-12T23:39:53Z,dmbqkvvaray373vy9eiq4l1ck,J. Torres,,,5647403615,140,29.1,5647403619,212,16.0,5647403617,141,18.8,5647403613,56,Back,5647403623,213,4.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800293893,27,1,1,2,26,e3k8yw2rbmphyfu5htn4yi5jk,1,29.2,21.0,2025-04-12T23:39:54.274Z,2025-04-12T23:39:57Z,ani26vxlo22iw1u9oexptml05,L. Archer,,,5647403795,141,49.7,5647403799,213,2.35,5647403797,212,27.5,5647403793,140,10.8,5647403791,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800293915,28,1,1,2,29,e3k8yw2rbmphyfu5htn4yi5jk,1,7.8,56.6,2025-04-12T23:39:57.146Z,2025-04-12T23:39:59Z,ect3pxkbjycux4simxmzp9jze,L. Zamudio,,,5647403905,212,11.7,5647403899,56,Back,5647403901,140,10.5,5647403907,213,1.33,5647403903,141,73.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800293983,29,1,1,2,31,e3k8yw2rbmphyfu5htn4yi5jk,1,10.2,73.3,2025-04-12T23:39:59.506Z,2025-04-12T23:40:04Z,3s1a50dskuehneuuy9b1nxg4,J. Akpunonu,,,5647404355,213,0.88,5647404347,56,Back,5647404353,212,18.0,5647404349,140,21.1,5647404351,141,93.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800294019,30,1,1,2,36,e3k8yw2rbmphyfu5htn4yi5jk,0,20.9,91.1,2025-04-12T23:40:04.403Z,2025-04-12T23:40:06Z,aur71sievd8d2fnrumu3xf6c,N. Dossantos,,,5647404509,56,Back,5647404515,212,20.9,5647404511,140,38.5,5647404517,213,5.80,5647404513,141,76.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800294039,24,8,1,2,41,224tl8u2smnbyliroayk69nt0,1,40.9,24.5,2025-04-12T23:40:08.557Z,2025-04-13T00:35:46Z,1445ppxg007udzcj6t20ceyju,R. Ydrach,,,5647404589,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800294047,25,5,1,2,42,224tl8u2smnbyliroayk69nt0,0,50.3,-0.8,2025-04-12T23:40:09.606Z,2025-04-12T23:49:00Z,c4va4gt5g10zm05qtucgyt889,D. Griffin,,,5647404649,56,Right,5647404651,347,,5647404717,233,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800294055,31,5,1,2,42,e3k8yw2rbmphyfu5htn4yi5jk,1,49.7,100.8,2025-04-12T23:40:09.606Z,2025-04-13T01:46:42Z,aur71sievd8d2fnrumu3xf6c,N. Dossantos,,,5647404677,56,Back,5647404679,347,,5647404705,233,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800294133,32,1,1,2,50,e3k8yw2rbmphyfu5htn4yi5jk,1,41.9,100.0,2025-04-12T23:40:18.026Z,2025-04-12T23:40:20Z,aur71sievd8d2fnrumu3xf6c,N. Dossantos,,,5647405175,213,3.94,5647405161,56,Back,5647405173,212,12.3,5647405165,140,33.7,5647405157,107,,5647405169,141,88.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
