id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/10/value,qualifier/16/value,qualifier/17/value,qualifier/13/value,qualifier/14/value,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2785852397,6,5,1,0,7,aj8ytsr2ap33tod0hd8ofzaw9,1,67.6,101.2,2025-03-09T02:08:01.675Z,2025-03-09T04:29:54Z,1d20nyyvmp0doobj6heejkowk,T. Calheira,,5568106481,56,Left,5568106483,347,,5568106515,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785852429,7,1,1,0,15,aj8ytsr2ap33tod0hd8ofzaw9,1,66.5,100.0,2025-03-09T02:08:09.024Z,2025-03-09T02:08:11Z,dgpphcc9ql3pv3b4chhchml90,O. Damm,,5568106693,213,4.78,5568106687,140,67.2,5568106691,212,10.5,5568106685,56,Left,5568106683,107,,5568106689,141,85.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785852441,8,1,1,0,17,aj8ytsr2ap33tod0hd8ofzaw9,1,67.2,85.6,2025-03-09T02:08:11.264Z,2025-03-09T02:08:13Z,dks0ibq4b4i2w3bcc05v8rhn8,A. Dalou,,5568106771,213,0.65,5568106763,56,Left,5568106765,140,74.9,5568106767,141,94.7,5568106769,212,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785852447,9,3,1,0,18,aj8ytsr2ap33tod0hd8ofzaw9,0,78.2,95.2,2025-03-09T02:08:12.784Z,2025-03-09T02:08:19Z,dgpphcc9ql3pv3b4chhchml90,O. Damm,,5568106835,286,,5568106833,56,Left,5568106903,233,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785852463,6,7,1,0,18,2iwybwokic7nmr1t33abdbjoq,1,21.8,4.8,2025-03-09T02:08:12.785Z,2025-03-09T02:08:17Z,9xjixcn3jhf7m75dl49u0qe7e,C. Smith,,5568106885,285,,5568106895,233,9,5568106881,167,,5568106883,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785852495,7,5,1,0,20,2iwybwokic7nmr1t33abdbjoq,0,23.9,-1.6,2025-03-09T02:08:14.529Z,2025-03-09T04:29:55Z,9xjixcn3jhf7m75dl49u0qe7e,C. Smith,,5568107105,233,10,5568107059,56,Back,5568107061,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785852493,10,5,1,0,20,aj8ytsr2ap33tod0hd8ofzaw9,1,76.1,101.6,2025-03-09T02:08:14.529Z,2025-03-09T04:29:55Z,dgpphcc9ql3pv3b4chhchml90,O. Damm,,5568107055,347,,5568107053,56,Left,5568107095,233,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785852519,11,1,1,0,24,aj8ytsr2ap33tod0hd8ofzaw9,1,69.8,100.0,2025-03-09T02:08:18.560Z,2025-03-09T02:08:21Z,dgpphcc9ql3pv3b4chhchml90,O. Damm,,5568107189,212,14.4,5568107191,213,3.67,5568107187,141,90.3,5568107185,140,58.0,5568107183,56,Left,5568107181,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785852555,12,1,1,0,27,aj8ytsr2ap33tod0hd8ofzaw9,1,58.0,90.3,2025-03-09T02:08:21.560Z,2025-03-09T03:01:53Z,2giowiodzndu5m2gwn79iiui1,L. Batista,,5568107351,213,3.55,5568107343,56,Back,5568107345,140,38.8,5568107347,141,77.6,5568107349,212,21.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785852595,13,1,1,0,30,aj8ytsr2ap33tod0hd8ofzaw9,1,37.8,75.4,2025-03-09T02:08:24.584Z,2025-03-09T02:08:29Z,d99eakp27bro9g50wpzti8rca,A. Cissoko,,5568107597,212,22.0,5568107595,141,46.1,5568107591,56,Back,5568107593,140,28.9,5568107599,213,4.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785852605,14,1,1,0,35,aj8ytsr2ap33tod0hd8ofzaw9,1,28.9,44.6,2025-03-09T02:08:29.697Z,2025-03-09T02:08:30Z,5ku33b8dbb20fhqdg8h83rdyi,A. Rogers,,5568107653,213,5.39,5568107651,212,28.4,5568107645,56,Back,5568107647,140,45.9,5568107649,141,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785852679,15,1,1,0,36,aj8ytsr2ap33tod0hd8ofzaw9,1,45.9,12.2,2025-03-09T02:08:30.696Z,2025-03-09T02:08:41Z,2imizu6je16b3ssheijycxjh1,H. St Clair,,5568108169,213,6.18,5568108161,56,Right,5568108163,140,86.1,5568108167,212,42.4,5568108165,141,5.6,5568108171,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785852683,16,50,1,0,47,aj8ytsr2ap33tod0hd8ofzaw9,1,86.4,6.2,2025-03-09T02:08:41.016Z,2025-03-09T03:02:04Z,1o7iht0ow216jvo5qm64akup6,S. Stojanovic,,5568108257,233,8,5568108181,286,,5568266313,189,,5568108179,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785852681,8,7,1,0,47,2iwybwokic7nmr1t33abdbjoq,1,13.6,93.8,2025-03-09T02:08:41.017Z,2025-03-09T03:07:40Z,2p7o7pd4vfw3mvp5o8euss6xg,M. Traore,,5568108459,167,,5568108199,189,,5568108233,233,16,5568108175,56,Back,5568108177,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785852729,9,5,1,0,48,2iwybwokic7nmr1t33abdbjoq,0,14.6,101.8,2025-03-09T02:08:42.312Z,2025-03-09T04:29:56Z,8pwslovfo5ostdhvpx53cxclw,P. Boye,,5568108467,56,Back,5568109009,233,17,5568108469,347,,5568108473,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785852819,17,5,1,0,48,aj8ytsr2ap33tod0hd8ofzaw9,1,85.4,-1.8,2025-03-09T02:08:42.312Z,2025-03-09T04:29:56Z,1o7iht0ow216jvo5qm64akup6,S. Stojanovic,,5568108961,56,Right,5568108963,347,,5568108995,233,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785852863,18,1,1,1,0,aj8ytsr2ap33tod0hd8ofzaw9,0,84.3,0.0,2025-03-09T02:08:54.120Z,2025-03-09T02:09:00Z,2imizu6je16b3ssheijycxjh1,H. St Clair,,5568109235,1,,5568109231,212,32.0,5568109233,213,1.54,5568109217,107,,5568109225,140,85.2,5568109227,141,45.7,5568109221,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785852857,10,43,1,1,3,2iwybwokic7nmr1t33abdbjoq,1,0.0,0.0,2025-03-09T02:08:57.937Z,2025-03-09T03:07:58Z,74rnjizxzn5a0oag6sue0ja7e,C. Sainté,,5568109183,140,14.2,5568109181,56,Back,5568109185,141,57.3,5568109187,212,0,5568280003,144,12,5568109189,213,3.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785852873,11,44,1,1,4,2iwybwokic7nmr1t33abdbjoq,1,14.6,55.4,2025-03-09T02:08:58.017Z,2025-03-09T04:11:06Z,6ahu72g0u39bxbjiz7ggefai1,N. Okello,,5568109279,56,Back,5568109281,285,,5568109461,233,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785852879,19,44,1,1,4,aj8ytsr2ap33tod0hd8ofzaw9,0,85.4,44.6,2025-03-09T02:08:58.018Z,2025-03-09T04:11:06Z,dks0ibq4b4i2w3bcc05v8rhn8,A. Dalou,,5568109483,233,11,5568109285,56,Center,5568109287,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785852885,12,12,1,1,4,2iwybwokic7nmr1t33abdbjoq,1,14.2,57.3,2025-03-09T02:08:58.706Z,2025-03-09T03:08:04Z,6ahu72g0u39bxbjiz7ggefai1,N. Okello,,5568109305,56,Back,5568109313,213,1.43,5568109307,140,18.2,5568109311,212,30.3,5568109309,141,100.0,5568109427,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785852907,13,5,1,1,5,2iwybwokic7nmr1t33abdbjoq,0,21.8,101.2,2025-03-09T02:08:59.944Z,2025-03-09T04:29:57Z,74rnjizxzn5a0oag6sue0ja7e,C. Sainté,,5568109411,56,Back,5568109413,347,,5568109763,233,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785852955,20,5,1,1,5,aj8ytsr2ap33tod0hd8ofzaw9,1,78.2,-1.2,2025-03-09T02:08:59.944Z,2025-03-09T04:29:56Z,dks0ibq4b4i2w3bcc05v8rhn8,A. Dalou,,5568109683,347,,5568109745,233,13,5568109681,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785853015,21,1,1,1,15,aj8ytsr2ap33tod0hd8ofzaw9,1,74.5,0.0,2025-03-09T02:09:09.030Z,2025-03-09T02:09:11Z,2imizu6je16b3ssheijycxjh1,H. St Clair,,5568110079,140,61.2,5568110083,212,15.5,5568110075,107,,5568110081,141,9.4,5568110077,56,Right,5568110085,213,2.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785853033,22,1,1,1,17,aj8ytsr2ap33tod0hd8ofzaw9,0,61.2,9.4,2025-03-09T02:09:11.456Z,2025-03-09T02:09:15Z,5ku33b8dbb20fhqdg8h83rdyi,A. Rogers,,5568110189,155,,5568110199,213,0.79,5568110191,56,Center,5568110193,140,78.3,5568110195,141,36.0,5568110197,212,25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785853071,14,44,1,1,19,2iwybwokic7nmr1t33abdbjoq,1,23.8,64.8,2025-03-09T02:09:13.439Z,2025-03-09T04:11:06Z,2p7o7pd4vfw3mvp5o8euss6xg,M. Traore,,5568110395,233,23,5568110375,285,,5568110371,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785853049,23,44,1,1,19,aj8ytsr2ap33tod0hd8ofzaw9,0,76.2,35.2,2025-03-09T02:09:13.440Z,2025-03-09T04:11:07Z,1d20nyyvmp0doobj6heejkowk,T. Calheira,,5568110431,233,14,5568110259,286,,5568110257,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785853099,15,12,1,1,19,2iwybwokic7nmr1t33abdbjoq,1,27.3,66.2,2025-03-09T02:09:13.738Z,2025-03-09T04:26:23Z,2p7o7pd4vfw3mvp5o8euss6xg,M. Traore,,5568110549,212,4.8,5568110547,141,59.7,5568110545,140,25.6,5568110551,213,4.33,5568110543,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785853103,16,12,1,1,23,2iwybwokic7nmr1t33abdbjoq,1,25.1,59.9,2025-03-09T02:09:17.769Z,2025-03-09T02:09:21Z,8pwslovfo5ostdhvpx53cxclw,P. Boye,,5568110561,212,18.4,5568110563,213,1.83,5568110557,140,20.6,5568110555,56,Back,5568110581,15,,5568110559,141,86.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785853133,24,61,1,1,27,aj8ytsr2ap33tod0hd8ofzaw9,0,75.0,17.1,2025-03-09T02:09:21.256Z,2025-03-09T02:09:21Z,1o7iht0ow216jvo5qm64akup6,S. Stojanovic,,5568110699,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785853235,17,5,1,1,27,2iwybwokic7nmr1t33abdbjoq,1,23.9,101.0,2025-03-09T02:09:21.298Z,2025-03-09T02:09:33Z,8pwslovfo5ostdhvpx53cxclw,P. Boye,,5568111307,347,,5568111305,56,Back,5568111331,233,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785853149,25,5,1,1,27,aj8ytsr2ap33tod0hd8ofzaw9,0,76.1,-1.0,2025-03-09T02:09:21.298Z,2025-03-09T04:29:57Z,1o7iht0ow216jvo5qm64akup6,S. Stojanovic,,5568111355,233,17,5568110775,56,Right,5568110777,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785853247,18,1,1,1,38,2iwybwokic7nmr1t33abdbjoq,0,20.5,100.0,2025-03-09T02:09:32.265Z,2025-03-09T02:09:34Z,d74g09o22jua08rgr8e71x4kq,R. Flood,,5568111393,107,,5568111395,56,Back,5568111397,140,42.8,5568111401,212,25.3,5568111403,213,5.89,5568111405,1,,5568111399,141,86.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785853275,26,1,1,1,41,aj8ytsr2ap33tod0hd8ofzaw9,0,50.9,23.1,2025-03-09T02:09:35.441Z,2025-03-09T02:09:37Z,d99eakp27bro9g50wpzti8rca,A. Cissoko,,5568111559,56,Back,5568111561,140,49.4,5568111563,141,48.4,5568111565,212,17.3,5568111567,213,1.66,5568111557,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785853343,19,1,1,1,46,2iwybwokic7nmr1t33abdbjoq,1,54.1,47.4,2025-03-09T02:09:40.914Z,2025-03-09T02:09:45Z,2lpjr3oys0s0u2pnhut8epqwa,D. Rivera,,5568111923,56,Right,5568111925,140,67.1,5568111927,141,17.9,5568111931,213,5.31,5568111929,212,24.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785853377,20,1,1,1,50,2iwybwokic7nmr1t33abdbjoq,1,70.6,18.3,2025-03-09T02:09:44.026Z,2025-03-09T04:26:13Z,6naqq6f6acfec3zh2msuxrmqd,D. Formella,1.0,5568112015,56,Center,5568112485,154,,5568112017,140,84.5,5568112483,210,13,5568112021,212,25.4,5568112023,213,0.96,5568112019,141,48.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785853383,21,13,1,1,50,2iwybwokic7nmr1t33abdbjoq,1,84.5,48.8,2025-03-09T02:09:44.426Z,2025-03-09T04:26:11Z,4x3md4d2zvyvxlhtqp0ocvmqx,R. Cabral,,5568112505,29,,5568112501,75,,5568112049,56,Center,5568112047,17,,5568112045,22,,5568112513,55,20,5568112509,154,,5568112523,103,19.4,5568112521,102,39.3,5568112527,230,98.8,5568112525,328,5568112215,20,5568112529,231,49.1,,,,,,,,,,,,,,,,,,,,
2785853413,22,5,1,1,51,2iwybwokic7nmr1t33abdbjoq,0,101.6,38.3,2025-03-09T02:09:45.896Z,2025-03-09T04:29:58Z,4x3md4d2zvyvxlhtqp0ocvmqx,R. Cabral,,5568112203,56,Center,5568114581,233,27,5568112205,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785853813,27,5,1,1,51,aj8ytsr2ap33tod0hd8ofzaw9,1,-1.6,61.7,2025-03-09T02:09:45.896Z,2025-03-09T04:29:57Z,dgpphcc9ql3pv3b4chhchml90,O. Damm,,5568114565,233,22,5568114557,56,Back,5568114559,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785853837,28,1,1,2,42,aj8ytsr2ap33tod0hd8ofzaw9,0,4.8,55.8,2025-03-09T02:10:36.617Z,2025-03-09T02:10:40Z,6j9gbfyvpr5lqp6aak54597ca,J. Peñaranda,,5568114701,124,,5568114703,56,Center,5568114707,141,67.6,5568114705,140,50.4,5568114717,74,,5568114713,1,,5568114711,213,0.17,5568114709,212,48.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785853853,23,44,1,2,46,2iwybwokic7nmr1t33abdbjoq,1,43.8,29.6,2025-03-09T02:10:40.031Z,2025-03-09T02:10:46Z,6ahu72g0u39bxbjiz7ggefai1,N. Okello,,5568114795,233,29,5568114777,285,,5568114775,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785853845,29,44,1,2,46,aj8ytsr2ap33tod0hd8ofzaw9,0,56.2,70.4,2025-03-09T02:10:40.032Z,2025-03-09T02:10:48Z,1d20nyyvmp0doobj6heejkowk,T. Calheira,,5568114743,56,Center,5568114745,286,,5568114811,233,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785853929,24,1,1,2,46,2iwybwokic7nmr1t33abdbjoq,0,35.1,25.4,2025-03-09T02:10:40.194Z,2025-03-09T04:26:30Z,6ahu72g0u39bxbjiz7ggefai1,N. Okello,,5568115051,3,,5568115053,56,Back,5568115057,141,35.6,5568115055,140,38.6,5568115061,213,1.08,5568115059,212,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785853881,30,44,1,2,50,aj8ytsr2ap33tod0hd8ofzaw9,1,58.1,65.4,2025-03-09T02:10:43.984Z,2025-03-09T04:11:07Z,do5q14naxm61jw8px8qvacn4k,B. Diallo,,5568115101,233,25,5568114867,286,,5568114865,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785853931,25,44,1,2,50,2iwybwokic7nmr1t33abdbjoq,0,41.9,34.6,2025-03-09T02:10:43.985Z,2025-03-09T04:11:07Z,74bhj4xi5zgq6evsr4c766p04,H. Avayevu,,5568115069,285,,5568115131,233,30,5568115067,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785853905,31,1,1,2,50,aj8ytsr2ap33tod0hd8ofzaw9,0,52.7,67.2,2025-03-09T02:10:44.289Z,2025-03-09T02:10:45Z,do5q14naxm61jw8px8qvacn4k,B. Diallo,,5568114959,56,Center,5568114967,213,0.07,5568114965,212,36.9,5568114963,141,70.8,5568114961,140,87.8,5568114969,1,,5568114957,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785854205,28,1,1,3,7,2iwybwokic7nmr1t33abdbjoq,1,14.2,37.7,2025-03-09T02:11:01.835Z,2025-03-09T02:11:04Z,7y56spdjsagw833hgo5ranvf9,P. Rakovsky,,5568116111,212,8.0,5568116105,56,Back,5568116113,213,4.28,5568116107,140,11.0,5568116109,141,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
