id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/10/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/13/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2822713273,9,1,1,0,19,5h878vnmkbuy2ummddprusxgq,1,60.5,85.5,2025-06-15T01:06:51.202Z,2025-06-15T03:32:02Z,2mgcta30puk8kuwb5mo4zvcnp,A. Moreno,,,5771517793,56,Back,5771517797,141,77.0,5771588571,156,,5771517799,212,19.7,5771517795,140,42.6,5771517801,213,3.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822713277,10,4,1,0,23,5h878vnmkbuy2ummddprusxgq,1,44.1,84.0,2025-06-15T01:06:54.971Z,2025-06-15T03:12:44Z,6fgxgq77v66va16tcuqvyn6x,Gabi Torres,,,5771517837,13,,5771517845,286,,5771517841,152,,5771517839,56,Back,5771517983,233,5,5771517843,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822713299,5,4,1,0,23,cf5r1qpotp6n5i3vdchsp2en1,0,55.9,16.0,2025-06-15T01:06:54.972Z,2025-06-15T03:32:01Z,f1j8v0figkewc23fmaexubo4p,K. Partida,,,5771517981,285,,5771517975,56,Right,5771517979,265,,5771518129,233,10,5771517977,152,,5771517973,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822713871,11,1,1,1,15,5h878vnmkbuy2ummddprusxgq,1,52.5,91.1,2025-06-15T01:07:46.596Z,2025-06-15T03:32:04Z,7vs1eqm82fwwuhwfqodb3dyw9,R. Ruiz,,,5771521131,141,94.7,5771521125,152,,5771521135,213,0.63,5771521129,140,55.7,5771591787,189,,5771521127,56,Left,5771521123,5,,5771521133,212,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822713875,12,1,1,1,16,5h878vnmkbuy2ummddprusxgq,1,55.7,94.7,2025-06-15T01:07:47.530Z,2025-06-15T01:25:17Z,6fgxgq77v66va16tcuqvyn6x,Gabi Torres,,,5771521155,140,51.9,5771521163,213,3.93,5771521157,141,88.8,5771521153,56,Left,5771521159,212,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822713909,13,1,1,1,18,5h878vnmkbuy2ummddprusxgq,1,46.5,82.0,2025-06-15T01:07:49.402Z,2025-06-15T01:07:50Z,7vs1eqm82fwwuhwfqodb3dyw9,R. Ruiz,,,5771521359,212,34.3,5771521353,140,43.8,5771521351,56,Back,5771521367,1,,5771521363,213,4.63,5771521355,141,31.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822713933,14,1,1,1,19,5h878vnmkbuy2ummddprusxgq,1,41.5,29.4,2025-06-15T01:07:50.602Z,2025-06-15T01:07:51Z,7ll9dqayz9698v71x2pvgrspg,Á. Quezada,,,5771521495,212,15.0,5771521497,213,2.18,5771521493,141,47.4,5771521491,140,33.3,5771521489,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822713967,15,1,1,1,20,5h878vnmkbuy2ummddprusxgq,1,33.3,47.4,2025-06-15T01:07:51.754Z,2025-06-15T01:07:54Z,8gy9wgqywaqi9uy6i31i0q21h,A. Ortíz,,,5771521675,213,5.05,5771521669,140,39.2,5771521671,141,21.2,5771521667,56,Back,5771521673,212,18.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822713995,16,1,1,1,22,5h878vnmkbuy2ummddprusxgq,1,40.2,19.8,2025-06-15T01:07:54.204Z,2025-06-15T01:07:56Z,7ll9dqayz9698v71x2pvgrspg,Á. Quezada,,,5771521839,140,31.2,5771521841,141,45.1,5771521837,56,Back,5771521845,213,2.07,5771521843,212,19.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822714049,17,1,1,1,26,5h878vnmkbuy2ummddprusxgq,1,34.3,34.1,2025-06-15T01:07:58.165Z,2025-06-15T03:57:39Z,8gy9wgqywaqi9uy6i31i0q21h,A. Ortíz,,,5771522161,140,48.3,5771522157,56,Back,5771522167,213,5.52,5771522163,141,13.6,5771522165,212,20.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822714069,18,1,1,1,28,5h878vnmkbuy2ummddprusxgq,0,48.3,12.1,2025-06-15T01:07:59.994Z,2025-06-15T01:08:01Z,3lndo247f4br8t6xxdvlij4a2,W. Cabrera,,,5771522277,213,1.94,5771522275,212,10.7,5771522273,141,26.8,5771522269,56,Back,5771522271,140,44.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822714065,6,61,1,1,29,cf5r1qpotp6n5i3vdchsp2en1,1,56.8,84.4,2025-06-15T01:08:00.702Z,2025-06-15T03:57:38Z,3sp46qr51lu5o2213enn5xtjp,K. Scott,,,5771522241,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822714113,7,1,1,1,31,cf5r1qpotp6n5i3vdchsp2en1,1,59.1,77.2,2025-06-15T01:08:02.974Z,2025-06-15T03:57:36Z,7d1v02o7kk9guqpn77xzgtvu2,C. Hegardt,,,5771522531,212,7.8,5771522525,56,Center,5771522529,141,77.5,5771522533,213,3.12,5771522527,140,51.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822714131,9,1,1,1,32,cf5r1qpotp6n5i3vdchsp2en1,0,51.7,77.5,2025-06-15T01:08:03.942Z,2025-06-15T03:57:33Z,f1j8v0figkewc23fmaexubo4p,K. Partida,,,5771522615,212,10.3,5771522617,213,5.89,5771522613,141,71.7,5771522609,56,Center,5771522611,140,60.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822714165,20,1,1,1,33,5h878vnmkbuy2ummddprusxgq,1,34.3,39.8,2025-06-15T01:08:05.364Z,2025-06-15T01:08:07Z,7ajceczjsu9ci4nqv9gg2860a,F. Daroma,,,5771522813,140,31.9,5771522817,212,22.3,5771522815,141,72.4,5771522819,213,1.68,5771522811,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822714229,21,1,1,1,36,5h878vnmkbuy2ummddprusxgq,1,32.4,75.8,2025-06-15T01:08:07.723Z,2025-06-15T03:57:31Z,7vs1eqm82fwwuhwfqodb3dyw9,R. Ruiz,,,5771523173,213,0.42,5771523165,56,Left,5771523169,141,91.5,5771523167,140,55.0,5771523171,212,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822714205,10,83,1,1,39,cf5r1qpotp6n5i3vdchsp2en1,0,48.5,18.2,2025-06-15T01:08:11.344Z,2025-06-15T03:57:30Z,6kp2pv58u27yf5tnclyhnuoh6,C. Dunbar,,,5771523251,399,2mgcta30puk8kuwb5mo4zvcnp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822714235,22,1,1,1,41,5h878vnmkbuy2ummddprusxgq,1,43.2,93.1,2025-06-15T01:08:12.610Z,2025-06-15T01:29:54Z,2mgcta30puk8kuwb5mo4zvcnp,A. Moreno,,,5771523211,56,Back,5771523219,213,3.22,5771523217,212,10.9,5771523215,141,91.8,5771523213,140,32.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822714275,23,1,1,1,43,5h878vnmkbuy2ummddprusxgq,0,32.8,91.8,2025-06-15T01:08:14.987Z,2025-06-15T01:08:19Z,7vs1eqm82fwwuhwfqodb3dyw9,R. Ruiz,,,5771523679,236,,5771523443,141,89.3,5771523447,213,4.95,5771523441,140,33.2,5771523439,56,Back,5771523685,286,,5771523681,233,11,5771523445,212,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822714317,11,74,1,1,43,cf5r1qpotp6n5i3vdchsp2en1,1,64.0,13.4,2025-06-15T01:08:14.988Z,2025-06-15T03:57:29Z,7d1v02o7kk9guqpn77xzgtvu2,C. Hegardt,,,5771523699,233,23,5771523675,56,Right,5771523677,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822714345,24,1,1,1,47,5h878vnmkbuy2ummddprusxgq,1,23.5,86.4,2025-06-15T01:08:18.764Z,2025-06-15T01:08:21Z,2mxaagzu9rb92z9880yjllbzd,W. Ackwei,,,5771523861,56,Back,5771523869,213,3.83,5771523859,3,,5771523865,141,64.1,5771523867,212,23.7,5771523863,140,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822714365,25,1,1,1,50,5h878vnmkbuy2ummddprusxgq,1,5.8,61.5,2025-06-15T01:08:21.866Z,2025-06-15T01:08:24Z,cuw4kvdf0bazq87mh3dwv71ii,S. Mora-Mora,,,5771523991,140,19.7,5771523989,56,Back,5771523995,212,32.3,5771523999,1,,5771523997,213,5.18,5771523993,141,19.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822714399,26,1,1,1,52,5h878vnmkbuy2ummddprusxgq,1,20.1,18.2,2025-06-15T01:08:24.354Z,2025-06-15T01:08:26Z,7ll9dqayz9698v71x2pvgrspg,Á. Quezada,,,5771524207,56,Back,5771524213,212,15.5,5771524209,140,34.7,5771524211,141,21.7,5771524215,213,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822714413,27,1,1,1,55,5h878vnmkbuy2ummddprusxgq,1,35.3,27.4,2025-06-15T01:08:26.732Z,2025-06-15T01:08:28Z,7ctc1xui7wk89o5v00z8ijqw9,E. Calvillo,,,5771524297,212,16.0,5771524295,141,50.8,5771524293,140,36.7,5771524299,213,1.48,5771524291,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822714443,28,1,1,1,56,5h878vnmkbuy2ummddprusxgq,1,34.2,43.2,2025-06-15T01:08:28.307Z,2025-06-15T03:57:40Z,7ajceczjsu9ci4nqv9gg2860a,F. Daroma,,,5771524455,56,Back,5771524463,213,5.05,5771524461,212,18.4,5771524457,140,40.0,5771524459,141,17.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822714449,29,61,1,2,0,5h878vnmkbuy2ummddprusxgq,0,40.0,17.3,2025-06-15T01:08:31.482Z,2025-06-15T01:08:31Z,3lndo247f4br8t6xxdvlij4a2,W. Cabrera,,,5771524487,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822714481,13,1,1,2,1,cf5r1qpotp6n5i3vdchsp2en1,1,66.6,88.0,2025-06-15T01:08:32.574Z,2025-06-15T01:08:33Z,52qwgcxm3vpgabixc8c2i3aax,R. Doghman,,,5771524677,213,5.18,5771524675,212,9.1,5771524673,141,76.0,5771524669,56,Center,5771524671,140,70.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822714503,14,1,1,2,2,cf5r1qpotp6n5i3vdchsp2en1,1,70.5,76.0,2025-06-15T01:08:33.670Z,2025-06-15T01:08:35Z,k3rif7polxoazy70fu2013op,E. Zubak,,,5771524767,212,4.0,5771524763,140,70.0,5771524765,141,81.8,5771524761,56,Left,5771524769,213,1.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822714505,15,50,1,2,3,cf5r1qpotp6n5i3vdchsp2en1,1,72.7,73.2,2025-06-15T01:08:35.174Z,2025-06-15T03:59:34Z,7qt4r82kyz05r8kd8cmdh1xqs,O. Sylla,,,5771524785,286,,5771524783,56,Center,5771524905,233,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822714509,30,7,1,2,3,5h878vnmkbuy2ummddprusxgq,1,27.3,26.8,2025-06-15T01:08:35.175Z,2025-06-15T03:13:00Z,3lndo247f4br8t6xxdvlij4a2,W. Cabrera,,,5771524859,233,15,5771524833,285,,5771524831,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822714531,32,1,1,2,5,5h878vnmkbuy2ummddprusxgq,1,16.0,46.8,2025-06-15T01:08:37.043Z,2025-06-15T01:08:38Z,8gy9wgqywaqi9uy6i31i0q21h,A. Ortíz,,,5771524951,213,0.11,5771524943,56,Back,5771524947,141,49.7,5771524949,212,18.3,5771524945,140,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822714571,33,1,1,2,7,5h878vnmkbuy2ummddprusxgq,1,35.9,46.5,2025-06-15T01:08:38.874Z,2025-06-15T01:32:48Z,7ctc1xui7wk89o5v00z8ijqw9,E. Calvillo,,,5771525213,213,5.02,5771525209,141,22.4,5771525207,140,40.8,5771525205,56,Back,5771525211,212,17.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822714573,34,4,1,2,11,5h878vnmkbuy2ummddprusxgq,1,48.4,14.2,2025-06-15T01:08:42.923Z,2025-06-15T03:59:33Z,7ajceczjsu9ci4nqv9gg2860a,F. Daroma,,,5771616147,152,,5771616151,286,,5771626391,295,,5771616145,13,,5771616259,233,16,5771525219,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822714699,16,4,1,2,11,cf5r1qpotp6n5i3vdchsp2en1,0,51.6,85.8,2025-06-15T01:08:42.924Z,2025-06-15T03:32:33Z,3sp46qr51lu5o2213enn5xtjp,K. Scott,,,5771616265,233,34,5771526013,285,,5771526009,152,,5771526007,56,Left,5771626415,295,,5771526005,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822714739,35,1,1,2,24,5h878vnmkbuy2ummddprusxgq,1,46.1,5.6,2025-06-15T01:08:55.450Z,2025-06-15T01:39:41Z,7ll9dqayz9698v71x2pvgrspg,Á. Quezada,,,5771526163,212,11.5,5771620887,5,,5771620889,152,,5771627089,189,,5771526165,213,1.65,5771526159,140,45.2,5771526161,141,22.4,5771526157,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822714753,36,1,1,2,25,5h878vnmkbuy2ummddprusxgq,1,45.6,22.4,2025-06-15T01:08:56.402Z,2025-06-15T01:08:57Z,7ajceczjsu9ci4nqv9gg2860a,F. Daroma,,,5771526229,56,Back,5771526231,140,33.8,5771526239,1,,5771526237,213,1.94,5771526233,141,69.3,5771526235,212,34.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822714809,37,1,1,2,26,5h878vnmkbuy2ummddprusxgq,1,33.8,69.3,2025-06-15T01:08:57.666Z,2025-06-15T01:09:01Z,2mxaagzu9rb92z9880yjllbzd,W. Ackwei,,,5771526571,141,93.5,5771526567,56,Back,5771526569,140,42.6,5771526575,213,1.06,5771526573,212,18.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822714835,38,1,1,2,30,5h878vnmkbuy2ummddprusxgq,1,46.2,93.7,2025-06-15T01:09:01.859Z,2025-06-15T01:09:04Z,7vs1eqm82fwwuhwfqodb3dyw9,R. Ruiz,,,5771526741,141,73.5,5771526739,140,46.5,5771526745,213,4.74,5771526737,56,Back,5771526743,212,13.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822714863,39,1,1,2,32,5h878vnmkbuy2ummddprusxgq,1,46.6,72.0,2025-06-15T01:09:04.226Z,2025-06-15T01:09:06Z,7ctc1xui7wk89o5v00z8ijqw9,E. Calvillo,,,5771526861,212,21.6,5771526857,140,33.0,5771526859,141,48.2,5771526855,56,Back,5771526863,213,3.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822714901,40,1,1,2,35,5h878vnmkbuy2ummddprusxgq,1,32.5,47.4,2025-06-15T01:09:06.498Z,2025-06-15T01:41:38Z,8gy9wgqywaqi9uy6i31i0q21h,A. Ortíz,,,5771527125,140,31.7,5771527127,141,18.3,5771527123,56,Back,5771527131,213,4.67,5771527129,212,19.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822714937,41,1,1,2,37,5h878vnmkbuy2ummddprusxgq,1,33.3,16.8,2025-06-15T01:09:09.250Z,2025-06-15T01:09:11Z,7ll9dqayz9698v71x2pvgrspg,Á. Quezada,,,5771527277,56,Right,5771527283,212,18.6,5771527279,140,50.1,5771527281,141,8.0,5771527285,213,5.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822714951,42,1,1,2,40,5h878vnmkbuy2ummddprusxgq,0,48.6,7.9,2025-06-15T01:09:11.532Z,2025-06-15T01:09:12Z,3lndo247f4br8t6xxdvlij4a2,W. Cabrera,,,5771527343,141,9.4,5771527347,213,2.98,5771527393,286,,5771527389,233,17,5771527339,56,Back,5771527341,140,42.8,5771527387,236,,5771527345,212,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822714953,17,74,1,2,40,cf5r1qpotp6n5i3vdchsp2en1,1,59.6,88.7,2025-06-15T01:09:11.533Z,2025-06-15T03:59:30Z,7qt4r82kyz05r8kd8cmdh1xqs,O. Sylla,,,5771527367,285,,5771527365,56,Left,5771527423,233,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822714981,19,1,1,2,42,cf5r1qpotp6n5i3vdchsp2en1,1,59.1,87.2,2025-06-15T01:09:13.789Z,2025-06-15T01:09:15Z,52qwgcxm3vpgabixc8c2i3aax,R. Doghman,,,5771527535,213,4.92,5771527531,141,73.8,5771527533,212,9.3,5771527527,56,Center,5771527529,140,60.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822714987,20,1,1,2,44,cf5r1qpotp6n5i3vdchsp2en1,1,60.9,73.8,2025-06-15T01:09:15.685Z,2025-06-15T01:09:16Z,7d1v02o7kk9guqpn77xzgtvu2,C. Hegardt,,,5771527573,212,13.5,5771527567,56,Back,5771527571,141,81.4,5771527575,213,2.75,5771527569,140,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822715015,21,1,1,2,45,cf5r1qpotp6n5i3vdchsp2en1,1,49.0,81.4,2025-06-15T01:09:16.414Z,2025-06-15T01:09:18Z,3sp46qr51lu5o2213enn5xtjp,K. Scott,,,5771527735,212,20.2,5771527737,213,3.11,5771527733,141,82.3,5771527729,56,Back,5771527731,140,29.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
