id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/14/value
2785853859,11,8,1,0,28,5h878vnmkbuy2ummddprusxgq,1,28.1,56.4,2025-03-09T02:07:00.017Z,2025-03-09T02:29:30Z,2mxaagzu9rb92z9880yjllbzd,W. Ackwei,,,5568183883,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785851733,7,1,1,0,30,ak0rmms5xl49w57i2rvid1tk9,1,69.7,24.4,2025-03-09T02:07:02.024Z,2025-03-09T03:00:13Z,6eqvj5hboqw5c21ofhsgo4p9l,M. Micaletto,,,5568102823,140,64.1,5568102827,212,8.1,5568102829,213,3.90,5568102819,56,Right,5568102825,141,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785851737,8,1,1,0,32,ak0rmms5xl49w57i2rvid1tk9,0,64.1,16.2,2025-03-09T02:07:04.792Z,2025-03-09T03:00:18Z,b74yslq3huyhvwrhrebz0o3ys,L. Johnson,,,5568102841,140,75.6,5568102845,212,13.6,5568102839,56,Right,5568102843,141,7.1,5568102847,213,5.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785851781,9,1,1,0,36,ak0rmms5xl49w57i2rvid1tk9,1,75.7,3.1,2025-03-09T02:07:08.024Z,2025-03-09T03:00:19Z,3ljxfq84ubqzlooixppmpfdd6,J. Tejada,,,5568103075,140,56.3,5568103079,212,21.3,5568103073,56,Right,5568103081,213,2.84,5568103077,141,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785851861,10,1,1,0,36,ak0rmms5xl49w57i2rvid1tk9,1,56.3,12.5,2025-03-09T02:07:08.449Z,2025-03-09T03:00:34Z,2h53fzt0ubszmkuwfnez8n622,A. Ward,,,5568103527,212,46.4,5568103531,1,,5568103523,140,99.5,5568103521,56,Center,5568103529,213,0.21,5568103525,141,26.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785866905,185,1,1,0,36,ak0rmms5xl49w57i2rvid1tk9,1,59.0,6.2,2025-03-09T02:07:08.514Z,2025-03-09T02:31:52Z,3ljxfq84ubqzlooixppmpfdd6,J. Tejada,,,5568190991,140,42.4,5568190995,212,17.4,5568190993,141,6.0,5568190997,213,3.15,5568190989,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785866897,184,1,1,0,37,ak0rmms5xl49w57i2rvid1tk9,1,33.2,8.6,2025-03-09T02:07:09.356Z,2025-03-09T02:32:02Z,7i29w1zl3m6xdnurdll08jsvd,M. Mahoney,,,5568191427,155,,5568191435,140,63.5,5568191431,56,Right,5568191445,213,0.00,5568191439,141,8.6,5568191443,212,31.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785851863,11,4,1,0,47,ak0rmms5xl49w57i2rvid1tk9,1,94.8,33.6,2025-03-09T02:07:19.448Z,2025-03-09T02:32:41Z,6eqvj5hboqw5c21ofhsgo4p9l,M. Micaletto,,,5568104733,56,Center,5568104729,9,,5568104735,152,,5568104731,13,,5568104739,286,,5568104737,265,,5568106429,348,6eqvj5hboqw5c21ofhsgo4p9l,5568193201,233,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785852191,9,4,1,0,47,5h878vnmkbuy2ummddprusxgq,0,5.2,66.4,2025-03-09T02:07:19.449Z,2025-03-09T02:38:34Z,2dbik29e0m9bil2ofn2yhrget,T. Alfaro,,,5568193217,233,11,5568192917,152,,5568192921,265,,5568192911,13,,5568192909,9,,5568192913,56,Back,5568192923,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785852569,10,58,1,1,50,5h878vnmkbuy2ummddprusxgq,0,0.0,0.0,2025-03-09T02:08:22.897Z,2025-03-09T02:08:54Z,8y556fvv7asmfouaica4nbai1,J. Waite,,,5568108999,233,12,5568107437,179,,5568107435,186,,5568107441,56,Back,5568107439,73,,5568107433,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785852549,12,16,1,1,50,ak0rmms5xl49w57i2rvid1tk9,1,88.5,50.0,2025-03-09T02:08:22.897Z,2025-03-09T03:00:59Z,6eqvj5hboqw5c21ofhsgo4p9l,M. Micaletto,,,5568109953,103,5.1,5568263733,390,221252,5568107323,17,,5568109949,76,,5568108747,375,01:50.222,5568109959,231,50.2,5568109951,102,54.0,5568107327,214,,5568109955,458,5568107321,9,5568107325,56,Center,5568109957,230,99.4,5568110105,353,10,5568108739,374,2025-03-09 02:08:22.173,5568108735,20,,,,,,,,,,,
2785853861,12,1,1,1,51,5h878vnmkbuy2ummddprusxgq,1,50.1,51.7,2025-03-09T02:08:23.270Z,2025-03-09T02:36:09Z,cqmvrx028gh19yh8qh7w01y0a,R. Avila,,,5568194781,213,3.32,5568194869,189,,5568194777,141,44.6,5568194779,212,27.2,5568194775,140,24.6,5568194773,56,Back,5568202981,279,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785853865,13,1,1,1,52,5h878vnmkbuy2ummddprusxgq,1,21.8,70.9,2025-03-09T02:08:24.302Z,2025-03-09T02:33:24Z,2dbik29e0m9bil2ofn2yhrget,T. Alfaro,,,5568195367,141,36.4,5568195371,213,4.66,5568195365,140,20.7,5568195361,56,Back,5568195369,212,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785853869,14,1,1,1,53,5h878vnmkbuy2ummddprusxgq,1,20.1,33.6,2025-03-09T02:08:25.351Z,2025-03-09T02:33:39Z,8gy9wgqywaqi9uy6i31i0q21h,A. Ortíz,,,5568196203,141,8.0,5568196209,213,5.46,5568196207,212,23.8,5568196195,56,Back,5568196199,140,35.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785853871,15,3,1,1,54,5h878vnmkbuy2ummddprusxgq,0,29.2,18.2,2025-03-09T02:08:26.379Z,2025-03-09T04:42:38Z,7ll9dqayz9698v71x2pvgrspg,Á. Quezada,,,5568196771,56,Back,5568200215,233,13,5568199173,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785853107,13,7,1,1,54,ak0rmms5xl49w57i2rvid1tk9,0,70.8,81.8,2025-03-09T02:08:26.380Z,2025-03-09T04:42:38Z,6oj55tf7cdnnnft350f9fyhnt,M. Real,,,5568110577,56,Left,5568199007,286,,5568200191,233,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785853111,14,50,1,2,46,ak0rmms5xl49w57i2rvid1tk9,1,73.4,80.9,2025-03-09T02:09:18.464Z,2025-03-09T04:42:39Z,6oj55tf7cdnnnft350f9fyhnt,M. Real,,,5568110597,286,,5568200871,233,16,5568110595,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785853873,16,7,1,2,46,5h878vnmkbuy2ummddprusxgq,1,26.6,19.1,2025-03-09T02:09:18.465Z,2025-03-09T04:42:38Z,7ll9dqayz9698v71x2pvgrspg,Á. Quezada,,,5568200855,233,14,5568200831,285,,5568200829,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785880431,348,83,1,2,47,ak0rmms5xl49w57i2rvid1tk9,0,62.9,67.5,2025-03-09T02:09:18.951Z,2025-03-09T03:02:19Z,cnqxbvy77blk2ulx06t65it49,A. Fontana,,,5568266877,399,7ll9dqayz9698v71x2pvgrspg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785853875,17,1,1,2,47,5h878vnmkbuy2ummddprusxgq,0,31.6,29.3,2025-03-09T02:09:19.440Z,2025-03-09T02:38:28Z,7ll9dqayz9698v71x2pvgrspg,Á. Quezada,,,5568202133,155,,5568202143,213,5.96,5568202145,1,,5568202139,141,0.0,5568202141,212,62.4,5568202135,56,Right,5568202137,140,87.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785853191,15,5,1,2,52,ak0rmms5xl49w57i2rvid1tk9,1,20.7,101.4,2025-03-09T02:09:24.386Z,2025-03-09T04:46:32Z,6oj55tf7cdnnnft350f9fyhnt,M. Real,,,5568111013,347,,5568111011,56,Back,5568202733,233,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785853887,18,5,1,2,52,5h878vnmkbuy2ummddprusxgq,0,79.3,-1.4,2025-03-09T02:09:24.386Z,2025-03-09T04:46:32Z,,,,,5568202751,233,15,5568202703,56,Right,5568202707,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785853425,16,1,1,3,16,ak0rmms5xl49w57i2rvid1tk9,0,13.5,100.0,2025-03-09T02:09:48.746Z,2025-03-09T02:09:51Z,6oj55tf7cdnnnft350f9fyhnt,M. Real,,,5568112283,107,,5568112289,141,84.2,5568112285,56,Back,5568112295,1,,5568112287,140,44.6,5568112291,212,34.6,5568112293,213,5.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785853891,19,1,1,3,17,5h878vnmkbuy2ummddprusxgq,1,50.6,14.3,2025-03-09T02:09:49.501Z,2025-03-09T02:36:41Z,2mxaagzu9rb92z9880yjllbzd,W. Ackwei,,,5568204137,56,Right,5568204143,212,17.9,5568204141,141,11.1,5568204135,3,,5568204145,213,6.16,5568204139,140,67.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785853903,20,1,1,3,18,5h878vnmkbuy2ummddprusxgq,1,71.7,28.6,2025-03-09T02:09:50.533Z,2025-03-09T02:37:15Z,c4g35kho1qirnu4q420knnl9m,R. Coronado,,,5568204975,212,11.6,5568204971,140,65.1,5568204977,213,4.07,5568204973,141,15.0,5568204969,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785853917,22,1,1,3,19,5h878vnmkbuy2ummddprusxgq,1,68.5,4.9,2025-03-09T02:09:51.610Z,2025-03-09T02:37:51Z,7ll9dqayz9698v71x2pvgrspg,Á. Quezada,,,5568206669,212,12.4,5568206665,140,80.3,5568206663,56,Right,5568206671,213,0.02,5568206667,141,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785853919,23,61,1,3,20,5h878vnmkbuy2ummddprusxgq,0,81.2,5.8,2025-03-09T02:09:52.641Z,2025-03-09T02:40:04Z,9lucpehmfe4z2vdlica1kc9d6,T. Moshobane,,,5568207281,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785853579,17,5,1,3,23,ak0rmms5xl49w57i2rvid1tk9,1,24.5,101.6,2025-03-09T02:09:55.672Z,2025-03-09T04:46:33Z,6oj55tf7cdnnnft350f9fyhnt,M. Real,,,5568113137,56,Back,5568207631,233,24,5568113139,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785853925,24,5,1,3,23,5h878vnmkbuy2ummddprusxgq,0,75.5,-1.6,2025-03-09T02:09:55.672Z,2025-03-09T04:46:33Z,,,,,5568207645,233,17,5568207627,56,Right,5568207629,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785853613,18,1,1,3,34,ak0rmms5xl49w57i2rvid1tk9,0,19.5,100.0,2025-03-09T02:10:06.457Z,2025-03-09T02:10:10Z,6oj55tf7cdnnnft350f9fyhnt,M. Real,,,5568113347,56,Left,5568113353,212,40.5,5568113351,141,83.3,5568113355,213,5.96,5568113357,1,,5568113345,107,,5568113349,140,56.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785853941,26,1,1,3,36,5h878vnmkbuy2ummddprusxgq,1,37.3,19.5,2025-03-09T02:10:08.733Z,2025-03-09T02:39:14Z,2dbik29e0m9bil2ofn2yhrget,T. Alfaro,,,5568209533,141,47.4,5568209529,56,Back,5568209537,213,2.35,5568209531,140,19.5,5568209535,212,26.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785853943,27,1,1,3,37,5h878vnmkbuy2ummddprusxgq,0,25.5,57.5,2025-03-09T02:10:09.765Z,2025-03-09T02:39:38Z,8y556fvv7asmfouaica4nbai1,J. Waite,,,5568210081,213,0.63,5568210083,1,,5568210077,141,100.0,5568210071,157,,5568210079,212,51.7,5568210075,140,65.4,5568210073,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785853743,19,5,1,3,37,ak0rmms5xl49w57i2rvid1tk9,1,29.8,-1.2,2025-03-09T02:10:09.797Z,2025-03-09T04:46:33Z,2h53fzt0ubszmkuwfnez8n622,A. Ward,,,5568114171,56,Back,5568211309,233,28,5568114173,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785853947,28,5,1,3,37,5h878vnmkbuy2ummddprusxgq,0,70.2,101.2,2025-03-09T02:10:09.797Z,2025-03-09T02:39:58Z,,,,,5568211071,347,,5568211333,233,19,5568211069,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785853781,20,1,1,3,54,ak0rmms5xl49w57i2rvid1tk9,1,31.2,0.0,2025-03-09T02:10:26.545Z,2025-03-09T02:10:32Z,2h53fzt0ubszmkuwfnez8n622,A. Ward,,,5568114409,141,8.3,5568114405,56,Back,5568114413,213,0.48,5568114403,107,,5568114411,212,15.0,5568114407,140,43.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785853785,21,1,1,4,0,ak0rmms5xl49w57i2rvid1tk9,1,43.2,4.9,2025-03-09T02:10:32.496Z,2025-03-09T03:03:53Z,b74yslq3huyhvwrhrebz0o3ys,L. Johnson,,,5568270021,233,30,5568270003,212,3.2,5568270005,213,2.16,5568114433,56,Back,5568270001,141,8.8,5568269999,140,41.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785853953,29,43,1,4,1,5h878vnmkbuy2ummddprusxgq,1,0.0,0.0,2025-03-09T02:10:33.844Z,2025-03-09T04:34:26Z,2mgcta30puk8kuwb5mo4zvcnp,A. Moreno,,,5568214575,286,0,5568482687,144,3,5568214573,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785870971,265,1,1,4,1,ak0rmms5xl49w57i2rvid1tk9,1,41.0,6.8,2025-03-09T02:10:33.845Z,2025-03-09T03:04:16Z,6eqvj5hboqw5c21ofhsgo4p9l,M. Micaletto,,,5568271027,141,4.9,5568216077,56,Back,5568271031,213,3.38,5568271025,140,36.0,5568271029,212,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785871305,271,3,1,4,2,ak0rmms5xl49w57i2rvid1tk9,0,23.2,3.4,2025-03-09T02:10:34.620Z,2025-03-09T04:42:39Z,2h53fzt0ubszmkuwfnez8n622,A. Ward,,,5568217409,56,Back,5568483045,233,30,5568271635,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785853957,30,7,1,4,2,5h878vnmkbuy2ummddprusxgq,1,76.8,96.6,2025-03-09T02:10:34.621Z,2025-03-09T04:42:39Z,2mgcta30puk8kuwb5mo4zvcnp,A. Moreno,,,5568482985,286,,5568482991,233,271,5568217673,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785853963,31,1,1,4,4,5h878vnmkbuy2ummddprusxgq,1,68.2,87.1,2025-03-09T02:10:36.904Z,2025-03-09T02:42:49Z,2mgcta30puk8kuwb5mo4zvcnp,A. Moreno,,,5568218563,56,Center,5568218565,140,79.8,5568218569,212,17.6,5568218567,141,68.5,5568218571,213,5.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785853969,32,1,1,4,5,5h878vnmkbuy2ummddprusxgq,0,73.1,81.0,2025-03-09T02:10:37.936Z,2025-03-09T02:43:00Z,9lucpehmfe4z2vdlica1kc9d6,T. Moshobane,,,5568218909,213,6.17,5568218901,56,Center,5568218905,141,76.3,5568218903,140,100.0,5568218907,212,28.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785854015,22,5,1,4,7,ak0rmms5xl49w57i2rvid1tk9,1,-1.2,36.1,2025-03-09T02:10:38.968Z,2025-03-09T04:46:34Z,duuhalibp64gdz6nub5ub0ovd,C. Herrera,,,5568219257,233,33,5568115341,346,,5568115339,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785853973,33,5,1,4,7,5h878vnmkbuy2ummddprusxgq,0,101.2,63.9,2025-03-09T02:10:38.968Z,2025-03-09T04:46:34Z,,,,,5568219271,233,22,5568219157,346,,5568219155,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785854161,51,43,1,4,13,5h878vnmkbuy2ummddprusxgq,1,0.0,0.0,2025-03-09T02:10:45.840Z,2025-03-09T02:43:19Z,8y556fvv7asmfouaica4nbai1,J. Waite,,,5568115899,346,0,5568219583,144,5,5568115897,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785854093,23,1,1,4,20,ak0rmms5xl49w57i2rvid1tk9,1,5.3,38.5,2025-03-09T02:10:52.408Z,2025-03-09T02:10:56Z,duuhalibp64gdz6nub5ub0ovd,C. Herrera,,,5568115575,212,13.5,5568115567,124,,5568115571,140,14.3,5568115573,141,24.4,5568115581,237,,5568115577,213,5.49,5568115569,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785854125,24,1,1,4,24,ak0rmms5xl49w57i2rvid1tk9,0,22.9,23.1,2025-03-09T02:10:56.216Z,2025-03-09T02:10:59Z,7i29w1zl3m6xdnurdll08jsvd,M. Mahoney,,,5568115729,155,,5568115733,140,79.9,5568115743,1,,5568115739,213,0.10,5568115731,56,Center,5568115735,141,32.2,5568115737,212,60.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785854173,52,59,1,4,29,5h878vnmkbuy2ummddprusxgq,1,23.7,63.6,2025-03-09T02:11:00.977Z,2025-03-09T02:11:01Z,8y556fvv7asmfouaica4nbai1,J. Waite,,,5568115943,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
