id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/13/value,qualifier/14/value,qualifier/15/value
2822767873,7,1,1,0,27,87c66ubwpzykovmkaf1t46bis,1,12.4,90.3,2025-06-15T03:10:57.871Z,2025-06-15T03:11:01Z,ks7omik17xov44i4hhjrldyh,M. Taintor,,5771828665,213,4.22,5771828661,141,58.1,5771828663,212,24.8,5771828659,140,1.3,5771828657,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822767897,8,1,1,0,31,87c66ubwpzykovmkaf1t46bis,1,1.3,58.1,2025-06-15T03:11:01.431Z,2025-06-15T03:11:05Z,h4nbagq5dsdltn9x62oi0t05,R. Sánchez,,5771828779,56,Back,5771828787,213,5.01,5771828785,212,25.9,5771828781,140,8.5,5771828783,141,21.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822767901,9,1,1,0,35,87c66ubwpzykovmkaf1t46bis,0,9.0,12.2,2025-06-15T03:11:05.608Z,2025-06-15T03:11:06Z,5ynru0652guk8hl45ltxo0dwq,R. Buckmaster,,5771828797,155,,5771828809,1,,5771828799,56,Back,5771828807,213,0.12,5771828803,141,18.0,5771828801,140,40.2,5771828805,212,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822767941,14,1,1,0,37,7neuneh44n9rtsfsh6r0sb9no,1,56.6,88.9,2025-06-15T03:11:07.539Z,2025-06-15T03:11:13Z,579n2n7oiogy83epzcfrxtd5h,N. Ross,,5771829051,213,0.01,5771829049,212,21.6,5771829043,56,Left,5771829045,140,77.2,5771829047,141,89.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822767947,15,1,1,0,43,7neuneh44n9rtsfsh6r0sb9no,1,77.1,85.0,2025-06-15T03:11:13.305Z,2025-06-15T03:24:29Z,7y9k549gjh2183ylplvwg2q5l,M. Benítez,,5771829097,141,94.2,5771829095,140,68.2,5771829093,56,Left,5771829099,212,11.2,5771829101,213,2.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822767957,16,1,1,0,45,7neuneh44n9rtsfsh6r0sb9no,1,68.2,94.2,2025-06-15T03:11:15.192Z,2025-06-15T03:11:17Z,579n2n7oiogy83epzcfrxtd5h,N. Ross,,5771829157,213,4.08,5771829153,141,84.5,5771829149,56,Left,5771829151,140,63.6,5771829155,212,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822767961,17,1,1,0,46,7neuneh44n9rtsfsh6r0sb9no,1,63.6,84.5,2025-06-15T03:11:16.960Z,2025-06-15T03:24:30Z,7y9k549gjh2183ylplvwg2q5l,M. Benítez,,5771829195,140,48.6,5771829197,141,90.2,5771829201,213,2.90,5771829199,212,16.2,5771829193,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822767967,18,1,1,0,47,7neuneh44n9rtsfsh6r0sb9no,1,48.6,90.2,2025-06-15T03:11:17.760Z,2025-06-15T03:11:18Z,cc7jk41tn9qi5px4pb9l4bn8q,R. Spaulding,,5771829227,141,86.9,5771829225,140,40.5,5771829231,213,3.40,5771829223,56,Back,5771829229,212,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822767989,19,1,1,0,48,7neuneh44n9rtsfsh6r0sb9no,1,40.2,85.0,2025-06-15T03:11:18.537Z,2025-06-15T03:11:22Z,bgxiot2ugkc6t5jchxewen4k5,L. Desmond,,5771829351,56,Back,5771829357,212,31.3,5771829355,141,39.1,5771829359,213,4.62,5771829353,140,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822767997,20,1,1,0,52,7neuneh44n9rtsfsh6r0sb9no,1,41.3,41.8,2025-06-15T03:11:22.224Z,2025-06-15T03:11:23Z,b7hyxpaqt3ymfbuah1yop5rai,F. Kleemann,,5771829395,141,6.5,5771829397,212,27.1,5771829391,56,Right,5771829393,140,53.2,5771829399,213,5.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822768037,21,1,1,0,53,7neuneh44n9rtsfsh6r0sb9no,1,53.2,6.5,2025-06-15T03:11:23.656Z,2025-06-15T03:11:32Z,ea8jgqvyafx5wvgd5d70mgx9m,J. Gurr,,5771829593,140,40.0,5771829599,213,2.45,5771829597,212,18.0,5771829591,56,Back,5771829595,141,23.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822768051,22,1,1,1,2,7neuneh44n9rtsfsh6r0sb9no,1,38.9,31.3,2025-06-15T03:11:32.416Z,2025-06-15T03:11:35Z,b7hyxpaqt3ymfbuah1yop5rai,F. Kleemann,,5771829685,141,6.5,5771829687,212,21.3,5771829681,56,Right,5771829689,213,5.37,5771829683,140,51.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822768073,23,1,1,1,5,7neuneh44n9rtsfsh6r0sb9no,1,45.5,14.0,2025-06-15T03:11:35.536Z,2025-06-15T03:11:39Z,ea8jgqvyafx5wvgd5d70mgx9m,J. Gurr,,5771829801,140,33.9,5771829805,212,12.3,5771829803,141,17.0,5771829807,213,2.98,5771829799,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822768085,24,1,1,1,9,7neuneh44n9rtsfsh6r0sb9no,0,37.3,19.2,2025-06-15T03:11:39.752Z,2025-06-15T03:11:46Z,5u1uufcs8jlvvkzodpi5ykovd,J. Timmer,,5771829887,56,Right,5771829891,141,8.9,5771829895,213,6.16,5771829893,212,57.5,5771829889,140,91.7,5771829885,155,,5771829897,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822768129,11,1,1,1,21,87c66ubwpzykovmkaf1t46bis,1,11.0,83.2,2025-06-15T03:11:51.191Z,2025-06-15T03:11:55Z,ks7omik17xov44i4hhjrldyh,M. Taintor,,5771830073,141,56.6,5771830071,140,6.4,5771830075,212,18.7,5771830069,56,Back,5771830077,213,4.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822768149,12,1,1,1,24,87c66ubwpzykovmkaf1t46bis,1,7.9,50.0,2025-06-15T03:11:55.087Z,2025-06-15T03:11:58Z,h4nbagq5dsdltn9x62oi0t05,R. Sánchez,,5771830127,140,18.2,5771830133,213,5.08,5771830129,141,8.8,5771830131,212,30.0,5771830125,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822768161,13,1,1,1,27,87c66ubwpzykovmkaf1t46bis,1,18.5,8.8,2025-06-15T03:11:57.984Z,2025-06-15T03:12:01Z,5ynru0652guk8hl45ltxo0dwq,R. Buckmaster,,5771830197,140,5.8,5771830199,141,22.2,5771830195,56,Back,5771830203,213,2.54,5771830201,212,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822768163,14,1,1,1,31,87c66ubwpzykovmkaf1t46bis,1,5.8,22.2,2025-06-15T03:12:01.271Z,2025-06-15T03:12:02Z,4o1ryjpzoxzpi3ex53cmayui1,A. Crognale,,5771830227,212,18.3,5771830221,56,Back,5771830225,141,48.5,5771830229,213,1.78,5771830223,140,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822768189,15,1,1,1,32,87c66ubwpzykovmkaf1t46bis,1,2.1,48.5,2025-06-15T03:12:02.407Z,2025-06-15T03:12:08Z,h4nbagq5dsdltn9x62oi0t05,R. Sánchez,,5771830399,140,6.2,5771830403,212,23.3,5771830405,213,1.38,5771830401,141,82.1,5771830397,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822768197,16,1,1,1,38,87c66ubwpzykovmkaf1t46bis,0,5.6,88.9,2025-06-15T03:12:08.545Z,2025-06-15T03:12:20Z,ks7omik17xov44i4hhjrldyh,M. Taintor,,5771830445,140,40.9,5771830447,141,100.0,5771830441,155,,5771830453,1,,5771830449,212,38.1,5771830443,56,Back,5771830451,213,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822768207,17,43,1,1,40,87c66ubwpzykovmkaf1t46bis,1,0.0,0.0,2025-06-15T03:12:10.655Z,2025-06-15T03:12:15Z,zd582wgzhdcz8n6oipywt3vt,J. Hernández,,5771830495,3,0,5771830497,56,Back,5771830503,212,4.7,5771830499,140,39.9,5771830505,213,5.64,5771830501,141,91.2,5771830597,144,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822768203,25,43,1,1,41,7neuneh44n9rtsfsh6r0sb9no,1,0.0,0.0,2025-06-15T03:12:11.136Z,2025-06-15T03:12:15Z,5u1uufcs8jlvvkzodpi5ykovd,J. Timmer,,5771830591,144,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822768221,18,5,1,1,42,87c66ubwpzykovmkaf1t46bis,0,39.3,100.8,2025-06-15T03:12:13.008Z,2025-06-15T04:10:23Z,zd582wgzhdcz8n6oipywt3vt,J. Hernández,,5771830879,233,26,5771830577,56,Back,5771830579,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822768259,26,5,1,1,42,7neuneh44n9rtsfsh6r0sb9no,1,60.7,-0.8,2025-06-15T03:12:13.008Z,2025-06-15T04:10:22Z,5u1uufcs8jlvvkzodpi5ykovd,J. Timmer,,5771830851,56,Right,5771830861,233,18,5771830853,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822768269,27,1,1,1,58,7neuneh44n9rtsfsh6r0sb9no,1,58.7,0.0,2025-06-15T03:12:28.888Z,2025-06-15T03:12:30Z,ea8jgqvyafx5wvgd5d70mgx9m,J. Gurr,,5771830917,140,63.1,5771830919,141,4.7,5771830921,212,6.4,5771830915,56,Right,5771830923,213,0.77,5771830913,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822768271,28,1,1,1,59,7neuneh44n9rtsfsh6r0sb9no,1,63.1,5.0,2025-06-15T03:12:29.904Z,2025-06-15T03:12:31Z,579n2n7oiogy83epzcfrxtd5h,N. Ross,,5771830929,140,52.0,5771830931,141,4.0,5771830935,213,3.20,5771830927,56,Right,5771830933,212,11.7,5771830939,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822768293,29,1,1,2,1,7neuneh44n9rtsfsh6r0sb9no,0,52.0,4.0,2025-06-15T03:12:31.656Z,2025-06-15T03:12:34Z,ea8jgqvyafx5wvgd5d70mgx9m,J. Gurr,,5771831043,56,Right,5771831049,212,30.8,5771831051,213,6.27,5771831041,157,,5771831047,141,3.4,5771831045,140,81.3,5771831053,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822768297,19,12,1,2,4,87c66ubwpzykovmkaf1t46bis,1,15.8,93.9,2025-06-15T03:12:34.504Z,2025-06-15T03:12:35Z,ks7omik17xov44i4hhjrldyh,M. Taintor,,5771831071,56,Back,5771831077,212,5.3,5771831075,141,100.0,5771831073,140,17.3,5771831079,213,1.27,5771831085,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822768301,20,5,1,2,4,87c66ubwpzykovmkaf1t46bis,0,18.4,101.6,2025-06-15T03:12:34.760Z,2025-06-15T04:10:24Z,ks7omik17xov44i4hhjrldyh,M. Taintor,,5771831081,56,Back,5771831083,347,,5771831655,233,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822768405,30,5,1,2,4,7neuneh44n9rtsfsh6r0sb9no,1,81.6,-1.6,2025-06-15T03:12:34.760Z,2025-06-15T04:10:23Z,ea8jgqvyafx5wvgd5d70mgx9m,J. Gurr,,5771831647,233,20,5771831641,56,Right,5771831643,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822768413,31,1,1,2,25,7neuneh44n9rtsfsh6r0sb9no,1,81.8,0.0,2025-06-15T03:12:55.992Z,2025-06-15T03:12:58Z,5u1uufcs8jlvvkzodpi5ykovd,J. Timmer,,5771831691,56,Center,5771831695,141,27.7,5771831689,107,,5771831701,1,,5771831693,140,94.5,5771831697,212,24.0,5771831699,213,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822768417,32,1,1,2,28,7neuneh44n9rtsfsh6r0sb9no,0,96.1,28.9,2025-06-15T03:12:58.808Z,2025-06-15T03:12:59Z,23vdzclmewq139wius9oy3m51,S. Herrera,,5771831723,213,2.12,5771831713,3,,5771831715,56,Center,5771831721,212,7.2,5771831719,141,37.9,5771831717,140,92.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822768449,21,12,1,2,30,87c66ubwpzykovmkaf1t46bis,1,8.6,67.6,2025-06-15T03:13:00.271Z,2025-06-15T03:13:07Z,4o1ryjpzoxzpi3ex53cmayui1,A. Crognale,,5771831909,212,19.9,5771831903,56,Back,5771831911,213,0.28,5771831907,141,75.7,5771831905,140,26.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822768447,33,1,1,2,34,7neuneh44n9rtsfsh6r0sb9no,0,70.0,18.6,2025-06-15T03:13:04.784Z,2025-06-15T03:13:05Z,b7hyxpaqt3ymfbuah1yop5rai,F. Kleemann,,5771831887,140,83.3,5771831885,56,Center,5771831891,212,14.2,5771831893,213,0.18,5771831889,141,22.4,5771831883,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822768451,22,12,1,2,37,87c66ubwpzykovmkaf1t46bis,1,22.1,74.7,2025-06-15T03:13:07.617Z,2025-06-15T05:16:20Z,ks7omik17xov44i4hhjrldyh,M. Taintor,,5771831919,212,23.1,5771831917,141,89.0,5771831913,56,Back,5771831923,15,,5771831921,213,0.43,5771831915,140,42.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822768473,34,4,1,2,42,7neuneh44n9rtsfsh6r0sb9no,1,55.6,3.7,2025-06-15T03:13:12.288Z,2025-06-15T03:53:50Z,5u1uufcs8jlvvkzodpi5ykovd,J. Timmer,,5771832131,233,23,5771832073,286,,5771832061,13,,5771832065,56,Right,5771832071,265,,5771832069,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822768481,23,4,1,2,42,87c66ubwpzykovmkaf1t46bis,0,44.4,96.3,2025-06-15T03:13:12.289Z,2025-06-15T03:53:51Z,4ceaxb019rb6flsigsqo80rca,L. Haakenson,,5771832155,233,34,5771832109,152,,5771832113,285,,5771832111,265,,5771832107,56,Back,5771832105,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822768517,35,1,1,2,50,7neuneh44n9rtsfsh6r0sb9no,0,54.5,1.4,2025-06-15T03:13:21.074Z,2025-06-15T03:13:22Z,5u1uufcs8jlvvkzodpi5ykovd,J. Timmer,,5771832307,155,,5771832321,1,,5771832315,141,20.3,5771832311,56,Right,5771832313,140,83.1,5771832309,152,,5771832317,212,32.7,5771832305,5,,5771832319,213,0.40,,,,,,,,,,,,,,,,,,,,,,,,,
2822768523,24,12,1,2,53,87c66ubwpzykovmkaf1t46bis,1,15.5,73.3,2025-06-15T03:13:23.280Z,2025-06-15T03:13:27Z,ks7omik17xov44i4hhjrldyh,M. Taintor,,5771832345,140,21.8,5771832347,141,80.3,5771832371,15,,5771832351,213,0.62,5771832349,212,8.1,5771832343,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822768537,25,44,1,2,55,87c66ubwpzykovmkaf1t46bis,1,22.2,80.2,2025-06-15T03:13:25.137Z,2025-06-15T05:16:19Z,8gxutqok71ycyk3ojmudrqtck,L. Berrón,,5771832435,285,,5771832433,56,Back,5771832439,233,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822768533,36,44,1,2,55,7neuneh44n9rtsfsh6r0sb9no,0,77.8,19.8,2025-06-15T03:13:25.138Z,2025-06-15T03:13:30Z,do8svqsgqomasmzdwwsgg7qlm,C. Parano,,5771832397,56,Right,5771832399,286,,5771832493,233,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
