id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/11/value,qualifier/9/value,qualifier/13/value,qualifier/14/value,qualifier/16/value
2790978921,3,5,1,0,16,5qfq6cwtrgzd2szijivns7rjl,1,58.7,-2.0,2025-03-22T23:07:48.781Z,2025-03-23T01:15:02Z,4l1wyg8j3u42b87477y3zm54a,C. MacPherson,,,5596236951,56,Right,5596236967,233,9,5596236953,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790978893,9,5,1,0,16,bu5w8wprynlj9mvphvy8sd94f,0,41.3,102.0,2025-03-22T23:07:48.781Z,2025-03-23T01:15:02Z,cvi9u3v3krlkbvwcwjqztzvca,A. Mitrano,,,5596236833,347,,5596236971,233,3,5596236831,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790978927,4,1,1,0,22,5qfq6cwtrgzd2szijivns7rjl,1,57.2,0.0,2025-03-22T23:07:55.393Z,2025-03-22T23:07:56Z,cbbip5xc4xfipnk6aal6cfywa,N. Moon,,,5596236991,212,15.1,5596236987,140,69.1,5596236983,107,,5596236993,213,0.60,5596236989,141,11.4,5596236985,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790978955,5,1,1,0,23,5qfq6cwtrgzd2szijivns7rjl,1,70.4,6.0,2025-03-22T23:07:56.521Z,2025-03-22T23:10:31Z,c08hvq1hplcct8kxrxucfpqp6,W. Pacius,,,5596237137,56,Right,5596237145,213,3.03,5596237141,141,8.6,5596237139,140,55.4,5596237209,156,,5596237143,212,15.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790978959,6,1,1,0,28,5qfq6cwtrgzd2szijivns7rjl,1,57.1,8.8,2025-03-22T23:08:01.242Z,2025-03-24T06:01:59Z,56txiyhvsvhudyr1b21rznmjt,L. Hilton,,,5596237167,140,75.2,5596237171,212,19.0,5596237169,141,8.8,5596237173,213,0.00,5598543331,155,,5596237165,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790979157,17,1,1,0,30,5qfq6cwtrgzd2szijivns7rjl,0,75.8,6.2,2025-03-22T23:08:03.306Z,2025-03-24T06:02:05Z,4l1wyg8j3u42b87477y3zm54a,C. MacPherson,,,5596238427,212,25.7,5596238417,3,,5596238423,140,95.0,5596238419,168,,5596238429,213,0.67,5596238421,56,Center,5596238425,141,29.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790978973,10,52,1,0,35,bu5w8wprynlj9mvphvy8sd94f,1,12.3,61.1,2025-03-22T23:08:08.414Z,2025-03-24T06:02:07Z,9q3w4j10qfsq94svbmyxa879x,B. Hamid,,,5598543375,376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790979001,11,1,1,0,42,bu5w8wprynlj9mvphvy8sd94f,0,14.2,58.7,2025-03-22T23:08:14.668Z,2025-03-22T23:08:18Z,9q3w4j10qfsq94svbmyxa879x,B. Hamid,,,5596237423,140,76.3,5596237427,212,67.0,5596237419,199,,5596237429,213,6.05,5596237421,56,Center,5596237433,1,,5596237425,141,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790979013,7,12,1,0,47,5qfq6cwtrgzd2szijivns7rjl,1,22.8,70.2,2025-03-22T23:08:20.218Z,2025-03-23T01:16:34Z,du5dg5x7as3ub1iemjuwdd6uh,R. Castellanos,,,5596237515,15,,5596237507,140,25.5,5596237505,56,Back,5596237511,212,16.4,5596237509,141,93.9,5596237513,213,1.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790979025,8,1,1,0,52,5qfq6cwtrgzd2szijivns7rjl,0,27.1,95.0,2025-03-22T23:08:24.961Z,2025-03-22T23:09:50Z,7ao58e6608lb8eu3dmk17jisp,O. Bassett,,,5596237573,213,3.00,5596237565,56,Back,5596238979,155,,5596237571,212,3.4,5596237567,140,23.9,5596237569,141,95.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790979031,12,61,1,0,52,bu5w8wprynlj9mvphvy8sd94f,1,72.6,8.6,2025-03-22T23:08:25.008Z,2025-03-23T01:21:45Z,bzs1s1yntau3dvzyvn6t7t785,L. Melano,,,5596237629,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790979035,9,5,1,0,53,5qfq6cwtrgzd2szijivns7rjl,1,27.6,101.2,2025-03-22T23:08:26.433Z,2025-03-23T01:15:02Z,7ao58e6608lb8eu3dmk17jisp,O. Bassett,,,5596237647,347,,5596237701,233,13,5596237645,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790979043,13,5,1,0,53,bu5w8wprynlj9mvphvy8sd94f,0,72.4,-1.2,2025-03-22T23:08:26.433Z,2025-03-23T01:15:03Z,e5nj82ezbq0x6zdzdh4quyxn9,S. Blanco,,,5596237697,56,Right,5596237705,233,9,5596237699,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790979063,10,1,1,1,5,5qfq6cwtrgzd2szijivns7rjl,0,23.5,100.0,2025-03-22T23:08:38.121Z,2025-03-24T06:02:41Z,8vcytrkvxzki08gxqpulol3hl,B. Bodily,,,5596237835,107,,5596237841,141,86.9,5596237839,140,36.2,5596237843,212,16.6,5596237845,213,5.65,5596237837,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791395273,768,8,1,1,8,bu5w8wprynlj9mvphvy8sd94f,1,61.6,10.7,2025-03-22T23:08:40.778Z,2025-03-24T06:02:52Z,cyignmjprj3whvban361mclm2,D. Mercado,,,5598543625,56,Right,5598543645,385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790979065,11,1,1,1,8,5qfq6cwtrgzd2szijivns7rjl,1,44.0,94.8,2025-03-22T23:08:41.353Z,2025-03-22T23:13:13Z,4l1wyg8j3u42b87477y3zm54a,C. MacPherson,,,5596237855,212,10.2,5596237849,56,Back,5596237851,140,34.3,5596237857,213,3.07,5596237853,141,95.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790979071,12,1,1,1,9,5qfq6cwtrgzd2szijivns7rjl,1,31.6,97.9,2025-03-22T23:08:42.489Z,2025-03-22T23:17:43Z,8vcytrkvxzki08gxqpulol3hl,B. Bodily,,,5596237873,56,Back,5596237877,141,95.9,5596237879,212,9.7,5596237881,213,6.14,5596237875,140,40.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790979075,13,61,1,1,10,5qfq6cwtrgzd2szijivns7rjl,1,40.5,96.3,2025-03-22T23:08:42.874Z,2025-03-22T23:14:09Z,4l1wyg8j3u42b87477y3zm54a,C. MacPherson,,,5596245031,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790979069,14,43,1,1,10,bu5w8wprynlj9mvphvy8sd94f,1,0.0,0.0,2025-03-22T23:08:43.348Z,2025-03-22T23:14:36Z,fm9i7pzwi2diu6i18kycmx1x,M. Romero,,,5596245769,144,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790979073,15,1,1,1,10,bu5w8wprynlj9mvphvy8sd94f,0,69.7,13.9,2025-03-22T23:08:43.557Z,2025-03-24T06:03:25Z,cyignmjprj3whvban361mclm2,D. Mercado,,,5596237883,56,Right,5598543813,141,18.2,5598543811,140,69.1,5598543815,212,3.0,5598543819,213,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790979077,14,1,1,1,11,5qfq6cwtrgzd2szijivns7rjl,0,36.0,86.9,2025-03-22T23:08:44.001Z,2025-03-22T23:15:26Z,5s5sc7zxuw8cr7vyzeofb8hnu,D. Crisostomo,,,5596246999,140,42.9,5596247003,212,7.8,5596247001,141,91.2,5596246997,56,Back,5596247005,213,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790979085,16,1,1,1,12,bu5w8wprynlj9mvphvy8sd94f,1,60.8,12.3,2025-03-22T23:08:45.220Z,2025-03-22T23:15:44Z,cyignmjprj3whvban361mclm2,D. Mercado,,,5596237967,140,58.3,5596237973,213,2.00,5596237971,212,6.3,5596237969,141,20.7,5596237965,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790979087,17,1,1,1,15,bu5w8wprynlj9mvphvy8sd94f,0,65.5,51.2,2025-03-22T23:08:48.428Z,2025-03-24T06:03:57Z,e5nj82ezbq0x6zdzdh4quyxn9,S. Blanco,,,5596237983,140,77.6,5596237981,56,Center,5596237987,212,13.2,5598543947,155,,5596237989,213,6.00,5596237985,141,45.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790979091,15,43,1,1,16,5qfq6cwtrgzd2szijivns7rjl,1,0.0,0.0,2025-03-22T23:08:49.538Z,2025-03-24T06:04:03Z,du5dg5x7as3ub1iemjuwdd6uh,R. Castellanos,,,5596238031,56,Back,5598543987,144,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790979103,16,1,1,1,18,5qfq6cwtrgzd2szijivns7rjl,0,28.4,51.8,2025-03-22T23:08:51.153Z,2025-03-22T23:08:53Z,du5dg5x7as3ub1iemjuwdd6uh,R. Castellanos,,,5596238083,140,42.8,5596238091,1,,5596238079,157,,5596238087,212,26.8,5596238089,213,5.31,5596238081,56,Back,5596238085,141,19.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790979095,18,43,1,1,19,bu5w8wprynlj9mvphvy8sd94f,1,0.0,0.0,2025-03-22T23:08:51.677Z,2025-03-22T23:09:04Z,e5nj82ezbq0x6zdzdh4quyxn9,S. Blanco,,,5596238305,144,56,5596238037,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790979255,19,1,1,1,21,bu5w8wprynlj9mvphvy8sd94f,1,52.1,85.0,2025-03-22T23:08:54.572Z,2025-03-22T23:09:55Z,cvi9u3v3krlkbvwcwjqztzvca,A. Mitrano,1.0,,5596239085,210,16,5596238941,1,,5596238939,213,6.00,5596238933,140,85.8,5596238937,212,36.9,5596238929,157,,5596238935,141,69.7,5596239087,22,,5596238931,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790979257,20,16,1,1,24,bu5w8wprynlj9mvphvy8sd94f,1,86.7,64.6,2025-03-22T23:08:56.884Z,2025-03-24T06:04:52Z,am7umg00yxt40mndzo6e0u3o4,F. Bonfiglio,,,5596239107,102,48.9,5596238949,56,Center,5598544235,114,,5596238991,374,2025-03-22 23:08:55.856,5596239113,231,60.3,5596238995,375,01:23.189,5596239101,29,,5598544241,395,9.7,5596252829,328,,5598544237,78,5598544243,396,40.1,5596549181,214,5596239103,55,19,5596238987,20,5596238947,64,5596239109,103,19.6,5596238945,22,5598544239,108,5596239111,230,91.0,5596252827,89,,,,,
2790979273,18,43,1,2,19,5qfq6cwtrgzd2szijivns7rjl,1,0.0,0.0,2025-03-22T23:09:52.059Z,2025-03-22T23:09:55Z,4l1wyg8j3u42b87477y3zm54a,C. MacPherson,,,5596239079,144,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790979299,19,1,1,2,27,5qfq6cwtrgzd2szijivns7rjl,1,49.8,50.1,2025-03-22T23:10:00.605Z,2025-03-22T23:10:04Z,6mrzod8fbjpv5s30eyypfyv2t,M. Arteaga,,,5596239199,212,15.8,5596239195,140,35.8,5596239201,213,2.77,5596239193,56,Back,5596239197,141,58.5,5596239203,279,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790979313,20,1,1,2,31,5qfq6cwtrgzd2szijivns7rjl,1,35.8,58.5,2025-03-22T23:10:03.833Z,2025-03-22T23:10:08Z,5s5sc7zxuw8cr7vyzeofb8hnu,D. Crisostomo,,,5596239273,56,Back,5596239277,141,35.8,5596239281,213,4.22,5596239275,140,27.9,5596239279,212,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790979329,21,1,1,2,36,5qfq6cwtrgzd2szijivns7rjl,1,28.3,36.0,2025-03-22T23:10:08.793Z,2025-03-24T06:05:53Z,2wufroeor0e7k6hvatj1ltwfe,L. Wyke,,,5596239367,141,72.2,5596239371,212,30.3,5596239363,140,45.2,5596239359,56,Back,5596239373,213,0.95,5596239355,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790979331,22,50,1,2,39,5qfq6cwtrgzd2szijivns7rjl,1,58.0,69.1,2025-03-22T23:10:11.889Z,2025-03-22T23:21:00Z,7ao58e6608lb8eu3dmk17jisp,O. Bassett,,,5596239379,56,Center,5596239381,286,,5596239507,233,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790979349,21,7,1,2,39,bu5w8wprynlj9mvphvy8sd94f,1,42.0,30.9,2025-03-22T23:10:11.890Z,2025-03-24T06:06:02Z,fm9i7pzwi2diu6i18kycmx1x,M. Romero,,,5596239485,56,Back,5598544631,384,,5596239503,233,22,5598544633,178,,5596239487,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790979353,22,1,1,2,40,bu5w8wprynlj9mvphvy8sd94f,0,39.6,28.6,2025-03-22T23:10:13.628Z,2025-03-23T01:21:46Z,864l8bcr288r74g3tmt1eqfe2,D. Verón,,,5596255383,141,0.0,5596255381,140,41.2,5596255387,213,4.79,5596239501,56,Back,5596255385,212,20.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790979373,23,5,1,2,41,5qfq6cwtrgzd2szijivns7rjl,1,58.0,101.2,2025-03-22T23:10:14.340Z,2025-03-23T01:15:03Z,7ao58e6608lb8eu3dmk17jisp,O. Bassett,,,5596239585,56,Left,5596239587,347,,5596254753,233,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790979365,23,5,1,2,41,bu5w8wprynlj9mvphvy8sd94f,0,42.0,-1.2,2025-03-22T23:10:14.340Z,2025-03-23T01:15:03Z,fm9i7pzwi2diu6i18kycmx1x,M. Romero,,,5596239551,56,Back,5596239553,347,,5596254757,233,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790979381,24,1,1,2,49,5qfq6cwtrgzd2szijivns7rjl,1,54.4,100.0,2025-03-22T23:10:22.474Z,2025-03-24T06:06:30Z,8vcytrkvxzki08gxqpulol3hl,B. Bodily,,,5596239653,107,,5596239663,213,3.43,5596239657,140,34.9,5596239659,141,92.6,5596239661,212,21.3,5598544771,1,,5596239655,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790979385,25,1,1,2,53,5qfq6cwtrgzd2szijivns7rjl,1,36.7,92.1,2025-03-22T23:10:26.521Z,2025-03-22T23:10:29Z,du5dg5x7as3ub1iemjuwdd6uh,R. Castellanos,,,5596239701,212,10.5,5596239697,140,45.9,5596239703,213,0.40,5596239695,56,Back,5596239699,141,98.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790979401,26,1,1,2,56,5qfq6cwtrgzd2szijivns7rjl,1,46.2,97.1,2025-03-22T23:10:28.897Z,2025-03-24T06:06:37Z,8vcytrkvxzki08gxqpulol3hl,B. Bodily,,,5596239795,140,47.9,5596239801,213,4.94,5596239799,212,8.0,5596239797,141,85.7,5596239793,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790979407,27,1,1,2,59,5qfq6cwtrgzd2szijivns7rjl,1,52.3,85.7,2025-03-22T23:10:32.049Z,2025-03-22T23:10:33Z,5s5sc7zxuw8cr7vyzeofb8hnu,D. Crisostomo,,,5596239833,213,2.47,5596239827,140,46.4,5596239831,212,7.9,5596239829,141,92.9,5596239825,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790979411,28,1,1,3,0,5qfq6cwtrgzd2szijivns7rjl,1,46.4,92.9,2025-03-22T23:10:33.369Z,2025-03-22T23:10:35Z,7ao58e6608lb8eu3dmk17jisp,O. Bassett,,,5596239861,141,84.4,5596239857,56,Back,5596239863,212,10.9,5596239865,213,3.70,5596239859,140,37.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790979421,29,1,1,3,2,5qfq6cwtrgzd2szijivns7rjl,1,37.6,84.4,2025-03-22T23:10:35.193Z,2025-03-22T23:10:38Z,du5dg5x7as3ub1iemjuwdd6uh,R. Castellanos,,,5596239909,212,25.7,5596239911,213,4.42,5596239905,140,30.5,5596239903,56,Back,5596239907,141,48.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790979433,30,1,1,3,5,5qfq6cwtrgzd2szijivns7rjl,1,32.4,44.6,2025-03-22T23:10:38.409Z,2025-03-22T23:10:40Z,2wufroeor0e7k6hvatj1ltwfe,L. Wyke,,,5596239967,140,46.3,5596239973,213,0.29,5596239971,212,15.2,5596239969,141,50.9,5596239965,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790979455,31,1,1,3,8,5qfq6cwtrgzd2szijivns7rjl,1,46.3,50.9,2025-03-22T23:10:40.729Z,2025-03-22T23:10:44Z,56txiyhvsvhudyr1b21rznmjt,L. Hilton,,,5596240079,140,57.1,5596240083,212,26.0,5596240077,56,Left,5596240081,141,85.3,5596240085,213,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790979471,32,1,1,3,11,5qfq6cwtrgzd2szijivns7rjl,1,57.1,85.3,2025-03-22T23:10:44.073Z,2025-03-22T23:10:46Z,7ao58e6608lb8eu3dmk17jisp,O. Bassett,,,5596240141,56,Left,5596240145,141,94.5,5596240143,140,64.2,5596240147,212,9.7,5596240149,213,0.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
