id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/8/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/13/value
2796717559,18,43,1,0,18,e3k8yw2rbmphyfu5htn4yi5jk,1,0.0,0.0,2025-04-05T21:38:50.684Z,2025-04-05T21:44:06Z,5tyrfuxsp7s9thsmhfqevuoyx,A. Molloy,,,5627721209,141,36.9,5627721207,140,40.5,5627739289,144,1,5627721211,212,16.5,5627721213,213,5.04,5627721205,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796716845,9,1,1,0,18,e3k8yw2rbmphyfu5htn4yi5jk,1,24.8,37.7,2025-04-05T21:38:51.302Z,2025-04-05T21:38:56Z,ani26vxlo22iw1u9oexptml05,L. Archer,,,5627717197,213,5.33,5627717193,141,13.1,5627717189,56,Back,5627717191,140,36.1,5627717195,212,20.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796716951,10,1,1,0,23,e3k8yw2rbmphyfu5htn4yi5jk,1,40.0,19.1,2025-04-05T21:38:56.011Z,2025-04-05T21:39:04Z,94zkjopy373mgso15ljxmhd04,N. Houssou,,,5627717745,56,Back,5627717751,212,38.9,5627717753,213,1.68,5627717755,1,,5627717749,141,75.9,5627717747,140,35.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796716995,11,1,1,0,31,e3k8yw2rbmphyfu5htn4yi5jk,1,43.9,77.5,2025-04-05T21:39:04.134Z,2025-04-05T21:39:06Z,aur71sievd8d2fnrumu3xf6c,N. Dossantos,,,5627717955,212,17.5,5627717949,56,Back,5627717951,140,31.3,5627717953,141,60.6,5627717957,213,3.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796717025,12,1,1,0,33,e3k8yw2rbmphyfu5htn4yi5jk,1,33.6,59.9,2025-04-05T21:39:06.534Z,2025-04-05T21:39:09Z,98l6i78kwuwnt2sbcucssgjfu,G. Smith,,,5627718167,56,Back,5627718169,140,32.1,5627718175,213,4.62,5627718171,141,34.9,5627718173,212,17.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796717083,13,1,1,0,36,e3k8yw2rbmphyfu5htn4yi5jk,1,32.9,31.3,2025-04-05T21:39:09.583Z,2025-04-05T21:39:13Z,ani26vxlo22iw1u9oexptml05,L. Archer,,,5627718541,212,19.1,5627718543,213,5.66,5627718537,140,47.7,5627718539,141,14.9,5627718535,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796717149,14,1,1,0,40,e3k8yw2rbmphyfu5htn4yi5jk,0,56.4,9.1,2025-04-05T21:39:13.655Z,2025-04-05T21:39:17Z,dmbqkvvaray373vy9eiq4l1ck,J. Torres,,,5627718917,212,38.0,5627718913,140,83.7,5627718919,213,0.71,5627718905,155,,5627718909,56,Center,5627718915,141,45.7,5627718921,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796717267,4,1,1,0,50,5qfq6cwtrgzd2szijivns7rjl,1,12.6,44.0,2025-04-05T21:39:23.361Z,2025-04-05T21:39:26Z,dp8j7znd4eavuoy3faqpamoa2,N. Campisi,,,5627719597,213,4.68,5627719593,141,34.8,5627719589,56,Back,5627719591,140,12.4,5627719587,123,,5627719595,212,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796717307,5,1,1,0,54,5qfq6cwtrgzd2szijivns7rjl,1,12.7,34.3,2025-04-05T21:39:26.770Z,2025-04-05T21:39:30Z,2wufroeor0e7k6hvatj1ltwfe,L. Wyke,,,5627719831,213,1.54,5627719825,140,13.3,5627719829,212,17.7,5627719827,141,60.3,5627719823,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796717383,6,1,1,0,57,5qfq6cwtrgzd2szijivns7rjl,1,17.9,60.6,2025-04-05T21:39:29.866Z,2025-04-05T21:39:36Z,du5dg5x7as3ub1iemjuwdd6uh,R. Castellanos,,,5627720223,213,0.99,5627720221,212,21.7,5627720215,56,Back,5627720219,141,87.2,5627720217,140,29.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796717359,15,43,1,1,1,e3k8yw2rbmphyfu5htn4yi5jk,1,0.0,0.0,2025-04-05T21:39:34.374Z,2025-04-05T21:46:44Z,dmbqkvvaray373vy9eiq4l1ck,J. Torres,,,5627751545,144,83,5627720289,399,8vcytrkvxzki08gxqpulol3hl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796717387,7,1,1,1,3,5qfq6cwtrgzd2szijivns7rjl,0,15.9,90.8,2025-04-05T21:39:36.113Z,2025-04-05T21:46:56Z,8vcytrkvxzki08gxqpulol3hl,B. Bodily,,,5627720245,141,60.9,5627752593,155,,5627720241,56,Back,5627720243,140,19.9,5627720247,212,20.8,5627720249,213,4.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796717417,17,15,1,1,5,e3k8yw2rbmphyfu5htn4yi5jk,1,81.3,45.9,2025-04-05T21:39:38.246Z,2025-04-06T17:47:38Z,5jigl7kp5d2i5ws1602jm7n1m,J. Klein,,,5631676963,76,,5627721005,147,49.1,5627720441,56,Center,5627721027,233,8,5627721003,146,99.0,5627721001,458,,5627720437,22,,5627720779,18,,5627720777,20,5627720995,102,52.9,5627720997,103,7.6,,,,,,,,,,,,,,,,,,,,,,,,
2796717435,8,10,1,1,5,5qfq6cwtrgzd2szijivns7rjl,1,2.7,48.4,2025-04-05T21:39:38.346Z,2025-04-05T21:39:48Z,dp8j7znd4eavuoy3faqpamoa2,N. Campisi,,,5627720497,178,,5627721047,233,17,5627720499,182,,5627720495,173,,5627720501,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796717603,10,1,1,1,22,5qfq6cwtrgzd2szijivns7rjl,0,4.8,51.0,2025-04-05T21:39:54.930Z,2025-04-05T21:40:07Z,dp8j7znd4eavuoy3faqpamoa2,N. Campisi,,,5627721495,212,47.7,5627721497,213,6.23,5627721493,141,47.3,5627721491,140,50.2,5627721499,1,,5627721481,199,,5627721487,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796717607,11,43,1,1,23,5qfq6cwtrgzd2szijivns7rjl,1,0.0,0.0,2025-04-05T21:39:56.130Z,2025-04-05T21:40:05Z,dp8j7znd4eavuoy3faqpamoa2,N. Campisi,,,5627722177,144,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796724183,91,44,1,1,25,e3k8yw2rbmphyfu5htn4yi5jk,1,29.4,25.4,2025-04-05T21:39:57.705Z,2025-04-06T00:07:13Z,ani26vxlo22iw1u9oexptml05,L. Archer,,,5627761513,285,,5627761511,56,Back,5627761803,233,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796724175,62,44,1,1,25,5qfq6cwtrgzd2szijivns7rjl,0,70.6,74.6,2025-04-05T21:39:57.706Z,2025-04-06T00:07:13Z,6mrzod8fbjpv5s30eyypfyv2t,M. Arteaga,,,5627760423,56,Center,5627760425,286,,5627761833,233,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796717637,19,1,1,1,25,e3k8yw2rbmphyfu5htn4yi5jk,0,39.4,12.3,2025-04-05T21:39:58.286Z,2025-04-06T00:05:13Z,ani26vxlo22iw1u9oexptml05,L. Archer,,,5627721679,3,,5627721685,141,21.5,5627721681,56,Center,5627721683,140,60.4,5627721687,212,22.9,5627721689,213,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796721027,56,1,1,1,26,e3k8yw2rbmphyfu5htn4yi5jk,1,34.2,38.7,2025-04-05T21:39:58.933Z,2025-04-05T21:44:35Z,14oq6mvlh5e51d9y20nbpok4p,C. Allan,,,5627741905,141,15.2,5627741903,140,41.5,5627741901,56,Back,5627741907,212,17.7,5627741909,213,5.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796717679,21,1,1,1,28,e3k8yw2rbmphyfu5htn4yi5jk,1,54.5,15.5,2025-04-05T21:40:00.789Z,2025-04-05T21:40:02Z,dmbqkvvaray373vy9eiq4l1ck,J. Torres,,,5627721943,141,14.7,5627721941,140,40.5,5627721947,213,3.18,5627721937,56,Back,5627721945,212,14.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796717701,22,1,1,1,29,e3k8yw2rbmphyfu5htn4yi5jk,1,40.5,14.7,2025-04-05T21:40:01.863Z,2025-04-06T00:05:11Z,94zkjopy373mgso15ljxmhd04,N. Houssou,,,5627722075,141,19.5,5627722069,56,Back,5627722079,213,0.36,5627722073,140,48.8,5627722077,212,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796717745,23,1,1,1,32,e3k8yw2rbmphyfu5htn4yi5jk,1,45.9,17.7,2025-04-05T21:40:05.565Z,2025-04-05T21:40:06Z,dmbqkvvaray373vy9eiq4l1ck,J. Torres,,,5627722347,140,37.2,5627722349,141,8.8,5627722353,213,3.73,5627722351,212,11.0,5627722345,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796717787,24,1,1,1,34,e3k8yw2rbmphyfu5htn4yi5jk,1,37.3,8.8,2025-04-05T21:40:06.829Z,2025-04-05T21:40:11Z,94zkjopy373mgso15ljxmhd04,N. Houssou,,,5627722593,212,27.1,5627722591,141,43.1,5627722589,140,24.2,5627722587,56,Back,5627722595,213,2.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796717851,25,1,1,1,39,e3k8yw2rbmphyfu5htn4yi5jk,1,26.1,55.1,2025-04-05T21:40:12.437Z,2025-04-05T21:40:16Z,ani26vxlo22iw1u9oexptml05,L. Archer,,,5627722943,213,0.74,5627722941,212,36.2,5627722939,141,91.1,5627722937,140,51.5,5627722935,56,Left,5627722945,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796717859,26,4,1,1,43,e3k8yw2rbmphyfu5htn4yi5jk,1,59.7,91.6,2025-04-05T21:40:16.138Z,2025-04-05T23:51:10Z,aur71sievd8d2fnrumu3xf6c,N. Dossantos,,,5627723055,286,,5627723049,56,Left,5627723095,233,12,5627723047,13,,5627723051,152,,5627723053,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796717845,12,4,1,1,43,5qfq6cwtrgzd2szijivns7rjl,0,40.3,8.4,2025-04-05T21:40:16.139Z,2025-04-05T23:51:10Z,c08hvq1hplcct8kxrxucfpqp6,W. Pacius,,,5627723067,13,,5627723069,56,Back,5627723075,285,,5627723109,233,26,5627723071,152,,5627723073,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796718087,27,1,1,1,58,e3k8yw2rbmphyfu5htn4yi5jk,1,56.3,86.5,2025-04-05T21:40:31.574Z,2025-04-05T21:40:34Z,aur71sievd8d2fnrumu3xf6c,N. Dossantos,,,5627724189,213,3.43,5627724175,5,,5627724187,212,17.8,5627724181,56,Back,5627724183,140,40.1,5627724179,152,,5627724185,141,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796718107,28,1,1,2,1,e3k8yw2rbmphyfu5htn4yi5jk,1,37.5,74.1,2025-04-05T21:40:34.662Z,2025-04-05T21:40:37Z,5tyrfuxsp7s9thsmhfqevuoyx,A. Molloy,,,5627724307,213,4.08,5627724303,141,52.5,5627724301,140,27.2,5627724299,56,Back,5627724305,212,18.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796718147,29,1,1,2,5,e3k8yw2rbmphyfu5htn4yi5jk,1,27.2,52.4,2025-04-05T21:40:37.685Z,2025-04-05T21:40:40Z,98l6i78kwuwnt2sbcucssgjfu,G. Smith,,,5627724497,213,5.01,5627724493,141,26.1,5627724491,140,32.5,5627724489,56,Back,5627724495,212,18.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796718189,30,1,1,2,7,e3k8yw2rbmphyfu5htn4yi5jk,1,32.5,26.1,2025-04-05T21:40:40.157Z,2025-04-05T21:40:43Z,ani26vxlo22iw1u9oexptml05,L. Archer,,,5627724739,56,Back,5627724745,212,14.2,5627724743,141,42.5,5627724741,140,24.1,5627724747,213,2.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796718233,31,1,1,2,10,e3k8yw2rbmphyfu5htn4yi5jk,1,24.6,42.7,2025-04-05T21:40:43.640Z,2025-04-05T21:40:46Z,98l6i78kwuwnt2sbcucssgjfu,G. Smith,,,5627724995,141,67.5,5627724997,212,17.7,5627724993,140,29.7,5627724991,56,Back,5627724999,213,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796718293,32,1,1,2,14,e3k8yw2rbmphyfu5htn4yi5jk,1,36.4,70.0,2025-04-05T21:40:46.806Z,2025-04-05T21:40:50Z,5tyrfuxsp7s9thsmhfqevuoyx,A. Molloy,,,5627725305,141,89.3,5627725303,140,58.7,5627725301,56,Left,5627725307,212,26.8,5627725309,213,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796718329,33,1,1,2,17,e3k8yw2rbmphyfu5htn4yi5jk,1,60.5,93.8,2025-04-05T21:40:50.630Z,2025-04-05T21:40:54Z,aur71sievd8d2fnrumu3xf6c,N. Dossantos,,,5627725521,141,82.1,5627725523,212,27.3,5627725519,140,35.6,5627725525,213,3.44,5627725517,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796718401,34,1,1,2,21,e3k8yw2rbmphyfu5htn4yi5jk,1,37.7,80.0,2025-04-05T21:40:53.903Z,2025-04-05T21:40:58Z,5tyrfuxsp7s9thsmhfqevuoyx,A. Molloy,,,5627725901,213,4.85,5627725895,140,41.4,5627725893,56,Back,5627725897,141,39.4,5627725899,212,27.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796718439,35,1,1,2,25,e3k8yw2rbmphyfu5htn4yi5jk,1,41.5,33.1,2025-04-05T21:40:57.885Z,2025-04-05T21:41:01Z,ani26vxlo22iw1u9oexptml05,L. Archer,,,5627726095,212,24.5,5627726097,213,5.40,5627726091,140,56.3,5627726093,141,5.2,5627726089,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796718457,36,1,1,2,28,e3k8yw2rbmphyfu5htn4yi5jk,1,56.3,5.2,2025-04-05T21:41:01.437Z,2025-04-05T21:41:03Z,dmbqkvvaray373vy9eiq4l1ck,J. Torres,,,5627726213,212,13.3,5627726211,141,18.9,5627726215,213,0.77,5627726209,140,65.4,5627726207,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796718483,37,1,1,2,30,e3k8yw2rbmphyfu5htn4yi5jk,1,65.4,18.9,2025-04-05T21:41:03.109Z,2025-04-05T21:41:06Z,ecjt2cd0xn1qyeyboapqwxbvu,E. Ycaza,,,5627726369,141,23.9,5627726367,140,85.9,5627726371,212,21.8,5627726373,213,0.16,5627726365,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796718503,38,1,1,2,33,e3k8yw2rbmphyfu5htn4yi5jk,1,85.9,23.9,2025-04-05T21:41:06.261Z,2025-04-05T21:41:07Z,caoq1dpq6lz1btrd75s9xuz56,C. Jennings,,,5627726485,141,5.6,5627726489,213,4.57,5627726487,212,12.6,5627726483,140,84.2,5627726481,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796718521,39,1,1,2,34,e3k8yw2rbmphyfu5htn4yi5jk,0,84.2,5.6,2025-04-05T21:41:07.434Z,2025-04-05T21:41:08Z,94zkjopy373mgso15ljxmhd04,N. Houssou,,,5627726587,155,,5627726597,213,1.29,5627726593,141,43.6,5627726591,140,91.4,5627726589,56,Center,5627726585,2,,5627726595,212,26.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796718573,13,12,1,2,38,5qfq6cwtrgzd2szijivns7rjl,1,11.1,52.1,2025-04-05T21:41:11.459Z,2025-04-05T21:41:47Z,2wufroeor0e7k6hvatj1ltwfe,L. Wyke,,,5627726875,212,37.3,5627726869,56,Back,5627726901,167,,5627726871,140,25.9,5627726873,141,100.0,5627726877,213,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796718577,14,5,1,2,39,5qfq6cwtrgzd2szijivns7rjl,0,22.1,101.8,2025-04-05T21:41:12.530Z,2025-04-05T23:51:27Z,2wufroeor0e7k6hvatj1ltwfe,L. Wyke,,,5627727085,233,40,5627726889,347,,5627726887,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796718603,40,5,1,2,39,e3k8yw2rbmphyfu5htn4yi5jk,1,77.9,-1.8,2025-04-05T21:41:12.530Z,2025-04-05T23:51:27Z,94zkjopy373mgso15ljxmhd04,N. Houssou,,,5627727027,347,,5627727025,56,Right,5627727073,233,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796718585,15,43,1,2,40,5qfq6cwtrgzd2szijivns7rjl,1,0.0,0.0,2025-04-05T21:41:13.467Z,2025-04-05T21:41:16Z,2wufroeor0e7k6hvatj1ltwfe,L. Wyke,,,5627727107,144,56,5627726911,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796718619,41,1,1,2,42,e3k8yw2rbmphyfu5htn4yi5jk,1,84.4,0.0,2025-04-05T21:41:15.598Z,2025-04-05T21:41:17Z,94zkjopy373mgso15ljxmhd04,N. Houssou,,,5627727171,212,13.1,5627727173,213,2.23,5627727165,56,Right,5627727169,141,13.5,5627727167,140,76.8,5627727163,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796718693,42,1,1,2,45,e3k8yw2rbmphyfu5htn4yi5jk,1,76.8,13.5,2025-04-05T21:41:17.725Z,2025-04-05T21:41:21Z,dmbqkvvaray373vy9eiq4l1ck,J. Torres,,,5627727511,56,Center,5627727513,140,54.3,5627727517,212,34.6,5627727519,213,2.32,5627727509,155,,5627727515,141,50.6,5627727521,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
