id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/10/value,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId
2803411191,7,5,1,0,10,224tl8u2smnbyliroayk69nt0,1,63.0,-1.6,2025-04-19T20:36:26.004Z,2025-04-19T22:46:02Z,8pli7fk5kjmt0f9pl6sjsltuy,P. Barnes,,,5664603689,233,4,5664603629,56,Right,5664603631,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803411257,8,1,1,0,19,224tl8u2smnbyliroayk69nt0,1,64.9,0.0,2025-04-19T20:36:34.493Z,2025-04-19T20:36:38Z,8pli7fk5kjmt0f9pl6sjsltuy,P. Barnes,,,5664603965,213,1.15,5664603961,141,12.9,5664603953,107,,5664603963,212,10.9,5664603959,140,69.1,5664603957,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803411267,9,1,1,0,22,224tl8u2smnbyliroayk69nt0,0,69.1,12.9,2025-04-19T20:36:38.012Z,2025-04-19T20:38:08Z,c4va4gt5g10zm05qtucgyt889,D. Griffin,,,5664604027,140,68.1,5664604029,141,21.5,5664604023,168,,5664604033,213,1.75,5664604025,56,Center,5664604031,212,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803411331,6,1,1,0,24,5x54jbfk11lrsmipgsx7cdbai,1,37.0,72.1,2025-04-19T20:36:39.184Z,2025-04-19T20:37:39Z,6j5qn2b7t0165vl1t26v001zo,W. Leggett,,,5664604359,140,39.0,5664604357,56,Back,5664604361,141,90.8,5664604365,213,1.41,5664604363,212,12.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803411349,7,1,1,0,27,5x54jbfk11lrsmipgsx7cdbai,1,36.5,92.3,2025-04-19T20:36:43.117Z,2025-04-19T20:37:42Z,agl19e1fx5123lk28avksxb3e,A. Aboukoura,,,5664604463,212,22.9,5664604457,56,Back,5664604459,140,14.7,5664604465,213,3.20,5664604461,141,90.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803411381,8,1,1,0,29,5x54jbfk11lrsmipgsx7cdbai,1,14.7,90.2,2025-04-19T20:36:44.466Z,2025-04-19T20:36:47Z,7ehcrcdv82ib5fkpo3498gpgp,K. Awuah,,,5664604657,1,,5664604647,140,50.3,5664604645,56,Left,5664604653,212,38.0,5664604643,157,,5664604651,141,80.0,5664604655,213,6.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803411395,9,1,1,0,32,5x54jbfk11lrsmipgsx7cdbai,1,45.0,82.3,2025-04-19T20:36:47.617Z,2025-04-19T20:36:48Z,ekzwxb68vg0w7o14zcq8n4vs9,Z. Ryan,,,5664604729,213,2.63,5664604727,212,14.4,5664604721,56,Back,5664604725,141,92.6,5664604723,140,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803411403,10,1,1,0,33,5x54jbfk11lrsmipgsx7cdbai,1,33.0,92.6,2025-04-19T20:36:48.556Z,2025-04-19T20:36:49Z,agl19e1fx5123lk28avksxb3e,A. Aboukoura,,,5664604775,141,77.5,5664604781,212,10.3,5664604765,56,Back,5664604771,140,33.4,5664604787,213,4.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803411445,11,1,1,0,34,5x54jbfk11lrsmipgsx7cdbai,1,33.4,77.5,2025-04-19T20:36:49.194Z,2025-04-19T20:36:52Z,db1h2huu8z1quj816wol1wgkp,T. McCabe,,,5664605033,56,Back,5664605041,213,1.23,5664605035,140,38.0,5664605037,141,97.5,5664605039,212,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803411467,12,1,1,0,37,5x54jbfk11lrsmipgsx7cdbai,1,60.4,89.3,2025-04-19T20:36:52.632Z,2025-04-19T20:36:54Z,agl19e1fx5123lk28avksxb3e,A. Aboukoura,,,5664605167,56,Center,5664605173,212,13.6,5664605171,141,73.5,5664605169,140,68.3,5664605175,213,5.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803411475,13,1,1,0,39,5x54jbfk11lrsmipgsx7cdbai,0,68.3,73.5,2025-04-19T20:36:54.586Z,2025-04-19T20:36:55Z,21vmi7qtrujzez3ziux0wa4et,F. Valot,,,5664605205,140,76.9,5664605209,212,9.0,5664605211,213,6.24,5664605207,141,72.9,5664605203,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803411479,10,61,1,0,40,224tl8u2smnbyliroayk69nt0,1,29.0,16.2,2025-04-19T20:36:55.335Z,2025-04-19T22:51:28Z,c8nk2hg1xy4h4646ajpq65dnu,I. Osumanu,,,5664605229,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803411527,11,1,1,0,41,224tl8u2smnbyliroayk69nt0,1,27.2,13.4,2025-04-19T20:36:56.173Z,2025-04-19T22:51:25Z,6jsu34146kbtoeco3ue1a7ok4,J. Wälti,,,5664605507,56,Back,5664605509,140,32.3,5664605515,213,0.97,5664605511,141,24.9,5664605513,212,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803411539,12,1,1,0,43,224tl8u2smnbyliroayk69nt0,0,32.3,24.9,2025-04-19T20:36:59.036Z,2025-04-19T20:55:28Z,1l26kd7tulii6x999b3fdxi0a,B. Sample,,,5664605625,213,4.58,5664605611,140,30.6,5664605615,141,4.9,5664605609,56,Back,5664605629,1,,5664605607,157,,5664605619,212,13.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803411563,15,61,1,0,44,5x54jbfk11lrsmipgsx7cdbai,1,76.9,82.3,2025-04-19T20:37:00.004Z,2025-04-19T20:44:26Z,ekzwxb68vg0w7o14zcq8n4vs9,Z. Ryan,,,5664605819,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803411607,13,5,1,0,46,224tl8u2smnbyliroayk69nt0,1,21.8,-1.8,2025-04-19T20:37:01.856Z,2025-04-19T22:46:03Z,3g0rdzkjns986gn34vg3umiqy,S. Suber,,,5664606029,56,Back,5664636927,233,14,5664606033,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803411561,14,5,1,0,46,5x54jbfk11lrsmipgsx7cdbai,0,78.2,101.8,2025-04-19T20:37:01.856Z,2025-04-19T22:46:04Z,21vmi7qtrujzez3ziux0wa4et,F. Valot,,,5664605807,56,Left,5664636943,233,13,5664605809,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803411633,14,1,1,0,54,224tl8u2smnbyliroayk69nt0,0,24.1,0.0,2025-04-19T20:37:09.356Z,2025-04-19T20:37:11Z,8pli7fk5kjmt0f9pl6sjsltuy,P. Barnes,,,5664606181,56,Back,5664606185,141,6.7,5664606179,107,,5664606183,140,43.1,5664606189,213,0.28,5664606187,212,20.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803411667,16,1,1,0,57,5x54jbfk11lrsmipgsx7cdbai,0,51.2,83.9,2025-04-19T20:37:12.182Z,2025-04-19T20:37:15Z,7ehcrcdv82ib5fkpo3498gpgp,K. Awuah,,,5664606401,213,0.06,5664606399,212,27.5,5664606395,140,77.3,5664606391,3,,5664606393,56,Left,5664606397,141,86.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803411711,15,1,1,1,0,224tl8u2smnbyliroayk69nt0,0,20.4,16.2,2025-04-19T20:37:15.884Z,2025-04-19T20:37:20Z,c8nk2hg1xy4h4646ajpq65dnu,I. Osumanu,,,5664606695,157,,5664606709,213,0.94,5664606699,140,30.5,5664606705,212,18.1,5664606713,1,,5664606701,141,37.7,5664606697,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803411723,17,44,1,1,4,5x54jbfk11lrsmipgsx7cdbai,1,64.0,60.7,2025-04-19T20:37:19.329Z,2025-04-19T22:46:54Z,6j5qn2b7t0165vl1t26v001zo,W. Leggett,,,5664645283,233,124,5664606763,286,,5664606759,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803418277,124,44,1,1,4,224tl8u2smnbyliroayk69nt0,0,36.0,39.3,2025-04-19T20:37:19.330Z,2025-04-19T22:46:54Z,1l26kd7tulii6x999b3fdxi0a,B. Sample,,,5664645295,233,17,5664644525,285,,5664644523,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803411733,18,1,1,1,5,5x54jbfk11lrsmipgsx7cdbai,0,68.7,53.8,2025-04-19T20:37:20.272Z,2025-04-19T20:45:41Z,6j5qn2b7t0165vl1t26v001zo,W. Leggett,,,5664642527,212,4.5,5664642529,213,0.47,5664606815,56,Center,5664642523,140,72.5,5664642521,3,,5664642525,141,56.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803411747,16,1,1,1,6,224tl8u2smnbyliroayk69nt0,1,27.3,27.3,2025-04-19T20:37:21.171Z,2025-04-19T22:51:25Z,6jsu34146kbtoeco3ue1a7ok4,J. Wälti,,,5664606893,213,5.61,5664606889,141,18.0,5664606885,56,Back,5664606891,212,10.2,5664606887,140,34.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803411763,17,1,1,1,7,224tl8u2smnbyliroayk69nt0,1,34.9,18.0,2025-04-19T20:37:22.716Z,2025-04-19T21:03:34Z,e8rbnbqkrxia3lgt7agaid4kq,R. Mertz,,,5664606983,141,20.3,5664606981,140,32.6,5664606985,212,2.9,5664606979,56,Back,5664606987,213,2.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803411755,19,83,1,1,7,5x54jbfk11lrsmipgsx7cdbai,0,66.4,72.4,2025-04-19T20:37:22.780Z,2025-04-19T20:46:08Z,7ehcrcdv82ib5fkpo3498gpgp,K. Awuah,,,5664644521,399,6jsu34146kbtoeco3ue1a7ok4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803411783,18,1,1,1,8,224tl8u2smnbyliroayk69nt0,0,32.6,20.3,2025-04-19T20:37:23.724Z,2025-04-19T22:51:23Z,6jsu34146kbtoeco3ue1a7ok4,J. Wälti,,,5664607119,141,0.0,5664607115,56,Right,5664607121,212,37.1,5664607125,1,,5664607117,140,65.0,5664607123,213,5.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803411791,19,5,1,1,10,224tl8u2smnbyliroayk69nt0,0,63.4,-1.6,2025-04-19T20:37:25.597Z,2025-04-19T22:46:04Z,6jsu34146kbtoeco3ue1a7ok4,J. Wälti,,,5664607167,347,,5664607165,56,Right,5664607885,233,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803411901,20,5,1,1,10,5x54jbfk11lrsmipgsx7cdbai,1,36.6,101.6,2025-04-19T20:37:25.597Z,2025-04-19T22:46:04Z,6j5qn2b7t0165vl1t26v001zo,W. Leggett,,,5664607849,233,19,5664607793,347,,5664607791,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803412017,21,1,1,1,29,5x54jbfk11lrsmipgsx7cdbai,1,28.8,100.0,2025-04-19T20:37:44.586Z,2025-04-19T20:37:45Z,7ehcrcdv82ib5fkpo3498gpgp,K. Awuah,,,5664608479,213,3.84,5664608477,212,14.1,5664608469,107,,5664608471,56,Back,5664608475,141,87.1,5664608473,140,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803412051,22,1,1,1,30,5x54jbfk11lrsmipgsx7cdbai,1,18.5,87.1,2025-04-19T20:37:45.584Z,2025-04-19T20:37:48Z,b6t0f1g03ixymivs4fbaiewic,J. Erlandson,,,5664608685,141,94.1,5664608681,56,Back,5664608683,140,26.3,5664608689,213,0.53,5664608687,212,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803412067,23,1,1,1,33,5x54jbfk11lrsmipgsx7cdbai,0,32.5,95.0,2025-04-19T20:37:48.187Z,2025-04-19T20:37:49Z,7ehcrcdv82ib5fkpo3498gpgp,K. Awuah,,,5664608769,140,72.6,5664608771,141,78.5,5664608775,213,6.02,5664608767,56,Center,5664608773,212,43.6,5664608765,157,,5664608779,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803412161,20,1,1,1,35,224tl8u2smnbyliroayk69nt0,1,30.0,35.5,2025-04-19T20:37:50.621Z,2025-04-19T20:37:55Z,3g0rdzkjns986gn34vg3umiqy,S. Suber,,,5664609269,140,56.7,5664609271,141,20.4,5664609265,3,,5664609275,213,5.93,5664609267,56,Right,5664609273,212,29.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803412171,21,50,1,1,38,224tl8u2smnbyliroayk69nt0,1,57.8,20.6,2025-04-19T20:37:53.848Z,2025-04-19T22:51:22Z,e8rbnbqkrxia3lgt7agaid4kq,R. Mertz,,,5664609337,286,,5664609333,56,Right,5664609471,233,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803412173,24,7,1,1,38,5x54jbfk11lrsmipgsx7cdbai,1,42.2,79.4,2025-04-19T20:37:53.849Z,2025-04-19T20:38:04Z,agl19e1fx5123lk28avksxb3e,A. Aboukoura,,,5664609341,285,,5664609339,56,Back,5664609379,233,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803412217,25,1,1,1,40,5x54jbfk11lrsmipgsx7cdbai,1,39.0,92.7,2025-04-19T20:37:55.687Z,2025-04-19T20:38:00Z,agl19e1fx5123lk28avksxb3e,A. Aboukoura,,,5664609595,212,10.1,5664609587,140,31.2,5664609591,141,83.9,5664609583,56,Back,5664609597,213,3.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803412295,26,1,1,1,41,5x54jbfk11lrsmipgsx7cdbai,1,31.2,83.9,2025-04-19T20:37:56.568Z,2025-04-19T20:38:05Z,7ehcrcdv82ib5fkpo3498gpgp,K. Awuah,,,5664610009,140,51.7,5664610007,56,Left,5664610013,212,21.5,5664610011,141,82.6,5664610015,213,6.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803412299,27,4,1,1,44,5x54jbfk11lrsmipgsx7cdbai,1,48.2,83.2,2025-04-19T20:37:59.635Z,2025-04-19T20:38:10Z,ekzwxb68vg0w7o14zcq8n4vs9,Z. Ryan,,,5664610061,56,Back,5664610065,265,,5664610063,152,,5664610059,13,,5664610091,233,22,5664610067,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803412209,22,4,1,1,44,224tl8u2smnbyliroayk69nt0,0,51.8,16.8,2025-04-19T20:37:59.636Z,2025-04-19T20:38:09Z,c8nk2hg1xy4h4646ajpq65dnu,I. Osumanu,,,5664609663,152,,5664610141,233,27,5664609665,265,,5664609661,56,Right,5664609667,285,,5664609659,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803412399,28,1,1,1,54,5x54jbfk11lrsmipgsx7cdbai,1,52.3,76.6,2025-04-19T20:38:10.136Z,2025-04-19T20:38:12Z,21vmi7qtrujzez3ziux0wa4et,F. Valot,,,5664610623,140,33.9,5664610621,56,Back,5664610625,141,63.1,5664610617,5,,5664610627,212,21.4,5664610619,152,,5664610629,213,3.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803412453,29,1,1,1,57,5x54jbfk11lrsmipgsx7cdbai,1,33.9,63.1,2025-04-19T20:38:12.331Z,2025-04-19T20:38:16Z,db1h2huu8z1quj816wol1wgkp,T. McCabe,,,5664610935,213,5.70,5664610931,141,43.1,5664610933,212,24.6,5664610929,140,53.4,5664610927,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803412469,30,1,1,2,0,5x54jbfk11lrsmipgsx7cdbai,1,53.4,43.1,2025-04-19T20:38:15.871Z,2025-04-19T20:38:17Z,8bp3sbo230kdhnw76stsw2u39,Pedro Santos,,,5664610963,141,48.5,5664610961,140,76.1,5664610965,212,24.1,5664610967,213,0.15,5664610959,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803412475,31,1,1,2,1,5x54jbfk11lrsmipgsx7cdbai,0,76.1,48.5,2025-04-19T20:38:16.728Z,2025-04-19T20:38:17Z,21vmi7qtrujzez3ziux0wa4et,F. Valot,,,5664610989,56,Center,5664610997,141,51.0,5664610993,140,87.9,5664610999,212,12.5,5664611001,213,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803412521,23,61,1,2,2,224tl8u2smnbyliroayk69nt0,1,31.9,54.5,2025-04-19T20:38:17.435Z,2025-04-19T21:08:41Z,1l26kd7tulii6x999b3fdxi0a,B. Sample,,,5664611253,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803412515,32,61,1,2,3,5x54jbfk11lrsmipgsx7cdbai,0,85.8,63.0,2025-04-19T20:38:19.103Z,2025-04-19T20:51:33Z,21vmi7qtrujzez3ziux0wa4et,F. Valot,,,5664611191,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803435225,294,1,1,2,6,224tl8u2smnbyliroayk69nt0,1,55.6,39.1,2025-04-19T20:38:21.830Z,2025-04-19T21:09:32Z,c4va4gt5g10zm05qtucgyt889,D. Griffin,,,5664732949,140,53.2,5664732953,212,14.2,5664732957,213,1.75,5664732951,141,59.7,5664732947,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803412661,25,1,1,2,14,224tl8u2smnbyliroayk69nt0,0,87.5,84.7,2025-04-19T20:38:29.163Z,2025-04-19T21:09:42Z,2d1vmwon9o35lzpkdwxgv12lm,J. Bouregy,,,5664612011,141,74.2,5664677201,236,,5664612015,213,5.01,5664677203,233,33,5664612013,212,7.5,5664612007,56,Center,5664677207,286,,5664612009,140,89.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803412695,33,74,1,2,14,5x54jbfk11lrsmipgsx7cdbai,1,10.0,26.4,2025-04-19T20:38:29.164Z,2025-04-19T22:46:49Z,8bp3sbo230kdhnw76stsw2u39,Pedro Santos,,,5664612231,56,Back,5664612233,285,,5664677261,233,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803412747,35,1,1,2,22,5x54jbfk11lrsmipgsx7cdbai,1,9.2,42.7,2025-04-19T20:38:37.600Z,2025-04-19T20:38:41Z,7lmf6beyvhncglhw9avm40qju,H. Fauroux,,,5664612585,123,,5664612597,1,,5664612587,56,Back,5664612591,141,87.8,5664612595,213,1.18,5664612589,140,21.2,5664612593,212,33.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
