id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/9/value,qualifier/11/value,qualifier/12/value,qualifier/17/value,qualifier/16/value
2790928951,4,61,1,0,7,b1rpb2ox52uxcmjrsnqd95pk5,1,26.9,87.7,2025-03-22T20:07:16.713Z,2025-03-25T08:56:01Z,62d3tsany7t5t2bwm4cx9pbai,A. Villanueva,,,5595959855,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790928955,5,5,1,0,11,b1rpb2ox52uxcmjrsnqd95pk5,0,38.0,102.0,2025-03-22T20:07:20.814Z,2025-03-22T20:59:14Z,62d3tsany7t5t2bwm4cx9pbai,A. Villanueva,,,5595959873,56,Back,5595960007,233,7,5595959875,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790928965,7,5,1,0,11,c9xffml4i7ihblp1qhus9w3fu,1,62.0,-2.0,2025-03-22T20:07:20.814Z,2025-03-22T20:07:29Z,357vd87hv0jvljqtt2qf4vmz8,S. Suárez,,,5595959997,233,5,5595959973,56,Right,5595959975,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790929049,8,1,1,0,29,c9xffml4i7ihblp1qhus9w3fu,0,69.8,0.0,2025-03-22T20:07:37.984Z,2025-03-22T20:07:41Z,8t6b8q53ovws370a1b27s85jo,R. Torres,,,5595960471,213,0.81,5595960461,107,,5595960473,1,,5595960463,56,Center,5595960467,141,24.7,5595960465,140,86.0,5595960469,212,24.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790929057,6,12,1,0,33,b1rpb2ox52uxcmjrsnqd95pk5,1,11.7,68.1,2025-03-22T20:07:42.176Z,2025-03-22T20:07:45Z,6rnuvzwbmj7qv80xlwkjvqnkl,J. Chapman,,,5595960497,140,24.2,5595960493,56,Back,5595960501,141,72.7,5595960509,213,0.23,5595960529,15,,5595960505,212,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790929081,9,44,1,0,35,c9xffml4i7ihblp1qhus9w3fu,1,74.4,25.7,2025-03-22T20:07:44.454Z,2025-03-22T20:38:02Z,dglf4uhg5wnc68cg8ijovfmy1,T. Preston,,,5595960643,286,,5595960653,233,7,5595960641,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790929071,7,44,1,0,35,b1rpb2ox52uxcmjrsnqd95pk5,0,25.6,74.3,2025-03-22T20:07:44.455Z,2025-03-22T20:38:03Z,9irc1xmfpa2395qef78rfyjje,J. Cedeño,,,5595960593,285,,5595960677,233,9,5595960591,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790929097,10,1,1,0,35,c9xffml4i7ihblp1qhus9w3fu,1,72.0,23.1,2025-03-22T20:07:44.751Z,2025-03-22T20:07:48Z,dglf4uhg5wnc68cg8ijovfmy1,T. Preston,,,5595960717,213,1.61,5595960709,56,Center,5595960713,141,40.1,5595960715,212,11.6,5595960707,3,,5595960711,140,71.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790929115,11,1,1,0,37,c9xffml4i7ihblp1qhus9w3fu,1,71.6,40.1,2025-03-22T20:07:46.710Z,2025-03-22T20:18:33Z,5uv1a9rj5wot3wcgefjoxhkdm,J. Rufe,,,5595960801,140,71.9,5595960799,56,Center,5595982291,3,,5595960805,212,5.5,5595960803,141,48.2,5595960807,213,1.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790929107,8,45,1,0,40,b1rpb2ox52uxcmjrsnqd95pk5,0,27.0,43.0,2025-03-22T20:07:49.400Z,2025-03-22T20:07:57Z,7jizpx7yu2zxvcrnf9z4408vd,R. Williams,,,5595960961,233,12,5595960761,285,,5595960759,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790929127,12,3,1,0,40,c9xffml4i7ihblp1qhus9w3fu,1,73.0,57.0,2025-03-22T20:07:49.400Z,2025-03-25T08:57:03Z,dlhfyk6fgvqt3zrr5qfj7c6w9,D. McCartney,,,5595960913,233,8,5599715525,465,,5595960853,286,,5595960851,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790929141,13,3,1,0,41,c9xffml4i7ihblp1qhus9w3fu,0,72.9,53.6,2025-03-22T20:07:50.199Z,2025-03-25T08:57:14Z,dlhfyk6fgvqt3zrr5qfj7c6w9,D. McCartney,,,5595960973,233,9,5599715649,465,,5595960903,286,,5595960901,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790929119,9,7,1,0,41,b1rpb2ox52uxcmjrsnqd95pk5,0,27.1,46.4,2025-03-22T20:07:50.200Z,2025-03-25T08:57:19Z,28a0n53jofx4bk7vd74yqcb11,S. Carroll,,,5595960817,285,,5599715707,385,,5595960815,56,Back,5599715709,178,,5595960935,233,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790932569,85,50,1,0,42,c9xffml4i7ihblp1qhus9w3fu,1,75.3,64.6,2025-03-22T20:07:51.039Z,2025-03-22T20:25:18Z,dlhfyk6fgvqt3zrr5qfj7c6w9,D. McCartney,,,5595983597,286,,5595983595,56,Center,5595983615,233,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790929123,10,7,1,0,42,b1rpb2ox52uxcmjrsnqd95pk5,0,24.7,35.4,2025-03-22T20:07:51.040Z,2025-03-25T08:57:26Z,7jizpx7yu2zxvcrnf9z4408vd,R. Williams,,,5599715795,178,,5595960835,285,,5599715793,385,,5595983599,233,85,5595960833,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790932561,84,1,1,0,42,c9xffml4i7ihblp1qhus9w3fu,1,67.7,70.1,2025-03-22T20:07:51.822Z,2025-03-25T08:57:45Z,ece6sffb02drwz4brwndn0rh0,R. Hamouda,,,5595994919,233,186,5595993861,140,69.8,5595993863,141,69.3,5595993859,56,Center,5595993867,213,6.04,5595993865,212,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791605231,803,61,1,0,43,c9xffml4i7ihblp1qhus9w3fu,1,73.1,70.0,2025-03-22T20:07:52.586Z,2025-03-25T08:57:43Z,2rsduabh7r8i29f9i6znwbfu1,R. Damus,,,5599716043,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790934665,186,43,1,0,43,b1rpb2ox52uxcmjrsnqd95pk5,1,0.0,0.0,2025-03-22T20:07:52.823Z,2025-03-22T21:05:45Z,6rnuvzwbmj7qv80xlwkjvqnkl,J. Chapman,,,5596050685,144,74,5595993305,56,Back,5595993643,285,0,5595993911,233,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790934663,185,61,1,0,44,b1rpb2ox52uxcmjrsnqd95pk5,1,32.3,28.9,2025-03-22T20:07:53.147Z,2025-03-22T20:25:52Z,6rnuvzwbmj7qv80xlwkjvqnkl,J. Chapman,,,5595996123,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790929177,14,50,1,0,46,c9xffml4i7ihblp1qhus9w3fu,1,85.4,70.2,2025-03-22T20:07:54.998Z,2025-03-22T21:06:10Z,2rsduabh7r8i29f9i6znwbfu1,R. Damus,,,5596050923,286,,5596050967,233,468,5595961089,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790945301,468,7,1,0,46,b1rpb2ox52uxcmjrsnqd95pk5,0,14.6,29.8,2025-03-22T20:07:54.999Z,2025-03-25T08:57:54Z,6rnuvzwbmj7qv80xlwkjvqnkl,J. Chapman,,,5599716151,178,,5596050925,56,Back,5596050931,233,14,5599716149,385,,5596050927,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790945333,399,61,1,0,47,c9xffml4i7ihblp1qhus9w3fu,1,83.3,82.9,2025-03-22T20:07:55.966Z,2025-03-22T21:06:12Z,2rsduabh7r8i29f9i6znwbfu1,R. Damus,,,5596051135,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790929195,11,4,1,0,50,b1rpb2ox52uxcmjrsnqd95pk5,1,18.2,11.8,2025-03-22T20:07:58.984Z,2025-03-22T20:25:15Z,7jizpx7yu2zxvcrnf9z4408vd,R. Williams,,,5595961211,294,,5595961335,233,15,5595961215,152,,5595961209,13,,5595961213,56,Back,5595961217,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790929219,15,4,1,0,50,c9xffml4i7ihblp1qhus9w3fu,0,81.8,88.2,2025-03-22T20:07:58.985Z,2025-03-22T20:26:15Z,dlhfyk6fgvqt3zrr5qfj7c6w9,D. McCartney,,,5595961339,233,11,5595961327,152,,5595961323,13,,5595961331,286,,5595996985,294,,5595961325,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790929271,12,1,1,1,2,b1rpb2ox52uxcmjrsnqd95pk5,1,22.8,11.4,2025-03-22T20:08:11.623Z,2025-03-22T20:08:13Z,9jc85hbpruze4v8u1pjzsjt62,M. Bryant,,,5595961657,213,2.11,5595961653,212,18.3,5595961665,189,,5595961641,56,Back,5595961639,152,,5595961635,5,,5595961645,140,13.9,5595961649,141,34.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790929291,13,1,1,1,4,b1rpb2ox52uxcmjrsnqd95pk5,1,13.9,34.5,2025-03-22T20:08:13.151Z,2025-03-22T20:08:16Z,28a0n53jofx4bk7vd74yqcb11,S. Carroll,,,5595961755,141,64.8,5595961759,213,1.19,5595961751,56,Back,5595961753,140,21.8,5595961757,212,22.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790929315,14,1,1,1,7,b1rpb2ox52uxcmjrsnqd95pk5,1,21.8,64.8,2025-03-22T20:08:16.703Z,2025-03-22T20:08:21Z,b3ktzeb8cz6vl5snbrtnpzw4q,S. Wiedt,,,5595961891,56,Back,5595961895,141,39.4,5595961899,213,4.57,5595961893,140,19.4,5595961897,212,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790929327,15,1,1,1,12,b1rpb2ox52uxcmjrsnqd95pk5,0,24.8,36.3,2025-03-22T20:08:21.519Z,2025-03-22T20:08:24Z,28a0n53jofx4bk7vd74yqcb11,S. Carroll,,,5595961971,1,,5595961961,56,Right,5595961969,213,5.98,5595961965,141,12.9,5595961967,212,54.2,5595961959,155,,5595961963,140,74.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790929337,16,12,1,1,14,c9xffml4i7ihblp1qhus9w3fu,1,25.7,77.3,2025-03-22T20:08:23.463Z,2025-03-22T21:05:06Z,ece6sffb02drwz4brwndn0rh0,R. Hamouda,,,5595962025,212,6.4,5595962023,141,79.7,5595962027,213,0.26,5596049885,15,,5595962021,140,31.6,5595962019,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790929349,16,61,1,1,17,b1rpb2ox52uxcmjrsnqd95pk5,0,67.8,16.2,2025-03-22T20:08:26.253Z,2025-03-22T21:06:27Z,3ldhrzekr0tztaxr3sc8mmg2x,B. Morris,,,5595962127,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790929373,17,43,1,1,17,c9xffml4i7ihblp1qhus9w3fu,1,0.0,0.0,2025-03-22T20:08:26.254Z,2025-03-22T20:09:19Z,e6uww9a9ssp0n20ksoolesa8l,E. Martínez,,,5595962237,56,Back,5595964195,144,7,5595962239,285,0,5595962235,167,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790929399,18,43,1,1,17,b1rpb2ox52uxcmjrsnqd95pk5,1,0.0,0.0,2025-03-22T20:08:26.661Z,2025-03-22T20:08:43Z,3ldhrzekr0tztaxr3sc8mmg2x,B. Morris,,,5595962405,56,Right,5595962933,144,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790929397,18,43,1,1,18,c9xffml4i7ihblp1qhus9w3fu,1,0.0,0.0,2025-03-22T20:08:27.774Z,2025-03-22T20:09:20Z,e6uww9a9ssp0n20ksoolesa8l,E. Martínez,,,5595962403,347,0,5595964225,144,5,5595962401,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790929393,17,43,1,1,19,b1rpb2ox52uxcmjrsnqd95pk5,1,0.0,0.0,2025-03-22T20:08:28.440Z,2025-03-22T20:08:47Z,3ldhrzekr0tztaxr3sc8mmg2x,B. Morris,,,5595963007,233,18,5595963125,144,5,5595962385,56,Right,5595962387,347,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790929475,19,4,1,1,31,c9xffml4i7ihblp1qhus9w3fu,1,28.9,88.5,2025-03-22T20:08:39.967Z,2025-03-22T20:25:15Z,e6uww9a9ssp0n20ksoolesa8l,E. Martínez,,,5595962861,152,,5595962897,233,19,5595962865,285,,5595962857,13,,5595962863,265,,5595962859,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790929471,19,4,1,1,31,b1rpb2ox52uxcmjrsnqd95pk5,0,71.1,11.5,2025-03-22T20:08:39.968Z,2025-03-22T20:25:16Z,3ldhrzekr0tztaxr3sc8mmg2x,B. Morris,,,5595962845,13,,5595962849,152,,5595962851,265,,5595962903,233,19,5595962847,56,Right,5595962853,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790929613,20,1,1,1,48,c9xffml4i7ihblp1qhus9w3fu,0,27.3,84.8,2025-03-22T20:08:57.662Z,2025-03-22T21:06:40Z,dlcxvrsqhiz8ce0nqnh6h6dw5,M. Van Oekel,,,5595963649,213,6.16,5595963645,141,77.0,5595963651,1,,5595963647,212,44.7,5595963643,140,69.6,5595963641,56,Center,5595963637,157,,5595963635,5,,5595963639,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790929625,20,12,1,1,54,b1rpb2ox52uxcmjrsnqd95pk5,1,25.0,26.4,2025-03-22T20:09:03.415Z,2025-03-22T20:09:06Z,9jc85hbpruze4v8u1pjzsjt62,M. Bryant,,,5595963723,56,Back,5595963727,141,40.9,5595963731,213,1.06,5595963725,140,30.3,5595963729,212,11.3,5595963741,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790929669,22,1,1,1,57,b1rpb2ox52uxcmjrsnqd95pk5,0,30.3,40.9,2025-03-22T20:09:06.527Z,2025-03-22T20:09:07Z,8d6e9axgsli468lnomdbcgu6t,D. Smith,,,5595963901,212,8.2,5595963899,141,29.1,5595963895,56,Back,5595963903,213,4.92,5595963897,140,31.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790929673,21,1,1,1,58,c9xffml4i7ihblp1qhus9w3fu,0,82.6,82.7,2025-03-22T20:09:06.998Z,2025-03-22T20:30:22Z,ece6sffb02drwz4brwndn0rh0,R. Hamouda,,,5595963917,141,75.6,5595963913,56,Center,5595963921,213,4.58,5595963919,212,4.9,5595963915,140,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790929687,23,61,1,2,1,b1rpb2ox52uxcmjrsnqd95pk5,0,36.8,29.8,2025-03-22T20:09:10.543Z,2025-03-22T20:09:10Z,8d6e9axgsli468lnomdbcgu6t,D. Smith,,,5595964001,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790929691,22,1,1,2,1,c9xffml4i7ihblp1qhus9w3fu,0,69.7,75.4,2025-03-22T20:09:10.630Z,2025-03-25T09:00:50Z,ece6sffb02drwz4brwndn0rh0,R. Hamouda,,,5595964075,213,0.07,5595964069,140,100.0,5595964073,212,33.6,5595964067,56,Left,5595964071,141,78.9,5599718001,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790929697,23,5,1,2,3,c9xffml4i7ihblp1qhus9w3fu,0,101.4,76.4,2025-03-22T20:09:12.057Z,2025-03-22T20:59:15Z,ece6sffb02drwz4brwndn0rh0,R. Hamouda,,,5595964095,346,,5595964233,233,24,5595964093,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790929715,24,5,1,2,3,b1rpb2ox52uxcmjrsnqd95pk5,1,-1.4,23.6,2025-03-22T20:09:12.057Z,2025-03-22T20:59:14Z,8d6e9axgsli468lnomdbcgu6t,D. Smith,,,5595964221,56,Back,5595964229,233,23,5595964223,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790929727,25,1,1,2,11,b1rpb2ox52uxcmjrsnqd95pk5,1,3.9,44.2,2025-03-22T20:09:20.472Z,2025-03-22T20:09:24Z,8q0b0qnmebzt9v4he9o3k7rbo,C. Saldaña,,,5595964303,140,12.4,5595964307,212,20.0,5595964305,141,70.5,5595964309,213,1.11,5595964299,124,,5595964313,237,,5595964301,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790929733,26,1,1,2,15,b1rpb2ox52uxcmjrsnqd95pk5,1,29.2,75.9,2025-03-22T20:09:24.695Z,2025-03-22T20:09:26Z,b3ktzeb8cz6vl5snbrtnpzw4q,S. Wiedt,,,5595964341,56,Back,5595964349,213,1.05,5595964345,141,90.2,5595964347,212,11.2,5595964343,140,34.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790929735,27,1,1,2,17,b1rpb2ox52uxcmjrsnqd95pk5,1,36.9,90.3,2025-03-22T20:09:26.632Z,2025-03-22T20:09:28Z,62d3tsany7t5t2bwm4cx9pbai,A. Villanueva,,,5595964371,212,8.2,5595964369,141,79.3,5595964365,56,Back,5595964367,140,40.1,5595964373,213,5.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790929753,28,43,1,2,19,b1rpb2ox52uxcmjrsnqd95pk5,1,0.0,0.0,2025-03-22T20:09:28.151Z,2025-03-22T20:09:39Z,8d6e9axgsli468lnomdbcgu6t,D. Smith,,,5595964481,213,2.61,5595964471,56,Back,5595964479,212,5.2,5595964475,140,35.2,5595964713,144,1,5595964477,141,83.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790929755,29,4,1,2,21,b1rpb2ox52uxcmjrsnqd95pk5,1,33.6,79.2,2025-03-22T20:09:30.030Z,2025-03-22T20:09:38Z,8d6e9axgsli468lnomdbcgu6t,D. Smith,,,5595964531,233,24,5595964519,265,,5595964515,56,Back,5595964517,152,,5595964513,13,,5595964611,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
