id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/10/value,qualifier/14/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId
2816223863,7,1,1,0,15,7neuneh44n9rtsfsh6r0sb9no,0,56.1,8.6,2025-05-18T02:10:45.092Z,2025-05-18T02:11:50Z,5u1uufcs8jlvvkzodpi5ykovd,J. Timmer,,,5735318819,141,39.5,5735318821,212,52.5,5735318823,213,0.41,5735318825,1,,5735318815,56,Center,5735318817,140,100.0,5735318813,155,,5735318811,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816224487,5,5,1,0,18,7c9knuwazz9k9449u5rnuuy5m,1,-0.7,60.7,2025-05-18T02:10:47.205Z,2025-05-18T03:04:45Z,3u22kckqpecmgcw7ee3xrdppm,M. Howell,,,5735321985,233,8,5735321951,56,Back,5735321953,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816223871,8,5,1,0,18,7neuneh44n9rtsfsh6r0sb9no,0,100.7,39.3,2025-05-18T02:10:47.205Z,2025-05-18T03:04:45Z,5u1uufcs8jlvvkzodpi5ykovd,J. Timmer,,,5735318835,56,Center,5735321993,233,5,5735318837,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816224533,6,1,1,1,34,7c9knuwazz9k9449u5rnuuy5m,1,4.6,51.0,2025-05-18T02:12:04.075Z,2025-05-18T02:12:09Z,470xuwiwevwy86l2ararrkyga,R. Arozarena,,,5735322161,212,35.3,5735322163,213,0.83,5735322165,1,,5735322159,141,89.4,5735322153,124,,5735322157,140,27.2,5735322155,56,Back,5735322169,237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816224561,7,1,1,1,39,7c9knuwazz9k9449u5rnuuy5m,1,31.0,90.3,2025-05-18T02:12:08.779Z,2025-05-18T02:12:12Z,e6gr1t1rp2x7waywgzlrj8yqx,V. Noël,,,5735322297,213,4.72,5735322289,56,Back,5735322293,141,65.8,5735322291,140,31.1,5735322295,212,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816224565,8,43,1,1,42,7c9knuwazz9k9449u5rnuuy5m,1,0.0,0.0,2025-05-18T02:12:11.995Z,2025-05-18T02:12:18Z,3u22kckqpecmgcw7ee3xrdppm,M. Howell,,,5735322333,56,Back,5735322759,144,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816224595,9,4,1,1,45,7c9knuwazz9k9449u5rnuuy5m,1,31.0,61.2,2025-05-18T02:12:14.587Z,2025-05-18T03:04:26Z,3u22kckqpecmgcw7ee3xrdppm,M. Howell,,,5735322559,285,,5735322553,56,Back,5735322551,13,,5735322557,265,,5735322555,152,,5735322671,233,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816224613,9,4,1,1,45,7neuneh44n9rtsfsh6r0sb9no,0,69.0,38.8,2025-05-18T02:12:14.588Z,2025-05-18T03:04:26Z,8qjls72u1tvwuxas420p8ed5g,B. Willey,,,5735322635,265,,5735322627,13,,5735322639,286,,5735322683,233,9,5735322631,152,,5735322629,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816224941,10,27,1,2,15,7neuneh44n9rtsfsh6r0sb9no,1,0.0,0.0,2025-05-18T02:12:44.357Z,2025-05-18T02:12:49Z,,,,,5735324455,233,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816224981,10,27,1,2,15,7c9knuwazz9k9449u5rnuuy5m,1,0.0,0.0,2025-05-18T02:12:44.357Z,2025-05-18T02:12:50Z,,,,,5735324489,233,10,5735324429,53,3u22kckqpecmgcw7ee3xrdppm,5735324427,41,Injury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816225335,11,28,1,3,0,7neuneh44n9rtsfsh6r0sb9no,1,0.0,0.0,2025-05-18T02:13:29.469Z,2025-05-18T03:04:56Z,,,,,5735326411,55,10,5735447533,233,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816225283,11,28,1,3,0,7c9knuwazz9k9449u5rnuuy5m,1,0.0,0.0,2025-05-18T02:13:29.469Z,2025-05-18T03:04:57Z,,,,,5735447541,233,11,5735326189,55,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816225511,12,1,1,3,25,7c9knuwazz9k9449u5rnuuy5m,1,36.4,69.6,2025-05-18T02:13:54.252Z,2025-05-18T02:13:57Z,20z2nx7xh9mgty7qp6xur14yy,G. Nigro,,,5735327407,140,29.4,5735327403,56,Back,5735327415,213,4.05,5735327413,212,11.9,5735327399,152,,5735327411,141,55.8,5735327397,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816225559,13,2,1,3,28,7c9knuwazz9k9449u5rnuuy5m,1,29.5,57.8,2025-05-18T02:13:57.196Z,2025-05-18T02:14:04Z,8i5k1tx7x5hx4kk3qzyvrfj84,E. Gärtig,,,5735327727,56,Right,5735327723,7,2jxho5va9q638vkklji2n8cx6,5735327677,141,9.2,5735327675,140,70.7,5735327725,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816225549,12,55,1,3,28,7neuneh44n9rtsfsh6r0sb9no,1,29.4,61.1,2025-05-18T02:13:57.197Z,2025-05-18T03:04:35Z,7y9k549gjh2183ylplvwg2q5l,M. Benítez,,,5735332617,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816225599,13,1,1,3,40,7neuneh44n9rtsfsh6r0sb9no,1,35.2,83.9,2025-05-18T02:14:09.284Z,2025-05-18T02:14:11Z,bgxiot2ugkc6t5jchxewen4k5,L. Desmond,,,5735327949,141,66.6,5735327951,212,24.4,5735327953,213,3.64,5735327945,56,Back,5735327947,140,14.8,5735327941,5,,5735327943,241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816225613,14,1,1,3,42,7neuneh44n9rtsfsh6r0sb9no,1,14.8,66.4,2025-05-18T02:14:11.531Z,2025-05-18T02:14:15Z,b7hyxpaqt3ymfbuah1yop5rai,F. Kleemann,,,5735328063,141,28.9,5735328067,213,5.18,5735328061,140,27.0,5735328059,56,Back,5735328065,212,28.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816225637,15,1,1,3,46,7neuneh44n9rtsfsh6r0sb9no,1,27.4,28.2,2025-05-18T02:14:15.347Z,2025-05-18T02:14:18Z,5u1uufcs8jlvvkzodpi5ykovd,J. Timmer,,,5735328169,212,12.0,5735328171,213,5.41,5735328167,141,14.7,5735328163,56,Back,5735328165,140,34.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816225655,16,1,1,3,48,7neuneh44n9rtsfsh6r0sb9no,1,34.8,14.7,2025-05-18T02:14:18.019Z,2025-05-18T02:14:20Z,ea8jgqvyafx5wvgd5d70mgx9m,J. Gurr,,,5735328281,212,4.2,5735328283,213,2.34,5735328279,141,19.2,5735328275,56,Back,5735328277,140,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816225669,17,1,1,3,50,7neuneh44n9rtsfsh6r0sb9no,1,30.6,17.9,2025-05-18T02:14:19.939Z,2025-05-18T02:14:22Z,579n2n7oiogy83epzcfrxtd5h,N. Ross,,,5735328347,140,26.4,5735328345,56,Back,5735328353,213,3.54,5735328351,212,4.8,5735328349,141,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816225691,18,1,1,3,53,7neuneh44n9rtsfsh6r0sb9no,1,22.2,13.5,2025-05-18T02:14:22.387Z,2025-05-18T02:16:19Z,5u1uufcs8jlvvkzodpi5ykovd,J. Timmer,,,5735328475,140,70.9,5735333655,155,,5735328483,1,,5735328481,213,0.23,5735328477,141,31.2,5735328473,56,Center,5735328479,212,52.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816225697,19,4,1,3,56,7neuneh44n9rtsfsh6r0sb9no,1,66.2,25.4,2025-05-18T02:14:26.075Z,2025-05-18T03:04:27Z,23vdzclmewq139wius9oy3m51,S. Herrera,,,5735328549,56,Center,5735328551,152,,5735328553,286,,5735328545,13,,5735328547,295,,5735328621,233,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816225707,14,4,1,3,56,7c9knuwazz9k9449u5rnuuy5m,0,33.8,74.6,2025-05-18T02:14:26.076Z,2025-05-18T03:04:27Z,8i5k1tx7x5hx4kk3qzyvrfj84,E. Gärtig,,,5735328819,295,,5735328597,285,,5735328591,56,Back,5735328593,152,,5735328589,13,,5735328633,233,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816225717,20,1,1,4,0,7neuneh44n9rtsfsh6r0sb9no,1,56.4,25.5,2025-05-18T02:14:29.147Z,2025-05-18T02:14:31Z,23vdzclmewq139wius9oy3m51,S. Herrera,,,5735328657,5,,5735328669,213,6.04,5735328667,212,8.9,5735328661,56,Center,5735328663,140,64.6,5735328659,152,,5735328665,141,22.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816225729,21,1,1,4,2,7neuneh44n9rtsfsh6r0sb9no,1,68.7,19.8,2025-05-18T02:14:31.259Z,2025-05-18T02:14:33Z,do8svqsgqomasmzdwwsgg7qlm,C. Parano,,,5735328785,212,22.1,5735328779,56,Back,5735328787,213,3.12,5735328783,141,20.4,5735328781,140,47.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816225739,22,1,1,4,4,7neuneh44n9rtsfsh6r0sb9no,1,46.7,12.6,2025-05-18T02:14:33.211Z,2025-05-18T02:14:35Z,5u1uufcs8jlvvkzodpi5ykovd,J. Timmer,,,5735328847,212,22.3,5735328843,141,36.1,5735328839,140,31.9,5735328849,213,2.34,5735328837,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816225765,23,1,1,4,7,7neuneh44n9rtsfsh6r0sb9no,1,34.1,40.0,2025-05-18T02:14:36.578Z,2025-05-18T02:14:39Z,b7hyxpaqt3ymfbuah1yop5rai,F. Kleemann,,,5735328981,140,36.7,5735328987,213,1.46,5735328983,141,77.0,5735328979,56,Back,5735328985,212,25.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816225785,24,1,1,4,10,7neuneh44n9rtsfsh6r0sb9no,1,36.9,76.7,2025-05-18T02:14:39.291Z,2025-05-18T02:14:42Z,bgxiot2ugkc6t5jchxewen4k5,L. Desmond,,,5735329149,140,82.2,5735329155,213,0.10,5735329153,212,47.8,5735329157,1,,5735329151,141,83.8,5735329145,155,,5735329147,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816225789,25,61,1,4,13,7neuneh44n9rtsfsh6r0sb9no,0,79.4,83.5,2025-05-18T02:14:42.619Z,2025-05-18T02:14:43Z,2p1887g4xd36ac2trpyf42wru,L. Jamieson,,,5735329175,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816225917,15,12,1,4,14,7c9knuwazz9k9449u5rnuuy5m,1,21.7,15.0,2025-05-18T02:14:43.845Z,2025-05-18T02:15:01Z,a1v4h4gcsepnaknru3jjnwl5g,J. Singer,,,5735329875,56,Back,5735329881,212,17.9,5735329883,213,5.81,5735329879,141,3.1,5735329877,140,36.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816225827,26,1,1,4,17,7neuneh44n9rtsfsh6r0sb9no,1,70.6,91.4,2025-05-18T02:14:46.931Z,2025-05-18T02:14:48Z,7y9k549gjh2183ylplvwg2q5l,M. Benítez,,,5735329403,56,Back,5735329407,141,80.2,5735329411,213,3.44,5735329405,140,46.6,5735329409,212,26.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816225845,27,1,1,4,19,7neuneh44n9rtsfsh6r0sb9no,1,43.1,80.2,2025-05-18T02:14:48.443Z,2025-05-18T02:14:50Z,bgxiot2ugkc6t5jchxewen4k5,L. Desmond,,,5735329505,213,3.88,5735329503,212,23.9,5735329501,141,56.4,5735329499,140,26.3,5735329497,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816225871,28,1,1,4,21,7neuneh44n9rtsfsh6r0sb9no,1,29.4,64.3,2025-05-18T02:14:50.539Z,2025-05-18T02:14:54Z,b7hyxpaqt3ymfbuah1yop5rai,F. Kleemann,,,5735329657,212,18.9,5735329653,140,30.8,5735329651,56,Back,5735329659,213,4.79,5735329655,141,36.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816225883,29,1,1,4,25,7neuneh44n9rtsfsh6r0sb9no,1,38.6,27.1,2025-05-18T02:14:54.171Z,2025-05-18T02:14:56Z,5u1uufcs8jlvvkzodpi5ykovd,J. Timmer,,,5735329705,140,68.8,5735329713,1,,5735329711,213,6.11,5735329707,141,18.8,5735329703,56,Right,5735329709,212,32.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816225915,30,1,1,4,27,7neuneh44n9rtsfsh6r0sb9no,1,62.0,21.5,2025-05-18T02:14:56.523Z,2025-05-18T02:15:01Z,do8svqsgqomasmzdwwsgg7qlm,C. Parano,,,5735329871,213,3.07,5735329869,212,20.2,5735329865,140,42.8,5735329863,56,Back,5735329867,141,23.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816225925,31,4,1,4,31,7neuneh44n9rtsfsh6r0sb9no,1,43.6,17.6,2025-05-18T02:15:00.971Z,2025-05-18T03:04:27Z,579n2n7oiogy83epzcfrxtd5h,N. Ross,,,5735329921,286,,5735329943,233,16,5735329919,265,,5735329913,13,,5735329917,152,,5735329915,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816225929,16,4,1,4,31,7c9knuwazz9k9449u5rnuuy5m,0,56.4,82.4,2025-05-18T02:15:00.972Z,2025-05-18T03:04:28Z,65jctzcct9irz3wre08c2v2wa,E. Azcona,,,5735329953,233,31,5735329923,13,,5735329927,152,,5735329931,285,,5735329929,265,,5735329925,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816226039,32,1,1,4,43,7neuneh44n9rtsfsh6r0sb9no,1,41.0,24.3,2025-05-18T02:15:12.523Z,2025-05-18T02:15:15Z,579n2n7oiogy83epzcfrxtd5h,N. Ross,,,5735330529,140,33.7,5735330517,5,,5735330537,212,10.5,5735330533,141,13.7,5735330525,56,Back,5735330521,152,,5735330541,213,3.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816226079,33,1,1,4,46,7neuneh44n9rtsfsh6r0sb9no,1,36.6,15.2,2025-05-18T02:15:15.659Z,2025-05-18T02:15:18Z,5u1uufcs8jlvvkzodpi5ykovd,J. Timmer,,,5735330735,213,1.84,5735330727,56,Back,5735330733,212,21.7,5735330731,141,46.0,5735330729,140,31.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816226123,34,1,1,4,49,7neuneh44n9rtsfsh6r0sb9no,1,31.6,47.0,2025-05-18T02:15:18.643Z,2025-05-18T02:15:23Z,b7hyxpaqt3ymfbuah1yop5rai,F. Kleemann,,,5735331013,56,Back,5735331017,141,74.8,5735331015,140,43.4,5735331019,212,22.6,5735331021,213,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816226137,35,1,1,4,54,7neuneh44n9rtsfsh6r0sb9no,1,54.5,82.4,2025-05-18T02:15:23.571Z,2025-05-18T02:15:25Z,bgxiot2ugkc6t5jchxewen4k5,L. Desmond,,,5735331079,56,Center,5735331083,141,67.2,5735331081,140,76.3,5735331087,213,5.86,5735331085,212,25.1,5735331077,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816226149,36,1,1,4,56,7neuneh44n9rtsfsh6r0sb9no,1,77.6,67.2,2025-05-18T02:15:25.354Z,2025-05-18T02:15:38Z,23vdzclmewq139wius9oy3m51,S. Herrera,1.0,,5735331151,213,3.26,5735331181,156,,5735331149,212,9.0,5735331745,210,15,5735331143,56,Center,5735331147,141,65.7,5735331145,140,69.1,5735331747,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816226185,37,15,1,4,58,7neuneh44n9rtsfsh6r0sb9no,1,90.3,59.9,2025-05-18T02:15:28.098Z,2025-05-18T04:13:04Z,7y9k549gjh2183ylplvwg2q5l,M. Benítez,,,5735331771,102,50.6,5735331781,146,94.2,5735331761,78,,5735331785,230,98.4,5735331323,22,,5735331775,214,,5735331787,231,51.4,5735331765,154,,5735331767,55,36,5735331773,103,19,5735331325,17,5735331327,56,Center,5735331801,233,17,5735331783,147,56.1,5735331459,82,5735331455,72,5735331763,29,,,,,,,,
2816226203,17,10,1,4,59,7c9knuwazz9k9449u5rnuuy5m,1,5.1,44.8,2025-05-18T02:15:28.198Z,2025-05-18T04:12:56Z,3u22kckqpecmgcw7ee3xrdppm,M. Howell,,,5735331431,94,,5735331433,56,Back,5735331819,233,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816226355,19,27,1,5,16,7c9knuwazz9k9449u5rnuuy5m,1,0.0,0.0,2025-05-18T02:15:46.046Z,2025-05-18T02:15:50Z,,,,,5735332351,53,3u22kckqpecmgcw7ee3xrdppm,5735332409,233,38,5735332349,41,Injury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816226347,38,27,1,5,16,7neuneh44n9rtsfsh6r0sb9no,1,0.0,0.0,2025-05-18T02:15:46.046Z,2025-05-18T02:15:50Z,,,,,5735332361,233,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816226605,20,28,1,5,51,7c9knuwazz9k9449u5rnuuy5m,1,0.0,0.0,2025-05-18T02:16:20.223Z,2025-05-18T02:16:23Z,,,,,5735333809,55,19,5735333963,233,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816226627,39,28,1,5,51,7neuneh44n9rtsfsh6r0sb9no,1,0.0,0.0,2025-05-18T02:16:20.223Z,2025-05-18T02:16:22Z,,,,,5735333909,55,38,5735333945,233,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
