id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/10/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2785794525,7,1,1,0,14,83cpn99fh7ulkwe8nezy8a3mx,0,10.1,9.2,2025-03-09T00:37:05.290Z,2025-03-09T00:37:09Z,9gvsswyf0gzxekrjdkpuqrh0p,S. Totsch,,,5567789973,157,,5567789979,141,0.0,5567789987,1,,5567789981,212,41.1,5567789983,213,6.11,5567789977,140,48.6,5567789975,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785794585,7,5,1,0,16,e3k8yw2rbmphyfu5htn4yi5jk,1,53.0,101.6,2025-03-09T00:37:07.674Z,2025-03-09T02:55:03Z,5tyrfuxsp7s9thsmhfqevuoyx,A. Molloy,,,5567790251,233,8,5567790243,347,,5567790241,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785794531,8,5,1,0,16,83cpn99fh7ulkwe8nezy8a3mx,0,47.0,-1.6,2025-03-09T00:37:07.674Z,2025-03-09T02:55:03Z,9gvsswyf0gzxekrjdkpuqrh0p,S. Totsch,,,5567790315,233,7,5567790019,56,Back,5567790021,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785794613,8,1,1,0,25,e3k8yw2rbmphyfu5htn4yi5jk,1,52.6,100.0,2025-03-09T00:37:16.211Z,2025-03-09T00:37:18Z,14oq6mvlh5e51d9y20nbpok4p,C. Allan,,,5567790397,56,Center,5567790399,140,60.0,5567790401,141,71.7,5567790407,1,,5567790403,212,22.0,5567790393,107,,5567790405,213,5.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785794655,9,1,1,0,27,e3k8yw2rbmphyfu5htn4yi5jk,1,60.0,71.7,2025-03-09T00:37:18.778Z,2025-03-09T00:37:24Z,ecjt2cd0xn1qyeyboapqwxbvu,E. Ycaza,,,5567790645,56,Center,5567790653,213,4.37,5567790647,140,50.3,5567790651,212,30.5,5567790649,141,29.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785794661,10,1,1,0,33,e3k8yw2rbmphyfu5htn4yi5jk,1,50.9,29.4,2025-03-09T00:37:24.419Z,2025-03-09T00:37:25Z,6692w96w6qmvgcpo02dehq4iy,L. Blackstock,,,5567790675,140,55.2,5567790677,141,22.7,5567790681,213,5.49,5567790679,212,6.4,5567790673,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785794677,11,1,1,0,34,e3k8yw2rbmphyfu5htn4yi5jk,1,55.2,22.7,2025-03-09T00:37:25.747Z,2025-03-09T00:37:28Z,dmbqkvvaray373vy9eiq4l1ck,J. Torres,,,5567790741,140,46.0,5567790747,212,15.8,5567790737,56,Back,5567790749,213,2.23,5567790745,141,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785794703,12,1,1,0,37,e3k8yw2rbmphyfu5htn4yi5jk,1,45.9,39.7,2025-03-09T00:37:27.994Z,2025-03-09T00:37:32Z,94zkjopy373mgso15ljxmhd04,N. Houssou,,,5567790853,140,54.9,5567790859,213,5.30,5567790851,56,Right,5567790855,141,18.8,5567790857,212,17.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785794741,13,1,1,0,40,e3k8yw2rbmphyfu5htn4yi5jk,1,55.8,8.6,2025-03-09T00:37:31.818Z,2025-03-09T00:37:35Z,dmbqkvvaray373vy9eiq4l1ck,J. Torres,,,5567791043,56,Back,5567791045,140,44.9,5567791051,213,2.02,5567791049,212,26.3,5567791047,141,43.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785794759,14,1,1,0,44,e3k8yw2rbmphyfu5htn4yi5jk,1,39.8,43.4,2025-03-09T00:37:35.059Z,2025-03-09T00:37:38Z,5tyrfuxsp7s9thsmhfqevuoyx,A. Molloy,,,5567791113,212,31.3,5567791109,140,20.2,5567791107,56,Back,5567791111,141,78.1,5567791115,213,2.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785794781,15,1,1,0,47,e3k8yw2rbmphyfu5htn4yi5jk,1,20.8,79.1,2025-03-09T00:37:37.963Z,2025-03-09T00:37:40Z,98l6i78kwuwnt2sbcucssgjfu,G. Smith,,,5567791207,56,Back,5567791215,141,94.2,5567791211,140,23.0,5567791221,212,10.5,5567791225,213,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785794809,16,1,1,0,49,e3k8yw2rbmphyfu5htn4yi5jk,1,22.9,94.4,2025-03-09T00:37:39.923Z,2025-03-09T00:37:43Z,14oq6mvlh5e51d9y20nbpok4p,C. Allan,,,5567791379,140,30.6,5567791385,213,5.19,5567791381,141,71.7,5567791377,56,Back,5567791383,212,17.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785794815,17,1,1,0,52,e3k8yw2rbmphyfu5htn4yi5jk,1,33.8,73.8,2025-03-09T00:37:43.628Z,2025-03-09T00:38:07Z,5jigl7kp5d2i5ws1602jm7n1m,J. Klein,,,5567791405,56,Back,5567791411,212,12.3,5567791413,213,0.79,5567791409,141,86.7,5567791407,140,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785794823,18,43,1,0,52,e3k8yw2rbmphyfu5htn4yi5jk,1,0.0,0.0,2025-03-09T00:37:43.634Z,2025-03-09T00:38:00Z,5jigl7kp5d2i5ws1602jm7n1m,J. Klein,,,5567791487,56,Back,5567791491,285,0,5567792255,144,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785794851,19,1,1,0,54,e3k8yw2rbmphyfu5htn4yi5jk,1,35.3,85.7,2025-03-09T00:37:44.881Z,2025-03-09T00:37:46Z,14oq6mvlh5e51d9y20nbpok4p,C. Allan,,,5567791595,212,16.0,5567791593,141,85.9,5567791591,140,20.1,5567791597,213,3.13,5567791589,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785794855,20,1,1,0,55,e3k8yw2rbmphyfu5htn4yi5jk,1,20.1,85.9,2025-03-09T00:37:46.443Z,2025-03-09T00:37:47Z,5jigl7kp5d2i5ws1602jm7n1m,J. Klein,,,5567791647,213,5.82,5567791639,56,Back,5567791641,140,33.3,5567791643,141,75.7,5567791645,212,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785794881,21,1,1,0,56,e3k8yw2rbmphyfu5htn4yi5jk,1,33.3,75.7,2025-03-09T00:37:47.145Z,2025-03-09T00:37:50Z,14oq6mvlh5e51d9y20nbpok4p,C. Allan,,,5567791835,141,83.6,5567791833,140,13.2,5567791837,212,21.8,5567791831,56,Back,5567791839,213,2.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785794935,22,1,1,0,59,e3k8yw2rbmphyfu5htn4yi5jk,0,13.3,83.5,2025-03-09T00:37:50.746Z,2025-03-09T00:37:57Z,98l6i78kwuwnt2sbcucssgjfu,G. Smith,,,5567792119,141,100.0,5567792121,212,74.8,5567792117,140,83.5,5567792113,155,,5567792125,1,,5567792123,213,0.17,5567792115,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785795055,9,5,1,1,6,83cpn99fh7ulkwe8nezy8a3mx,1,19.4,-1.5,2025-03-09T00:37:57.159Z,2025-03-09T02:55:03Z,aomjkj5s52jkzgk3ljsz0osiy,E. Perez,,,5567792773,233,23,5567792721,347,,5567792719,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785794939,23,5,1,1,6,e3k8yw2rbmphyfu5htn4yi5jk,0,80.6,101.5,2025-03-09T00:37:57.159Z,2025-03-09T02:55:04Z,98l6i78kwuwnt2sbcucssgjfu,G. Smith,,,5567792137,56,Left,5567792797,233,9,5567792139,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785795091,10,1,1,1,22,83cpn99fh7ulkwe8nezy8a3mx,0,24.5,0.0,2025-03-09T00:38:13.632Z,2025-03-09T00:38:19Z,aomjkj5s52jkzgk3ljsz0osiy,E. Perez,,,5567792913,56,Back,5567792923,1,,5567792915,140,42.2,5567792919,212,22.9,5567792921,213,0.62,5567792917,141,18.0,5567792911,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785795109,11,44,1,1,25,83cpn99fh7ulkwe8nezy8a3mx,1,45.2,18.2,2025-03-09T00:38:15.880Z,2025-03-09T03:12:37Z,35bpd9cmuep6cqczngaqpc19m,P. Goodrum,,,5567792999,56,Back,5567793001,285,,5567793083,233,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785795077,24,44,1,1,25,e3k8yw2rbmphyfu5htn4yi5jk,0,54.8,81.8,2025-03-09T00:38:15.881Z,2025-03-09T03:12:38Z,94zkjopy373mgso15ljxmhd04,N. Houssou,,,5567793047,286,,5567792833,56,Left,5567793043,233,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785799415,53,1,1,1,25,83cpn99fh7ulkwe8nezy8a3mx,0,50.5,17.9,2025-03-09T00:38:16.726Z,2025-03-09T01:27:08Z,35bpd9cmuep6cqczngaqpc19m,P. Goodrum,,,5567815077,168,,5567815089,141,15.9,5567815081,56,Right,5567815093,212,3.6,5567815085,140,53.7,5567815095,213,5.90,5567815073,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785795111,25,61,1,1,27,e3k8yw2rbmphyfu5htn4yi5jk,1,49.7,81.7,2025-03-09T00:38:18.443Z,2025-03-09T00:45:28Z,94zkjopy373mgso15ljxmhd04,N. Houssou,,,5567793007,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785795199,12,5,1,1,28,83cpn99fh7ulkwe8nezy8a3mx,1,40.2,-1.0,2025-03-09T00:38:19.739Z,2025-03-09T02:55:04Z,35bpd9cmuep6cqczngaqpc19m,P. Goodrum,,,5567793515,233,26,5567793477,56,Back,5567793481,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785795117,26,5,1,1,28,e3k8yw2rbmphyfu5htn4yi5jk,0,59.8,101.0,2025-03-09T00:38:19.739Z,2025-03-09T02:55:04Z,94zkjopy373mgso15ljxmhd04,N. Houssou,,,5567793037,347,,5567793035,56,Left,5567793521,233,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785795223,13,1,1,1,38,83cpn99fh7ulkwe8nezy8a3mx,0,35.6,0.0,2025-03-09T00:38:29.176Z,2025-03-09T00:38:31Z,aomjkj5s52jkzgk3ljsz0osiy,E. Perez,,,5567793637,141,9.5,5567793631,107,,5567793641,213,0.30,5567793639,212,26.0,5567793635,140,59.3,5567793643,1,,5567793633,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785795241,27,61,1,1,42,e3k8yw2rbmphyfu5htn4yi5jk,1,35.3,91.8,2025-03-09T00:38:33.331Z,2025-03-09T00:38:33Z,98l6i78kwuwnt2sbcucssgjfu,G. Smith,,,5567793761,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785795295,29,1,1,1,44,e3k8yw2rbmphyfu5htn4yi5jk,1,17.4,83.9,2025-03-09T00:38:35.603Z,2025-03-09T00:38:38Z,ani26vxlo22iw1u9oexptml05,L. Archer,,,5567793995,141,55.8,5567794005,213,4.28,5567793991,140,9.0,5567794001,212,21.0,5567793987,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785795337,30,1,1,1,47,e3k8yw2rbmphyfu5htn4yi5jk,0,10.8,40.7,2025-03-09T00:38:38.395Z,2025-03-09T00:38:41Z,ect3pxkbjycux4simxmzp9jze,L. Zamudio,,,5567794221,56,Back,5567794219,157,,5567794227,212,36.1,5567794229,213,6.20,5567794231,1,,5567794225,141,36.3,5567794223,140,45.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785795373,14,1,1,1,51,83cpn99fh7ulkwe8nezy8a3mx,0,48.5,79.4,2025-03-09T00:38:42.047Z,2025-03-09T00:38:44Z,42hi96pvzz8f69ixlcncn0549,K. Adams,,,5567794419,141,89.1,5567794421,212,25.5,5567794417,140,72.0,5567794411,3,,5567794423,213,0.26,5567794415,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785795369,31,8,1,1,53,e3k8yw2rbmphyfu5htn4yi5jk,1,36.1,28.0,2025-03-09T00:38:44.554Z,2025-03-09T00:38:44Z,94zkjopy373mgso15ljxmhd04,N. Houssou,,,5567794399,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785795417,33,1,1,1,56,e3k8yw2rbmphyfu5htn4yi5jk,1,26.7,11.4,2025-03-09T00:38:46.865Z,2025-03-09T00:38:49Z,94zkjopy373mgso15ljxmhd04,N. Houssou,,,5567794647,212,15.2,5567794641,56,Back,5567794649,213,0.02,5567794645,141,11.9,5567794643,140,41.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785795431,34,1,1,1,58,e3k8yw2rbmphyfu5htn4yi5jk,1,41.3,12.0,2025-03-09T00:38:48.921Z,2025-03-09T00:38:49Z,dmbqkvvaray373vy9eiq4l1ck,J. Torres,,,5567794707,56,Back,5567794715,213,2.67,5567794711,141,25.6,5567794713,212,20.3,5567794709,140,24.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785795449,35,1,1,1,58,e3k8yw2rbmphyfu5htn4yi5jk,1,24.1,25.6,2025-03-09T00:38:49.642Z,2025-03-09T00:38:50Z,6692w96w6qmvgcpo02dehq4iy,L. Blackstock,,,5567794795,212,17.0,5567794793,141,9.1,5567794797,213,5.56,5567794791,140,36.3,5567794789,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785795459,36,1,1,1,59,e3k8yw2rbmphyfu5htn4yi5jk,0,36.3,9.1,2025-03-09T00:38:50.706Z,2025-03-09T00:38:51Z,dmbqkvvaray373vy9eiq4l1ck,J. Torres,,,5567794823,212,19.0,5567794817,56,Back,5567794825,213,2.28,5567794821,141,30.3,5567794819,140,24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785795491,37,83,1,2,3,e3k8yw2rbmphyfu5htn4yi5jk,0,26.9,34.9,2025-03-09T00:38:54.146Z,2025-03-09T00:38:57Z,5tyrfuxsp7s9thsmhfqevuoyx,A. Molloy,,,5567795167,399,3hb6yji6u8ftefif91lfrbtre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785795531,16,1,1,2,5,83cpn99fh7ulkwe8nezy8a3mx,1,77.6,79.6,2025-03-09T00:38:56.075Z,2025-03-09T00:38:58Z,3hb6yji6u8ftefif91lfrbtre,J. Wilson,,,5567795205,212,7.5,5567795203,141,90.6,5567795207,213,1.51,5567795201,140,78.0,5567795199,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785795537,17,1,1,2,7,83cpn99fh7ulkwe8nezy8a3mx,0,79.6,90.0,2025-03-09T00:38:57.952Z,2025-03-09T00:56:01Z,7f1q3d59u9n16v9xrskfxqsq1,A. Dia,,,5567795235,212,19.8,5567795231,140,88.4,5567795225,2,,5567795237,213,5.20,5567795233,141,64.3,5567795229,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785795567,38,12,1,2,8,e3k8yw2rbmphyfu5htn4yi5jk,1,7.9,31.3,2025-03-09T00:38:59.044Z,2025-03-09T00:39:01Z,ani26vxlo22iw1u9oexptml05,L. Archer,,,5567795387,212,25.2,5567795381,56,Back,5567795385,141,22.1,5567795389,213,6.03,5567795383,140,31.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785795579,40,1,1,2,11,e3k8yw2rbmphyfu5htn4yi5jk,0,30.2,22.5,2025-03-09T00:39:01.922Z,2025-03-09T00:39:06Z,94zkjopy373mgso15ljxmhd04,N. Houssou,,,5567795763,286,,5567795465,213,1.19,5567795747,236,,5567795457,141,31.3,5567795451,56,Back,5567795755,233,18,5567795461,212,6.5,5567795455,140,32.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785795627,18,74,1,2,11,83cpn99fh7ulkwe8nezy8a3mx,1,71.2,75.0,2025-03-09T00:39:01.923Z,2025-03-09T02:44:15Z,d2ny0huv78m4m6p65y8eou7oq,T. Davila,,,5567795713,285,,5567795779,233,40,5567795711,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785795651,41,1,1,2,15,e3k8yw2rbmphyfu5htn4yi5jk,1,24.3,20.0,2025-03-09T00:39:06.715Z,2025-03-09T00:39:07Z,6692w96w6qmvgcpo02dehq4iy,L. Blackstock,,,5567795843,213,5.14,5567795835,56,Back,5567795841,212,8.6,5567795839,141,8.5,5567795837,140,27.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785795695,42,1,1,2,16,e3k8yw2rbmphyfu5htn4yi5jk,0,27.7,8.5,2025-03-09T00:39:07.740Z,2025-03-09T00:39:11Z,dmbqkvvaray373vy9eiq4l1ck,J. Torres,,,5567796047,140,44.8,5567796045,56,Back,5567796053,213,0.56,5567796049,141,24.9,5567796051,212,21.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785795691,19,43,1,2,20,83cpn99fh7ulkwe8nezy8a3mx,1,0.0,0.0,2025-03-09T00:39:10.871Z,2025-03-09T01:28:27Z,e2rv433ve4ytatjl94dcz1hm2,Arturo Ordóñez,,,5567796039,56,Left,5567968315,144,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785795697,43,1,1,2,20,e3k8yw2rbmphyfu5htn4yi5jk,1,44.8,24.9,2025-03-09T00:39:10.974Z,2025-03-09T00:39:13Z,dmbqkvvaray373vy9eiq4l1ck,J. Torres,,,5567796063,141,18.6,5567796059,56,Back,5567796065,212,23.6,5567796061,140,22.7,5567796067,213,3.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
