id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/9/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId
2805384367,9,1,1,0,21,bk3zg8yaj5uoqhxzwons3bo8a,1,30.0,42.5,2025-04-24T01:06:46.518Z,2025-04-24T01:06:53Z,9imj5ig0i01uljnd3gd2cz1m,T. Maples,,5675488591,141,70.6,5675488589,140,36.7,5675488595,213,1.22,5675488593,212,20.4,5675488587,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805384379,10,1,1,0,28,bk3zg8yaj5uoqhxzwons3bo8a,1,39.9,76.7,2025-04-24T01:06:53.422Z,2025-04-24T01:06:55Z,cvdn34vl3zje5uq54nvg77sut,K. Ryden,,5675488683,56,Left,5675488691,213,0.65,5675488685,140,51.4,5675488687,141,90.3,5675488689,212,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805384399,11,1,1,0,30,bk3zg8yaj5uoqhxzwons3bo8a,1,48.9,88.4,2025-04-24T01:06:55.585Z,2025-04-24T01:06:58Z,52rcg38mijjjusfwqxa2l7hex,J. Lindsey,,5675488811,141,81.2,5675488813,212,18.4,5675488801,56,Back,5675488807,140,32.0,5675488815,213,3.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805384407,12,1,1,0,34,bk3zg8yaj5uoqhxzwons3bo8a,1,32.0,81.5,2025-04-24T01:06:58.733Z,2025-04-24T01:07:00Z,cvdn34vl3zje5uq54nvg77sut,K. Ryden,,5675488865,140,40.6,5675488863,56,Back,5675488869,212,11.5,5675488871,213,5.62,5675488867,141,71.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805384429,13,1,1,0,35,bk3zg8yaj5uoqhxzwons3bo8a,1,40.8,70.9,2025-04-24T01:07:00.404Z,2025-04-24T01:07:02Z,4fbaxgikw7z9sfhuz6vvnfmxh,G. Zelalem,,5675488995,140,32.9,5675488993,56,Back,5675488999,212,12.6,5675488997,141,84.8,5675489001,213,2.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805384451,14,1,1,0,37,bk3zg8yaj5uoqhxzwons3bo8a,1,32.9,84.8,2025-04-24T01:07:02.166Z,2025-04-24T01:07:06Z,cvdn34vl3zje5uq54nvg77sut,K. Ryden,,5675489173,140,15.2,5675489177,212,25.8,5675489171,56,Back,5675489175,141,58.5,5675489179,213,3.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805384467,15,1,1,0,41,bk3zg8yaj5uoqhxzwons3bo8a,1,14.9,57.2,2025-04-24T01:07:05.807Z,2025-04-24T01:07:08Z,zczt4alpawz5522hff8x39p1,A. Tambakis,,5675489269,213,5.34,5675489263,140,24.0,5675489267,212,16.2,5675489261,56,Back,5675489265,141,37.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805384479,16,1,1,0,43,bk3zg8yaj5uoqhxzwons3bo8a,1,23.8,35.8,2025-04-24T01:07:07.916Z,2025-04-24T01:07:09Z,9imj5ig0i01uljnd3gd2cz1m,T. Maples,,5675489329,56,Back,5675489335,212,15.2,5675489333,141,54.8,5675489337,213,2.12,5675489331,140,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805384503,17,1,1,0,44,bk3zg8yaj5uoqhxzwons3bo8a,1,16.4,55.2,2025-04-24T01:07:09.003Z,2025-04-24T01:07:11Z,zczt4alpawz5522hff8x39p1,A. Tambakis,,5675489471,141,76.6,5675489467,56,Back,5675489469,140,19.9,5675489473,212,15.0,5675489475,213,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805384557,18,1,1,0,46,bk3zg8yaj5uoqhxzwons3bo8a,1,15.2,78.8,2025-04-24T01:07:11.207Z,2025-04-24T01:07:18Z,cvdn34vl3zje5uq54nvg77sut,K. Ryden,,5675489859,213,0.48,5675489855,141,91.8,5675489851,140,31.5,5675489857,212,19.3,5675489849,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805384573,19,1,1,0,53,bk3zg8yaj5uoqhxzwons3bo8a,1,51.1,88.7,2025-04-24T01:07:17.797Z,2025-04-24T01:07:20Z,52rcg38mijjjusfwqxa2l7hex,J. Lindsey,,5675489959,213,3.18,5675489955,141,88.1,5675489957,212,10.1,5675489953,140,41.5,5675489951,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805384603,20,1,1,0,55,bk3zg8yaj5uoqhxzwons3bo8a,1,41.5,88.1,2025-04-24T01:07:20.173Z,2025-04-24T01:07:23Z,4fbaxgikw7z9sfhuz6vvnfmxh,G. Zelalem,,5675490119,140,44.1,5675490121,141,63.7,5675490117,56,Back,5675490125,213,4.88,5675490123,212,16.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805384625,21,1,1,0,58,bk3zg8yaj5uoqhxzwons3bo8a,1,43.8,56.7,2025-04-24T01:07:23.613Z,2025-04-24T01:07:25Z,9imj5ig0i01uljnd3gd2cz1m,T. Maples,,5675490263,213,4.75,5675490261,212,21.0,5675490259,141,25.8,5675490255,56,Back,5675490257,140,44.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805384653,22,1,1,1,0,bk3zg8yaj5uoqhxzwons3bo8a,1,44.7,25.5,2025-04-24T01:07:25.408Z,2025-04-24T01:07:27Z,2o86bp6u8hbr8q43mea7srco9,W. Seymore,,5675490391,140,50.3,5675490397,213,0.66,5675490393,141,32.2,5675490395,212,7.4,5675490389,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805384669,23,1,1,1,2,bk3zg8yaj5uoqhxzwons3bo8a,1,50.3,32.2,2025-04-24T01:07:27.371Z,2025-04-24T01:07:29Z,djau5chcmoyiyq28jt9ypzh4a,O. Jabang,,5675490487,212,17.6,5675490483,140,33.7,5675490485,141,36.0,5675490489,213,2.99,5675490479,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805384711,24,1,1,1,4,bk3zg8yaj5uoqhxzwons3bo8a,1,33.7,36.0,2025-04-24T01:07:28.924Z,2025-04-24T01:07:33Z,9imj5ig0i01uljnd3gd2cz1m,T. Maples,,5675490697,212,16.4,5675490693,140,36.8,5675490691,56,Back,5675490695,141,59.7,5675490699,213,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805384729,25,1,1,1,8,bk3zg8yaj5uoqhxzwons3bo8a,1,40.4,72.3,2025-04-24T01:07:33.085Z,2025-04-24T01:07:37Z,cvdn34vl3zje5uq54nvg77sut,K. Ryden,,5675490835,212,38.1,5675490827,140,76.0,5675490843,1,,5675490839,213,0.20,5675490825,56,Left,5675490831,141,83.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805384759,26,1,1,1,12,bk3zg8yaj5uoqhxzwons3bo8a,1,76.2,83.5,2025-04-24T01:07:36.845Z,2025-04-24T01:07:41Z,7b346y8ad54mkc0h1343ybs2x,Luiz Fernando,,5675490985,56,Left,5675490995,212,15.1,5675490991,141,85.3,5675490997,213,0.08,5675490987,140,90.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805384767,27,43,1,1,16,bk3zg8yaj5uoqhxzwons3bo8a,1,0.0,0.0,2025-04-24T01:07:41.613Z,2025-04-24T01:08:03Z,caxfn5xu1taewgtxil6ah2rjd,Z. Bailey,,5675491707,144,56,5675491019,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805384817,28,1,1,1,18,bk3zg8yaj5uoqhxzwons3bo8a,1,88.5,85.4,2025-04-24T01:07:43.016Z,2025-04-24T04:32:12Z,caxfn5xu1taewgtxil6ah2rjd,Z. Bailey,1.0,5675491287,56,Center,5675491293,212,27.6,5675491291,141,48.9,5675491295,213,4.26,5675491631,210,13,5675491289,140,77.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805384819,29,13,1,1,23,bk3zg8yaj5uoqhxzwons3bo8a,1,79.4,34.7,2025-04-24T01:07:48.229Z,2025-04-24T03:31:29Z,2o86bp6u8hbr8q43mea7srco9,W. Seymore,,5675491639,29,,5675491643,55,28,5675491301,22,,5675491653,102,42.9,5675491661,215,,5675491667,231,50,5675491637,87,,5675491657,103,56.9,5675491665,230,99.4,5675491405,20,5675491303,18,5675491305,56,Center,,,,,,,,,,,,,,,,
2805384907,3,5,1,1,25,kfq8fhwnmycbtad1u0fyefx0,1,-1.2,57.3,2025-04-24T01:07:49.719Z,2025-04-24T03:38:04Z,1j010cibh247p8kjchww6ny3u,N. Gordon,,5675491905,233,30,5675491855,56,Back,5675491859,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805384837,30,5,1,1,25,bk3zg8yaj5uoqhxzwons3bo8a,0,101.2,42.7,2025-04-24T01:07:49.719Z,2025-04-24T01:08:12Z,2o86bp6u8hbr8q43mea7srco9,W. Seymore,,5675491391,346,,5675491947,233,3,5675491389,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805384971,4,1,1,1,50,kfq8fhwnmycbtad1u0fyefx0,0,4.5,50.0,2025-04-24T01:08:14.971Z,2025-04-24T01:08:17Z,isauuse3yqdwymvfne6ci385,Nico Campuzano,,5675492257,124,,5675492275,74,,5675492263,141,75.3,5675492273,1,,5675492259,56,Center,5675492267,212,60.1,5675492261,140,59.3,5675492271,213,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,
2805384991,31,1,1,1,53,bk3zg8yaj5uoqhxzwons3bo8a,0,38.6,19.8,2025-04-24T01:08:18.220Z,2025-04-24T01:08:19Z,2o86bp6u8hbr8q43mea7srco9,W. Seymore,,5675492355,212,24.9,5675492353,141,47.3,5675492349,56,Center,5675492351,140,54.2,5675492357,213,0.85,5675492345,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805385013,5,4,1,1,57,kfq8fhwnmycbtad1u0fyefx0,1,48.0,50.8,2025-04-24T01:08:22.270Z,2025-04-24T03:11:46Z,b0zo05bu61v32nw35mriue0yy,P. Gallaway,,5675492523,265,,5675492677,233,32,5675492525,286,,5675492517,13,,5675492521,152,,5675492519,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805385035,32,4,1,1,57,bk3zg8yaj5uoqhxzwons3bo8a,0,52.0,49.2,2025-04-24T01:08:22.271Z,2025-04-24T03:11:46Z,caxfn5xu1taewgtxil6ah2rjd,Z. Bailey,,5675492663,265,,5675492665,285,,5675492697,233,5,5675492659,56,Center,5675492657,13,,5675492661,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805385073,6,1,1,2,5,kfq8fhwnmycbtad1u0fyefx0,1,42.0,49.3,2025-04-24T01:08:30.105Z,2025-04-24T01:08:32Z,b0zo05bu61v32nw35mriue0yy,P. Gallaway,,5675492875,212,16.3,5675492865,5,,5675492873,141,37.4,5675492867,152,,5675492871,140,28.5,5675492877,213,3.66,5675492869,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805385087,7,1,1,2,7,kfq8fhwnmycbtad1u0fyefx0,1,28.1,37.6,2025-04-24T01:08:32.187Z,2025-04-24T01:08:33Z,1j010cibh247p8kjchww6ny3u,N. Gordon,,5675492943,140,39.1,5675492945,141,40.1,5675492941,56,Back,5675492947,212,11.7,5675492949,213,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805385093,8,1,1,2,8,kfq8fhwnmycbtad1u0fyefx0,1,37.4,40.0,2025-04-24T01:08:33.440Z,2025-04-24T01:08:35Z,9x7teazvqgbnj3pnam6rf2xgp,W. Fonguck,,5675493031,141,29.7,5675493029,140,36.6,5675493035,213,4.59,5675493033,212,7.1,5675493027,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805385109,9,1,1,2,10,kfq8fhwnmycbtad1u0fyefx0,1,36.3,29.4,2025-04-24T01:08:35.002Z,2025-04-24T01:08:38Z,b0zo05bu61v32nw35mriue0yy,P. Gallaway,,5675493157,140,62.2,5675493155,56,Right,5675493159,141,6.8,5675493161,212,31.2,5675493163,213,5.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805385111,10,1,1,2,13,kfq8fhwnmycbtad1u0fyefx0,1,65.1,14.3,2025-04-24T01:08:38.387Z,2025-04-24T01:08:39Z,ewibb8s7p2l6f5sekvkqu4a5m,A. Rebollar,,5675493187,212,8.6,5675493183,140,59.4,5675493185,141,23.3,5675493189,213,2.35,5675493179,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805385121,11,1,1,2,14,kfq8fhwnmycbtad1u0fyefx0,1,59.5,23.1,2025-04-24T01:08:39.353Z,2025-04-24T01:08:41Z,6hdas9nshfgbjhj91y3ob8b11,M. Fehr,,5675493249,212,8.3,5675493247,141,10.9,5675493251,213,4.80,5675493245,140,60.2,5675493243,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805385147,12,1,1,2,16,kfq8fhwnmycbtad1u0fyefx0,1,60.2,10.9,2025-04-24T01:08:40.851Z,2025-04-24T04:32:14Z,9ij293r1mbtygl6v3u2s43i3u,M. Lyons,,5675493405,212,29.3,5675493407,213,3.03,5675493401,140,32.5,5675493403,141,15.6,5675493399,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805385183,13,1,1,2,21,kfq8fhwnmycbtad1u0fyefx0,1,32.0,15.9,2025-04-24T01:08:45.685Z,2025-04-24T01:08:49Z,1j010cibh247p8kjchww6ny3u,N. Gordon,,5675493589,56,Back,5675493593,141,30.9,5675493597,213,2.74,5675493591,140,9.3,5675493595,212,25.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805385207,14,1,1,2,24,kfq8fhwnmycbtad1u0fyefx0,0,10.3,31.2,2025-04-24T01:08:48.935Z,2025-04-24T01:08:52Z,isauuse3yqdwymvfne6ci385,Nico Campuzano,,5675493751,213,0.10,5675493745,140,69.8,5675493743,56,Center,5675493749,212,62.8,5675493753,1,,5675493747,141,40.6,5675493741,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805385227,33,1,1,2,27,bk3zg8yaj5uoqhxzwons3bo8a,0,36.1,57.9,2025-04-24T01:08:51.780Z,2025-04-24T01:08:53Z,cvdn34vl3zje5uq54nvg77sut,K. Ryden,,5675493825,140,52.0,5675493831,213,6.17,5675493823,56,Center,5675493827,141,55.1,5675493821,3,,5675493829,212,16.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805385235,15,1,1,2,30,kfq8fhwnmycbtad1u0fyefx0,1,56.1,35.4,2025-04-24T01:08:55.256Z,2025-04-24T01:08:56Z,9x7teazvqgbnj3pnam6rf2xgp,W. Fonguck,,5675493869,140,62.0,5675493871,141,22.4,5675493867,56,Center,5675493873,212,10.8,5675493875,213,5.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805385249,16,1,1,2,32,kfq8fhwnmycbtad1u0fyefx0,1,58.3,24.0,2025-04-24T01:08:57.584Z,2025-04-24T01:08:58Z,ewibb8s7p2l6f5sekvkqu4a5m,A. Rebollar,,5675493969,213,2.86,5675493965,141,32.4,5675493963,140,39.4,5675493967,212,20.7,5675493961,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805385271,17,1,1,2,34,kfq8fhwnmycbtad1u0fyefx0,1,39.3,32.4,2025-04-24T01:08:58.723Z,2025-04-24T01:09:02Z,b0zo05bu61v32nw35mriue0yy,P. Gallaway,,5675494089,56,Back,5675494097,213,1.90,5675494091,140,34.2,5675494093,141,55.7,5675494095,212,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805385299,18,1,1,2,38,kfq8fhwnmycbtad1u0fyefx0,1,28.4,64.0,2025-04-24T01:09:02.634Z,2025-04-24T01:09:10Z,b32tamno8dpk5te2oq7d9a6t,C. Guzmán,,5675494297,141,65.4,5675494301,213,0.05,5675494299,212,17.8,5675494295,140,45.3,5675494293,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805385315,19,1,1,2,46,kfq8fhwnmycbtad1u0fyefx0,1,58.3,78.8,2025-04-24T01:09:10.701Z,2025-04-24T01:09:13Z,6hdas9nshfgbjhj91y3ob8b11,M. Fehr,,5675494411,141,75.7,5675494413,212,19.5,5675494407,56,Back,5675494415,213,3.25,5675494409,140,39.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805385333,20,1,1,2,48,kfq8fhwnmycbtad1u0fyefx0,1,39.8,75.7,2025-04-24T01:09:13.087Z,2025-04-24T01:09:18Z,b32tamno8dpk5te2oq7d9a6t,C. Guzmán,,5675494571,140,25.5,5675494577,213,3.81,5675494573,141,58.1,5675494575,212,19.2,5675494569,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805385351,21,1,1,2,53,kfq8fhwnmycbtad1u0fyefx0,1,27.1,57.3,2025-04-24T01:09:18.235Z,2025-04-24T01:09:21Z,isauuse3yqdwymvfne6ci385,Nico Campuzano,,5675494713,141,34.8,5675494717,213,4.80,5675494711,140,28.4,5675494715,212,15.4,5675494709,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805385363,22,1,1,2,56,kfq8fhwnmycbtad1u0fyefx0,1,28.3,33.7,2025-04-24T01:09:20.986Z,2025-04-24T01:09:23Z,1j010cibh247p8kjchww6ny3u,N. Gordon,,5675494817,140,38.5,5675494813,56,Back,5675494823,213,5.25,5675494821,212,20.8,5675494819,141,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805385387,23,1,1,2,58,kfq8fhwnmycbtad1u0fyefx0,1,39.0,8.3,2025-04-24T01:09:23.586Z,2025-04-24T01:09:27Z,9ij293r1mbtygl6v3u2s43i3u,M. Lyons,,5675494935,141,18.9,5675494933,140,62.7,5675494937,212,25.9,5675494931,56,Right,5675494939,213,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805385403,24,1,1,3,2,kfq8fhwnmycbtad1u0fyefx0,1,63.1,18.9,2025-04-24T01:09:27.352Z,2025-04-24T01:09:30Z,ewibb8s7p2l6f5sekvkqu4a5m,A. Rebollar,,5675495021,212,11.7,5675495023,213,5.89,5675495019,141,12.3,5675495015,56,Right,5675495017,140,73.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805385417,25,1,1,3,6,kfq8fhwnmycbtad1u0fyefx0,0,77.2,11.9,2025-04-24T01:09:30.672Z,2025-04-24T01:09:32Z,9ij293r1mbtygl6v3u2s43i3u,M. Lyons,,5675495101,140,96.1,5675495107,213,0.93,5675495109,1,,5675495095,2,,5675495103,141,50.9,5675495099,56,Center,5675495105,212,33.1,5675495097,155,,,,,,,,,,,,,,,,,,,,,,,,,,,
