id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2818579553,7,1,1,0,10,c9xffml4i7ihblp1qhus9w3fu,1,27.9,85.4,2025-05-24T23:06:53.223Z,2025-05-24T23:06:54Z,bxlh35ww96wgrsgfc8blou50p,M. Mensah,,,5748382763,212,4.2,5748382759,140,31.9,5748382761,141,85.9,5748382757,56,Back,5748382765,213,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818579561,8,1,1,0,12,c9xffml4i7ihblp1qhus9w3fu,0,31.9,85.9,2025-05-24T23:06:54.759Z,2025-05-24T23:06:55Z,9etod4kwf9f5ye7jzc5ez0e3u,E. Laszo,,,5748382787,140,36.3,5748382791,212,6.5,5748382785,56,Back,5748382793,213,5.50,5748382789,141,79.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818579557,6,61,1,0,12,bu5w8wprynlj9mvphvy8sd94f,1,69.9,24.6,2025-05-24T23:06:55.237Z,2025-05-24T23:06:55Z,1xkff6cxd8zycnd3n3odmvai1,C. Vázquez,,,5748382779,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818579615,7,1,1,0,15,bu5w8wprynlj9mvphvy8sd94f,0,59.0,22.5,2025-05-24T23:06:58.262Z,2025-05-25T01:07:45Z,96qlwmkrab9h7xt93jzgl384p,J. Ricketts,,,5748849265,233,9,5748849269,286,,5748849263,236,,5748848937,212,4.9,5748848933,140,60.0,5748848931,56,Center,5748848939,213,1.35,5748848935,141,29.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818579639,9,74,1,0,15,c9xffml4i7ihblp1qhus9w3fu,1,35.2,78.4,2025-05-24T23:06:58.263Z,2025-05-25T01:07:45Z,7drelguz6c1htw10sq7zyxh0q,D. Trejo,,,5748383171,285,,5748849299,233,7,5748383169,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818616903,447,1,1,0,16,c9xffml4i7ihblp1qhus9w3fu,1,39.3,69.0,2025-05-24T23:06:58.555Z,2025-05-24T23:59:49Z,e6uww9a9ssp0n20ksoolesa8l,E. Martínez,,,5748584285,212,8.1,5748584287,213,0.36,5748584283,141,73.2,5748584281,140,46.5,5748584279,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818616915,448,1,1,0,17,c9xffml4i7ihblp1qhus9w3fu,0,46.0,67.3,2025-05-24T23:06:59.555Z,2025-05-24T23:59:45Z,7drelguz6c1htw10sq7zyxh0q,D. Trejo,,,5748584355,141,67.5,5748584359,213,0.01,5748584353,140,66.3,5748584357,212,21.3,5748584351,56,Center,5748584349,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818579619,8,61,1,0,19,bu5w8wprynlj9mvphvy8sd94f,1,58.5,22.7,2025-05-24T23:07:01.639Z,2025-05-25T01:08:00Z,96qlwmkrab9h7xt93jzgl384p,J. Ricketts,,,5748850261,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818579623,9,12,1,0,19,bu5w8wprynlj9mvphvy8sd94f,1,19.5,35.2,2025-05-24T23:07:01.775Z,2025-05-25T01:08:18Z,eqopj1p3a2ehzpwlj90laswoa,D. Knutson,,,5748851081,213,6.18,5748851079,212,20.5,5748851213,15,,5748851075,140,38.9,5748851077,141,32.1,5748851073,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818579641,10,4,1,0,21,c9xffml4i7ihblp1qhus9w3fu,1,55.6,52.6,2025-05-24T23:07:04.087Z,2025-05-25T01:23:44Z,7drelguz6c1htw10sq7zyxh0q,D. Trejo,,,5748383219,286,,5748383215,152,,5748383213,56,Center,5748383217,265,,5748383211,13,,5748383295,233,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818579649,11,4,1,0,21,bu5w8wprynlj9mvphvy8sd94f,0,44.4,47.4,2025-05-24T23:07:04.088Z,2025-05-25T01:23:45Z,cyignmjprj3whvban361mclm2,D. Mercado,,,5748383279,56,Back,5748383281,152,,5748383283,265,,5748383285,285,,5748383311,233,10,5748383277,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818579759,11,1,1,0,33,c9xffml4i7ihblp1qhus9w3fu,1,55.4,50.3,2025-05-24T23:07:15.791Z,2025-05-24T23:07:19Z,9etod4kwf9f5ye7jzc5ez0e3u,E. Laszo,,,5748383935,56,Center,5748383939,141,72.0,5748383931,155,,5748383937,140,76.8,5748383933,152,,5748383929,5,,5748383943,213,0.58,5748383941,212,26.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818617371,449,43,1,0,34,c9xffml4i7ihblp1qhus9w3fu,1,0.0,0.0,2025-05-24T23:07:16.555Z,2025-05-25T00:00:47Z,e6uww9a9ssp0n20ksoolesa8l,E. Martínez,,,5748587243,144,61,5748586657,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818579769,12,44,1,0,36,c9xffml4i7ihblp1qhus9w3fu,1,82.2,68.8,2025-05-24T23:07:18.846Z,2025-05-24T23:07:23Z,7drelguz6c1htw10sq7zyxh0q,D. Trejo,,,5748383981,56,Center,5748383983,286,,5748384033,233,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818579765,12,44,1,0,36,bu5w8wprynlj9mvphvy8sd94f,0,17.8,31.2,2025-05-24T23:07:18.847Z,2025-05-24T23:07:24Z,96qlwmkrab9h7xt93jzgl384p,J. Ricketts,,,5748383969,285,,5748384073,233,12,5748383967,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818579833,13,1,1,0,36,c9xffml4i7ihblp1qhus9w3fu,0,76.8,72.0,2025-05-24T23:07:19.160Z,2025-05-24T23:07:23Z,7drelguz6c1htw10sq7zyxh0q,D. Trejo,,,5748384315,212,15.2,5748384307,3,,5748384311,140,87.4,5748384313,141,56.7,5748384317,213,5.53,5748384309,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818579913,14,1,1,0,46,bu5w8wprynlj9mvphvy8sd94f,1,12.5,43.9,2025-05-24T23:07:29.095Z,2025-05-24T23:07:32Z,9q3w4j10qfsq94svbmyxa879x,B. Hamid,,,5748384799,56,Back,5748384797,123,,5748384805,212,15.7,5748384803,141,64.0,5748384807,213,1.06,5748384801,140,19.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818579953,15,1,1,0,50,bu5w8wprynlj9mvphvy8sd94f,1,20.7,67.9,2025-05-24T23:07:32.696Z,2025-05-24T23:07:35Z,d539xjkdwt1i77f0czbvo8ull,B. Akinyode,,,5748385005,213,5.46,5748384999,140,29.9,5748385003,212,14.1,5748385001,141,52.7,5748384997,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818580003,16,1,1,0,52,bu5w8wprynlj9mvphvy8sd94f,1,29.9,52.7,2025-05-24T23:07:35.471Z,2025-05-24T23:07:39Z,cyignmjprj3whvban361mclm2,D. Mercado,,,5748385261,213,4.08,5748385259,212,14.5,5748385255,140,21.8,5748385257,141,35.5,5748385253,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818580033,17,1,1,0,56,bu5w8wprynlj9mvphvy8sd94f,1,20.6,35.5,2025-05-24T23:07:39.303Z,2025-05-24T23:07:42Z,eqopj1p3a2ehzpwlj90laswoa,D. Knutson,,,5748385467,140,24.7,5748385469,141,14.7,5748385471,212,14.8,5748385465,56,Back,5748385473,213,5.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818580049,18,1,1,1,0,bu5w8wprynlj9mvphvy8sd94f,1,25.1,12.6,2025-05-24T23:07:42.641Z,2025-05-24T23:07:43Z,fm9i7pzwi2diu6i18kycmx1x,M. Romero,,,5748385569,213,5.78,5748385565,141,3.5,5748385567,212,12.9,5748385563,140,35.9,5748385561,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818580077,19,1,1,1,1,bu5w8wprynlj9mvphvy8sd94f,1,35.9,3.5,2025-05-24T23:07:43.655Z,2025-05-24T23:07:47Z,96qlwmkrab9h7xt93jzgl384p,J. Ricketts,,,5748385765,140,56.2,5748385769,141,3.4,5748385761,56,Right,5748385771,212,21.3,5748385773,213,6.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818580087,20,61,1,1,4,bu5w8wprynlj9mvphvy8sd94f,0,60.1,5.2,2025-05-24T23:07:47.278Z,2025-05-24T23:07:47Z,1xkff6cxd8zycnd3n3odmvai1,C. Vázquez,,,5748385823,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818580131,15,1,1,1,6,c9xffml4i7ihblp1qhus9w3fu,1,23.3,72.1,2025-05-24T23:07:48.943Z,2025-05-24T23:07:51Z,9etod4kwf9f5ye7jzc5ez0e3u,E. Laszo,,,5748386069,213,0.03,5748386065,141,72.4,5748386063,140,29.5,5748386067,212,6.5,5748386061,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818580137,16,61,1,1,8,c9xffml4i7ihblp1qhus9w3fu,0,29.3,72.7,2025-05-24T23:07:51.135Z,2025-05-24T23:07:51Z,e6uww9a9ssp0n20ksoolesa8l,E. Martínez,,,5748386113,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818580183,22,1,1,1,10,bu5w8wprynlj9mvphvy8sd94f,1,44.4,18.8,2025-05-24T23:07:53.480Z,2025-05-24T23:07:55Z,fm9i7pzwi2diu6i18kycmx1x,M. Romero,,,5748386287,213,3.75,5748386283,141,8.8,5748386281,140,35.2,5748386279,56,Back,5748386285,212,11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818580231,23,1,1,1,12,bu5w8wprynlj9mvphvy8sd94f,1,35.2,8.8,2025-05-24T23:07:54.798Z,2025-05-24T23:07:58Z,96qlwmkrab9h7xt93jzgl384p,J. Ricketts,,,5748386555,213,2.42,5748386547,56,Back,5748386549,140,25.2,5748386551,141,22.4,5748386553,212,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818580285,24,1,1,1,15,bu5w8wprynlj9mvphvy8sd94f,1,24.8,25.9,2025-05-24T23:07:58.207Z,2025-05-24T23:08:03Z,eqopj1p3a2ehzpwlj90laswoa,D. Knutson,,,5748386869,212,23.7,5748386865,140,22.5,5748386871,213,1.67,5748386867,141,60.5,5748386863,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818580335,25,1,1,1,20,bu5w8wprynlj9mvphvy8sd94f,1,22.5,60.5,2025-05-24T23:08:02.798Z,2025-05-24T23:08:06Z,d539xjkdwt1i77f0czbvo8ull,B. Akinyode,,,5748387133,56,Back,5748387137,141,95.3,5748387141,213,1.23,5748387135,140,30.6,5748387139,212,25.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818580345,26,1,1,1,23,bu5w8wprynlj9mvphvy8sd94f,1,30.6,95.3,2025-05-24T23:08:06.471Z,2025-05-24T23:08:07Z,1460tac94fhhy43lmohs4fj3e,N. Cardona,,,5748387187,141,85.4,5748387183,56,Back,5748387189,212,21.0,5748387185,140,49.5,5748387191,213,5.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818580353,27,1,1,1,24,bu5w8wprynlj9mvphvy8sd94f,0,49.5,85.4,2025-05-24T23:08:07.248Z,2025-05-24T23:08:07Z,e5nj82ezbq0x6zdzdh4quyxn9,S. Blanco,,,5748387221,212,10.6,5748387223,213,3.67,5748387217,140,40.8,5748387219,141,77.6,5748387215,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818580393,17,8,1,1,27,c9xffml4i7ihblp1qhus9w3fu,1,36.1,34.5,2025-05-24T23:08:09.560Z,2025-05-24T23:08:09Z,dhi7890xe8zsmzhw2cad7sul1,T. Pasher,,,5748387425,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818580421,18,3,1,1,27,c9xffml4i7ihblp1qhus9w3fu,1,44.2,34.0,2025-05-24T23:08:09.711Z,2025-05-25T01:27:51Z,9etod4kwf9f5ye7jzc5ez0e3u,E. Laszo,,,5748921963,233,28,5748921967,286,,5748387541,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818580443,28,45,1,1,27,bu5w8wprynlj9mvphvy8sd94f,0,55.8,66.0,2025-05-24T23:08:09.711Z,2025-05-25T01:27:52Z,1460tac94fhhy43lmohs4fj3e,N. Cardona,,,5748387643,56,Center,5748921985,233,18,5748387645,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818580449,20,1,1,1,29,c9xffml4i7ihblp1qhus9w3fu,0,29.3,37.0,2025-05-24T23:08:12.471Z,2025-05-25T00:01:28Z,9etod4kwf9f5ye7jzc5ez0e3u,E. Laszo,,,5748387669,213,0.48,5748387665,141,47.3,5748387663,140,42.2,5748387667,212,15.2,5748387659,155,,5748387661,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818580513,30,1,1,1,32,bu5w8wprynlj9mvphvy8sd94f,1,28.0,38.0,2025-05-24T23:08:14.614Z,2025-05-24T23:08:18Z,eqopj1p3a2ehzpwlj90laswoa,D. Knutson,,,5748388019,213,0.18,5748388015,141,43.1,5748388017,212,19.2,5748388013,140,46.0,5748388011,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818580527,31,1,1,1,35,bu5w8wprynlj9mvphvy8sd94f,0,46.1,46.3,2025-05-24T23:08:18.351Z,2025-05-24T23:08:19Z,1xkff6cxd8zycnd3n3odmvai1,C. Vázquez,,,5748388103,56,Center,5748388107,141,60.6,5748388113,1,,5748388105,140,78.2,5748388111,213,0.28,5748388109,212,35.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818580573,22,1,1,1,38,c9xffml4i7ihblp1qhus9w3fu,1,17.8,30.9,2025-05-24T23:08:21.543Z,2025-05-24T23:08:22Z,cbjd834y2hdx5jr3bda1zz6ga,E. Centeno,,,5748388321,212,7.5,5748388317,140,11.8,5748388323,213,2.57,5748388315,56,Back,5748388319,141,36.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818580637,23,1,1,1,39,c9xffml4i7ihblp1qhus9w3fu,0,11.8,36.9,2025-05-24T23:08:22.471Z,2025-05-24T23:08:26Z,dlcxvrsqhiz8ce0nqnh6h6dw5,M. Van Oekel,,,5748388711,212,32.3,5748388705,56,Back,5748388713,213,5.83,5748388709,141,16.2,5748388703,157,,5748388715,1,,5748388707,140,39.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818580669,32,61,1,1,45,bu5w8wprynlj9mvphvy8sd94f,0,57.1,92.9,2025-05-24T23:08:27.823Z,2025-05-24T23:08:28Z,1460tac94fhhy43lmohs4fj3e,N. Cardona,,,5748388837,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818580777,24,5,1,1,45,c9xffml4i7ihblp1qhus9w3fu,1,37.1,-1.6,2025-05-24T23:08:28.423Z,2025-05-25T01:33:12Z,dlcxvrsqhiz8ce0nqnh6h6dw5,M. Van Oekel,,,5748389529,233,33,5748389465,347,,5748389463,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818580687,33,5,1,1,45,bu5w8wprynlj9mvphvy8sd94f,0,62.9,101.6,2025-05-24T23:08:28.423Z,2025-05-25T01:33:12Z,1460tac94fhhy43lmohs4fj3e,N. Cardona,,,5748388931,347,,5748389551,233,24,5748388929,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818580797,25,1,1,1,58,c9xffml4i7ihblp1qhus9w3fu,1,29.6,0.0,2025-05-24T23:08:40.832Z,2025-05-24T23:09:06Z,cbjd834y2hdx5jr3bda1zz6ga,E. Centeno,,,5748389609,107,,5748389613,140,30.5,5748389617,212,10.4,5748389611,56,Back,5748391231,189,,5748389619,213,1.48,5748389615,141,14.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818580805,26,1,1,1,59,c9xffml4i7ihblp1qhus9w3fu,1,30.5,14.1,2025-05-24T23:08:41.671Z,2025-05-24T23:08:43Z,dhi7890xe8zsmzhw2cad7sul1,T. Pasher,,,5748389659,56,Back,5748389675,213,3.62,5748389663,140,27.1,5748389667,141,11.4,5748389671,212,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818580885,27,1,1,2,0,c9xffml4i7ihblp1qhus9w3fu,1,27.0,11.3,2025-05-24T23:08:43.215Z,2025-05-24T23:08:49Z,cbjd834y2hdx5jr3bda1zz6ga,E. Centeno,,,5748390103,56,Back,5748390107,141,39.7,5748390105,140,23.9,5748390111,213,1.74,5748390109,212,19.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818580901,28,1,1,2,6,c9xffml4i7ihblp1qhus9w3fu,1,23.9,39.7,2025-05-24T23:08:49.479Z,2025-05-24T23:08:50Z,357vd87hv0jvljqtt2qf4vmz8,S. Suárez,,,5748390169,141,77.9,5748390171,212,27.8,5748390165,56,Back,5748390173,213,1.21,5748390167,140,33.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818580949,29,1,1,2,8,c9xffml4i7ihblp1qhus9w3fu,1,33.2,77.9,2025-05-24T23:08:50.599Z,2025-05-24T23:08:52Z,bxlh35ww96wgrsgfc8blou50p,M. Mensah,,,5748390343,140,29.1,5748390347,212,4.7,5748390341,56,Back,5748390345,141,75.3,5748390349,213,3.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
