id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/11/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value
2816194237,9,1,1,0,30,ak0rmms5xl49w57i2rvid1tk9,1,21.8,35.5,2025-05-18T01:07:32.820Z,2025-05-18T01:07:35Z,3djjepgynp4qnhgvvqh9oa1ka,A. Rocha,,,5735152653,212,2.4,5735152649,140,19.5,5735152651,141,35.1,5735152655,213,3.25,5735152647,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816194251,10,1,1,0,33,ak0rmms5xl49w57i2rvid1tk9,1,19.5,35.1,2025-05-18T01:07:35.540Z,2025-05-18T01:07:37Z,dqekbs06e79n3vapj437pwyc,G. Metusala,,,5735152729,141,61.5,5735152733,213,2.04,5735152725,56,Back,5735152731,212,20.1,5735152727,140,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816194287,11,1,1,0,34,ak0rmms5xl49w57i2rvid1tk9,1,10.9,61.5,2025-05-18T01:07:37.030Z,2025-05-18T01:07:39Z,duuhalibp64gdz6nub5ub0ovd,C. Herrera,,,5735152891,140,23.0,5735152897,213,0.91,5735152889,56,Back,5735152893,141,85.3,5735152895,212,20.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816194297,12,1,1,0,37,ak0rmms5xl49w57i2rvid1tk9,1,23.0,85.3,2025-05-18T01:07:39.644Z,2025-05-18T01:07:41Z,b9lt0sfts2zxf2ali8vpf0pn9,D. Lacroix,,,5735152975,212,1.6,5735152977,213,0.39,5735152971,140,24.4,5735152969,56,Back,5735152973,141,86.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816194305,13,1,1,0,38,ak0rmms5xl49w57i2rvid1tk9,0,24.4,86.2,2025-05-18T01:07:41.060Z,2025-05-18T01:07:43Z,6oj55tf7cdnnnft350f9fyhnt,M. Real,,,5735153015,141,86.3,5735153019,213,0.21,5735153103,233,4,5735153013,140,24.7,5735153101,236,,5735153107,286,,5735153011,56,Back,5735153017,212,0.3,,,,,,,,,,,,,,,,,,,,,,,
2816194319,4,74,1,0,38,224tl8u2smnbyliroayk69nt0,1,67.2,4.6,2025-05-18T01:07:41.061Z,2025-05-18T03:19:17Z,8pli7fk5kjmt0f9pl6sjsltuy,P. Barnes,,,5735153073,56,Right,5735153075,285,,5735153137,233,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816194331,5,5,1,0,40,224tl8u2smnbyliroayk69nt0,0,69.6,-1.1,2025-05-18T01:07:42.564Z,2025-05-18T04:09:00Z,8pli7fk5kjmt0f9pl6sjsltuy,P. Barnes,,,5735153395,233,14,5735153141,56,Right,5735153143,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816194369,14,5,1,0,40,ak0rmms5xl49w57i2rvid1tk9,1,30.4,101.1,2025-05-18T01:07:42.564Z,2025-05-18T04:08:59Z,6oj55tf7cdnnnft350f9fyhnt,M. Real,,,5735153365,233,5,5735153347,56,Back,5735153349,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816194457,15,1,1,0,57,ak0rmms5xl49w57i2rvid1tk9,0,43.1,100.0,2025-05-18T01:07:59.731Z,2025-05-18T01:08:03Z,6oj55tf7cdnnnft350f9fyhnt,M. Real,,,5735153893,212,26.6,5735153897,213,5.65,5735153889,141,78.1,5735153901,1,,5735153877,107,,5735153885,140,63.6,5735153881,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,
2816194475,6,44,1,0,59,224tl8u2smnbyliroayk69nt0,1,35.4,21.2,2025-05-18T01:08:02.114Z,2025-05-18T01:11:48Z,3g0rdzkjns986gn34vg3umiqy,S. Suber,,,5735153987,285,,5735154021,233,16,5735153985,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816194461,16,44,1,0,59,ak0rmms5xl49w57i2rvid1tk9,0,64.6,78.8,2025-05-18T01:08:02.115Z,2025-05-18T01:08:09Z,3ljxfq84ubqzlooixppmpfdd6,J. Tejada,,,5735153917,56,Center,5735154055,233,6,5735153919,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816194521,7,1,1,0,59,224tl8u2smnbyliroayk69nt0,1,33.6,20.3,2025-05-18T01:08:02.498Z,2025-05-18T03:43:47Z,3g0rdzkjns986gn34vg3umiqy,S. Suber,,,5735154241,141,17.9,5735154237,56,Back,5735154243,212,13.5,5735154245,213,6.16,5735154235,3,,5735154239,140,46.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816198531,57,1,1,1,2,224tl8u2smnbyliroayk69nt0,1,43.2,17.9,2025-05-18T01:08:04.736Z,2025-05-18T01:14:46Z,1l26kd7tulii6x999b3fdxi0a,B. Sample,,,5735176893,56,Right,5735176889,3,,5735176891,168,,5735176897,141,18.0,5735176901,213,0.01,5735176899,212,8.6,5735176895,140,51.4,,,,,,,,,,,,,,,,,,,,,,,,,,
2816194525,8,1,1,1,3,224tl8u2smnbyliroayk69nt0,1,55.2,20.4,2025-05-18T01:08:05.866Z,2025-05-18T01:18:12Z,c4va4gt5g10zm05qtucgyt889,D. Griffin,,,5735154273,140,44.4,5735154269,3,,5735154277,212,12.1,5735154271,56,Back,5735154281,213,2.78,5735154275,141,26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816194539,10,1,1,1,5,224tl8u2smnbyliroayk69nt0,0,45.1,26.7,2025-05-18T01:08:07.906Z,2025-05-18T01:08:09Z,6jsu34146kbtoeco3ue1a7ok4,J. Wälti,,,5735154367,56,Center,5735154375,213,0.01,5735154371,141,27.1,5735154369,140,85.4,5735154377,1,,5735154365,155,,5735154373,212,42.3,,,,,,,,,,,,,,,,,,,,,,,,,,
2816194575,18,1,1,1,7,ak0rmms5xl49w57i2rvid1tk9,1,12.4,65.1,2025-05-18T01:08:09.675Z,2025-05-18T01:08:13Z,duuhalibp64gdz6nub5ub0ovd,C. Herrera,,,5735154547,212,15.1,5735154541,56,Back,5735154543,140,24.3,5735154539,123,,5735154549,213,0.60,5735154545,141,77.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816194607,19,1,1,1,10,ak0rmms5xl49w57i2rvid1tk9,1,26.7,78.2,2025-05-18T01:08:13.499Z,2025-05-18T01:08:16Z,b9lt0sfts2zxf2ali8vpf0pn9,D. Lacroix,,,5735154725,56,Center,5735154729,141,72.0,5735154733,213,6.12,5735154731,212,26.2,5735154721,155,,5735154727,140,51.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816194635,20,1,1,1,14,ak0rmms5xl49w57i2rvid1tk9,1,51.3,72.0,2025-05-18T01:08:16.740Z,2025-05-18T01:08:20Z,3ljxfq84ubqzlooixppmpfdd6,J. Tejada,,,5735154885,56,Left,5735154891,212,6.1,5735154889,141,80.9,5735154887,140,51.6,5735154893,213,1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816194661,11,83,1,1,16,224tl8u2smnbyliroayk69nt0,0,45.5,3.2,2025-05-18T01:08:18.803Z,2025-05-18T01:08:56Z,8pli7fk5kjmt0f9pl6sjsltuy,P. Barnes,,,5735156883,399,drbcpa8qvrgin42q3it10nieh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816194637,21,61,1,1,17,ak0rmms5xl49w57i2rvid1tk9,0,51.6,80.9,2025-05-18T01:08:19.979Z,2025-05-18T02:06:37Z,drbcpa8qvrgin42q3it10nieh,Z. Zandi,,,5735154901,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816194681,12,5,1,1,20,224tl8u2smnbyliroayk69nt0,1,44.2,-1.2,2025-05-18T01:08:22.531Z,2025-05-18T04:09:00Z,8pli7fk5kjmt0f9pl6sjsltuy,P. Barnes,,,5735155127,347,,5735510639,233,22,5735155125,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816194659,22,5,1,1,20,ak0rmms5xl49w57i2rvid1tk9,0,55.8,101.2,2025-05-18T01:08:22.531Z,2025-05-18T04:09:01Z,drbcpa8qvrgin42q3it10nieh,Z. Zandi,,,5735510647,233,12,5735155011,56,Left,5735155013,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816194743,13,1,1,1,23,224tl8u2smnbyliroayk69nt0,1,45.3,0.0,2025-05-18T01:08:26.426Z,2025-05-18T03:43:36Z,8pli7fk5kjmt0f9pl6sjsltuy,P. Barnes,,,5735155425,56,Back,5735155433,213,2.81,5735155429,141,6.5,5735510733,107,,5735155427,140,30.9,5735155431,212,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816194765,14,1,1,1,27,224tl8u2smnbyliroayk69nt0,1,29.7,7.0,2025-05-18T01:08:29.690Z,2025-05-18T01:08:34Z,1445ppxg007udzcj6t20ceyju,R. Ydrach,,,5735155547,56,Back,5735155555,213,2.49,5735155551,141,34.6,5735155549,140,6.1,5735155553,212,31.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816194785,15,1,1,1,31,224tl8u2smnbyliroayk69nt0,0,6.8,32.8,2025-05-18T01:08:34.379Z,2025-05-18T01:08:36Z,a9lytq2ddavywxo7ib8uzbj6x,E. Dick,,,5735155711,1,,5735155709,213,6.12,5735155705,141,16.7,5735155699,157,,5735155707,212,66.4,5735155701,56,Right,5735155703,140,69.2,,,,,,,,,,,,,,,,,,,,,,,,,,
2816194819,23,1,1,1,33,ak0rmms5xl49w57i2rvid1tk9,0,36.4,76.6,2025-05-18T01:08:36.315Z,2025-05-18T01:08:40Z,b9lt0sfts2zxf2ali8vpf0pn9,D. Lacroix,,,5735155859,56,Left,5735155865,212,29.9,5735155867,213,0.59,5735155861,140,60.1,5735155857,3,,5735155863,141,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816194957,16,5,1,1,37,224tl8u2smnbyliroayk69nt0,1,41.5,-1.2,2025-05-18T01:08:39.930Z,2025-05-18T04:09:01Z,a9lytq2ddavywxo7ib8uzbj6x,E. Dick,,,5735156595,56,Back,5735156641,233,24,5735156597,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816194823,24,5,1,1,37,ak0rmms5xl49w57i2rvid1tk9,0,58.5,101.2,2025-05-18T01:08:39.930Z,2025-05-18T04:09:01Z,b9lt0sfts2zxf2ali8vpf0pn9,D. Lacroix,,,5735155887,56,Left,5735156649,233,16,5735155889,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816195065,17,1,1,1,55,224tl8u2smnbyliroayk69nt0,1,41.8,0.0,2025-05-18T01:08:57.890Z,2025-05-18T01:09:00Z,8pli7fk5kjmt0f9pl6sjsltuy,P. Barnes,,,5735157139,56,Right,5735157149,1,,5735157145,212,34.4,5735157141,140,73.2,5735157147,213,0.29,5735157137,107,,5735157143,141,12.9,,,,,,,,,,,,,,,,,,,,,,,,,,
2816195069,18,1,1,1,57,224tl8u2smnbyliroayk69nt0,0,73.2,12.9,2025-05-18T01:09:00.466Z,2025-05-18T01:09:01Z,9jfh2t3w4aqc4o4rvjfk7xey1,A. Williams,,,5735157175,140,68.2,5735157181,213,3.43,5735157179,212,5.5,5735157173,56,Right,5735157177,141,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816195127,26,1,1,1,59,ak0rmms5xl49w57i2rvid1tk9,1,33.8,73.5,2025-05-18T01:09:02.218Z,2025-05-18T01:09:06Z,drbcpa8qvrgin42q3it10nieh,Z. Zandi,,,5735157565,213,4.50,5735157559,140,31.5,5735157563,212,11.7,5735157557,56,Back,5735157561,141,56.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816195177,27,1,1,2,3,ak0rmms5xl49w57i2rvid1tk9,1,32.7,48.1,2025-05-18T01:09:06.485Z,2025-05-18T01:09:11Z,3djjepgynp4qnhgvvqh9oa1ka,A. Rocha,,,5735157831,141,57.0,5735157827,56,Back,5735157833,212,12.5,5735157835,213,2.64,5735157829,140,22.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816195199,28,1,1,2,8,ak0rmms5xl49w57i2rvid1tk9,1,25.2,54.3,2025-05-18T01:09:11.442Z,2025-05-18T01:09:13Z,dqekbs06e79n3vapj437pwyc,G. Metusala,,,5735157961,213,1.41,5735157953,141,78.5,5735157945,56,Back,5735157949,140,27.8,5735157957,212,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816195261,29,1,1,2,10,ak0rmms5xl49w57i2rvid1tk9,1,27.8,78.5,2025-05-18T01:09:12.898Z,2025-05-18T01:09:17Z,b9lt0sfts2zxf2ali8vpf0pn9,D. Lacroix,,,5735158287,56,Back,5735158295,213,5.96,5735158293,212,4.1,5735158289,140,31.5,5735158291,141,76.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816195311,30,1,1,2,15,ak0rmms5xl49w57i2rvid1tk9,1,53.3,90.3,2025-05-18T01:09:17.706Z,2025-05-18T01:09:21Z,drbcpa8qvrgin42q3it10nieh,Z. Zandi,,,5735158551,141,90.6,5735158553,212,27.3,5735158545,155,,5735158549,140,79.3,5735158547,56,Left,5735158555,213,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816195321,31,61,1,2,19,ak0rmms5xl49w57i2rvid1tk9,0,79.3,90.6,2025-05-18T01:09:21.635Z,2025-05-18T01:09:22Z,cfx7vo0kbjvcly2nf1b7papsk,Y. Hanya,,,5735158615,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816195353,19,4,1,2,22,224tl8u2smnbyliroayk69nt0,1,12.4,27.9,2025-05-18T01:09:24.642Z,2025-05-18T01:10:07Z,1445ppxg007udzcj6t20ceyju,R. Ydrach,,,5735158811,285,,5735161167,295,,5735158851,233,32,5735158805,56,Back,5735158807,152,,5735158801,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816195337,32,4,1,2,22,ak0rmms5xl49w57i2rvid1tk9,0,87.6,72.1,2025-05-18T01:09:24.643Z,2025-05-18T01:10:07Z,cfx7vo0kbjvcly2nf1b7papsk,Y. Hanya,,,5735158827,286,,5735158821,295,,5735158823,56,Center,5735158819,13,,5735158875,233,19,5735158825,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816195557,20,2,1,2,44,224tl8u2smnbyliroayk69nt0,1,13.4,33.3,2025-05-18T01:09:47.202Z,2025-05-18T01:09:55Z,a9lytq2ddavywxo7ib8uzbj6x,E. Dick,,,5735160017,152,,5735160389,1,,5735160013,5,,5735160061,189,,5735160391,56,Left,5735160387,7,9jfh2t3w4aqc4o4rvjfk7xey1,5735160021,140,93.0,5735160023,141,85.7,,,,,,,,,,,,,,,,,,,,,,,
2816195635,33,55,1,2,44,ak0rmms5xl49w57i2rvid1tk9,1,24.6,27.0,2025-05-18T01:09:47.203Z,2025-05-18T03:18:58Z,dqekbs06e79n3vapj437pwyc,G. Metusala,,,5735160501,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816195719,34,1,1,2,58,ak0rmms5xl49w57i2rvid1tk9,1,24.1,26.4,2025-05-18T01:10:01.250Z,2025-05-18T01:10:04Z,dqekbs06e79n3vapj437pwyc,G. Metusala,,,5735160959,56,Back,5735160955,5,,5735160965,212,19.0,5735160961,140,15.4,5735160967,213,2.07,5735160963,141,50.9,5735160957,241,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816195789,35,1,1,3,1,ak0rmms5xl49w57i2rvid1tk9,1,17.7,53.3,2025-05-18T01:10:04.482Z,2025-05-18T01:10:12Z,duuhalibp64gdz6nub5ub0ovd,C. Herrera,,,5735161357,212,17.5,5735161351,56,Back,5735161353,140,20.0,5735161359,213,1.43,5735161355,141,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816195811,36,1,1,3,9,ak0rmms5xl49w57i2rvid1tk9,1,32.0,48.7,2025-05-18T01:10:12.394Z,2025-05-18T01:10:16Z,b9lt0sfts2zxf2ali8vpf0pn9,D. Lacroix,,,5735161535,141,27.3,5735161539,213,5.20,5735161531,56,Back,5735161537,212,16.4,5735161533,140,39.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816195815,37,1,1,3,13,ak0rmms5xl49w57i2rvid1tk9,1,39.3,27.3,2025-05-18T01:10:15.713Z,2025-05-18T01:10:17Z,cnqxbvy77blk2ulx06t65it49,A. Fontana,,,5735161555,140,55.5,5735161559,141,11.9,5735161567,213,5.73,5735161563,212,20.0,5735161551,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816195823,38,1,1,3,14,ak0rmms5xl49w57i2rvid1tk9,1,55.5,11.9,2025-05-18T01:10:17.217Z,2025-05-18T01:10:19Z,7i29w1zl3m6xdnurdll08jsvd,M. Mahoney,,,5735161697,141,26.8,5735161695,140,63.2,5735161699,212,13.0,5735161693,56,Center,5735161701,213,0.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816195853,39,1,1,3,16,ak0rmms5xl49w57i2rvid1tk9,1,63.2,26.8,2025-05-18T01:10:19.106Z,2025-05-18T01:10:23Z,3ljxfq84ubqzlooixppmpfdd6,J. Tejada,,,5735161845,212,5.2,5735161839,56,Center,5735161843,141,30.6,5735161841,140,58.9,5735161847,213,2.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816195859,40,1,1,3,20,ak0rmms5xl49w57i2rvid1tk9,0,64.0,38.3,2025-05-18T01:10:22.833Z,2025-05-18T01:10:23Z,cnqxbvy77blk2ulx06t65it49,A. Fontana,,,5735161905,140,64.2,5735161909,212,0.3,5735161903,56,Center,5735161911,213,0.57,5735161907,141,38.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816195885,21,61,1,3,22,224tl8u2smnbyliroayk69nt0,1,33.3,60.6,2025-05-18T01:10:25.132Z,2025-05-18T01:10:25Z,6jsu34146kbtoeco3ue1a7ok4,J. Wälti,,,5735161989,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816195989,41,1,1,3,24,ak0rmms5xl49w57i2rvid1tk9,1,62.0,74.5,2025-05-18T01:10:26.665Z,2025-05-18T01:10:34Z,6oj55tf7cdnnnft350f9fyhnt,M. Real,,,5735162515,212,20.4,5735162509,56,Left,5735162513,141,86.6,5735162517,213,0.41,5735162511,140,79.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816196039,42,1,1,3,30,ak0rmms5xl49w57i2rvid1tk9,0,95.9,77.3,2025-05-18T01:10:33.025Z,2025-05-18T01:10:37Z,cfx7vo0kbjvcly2nf1b7papsk,Y. Hanya,,,5735162737,141,42.5,5735162741,213,4.53,5735162731,155,,5735162733,56,Center,5735162729,2,,5735162739,212,24.1,5735162735,140,91.8,,,,,,,,,,,,,,,,,,,,,,,,,,
2816196035,22,12,1,3,33,224tl8u2smnbyliroayk69nt0,1,10.9,55.7,2025-05-18T01:10:35.569Z,2025-05-18T01:10:37Z,6omt3lirajdcqxcbhzk9sobmx,G. Vacter,,,5735162715,213,5.07,5735162709,140,15.9,5735162713,212,15.1,5735162707,56,Back,5735162711,141,34.9,5735162757,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
