id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/10/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/14/value,qualifier/15/value
2789637573,55,61,1,0,7,83cpn99fh7ulkwe8nezy8a3mx,0,59.8,74.8,2025-03-16T20:38:44.381Z,2025-03-16T20:49:01Z,869lv47g5aohwwzeyzx9xmt7u,Z. Duncan,,,5588799135,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789633775,5,44,1,0,9,c9xffml4i7ihblp1qhus9w3fu,1,39.0,30.0,2025-03-16T20:38:45.963Z,2025-03-16T23:58:18Z,8t6b8q53ovws370a1b27s85jo,Roman Torres,,,5588765945,285,,5588802983,233,88,5588765943,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789639871,88,44,1,0,9,83cpn99fh7ulkwe8nezy8a3mx,0,61.0,70.0,2025-03-16T20:38:45.964Z,2025-03-16T23:58:18Z,d2ny0huv78m4m6p65y8eou7oq,T. Davila,,,5588803011,233,5,5588802909,286,,5588802907,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789633779,6,1,1,0,10,c9xffml4i7ihblp1qhus9w3fu,0,35.8,40.1,2025-03-16T20:38:46.610Z,2025-03-16T20:38:47Z,8t6b8q53ovws370a1b27s85jo,Roman Torres,,,5588765959,3,,5588765965,141,43.0,5588765969,213,0.19,5588765967,212,10.6,5588765961,56,Back,5588765963,140,45.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789633801,5,1,1,0,12,83cpn99fh7ulkwe8nezy8a3mx,0,36.6,66.4,2025-03-16T20:38:49.022Z,2025-03-16T22:53:44Z,e2rv433ve4ytatjl94dcz1hm2,Arturo Ordóñez,,,5588766069,56,Back,5588766075,212,5.4,5588766071,140,41.6,5588766073,141,68.5,5588766077,213,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789635273,27,1,1,0,15,c9xffml4i7ihblp1qhus9w3fu,1,36.6,39.5,2025-03-16T20:38:51.720Z,2025-03-16T20:51:40Z,8t6b8q53ovws370a1b27s85jo,Roman Torres,,,5588808967,56,Back,5588808973,212,15.6,5588808971,141,19.2,5588808975,213,5.20,5588808969,140,43.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789633839,8,1,1,0,16,c9xffml4i7ihblp1qhus9w3fu,1,42.5,20.6,2025-03-16T20:38:53.322Z,2025-03-16T20:52:15Z,dglf4uhg5wnc68cg8ijovfmy1,T. Preston,,,5588766267,140,35.3,5588766271,212,12.6,5588766273,213,4.07,5588766265,56,Back,5588766269,141,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789633845,9,1,1,0,18,c9xffml4i7ihblp1qhus9w3fu,0,35.3,5.8,2025-03-16T20:38:54.706Z,2025-03-16T20:53:07Z,beq6yluq1raxsrvxo77qlrf56,S. Turnbull,,,5588766311,140,64.8,5588766313,141,14.9,5588766309,56,Right,5588766317,213,0.20,5588766315,212,31.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789633881,6,12,1,0,19,83cpn99fh7ulkwe8nezy8a3mx,1,34.9,77.8,2025-03-16T20:38:56.048Z,2025-03-16T20:52:51Z,e2rv433ve4ytatjl94dcz1hm2,Arturo Ordóñez,,,5588766597,141,100.0,5588766593,56,Back,5588766595,140,44.3,5588766601,213,1.02,5588812869,167,,5588766599,212,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789633883,7,5,1,0,23,83cpn99fh7ulkwe8nezy8a3mx,0,42.2,101.8,2025-03-16T20:39:00.012Z,2025-03-16T23:57:43Z,e2rv433ve4ytatjl94dcz1hm2,Arturo Ordóñez,,,5588767035,233,10,5588766611,347,,5588766609,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789633947,10,5,1,0,23,c9xffml4i7ihblp1qhus9w3fu,1,57.8,-1.8,2025-03-16T20:39:00.012Z,2025-03-16T23:57:43Z,beq6yluq1raxsrvxo77qlrf56,S. Turnbull,,,5588767001,347,,5588766999,56,Right,5588767005,233,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789633979,11,1,1,0,32,c9xffml4i7ihblp1qhus9w3fu,1,63.6,0.0,2025-03-16T20:39:09.361Z,2025-03-16T20:39:13Z,beq6yluq1raxsrvxo77qlrf56,S. Turnbull,,,5588767199,140,71.7,5588767197,56,Right,5588767205,213,0.89,5588767195,107,,5588767201,141,13.4,5588767203,212,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789633985,12,50,1,0,36,c9xffml4i7ihblp1qhus9w3fu,1,70.6,25.0,2025-03-16T20:39:13.230Z,2025-03-16T22:43:20Z,2rsduabh7r8i29f9i6znwbfu1,R. Damus,,,5588767233,56,Center,5588767351,233,8,5588767235,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789633991,8,7,1,0,36,83cpn99fh7ulkwe8nezy8a3mx,1,29.4,75.0,2025-03-16T20:39:13.231Z,2025-03-16T22:43:20Z,42hi96pvzz8f69ixlcncn0549,K. Adams,,,5588767287,56,Back,5588767335,233,12,5588767289,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789634059,10,1,1,0,44,83cpn99fh7ulkwe8nezy8a3mx,0,16.2,86.6,2025-03-16T20:39:21.167Z,2025-03-16T20:39:23Z,9gvsswyf0gzxekrjdkpuqrh0p,S. Totsch,,,5588767685,213,0.04,5588767675,155,,5588767679,140,67.5,5588767687,1,,5588767677,56,Left,5588767681,141,90.0,5588767683,212,53.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789634101,13,12,1,0,50,c9xffml4i7ihblp1qhus9w3fu,1,29.3,30.1,2025-03-16T20:39:26.897Z,2025-03-16T21:34:59Z,beq6yluq1raxsrvxo77qlrf56,S. Turnbull,,,5588767933,140,34.7,5588767931,56,Back,5588767937,212,7.8,5588767939,213,0.75,5588958371,15,,5588767935,141,37.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789643603,150,1,1,0,50,83cpn99fh7ulkwe8nezy8a3mx,1,50.9,98.5,2025-03-16T20:39:27.034Z,2025-03-16T22:46:27Z,d2ny0huv78m4m6p65y8eou7oq,T. Davila,,,5588824135,3,,5588824145,213,5.77,5588824139,140,58.3,5588824137,56,Left,5588824143,212,8.9,5588824141,141,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789668879,337,83,1,0,51,c9xffml4i7ihblp1qhus9w3fu,0,41.4,23.4,2025-03-16T20:39:27.570Z,2025-03-16T22:45:59Z,5uv1a9rj5wot3wcgefjoxhkdm,J. Rufe,,,5589138207,399,35bpd9cmuep6cqczngaqpc19m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789634109,11,61,1,0,51,83cpn99fh7ulkwe8nezy8a3mx,0,49.7,77.6,2025-03-16T20:39:27.927Z,2025-03-16T20:39:28Z,35bpd9cmuep6cqczngaqpc19m,P. Goodrum,,,5588767987,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789634223,12,4,1,0,53,83cpn99fh7ulkwe8nezy8a3mx,1,59.3,82.1,2025-03-16T20:39:30.379Z,2025-03-16T23:58:17Z,35bpd9cmuep6cqczngaqpc19m,P. Goodrum,,,5589151003,265,,5589151001,152,,5589164637,233,15,5589150999,13,,5588768601,56,Left,5589151005,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789634145,15,4,1,0,53,c9xffml4i7ihblp1qhus9w3fu,0,40.7,17.9,2025-03-16T20:39:30.380Z,2025-03-16T23:58:17Z,5uv1a9rj5wot3wcgefjoxhkdm,J. Rufe,,,5589164617,13,,5589164619,152,,5589164645,233,12,5589164621,265,,5589164623,285,,5588768165,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789634243,13,1,1,1,2,83cpn99fh7ulkwe8nezy8a3mx,1,56.6,97.9,2025-03-16T20:39:39.399Z,2025-03-16T22:53:11Z,42hi96pvzz8f69ixlcncn0549,K. Adams,,,5588768715,213,3.75,5588768761,189,,5588768707,56,Back,5588768711,141,76.7,5588768713,212,25.1,5589152383,5,,5589152385,152,,5588768709,140,37.0,,,,,,,,,,,,,,,,,,,,,,,,
2789634277,14,1,1,1,5,83cpn99fh7ulkwe8nezy8a3mx,1,34.8,74.1,2025-03-16T20:39:42.407Z,2025-03-16T20:39:45Z,e2rv433ve4ytatjl94dcz1hm2,Arturo Ordóñez,,,5588768939,213,4.84,5588768937,212,23.7,5588768933,140,37.6,5588768931,56,Back,5588768935,141,39.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789634337,15,1,1,1,9,83cpn99fh7ulkwe8nezy8a3mx,0,47.2,33.7,2025-03-16T20:39:45.775Z,2025-03-16T20:39:50Z,9gvsswyf0gzxekrjdkpuqrh0p,S. Totsch,,,5588769265,141,19.8,5588769273,213,6.12,5588769261,140,100.0,5588769277,1,,5588769255,155,,5588769269,212,56.7,5588769257,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789634517,16,5,1,1,14,c9xffml4i7ihblp1qhus9w3fu,1,-0.8,81.7,2025-03-16T20:39:50.652Z,2025-03-16T23:57:44Z,ece6sffb02drwz4brwndn0rh0,R. Hamouda,,,5588770337,346,,5588770361,233,16,5588770335,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789634445,16,5,1,1,14,83cpn99fh7ulkwe8nezy8a3mx,0,100.8,18.3,2025-03-16T20:39:50.652Z,2025-03-16T23:57:44Z,9gvsswyf0gzxekrjdkpuqrh0p,S. Totsch,,,5588769969,56,Right,5588770369,233,16,5588769971,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789634537,17,1,1,1,37,c9xffml4i7ihblp1qhus9w3fu,1,4.5,42.4,2025-03-16T20:40:13.824Z,2025-03-16T20:40:51Z,5uv1a9rj5wot3wcgefjoxhkdm,J. Rufe,,,5588770421,124,,5588770423,56,Back,5588770427,141,50.6,5588770431,213,1.51,5588770435,237,,5588770425,140,4.8,5588772469,189,,5588770429,212,5.6,,,,,,,,,,,,,,,,,,,,,,,,
2789634553,18,1,1,1,38,c9xffml4i7ihblp1qhus9w3fu,0,5.1,51.5,2025-03-16T20:40:15.328Z,2025-03-16T20:40:17Z,dlcxvrsqhiz8ce0nqnh6h6dw5,M. Van Oekel,,,5588770523,213,0.55,5588770521,212,65.4,5588770519,141,100.0,5588770525,1,,5588770513,157,,5588770517,140,58.2,5588770515,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789634725,17,5,1,1,40,83cpn99fh7ulkwe8nezy8a3mx,1,40.0,-2.0,2025-03-16T20:40:17.180Z,2025-03-16T23:57:44Z,9gvsswyf0gzxekrjdkpuqrh0p,S. Totsch,,,5588771527,233,19,5588771487,347,,5588771483,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789634557,19,5,1,1,40,c9xffml4i7ihblp1qhus9w3fu,0,60.0,102.0,2025-03-16T20:40:17.180Z,2025-03-16T23:57:45Z,dlcxvrsqhiz8ce0nqnh6h6dw5,M. Van Oekel,,,5588771581,233,17,5588770535,347,,5588770533,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789634765,18,1,1,1,57,83cpn99fh7ulkwe8nezy8a3mx,1,36.9,0.0,2025-03-16T20:40:34.120Z,2025-03-16T20:40:38Z,9gvsswyf0gzxekrjdkpuqrh0p,S. Totsch,,,5588771719,107,,5588771725,141,8.5,5588771723,140,67.6,5588771721,56,Right,5588771731,1,,5588771727,212,33.0,5588771729,213,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789634773,19,44,1,2,0,83cpn99fh7ulkwe8nezy8a3mx,1,68.4,4.6,2025-03-16T20:40:37.479Z,2025-03-16T23:58:19Z,aomjkj5s52jkzgk3ljsz0osiy,E. Perez,,,5588771809,233,20,5588771769,56,Right,5588771771,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789634761,20,44,1,2,0,c9xffml4i7ihblp1qhus9w3fu,0,31.6,95.4,2025-03-16T20:40:37.480Z,2025-03-16T23:58:19Z,ece6sffb02drwz4brwndn0rh0,R. Hamouda,,,5588771835,233,19,5588771707,56,Back,5588771709,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789634791,20,1,1,2,1,83cpn99fh7ulkwe8nezy8a3mx,1,67.5,8.5,2025-03-16T20:40:38.246Z,2025-03-16T20:58:56Z,aomjkj5s52jkzgk3ljsz0osiy,E. Perez,,,5588771869,140,76.9,5588831273,168,,5588771875,213,6.26,5588771865,3,,5588771871,141,8.2,5588771873,212,9.9,5588771867,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789634803,21,1,1,2,3,83cpn99fh7ulkwe8nezy8a3mx,1,76.8,8.2,2025-03-16T20:40:40.342Z,2025-03-16T20:59:11Z,achy1l1rfq2d4ftn6l1esht9m,A. Pérez,,,5588771919,140,89.5,5588771925,213,0.60,5588771917,56,Center,5588771923,212,16.1,5588771921,141,21.5,5588832019,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789634843,22,50,1,2,6,83cpn99fh7ulkwe8nezy8a3mx,1,88.8,19.4,2025-03-16T20:40:43.247Z,2025-03-16T22:54:44Z,35bpd9cmuep6cqczngaqpc19m,P. Goodrum,,,5588772145,56,Right,5588772147,286,,5588772195,233,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789634837,21,7,1,2,6,c9xffml4i7ihblp1qhus9w3fu,1,11.2,80.6,2025-03-16T20:40:43.248Z,2025-03-16T22:43:20Z,5uv1a9rj5wot3wcgefjoxhkdm,J. Rufe,,,5588772127,285,,5588772185,233,22,5588772123,167,,5588772125,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789634839,22,6,1,2,7,c9xffml4i7ihblp1qhus9w3fu,0,9.4,81.0,2025-03-16T20:40:44.240Z,2025-03-16T20:40:50Z,5uv1a9rj5wot3wcgefjoxhkdm,J. Rufe,,,5588772169,56,Back,5588772311,233,23,5588772171,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789634851,23,6,1,2,7,83cpn99fh7ulkwe8nezy8a3mx,1,90.6,19.0,2025-03-16T20:40:44.240Z,2025-03-16T22:43:08Z,35bpd9cmuep6cqczngaqpc19m,P. Goodrum,,,5588772269,233,22,5588772261,56,Right,5588772705,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789635039,24,1,1,2,30,83cpn99fh7ulkwe8nezy8a3mx,0,99.7,0.5,2025-03-16T20:41:07.167Z,2025-03-16T20:41:09Z,d2ny0huv78m4m6p65y8eou7oq,T. Davila,,,5588773283,213,1.82,5588773271,155,,5588773273,223,,5588773281,212,34.1,5588773277,140,91.6,5588773267,2,,5588773275,56,Center,5588773285,1,,5588773279,141,49.0,5588773269,6,,,,,,,,,,,,,,,,,,,
2789635081,23,12,1,2,36,c9xffml4i7ihblp1qhus9w3fu,1,5.8,51.3,2025-03-16T20:41:12.895Z,2025-03-16T20:41:19Z,5uv1a9rj5wot3wcgefjoxhkdm,J. Rufe,,,5588773535,15,,5588773509,212,39.7,5588773503,140,42.8,5588773501,56,Back,5588773513,213,0.20,5588773505,141,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789635105,25,1,1,2,37,83cpn99fh7ulkwe8nezy8a3mx,1,63.3,41.2,2025-03-16T20:41:13.658Z,2025-03-16T21:01:04Z,869lv47g5aohwwzeyzx9xmt7u,Z. Duncan,,,5588773647,140,26.7,5588773655,1,,5588773651,212,38.9,5588773645,56,Back,5588773653,213,2.99,5588773649,141,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789635155,26,1,1,2,40,83cpn99fh7ulkwe8nezy8a3mx,0,23.9,50.0,2025-03-16T20:41:16.591Z,2025-03-16T21:02:34Z,a3k4grlhkn63p3xfb2rzslkdm,D. Las,,,5588773985,212,52.8,5588773989,1,,5588773979,56,Right,5588773987,213,5.85,5588773977,157,,5588773981,140,69.5,5588773983,141,17.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789646527,170,44,1,2,45,c9xffml4i7ihblp1qhus9w3fu,1,34.5,96.1,2025-03-16T20:41:22.448Z,2025-03-16T23:58:19Z,dlhfyk6fgvqt3zrr5qfj7c6w9,D. McCartney,,,5588844005,285,,5588844321,233,193,5588844003,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789646609,193,44,1,2,45,83cpn99fh7ulkwe8nezy8a3mx,0,65.5,3.9,2025-03-16T20:41:22.449Z,2025-03-16T23:58:20Z,d2ny0huv78m4m6p65y8eou7oq,T. Davila,,,5588844351,233,170,5588843685,286,,5588843683,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789635159,24,1,1,2,46,c9xffml4i7ihblp1qhus9w3fu,0,33.3,87.1,2025-03-16T20:41:23.303Z,2025-03-16T20:41:24Z,dlhfyk6fgvqt3zrr5qfj7c6w9,D. McCartney,,,5588774007,140,35.4,5588774003,3,,5588774005,56,Back,5588774011,212,2.2,5588774013,213,6.22,5588774009,141,86.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789635191,27,1,1,2,47,83cpn99fh7ulkwe8nezy8a3mx,1,65.8,19.7,2025-03-16T20:41:23.606Z,2025-03-16T20:41:28Z,d2ny0huv78m4m6p65y8eou7oq,T. Davila,,,5588774189,212,9.3,5588774185,140,62.9,5588774183,56,Center,5588774191,213,1.90,5588774187,141,32.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789670517,338,83,1,2,50,c9xffml4i7ihblp1qhus9w3fu,0,40.0,60.6,2025-03-16T20:41:26.570Z,2025-03-16T21:37:56Z,e6uww9a9ssp0n20ksoolesa8l,E. Martínez,,,5588969647,399,9gvsswyf0gzxekrjdkpuqrh0p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789648031,212,1,1,2,50,83cpn99fh7ulkwe8nezy8a3mx,1,61.0,20.7,2025-03-16T20:41:27.232Z,2025-03-16T21:04:27Z,9gvsswyf0gzxekrjdkpuqrh0p,S. Totsch,,,5588851029,213,1.86,5588851025,141,35.6,5588851021,56,Center,5588851023,140,58.1,5588851027,212,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789635195,28,50,1,2,51,83cpn99fh7ulkwe8nezy8a3mx,1,50.7,33.4,2025-03-16T20:41:28.343Z,2025-03-16T22:43:21Z,cxscznjyygtsgbajv08q04sq2,R. Serrano,,,5588774205,56,Center,5588774565,233,25,5588774207,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789635253,25,7,1,2,51,c9xffml4i7ihblp1qhus9w3fu,1,49.3,66.6,2025-03-16T20:41:28.344Z,2025-03-16T22:43:21Z,8t6b8q53ovws370a1b27s85jo,Roman Torres,,,5588774497,56,Back,5588774543,233,28,5588774499,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
