id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/8/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/9/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2823776513,6,1,1,0,8,kfq8fhwnmycbtad1u0fyefx0,1,31.7,25.4,2025-06-22T02:07:20.840Z,2025-06-22T02:07:22Z,d2yqubc3u7bjj96yqawjojod0,X. Gnaulati,,,5777496529,212,3.3,5777496531,213,2.43,5777496523,56,Back,5777496525,140,29.3,5777496527,141,28.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823776521,7,1,1,0,10,kfq8fhwnmycbtad1u0fyefx0,1,30.5,33.5,2025-06-22T02:07:22.256Z,2025-06-22T02:07:24Z,9x7teazvqgbnj3pnam6rf2xgp,W. Fonguck,,,5777496559,212,9.0,5777496561,213,6.21,5777496553,56,Back,5777496555,140,39.0,5777496557,141,32.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823776525,8,1,1,0,11,kfq8fhwnmycbtad1u0fyefx0,1,37.7,41.2,2025-06-22T02:07:24.136Z,2025-06-22T02:07:26Z,d2yqubc3u7bjj96yqawjojod0,X. Gnaulati,,,5777496583,213,0.76,5777496579,141,54.8,5777496581,212,13.4,5777496577,140,47.0,5777496575,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823776537,9,1,1,0,14,kfq8fhwnmycbtad1u0fyefx0,1,47.5,56.3,2025-06-22T02:07:26.663Z,2025-06-22T02:07:31Z,6d45ccicyo6dregi9cm4ad4kq,I. Paul,,,5777496641,140,47.5,5777496647,213,1.57,5777496643,141,75.8,5777496645,212,13.3,5777496639,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823776539,10,1,1,0,18,kfq8fhwnmycbtad1u0fyefx0,1,47.5,78.5,2025-06-22T02:07:31.036Z,2025-06-22T04:38:47Z,bnhjfu5p8tysruk7aep5dr1ex,G. Robinson,,,5777496659,213,3.40,5777496655,141,72.2,5777496653,140,31.9,5777496657,212,16.9,5777496651,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823776549,11,1,1,0,23,kfq8fhwnmycbtad1u0fyefx0,1,29.4,69.3,2025-06-22T02:07:36.153Z,2025-06-22T02:14:24Z,2ozy3ijlcknjqk0omzwd58x2i,A. Lara,,,5777496715,213,6.10,5777496707,56,Back,5777496713,212,8.8,5777496711,141,66.9,5777496709,140,37.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823776551,12,1,1,0,26,kfq8fhwnmycbtad1u0fyefx0,1,36.3,66.9,2025-06-22T02:07:38.312Z,2025-06-22T04:38:38Z,9x7teazvqgbnj3pnam6rf2xgp,W. Fonguck,,,5777496729,140,28.6,5777496731,141,69.6,5777496733,212,8.3,5777496735,213,2.92,5777496727,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823776559,13,1,1,0,26,kfq8fhwnmycbtad1u0fyefx0,1,28.6,69.6,2025-06-22T02:07:38.993Z,2025-06-22T02:14:28Z,2ozy3ijlcknjqk0omzwd58x2i,A. Lara,,,5777496769,56,Back,5777496771,140,11.4,5777496777,213,3.74,5777496773,141,51.3,5777496775,212,21.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823776565,14,1,1,0,29,kfq8fhwnmycbtad1u0fyefx0,0,11.4,51.3,2025-06-22T02:07:41.272Z,2025-06-22T02:07:42Z,isauuse3yqdwymvfne6ci385,Nico Campuzano,,,5777496793,155,,5777496805,1,,5777496803,213,0.91,5777496795,56,Back,5777496801,212,43.1,5777496799,141,100.0,5777496797,140,36.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823776589,7,5,1,0,29,5h878vnmkbuy2ummddprusxgq,1,63.5,-1.4,2025-06-22T02:07:42.244Z,2025-06-22T04:40:55Z,7ajceczjsu9ci4nqv9gg2860a,F. Daroma,,,5777496943,56,Right,5777496945,347,,5777496947,233,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823776569,15,5,1,0,29,kfq8fhwnmycbtad1u0fyefx0,0,36.5,101.4,2025-06-22T02:07:42.244Z,2025-06-22T04:40:56Z,isauuse3yqdwymvfne6ci385,Nico Campuzano,,,5777496951,233,7,5777496825,347,,5777496823,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823776609,8,1,1,0,43,5h878vnmkbuy2ummddprusxgq,1,63.8,0.0,2025-06-22T02:07:55.925Z,2025-06-22T02:08:01Z,7ll9dqayz9698v71x2pvgrspg,Á. Quezada,,,5777497029,140,81.4,5777497027,56,Right,5777497035,213,0.32,5777497033,212,19.5,5777497025,107,,5777497031,141,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823776607,16,83,1,0,48,kfq8fhwnmycbtad1u0fyefx0,0,20.6,92.4,2025-06-22T02:08:00.864Z,2025-06-22T02:08:03Z,2ozy3ijlcknjqk0omzwd58x2i,A. Lara,,,5777497049,399,cqmvrx028gh19yh8qh7w01y0a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823776611,9,61,1,0,49,5h878vnmkbuy2ummddprusxgq,0,81.4,6.4,2025-06-22T02:08:01.487Z,2025-06-22T02:08:01Z,cqmvrx028gh19yh8qh7w01y0a,R. Avila,,,5777497041,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823776615,17,1,1,0,50,kfq8fhwnmycbtad1u0fyefx0,0,18.1,92.9,2025-06-22T02:08:02.749Z,2025-06-22T02:08:04Z,2ozy3ijlcknjqk0omzwd58x2i,A. Lara,,,5777497057,212,0.4,5777497061,236,,5777497059,213,0.00,5777497063,233,10,5777497051,56,Back,5777497055,141,92.9,5777497053,140,18.5,5777497067,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823776613,10,74,1,0,50,5h878vnmkbuy2ummddprusxgq,1,81.4,6.4,2025-06-22T02:08:02.750Z,2025-06-22T02:10:04Z,3lndo247f4br8t6xxdvlij4a2,W. Cabrera,,,5777497047,285,,5777497045,56,Right,5777497073,233,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823776625,11,43,1,0,53,5h878vnmkbuy2ummddprusxgq,1,0.0,0.0,2025-06-22T02:08:05.638Z,2025-06-22T02:08:09Z,cqmvrx028gh19yh8qh7w01y0a,R. Avila,,,5777497109,286,0,5777497107,56,Right,5777497157,144,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823776631,12,61,1,0,54,5h878vnmkbuy2ummddprusxgq,1,81.4,7.0,2025-06-22T02:08:07.030Z,2025-06-22T03:16:32Z,cqmvrx028gh19yh8qh7w01y0a,R. Avila,,,5777497121,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823776629,18,61,1,0,54,kfq8fhwnmycbtad1u0fyefx0,0,17.5,92.0,2025-06-22T02:08:07.218Z,2025-06-22T04:38:40Z,2ozy3ijlcknjqk0omzwd58x2i,A. Lara,,,5777497115,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823776633,19,43,1,0,56,kfq8fhwnmycbtad1u0fyefx0,1,0.0,0.0,2025-06-22T02:08:08.328Z,2025-06-22T02:08:12Z,2ozy3ijlcknjqk0omzwd58x2i,A. Lara,,,5777497193,144,56,5777497131,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823776639,13,1,1,0,59,5h878vnmkbuy2ummddprusxgq,0,93.3,15.4,2025-06-22T02:08:11.919Z,2025-06-22T02:17:30Z,7ctc1xui7wk89o5v00z8ijqw9,E. Calvillo,,,5777506783,2,,5777502951,140,86.3,5777502957,213,1.90,5777502949,56,Center,5777502953,141,46.8,5777502955,212,22.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823776657,21,1,1,1,5,kfq8fhwnmycbtad1u0fyefx0,1,28.6,15.2,2025-06-22T02:08:17.921Z,2025-06-22T04:38:34Z,djz5cm1g7ouen2y4o7w35jbl6,L. Ivanovic,,,5777497263,141,28.3,5777497265,212,17.5,5777497261,140,14.3,5777497267,213,2.61,5777497259,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823776665,22,1,1,1,8,kfq8fhwnmycbtad1u0fyefx0,1,13.1,29.2,2025-06-22T02:08:21.248Z,2025-06-22T02:08:22Z,1j010cibh247p8kjchww6ny3u,N. Gordon,,,5777497319,213,1.94,5777497317,212,16.3,5777497311,56,Back,5777497313,140,7.5,5777497315,141,51.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823776673,23,1,1,1,10,kfq8fhwnmycbtad1u0fyefx0,1,7.5,51.6,2025-06-22T02:08:22.343Z,2025-06-22T02:08:27Z,isauuse3yqdwymvfne6ci385,Nico Campuzano,,,5777497381,212,14.7,5777497383,213,4.53,5777497379,141,30.4,5777497375,56,Back,5777497377,140,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823776683,24,1,1,1,15,kfq8fhwnmycbtad1u0fyefx0,1,14.2,22.1,2025-06-22T02:08:27.311Z,2025-06-22T02:08:30Z,1j010cibh247p8kjchww6ny3u,N. Gordon,,,5777497451,56,Back,5777497457,212,20.1,5777497453,140,7.7,5777497455,141,49.9,5777497459,213,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823776695,25,1,1,1,17,kfq8fhwnmycbtad1u0fyefx0,1,8.1,49.9,2025-06-22T02:08:30.225Z,2025-06-22T02:08:36Z,isauuse3yqdwymvfne6ci385,Nico Campuzano,,,5777497541,140,10.9,5777497547,213,1.42,5777497543,141,78.8,5777497545,212,19.9,5777497539,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823776697,26,1,1,1,24,kfq8fhwnmycbtad1u0fyefx0,1,13.5,77.9,2025-06-22T02:08:36.727Z,2025-06-22T04:38:32Z,2ozy3ijlcknjqk0omzwd58x2i,A. Lara,,,5777497557,141,54.5,5777497553,56,Back,5777497555,140,5.8,5777497559,212,17.8,5777497561,213,4.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823776711,27,1,1,1,26,kfq8fhwnmycbtad1u0fyefx0,1,4.6,52.1,2025-06-22T02:08:39.151Z,2025-06-22T02:08:44Z,isauuse3yqdwymvfne6ci385,Nico Campuzano,,,5777497629,212,20.8,5777497627,141,21.5,5777497625,140,3.6,5777497623,56,Back,5777497631,213,4.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823776713,28,1,1,1,31,kfq8fhwnmycbtad1u0fyefx0,1,13.8,21.1,2025-06-22T02:08:43.905Z,2025-06-22T02:08:45Z,1j010cibh247p8kjchww6ny3u,N. Gordon,,,5777497643,213,0.48,5777497641,212,14.7,5777497635,56,Back,5777497639,141,31.0,5777497637,140,26.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823776717,29,1,1,1,32,kfq8fhwnmycbtad1u0fyefx0,1,26.2,31.0,2025-06-22T02:08:44.986Z,2025-06-22T02:08:46Z,d2yqubc3u7bjj96yqawjojod0,X. Gnaulati,,,5777497669,141,14.5,5777497677,156,,5777497667,140,21.1,5777497671,212,12.4,5777497673,213,4.27,5777497665,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823776723,30,1,1,1,34,kfq8fhwnmycbtad1u0fyefx0,1,21.4,13.0,2025-06-22T02:08:46.887Z,2025-06-22T04:38:31Z,f2nxaemhqi8kbtbejnqekgd4a,J. Garcia,,,5777497703,56,Back,5777497711,213,0.41,5777497705,140,30.9,5777497707,141,19.3,5777497709,212,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823776725,31,1,1,1,36,kfq8fhwnmycbtad1u0fyefx0,1,34.1,23.2,2025-06-22T02:08:48.907Z,2025-06-22T02:20:28Z,5gc4aouty93b7kbin9cpgrdre,A. Søjberg,,,5777497719,140,28.6,5777497729,156,,5777497717,56,Back,5777497721,141,18.1,5777497725,213,3.68,5777497723,212,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823776727,32,61,1,1,38,kfq8fhwnmycbtad1u0fyefx0,0,28.2,17.3,2025-06-22T02:08:50.646Z,2025-06-22T03:17:35Z,d2yqubc3u7bjj96yqawjojod0,X. Gnaulati,,,5777497731,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823776735,16,1,1,1,39,5h878vnmkbuy2ummddprusxgq,1,70.6,79.4,2025-06-22T02:08:51.567Z,2025-06-22T02:08:54Z,2mgcta30puk8kuwb5mo4zvcnp,A. Moreno,,,5777497753,213,4.99,5777497749,141,50.3,5777497751,212,20.6,5777497745,56,Center,5777497747,140,75.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823776737,17,50,1,1,41,5h878vnmkbuy2ummddprusxgq,1,77.0,56.9,2025-06-22T02:08:53.925Z,2025-06-22T03:11:41Z,cqmvrx028gh19yh8qh7w01y0a,R. Avila,,,5777497757,56,Center,5777497759,286,,5777497775,233,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823776739,33,7,1,1,41,kfq8fhwnmycbtad1u0fyefx0,1,23.0,43.1,2025-06-22T02:08:53.926Z,2025-06-22T03:11:41Z,1j010cibh247p8kjchww6ny3u,N. Gordon,,,5777497763,56,Back,5777497765,285,,5777497771,233,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823776765,35,1,1,1,44,kfq8fhwnmycbtad1u0fyefx0,1,24.5,37.4,2025-06-22T02:08:56.352Z,2025-06-22T02:09:00Z,9x7teazvqgbnj3pnam6rf2xgp,W. Fonguck,,,5777497799,140,30.8,5777497801,141,76.1,5777497797,56,Back,5777497803,212,27.1,5777497805,213,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823776773,36,1,1,1,48,kfq8fhwnmycbtad1u0fyefx0,1,33.1,84.5,2025-06-22T02:09:00.856Z,2025-06-22T02:09:07Z,bnhjfu5p8tysruk7aep5dr1ex,G. Robinson,,,5777497849,140,66.9,5777497857,1,,5777497847,56,Left,5777497855,213,6.26,5777497853,212,35.5,5777497851,141,83.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823776771,18,83,1,1,52,5h878vnmkbuy2ummddprusxgq,0,25.9,23.2,2025-06-22T02:09:04.596Z,2025-06-22T02:16:49Z,7ll9dqayz9698v71x2pvgrspg,Á. Quezada,,,5777497887,399,6d45ccicyo6dregi9cm4ad4kq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823776777,37,1,1,1,54,kfq8fhwnmycbtad1u0fyefx0,1,88.5,71.3,2025-06-22T02:09:07.071Z,2025-06-22T02:09:17Z,6d45ccicyo6dregi9cm4ad4kq,I. Paul,1.0,,5777498007,210,15,5777497871,56,Center,5777497875,141,57.9,5777498009,154,,5777497873,140,88.4,5777497879,213,4.70,5777497877,212,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823776785,38,15,1,1,56,kfq8fhwnmycbtad1u0fyefx0,1,90.8,56.8,2025-06-22T02:09:08.335Z,2025-06-22T04:44:58Z,5gc4aouty93b7kbin9cpgrdre,A. Søjberg,,,5777498061,233,19,5777498029,29,,5777498039,103,17.1,5777497951,72,,5777498037,102,52.6,5777497917,56,Center,5777586377,23,,5777511479,76,,5777497915,17,5777498041,328,5777498043,146,98.8,5777498045,147,51.4,5777498033,55,37,5777498031,154,,,,,,,,,,,,,,,
2823776783,19,10,1,1,56,5h878vnmkbuy2ummddprusxgq,1,4.6,44.8,2025-06-22T02:09:08.435Z,2025-06-22T02:09:18Z,cuw4kvdf0bazq87mh3dwv71ii,S. Mora-Mora,,,5777497909,182,,5777497911,56,Back,5777497907,178,,5777498077,233,38,5777497905,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823776789,21,80,1,1,58,5h878vnmkbuy2ummddprusxgq,0,4.6,44.8,2025-06-22T02:09:10.572Z,2025-06-22T02:22:36Z,cuw4kvdf0bazq87mh3dwv71ii,S. Mora-Mora,,,5777512029,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823776825,22,1,1,2,11,5h878vnmkbuy2ummddprusxgq,1,4.9,46.4,2025-06-22T02:09:23.636Z,2025-06-22T02:22:38Z,cuw4kvdf0bazq87mh3dwv71ii,S. Mora-Mora,,,5777498131,140,26.8,5777498135,212,26.0,5777498133,141,28.7,5777498129,56,Back,5777498137,213,5.80,5777512099,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823779705,138,1,1,2,12,5h878vnmkbuy2ummddprusxgq,1,12.7,25.2,2025-06-22T02:09:24.595Z,2025-06-22T02:25:32Z,2mxaagzu9rb92z9880yjllbzd,W. Ackwei,,,5777514915,56,Back,5777514953,189,,5777514923,213,5.14,5777514921,212,13.7,5777514919,141,6.8,5777514917,140,18.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823776829,23,1,1,2,13,5h878vnmkbuy2ummddprusxgq,1,28.1,24.2,2025-06-22T02:09:25.372Z,2025-06-22T04:21:38Z,7ll9dqayz9698v71x2pvgrspg,Á. Quezada,,,5777498171,56,Back,5777498177,212,14.5,5777498173,140,41.9,5777498175,141,25.0,5777498179,213,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823776831,24,43,1,2,13,5h878vnmkbuy2ummddprusxgq,1,0.0,0.0,2025-06-22T02:09:26.197Z,2025-06-22T02:09:36Z,7ll9dqayz9698v71x2pvgrspg,Á. Quezada,,,5777498341,144,56,5777498183,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823776835,25,43,1,2,15,5h878vnmkbuy2ummddprusxgq,1,0.0,0.0,2025-06-22T02:09:27.933Z,2025-06-22T02:09:32Z,2mgcta30puk8kuwb5mo4zvcnp,A. Moreno,,,5777498213,285,0,5777498279,144,45,5777498211,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823776857,26,61,1,2,25,5h878vnmkbuy2ummddprusxgq,0,35.4,20.6,2025-06-22T02:09:37.733Z,2025-06-22T04:21:39Z,7ctc1xui7wk89o5v00z8ijqw9,E. Calvillo,,,5777498343,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
