id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/10/value,qualifier/11/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/15/value
2821733643,7,3,1,0,22,5h878vnmkbuy2ummddprusxgq,0,88.6,7.2,2025-06-08T02:06:47.657Z,2025-06-08T04:55:05Z,cqmvrx028gh19yh8qh7w01y0a,R. Avila,,5766045619,56,Right,5766045725,233,6,5766045621,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821733655,6,7,1,0,22,b5l2e3csycjb8twvq9ek0j5gq,1,11.4,92.8,2025-06-08T02:06:47.658Z,2025-06-08T04:55:04Z,3xd2kq7cxmvdbqsfzgi644c4q,J. Bravo,,5766045671,56,Back,5766045705,233,7,5766045673,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821733671,7,1,1,0,26,b5l2e3csycjb8twvq9ek0j5gq,0,7.6,91.7,2025-06-08T02:06:51.093Z,2025-06-08T02:06:55Z,3xd2kq7cxmvdbqsfzgi644c4q,J. Bravo,,5766045801,140,45.9,5766045805,212,40.2,5766045803,141,93.6,5766045799,56,Back,5766045797,157,,5766045807,213,0.03,5766045809,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821733681,8,1,1,0,32,5h878vnmkbuy2ummddprusxgq,1,55.5,11.1,2025-06-08T02:06:57.448Z,2025-06-08T02:06:58Z,8gy9wgqywaqi9uy6i31i0q21h,A. Ortíz,,5766045871,213,0.30,5766045869,212,8.0,5766045867,141,14.6,5766045863,56,Right,5766045865,140,62.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821733685,9,1,1,0,33,5h878vnmkbuy2ummddprusxgq,1,62.8,14.6,2025-06-08T02:06:58.585Z,2025-06-08T02:06:59Z,7ll9dqayz9698v71x2pvgrspg,Á. Quezada,,5766045903,212,9.6,5766045905,213,2.77,5766045901,141,19.7,5766045897,56,Right,5766045899,140,54.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821733697,10,1,1,0,34,5h878vnmkbuy2ummddprusxgq,1,54.3,19.7,2025-06-08T02:06:59.793Z,2025-06-08T02:07:02Z,7ajceczjsu9ci4nqv9gg2860a,F. Daroma,,5766045959,56,Back,5766045967,213,2.77,5766045965,212,11.0,5766045963,141,25.6,5766045961,140,44.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821733699,11,1,1,0,37,5h878vnmkbuy2ummddprusxgq,0,44.5,25.6,2025-06-08T02:07:02.577Z,2025-06-08T03:10:13Z,2mxaagzu9rb92z9880yjllbzd,W. Ackwei,,5766045985,212,38.9,5766045983,141,19.4,5766045981,140,81.3,5766045989,1,,5766045987,213,6.17,5766123473,155,,5766045979,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821733709,9,1,1,0,41,b5l2e3csycjb8twvq9ek0j5gq,1,15.9,73.3,2025-06-08T02:07:05.957Z,2025-06-08T02:07:10Z,3xd2kq7cxmvdbqsfzgi644c4q,J. Bravo,,5766046075,212,28.6,5766046073,141,88.7,5766046069,56,Back,5766046071,140,41.2,5766046077,213,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821746603,389,43,1,0,42,b5l2e3csycjb8twvq9ek0j5gq,1,0.0,0.0,2025-06-08T02:07:06.799Z,2025-06-08T03:04:24Z,2w7w1l7lwhu2u6nhvqg1bnd2h,N. Hackshaw,,5766118993,212,18.9,5766118995,213,5.84,5766118991,141,75.9,5766120125,144,1,5766118987,56,Back,5766118989,140,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821742013,274,1,1,0,42,b5l2e3csycjb8twvq9ek0j5gq,0,57.2,84.2,2025-06-08T02:07:07.513Z,2025-06-08T04:43:55Z,2w7w1l7lwhu2u6nhvqg1bnd2h,N. Hackshaw,,5766093679,212,7.5,5766093677,141,73.5,5766093681,213,4.98,5766093673,56,Center,5766093675,140,59.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821733707,12,4,1,0,45,5h878vnmkbuy2ummddprusxgq,1,59.5,12.2,2025-06-08T02:07:10.137Z,2025-06-08T04:19:41Z,,,,5766046157,233,10,5766046081,10,,5766046083,56,Right,5766046087,286,,5766046085,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821733711,10,4,1,0,45,b5l2e3csycjb8twvq9ek0j5gq,0,40.5,87.8,2025-06-08T02:07:10.138Z,2025-06-08T04:33:52Z,cclpvd1z3yyruciida1q3x4o9,P. Wilson,,5766046151,56,Back,5766046161,233,12,5766046153,152,,5766046155,285,,5766046149,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821733727,13,1,1,0,51,5h878vnmkbuy2ummddprusxgq,1,54.2,20.4,2025-06-08T02:07:16.553Z,2025-06-08T03:10:29Z,7ajceczjsu9ci4nqv9gg2860a,F. Daroma,,5766046201,213,2.23,5766046195,140,38.4,5766046191,56,Back,5766123647,189,,5766046199,212,26.9,5766046197,141,51.6,5766046187,5,,5766046189,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821733731,14,43,1,0,52,5h878vnmkbuy2ummddprusxgq,1,0.0,0.0,2025-06-08T02:07:17.664Z,2025-06-08T03:10:37Z,2mxaagzu9rb92z9880yjllbzd,W. Ackwei,,5766046231,213,1.07,5766046223,56,Back,5766046225,140,43.8,5766123777,144,1,5766046227,141,67.0,5766046229,212,11.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821733733,15,1,1,0,54,5h878vnmkbuy2ummddprusxgq,1,43.8,67.0,2025-06-08T02:07:19.369Z,2025-06-08T02:07:21Z,7vs1eqm82fwwuhwfqodb3dyw9,R. Ruiz,,5766046239,141,70.3,5766046241,212,20.8,5766046235,56,Center,5766046237,140,63.5,5766046245,213,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821733741,16,1,1,0,56,5h878vnmkbuy2ummddprusxgq,1,63.5,70.3,2025-06-08T02:07:21.649Z,2025-06-08T03:10:39Z,6fgxgq77v66va16tcuqvyn6x,Gabi Torres,,5766123783,156,,5766046279,212,21.8,5766046281,213,3.20,5766046277,141,68.5,5766046275,140,42.8,5766046273,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821733747,17,1,1,0,58,5h878vnmkbuy2ummddprusxgq,1,42.8,68.7,2025-06-08T02:07:23.265Z,2025-06-08T03:10:41Z,7vs1eqm82fwwuhwfqodb3dyw9,R. Ruiz,,5766046311,212,16.1,5766046313,213,4.04,5766046305,56,Back,5766046309,141,50.1,5766046307,140,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821733761,18,1,1,1,0,5h878vnmkbuy2ummddprusxgq,1,33.9,45.4,2025-06-08T02:07:25.033Z,2025-06-08T02:07:28Z,2mxaagzu9rb92z9880yjllbzd,W. Ackwei,,5766046387,56,Back,5766046389,140,40.2,5766046391,141,25.9,5766046393,212,14.8,5766046395,213,5.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821733773,19,1,1,1,3,5h878vnmkbuy2ummddprusxgq,1,41.9,21.9,2025-06-08T02:07:28.104Z,2025-06-08T02:07:30Z,8gy9wgqywaqi9uy6i31i0q21h,A. Ortíz,,5766046451,141,8.2,5766046453,212,9.6,5766046455,213,4.96,5766046447,56,Back,5766046449,140,44.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821733775,20,1,1,1,5,5h878vnmkbuy2ummddprusxgq,1,44.0,8.3,2025-06-08T02:07:30.169Z,2025-06-08T02:07:31Z,7ll9dqayz9698v71x2pvgrspg,Á. Quezada,,5766046469,141,23.4,5766046467,140,35.4,5766046473,213,2.29,5766046471,212,13.7,5766046465,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821733781,21,1,1,1,6,5h878vnmkbuy2ummddprusxgq,0,35.4,23.4,2025-06-08T02:07:31.745Z,2025-06-08T02:07:33Z,8gy9wgqywaqi9uy6i31i0q21h,A. Ortíz,,5766046501,213,0.20,5766046497,141,27.1,5766046495,140,47.3,5766046493,56,Back,5766046499,212,12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821733785,11,43,1,1,9,b5l2e3csycjb8twvq9ek0j5gq,1,0.0,0.0,2025-06-08T02:07:34.078Z,2025-06-08T04:35:07Z,2w7w1l7lwhu2u6nhvqg1bnd2h,N. Hackshaw,,5766046515,56,Back,5766190489,144,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821733819,13,1,1,1,11,b5l2e3csycjb8twvq9ek0j5gq,1,49.1,56.1,2025-06-08T02:07:36.684Z,2025-06-08T02:07:40Z,doseo9fbdr1a1srm0jhdqmr55,J. Sinisterra,,5766046679,212,9.7,5766046675,140,44.4,5766046681,213,4.18,5766046677,141,43.9,5766046673,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821733825,14,4,1,1,15,b5l2e3csycjb8twvq9ek0j5gq,1,50.7,48.3,2025-06-08T02:07:39.828Z,2025-06-08T03:03:46Z,e0879u9ckqe6xv1h2j8bqto9g,A. Elmasnaouy,,5766046791,233,22,5766046711,56,Center,5766046715,265,,5766046717,286,,5766046713,152,,5766046709,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821733829,22,4,1,1,15,5h878vnmkbuy2ummddprusxgq,0,49.3,51.7,2025-06-08T02:07:39.829Z,2025-06-08T03:03:16Z,6fgxgq77v66va16tcuqvyn6x,Gabi Torres,,5766046799,233,14,5766046765,13,,5766046771,265,,5766046773,285,,5766046767,56,Back,5766046769,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821733867,15,1,1,1,20,b5l2e3csycjb8twvq9ek0j5gq,1,50.2,53.6,2025-06-08T02:07:45.669Z,2025-06-08T03:04:20Z,4jq1xl8ott88bxfdo4bjm47hl,T. Gibson,,5766046969,56,Back,5766046975,212,8.6,5766046973,141,43.3,5766046967,152,,5766046971,140,45.5,5766046977,213,4.10,5766046965,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821733881,16,1,1,1,28,b5l2e3csycjb8twvq9ek0j5gq,1,45.5,43.3,2025-06-08T02:07:53.710Z,2025-06-08T02:07:58Z,e0879u9ckqe6xv1h2j8bqto9g,A. Elmasnaouy,,5766047063,141,8.9,5766047065,212,27.4,5766047061,140,59.0,5766047059,56,Right,5766047067,213,5.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821733883,17,3,1,1,33,b5l2e3csycjb8twvq9ek0j5gq,0,66.4,4.7,2025-06-08T02:07:58.279Z,2025-06-08T02:07:59Z,653qyopyxl1qrfmul2n3m5g16,M. Doner,,5766047083,211,,5766047079,286,,5766047077,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821733885,18,5,1,1,34,b5l2e3csycjb8twvq9ek0j5gq,0,71.0,-1.8,2025-06-08T02:07:59.152Z,2025-06-08T05:01:37Z,653qyopyxl1qrfmul2n3m5g16,M. Doner,,5766047091,347,,5766047089,56,Right,5766047129,233,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821733891,23,5,1,1,34,5h878vnmkbuy2ummddprusxgq,1,29.0,101.8,2025-06-08T02:07:59.152Z,2025-06-08T05:01:37Z,6fgxgq77v66va16tcuqvyn6x,Gabi Torres,,5766047123,233,18,5766047121,347,,5766047119,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821733899,24,1,1,1,38,5h878vnmkbuy2ummddprusxgq,1,23.0,100.0,2025-06-08T02:08:03.025Z,2025-06-08T02:08:06Z,7vs1eqm82fwwuhwfqodb3dyw9,R. Ruiz,,5766047153,213,5.86,5766047151,212,20.5,5766047143,107,,5766047145,56,Back,5766047149,141,89.4,5766047147,140,40.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821733901,25,61,1,1,41,5h878vnmkbuy2ummddprusxgq,0,39.1,94.2,2025-06-08T02:08:05.976Z,2025-06-08T02:08:06Z,6fgxgq77v66va16tcuqvyn6x,Gabi Torres,,5766047157,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821733915,19,5,1,1,41,b5l2e3csycjb8twvq9ek0j5gq,1,59.6,-1.2,2025-06-08T02:08:06.769Z,2025-06-08T05:01:37Z,653qyopyxl1qrfmul2n3m5g16,M. Doner,,5766047231,56,Right,5766047249,233,26,5766047235,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821733905,26,5,1,1,41,5h878vnmkbuy2ummddprusxgq,0,40.4,101.2,2025-06-08T02:08:06.769Z,2025-06-08T05:01:38Z,6fgxgq77v66va16tcuqvyn6x,Gabi Torres,,5766047171,56,Back,5766047253,233,19,5766047173,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821733923,20,1,1,1,45,b5l2e3csycjb8twvq9ek0j5gq,1,54.9,0.0,2025-06-08T02:08:09.966Z,2025-06-08T02:08:12Z,653qyopyxl1qrfmul2n3m5g16,M. Doner,,5766047281,56,Right,5766047283,140,53.2,5766047285,141,13.5,5766047279,107,,5766047289,213,1.75,5766047287,212,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821733925,21,1,1,1,47,b5l2e3csycjb8twvq9ek0j5gq,0,52.2,14.4,2025-06-08T02:08:11.813Z,2025-06-08T02:08:14Z,e0879u9ckqe6xv1h2j8bqto9g,A. Elmasnaouy,,5766047341,236,,5766047343,233,27,5766047311,141,10.1,5766047315,213,4.57,5766047313,212,3.0,5766047347,286,,5766047307,56,Right,5766047309,140,51.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821733929,27,74,1,1,47,5h878vnmkbuy2ummddprusxgq,1,34.7,94.8,2025-06-08T02:08:11.814Z,2025-06-08T04:34:59Z,6fgxgq77v66va16tcuqvyn6x,Gabi Torres,,5766047331,56,Back,5766047333,285,,5766047353,233,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821733939,28,3,1,1,49,5h878vnmkbuy2ummddprusxgq,0,44.4,91.6,2025-06-08T02:08:14.389Z,2025-06-08T02:08:32Z,2mgcta30puk8kuwb5mo4zvcnp,A. Moreno,,5766047667,233,22,5766047371,286,,5766047369,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821733941,22,7,1,1,49,b5l2e3csycjb8twvq9ek0j5gq,1,55.6,8.4,2025-06-08T02:08:14.390Z,2025-06-08T03:05:31Z,e0879u9ckqe6xv1h2j8bqto9g,A. Elmasnaouy,,5766047373,56,Right,5766047375,285,,5766047693,233,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821733955,23,4,1,1,51,b5l2e3csycjb8twvq9ek0j5gq,1,54.5,10.0,2025-06-08T02:08:16.021Z,2025-06-08T04:19:42Z,4e47ixpbc8x9qzn7l3aeej0tl,K. Greene,,5766120543,265,,5766120545,286,,5766120541,152,,5766120547,233,29,5766047483,56,Right,5766120539,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821733949,29,4,1,1,51,5h878vnmkbuy2ummddprusxgq,0,45.5,90.0,2025-06-08T02:08:16.022Z,2025-06-08T04:19:42Z,2mgcta30puk8kuwb5mo4zvcnp,A. Moreno,,5766047463,13,,5766047465,56,Back,5766120551,233,23,5766047467,152,,5766047469,265,,5766047471,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821733961,24,43,1,1,53,b5l2e3csycjb8twvq9ek0j5gq,1,0.0,0.0,2025-06-08T02:08:17.901Z,2025-06-08T03:05:35Z,4e47ixpbc8x9qzn7l3aeej0tl,K. Greene,,5766047525,56,Right,5766047523,13,0,5766047531,286,0,5766120505,144,4,5766047527,152,0,5766047529,265,0,5766049179,233,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821734045,25,1,1,2,23,b5l2e3csycjb8twvq9ek0j5gq,1,56.4,8.6,2025-06-08T02:08:48.631Z,2025-06-08T02:08:52Z,cxnq0rc4u1efzt82nw3xgk355,P. Armenakas,,5766048097,140,84.4,5766048089,5,,5766048093,152,,5766048095,56,Center,5766048091,155,,5766048099,141,73.3,5766048105,1,,5766048103,213,0.98,5766048087,2,5766048101,212,52.9,,,,,,,,,,,,,,,,,,,,,,
2821734927,47,1,1,2,27,b5l2e3csycjb8twvq9ek0j5gq,1,27.9,85.7,2025-06-08T02:08:52.273Z,2025-06-08T06:23:24Z,2w7w1l7lwhu2u6nhvqg1bnd2h,N. Hackshaw,1.0,5766052987,141,35.2,5766052989,212,61.2,5766206867,3,,5766052983,56,Center,5766052985,140,76.1,5766052991,213,5.69,5766207095,154,,5766052993,1,,5766207093,210,,,,15,,,,,,,,,,,,,,,,,,,,,
2821734075,27,15,1,2,30,b5l2e3csycjb8twvq9ek0j5gq,1,92.9,53.0,2025-06-08T02:08:55.253Z,2025-06-08T06:23:25Z,3xd2kq7cxmvdbqsfzgi644c4q,J. Bravo,,5766048625,102,52.6,5766048265,56,Center,5766048627,103,7.0,5766207099,76,,5766207103,154,,5766207105,55,47,5766207101,29,,5766048633,147,52.2,5766048631,146,5766048611,24,,98.9,5766207109,328,5766048613,72,5766048861,233,30,5766207097,17,,,,,,,,,,,,
2821734061,30,10,1,2,30,5h878vnmkbuy2ummddprusxgq,1,3.5,48.3,2025-06-08T02:08:55.353Z,2025-06-08T04:53:09Z,cuw4kvdf0bazq87mh3dwv71ii,S. Mora-Mora,,5766048209,56,Back,5766048207,182,,5766048205,178,,5766048203,173,,5766048869,233,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821734131,32,1,1,2,50,5h878vnmkbuy2ummddprusxgq,1,15.7,54.3,2025-06-08T02:09:15.344Z,2025-06-08T02:09:25Z,cuw4kvdf0bazq87mh3dwv71ii,S. Mora-Mora,,5766048705,199,,5766048715,213,0.13,5766048713,212,82.8,5766048711,141,70.5,5766048709,140,93.9,5766048717,1,,5766048839,189,,5766048707,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821734135,33,1,1,2,54,5h878vnmkbuy2ummddprusxgq,0,96.7,71.5,2025-06-08T02:09:18.992Z,2025-06-08T02:09:21Z,cqmvrx028gh19yh8qh7w01y0a,R. Avila,,5766048749,195,,5766048731,56,Center,5766048739,213,4.54,5766048737,212,14.2,5766048733,140,94.4,5766048735,141,50.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821734143,28,12,1,2,56,b5l2e3csycjb8twvq9ek0j5gq,1,9.9,63.0,2025-06-08T02:09:21.366Z,2025-06-08T02:09:23Z,2w7w1l7lwhu2u6nhvqg1bnd2h,N. Hackshaw,,5766048785,213,2.59,5766048783,212,13.3,5766048793,167,,5766048781,141,73.3,5766048779,140,0.0,5766048777,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
