id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/14/value,qualifier/17/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2790999909,8,1,1,0,16,aj8ytsr2ap33tod0hd8ofzaw9,1,32.4,38.9,2025-03-23T00:07:12.796Z,2025-03-23T00:07:15Z,5ku33b8dbb20fhqdg8h83rdyi,A. Rogers,,5596353509,56,Left,5596353519,213,0.85,5596353521,1,,5596353507,155,,5596353513,140,63.5,5596353515,141,93.5,5596353517,212,49.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790999931,9,1,1,0,19,aj8ytsr2ap33tod0hd8ofzaw9,0,63.5,93.5,2025-03-23T00:07:15.212Z,2025-03-23T00:07:17Z,dgpphcc9ql3pv3b4chhchml90,O. Damm,,5596353641,140,65.5,5596353639,56,Center,5596353643,141,76.3,5596353645,212,11.9,5596353647,213,4.89,5596353637,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790999943,4,12,1,0,24,6597wqy6gmpv3zjx7rp8cdj46,1,28.6,36.1,2025-03-23T00:07:20.804Z,2025-03-24T07:36:16Z,bjdoqj8tsm1wlxiqaavduwo9h,C. Donovan,,5596353721,56,Center,5596353729,213,6.13,5596353727,212,38.5,5596353723,140,64.8,5596353725,141,27.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790999951,10,12,1,0,26,aj8ytsr2ap33tod0hd8ofzaw9,1,40.0,77.2,2025-03-23T00:07:22.220Z,2025-03-23T00:07:23Z,d99eakp27bro9g50wpzti8rca,A. Cissoko,,5596353807,15,,5596353779,212,20.9,5596353775,140,51.8,5596353871,167,,5596353777,141,100.0,5596353781,213,0.94,5596353773,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790999995,12,43,1,0,26,aj8ytsr2ap33tod0hd8ofzaw9,1,0.0,0.0,2025-03-23T00:07:22.947Z,2025-03-23T00:14:48Z,d99eakp27bro9g50wpzti8rca,A. Cissoko,,5596353995,285,0,5596353993,56,Back,5596373929,144,44,5596354045,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790999967,5,43,1,0,26,6597wqy6gmpv3zjx7rp8cdj46,1,0.0,0.0,2025-03-23T00:07:22.948Z,2025-03-23T00:14:50Z,6u93ok0drr4byri2lu5g6rq0a,E. Conway,,5596374067,144,44,5596353847,56,Center,5596353849,286,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791000047,6,5,1,0,27,6597wqy6gmpv3zjx7rp8cdj46,1,48.0,-1.8,2025-03-23T00:07:23.390Z,2025-03-23T02:16:39Z,6u93ok0drr4byri2lu5g6rq0a,E. Conway,,5596354269,56,Back,5596354301,233,11,5596354271,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790999963,11,5,1,0,27,aj8ytsr2ap33tod0hd8ofzaw9,0,52.0,101.8,2025-03-23T00:07:23.390Z,2025-03-23T00:07:32Z,d99eakp27bro9g50wpzti8rca,A. Cissoko,,5596354305,233,6,5596353831,56,Left,5596353833,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791000061,7,1,1,0,35,6597wqy6gmpv3zjx7rp8cdj46,1,46.7,0.0,2025-03-23T00:07:31.708Z,2025-03-23T00:07:33Z,411grh3cytippnnanb767qvsa,Rafa Mentzingen,,5596354357,213,0.54,5596354355,212,24.5,5596354359,1,,5596354353,141,17.0,5596354347,107,,5596354349,56,Right,5596354351,140,66.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791000071,8,1,1,0,37,6597wqy6gmpv3zjx7rp8cdj46,0,66.8,17.0,2025-03-23T00:07:33.636Z,2025-03-23T02:12:47Z,ecipfh5r0gqsf0skgvgpu8cbu,Rodrigo da Costa,,5596354425,212,22.2,5596354423,141,20.7,5596354427,213,3.03,5596354419,56,Back,5596354421,140,45.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791003937,92,8,1,0,38,aj8ytsr2ap33tod0hd8ofzaw9,1,62.4,94.8,2025-03-23T00:07:34.869Z,2025-03-24T07:36:34Z,1d20nyyvmp0doobj6heejkowk,T. Calheira,,5596376259,56,Left,5598584165,383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791000075,13,43,1,0,39,aj8ytsr2ap33tod0hd8ofzaw9,1,0.0,0.0,2025-03-23T00:07:35.636Z,2025-03-23T00:16:09Z,1d20nyyvmp0doobj6heejkowk,T. Calheira,,5596377751,144,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791000091,14,61,1,0,41,aj8ytsr2ap33tod0hd8ofzaw9,0,69.2,83.5,2025-03-23T00:07:37.500Z,2025-03-24T07:36:47Z,1d20nyyvmp0doobj6heejkowk,T. Calheira,,5596354591,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791404457,805,61,1,0,41,6597wqy6gmpv3zjx7rp8cdj46,1,42.4,6.6,2025-03-23T00:07:37.795Z,2025-03-24T07:37:06Z,f21web74a70mly9i28jpa1yvp,C. Martin,,5598584389,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791000105,9,1,1,0,42,6597wqy6gmpv3zjx7rp8cdj46,1,45.9,16.2,2025-03-23T00:07:38.235Z,2025-03-23T02:12:48Z,ecipfh5r0gqsf0skgvgpu8cbu,Rodrigo da Costa,,5596354681,213,6.25,5596354675,140,65.3,5596354673,56,Right,5596354677,141,15.3,5596354679,212,20.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791000107,10,61,1,0,44,6597wqy6gmpv3zjx7rp8cdj46,1,62.7,11.4,2025-03-23T00:07:40.412Z,2025-03-23T02:12:50Z,411grh3cytippnnanb767qvsa,Rafa Mentzingen,,5596354687,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791000117,15,43,1,0,44,aj8ytsr2ap33tod0hd8ofzaw9,1,0.0,0.0,2025-03-23T00:07:40.413Z,2025-03-23T00:08:56Z,dgpphcc9ql3pv3b4chhchml90,O. Damm,,5596357537,144,7,5596354753,56,Back,5596354755,285,0,5596354757,233,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791005017,105,3,1,0,47,6597wqy6gmpv3zjx7rp8cdj46,1,54.8,13.0,2025-03-23T00:07:43.460Z,2025-03-24T07:36:56Z,f21web74a70mly9i28jpa1yvp,C. Martin,,5598584299,465,,5596383559,286,,5596384407,233,113,5596383557,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791005025,113,45,1,0,47,aj8ytsr2ap33tod0hd8ofzaw9,0,45.2,87.0,2025-03-23T00:07:43.460Z,2025-03-23T02:20:49Z,dgpphcc9ql3pv3b4chhchml90,O. Damm,,5596384377,56,Back,5596384411,233,105,5596384383,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791000129,11,43,1,0,48,6597wqy6gmpv3zjx7rp8cdj46,1,0.0,0.0,2025-03-23T00:07:44.125Z,2025-03-23T00:18:45Z,f21web74a70mly9i28jpa1yvp,C. Martin,,5596385835,144,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791000161,12,1,1,0,48,6597wqy6gmpv3zjx7rp8cdj46,1,64.9,15.3,2025-03-23T00:07:44.300Z,2025-03-23T00:07:47Z,f21web74a70mly9i28jpa1yvp,C. Martin,,5596354999,213,5.88,5596354991,140,74.5,5596354997,212,11.0,5596354995,141,8.9,5596354987,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791000173,13,1,1,0,50,6597wqy6gmpv3zjx7rp8cdj46,0,75.4,15.6,2025-03-23T00:07:46.820Z,2025-03-24T07:37:36Z,ecipfh5r0gqsf0skgvgpu8cbu,Rodrigo da Costa,,5596355079,140,100.0,5596355087,1,,5596355085,213,0.89,5598584575,223,,5598584577,72,,5596355077,56,Center,5596355075,155,,5596355083,212,42.0,5596355073,2,5596355081,141,63.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791000189,14,5,1,0,53,6597wqy6gmpv3zjx7rp8cdj46,0,100.6,65.0,2025-03-23T00:07:49.044Z,2025-03-23T02:16:39Z,ecipfh5r0gqsf0skgvgpu8cbu,Rodrigo da Costa,,5596355145,56,Center,5596355147,346,,5596356439,233,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791000409,16,5,1,0,53,aj8ytsr2ap33tod0hd8ofzaw9,1,-0.6,35.0,2025-03-23T00:07:49.044Z,2025-03-23T02:16:39Z,dgpphcc9ql3pv3b4chhchml90,O. Damm,,5596356385,56,Back,5596356387,346,,5596356389,233,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791000453,17,1,1,1,32,aj8ytsr2ap33tod0hd8ofzaw9,0,4.6,56.1,2025-03-23T00:08:28.788Z,2025-03-23T00:08:34Z,6j9gbfyvpr5lqp6aak54597ca,J. Peñaranda,,5596356641,212,62.6,5596356639,141,63.1,5596356635,56,Center,5596356637,140,64.0,5596356643,213,0.08,5596356649,74,,5596356633,124,,5596356645,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791000461,15,44,1,1,37,6597wqy6gmpv3zjx7rp8cdj46,1,36.0,38.8,2025-03-23T00:08:33.788Z,2025-03-23T02:12:53Z,8e6kj3506n4gum041dok8v1ex,R. Sommersall,,5596356685,56,Back,5596356687,285,,5596356689,233,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791000457,18,44,1,1,37,aj8ytsr2ap33tod0hd8ofzaw9,0,64.0,61.2,2025-03-23T00:08:33.789Z,2025-03-23T00:08:38Z,1d20nyyvmp0doobj6heejkowk,T. Calheira,,5596356669,286,,5596356667,56,Center,5596356707,233,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791000489,16,1,1,1,37,6597wqy6gmpv3zjx7rp8cdj46,0,44.4,28.6,2025-03-23T00:08:33.912Z,2025-03-24T07:38:11Z,8e6kj3506n4gum041dok8v1ex,R. Sommersall,,5596356871,212,15.8,5596356867,140,55.0,5596356865,56,Center,5596356863,3,,5596356869,141,45.0,5596356873,213,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791000473,19,1,1,1,39,aj8ytsr2ap33tod0hd8ofzaw9,1,45.6,48.8,2025-03-23T00:08:35.852Z,2025-03-23T00:20:12Z,2imizu6je16b3ssheijycxjh1,H. St Clair,,5596356755,140,69.2,5596356757,141,59.0,5596356759,212,25.7,5596356763,1,,5596356753,56,Center,5596356751,157,,5596356761,213,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791000483,20,1,1,1,41,aj8ytsr2ap33tod0hd8ofzaw9,0,69.2,59.0,2025-03-23T00:08:37.444Z,2025-03-23T00:08:38Z,1o7iht0ow216jvo5qm64akup6,S. Stojanovic,,5596356831,3,,5596356841,212,12.8,5596356839,141,68.2,5596356843,213,0.51,5596356833,168,,5596356835,56,Center,5596356837,140,79.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791000495,17,1,1,1,41,6597wqy6gmpv3zjx7rp8cdj46,0,27.1,31.2,2025-03-23T00:08:37.932Z,2025-03-23T00:08:40Z,6jdsh8ubirqphhurw5rr7kz8q,B. Washington,,5596356887,157,,5596356897,213,0.03,5596356893,141,34.3,5596356895,212,60.3,5596356891,140,84.5,5596356889,56,Center,5596356899,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791000533,21,1,1,1,44,aj8ytsr2ap33tod0hd8ofzaw9,0,37.7,68.2,2025-03-23T00:08:40.828Z,2025-03-23T00:08:43Z,2giowiodzndu5m2gwn79iiui1,L. Batista,,5596357047,212,53.9,5596357045,141,54.6,5596357051,1,,5596357049,213,6.11,5596357043,140,88.3,5596357039,157,,5596357041,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791000537,18,52,1,1,48,6597wqy6gmpv3zjx7rp8cdj46,1,12.0,52.2,2025-03-23T00:08:44.220Z,2025-03-24T07:38:35Z,ac5zpx8c09rtmidm654e67xsl,J. McGuire,,5598584785,377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791000725,19,1,1,2,5,6597wqy6gmpv3zjx7rp8cdj46,1,10.3,58.8,2025-03-23T00:09:01.925Z,2025-03-23T00:09:05Z,ac5zpx8c09rtmidm654e67xsl,J. McGuire,,5596358083,56,Center,5596358081,199,,5596358087,141,75.9,5596358085,140,65.8,5596358093,1,,5596358091,213,0.20,5596358089,212,59.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791000729,20,61,1,2,9,6597wqy6gmpv3zjx7rp8cdj46,1,65.4,75.6,2025-03-23T00:09:05.472Z,2025-03-23T00:09:05Z,8e6kj3506n4gum041dok8v1ex,R. Sommersall,,5596358097,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791000747,21,1,1,2,12,6597wqy6gmpv3zjx7rp8cdj46,0,61.7,92.6,2025-03-23T00:09:08.380Z,2025-03-23T00:09:12Z,68lho3sxw1cm1acgk4phg9wtm,A. Al-Qaq,,5596358195,140,63.1,5596358281,236,,5596358197,141,86.9,5596358283,233,22,5596358199,212,4.1,5596358193,56,Left,5596358287,286,,5596358201,213,5.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791000753,22,74,1,2,12,aj8ytsr2ap33tod0hd8ofzaw9,1,34.1,3.8,2025-03-23T00:09:08.381Z,2025-03-23T02:10:36Z,do5q14naxm61jw8px8qvacn4k,B. Diallo,,5596358223,285,,5596358289,233,21,5596358221,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791000771,22,5,1,2,14,6597wqy6gmpv3zjx7rp8cdj46,1,64.3,101.6,2025-03-23T00:09:09.980Z,2025-03-23T02:16:40Z,68lho3sxw1cm1acgk4phg9wtm,A. Al-Qaq,,5596358363,233,23,5596358357,347,,5596358355,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791000757,23,5,1,2,14,aj8ytsr2ap33tod0hd8ofzaw9,0,35.7,-1.6,2025-03-23T00:09:09.980Z,2025-03-23T02:16:40Z,do5q14naxm61jw8px8qvacn4k,B. Diallo,,5596358237,56,Back,5596358367,233,22,5596358239,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791000779,23,1,1,2,19,6597wqy6gmpv3zjx7rp8cdj46,1,56.3,100.0,2025-03-23T00:09:15.860Z,2025-03-23T00:09:17Z,5jo2bkbs00nbvcoik2i3nvuuh,E. Armstrong,,5596358407,140,64.2,5596358405,56,Left,5596358409,141,80.6,5596358413,213,5.23,5596358403,107,,5596358411,212,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791000785,24,1,1,2,20,6597wqy6gmpv3zjx7rp8cdj46,1,64.2,80.6,2025-03-23T00:09:16.932Z,2025-03-24T07:39:05Z,ecipfh5r0gqsf0skgvgpu8cbu,Rodrigo da Costa,,5596358447,213,2.55,5596358445,212,13.1,5596358443,141,91.4,5596358439,56,Left,5596358441,140,53.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791000809,25,1,1,2,22,6597wqy6gmpv3zjx7rp8cdj46,1,53.8,91.2,2025-03-23T00:09:18.868Z,2025-03-23T00:09:20Z,5jo2bkbs00nbvcoik2i3nvuuh,E. Armstrong,,5596358559,213,6.19,5596358549,56,Left,5596358551,140,65.9,5596358553,141,89.4,5596358555,212,12.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791000827,26,1,1,2,23,6597wqy6gmpv3zjx7rp8cdj46,1,65.9,89.4,2025-03-23T00:09:19.884Z,2025-03-23T00:09:22Z,ecipfh5r0gqsf0skgvgpu8cbu,Rodrigo da Costa,,5596358671,140,75.5,5596358677,213,5.34,5596358673,141,69.1,5596358675,212,17.1,5596358669,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791000829,27,50,1,2,26,6597wqy6gmpv3zjx7rp8cdj46,1,72.4,67.7,2025-03-23T00:09:22.715Z,2025-03-23T02:10:21Z,6u93ok0drr4byri2lu5g6rq0a,E. Conway,,5596358681,56,Center,5596358813,233,24,5596358683,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791000839,24,7,1,2,26,aj8ytsr2ap33tod0hd8ofzaw9,1,27.6,32.3,2025-03-23T00:09:22.716Z,2025-03-24T07:39:24Z,d99eakp27bro9g50wpzti8rca,A. Cissoko,,5596358745,285,,5598584963,384,,5596358785,233,27,5596358743,56,Back,5598584965,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791000849,25,43,1,2,27,aj8ytsr2ap33tod0hd8ofzaw9,1,0.0,0.0,2025-03-23T00:09:23.900Z,2025-03-23T00:09:30Z,do5q14naxm61jw8px8qvacn4k,B. Diallo,,5596359069,144,3,5596358775,286,0,5596358773,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791000859,26,43,1,2,29,aj8ytsr2ap33tod0hd8ofzaw9,1,0.0,0.0,2025-03-23T00:09:25.276Z,2025-03-23T00:09:29Z,do5q14naxm61jw8px8qvacn4k,B. Diallo,,5596359045,144,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
