id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/13/value
2803385839,11,1,1,0,30,2n3wgr89m7jl8tmioemit2pgq,1,80.2,100.0,2025-04-19T20:07:01.735Z,2025-04-19T21:06:51Z,8qqehla9xvhut6uua4a0zcju2,S. Anderson,,,5664461377,213,4.97,5664461371,140,85.5,5664461375,212,21.5,5664461373,141,70.3,5664724177,1,,5664461369,56,Center,5664724175,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803385873,12,1,1,0,36,2n3wgr89m7jl8tmioemit2pgq,1,85.5,70.3,2025-04-19T20:07:07.264Z,2025-04-19T21:06:23Z,dqvxmefhimxvxstvlz5yd7ysp,J. Farrell,,,5664461551,213,6.04,5664461543,56,Center,5664461545,140,90.3,5664461549,212,5.2,5664461547,141,68.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803385855,6,83,1,0,36,c9xffml4i7ihblp1qhus9w3fu,0,11.5,36.6,2025-04-19T20:07:07.827Z,2025-04-19T20:07:13Z,ece6sffb02drwz4brwndn0rh0,R. Hamouda,,,5664461865,399,5r88subg9jy8zg4y97tzwzxm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803386757,9,83,1,0,37,c9xffml4i7ihblp1qhus9w3fu,0,7.0,37.1,2025-04-19T20:07:07.875Z,2025-04-19T20:08:09Z,dlhfyk6fgvqt3zrr5qfj7c6w9,D. McCartney,,,5664466787,399,5r88subg9jy8zg4y97tzwzxm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803385917,13,1,1,0,37,2n3wgr89m7jl8tmioemit2pgq,1,95.2,67.1,2025-04-19T20:07:08.616Z,2025-04-19T21:06:58Z,5r88subg9jy8zg4y97tzwzxm1,K. Edwards,,,5664461753,213,2.10,5664461751,212,7.4,5664461745,140,91.6,5664461739,56,Center,5664461749,141,76.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803385929,14,61,1,0,38,2n3wgr89m7jl8tmioemit2pgq,0,90.2,77.8,2025-04-19T20:07:09Z,2025-04-19T21:07:03Z,8qqehla9xvhut6uua4a0zcju2,S. Anderson,,,5664461797,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803385933,7,12,1,0,39,c9xffml4i7ihblp1qhus9w3fu,1,6.1,37.6,2025-04-19T20:07:10.604Z,2025-04-19T20:07:48Z,ece6sffb02drwz4brwndn0rh0,R. Hamouda,,,5664465301,213,3.26,5664461825,56,Back,5664461823,167,,5664465297,141,36.2,5664465299,212,7.8,5664465295,140,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803385937,8,6,1,0,41,c9xffml4i7ihblp1qhus9w3fu,0,6.6,34.0,2025-04-19T20:07:12.565Z,2025-04-19T20:07:37Z,ece6sffb02drwz4brwndn0rh0,R. Hamouda,,,5664461847,73,,5664461845,56,Back,5664462417,233,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803386019,16,6,1,0,41,2n3wgr89m7jl8tmioemit2pgq,1,93.4,66.0,2025-04-19T20:07:12.565Z,2025-04-19T22:27:41Z,8qqehla9xvhut6uua4a0zcju2,S. Anderson,,,5664462367,233,8,5664462319,73,,5664462317,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803386869,17,1,1,1,36,2n3wgr89m7jl8tmioemit2pgq,0,99.6,99.5,2025-04-19T20:08:07.064Z,2025-04-19T20:08:10Z,8qqehla9xvhut6uua4a0zcju2,S. Anderson,,,5664466745,213,4.56,5664466739,141,46.1,5664466723,155,,5664466735,140,94.4,5664466719,6,,5664466717,2,,5664466839,1,,5664466741,212,36.7,5664466731,56,Center,5664466727,223,,,,,,,,,,,,,,,,,,,,,
2803390235,57,44,1,1,36,c9xffml4i7ihblp1qhus9w3fu,1,4.7,48.4,2025-04-19T20:08:07.835Z,2025-04-19T22:28:12Z,ece6sffb02drwz4brwndn0rh0,R. Hamouda,,,5664484993,56,Back,5664484995,285,,5664727457,233,359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803434087,359,44,1,1,37,2n3wgr89m7jl8tmioemit2pgq,0,95.3,51.6,2025-04-19T20:08:07.836Z,2025-04-19T22:28:12Z,38ghqgck8fwnxap6em08avzs9,J. Scarlett,,,5664727503,233,57,5664727439,286,,5664727437,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803386959,10,12,1,1,37,c9xffml4i7ihblp1qhus9w3fu,1,4.4,41.3,2025-04-19T20:08:08.331Z,2025-04-19T22:21:58Z,ece6sffb02drwz4brwndn0rh0,R. Hamouda,,,5664467209,140,9.7,5664467211,141,52.1,5664483361,56,Back,5664467215,213,0.92,5664467213,212,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803434189,360,44,1,1,40,2n3wgr89m7jl8tmioemit2pgq,1,94.4,43.0,2025-04-19T20:08:10.836Z,2025-04-19T21:08:06Z,5r88subg9jy8zg4y97tzwzxm1,K. Edwards,,,5664727965,286,,5664727963,56,Center,5664727991,233,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803390655,61,44,1,1,40,c9xffml4i7ihblp1qhus9w3fu,0,5.6,57.0,2025-04-19T20:08:10.837Z,2025-04-19T21:08:07Z,bxlh35ww96wgrsgfc8blou50p,M. Mensah,,,5664487369,56,Back,5664728017,233,360,5664487371,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803386931,18,15,1,1,40,2n3wgr89m7jl8tmioemit2pgq,1,96.4,45.8,2025-04-19T20:08:11.319Z,2025-04-19T22:40:04Z,5r88subg9jy8zg4y97tzwzxm1,K. Edwards,,,5664470081,15,,5664470079,25,,5664470083,78,,5665025573,214,,5664470091,328,,5664470093,458,,5664470097,147,47.8,5664470109,233,11,5664470085,102,49.9,5664470087,103,8.9,5664470095,146,98.5,5664467073,16,5664467075,56,Center,,,,,,,,,,,,
2803386965,11,10,1,1,40,c9xffml4i7ihblp1qhus9w3fu,1,2.4,51.7,2025-04-19T20:08:11.419Z,2025-04-19T23:21:30Z,dlcxvrsqhiz8ce0nqnh6h6dw5,M. Van Oekel,,,5664467239,178,,5664467245,56,Back,5664467243,182,,5664470145,233,18,5664467319,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803387065,13,1,1,1,46,c9xffml4i7ihblp1qhus9w3fu,0,13.9,43.6,2025-04-19T20:08:17.611Z,2025-04-19T20:08:19Z,dlcxvrsqhiz8ce0nqnh6h6dw5,M. Van Oekel,,,5664467681,140,60.3,5664467679,56,Center,5664467677,199,,5664467685,212,48.8,5664467683,141,47.2,5664467689,1,,5664467687,213,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803387117,19,1,1,1,51,2n3wgr89m7jl8tmioemit2pgq,0,38.1,25.3,2025-04-19T20:08:21.848Z,2025-04-19T20:08:41Z,16si0dgkuqvahp0x1bjr37xuc,Junior Moreira,,,5664467987,56,Center,5664467993,141,32.8,5664467989,140,51.7,5664467997,212,15.2,5664467985,3,,5664467999,213,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803387165,14,43,1,1,53,c9xffml4i7ihblp1qhus9w3fu,1,0.0,0.0,2025-04-19T20:08:24.227Z,2025-04-19T21:04:58Z,5uv1a9rj5wot3wcgefjoxhkdm,J. Rufe,,,5664717483,144,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803387187,15,1,1,1,53,c9xffml4i7ihblp1qhus9w3fu,0,35.3,31.2,2025-04-19T20:08:24.707Z,2025-04-19T20:08:25Z,5uv1a9rj5wot3wcgefjoxhkdm,J. Rufe,,,5664468299,155,,5664468317,213,1.17,5664468301,56,Back,5664468311,212,25.3,5664468305,141,65.5,5664468303,140,44.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803387205,20,61,1,1,56,2n3wgr89m7jl8tmioemit2pgq,0,57.5,14.9,2025-04-19T20:08:27.352Z,2025-04-19T20:08:27Z,7i9qesz7fugndupldntvshwd0,S. Careaga,,,5664468405,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803387289,16,1,1,2,0,c9xffml4i7ihblp1qhus9w3fu,1,33.4,82.6,2025-04-19T20:08:31.027Z,2025-04-19T20:08:32Z,7drelguz6c1htw10sq7zyxh0q,D. Trejo,,,5664468799,213,4.43,5664468797,212,11.0,5664468791,56,Back,5664468795,141,67.0,5664468793,140,30.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803387299,17,1,1,2,1,c9xffml4i7ihblp1qhus9w3fu,1,30.5,67.0,2025-04-19T20:08:32.227Z,2025-04-19T20:08:33Z,272w5ezobn1o53b3yxnbgjckq,K. Hernández-Foster,,,5664468851,140,34.2,5664468853,141,60.3,5664468855,212,6.0,5664468857,213,5.42,5664468849,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803387305,18,1,1,2,2,c9xffml4i7ihblp1qhus9w3fu,1,34.2,60.3,2025-04-19T20:08:33.203Z,2025-04-19T20:08:35Z,e6uww9a9ssp0n20ksoolesa8l,E. Martínez,,,5664468907,140,26.7,5664468909,141,33.9,5664468905,56,Back,5664468927,156,,5664468911,212,19.6,5664468913,213,4.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803387395,19,1,1,2,4,c9xffml4i7ihblp1qhus9w3fu,1,26.7,33.9,2025-04-19T20:08:34.899Z,2025-04-19T20:08:41Z,5uv1a9rj5wot3wcgefjoxhkdm,J. Rufe,,,5664469471,213,2.64,5664469465,140,11.2,5664469463,56,Back,5664469467,141,46.9,5664469469,212,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803387411,20,1,1,2,10,c9xffml4i7ihblp1qhus9w3fu,1,12.0,46.6,2025-04-19T20:08:41.043Z,2025-04-19T20:08:42Z,dlcxvrsqhiz8ce0nqnh6h6dw5,M. Van Oekel,,,5664469557,141,41.2,5664469559,212,18.8,5664469553,56,Back,5664469555,140,29.6,5664469561,213,6.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803387447,21,1,1,2,11,c9xffml4i7ihblp1qhus9w3fu,1,29.7,41.0,2025-04-19T20:08:42.539Z,2025-04-19T20:08:45Z,b708ir5u7r34j9oemje8f8z1m,S. McIllhatton,,,5664469761,56,Back,5664469763,140,36.1,5664469765,141,9.2,5664469769,213,5.01,5664469767,212,22.6,5664469759,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803387471,22,1,1,2,14,c9xffml4i7ihblp1qhus9w3fu,1,35.8,9.2,2025-04-19T20:08:45.762Z,2025-04-19T20:08:47Z,dlhfyk6fgvqt3zrr5qfj7c6w9,D. McCartney,,,5664469901,140,30.6,5664469903,141,18.2,5664469905,212,8.2,5664469899,56,Back,5664469907,213,2.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803387495,23,1,1,2,16,c9xffml4i7ihblp1qhus9w3fu,1,30.5,18.2,2025-04-19T20:08:47.547Z,2025-04-19T20:08:50Z,b708ir5u7r34j9oemje8f8z1m,S. McIllhatton,,,5664470059,56,Back,5664470067,213,4.41,5664470065,212,5.3,5664470063,141,10.7,5664470061,140,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803387537,24,1,1,2,19,c9xffml4i7ihblp1qhus9w3fu,1,28.9,10.7,2025-04-19T20:08:49.867Z,2025-04-19T20:08:54Z,dlhfyk6fgvqt3zrr5qfj7c6w9,D. McCartney,,,5664470357,56,Back,5664470359,140,13.6,5664470361,141,13.2,5664470365,213,3.04,5664470363,212,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803387557,25,1,1,2,23,c9xffml4i7ihblp1qhus9w3fu,0,14.8,10.3,2025-04-19T20:08:54.419Z,2025-04-19T20:08:56Z,5uv1a9rj5wot3wcgefjoxhkdm,J. Rufe,,,5664470471,212,47.0,5664470473,213,6.22,5664470463,155,,5664470475,1,,5664470467,140,59.5,5664470469,141,5.6,5664470465,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803387607,22,1,1,2,28,2n3wgr89m7jl8tmioemit2pgq,1,36.7,81.5,2025-04-19T20:08:59.737Z,2025-04-19T20:09:00Z,6tesoh4ckbbkisphokig9yqz8,E. Samadia,,,5664470711,213,3.30,5664470703,56,Back,5664470705,140,27.6,5664470707,141,79.3,5664470709,212,9.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803387629,23,1,1,2,29,2n3wgr89m7jl8tmioemit2pgq,1,27.6,79.3,2025-04-19T20:09:00.560Z,2025-04-19T20:09:02Z,38ghqgck8fwnxap6em08avzs9,J. Scarlett,,,5664470853,212,7.7,5664470851,141,84.4,5664470849,140,34.1,5664470847,56,Back,5664470855,213,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803387651,24,1,1,2,30,2n3wgr89m7jl8tmioemit2pgq,1,34.1,84.4,2025-04-19T20:09:01.808Z,2025-04-19T20:09:04Z,6tesoh4ckbbkisphokig9yqz8,E. Samadia,,,5664470955,56,Back,5664470957,140,23.5,5664470959,141,80.2,5664470961,212,11.5,5664470963,213,3.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803387733,25,1,1,2,33,2n3wgr89m7jl8tmioemit2pgq,1,25.1,78.2,2025-04-19T20:09:03.928Z,2025-04-19T20:09:08Z,38ghqgck8fwnxap6em08avzs9,J. Scarlett,,,5664471259,213,6.10,5664471257,212,10.8,5664471251,56,Back,5664471255,141,75.3,5664471253,140,35.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803387765,26,1,1,2,37,2n3wgr89m7jl8tmioemit2pgq,1,35.2,75.3,2025-04-19T20:09:08.577Z,2025-04-19T20:09:11Z,6rbvn6lklv4k19jq17erwym7d,J. Ingram,,,5664471459,56,Back,5664471461,140,31.1,5664471465,212,8.2,5664471463,141,65.1,5664471467,213,4.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803387819,27,1,1,2,40,2n3wgr89m7jl8tmioemit2pgq,1,31.1,64.6,2025-04-19T20:09:10.872Z,2025-04-19T20:09:15Z,dqvxmefhimxvxstvlz5yd7ysp,J. Farrell,,,5664471693,56,Back,5664471695,140,31.9,5664471699,212,13.4,5664471697,141,44.9,5664471701,213,4.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803387843,28,1,1,2,43,2n3wgr89m7jl8tmioemit2pgq,1,29.2,24.7,2025-04-19T20:09:14.832Z,2025-04-19T20:09:16Z,c7q476j0dkl7e4fhqqlsp5rai,T. Presthus,,,5664471797,212,13.9,5664471799,213,1.74,5664471795,141,44.9,5664471793,140,27.0,5664471791,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803387889,29,1,1,2,45,2n3wgr89m7jl8tmioemit2pgq,1,26.4,46.9,2025-04-19T20:09:16.512Z,2025-04-19T20:09:20Z,dqvxmefhimxvxstvlz5yd7ysp,J. Farrell,,,5664472099,212,11.5,5664472097,141,61.8,5664472101,213,1.08,5664472095,140,31.5,5664472093,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803387955,30,1,1,2,49,2n3wgr89m7jl8tmioemit2pgq,1,31.5,62.0,2025-04-19T20:09:20Z,2025-04-19T21:09:19Z,6rbvn6lklv4k19jq17erwym7d,J. Ingram,,,5664472435,140,24.8,5664472429,56,Back,5664472445,213,4.07,5664472443,212,11.8,5664472439,141,48.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803388037,31,1,1,2,54,2n3wgr89m7jl8tmioemit2pgq,1,25.9,57.7,2025-04-19T20:09:24.887Z,2025-04-19T21:09:22Z,dqvxmefhimxvxstvlz5yd7ysp,J. Farrell,,,5664472919,212,49.4,5664472917,141,87.7,5664472915,140,68.8,5664472911,155,,5664472913,56,Left,5664472921,213,0.43,5664472923,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803388043,32,61,1,2,55,2n3wgr89m7jl8tmioemit2pgq,0,76.5,93.3,2025-04-19T20:09:26.160Z,2025-04-19T21:09:26Z,6tesoh4ckbbkisphokig9yqz8,E. Samadia,,,5664472947,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803388131,26,5,1,2,58,c9xffml4i7ihblp1qhus9w3fu,1,23.2,-1.0,2025-04-19T20:09:29.659Z,2025-04-19T23:21:34Z,5uv1a9rj5wot3wcgefjoxhkdm,J. Rufe,,,5664473499,233,33,5664473399,56,Back,5664473401,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803388063,33,5,1,2,58,2n3wgr89m7jl8tmioemit2pgq,0,76.8,101.0,2025-04-19T20:09:29.659Z,2025-04-19T23:21:35Z,6tesoh4ckbbkisphokig9yqz8,E. Samadia,,,5664473539,233,26,5664473011,347,,5664473009,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803388281,27,1,1,3,14,c9xffml4i7ihblp1qhus9w3fu,1,25.7,0.0,2025-04-19T20:09:45.067Z,2025-04-19T20:09:47Z,dlhfyk6fgvqt3zrr5qfj7c6w9,D. McCartney,,,5664474219,107,,5664474225,141,8.3,5664474229,213,0.61,5664474227,212,12.1,5664474221,56,Back,5664474223,140,35.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803388287,28,50,1,3,15,c9xffml4i7ihblp1qhus9w3fu,1,34.8,15.2,2025-04-19T20:09:46.772Z,2025-04-19T20:09:53Z,dhi7890xe8zsmzhw2cad7sul1,T. Pasher,,,5664474249,56,Back,5664474343,233,34,5664474251,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803388291,34,7,1,3,15,2n3wgr89m7jl8tmioemit2pgq,0,65.2,84.8,2025-04-19T20:09:46.773Z,2025-04-19T20:09:52Z,6tesoh4ckbbkisphokig9yqz8,E. Samadia,,,5664474265,233,28,5664474253,56,Left,5664474255,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803388367,29,1,1,3,17,c9xffml4i7ihblp1qhus9w3fu,1,31.2,9.2,2025-04-19T20:09:48.474Z,2025-04-19T20:09:53Z,dlhfyk6fgvqt3zrr5qfj7c6w9,D. McCartney,,,5664474799,141,35.7,5664474789,56,Back,5664474795,140,14.3,5664474803,212,25.3,5664474805,213,2.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
