id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/11/value,qualifier/13/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/15/value
2819899969,6,1,1,0,43,7c9knuwazz9k9449u5rnuuy5m,1,12.2,93.3,2025-05-29T02:38:57.288Z,2025-05-29T02:38:59Z,20z2nx7xh9mgty7qp6xur14yy,G. Nigro,,,5755709643,141,85.7,5755709647,213,6.09,5755709645,212,26.5,5755709639,56,Back,5755709641,140,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819899973,7,1,1,0,45,7c9knuwazz9k9449u5rnuuy5m,1,40.1,84.5,2025-05-29T02:38:59.303Z,2025-05-29T02:42:19Z,o0a1acp618ig9detdym1m0pg,C. Pinzón,,,5755709661,212,16.0,5755709663,213,2.91,5755709659,141,89.9,5755709657,140,25.3,5755709667,156,,5755709655,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819899985,8,1,1,0,47,7c9knuwazz9k9449u5rnuuy5m,1,25.3,89.9,2025-05-29T02:39:01.799Z,2025-05-29T02:39:08Z,e6gr1t1rp2x7waywgzlrj8yqx,V. Noël,,,5755709723,141,24.1,5755709715,155,,5755709721,140,32.4,5755709717,196,,5755709719,56,Back,5755709729,1,,5755709727,213,4.88,5755709725,212,45.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819899987,9,1,1,0,54,7c9knuwazz9k9449u5rnuuy5m,0,67.2,10.0,2025-05-29T02:39:08.631Z,2025-05-29T02:39:09Z,4nwnrf33mdxscx5rdaw1529cl,Y. Boudadi,,,5755709735,140,75.9,5755709737,141,44.6,5755709741,213,1.20,5755709733,56,Center,5755709739,212,25.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819899989,6,61,1,0,55,2iwybwokic7nmr1t33abdbjoq,1,23.4,68.0,2025-05-29T02:39:09.618Z,2025-05-29T02:39:25Z,3csngjh4kjgpkfayppiwfbw2c,B. Montgomery,,,5755709957,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819900013,8,4,1,1,2,2iwybwokic7nmr1t33abdbjoq,1,21.2,85.6,2025-05-29T02:39:16.198Z,2025-05-29T02:39:25Z,d74g09o22jua08rgr8e71x4kq,R. Flood,,,5755709901,152,,5755709903,265,,5755709899,56,Back,5755709905,285,,5755709897,13,,5755709915,233,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819899999,10,4,1,1,2,7c9knuwazz9k9449u5rnuuy5m,0,78.8,14.4,2025-05-29T02:39:16.199Z,2025-05-29T02:39:26Z,4nwnrf33mdxscx5rdaw1529cl,Y. Boudadi,,,5755709819,286,,5755709817,265,,5755709815,152,,5755709813,56,Right,5755709811,13,,5755709921,233,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819900037,9,1,1,1,14,2iwybwokic7nmr1t33abdbjoq,1,19.6,68.9,2025-05-29T02:39:28.911Z,2025-05-29T02:44:36Z,3csngjh4kjgpkfayppiwfbw2c,B. Montgomery,,,5755710055,212,28.2,5755710045,5,,5755710057,213,4.51,5755710047,152,,5755710049,56,Back,5755710051,140,14.3,5755716035,189,,5755710053,141,28.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819900041,10,1,1,1,16,2iwybwokic7nmr1t33abdbjoq,1,14.3,28.3,2025-05-29T02:39:30.215Z,2025-05-29T02:39:33Z,e23yyl43xtcve09dx234uuj8,A. Essengue,,,5755710075,56,Back,5755710081,212,17.2,5755710079,141,9.8,5755710083,213,5.46,5755710077,140,25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819900043,11,1,1,1,19,2iwybwokic7nmr1t33abdbjoq,0,27.7,8.6,2025-05-29T02:39:33.105Z,2025-05-29T02:40:11Z,9xjixcn3jhf7m75dl49u0qe7e,C. Smith,,,5755710095,212,2.0,5755710091,140,29.5,5755710089,56,Back,5755710093,141,9.4,5755710097,213,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819900057,11,61,1,1,20,7c9knuwazz9k9449u5rnuuy5m,1,78.4,96.2,2025-05-29T02:39:34.292Z,2025-05-29T02:47:32Z,o0a1acp618ig9detdym1m0pg,C. Pinzón,,,5755710149,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819900767,52,61,1,1,22,7c9knuwazz9k9449u5rnuuy5m,1,65.0,93.8,2025-05-29T02:39:36.991Z,2025-05-29T02:48:50Z,6fgrix1m2a1zkn8kvd29nbcvd,D. Peeters,,,5755721187,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819900061,12,83,1,1,23,7c9knuwazz9k9449u5rnuuy5m,0,63.4,96.6,2025-05-29T02:39:37.607Z,2025-05-29T02:49:22Z,o0a1acp618ig9detdym1m0pg,C. Pinzón,,,5755719721,399,6ahu72g0u39bxbjiz7ggefai1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819900063,12,1,1,1,24,2iwybwokic7nmr1t33abdbjoq,0,32.5,4.1,2025-05-29T02:39:38.503Z,2025-05-29T02:39:40Z,6ahu72g0u39bxbjiz7ggefai1,N. Okello,,,5755710193,1,,5755710185,140,69.9,5755710191,213,0.27,5755710187,141,20.0,5755710189,212,40.7,5755710181,155,,5755710183,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819900071,13,12,1,1,29,7c9knuwazz9k9449u5rnuuy5m,1,20.2,80.0,2025-05-29T02:39:43.215Z,2025-05-29T02:39:47Z,8i5k1tx7x5hx4kk3qzyvrfj84,E. Gärtig,,,5755710225,213,0.68,5755710221,141,93.9,5755710217,56,Back,5755710219,140,31.4,5755710223,212,15.1,5755710247,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819900089,15,1,1,1,32,7c9knuwazz9k9449u5rnuuy5m,1,29.5,90.9,2025-05-29T02:39:46.912Z,2025-05-29T02:39:54Z,20z2nx7xh9mgty7qp6xur14yy,G. Nigro,,,5755710301,212,10.2,5755710303,213,0.45,5755710295,56,Back,5755710299,141,97.4,5755710297,140,38.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819900091,16,1,1,1,40,7c9knuwazz9k9449u5rnuuy5m,1,41.4,85.1,2025-05-29T02:39:54.119Z,2025-05-29T02:39:56Z,e6gr1t1rp2x7waywgzlrj8yqx,V. Noël,,,5755710323,212,12.4,5755710317,56,Back,5755710321,141,66.9,5755710325,213,4.77,5755710319,140,42.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819900101,17,1,1,1,42,7c9knuwazz9k9449u5rnuuy5m,1,43.1,63.1,2025-05-29T02:39:56.215Z,2025-05-29T02:39:58Z,o0a1acp618ig9detdym1m0pg,C. Pinzón,,,5755710363,212,21.0,5755710361,141,82.9,5755710365,213,2.45,5755710357,56,Back,5755710359,140,27.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819900107,18,1,1,1,44,7c9knuwazz9k9449u5rnuuy5m,1,30.3,79.4,2025-05-29T02:39:58.071Z,2025-05-29T02:40:01Z,6fgrix1m2a1zkn8kvd29nbcvd,D. Peeters,,,5755710391,212,45.1,5755710387,140,24.1,5755710395,1,,5755710383,196,,5755710389,141,13.7,5755710393,213,4.57,5755710385,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819900109,19,1,1,1,46,7c9knuwazz9k9449u5rnuuy5m,1,29.5,10.1,2025-05-29T02:40:00.871Z,2025-05-29T02:40:02Z,4nwnrf33mdxscx5rdaw1529cl,Y. Boudadi,,,5755710403,140,18.9,5755710401,56,Back,5755710409,213,2.28,5755710407,212,17.1,5755710405,141,29.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819900117,20,1,1,1,48,7c9knuwazz9k9449u5rnuuy5m,1,22.5,25.8,2025-05-29T02:40:02.447Z,2025-05-29T02:40:05Z,8i5k1tx7x5hx4kk3qzyvrfj84,E. Gärtig,,,5755710463,212,21.5,5755710457,56,Back,5755710465,213,2.42,5755710461,141,46.7,5755710459,140,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819900127,21,1,1,1,51,7c9knuwazz9k9449u5rnuuy5m,1,8.0,44.2,2025-05-29T02:40:05.320Z,2025-05-29T02:40:08Z,470xuwiwevwy86l2ararrkyga,R. Arozarena,,,5755710527,141,76.1,5755710523,56,Back,5755710531,213,1.51,5755710529,212,21.7,5755710525,140,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819900137,22,1,1,1,54,7c9knuwazz9k9449u5rnuuy5m,1,7.1,75.7,2025-05-29T02:40:08.304Z,2025-05-29T02:40:11Z,3u22kckqpecmgcw7ee3xrdppm,M. Howell,,,5755710583,141,97.2,5755710579,56,Back,5755710587,213,0.80,5755710585,212,20.4,5755710581,140,20.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819900145,23,1,1,1,57,7c9knuwazz9k9449u5rnuuy5m,1,23.1,95.1,2025-05-29T02:40:11.463Z,2025-05-29T02:40:14Z,20z2nx7xh9mgty7qp6xur14yy,G. Nigro,,,5755710627,212,28.6,5755710629,213,5.90,5755710625,141,79.3,5755710623,140,48.3,5755710621,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819900149,24,1,1,2,0,7c9knuwazz9k9449u5rnuuy5m,1,46.5,82.1,2025-05-29T02:40:14.167Z,2025-05-29T02:40:16Z,f3ftrudyp33naykboqmua0jro,J. Rodriguez,,,5755710639,141,65.4,5755710637,140,32.4,5755710635,56,Back,5755710641,212,18.7,5755710643,213,3.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819900151,25,1,1,2,2,7c9knuwazz9k9449u5rnuuy5m,0,32.9,65.5,2025-05-29T02:40:16.671Z,2025-05-29T04:56:08Z,e6gr1t1rp2x7waywgzlrj8yqx,V. Noël,,,5755710653,212,4.6,5755710651,141,58.8,5755710647,56,Back,5755710649,140,32.3,5755731167,233,13,5755710673,286,,5755710655,213,4.57,5755710667,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819900153,13,74,1,2,2,2iwybwokic7nmr1t33abdbjoq,1,63.1,16.7,2025-05-29T02:40:16.672Z,2025-05-29T03:38:36Z,6ahu72g0u39bxbjiz7ggefai1,N. Okello,,,5755710663,56,Right,5755710665,285,,5755731171,233,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819900165,15,1,1,2,6,2iwybwokic7nmr1t33abdbjoq,1,65.7,12.8,2025-05-29T02:40:20.360Z,2025-05-29T02:57:50Z,9xjixcn3jhf7m75dl49u0qe7e,C. Smith,,,5755710699,56,Center,5755710711,212,27.8,5755710703,140,90.4,5755710715,213,0.37,5755710707,141,27.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819900167,16,1,1,2,7,2iwybwokic7nmr1t33abdbjoq,1,90.4,27.4,2025-05-29T02:40:21.455Z,2025-05-29T02:40:22Z,4x3md4d2zvyvxlhtqp0ocvmqx,R. Cabral,,,5755710723,140,94.2,5755710721,56,Right,5755710727,212,12.7,5755710729,213,5.03,5755710725,141,9.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819900173,17,1,1,2,8,2iwybwokic7nmr1t33abdbjoq,0,94.2,9.7,2025-05-29T02:40:22.551Z,2025-05-29T02:58:36Z,c0of0cn2tec0yn2vtwdqgxxpl,I. Sacko,,,5755710771,213,1.74,5755710759,2,,5755710765,140,89.6,5755710767,141,50.4,5755710769,212,28.1,5755710763,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819900177,28,61,1,2,13,7c9knuwazz9k9449u5rnuuy5m,1,8.3,57.3,2025-05-29T02:40:27.831Z,2025-05-29T04:56:13Z,8i5k1tx7x5hx4kk3qzyvrfj84,E. Gärtig,,,5755710789,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819900197,18,5,1,2,14,2iwybwokic7nmr1t33abdbjoq,1,84.8,101.0,2025-05-29T02:40:28.519Z,2025-05-29T03:38:53Z,c0of0cn2tec0yn2vtwdqgxxpl,I. Sacko,,,5755710927,233,29,5755710909,347,,5755710907,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819900181,29,5,1,2,14,7c9knuwazz9k9449u5rnuuy5m,0,15.2,-1.0,2025-05-29T02:40:28.519Z,2025-05-29T03:38:53Z,8i5k1tx7x5hx4kk3qzyvrfj84,E. Gärtig,,,5755710931,233,18,5755710807,56,Back,5755710809,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819900207,19,1,1,2,25,2iwybwokic7nmr1t33abdbjoq,1,82.1,100.0,2025-05-29T02:40:39.159Z,2025-05-29T02:58:34Z,d74g09o22jua08rgr8e71x4kq,R. Flood,,,5755710949,213,5.09,5755710947,212,11.0,5755710945,141,85.5,5755710939,107,,5755710943,140,86.0,5755725705,189,,5755710941,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819900209,20,1,1,2,26,2iwybwokic7nmr1t33abdbjoq,1,86.0,85.5,2025-05-29T02:40:40.223Z,2025-05-29T02:40:40Z,74bhj4xi5zgq6evsr4c766p04,H. Avayevu,,,5755710953,56,Left,5755710959,212,3.0,5755710957,141,89.1,5755710961,213,0.94,5755710955,140,87.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819900213,21,1,1,2,26,2iwybwokic7nmr1t33abdbjoq,0,87.7,89.1,2025-05-29T02:40:40.775Z,2025-05-29T02:40:42Z,d74g09o22jua08rgr8e71x4kq,R. Flood,,,5755710977,56,Left,5755710979,140,73.4,5755710983,212,15.0,5755710981,141,90.6,5755710985,213,3.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819900229,31,1,1,2,30,7c9knuwazz9k9449u5rnuuy5m,1,28.6,5.8,2025-05-29T02:40:44.391Z,2025-05-29T02:40:46Z,f3ftrudyp33naykboqmua0jro,J. Rodriguez,,,5755711045,141,21.3,5755711047,212,10.9,5755711049,213,1.33,5755711041,56,Back,5755711043,140,31.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819900231,32,61,1,2,32,7c9knuwazz9k9449u5rnuuy5m,0,31.1,21.3,2025-05-29T02:40:46.375Z,2025-05-29T02:40:46Z,40qi53orb0eur2jevowkvrcb8,P. Leal,,,5755711053,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819900235,22,1,1,2,33,2iwybwokic7nmr1t33abdbjoq,0,74.2,86.0,2025-05-29T02:40:47.207Z,2025-05-29T02:40:47Z,d74g09o22jua08rgr8e71x4kq,R. Flood,,,5755711071,141,84.2,5755711075,213,3.84,5755711069,140,72.8,5755711073,212,1.9,5755711067,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819900243,33,61,1,2,34,7c9knuwazz9k9449u5rnuuy5m,1,22.8,12.9,2025-05-29T02:40:48.719Z,2025-05-29T02:40:48Z,40qi53orb0eur2jevowkvrcb8,P. Leal,,,5755711115,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819900251,34,3,1,2,34,7c9knuwazz9k9449u5rnuuy5m,0,22.8,9.4,2025-05-29T02:40:48.975Z,2025-05-29T04:56:37Z,613kkjtvfyf7mbvrqt9pcizmd,J. Gyau,,,5755727373,233,23,5755711145,56,Back,5755711437,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819900249,23,7,1,2,34,2iwybwokic7nmr1t33abdbjoq,0,77.2,90.6,2025-05-29T02:40:48.976Z,2025-05-29T03:00:59Z,d74g09o22jua08rgr8e71x4kq,R. Flood,,,5755711135,286,,5755711133,56,Left,5755727369,233,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819900275,35,50,1,2,38,7c9knuwazz9k9449u5rnuuy5m,1,24.0,8.5,2025-05-29T02:40:52.975Z,2025-05-29T02:54:05Z,613kkjtvfyf7mbvrqt9pcizmd,J. Gyau,,,5755711249,56,Back,5755711251,285,,5755711283,233,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819900277,24,7,1,2,38,2iwybwokic7nmr1t33abdbjoq,1,76.0,91.5,2025-05-29T02:40:52.976Z,2025-05-29T03:38:32Z,74bhj4xi5zgq6evsr4c766p04,H. Avayevu,,,5755711253,167,,5755711261,233,35,5755711257,286,,5755711255,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819900297,25,5,1,2,40,2iwybwokic7nmr1t33abdbjoq,0,71.2,101.4,2025-05-29T02:40:54.407Z,2025-05-29T03:38:54Z,74bhj4xi5zgq6evsr4c766p04,H. Avayevu,,,5755711353,347,,5755711351,56,Left,5755711363,233,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819900291,36,5,1,2,40,7c9knuwazz9k9449u5rnuuy5m,1,28.8,-1.4,2025-05-29T02:40:54.407Z,2025-05-29T03:38:53Z,613kkjtvfyf7mbvrqt9pcizmd,J. Gyau,,,5755711339,347,,5755711355,233,25,5755711337,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819900351,37,1,1,2,55,7c9knuwazz9k9449u5rnuuy5m,1,26.2,0.0,2025-05-29T02:41:09.920Z,2025-05-29T02:41:13Z,4nwnrf33mdxscx5rdaw1529cl,Y. Boudadi,,,5755711641,213,0.80,5755711633,56,Back,5755711631,107,,5755711637,141,10.6,5755711639,212,11.0,5755711635,140,33.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819900353,38,50,1,2,58,7c9knuwazz9k9449u5rnuuy5m,1,41.3,5.7,2025-05-29T02:41:12.767Z,2025-05-29T03:38:33Z,613kkjtvfyf7mbvrqt9pcizmd,J. Gyau,,,5755711645,56,Back,5755711647,286,,5755711697,233,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819900357,26,7,1,2,58,2iwybwokic7nmr1t33abdbjoq,1,58.7,94.3,2025-05-29T02:41:12.768Z,2025-05-29T03:38:32Z,39jhew6iao7uriko5shx2tnje,J. Scearce,,,5755711665,285,,5755711667,233,38,5755711663,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819900373,27,1,1,2,59,2iwybwokic7nmr1t33abdbjoq,1,50.8,94.7,2025-05-29T02:41:14.007Z,2025-05-29T03:03:38Z,d74g09o22jua08rgr8e71x4kq,R. Flood,,,5755711737,3,,5755711745,212,7.1,5755711739,56,Left,5755711747,213,6.15,5755711741,140,57.5,5755711743,141,93.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
