id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/11/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2818483937,6,1,1,0,11,daicfonrbj124lu2la2rctxck,0,29.7,93.8,2025-05-24T20:06:43.703Z,2025-05-24T21:01:43Z,3tb7ycl6z32sevjo8rxa590,A. Mabika,,5747848491,140,43.7,5748025995,155,,5747848495,212,14.8,5747848497,213,6.15,5747848489,56,Back,5747848493,141,90.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818483949,6,1,1,0,13,224tl8u2smnbyliroayk69nt0,1,67.2,11.3,2025-05-24T20:06:45.197Z,2025-05-24T21:04:23Z,8pli7fk5kjmt0f9pl6sjsltuy,P. Barnes,,5748033613,141,32.1,5748033609,3,,5748033619,213,2.42,5748033611,140,51.9,5748033617,212,21.4,5747848565,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818483963,7,44,1,0,14,224tl8u2smnbyliroayk69nt0,1,54.2,18.2,2025-05-24T20:06:45.949Z,2025-05-24T22:05:20Z,1445ppxg007udzcj6t20ceyju,R. Ydrach,,5747848645,233,7,5747848627,286,,5747848625,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818483959,7,44,1,0,14,daicfonrbj124lu2la2rctxck,0,45.8,81.8,2025-05-24T20:06:45.950Z,2025-05-24T22:05:21Z,9ch7zgxlcjiio0xbo2hhl2yvo,N. Fuson,,5747848651,233,7,5747848609,56,Back,5747848611,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818483977,8,1,1,0,14,224tl8u2smnbyliroayk69nt0,1,53.6,20.1,2025-05-24T20:06:46.733Z,2025-05-24T20:06:48Z,1445ppxg007udzcj6t20ceyju,R. Ydrach,,5747848685,140,59.3,5747848687,141,25.5,5747848683,56,Center,5747848689,212,7.0,5747848691,213,0.55,5747848681,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818483985,9,1,1,0,16,224tl8u2smnbyliroayk69nt0,1,59.3,25.5,2025-05-24T20:06:47.852Z,2025-05-24T20:06:49Z,6jsu34146kbtoeco3ue1a7ok4,J. Wälti,,5747848727,140,58.3,5747848725,56,Right,5747848731,212,4.2,5747848723,3,,5747848733,213,4.46,5747848729,141,19.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818483991,10,43,1,0,17,224tl8u2smnbyliroayk69nt0,1,0.0,0.0,2025-05-24T20:06:49.052Z,2025-05-24T20:07:09Z,c4va4gt5g10zm05qtucgyt889,D. Griffin,,5747848771,213,2.51,5747848763,56,Center,5747849265,144,1,5747848765,140,50.3,5747848767,141,28.6,5747848769,212,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818484001,8,4,1,0,19,daicfonrbj124lu2la2rctxck,1,43.8,76.8,2025-05-24T20:06:51.535Z,2025-05-24T21:21:41Z,9ch7zgxlcjiio0xbo2hhl2yvo,N. Fuson,,5747848835,13,,5747848837,56,Back,5747848841,265,,5747848839,152,,5747848939,233,11,5747848843,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818484005,11,4,1,0,19,224tl8u2smnbyliroayk69nt0,0,56.2,23.2,2025-05-24T20:06:51.536Z,2025-05-24T21:21:42Z,c4va4gt5g10zm05qtucgyt889,D. Griffin,,5747848929,56,Center,5747848927,13,,5747848933,265,,5747848935,285,,5747848943,233,8,5747848931,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818484133,9,1,1,0,49,daicfonrbj124lu2la2rctxck,1,41.7,77.0,2025-05-24T20:07:20.959Z,2025-05-24T20:07:22Z,3tb7ycl6z32sevjo8rxa590,A. Mabika,,5747849545,213,4.00,5747849535,152,,5747849537,56,Back,5747849543,212,13.1,5747849533,5,,5747849539,140,33.5,5747849541,141,62.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818484153,10,1,1,0,50,daicfonrbj124lu2la2rctxck,1,32.2,61.4,2025-05-24T20:07:21.998Z,2025-05-24T20:07:24Z,couplbg5c1wzrb14ycd8f7h0p,G. Stoneman,,5747849681,141,31.9,5747849677,56,Back,5747849683,212,21.8,5747849679,140,24.0,5747849685,213,4.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818484169,11,1,1,0,52,daicfonrbj124lu2la2rctxck,1,24.0,31.9,2025-05-24T20:07:24.758Z,2025-05-24T20:07:27Z,arrnspfznjcs9fmng4finp87p,Koke Vegas,,5747849763,213,0.34,5747849759,141,36.1,5747849761,212,8.5,5747849757,140,31.6,5747849755,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818484173,12,1,1,0,55,daicfonrbj124lu2la2rctxck,1,31.6,36.1,2025-05-24T20:07:27.526Z,2025-05-24T20:07:28Z,8pqvmz8g1yhe7hqqc1d68c4mi,C. Holstad,,5747849785,140,22.7,5747849787,141,29.8,5747849783,56,Back,5747849789,212,10.3,5747849791,213,3.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818484181,13,1,1,0,56,daicfonrbj124lu2la2rctxck,1,22.7,29.8,2025-05-24T20:07:28.222Z,2025-05-24T20:07:32Z,arrnspfznjcs9fmng4finp87p,Koke Vegas,,5747849871,140,28.9,5747849877,213,5.10,5747849875,212,17.2,5747849869,56,Back,5747849873,141,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818484185,14,1,1,1,0,daicfonrbj124lu2la2rctxck,0,28.9,6.4,2025-05-24T20:07:32.118Z,2025-05-24T20:07:33Z,f472o0229a6xev8qudf1tyf6y,F. Nodarse,,5747849911,1,,5747849901,56,Right,5747849903,140,68.5,5747849899,155,,5747849905,141,9.7,5747849907,212,41.6,5747849909,213,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818484207,12,1,1,1,2,224tl8u2smnbyliroayk69nt0,1,36.1,87.1,2025-05-24T20:07:34.060Z,2025-05-24T21:05:00Z,3g0rdzkjns986gn34vg3umiqy,S. Suber,,5747850013,213,0.29,5747850007,141,91.8,5747849997,3,,5747850003,140,46.2,5747850001,56,Back,5747850011,212,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818484225,14,1,1,1,4,224tl8u2smnbyliroayk69nt0,0,46.2,91.8,2025-05-24T20:07:35.804Z,2025-05-24T21:04:58Z,6omt3lirajdcqxcbhzk9sobmx,G. Vacter,,5747850093,140,58.6,5747850089,56,Left,5747850099,213,0.46,5747850097,212,14.6,5747850095,141,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818484259,15,5,1,1,6,daicfonrbj124lu2la2rctxck,1,44.6,-1.2,2025-05-24T20:07:38.086Z,2025-05-24T22:12:05Z,f472o0229a6xev8qudf1tyf6y,F. Nodarse,,5747850307,233,15,5747850279,347,,5747850277,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818484231,15,5,1,1,6,224tl8u2smnbyliroayk69nt0,0,55.4,101.2,2025-05-24T20:07:38.086Z,2025-05-24T22:12:05Z,69pe2d0b9ughzcn3iqarracr8,L. Biasi,,5747850133,56,Left,5747850135,347,,5747850311,233,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818484273,16,1,1,1,11,daicfonrbj124lu2la2rctxck,1,49.8,0.0,2025-05-24T20:07:42.870Z,2025-05-24T20:07:45Z,f472o0229a6xev8qudf1tyf6y,F. Nodarse,,5747850367,141,13.1,5747850365,140,57.7,5747850357,107,,5747850369,212,12.7,5747850363,56,Right,5747850371,213,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818484269,16,83,1,1,13,224tl8u2smnbyliroayk69nt0,0,35.8,80.2,2025-05-24T20:07:44.892Z,2025-05-24T20:07:47Z,e8rbnbqkrxia3lgt7agaid4kq,R. Mertz,,5747850417,399,9txqixk3uycvort3ntzkva1g5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818484277,17,1,1,1,13,daicfonrbj124lu2la2rctxck,0,60.6,15.6,2025-05-24T20:07:45.006Z,2025-05-24T20:07:45Z,9txqixk3uycvort3ntzkva1g5,Z. Herivaux,,5747850393,140,66.8,5747850403,213,0.51,5747850395,141,20.9,5747850399,212,7.4,5747850391,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818484281,17,8,1,1,14,224tl8u2smnbyliroayk69nt0,1,33.6,76.6,2025-05-24T20:07:46.532Z,2025-05-24T20:07:46Z,6omt3lirajdcqxcbhzk9sobmx,G. Vacter,,5747850415,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818484317,19,1,1,1,15,224tl8u2smnbyliroayk69nt0,1,37.3,69.9,2025-05-24T20:07:47.731Z,2025-05-24T21:05:18Z,6omt3lirajdcqxcbhzk9sobmx,G. Vacter,,5747850621,140,41.7,5747850625,212,8.3,5747850627,213,5.30,5747850619,56,Back,5747850623,141,59.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818484321,20,1,1,1,19,224tl8u2smnbyliroayk69nt0,0,49.6,71.1,2025-05-24T20:07:51.517Z,2025-05-24T21:05:21Z,aqqbh1ugeh2f8jjiq8fu2qwru,B. Jacquesson,,5747850641,213,0.68,5747850639,212,33.5,5747850637,141,100.0,5747850635,140,74.4,5747850633,56,Left,5747850643,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818484421,18,5,1,1,21,daicfonrbj124lu2la2rctxck,1,25.2,-1.8,2025-05-24T20:07:53.444Z,2025-05-24T22:12:06Z,9txqixk3uycvort3ntzkva1g5,Z. Herivaux,,5747851159,347,,5747851185,233,21,5747851157,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818484329,21,5,1,1,21,224tl8u2smnbyliroayk69nt0,0,74.8,101.8,2025-05-24T20:07:53.444Z,2025-05-24T22:12:06Z,aqqbh1ugeh2f8jjiq8fu2qwru,B. Jacquesson,,5747850689,56,Left,5747850691,347,,5747851201,233,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818484435,19,1,1,1,37,daicfonrbj124lu2la2rctxck,1,24.5,0.0,2025-05-24T20:08:08.926Z,2025-05-24T21:03:06Z,f472o0229a6xev8qudf1tyf6y,F. Nodarse,,5747851221,212,17.7,5747851223,213,0.43,5747851219,141,9.2,5747851213,107,,5747851235,189,,5747851215,56,Back,5747851217,140,39.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818515821,412,61,1,1,39,daicfonrbj124lu2la2rctxck,1,42.0,8.3,2025-05-24T20:08:10.773Z,2025-05-24T21:03:07Z,dltmx3e4llkcszs22cbfz92xg,J. Kwizera,,5748030289,189,,5748030055,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818484477,23,1,1,1,42,224tl8u2smnbyliroayk69nt0,1,61.6,93.5,2025-05-24T20:08:14.644Z,2025-05-24T21:06:10Z,6omt3lirajdcqxcbhzk9sobmx,G. Vacter,,5747851457,212,24.0,5747851455,141,88.4,5747851453,140,39.0,5748038313,189,,5747851461,213,3.29,5747851451,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818516979,392,1,1,1,44,224tl8u2smnbyliroayk69nt0,1,47.1,94.5,2025-05-24T20:08:15.773Z,2025-05-24T21:06:00Z,3g0rdzkjns986gn34vg3umiqy,S. Suber,,5748037861,56,Back,5748037869,213,3.99,5748037867,212,16.1,5748037865,141,76.7,5748037863,140,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818484495,24,1,1,1,45,224tl8u2smnbyliroayk69nt0,1,39.0,88.4,2025-05-24T20:08:16.972Z,2025-05-24T21:06:44Z,1445ppxg007udzcj6t20ceyju,R. Ydrach,,5747851543,56,Back,5747851549,212,17.2,5747851551,213,4.77,5747851547,141,63.1,5747851545,140,39.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818484505,25,43,1,1,47,224tl8u2smnbyliroayk69nt0,1,0.0,0.0,2025-05-24T20:08:19.428Z,2025-05-24T21:07:02Z,1445ppxg007udzcj6t20ceyju,R. Ydrach,,5747851597,56,Left,5747851605,213,0.85,5747851603,212,20.1,5748040593,144,1,5747851599,140,52.6,5747851601,141,85.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818484515,26,1,1,1,48,224tl8u2smnbyliroayk69nt0,1,52.5,85.3,2025-05-24T20:08:20.596Z,2025-05-24T20:08:22Z,6omt3lirajdcqxcbhzk9sobmx,G. Vacter,,5747851661,56,Center,5747851663,140,68.0,5747851669,213,5.86,5747851665,141,74.5,5747851667,212,17.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818484521,27,61,1,1,50,224tl8u2smnbyliroayk69nt0,0,68.0,74.5,2025-05-24T20:08:22.196Z,2025-05-24T21:07:03Z,e8rbnbqkrxia3lgt7agaid4kq,R. Mertz,,5747851687,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818484657,20,5,1,1,50,daicfonrbj124lu2la2rctxck,1,47.9,-1.5,2025-05-24T20:08:22.719Z,2025-05-24T22:12:07Z,f472o0229a6xev8qudf1tyf6y,F. Nodarse,,5747852531,233,28,5747852497,56,Back,5747852499,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818484529,28,5,1,1,50,224tl8u2smnbyliroayk69nt0,0,52.1,101.5,2025-05-24T20:08:22.719Z,2025-05-24T22:12:07Z,e8rbnbqkrxia3lgt7agaid4kq,R. Mertz,,5747851719,56,Left,5747852551,233,20,5747851721,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818484673,21,1,1,2,8,daicfonrbj124lu2la2rctxck,0,43.1,0.0,2025-05-24T20:08:40.424Z,2025-05-24T20:08:42Z,f472o0229a6xev8qudf1tyf6y,F. Nodarse,,5747852591,213,0.67,5747852581,107,,5747852583,56,Right,5747852589,212,18.4,5747852585,140,56.8,5747852587,141,15.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818484713,29,1,1,2,11,224tl8u2smnbyliroayk69nt0,1,39.9,60.3,2025-05-24T20:08:42.788Z,2025-05-24T21:07:16Z,c4va4gt5g10zm05qtucgyt889,D. Griffin,,5747852825,140,55.3,5747852827,141,47.5,5747852831,213,5.79,5747852821,3,,5747852823,56,Center,5747852829,212,18.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818517589,393,1,1,2,12,224tl8u2smnbyliroayk69nt0,1,53.4,79.3,2025-05-24T20:08:43.773Z,2025-05-24T21:07:31Z,aqqbh1ugeh2f8jjiq8fu2qwru,B. Jacquesson,,5748041869,140,57.6,5748041873,141,82.3,5748041877,213,0.43,5748041875,212,4.9,5748041865,3,,5748041867,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818484719,30,50,1,2,14,224tl8u2smnbyliroayk69nt0,1,58.8,67.1,2025-05-24T20:08:46.645Z,2025-05-24T21:22:01Z,e8rbnbqkrxia3lgt7agaid4kq,R. Mertz,,5747852851,56,Center,5747852887,233,22,5747852853,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818484717,22,7,1,2,14,daicfonrbj124lu2la2rctxck,0,41.2,32.9,2025-05-24T20:08:46.646Z,2025-05-24T21:22:00Z,9txqixk3uycvort3ntzkva1g5,Z. Herivaux,,5747852847,56,Back,5747852849,285,,5747852859,233,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818484729,31,83,1,2,16,224tl8u2smnbyliroayk69nt0,0,50.6,57.0,2025-05-24T20:08:48.252Z,2025-05-24T20:08:52Z,6jsu34146kbtoeco3ue1a7ok4,J. Wälti,,5747853121,399,711t32tk6qwl567dngcldfw15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818484753,23,1,1,2,20,daicfonrbj124lu2la2rctxck,1,45.0,32.1,2025-05-24T20:08:51.950Z,2025-05-24T20:08:53Z,711t32tk6qwl567dngcldfw15,M. Rodriguez,,5747853099,140,39.6,5747853105,213,1.80,5747853101,141,67.2,5747853103,212,24.5,5747853097,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818484757,32,83,1,2,21,224tl8u2smnbyliroayk69nt0,0,55.8,36.7,2025-05-24T20:08:53.092Z,2025-05-24T20:08:57Z,e8rbnbqkrxia3lgt7agaid4kq,R. Mertz,,5747853327,399,eg5pbxm7emj77mdcub4xp6m3u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818484785,24,1,1,2,21,daicfonrbj124lu2la2rctxck,1,39.6,67.2,2025-05-24T20:08:53.158Z,2025-05-24T20:08:56Z,eg5pbxm7emj77mdcub4xp6m3u,A. Sanchez,,5747853293,213,0.47,5747853289,141,87.2,5747853287,140,64.9,5747853285,56,Left,5747853291,212,29.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818484791,25,3,1,2,24,daicfonrbj124lu2la2rctxck,1,67.8,75.4,2025-05-24T20:08:56.223Z,2025-05-24T20:09:02Z,9ch7zgxlcjiio0xbo2hhl2yvo,N. Fuson,,5747853367,233,33,5747853335,56,Center,5747853337,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818484789,33,45,1,2,24,224tl8u2smnbyliroayk69nt0,0,32.2,24.6,2025-05-24T20:08:56.223Z,2025-05-24T21:07:57Z,8pli7fk5kjmt0f9pl6sjsltuy,P. Barnes,,5747853331,285,,5747853377,233,25,5747853329,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818484839,26,3,1,2,25,daicfonrbj124lu2la2rctxck,0,64.8,71.8,2025-05-24T20:08:57.294Z,2025-05-24T20:09:03Z,9ch7zgxlcjiio0xbo2hhl2yvo,N. Fuson,,5747853657,286,,5747853671,211,,5747853655,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818484805,34,43,1,2,25,224tl8u2smnbyliroayk69nt0,1,0.0,0.0,2025-05-24T20:08:57.294Z,2025-05-24T22:12:32Z,6omt3lirajdcqxcbhzk9sobmx,G. Vacter,,5747853441,285,0,5747853699,233,26,5747853439,56,Back,5748239083,144,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
