id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/10/value,qualifier/9/value,qualifier/13/value,qualifier/14/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2818692931,9,1,1,0,39,bk3zg8yaj5uoqhxzwons3bo8a,1,24.3,21.9,2025-05-25T02:07:09.807Z,2025-05-25T02:07:13Z,9imj5ig0i01uljnd3gd2cz1m,T. Maples,,,5748992261,141,46.4,5748992257,56,Back,5748992263,212,22.6,5748992265,213,2.31,5748992259,140,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818692941,10,1,1,0,43,bk3zg8yaj5uoqhxzwons3bo8a,1,11.8,48.1,2025-05-25T02:07:13.351Z,2025-05-25T02:07:16Z,zczt4alpawz5522hff8x39p1,A. Tambakis,,,5748992337,56,Back,5748992341,141,71.8,5748992345,213,0.94,5748992343,212,19.9,5748992339,140,22.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818692965,11,1,1,0,45,bk3zg8yaj5uoqhxzwons3bo8a,1,23.0,71.8,2025-05-25T02:07:15.863Z,2025-05-25T02:07:19Z,cvdn34vl3zje5uq54nvg77sut,K. Ryden,,,5748992503,213,0.61,5748992501,212,20.3,5748992499,141,88.9,5748992497,140,38.8,5748992495,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818692973,12,1,1,0,48,bk3zg8yaj5uoqhxzwons3bo8a,1,39.8,88.0,2025-05-25T02:07:19.063Z,2025-05-25T02:07:21Z,9za3fwnri7qk1dutb4iwmh6g9,C. Gloster,,,5748992521,56,Back,5748992529,213,4.53,5748992523,140,37.4,5748992525,141,68.4,5748992527,212,13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818692987,13,1,1,0,50,bk3zg8yaj5uoqhxzwons3bo8a,1,37.3,68.4,2025-05-25T02:07:21.022Z,2025-05-25T02:07:24Z,4fbaxgikw7z9sfhuz6vvnfmxh,G. Zelalem,,,5748992587,213,5.82,5748992583,141,57.8,5748992585,212,16.2,5748992581,140,51.1,5748992579,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818692993,14,1,1,0,53,bk3zg8yaj5uoqhxzwons3bo8a,0,50.3,56.4,2025-05-25T02:07:24.136Z,2025-05-25T02:07:25Z,caxfn5xu1taewgtxil6ah2rjd,Z. Bailey,,,5748992617,56,Center,5748992623,212,26.9,5748992615,155,,5748992619,140,67.4,5748992625,213,5.44,5748992621,141,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818693021,15,1,1,0,57,b5l2e3csycjb8twvq9ek0j5gq,1,31.1,65.1,2025-05-25T02:07:27.561Z,2025-05-25T02:07:29Z,69j92vzo1swgodk0g9g2ksqqy,B. Njie,,,5748992711,140,30.5,5748992709,56,Back,5748992713,141,49.6,5748992715,212,10.6,5748992717,213,4.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818693033,16,1,1,0,59,b5l2e3csycjb8twvq9ek0j5gq,1,30.6,42.8,2025-05-25T02:07:29.499Z,2025-05-25T02:07:32Z,2w7w1l7lwhu2u6nhvqg1bnd2h,N. Hackshaw,,,5748992787,212,8.7,5748992775,56,Back,5748992783,141,30.6,5748992789,213,4.41,5748992779,140,28.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818693049,17,1,1,1,1,b5l2e3csycjb8twvq9ek0j5gq,1,26.2,29.1,2025-05-25T02:07:32.010Z,2025-05-25T02:07:36Z,4e47ixpbc8x9qzn7l3aeej0tl,K. Greene,,,5748992859,56,Back,5748992865,212,13.5,5748992863,141,11.3,5748992867,213,5.16,5748992861,140,31.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818693061,18,1,1,1,5,b5l2e3csycjb8twvq9ek0j5gq,0,30.8,14.4,2025-05-25T02:07:36.139Z,2025-05-25T02:07:37Z,evk0esdocrzt5zxqmv4ostdcl,J. Damm,,,5748992913,212,14.2,5748992915,213,0.25,5748992907,56,Back,5748992911,141,19.5,5748992909,140,43.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818693091,15,1,1,1,11,bk3zg8yaj5uoqhxzwons3bo8a,0,46.0,78.2,2025-05-25T02:07:41.567Z,2025-05-25T02:07:42Z,cvdn34vl3zje5uq54nvg77sut,K. Ryden,,,5748993069,213,0.87,5748993061,56,Left,5748993067,212,20.1,5748993063,140,58.3,5748993065,141,100.0,5748993059,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818693097,16,5,1,1,11,bk3zg8yaj5uoqhxzwons3bo8a,0,54.0,100.8,2025-05-25T02:07:41.810Z,2025-05-25T03:04:59Z,cvdn34vl3zje5uq54nvg77sut,K. Ryden,,,5748993097,233,19,5748993087,347,,5748993085,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818693093,19,5,1,1,11,b5l2e3csycjb8twvq9ek0j5gq,1,46.0,-0.8,2025-05-25T02:07:41.810Z,2025-05-25T03:04:58Z,evk0esdocrzt5zxqmv4ostdcl,J. Damm,,,5748993077,347,,5748993075,56,Back,5748993089,233,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818693185,20,1,1,1,23,b5l2e3csycjb8twvq9ek0j5gq,1,52.7,0.0,2025-05-25T02:07:53.412Z,2025-05-25T02:07:57Z,evk0esdocrzt5zxqmv4ostdcl,J. Damm,,,5748993535,212,18.0,5748993533,141,16.2,5748993537,213,0.74,5748993527,107,,5748993531,140,65.3,5748993529,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818693187,21,61,1,1,26,b5l2e3csycjb8twvq9ek0j5gq,0,65.3,16.2,2025-05-25T02:07:57.050Z,2025-05-25T02:08:44Z,cclpvd1z3yyruciida1q3x4o9,P. Wilson,,,5748993553,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818693209,17,1,1,1,27,bk3zg8yaj5uoqhxzwons3bo8a,1,37.4,69.3,2025-05-25T02:07:57.704Z,2025-05-25T02:08:00Z,4fbaxgikw7z9sfhuz6vvnfmxh,G. Zelalem,,,5748993653,56,Back,5748993661,213,2.06,5748993651,3,,5748993659,212,13.0,5748993655,140,31.6,5748993657,141,86.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818693225,18,1,1,1,30,bk3zg8yaj5uoqhxzwons3bo8a,1,31.5,86.2,2025-05-25T02:08:00.344Z,2025-05-25T02:08:02Z,9za3fwnri7qk1dutb4iwmh6g9,C. Gloster,,,5748993733,155,,5748993741,212,31.3,5748993743,213,3.55,5748993739,141,68.1,5748993735,56,Back,5748993737,140,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818693233,19,1,1,1,32,bk3zg8yaj5uoqhxzwons3bo8a,1,4.4,68.1,2025-05-25T02:08:02.456Z,2025-05-25T02:08:03Z,zczt4alpawz5522hff8x39p1,A. Tambakis,,,5748993775,157,,5748993787,1,,5748993785,213,0.36,5748993777,56,Back,5748993779,140,29.7,5748993781,141,82.9,5748993783,212,28.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818693255,21,1,1,1,33,bk3zg8yaj5uoqhxzwons3bo8a,1,30.2,82.9,2025-05-25T02:08:03.730Z,2025-05-25T02:08:06Z,9za3fwnri7qk1dutb4iwmh6g9,C. Gloster,,,5748993887,141,69.0,5748993883,56,Back,5748993885,140,40.8,5748993889,212,14.6,5748993891,213,5.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818693273,22,1,1,1,35,bk3zg8yaj5uoqhxzwons3bo8a,1,40.8,69.0,2025-05-25T02:08:06.119Z,2025-05-25T02:08:09Z,4fbaxgikw7z9sfhuz6vvnfmxh,G. Zelalem,,,5748993989,213,5.07,5748993981,56,Back,5748993987,212,19.4,5748993985,141,42.2,5748993983,140,47.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818693291,23,1,1,1,38,bk3zg8yaj5uoqhxzwons3bo8a,1,47.0,42.1,2025-05-25T02:08:09.143Z,2025-05-25T02:08:12Z,djau5chcmoyiyq28jt9ypzh4a,O. Jabang,,,5748994071,141,10.9,5748994069,140,62.4,5748994075,213,5.36,5748994073,212,26.7,5748994067,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818693309,24,1,1,1,41,bk3zg8yaj5uoqhxzwons3bo8a,1,62.4,10.3,2025-05-25T02:08:12.071Z,2025-05-25T02:08:16Z,52rcg38mijjjusfwqxa2l7hex,J. Lindsey,,,5748994171,212,17.9,5748994169,141,9.5,5748994173,213,6.25,5748994167,140,79.4,5748994165,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818693319,25,1,1,1,45,bk3zg8yaj5uoqhxzwons3bo8a,1,78.5,17.6,2025-05-25T02:08:15.831Z,2025-05-25T02:08:17Z,bhzsz7pbe6pbwojtc1mi8m28l,M. Akale,,,5748994227,213,0.03,5748994223,141,18.2,5748994225,212,11.9,5748994221,140,89.8,5748994219,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818693321,26,1,1,1,47,bk3zg8yaj5uoqhxzwons3bo8a,0,89.7,18.6,2025-05-25T02:08:17.423Z,2025-05-25T02:08:18Z,52rcg38mijjjusfwqxa2l7hex,J. Lindsey,,,5748994239,141,35.1,5748994243,213,1.72,5748994231,2,,5748994241,212,11.3,5748994237,140,88.1,5748994235,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818693339,22,12,1,1,49,b5l2e3csycjb8twvq9ek0j5gq,1,8.8,68.5,2025-05-25T02:08:19.841Z,2025-05-25T02:08:22Z,2w7w1l7lwhu2u6nhvqg1bnd2h,N. Hackshaw,,,5748994359,212,21.1,5748994361,213,2.10,5748994357,141,95.4,5748994389,167,,5748994355,140,0.0,5748994353,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818693343,23,6,1,1,51,b5l2e3csycjb8twvq9ek0j5gq,0,0.0,0.0,2025-05-25T02:08:21.282Z,2025-05-25T02:08:29Z,2w7w1l7lwhu2u6nhvqg1bnd2h,N. Hackshaw,,,5748994397,73,,5748994395,56,Back,5748994441,233,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818693347,27,6,1,1,51,bk3zg8yaj5uoqhxzwons3bo8a,1,0.0,0.0,2025-05-25T02:08:21.282Z,2025-05-25T03:03:13Z,52rcg38mijjjusfwqxa2l7hex,J. Lindsey,,,5748994427,56,Right,5748994431,233,23,5748994429,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818694023,28,1,1,2,23,bk3zg8yaj5uoqhxzwons3bo8a,1,99.5,0.5,2025-05-25T02:08:54.151Z,2025-05-25T02:11:22Z,bhzsz7pbe6pbwojtc1mi8m28l,M. Akale,1.0,,5748997823,6,,5748997827,223,,5748998929,25,,5748997835,212,37.5,5748997829,56,Center,5748998927,154,,5748997821,2,,5748997833,141,54.8,5748997837,213,1.75,5748997825,155,5748997839,1,5748998925,210,16,5748997831,140,93.1,,,,,,,,,,,,,,,,,
2818694029,29,16,1,2,27,bk3zg8yaj5uoqhxzwons3bo8a,1,94.6,54.6,2025-05-25T02:08:58.200Z,2025-05-25T04:25:57Z,9za3fwnri7qk1dutb4iwmh6g9,C. Gloster,,,5748998987,230,99.1,5748998977,55,28,5748998973,29,,5748998983,103,4.4,5748997873,56,Center,5748998645,15,,5748998649,328,,5748997871,16,,5748998989,231,51.1,5748998971,76,5749198201,133,5748998981,102,53.2,5748998655,375,02:27.569,5748998975,154,5748998985,136,5748998643,25,5748998651,374,2025-05-25 03:08:57.811,,,,,,,,
2818693721,24,1,1,3,25,b5l2e3csycjb8twvq9ek0j5gq,1,49.9,49.9,2025-05-25T02:09:55.608Z,2025-05-25T04:15:55Z,doseo9fbdr1a1srm0jhdqmr55,J. Sinisterra,,,5748996267,189,,5749185049,279,G,5748996253,212,19.1,5748996251,141,64.6,5748996249,140,34.4,5748996255,213,2.59,5748996247,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818693773,25,1,1,3,33,b5l2e3csycjb8twvq9ek0j5gq,1,49.6,74.4,2025-05-25T02:10:03.647Z,2025-05-25T02:10:06Z,69j92vzo1swgodk0g9g2ksqqy,B. Njie,,,5748996497,141,56.0,5748996495,140,31.8,5748996501,213,3.73,5748996499,212,22.5,5748996493,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818693781,26,1,1,3,35,b5l2e3csycjb8twvq9ek0j5gq,0,31.8,56.0,2025-05-25T02:10:06.007Z,2025-05-25T02:10:07Z,2w7w1l7lwhu2u6nhvqg1bnd2h,N. Hackshaw,,,5748996547,212,42.7,5748996545,141,10.9,5748996549,213,5.48,5748996551,1,,5748996541,56,Right,5748996539,155,,5748996543,140,60.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818706789,487,8,1,3,37,bk3zg8yaj5uoqhxzwons3bo8a,1,41.5,91.1,2025-05-25T02:10:07.242Z,2025-05-25T04:08:19Z,9za3fwnri7qk1dutb4iwmh6g9,C. Gloster,,,5749068921,15,,5749068831,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818693793,27,5,1,3,38,b5l2e3csycjb8twvq9ek0j5gq,1,57.4,-1.7,2025-05-25T02:10:08.575Z,2025-05-25T03:04:59Z,2w7w1l7lwhu2u6nhvqg1bnd2h,N. Hackshaw,,,5748996607,347,,5748996603,56,Right,5749069001,233,488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818706801,488,5,1,3,38,bk3zg8yaj5uoqhxzwons3bo8a,0,42.6,101.7,2025-05-25T02:10:08.575Z,2025-05-25T03:04:59Z,9za3fwnri7qk1dutb4iwmh6g9,C. Gloster,,,5749068895,347,,5749068893,56,Back,5749069017,233,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818693825,28,1,1,3,42,b5l2e3csycjb8twvq9ek0j5gq,1,62.7,0.0,2025-05-25T02:10:12.631Z,2025-05-25T02:10:18Z,evk0esdocrzt5zxqmv4ostdcl,J. Damm,,,5748996741,212,22.5,5748996733,107,,5748996745,1,,5748996737,140,42.5,5748996735,56,Back,5748996739,141,9.8,5748996743,213,2.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
