id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/8/value,qualifier/9/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2793221457,6,5,1,0,14,bu5w8wprynlj9mvphvy8sd94f,1,57.2,-1.6,2025-03-29T23:07:58.569Z,2025-03-30T02:13:20Z,d539xjkdwt1i77f0czbvo8ull,B. Akinyode,,,5608498703,233,6,5608498675,347,,5608498673,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793221351,6,5,1,0,14,bk3zg8yaj5uoqhxzwons3bo8a,0,42.8,101.6,2025-03-29T23:07:58.569Z,2025-03-30T02:13:20Z,3nvijn3ctkplajtt1dd23wycp,M. Gaines,,,5608498125,347,,5608498711,233,6,5608498123,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793221567,7,1,1,0,21,bu5w8wprynlj9mvphvy8sd94f,1,54.5,0.0,2025-03-29T23:08:06.025Z,2025-03-29T23:08:13Z,8gnvbaqsuet4v3x6orkm20b56,A. Acloque,,,5608499293,107,,5608499307,1,,5608499305,213,0.24,5608499303,212,24.8,5608499299,141,7.0,5608499297,140,77.4,5608499295,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793221575,8,1,1,0,28,bu5w8wprynlj9mvphvy8sd94f,0,70.3,5.2,2025-03-29T23:08:13.001Z,2025-03-29T23:08:13Z,am7umg00yxt40mndzo6e0u3o4,F. Bonfiglio,,,5608499351,141,1.9,5608499355,213,3.54,5608499353,212,5.8,5608499347,56,Right,5608499349,140,65.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793221585,7,8,1,0,29,bk3zg8yaj5uoqhxzwons3bo8a,1,24.1,91.4,2025-03-29T23:08:14.152Z,2025-03-29T23:08:14Z,ew8oodr9hiuqve7xlz24xznfu,M. Vargas,,,5608499389,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793221631,8,5,1,0,31,bk3zg8yaj5uoqhxzwons3bo8a,0,26.9,102.0,2025-03-29T23:08:16.240Z,2025-03-30T02:13:21Z,ew8oodr9hiuqve7xlz24xznfu,M. Vargas,,,5608499903,233,9,5608499617,347,,5608499615,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793221669,9,5,1,0,31,bu5w8wprynlj9mvphvy8sd94f,1,73.1,-2.0,2025-03-29T23:08:16.240Z,2025-03-30T02:13:20Z,am7umg00yxt40mndzo6e0u3o4,F. Bonfiglio,,,5608499837,347,,5608499835,56,Right,5608499865,233,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793221703,10,1,1,0,33,bu5w8wprynlj9mvphvy8sd94f,1,69.7,0.0,2025-03-29T23:08:18.232Z,2025-03-29T23:08:20Z,8gnvbaqsuet4v3x6orkm20b56,A. Acloque,,,5608500043,213,0.48,5608500033,107,,5608500035,56,Right,5608500039,141,9.1,5608500041,212,14.7,5608500037,140,82.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793221711,11,50,1,0,35,bu5w8wprynlj9mvphvy8sd94f,1,82.6,8.2,2025-03-29T23:08:20.073Z,2025-03-29T23:08:26Z,bolmgcfvbdizfyh6n9oz4xjsa,A. Gavilanes,,,5608500101,56,Right,5608500105,286,,5608500387,233,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793221751,9,7,1,0,35,bk3zg8yaj5uoqhxzwons3bo8a,1,17.4,91.8,2025-03-29T23:08:20.074Z,2025-03-29T23:08:25Z,52rcg38mijjjusfwqxa2l7hex,J. Lindsey,,,5608500307,56,Back,5608500309,285,,5608500305,167,,5608500359,233,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793221791,10,5,1,0,37,bk3zg8yaj5uoqhxzwons3bo8a,0,14.8,101.3,2025-03-29T23:08:21.802Z,2025-03-30T02:13:21Z,52rcg38mijjjusfwqxa2l7hex,J. Lindsey,,,5608501251,233,12,5608500559,56,Back,5608500561,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793221917,12,5,1,0,37,bu5w8wprynlj9mvphvy8sd94f,1,85.2,-1.3,2025-03-29T23:08:21.802Z,2025-03-30T02:13:21Z,bolmgcfvbdizfyh6n9oz4xjsa,A. Gavilanes,,,5608501215,233,10,5608501167,56,Right,5608501169,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793221981,13,1,1,0,48,bu5w8wprynlj9mvphvy8sd94f,0,80.4,0.0,2025-03-29T23:08:32.944Z,2025-03-29T23:08:36Z,8gnvbaqsuet4v3x6orkm20b56,A. Acloque,,,5608501541,213,1.06,5608501539,212,30.9,5608501537,141,38.0,5608501531,107,,5608501535,140,94.7,5608501533,56,Center,5608501543,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793222173,12,1,1,1,0,bk3zg8yaj5uoqhxzwons3bo8a,1,14.0,51.5,2025-03-29T23:08:45.240Z,2025-03-29T23:08:48Z,zczt4alpawz5522hff8x39p1,A. Tambakis,,,5608502629,141,37.3,5608502633,213,4.84,5608502623,56,Back,5608502625,140,15.2,5608502631,212,9.7,5608502621,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793222191,13,1,1,1,4,bk3zg8yaj5uoqhxzwons3bo8a,1,16.8,33.7,2025-03-29T23:08:48.785Z,2025-03-29T23:08:50Z,9imj5ig0i01uljnd3gd2cz1m,T. Maples,,,5608502725,56,Back,5608502731,212,16.0,5608502729,141,50.4,5608502727,140,6.1,5608502733,213,2.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793222257,14,1,1,1,5,bk3zg8yaj5uoqhxzwons3bo8a,1,7.5,50.1,2025-03-29T23:08:49.970Z,2025-03-29T23:08:54Z,zczt4alpawz5522hff8x39p1,A. Tambakis,,,5608503089,212,10.8,5608503087,141,62.4,5608503083,56,Back,5608503085,140,14.0,5608503091,213,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793222313,15,1,1,1,9,bk3zg8yaj5uoqhxzwons3bo8a,0,16.2,65.4,2025-03-29T23:08:54.162Z,2025-03-29T23:08:59Z,cvdn34vl3zje5uq54nvg77sut,K. Ryden,,,5608503437,56,Center,5608503441,141,67.6,5608503439,140,86.7,5608503445,213,0.02,5608503435,155,,5608503443,212,74.0,5608503447,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793222401,15,1,1,1,17,bu5w8wprynlj9mvphvy8sd94f,1,14.5,11.1,2025-03-29T23:09:02.217Z,2025-03-29T23:09:05Z,9q3w4j10qfsq94svbmyxa879x,B. Hamid,,,5608503861,140,25.3,5608503865,212,12.0,5608503859,56,Back,5608503863,141,5.2,5608503867,213,5.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793222435,16,1,1,1,20,bu5w8wprynlj9mvphvy8sd94f,1,25.2,5.8,2025-03-29T23:09:04.857Z,2025-03-29T23:09:08Z,8gnvbaqsuet4v3x6orkm20b56,A. Acloque,,,5608504085,212,31.0,5608504079,56,Back,5608504081,140,26.3,5608504087,213,1.53,5608504083,141,51.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793222461,17,1,1,1,24,bu5w8wprynlj9mvphvy8sd94f,1,26.3,51.3,2025-03-29T23:09:08.465Z,2025-03-29T23:18:03Z,96qlwmkrab9h7xt93jzgl384p,J. Ricketts,,,5608504231,56,Center,5608504235,141,43.9,5608504239,213,6.17,5608504241,1,,5608504237,212,45.0,5608504233,140,68.9,5608504229,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793222513,16,59,1,1,28,bk3zg8yaj5uoqhxzwons3bo8a,1,31.6,57.6,2025-03-29T23:09:13.218Z,2025-03-29T23:09:14Z,zczt4alpawz5522hff8x39p1,A. Tambakis,,,5608504549,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793222535,17,1,1,1,29,bk3zg8yaj5uoqhxzwons3bo8a,0,31.6,57.6,2025-03-29T23:09:13.945Z,2025-03-29T23:09:15Z,zczt4alpawz5522hff8x39p1,A. Tambakis,,,5608504633,56,Center,5608504639,212,30.8,5608504641,213,0.32,5608504637,141,71.8,5608504631,155,,5608504635,140,59.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793222549,18,43,1,1,31,bu5w8wprynlj9mvphvy8sd94f,1,0.0,0.0,2025-03-29T23:09:15.633Z,2025-03-29T23:18:29Z,fm9i7pzwi2diu6i18kycmx1x,M. Romero,,,5608504713,285,0,5608552307,144,44,5608504711,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793222575,19,1,1,1,31,bu5w8wprynlj9mvphvy8sd94f,0,49.2,22.2,2025-03-29T23:09:16.049Z,2025-03-29T23:09:18Z,fm9i7pzwi2diu6i18kycmx1x,M. Romero,,,5608504827,212,16.5,5608504829,213,0.01,5608504823,140,64.9,5608504819,3,,5608504825,141,22.4,5608504821,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793222579,18,44,1,1,32,bk3zg8yaj5uoqhxzwons3bo8a,1,38.6,77.0,2025-03-29T23:09:16.841Z,2025-03-30T02:15:56Z,52rcg38mijjjusfwqxa2l7hex,J. Lindsey,,,5608504941,233,20,5608504851,285,,5608504849,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793222583,20,44,1,1,32,bu5w8wprynlj9mvphvy8sd94f,0,61.4,23.0,2025-03-29T23:09:16.842Z,2025-03-30T02:15:57Z,bolmgcfvbdizfyh6n9oz4xjsa,A. Gavilanes,,,5608504859,286,,5608504857,56,Center,5608504983,233,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793222599,19,1,1,1,33,bk3zg8yaj5uoqhxzwons3bo8a,0,44.3,75.9,2025-03-29T23:09:17.561Z,2025-03-29T23:09:18Z,52rcg38mijjjusfwqxa2l7hex,J. Lindsey,,,5608504921,212,13.6,5608504915,56,Center,5608504919,141,65.7,5608504917,140,55.4,5608504913,3,,5608504923,213,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793222651,21,1,1,1,34,bu5w8wprynlj9mvphvy8sd94f,1,59.5,30.9,2025-03-29T23:09:19.201Z,2025-03-29T23:09:22Z,d539xjkdwt1i77f0czbvo8ull,B. Akinyode,,,5608505257,212,7.6,5608505247,56,Right,5608505259,213,4.43,5608505255,141,20.1,5608505251,140,57.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793222697,22,1,1,1,37,bu5w8wprynlj9mvphvy8sd94f,1,55.6,13.5,2025-03-29T23:09:21.889Z,2025-03-29T23:09:24Z,fm9i7pzwi2diu6i18kycmx1x,M. Romero,,,5608505451,56,Right,5608505463,213,5.73,5608505455,141,6.8,5608505453,140,62.6,5608505459,212,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793222727,23,1,1,1,40,bu5w8wprynlj9mvphvy8sd94f,1,60.9,6.4,2025-03-29T23:09:24.587Z,2025-03-29T23:09:26Z,8gnvbaqsuet4v3x6orkm20b56,A. Acloque,,,5608505637,140,62.8,5608505639,141,19.8,5608505647,213,1.36,5608505635,56,Right,5608505643,212,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793222773,24,1,1,1,41,bu5w8wprynlj9mvphvy8sd94f,1,61.3,18.9,2025-03-29T23:09:26.106Z,2025-03-29T23:09:28Z,bolmgcfvbdizfyh6n9oz4xjsa,A. Gavilanes,,,5608505857,213,3.35,5608505849,56,Back,5608505853,141,10.9,5608505855,212,26.1,5608505851,140,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793222801,25,1,1,1,44,bu5w8wprynlj9mvphvy8sd94f,0,36.4,10.9,2025-03-29T23:09:29.330Z,2025-03-29T23:09:30Z,eqopj1p3a2ehzpwlj90laswoa,D. Knutson,,,5608506019,140,68.5,5608506023,212,33.8,5608506017,56,Right,5608506029,1,,5608506015,155,,5608506021,141,15.3,5608506025,213,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793222837,20,1,1,1,46,bk3zg8yaj5uoqhxzwons3bo8a,1,35.0,83.6,2025-03-29T23:09:30.570Z,2025-03-29T23:09:32Z,52rcg38mijjjusfwqxa2l7hex,J. Lindsey,,,5608506177,1,,5608506167,56,Center,5608506169,140,67.9,5608506173,212,43.1,5608506175,213,5.64,5608506165,157,,5608506171,141,45.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793222877,21,1,1,1,47,bk3zg8yaj5uoqhxzwons3bo8a,1,66.7,46.4,2025-03-29T23:09:32.169Z,2025-03-29T23:09:33Z,dxd6p1c8k96armsbg5isjbu95,G. Hurst,,,5608506333,140,57.2,5608506331,56,Center,5608506335,141,52.8,5608506339,213,2.73,5608506337,212,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793222901,23,1,1,1,49,bk3zg8yaj5uoqhxzwons3bo8a,0,58.3,51.8,2025-03-29T23:09:34.081Z,2025-03-29T23:09:35Z,djau5chcmoyiyq28jt9ypzh4a,O. Jabang,,,5608506473,141,38.6,5608506469,56,Center,5608506467,155,,5608506479,1,,5608506477,213,6.02,5608506471,140,90.0,5608506475,212,34.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793223189,27,1,1,2,3,bu5w8wprynlj9mvphvy8sd94f,0,13.9,50.6,2025-03-29T23:09:48.035Z,2025-03-29T23:23:59Z,9q3w4j10qfsq94svbmyxa879x,B. Hamid,,,5608507953,199,,5608507963,213,0.16,5608507965,1,,5608507957,140,80.2,5608507959,141,67.6,5608507961,212,70.6,5608507955,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793223215,24,43,1,2,7,bk3zg8yaj5uoqhxzwons3bo8a,1,0.0,0.0,2025-03-29T23:09:52.305Z,2025-03-29T23:23:56Z,cvdn34vl3zje5uq54nvg77sut,K. Ryden,,,5608508135,212,16.7,5608508131,140,12.5,5608508137,213,3.10,5608508125,3,0,5608508127,56,Back,5608582959,144,1,5608508133,141,39.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793223311,26,4,1,2,8,bk3zg8yaj5uoqhxzwons3bo8a,1,29.3,37.4,2025-03-29T23:09:52.789Z,2025-03-30T01:44:42Z,9imj5ig0i01uljnd3gd2cz1m,T. Maples,,,5608582873,233,91,5608508689,285,,5608508685,265,,5608508677,13,,5608508679,56,Back,5608508683,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793232903,91,4,1,2,8,bu5w8wprynlj9mvphvy8sd94f,0,70.7,62.6,2025-03-29T23:09:52.790Z,2025-03-30T01:44:43Z,am7umg00yxt40mndzo6e0u3o4,F. Bonfiglio,,,5608563491,56,Center,5608563495,265,,5608563497,286,,5608563489,13,,5608582901,233,26,5608563493,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793223227,25,43,1,2,9,bk3zg8yaj5uoqhxzwons3bo8a,1,0.0,0.0,2025-03-29T23:09:54.081Z,2025-03-29T23:21:34Z,zczt4alpawz5522hff8x39p1,A. Tambakis,,,5608570279,144,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793223377,27,1,1,2,16,bk3zg8yaj5uoqhxzwons3bo8a,1,27.8,38.0,2025-03-29T23:10:00.857Z,2025-03-29T23:10:02Z,9imj5ig0i01uljnd3gd2cz1m,T. Maples,,,5608508977,213,0.83,5608508967,152,,5608508969,56,Back,5608508973,141,51.8,5608508975,212,12.7,5608508971,140,35.9,5608508965,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793223435,28,1,1,2,18,bk3zg8yaj5uoqhxzwons3bo8a,1,35.9,51.8,2025-03-29T23:10:02.793Z,2025-03-29T23:11:05Z,4fbaxgikw7z9sfhuz6vvnfmxh,G. Zelalem,,,5608509213,141,30.0,5608509215,212,18.1,5608509211,140,45.8,5608509217,213,5.32,5608509209,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793223451,29,1,1,2,20,bk3zg8yaj5uoqhxzwons3bo8a,1,45.3,29.5,2025-03-29T23:10:05.032Z,2025-03-29T23:10:06Z,djau5chcmoyiyq28jt9ypzh4a,O. Jabang,,,5608509303,56,Back,5608509307,141,24.9,5608509309,212,16.2,5608509311,213,3.34,5608509305,140,30.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793223471,30,1,1,2,21,bk3zg8yaj5uoqhxzwons3bo8a,1,29.9,24.9,2025-03-29T23:10:06.033Z,2025-03-29T23:10:07Z,9imj5ig0i01uljnd3gd2cz1m,T. Maples,,,5608509399,140,14.9,5608509401,141,46.7,5608509397,56,Back,5608509405,213,2.39,5608509403,212,21.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793223507,31,1,1,2,22,bk3zg8yaj5uoqhxzwons3bo8a,1,14.8,46.9,2025-03-29T23:10:07.273Z,2025-03-29T23:10:10Z,zczt4alpawz5522hff8x39p1,A. Tambakis,,,5608509615,212,17.3,5608509611,141,60.9,5608509617,213,0.58,5608509607,140,28.6,5608509603,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793223543,32,1,1,2,25,bk3zg8yaj5uoqhxzwons3bo8a,1,28.6,60.9,2025-03-29T23:10:10.106Z,2025-03-29T23:10:12Z,cvdn34vl3zje5uq54nvg77sut,K. Ryden,,,5608509843,140,28.7,5608509849,213,4.72,5608509847,212,16.5,5608509841,56,Back,5608509845,141,36.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793223611,33,1,1,2,28,bk3zg8yaj5uoqhxzwons3bo8a,1,28.7,36.6,2025-03-29T23:10:12.529Z,2025-03-29T23:10:17Z,9imj5ig0i01uljnd3gd2cz1m,T. Maples,,,5608510203,141,62.3,5608510207,213,1.70,5608510199,56,Back,5608510201,140,26.6,5608510205,212,17.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793223687,34,1,1,2,32,bk3zg8yaj5uoqhxzwons3bo8a,1,26.5,65.5,2025-03-29T23:10:17.017Z,2025-03-29T23:10:24Z,cvdn34vl3zje5uq54nvg77sut,K. Ryden,,,5608510683,213,4.64,5608510675,56,Back,5608510677,140,25.1,5608510679,141,36.0,5608510681,212,20.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793223705,35,1,1,2,39,bk3zg8yaj5uoqhxzwons3bo8a,0,37.8,33.1,2025-03-29T23:10:24.073Z,2025-03-29T23:10:24Z,9imj5ig0i01uljnd3gd2cz1m,T. Maples,,,5608510761,141,22.5,5608510759,140,50.3,5608510765,213,5.78,5608510757,56,Center,5608510763,212,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
