,Unnamed: 0,matchInfo/id,matchInfo/coverageLevel,matchInfo/date,matchInfo/time,matchInfo/localDate,matchInfo/localTime,matchInfo/week,matchInfo/numberOfPeriods,matchInfo/periodLength,matchInfo/lastUpdated,matchInfo/description,matchInfo/sport/id,matchInfo/sport/name,matchInfo/ruleset/id,matchInfo/ruleset/name,matchInfo/competition/id,matchInfo/competition/name,matchInfo/competition/knownName,matchInfo/competition/competitionCode,matchInfo/competition/competitionFormat,matchInfo/competition/country/id,matchInfo/competition/country/name,matchInfo/tournamentCalendar/id,matchInfo/tournamentCalendar/startDate,matchInfo/tournamentCalendar/endDate,matchInfo/tournamentCalendar/name,matchInfo/stage/id,matchInfo/stage/formatId,matchInfo/stage/startDate,matchInfo/stage/endDate,matchInfo/stage/name,matchInfo/venue/id,matchInfo/venue/neutral,matchInfo/venue/longName,matchInfo/venue/shortName,matchInfo/var,matchInfo/contestant/0/id,matchInfo/contestant/0/name,matchInfo/contestant/0/shortName,matchInfo/contestant/0/officialName,matchInfo/contestant/0/code,matchInfo/contestant/0/position,matchInfo/contestant/0/country/id,matchInfo/contestant/0/country/name,matchInfo/contestant/1/id,matchInfo/contestant/1/name,matchInfo/contestant/1/shortName,matchInfo/contestant/1/officialName,matchInfo/contestant/1/code,matchInfo/contestant/1/position,matchInfo/contestant/1/country/id,matchInfo/contestant/1/country/name,liveData/matchDetails/periodId,liveData/matchDetails/matchStatus,liveData/matchDetails/winner,liveData/matchDetails/matchLengthMin,liveData/matchDetails/matchLengthSec,liveData/matchDetails/scores/ht/home,liveData/matchDetails/scores/ht/away,liveData/matchDetails/scores/ft/home,liveData/matchDetails/scores/ft/away,liveData/matchDetails/scores/total/home,liveData/matchDetails/scores/total/away,liveData/matchDetailsExtra/attendance,liveData/VAR,liveData/missedPen
10,10,iergy7ns6xiew5h3jkaprlec,13,2025-08-23Z,12:00:00Z,2025-08-23,15:00:00,21,2,45,2025-06-14T13:11:11Z,Gnistan vs Oulu,289u5typ3vp4ifwh5thalohmq,Soccer,79plas4983031idr6vw83nuel,Men,dvstmwnvw0mt5p38twn9yttyb,Veikkausliiga,Finnish Veikkausliiga,VEI,Domestic league,2u07e54v5dprsugdvddpq5ync,Finland,7t9344kbgek0hcvwymv8nnitw,2025-04-05Z,2025-10-19Z,2025,7v0ytkp4r8fcj6rdj1rwd5udw,e2q01r9o9jwiq1fls93d1sslx,2025-04-05Z,2025-08-31Z,Regular Season,53adx3m9ax7nwhgw58qrxoefl,no,Mustapekka Areena,Mustapekka Areena,,3cbke8cbou2ms925872vk6dwx,Gnistan,Gnistan,IF Gnistan,IFG,home,2u07e54v5dprsugdvddpq5ync,Finland,cy6zs39z79dcfbr4xzkp38z7q,Oulu,Oulu,AC Oulu,OUL,away,2u07e54v5dprsugdvddpq5ync,Finland,16,Fixture,,,,,,,,,,,,
11,11,i2ag1ushfdmlwp1xu2z7fwno,13,2025-08-22Z,15:00:00Z,2025-08-22,18:00:00,21,2,45,2025-06-18T17:22:14Z,VPS vs KTP,289u5typ3vp4ifwh5thalohmq,Soccer,79plas4983031idr6vw83nuel,Men,dvstmwnvw0mt5p38twn9yttyb,Veikkausliiga,Finnish Veikkausliiga,VEI,Domestic league,2u07e54v5dprsugdvddpq5ync,Finland,7t9344kbgek0hcvwymv8nnitw,2025-04-05Z,2025-10-19Z,2025,7v0ytkp4r8fcj6rdj1rwd5udw,e2q01r9o9jwiq1fls93d1sslx,2025-04-05Z,2025-08-31Z,Regular Season,7jpa27dlpb5cjl1r00fdg7o8i,no,Lemonsoft Stadion,Lemonsoft Stadion,,duspptyvnr5kpx2iko5gerhnz,VPS,VPS,Vaasan Palloseura,VPS,home,2u07e54v5dprsugdvddpq5ync,Finland,8sy0cxovuxo76tuoas3uo55xj,KTP,KTP,Kotkan Työväen Palloilijat,KTP,away,2u07e54v5dprsugdvddpq5ync,Finland,16,Fixture,,,,,,,,,,,,
12,12,hpylpxsn5rv9v6kynmjapjpw,13,2025-08-18Z,16:00:00Z,2025-08-18,19:00:00,20,2,45,2025-06-19T07:17:49Z,Jaro vs SJK,289u5typ3vp4ifwh5thalohmq,Soccer,79plas4983031idr6vw83nuel,Men,dvstmwnvw0mt5p38twn9yttyb,Veikkausliiga,Finnish Veikkausliiga,VEI,Domestic league,2u07e54v5dprsugdvddpq5ync,Finland,7t9344kbgek0hcvwymv8nnitw,2025-04-05Z,2025-10-19Z,2025,7v0ytkp4r8fcj6rdj1rwd5udw,e2q01r9o9jwiq1fls93d1sslx,2025-04-05Z,2025-08-31Z,Regular Season,z1wle245xcf0crny65yoguzt,no,Centralplan,Centralplan,,7efqk7uh63928il0yffxijnv7,Jaro,Jaro,FF Jaro,FFJ,home,2u07e54v5dprsugdvddpq5ync,Finland,ea3yd0dgq6uy6pupkpn17j5xg,SJK,SJK,Seinäjoen Jalkapallokerho,SJK,away,2u07e54v5dprsugdvddpq5ync,Finland,16,Fixture,,,,,,,,,,,,
13,13,hdk02dmd6prhc6nq7e2zkv84,13,2025-08-18Z,15:00:00Z,2025-08-18,18:00:00,20,2,45,2025-06-14T13:11:11Z,Oulu vs Ilves,289u5typ3vp4ifwh5thalohmq,Soccer,79plas4983031idr6vw83nuel,Men,dvstmwnvw0mt5p38twn9yttyb,Veikkausliiga,Finnish Veikkausliiga,VEI,Domestic league,2u07e54v5dprsugdvddpq5ync,Finland,7t9344kbgek0hcvwymv8nnitw,2025-04-05Z,2025-10-19Z,2025,7v0ytkp4r8fcj6rdj1rwd5udw,e2q01r9o9jwiq1fls93d1sslx,2025-04-05Z,2025-08-31Z,Regular Season,apxtm2nl13sj9j19x8gvqb23n,no,Raatin stadion,Raatin stadion,,cy6zs39z79dcfbr4xzkp38z7q,Oulu,Oulu,AC Oulu,OUL,home,2u07e54v5dprsugdvddpq5ync,Finland,2rdnn9p03qrmmv34tyx1nahpa,Ilves,Ilves,Tampereen Ilves,ILV,away,2u07e54v5dprsugdvddpq5ync,Finland,16,Fixture,,,,,,,,,,,,
14,14,h19rqa4a7ortv04rv97yritw,13,2025-08-17Z,12:00:00Z,2025-08-17,15:00:00,20,2,45,2025-06-18T17:29:18Z,Haka vs HJK,289u5typ3vp4ifwh5thalohmq,Soccer,79plas4983031idr6vw83nuel,Men,dvstmwnvw0mt5p38twn9yttyb,Veikkausliiga,Finnish Veikkausliiga,VEI,Domestic league,2u07e54v5dprsugdvddpq5ync,Finland,7t9344kbgek0hcvwymv8nnitw,2025-04-05Z,2025-10-19Z,2025,7v0ytkp4r8fcj6rdj1rwd5udw,e2q01r9o9jwiq1fls93d1sslx,2025-04-05Z,2025-08-31Z,Regular Season,bd3cnomnx4r55npe99oz2golt,no,Tehtaan kenttä,Tehtaan kenttä,,5qxgilg61hlwxzfpdn2nhcayd,Haka,Haka,FC Haka,HAK,home,2u07e54v5dprsugdvddpq5ync,Finland,303582z192rnbr2x28o2t7u38,HJK,HJK,Helsingin Jalkapalloklubi,HJK,away,2u07e54v5dprsugdvddpq5ync,Finland,16,Fixture,,,,,,,,,,,,
15,15,gp4klya1s2ufxx5mxf8c9pn8,13,2025-08-16Z,16:00:00Z,2025-08-16,19:00:00,20,2,45,2025-06-14T15:11:47Z,Mariehamn vs KTP,289u5typ3vp4ifwh5thalohmq,Soccer,79plas4983031idr6vw83nuel,Men,dvstmwnvw0mt5p38twn9yttyb,Veikkausliiga,Finnish Veikkausliiga,VEI,Domestic league,2u07e54v5dprsugdvddpq5ync,Finland,7t9344kbgek0hcvwymv8nnitw,2025-04-05Z,2025-10-19Z,2025,7v0ytkp4r8fcj6rdj1rwd5udw,e2q01r9o9jwiq1fls93d1sslx,2025-04-05Z,2025-08-31Z,Regular Season,6li6vcjt5pqqwp15vp7piwnr9,no,Wiklöf Holding Arena,Wiklöf Holding Arena,,3ptum5fjcgw51mqui0gu6uuf4,Mariehamn,Mariehamn,IFK Mariehamn,MAR,home,2u07e54v5dprsugdvddpq5ync,Finland,8sy0cxovuxo76tuoas3uo55xj,KTP,KTP,Kotkan Työväen Palloilijat,KTP,away,2u07e54v5dprsugdvddpq5ync,Finland,16,Fixture,,,,,,,,,,,,
16,16,gcn3c1zh8di2zramq9h56kgk,13,2025-08-16Z,14:00:00Z,2025-08-16,17:00:00,20,2,45,2025-06-14T10:21:15Z,KuPS vs Inter Turku,289u5typ3vp4ifwh5thalohmq,Soccer,79plas4983031idr6vw83nuel,Men,dvstmwnvw0mt5p38twn9yttyb,Veikkausliiga,Finnish Veikkausliiga,VEI,Domestic league,2u07e54v5dprsugdvddpq5ync,Finland,7t9344kbgek0hcvwymv8nnitw,2025-04-05Z,2025-10-19Z,2025,7v0ytkp4r8fcj6rdj1rwd5udw,e2q01r9o9jwiq1fls93d1sslx,2025-04-05Z,2025-08-31Z,Regular Season,b6qm6tc6o0yon2j460rdutquq,no,Väre Areena,Väre Areena,,1c7dv8ays675v9kp6a04sd8pq,KuPS,KuPS,Kuopion Palloseura,KUP,home,2u07e54v5dprsugdvddpq5ync,Finland,8eab5wbcnttsiosd1o8c71gmk,Inter Turku,Inter Turku,FC Inter Turku,INT,away,2u07e54v5dprsugdvddpq5ync,Finland,16,Fixture,,,,,,,,,,,,
17,17,g0bu33d3xq041wq754aojcic,13,2025-08-15Z,15:00:00Z,2025-08-15,18:00:00,20,2,45,2025-06-18T17:22:13Z,Gnistan vs VPS,289u5typ3vp4ifwh5thalohmq,Soccer,79plas4983031idr6vw83nuel,Men,dvstmwnvw0mt5p38twn9yttyb,Veikkausliiga,Finnish Veikkausliiga,VEI,Domestic league,2u07e54v5dprsugdvddpq5ync,Finland,7t9344kbgek0hcvwymv8nnitw,2025-04-05Z,2025-10-19Z,2025,7v0ytkp4r8fcj6rdj1rwd5udw,e2q01r9o9jwiq1fls93d1sslx,2025-04-05Z,2025-08-31Z,Regular Season,53adx3m9ax7nwhgw58qrxoefl,no,Mustapekka Areena,Mustapekka Areena,,3cbke8cbou2ms925872vk6dwx,Gnistan,Gnistan,IF Gnistan,IFG,home,2u07e54v5dprsugdvddpq5ync,Finland,duspptyvnr5kpx2iko5gerhnz,VPS,VPS,Vaasan Palloseura,VPS,away,2u07e54v5dprsugdvddpq5ync,Finland,16,Fixture,,,,,,,,,,,,
18,18,fm2jna7ofvvdnol9nfyn5e6s,13,2025-08-11Z,16:00:00Z,2025-08-11,19:00:00,19,2,45,2025-06-18T17:29:17Z,HJK vs Ilves,289u5typ3vp4ifwh5thalohmq,Soccer,79plas4983031idr6vw83nuel,Men,dvstmwnvw0mt5p38twn9yttyb,Veikkausliiga,Finnish Veikkausliiga,VEI,Domestic league,2u07e54v5dprsugdvddpq5ync,Finland,7t9344kbgek0hcvwymv8nnitw,2025-04-05Z,2025-10-19Z,2025,7v0ytkp4r8fcj6rdj1rwd5udw,e2q01r9o9jwiq1fls93d1sslx,2025-04-05Z,2025-08-31Z,Regular Season,8ynu8ggtnkcjs6guwi9vee1ay,no,Bolt Arena,Bolt Arena,,303582z192rnbr2x28o2t7u38,HJK,HJK,Helsingin Jalkapalloklubi,HJK,home,2u07e54v5dprsugdvddpq5ync,Finland,2rdnn9p03qrmmv34tyx1nahpa,Ilves,Ilves,Tampereen Ilves,ILV,away,2u07e54v5dprsugdvddpq5ync,Finland,16,Fixture,,,,,,,,,,,,
19,19,f9gh061nl8u9e1nv7vevncic,13,2025-08-10Z,15:30:00Z,2025-08-10,18:30:00,19,2,45,2025-06-19T07:17:48Z,VPS vs SJK,289u5typ3vp4ifwh5thalohmq,Soccer,79plas4983031idr6vw83nuel,Men,dvstmwnvw0mt5p38twn9yttyb,Veikkausliiga,Finnish Veikkausliiga,VEI,Domestic league,2u07e54v5dprsugdvddpq5ync,Finland,7t9344kbgek0hcvwymv8nnitw,2025-04-05Z,2025-10-19Z,2025,7v0ytkp4r8fcj6rdj1rwd5udw,e2q01r9o9jwiq1fls93d1sslx,2025-04-05Z,2025-08-31Z,Regular Season,7jpa27dlpb5cjl1r00fdg7o8i,no,Lemonsoft Stadion,Lemonsoft Stadion,,duspptyvnr5kpx2iko5gerhnz,VPS,VPS,Vaasan Palloseura,VPS,home,2u07e54v5dprsugdvddpq5ync,Finland,ea3yd0dgq6uy6pupkpn17j5xg,SJK,SJK,Seinäjoen Jalkapallokerho,SJK,away,2u07e54v5dprsugdvddpq5ync,Finland,16,Fixture,,,,,,,,,,,,
20,20,ex160gbqi9jm7hhpjmsl94wk,13,2025-08-09Z,16:00:00Z,2025-08-09,19:00:00,19,2,45,2025-05-26T06:06:27Z,Mariehamn vs Gnistan,289u5typ3vp4ifwh5thalohmq,Soccer,79plas4983031idr6vw83nuel,Men,dvstmwnvw0mt5p38twn9yttyb,Veikkausliiga,Finnish Veikkausliiga,VEI,Domestic league,2u07e54v5dprsugdvddpq5ync,Finland,7t9344kbgek0hcvwymv8nnitw,2025-04-05Z,2025-10-19Z,2025,7v0ytkp4r8fcj6rdj1rwd5udw,e2q01r9o9jwiq1fls93d1sslx,2025-04-05Z,2025-08-31Z,Regular Season,6li6vcjt5pqqwp15vp7piwnr9,no,Wiklöf Holding Arena,Wiklöf Holding Arena,,3ptum5fjcgw51mqui0gu6uuf4,Mariehamn,Mariehamn,IFK Mariehamn,MAR,home,2u07e54v5dprsugdvddpq5ync,Finland,3cbke8cbou2ms925872vk6dwx,Gnistan,Gnistan,IF Gnistan,IFG,away,2u07e54v5dprsugdvddpq5ync,Finland,16,Fixture,,,,,,,,,,,,
21,21,ekpgs18uv9d8ml44l3ovg3ro,13,2025-08-09Z,14:00:00Z,2025-08-09,17:00:00,19,2,45,2025-06-14T15:11:47Z,KTP vs KuPS,289u5typ3vp4ifwh5thalohmq,Soccer,79plas4983031idr6vw83nuel,Men,dvstmwnvw0mt5p38twn9yttyb,Veikkausliiga,Finnish Veikkausliiga,VEI,Domestic league,2u07e54v5dprsugdvddpq5ync,Finland,7t9344kbgek0hcvwymv8nnitw,2025-04-05Z,2025-10-19Z,2025,7v0ytkp4r8fcj6rdj1rwd5udw,e2q01r9o9jwiq1fls93d1sslx,2025-04-05Z,2025-08-31Z,Regular Season,egt9h2yepyymmbkn2cel13h4h,no,Arto Tolsa Areena,Arto Tolsa Areena,,8sy0cxovuxo76tuoas3uo55xj,KTP,KTP,Kotkan Työväen Palloilijat,KTP,home,2u07e54v5dprsugdvddpq5ync,Finland,1c7dv8ays675v9kp6a04sd8pq,KuPS,KuPS,Kuopion Palloseura,KUP,away,2u07e54v5dprsugdvddpq5ync,Finland,16,Fixture,,,,,,,,,,,,
