id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/8/value,qualifier/9/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/13/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2822552507,4,5,1,0,10,3cbke8cbou2ms925872vk6dwx,1,11.1,-1.8,2025-06-14T16:00:45.300Z,2025-06-14T16:05:41Z,166chk5he9ehkh9col37bw3jd,O. Olufunwa,,,5770628063,233,8,5770628051,56,Back,5770628055,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552503,8,5,1,0,10,8sy0cxovuxo76tuoas3uo55xj,0,88.9,101.8,2025-06-14T16:00:45.300Z,2025-06-14T16:00:51Z,byudescfxvi1kxlpncbv0mymt,M. Sumusalo,,,5770628037,56,Left,5770628071,233,4,5770628039,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552539,5,1,1,0,28,3cbke8cbou2ms925872vk6dwx,0,20.4,0.0,2025-06-14T16:01:03.622Z,2025-06-14T16:01:05Z,166chk5he9ehkh9col37bw3jd,O. Olufunwa,,,5770628207,141,3.2,5770628201,107,,5770628211,213,0.21,5770628209,212,17.3,5770628203,56,Back,5770628205,140,36.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552545,9,8,1,0,30,8sy0cxovuxo76tuoas3uo55xj,1,68.3,96.9,2025-06-14T16:01:05.637Z,2025-06-14T16:01:10Z,8igk37zt3ixjxdtr1t9kwfnit,T. Manga,,,5770628233,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552541,6,5,1,0,32,3cbke8cbou2ms925872vk6dwx,1,32.7,-1.6,2025-06-14T16:01:07.285Z,2025-06-14T16:05:41Z,166chk5he9ehkh9col37bw3jd,O. Olufunwa,,,5770628253,233,10,5770628217,56,Back,5770628219,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552551,10,5,1,0,32,8sy0cxovuxo76tuoas3uo55xj,0,67.3,101.6,2025-06-14T16:01:07.285Z,2025-06-14T16:05:42Z,8igk37zt3ixjxdtr1t9kwfnit,T. Manga,,,5770628261,233,6,5770628247,347,,5770628245,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552581,7,1,1,0,40,3cbke8cbou2ms925872vk6dwx,1,40.2,0.0,2025-06-14T16:01:15.493Z,2025-06-14T16:01:20Z,166chk5he9ehkh9col37bw3jd,O. Olufunwa,,,5770628435,213,2.92,5770628429,140,18.9,5770628425,107,,5770628431,141,5.5,5770628427,56,Back,5770628433,212,22.9,5770628437,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552595,8,1,1,0,46,3cbke8cbou2ms925872vk6dwx,1,18.7,9.7,2025-06-14T16:01:20.823Z,2025-06-14T16:01:23Z,6q0g98fnbdx5sg52lazo2sqac,P. Gnanou,,,5770628487,140,4.4,5770628489,141,50.6,5770628493,213,2.07,5770628485,56,Back,5770628491,212,31.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552615,9,1,1,0,48,3cbke8cbou2ms925872vk6dwx,1,4.8,52.1,2025-06-14T16:01:23.094Z,2025-06-14T16:01:26Z,dxlvcn8a2lhtne6py7w4tbpw5,Á. Craninx,,,5770628587,140,22.4,5770628591,212,24.3,5770628589,141,75.4,5770628593,213,0.71,5770628585,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552625,10,1,1,0,51,3cbke8cbou2ms925872vk6dwx,1,23.2,75.3,2025-06-14T16:01:26.310Z,2025-06-14T16:01:28Z,bpjmwp030jnapyjfii8nyqdhx,J. Ojala,,,5770628627,141,97.4,5770628631,213,1.13,5770628623,56,Back,5770628625,140,30.0,5770628629,212,16.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552629,11,1,1,0,53,3cbke8cbou2ms925872vk6dwx,1,31.8,91.2,2025-06-14T16:01:28.533Z,2025-06-14T16:01:30Z,dlpw0ifxzwotsw2ttopgispka,E. Arko-Mensah,,,5770628643,140,39.5,5770628645,141,84.5,5770628641,56,Back,5770628647,212,9.3,5770628649,213,5.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552635,12,1,1,0,55,3cbke8cbou2ms925872vk6dwx,1,39.5,84.5,2025-06-14T16:01:30.518Z,2025-06-14T16:01:51Z,b0wmozayt7xbjz6ihhdiczq0a,J. Latonen,,,5770628675,212,3.4,5770628673,141,83.0,5770628677,213,3.45,5770628669,56,Back,5770628671,140,36.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552653,13,4,1,0,59,3cbke8cbou2ms925872vk6dwx,1,49.7,75.2,2025-06-14T16:01:33.702Z,2025-06-14T16:02:22Z,8do2uv6sab8cz1556kk5o1q1g,D. Hafstad,,,5770629567,295,,5770628777,152,,5770628781,286,,5770628773,13,,5770628775,56,Back,5770628783,233,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552637,11,4,1,0,59,8sy0cxovuxo76tuoas3uo55xj,0,50.3,24.8,2025-06-14T16:01:33.703Z,2025-06-14T16:01:49Z,apryim5dle6o29qp6hpio06sq,F. Ellé,,,5770628789,233,13,5770628893,295,,5770628703,152,,5770628699,13,,5770628701,56,Center,5770628707,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552687,14,1,1,1,19,3cbke8cbou2ms925872vk6dwx,0,53.1,70.0,2025-06-14T16:01:54.038Z,2025-06-14T16:01:55Z,bbdoe533sbua0ikwxa8ldo91x,A. Kabashi,,,5770628951,5,,5770628961,141,63.3,5770628957,56,Center,5770628959,140,80.3,5770628963,212,28.9,5770628953,155,,5770628955,152,,5770628965,213,6.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552693,12,12,1,1,20,8sy0cxovuxo76tuoas3uo55xj,1,18.7,25.8,2025-06-14T16:01:55.494Z,2025-06-14T16:01:59Z,c5oixwvc8sk4fxliorsk7a311,J. Toivio,,,5770628997,140,25.9,5770629001,212,9.7,5770629003,213,5.60,5770629005,15,,5770628999,141,16.8,5770628995,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552709,13,61,1,1,24,8sy0cxovuxo76tuoas3uo55xj,0,26.0,25.2,2025-06-14T16:01:58.949Z,2025-06-14T17:00:58Z,5wtugxjwq7fvbeqcak5j5l5nt,M. Larsen,,,5770629071,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552747,16,51,1,1,25,8sy0cxovuxo76tuoas3uo55xj,1,22.5,27.6,2025-06-14T16:02:00.557Z,2025-06-14T16:02:27Z,5wtugxjwq7fvbeqcak5j5l5nt,M. Larsen,,,5770629283,169,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552717,15,15,1,1,26,3cbke8cbou2ms925872vk6dwx,1,84.4,61.1,2025-06-14T16:02:01.429Z,2025-06-14T16:02:27Z,b0wmozayt7xbjz6ihhdiczq0a,J. Latonen,,,5770629533,17,,5770629415,81,,5770629425,146,98.5,5770629683,468,16,5770629433,233,14,5770629419,103,24.7,5770629421,215,,5770629099,22,,5770629323,20,5770629423,458,5770629103,56,Center,5770629427,147,51.1,5770629417,102,47.0,,,,,,,,,,,,,,,,,
2822552727,14,10,1,1,26,8sy0cxovuxo76tuoas3uo55xj,1,3.0,49.3,2025-06-14T16:02:01.529Z,2025-06-14T16:02:23Z,dl6lfojhwzis2gboqxonxu904,M. Zhuk,,,5770629139,173,,5770629145,56,Back,5770629143,182,,5770629437,233,15,5770629613,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552735,15,6,1,1,28,8sy0cxovuxo76tuoas3uo55xj,0,8.1,44.6,2025-06-14T16:02:02.934Z,2025-06-14T18:06:45Z,dl6lfojhwzis2gboqxonxu904,M. Zhuk,,,5770629189,56,Back,5770629197,233,16,5770629191,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552723,16,6,1,1,28,3cbke8cbou2ms925872vk6dwx,1,91.9,55.4,2025-06-14T16:02:02.934Z,2025-06-14T18:06:44Z,b0wmozayt7xbjz6ihhdiczq0a,J. Latonen,,,5770629175,75,,5770629173,56,Center,5770629193,233,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552867,17,1,1,2,4,3cbke8cbou2ms925872vk6dwx,0,99.5,0.5,2025-06-14T16:02:39.206Z,2025-06-14T16:02:41Z,dlpw0ifxzwotsw2ttopgispka,E. Arko-Mensah,,,5770629913,56,Center,5770629915,140,87.3,5770629911,6,,5770629917,141,34.3,5770629921,213,2.08,5770629919,212,26.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552925,18,1,1,2,12,8sy0cxovuxo76tuoas3uo55xj,1,25.0,88.3,2025-06-14T16:02:46.710Z,2025-06-14T16:02:51Z,8bk1u1zlolcgphg6dwdezdre,J. Lehtiranta,,,5770630195,140,62.6,5770630201,213,5.95,5770630193,56,Center,5770630199,212,41.8,5770630203,1,,5770630191,155,,5770630197,141,68.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552949,19,1,1,2,16,8sy0cxovuxo76tuoas3uo55xj,1,65.0,65.4,2025-06-14T16:02:51.622Z,2025-06-14T16:02:54Z,5wtugxjwq7fvbeqcak5j5l5nt,M. Larsen,,,5770630299,213,0.50,5770630291,56,Left,5770630297,212,28.5,5770630295,141,85.7,5770630293,140,88.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552975,20,1,1,2,19,8sy0cxovuxo76tuoas3uo55xj,1,91.7,83.8,2025-06-14T16:02:54.070Z,2025-06-14T16:03:11Z,c538ewmcaz4z73gcftzedbob9,A. Tanaka,1.0,,5770630631,154,,5770630433,141,46.6,5770630435,212,26.1,5770630629,210,13,5770630425,2,,5770630431,140,85.5,5770630427,155,,5770630437,213,4.46,5770630429,56,,,,,,,,,,,,Center,,,,,,,,,,,,,,,,
2822552981,21,13,1,2,23,8sy0cxovuxo76tuoas3uo55xj,1,85.3,48.2,2025-06-14T16:02:58.198Z,2025-06-14T16:03:11Z,4m7qbjhm8zl0z7px053siv6j9,P. Forsell,,,5770630637,154,,5770630523,15,,5770630645,103,65.3,5770630633,74,,5770630455,17,,5770630527,328,,5770630649,231,49.5,5770630643,102,49.9,5770630457,56,5770630639,55,5770630647,230,99.0,5770630635,29,,5770630521,23,,Center,20,,,,,,,,,,,,,,,
2822552977,18,5,1,2,24,3cbke8cbou2ms925872vk6dwx,1,-1.4,55.1,2025-06-14T16:02:58.870Z,2025-06-14T16:05:42Z,bpjmwp030jnapyjfii8nyqdhx,J. Ojala,,,5770630443,346,,5770630441,56,Back,5770630477,233,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552983,22,5,1,2,24,8sy0cxovuxo76tuoas3uo55xj,0,101.4,44.9,2025-06-14T16:02:58.870Z,2025-06-14T16:05:42Z,4m7qbjhm8zl0z7px053siv6j9,P. Forsell,,,5770630473,56,Center,5770630481,233,18,5770630475,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822553047,19,1,1,2,46,3cbke8cbou2ms925872vk6dwx,1,3.4,38.0,2025-06-14T16:03:21.270Z,2025-06-14T16:03:21Z,6q0g98fnbdx5sg52lazo2sqac,P. Gnanou,,,5770630813,212,10.7,5770630805,124,,5770630815,213,1.54,5770630807,56,Back,5770630811,141,53.7,5770630809,140,3.7,5770630819,237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822553051,20,1,1,2,47,3cbke8cbou2ms925872vk6dwx,1,3.7,53.7,2025-06-14T16:03:21.782Z,2025-06-14T16:03:24Z,dxlvcn8a2lhtne6py7w4tbpw5,Á. Craninx,,,5770630843,140,5.0,5770630845,141,73.2,5770630847,212,13.3,5770630841,56,Back,5770630849,213,1.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822553069,21,1,1,2,49,3cbke8cbou2ms925872vk6dwx,1,5.0,73.2,2025-06-14T16:03:24.295Z,2025-06-14T16:03:27Z,bpjmwp030jnapyjfii8nyqdhx,J. Ojala,,,5770630933,56,Center,5770630941,213,6.17,5770630935,140,51.3,5770630943,1,,5770630937,141,64.9,5770630931,155,,5770630939,212,48.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822553075,22,1,1,2,52,3cbke8cbou2ms925872vk6dwx,1,47.3,64.3,2025-06-14T16:03:27.335Z,2025-06-14T16:03:30Z,d8t6nh7paunxlvadzlfx69xx,T. Väyrynen,,,5770630985,213,4.96,5770630977,56,Center,5770630979,140,53.9,5770630981,141,24.0,5770630983,212,28.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822553077,23,1,1,2,55,3cbke8cbou2ms925872vk6dwx,1,52.1,30.4,2025-06-14T16:03:29.942Z,2025-06-14T16:03:31Z,nxt066bqaqw7grehjw514d7t,S. Heiskanen,,,5770630993,141,34.5,5770630989,56,Back,5770630997,213,2.69,5770630991,140,46.6,5770630995,212,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822553101,24,1,1,2,56,3cbke8cbou2ms925872vk6dwx,1,46.6,34.5,2025-06-14T16:03:31.094Z,2025-06-14T16:03:37Z,19yfn0sushy5fc003vhn0skwl,E. Bashkirov,,,5770631123,212,24.3,5770631121,141,4.0,5770631117,56,Right,5770631119,140,58.6,5770631125,213,5.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822553103,25,1,1,3,2,3cbke8cbou2ms925872vk6dwx,1,64.2,14.3,2025-06-14T16:03:36.950Z,2025-06-14T16:03:38Z,166chk5he9ehkh9col37bw3jd,O. Olufunwa,,,5770631139,141,4.9,5770631137,140,67.7,5770631143,213,5.23,5770631135,56,Right,5770631141,212,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822553113,26,1,1,3,3,3cbke8cbou2ms925872vk6dwx,1,67.7,4.9,2025-06-14T16:03:38.022Z,2025-06-14T16:03:41Z,nxt066bqaqw7grehjw514d7t,S. Heiskanen,,,5770631197,140,47.7,5770631201,212,21.4,5770631199,141,11.1,5770631195,56,Back,5770631203,213,2.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822553123,27,1,1,3,7,3cbke8cbou2ms925872vk6dwx,1,47.4,11.6,2025-06-14T16:03:41.895Z,2025-06-14T16:03:45Z,6q0g98fnbdx5sg52lazo2sqac,P. Gnanou,,,5770631259,213,1.77,5770631251,56,Back,5770631257,212,34.2,5770631261,1,,5770631255,141,60.9,5770631253,140,40.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822553127,28,1,1,3,10,3cbke8cbou2ms925872vk6dwx,0,40.9,60.9,2025-06-14T16:03:45.190Z,2025-06-14T16:03:46Z,bpjmwp030jnapyjfii8nyqdhx,J. Ojala,,,5770631275,56,Center,5770631281,212,21.9,5770631279,141,67.3,5770631283,213,0.20,5770631277,140,61.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822553131,23,8,1,3,12,8sy0cxovuxo76tuoas3uo55xj,1,44.0,24.9,2025-06-14T16:03:47.462Z,2025-06-14T17:01:35Z,8bk1u1zlolcgphg6dwdezdre,J. Lehtiranta,,,5770631297,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822553151,25,1,1,3,13,8sy0cxovuxo76tuoas3uo55xj,1,45.9,25.0,2025-06-14T16:03:48.022Z,2025-06-14T16:04:13Z,8bk1u1zlolcgphg6dwdezdre,J. Lehtiranta,,,5770631373,212,10.4,5770631375,213,5.81,5770631369,140,54.7,5770631371,141,18.0,5770631367,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822553153,26,4,1,3,17,8sy0cxovuxo76tuoas3uo55xj,1,60.8,12.0,2025-06-14T16:03:52.405Z,2025-06-14T16:03:56Z,4m7qbjhm8zl0z7px053siv6j9,P. Forsell,,,5770631387,286,,5770631383,152,,5770631381,56,Right,5770631379,13,,5770631385,265,,5770631389,233,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822553149,29,4,1,3,17,3cbke8cbou2ms925872vk6dwx,0,39.2,88.0,2025-06-14T16:03:52.406Z,2025-06-14T16:03:56Z,bbdoe533sbua0ikwxa8ldo91x,A. Kabashi,,,5770631363,265,,5770631365,285,,5770631357,13,,5770631361,152,,5770631359,56,Back,5770631423,233,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822553269,27,1,1,3,51,8sy0cxovuxo76tuoas3uo55xj,1,62.9,13.4,2025-06-14T16:04:26.087Z,2025-06-14T16:04:29Z,4m7qbjhm8zl0z7px053siv6j9,P. Forsell,,,5770632013,5,,5770632023,141,66.4,5770632025,212,48.6,5770632015,155,,5770632017,152,,5770632021,140,93.9,5770632027,213,0.84,5770632029,1,,5770632019,56,,,,,,,,,,,,Center,,,,,,,,,,,,,,,,
2822553273,28,1,1,3,54,8sy0cxovuxo76tuoas3uo55xj,0,93.9,66.4,2025-06-14T16:04:29.383Z,2025-06-14T16:04:29Z,c5oixwvc8sk4fxliorsk7a311,J. Toivio,,,5770632051,56,Center,5770632053,140,97.7,5770632057,212,7.4,5770632059,213,5.29,5770632055,141,57.3,5770632049,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822553275,30,61,1,3,55,3cbke8cbou2ms925872vk6dwx,1,3.1,33.1,2025-06-14T16:04:30.002Z,2025-06-14T16:14:31Z,6q0g98fnbdx5sg52lazo2sqac,P. Gnanou,,,5770632061,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822553281,31,12,1,3,56,3cbke8cbou2ms925872vk6dwx,1,6.0,48.7,2025-06-14T16:04:31.254Z,2025-06-14T16:05:05Z,d8t6nh7paunxlvadzlfx69xx,T. Väyrynen,,,5770632087,141,95.7,5770632083,56,Back,5770632091,213,0.83,5770632085,140,33.8,5770632089,212,43.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
