id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/10/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/15/value,qualifier/14/value
2815813297,5,50,1,0,11,duspptyvnr5kpx2iko5gerhnz,1,41.0,86.5,2025-05-17T15:59:51.968Z,2025-05-17T16:47:03Z,eaa9sktij53071abummj4pkwk,A. Cicale,,5733026491,233,8,5733026349,286,,5733026347,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815813315,8,7,1,0,11,7efqk7uh63928il0yffxijnv7,1,59.0,13.5,2025-05-17T15:59:51.969Z,2025-05-17T16:47:03Z,cbceals9gkfqlywg94zzzlgb9,F. Valenčič,,5733026473,233,5,5733026463,285,,5733026461,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815813325,9,1,1,0,13,7efqk7uh63928il0yffxijnv7,1,59.6,15.8,2025-05-17T15:59:54.191Z,2025-05-17T15:59:55Z,cbceals9gkfqlywg94zzzlgb9,F. Valenčič,,5733026521,141,16.5,5733026517,56,Right,5733026523,212,4.9,5733026525,213,3.04,5733026519,140,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815813331,10,1,1,0,14,7efqk7uh63928il0yffxijnv7,0,55.0,16.5,2025-05-17T15:59:55.310Z,2025-05-17T15:59:56Z,5pa2n5nlvexr6z7nu65uz0qqy,R. Polley,,5733026559,140,58.2,5733026561,141,5.8,5733026565,213,5.15,5733026563,212,8.0,5733026557,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815813323,6,61,1,0,14,duspptyvnr5kpx2iko5gerhnz,1,39.0,91.5,2025-05-17T15:59:55.398Z,2025-05-17T15:59:55Z,eaa9sktij53071abummj4pkwk,A. Cicale,,5733026515,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815813345,7,5,1,0,16,duspptyvnr5kpx2iko5gerhnz,0,41.7,101.8,2025-05-17T15:59:57.246Z,2025-05-17T16:14:46Z,eaa9sktij53071abummj4pkwk,A. Cicale,,5733026633,56,Back,5733026635,347,,5733026649,233,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815813343,11,5,1,0,16,7efqk7uh63928il0yffxijnv7,1,58.3,-1.8,2025-05-17T15:59:57.246Z,2025-05-17T16:14:45Z,5pa2n5nlvexr6z7nu65uz0qqy,R. Polley,,5733026639,233,7,5733026625,347,,5733026623,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815813381,12,1,1,0,21,7efqk7uh63928il0yffxijnv7,0,54.4,0.0,2025-05-17T16:00:02.334Z,2025-05-17T16:06:04Z,5pa2n5nlvexr6z7nu65uz0qqy,R. Polley,,5733026831,212,29.7,5733026859,189,,5733026825,56,Right,5733026829,141,9.0,5733026833,213,0.23,5733026823,107,,5733026827,140,81.9,5733026835,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815815537,53,1,1,0,22,duspptyvnr5kpx2iko5gerhnz,1,8.7,87.1,2025-05-17T16:00:02.935Z,2025-05-17T16:07:28Z,1zud0qdtf6c6wzkgqhz6b94a1,M. Haukioja,,5733052823,213,5.92,5733052821,212,18.6,5733052813,157,,5733052817,140,25.2,5733053201,189,,5733052825,1,,5733052819,141,77.3,5733052815,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815813471,8,1,1,0,23,duspptyvnr5kpx2iko5gerhnz,0,25.1,78.5,2025-05-17T16:00:04.063Z,2025-05-17T16:42:59Z,80mvshlrrlu5vt41gkruwn8fe,Y. El Ouatki,,5733027303,213,0.00,5733027293,3,,5733027297,140,31.9,5733027295,56,Back,5733027299,141,78.5,5733027301,212,7.1,5733046637,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815813405,13,61,1,0,25,7efqk7uh63928il0yffxijnv7,1,65.7,27.4,2025-05-17T16:00:06.263Z,2025-05-17T16:00:06Z,80115v2kkgjym3ubywmkz654a,M. Kusu,,5733026955,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815813421,14,1,1,0,26,7efqk7uh63928il0yffxijnv7,1,61.5,20.6,2025-05-17T16:00:07.502Z,2025-05-17T16:00:09Z,4y7niu1b8drpeccb84s2e9wwl,S. Eremenko,,5733027031,141,9.5,5733027033,212,8.3,5733027029,140,58.3,5733027027,56,Right,5733027035,213,4.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815813451,15,1,1,0,28,7efqk7uh63928il0yffxijnv7,0,58.2,8.9,2025-05-17T16:00:08.943Z,2025-05-17T16:00:14Z,5pa2n5nlvexr6z7nu65uz0qqy,R. Polley,,5733027183,157,,5733027187,140,66.8,5733027193,213,1.40,5733027191,212,52.4,5733027195,1,,5733027185,56,Left,5733027189,141,84.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815813485,9,3,1,0,36,duspptyvnr5kpx2iko5gerhnz,1,36.6,15.0,2025-05-17T16:00:17.488Z,2025-05-17T17:53:23Z,72d57i3mfqxtbsmm196kdv0fd,T. Dekker,,5733027411,233,16,5733027383,56,Back,5733027385,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815813473,16,45,1,0,36,7efqk7uh63928il0yffxijnv7,0,63.4,85.0,2025-05-17T16:00:17.488Z,2025-05-17T17:53:23Z,d7od1kij5jchngdcwlvls0max,S. Kähkönen,,5733027325,56,Left,5733027327,285,,5733027415,233,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815813489,10,1,1,0,39,duspptyvnr5kpx2iko5gerhnz,0,34.5,4.1,2025-05-17T16:00:19.757Z,2025-05-17T16:00:32Z,72d57i3mfqxtbsmm196kdv0fd,T. Dekker,,5733027627,212,4.1,5733027623,140,38.3,5733027621,157,,5733027631,1,,5733027683,286,,5733027625,141,5.6,5733027677,236,,5733027679,233,17,5733027395,56,Back,5733027629,213,0.25,,,,,,,,,,,,,,,,,,,,,
2815813481,17,74,1,0,39,7efqk7uh63928il0yffxijnv7,1,57.0,95.7,2025-05-17T16:00:19.758Z,2025-05-17T16:00:32Z,npha09mhy3755go8t6lg3ey2,A. Bjonbäck,,5733027689,233,10,5733027353,285,,5733027349,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815813497,11,5,1,0,40,duspptyvnr5kpx2iko5gerhnz,1,35.6,-1.0,2025-05-17T16:00:20.942Z,2025-05-17T16:14:46Z,72d57i3mfqxtbsmm196kdv0fd,T. Dekker,,5733027451,56,Back,5733027453,347,,5733027455,233,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815813487,18,5,1,0,40,7efqk7uh63928il0yffxijnv7,0,64.4,101.0,2025-05-17T16:00:20.942Z,2025-05-17T16:00:27Z,npha09mhy3755go8t6lg3ey2,A. Bjonbäck,,5733027391,347,,5733027389,56,Left,5733027463,233,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815813515,12,1,1,0,47,duspptyvnr5kpx2iko5gerhnz,1,27.3,0.0,2025-05-17T16:00:27.919Z,2025-05-17T16:09:38Z,1wg15zg0fffyoag6owdh35vkk,V. Rönnberg,,5733027535,56,Back,5733027539,141,8.0,5733027543,213,1.76,5733027533,107,,5733027537,140,26.1,5733027541,212,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815813531,13,1,1,0,48,duspptyvnr5kpx2iko5gerhnz,1,26.1,8.0,2025-05-17T16:00:29.246Z,2025-05-17T16:00:32Z,5ynhzqvpks5u5bjgno6snhyzu,P. Ahiabu,,5733027659,56,Back,5733027661,140,23.0,5733027663,141,38.0,5733027667,213,1.73,5733027665,212,20.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815813541,14,1,1,0,51,duspptyvnr5kpx2iko5gerhnz,1,23.0,39.5,2025-05-17T16:00:31.839Z,2025-05-17T16:00:35Z,1zud0qdtf6c6wzkgqhz6b94a1,M. Haukioja,,5733027727,56,Back,5733027735,213,1.45,5733027731,141,82.4,5733027733,212,29.4,5733027729,140,26.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815813555,15,1,1,0,54,duspptyvnr5kpx2iko5gerhnz,1,32.0,83.9,2025-05-17T16:00:34.911Z,2025-05-17T16:00:37Z,1xquqxm7zxe002v8dc2z46sb9,J. Engström,,5733027813,213,0.67,5733027805,56,Back,5733027811,212,10.2,5733027809,141,93.2,5733027807,140,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815813569,16,1,1,0,56,duspptyvnr5kpx2iko5gerhnz,1,39.6,93.2,2025-05-17T16:00:36.911Z,2025-05-17T16:00:39Z,eaa9sktij53071abummj4pkwk,A. Cicale,,5733027889,212,14.8,5733027885,140,26.2,5733027891,213,3.46,5733027887,141,86.3,5733027883,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815813609,17,1,1,0,58,duspptyvnr5kpx2iko5gerhnz,1,26.7,82.1,2025-05-17T16:00:39.119Z,2025-05-17T16:00:44Z,1xquqxm7zxe002v8dc2z46sb9,J. Engström,,5733028139,56,Back,5733028141,140,22.4,5733028145,212,13.6,5733028147,213,4.37,5733028143,141,63.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815813627,18,1,1,1,3,duspptyvnr5kpx2iko5gerhnz,1,27.0,68.1,2025-05-17T16:00:43.983Z,2025-05-17T16:00:47Z,1zud0qdtf6c6wzkgqhz6b94a1,M. Haukioja,,5733028271,56,Back,5733028279,213,5.07,5733028273,140,32.7,5733028277,212,17.3,5733028275,141,44.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815813687,19,1,1,1,6,duspptyvnr5kpx2iko5gerhnz,1,37.2,37.7,2025-05-17T16:00:47.071Z,2025-05-17T16:00:54Z,5ynhzqvpks5u5bjgno6snhyzu,P. Ahiabu,,5733028613,213,6.11,5733028605,56,Center,5733028611,212,56.6,5733028609,141,23.1,5733028603,155,,5733028615,1,,5733028607,140,90.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815813691,20,50,1,1,12,duspptyvnr5kpx2iko5gerhnz,1,90.0,24.2,2025-05-17T16:00:53.309Z,2025-05-17T16:00:57Z,6zw6j1zpm7vs8zkx5z6enqpgq,M. Borchers,,5733028631,286,,5733028695,233,19,5733028629,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815813695,19,7,1,1,12,7efqk7uh63928il0yffxijnv7,1,10.0,75.8,2025-05-17T16:00:53.310Z,2025-05-17T16:00:56Z,npha09mhy3755go8t6lg3ey2,A. Bjonbäck,,5733028659,233,20,5733028637,285,,5733028635,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815813737,21,1,1,1,15,7efqk7uh63928il0yffxijnv7,0,18.5,77.3,2025-05-17T16:00:55.935Z,2025-05-17T16:00:58Z,npha09mhy3755go8t6lg3ey2,A. Bjonbäck,,5733028875,141,82.1,5733028877,212,41.6,5733028873,140,58.0,5733028881,1,,5733028869,155,,5733028871,56,Left,5733028879,213,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815813759,21,1,1,1,18,duspptyvnr5kpx2iko5gerhnz,1,36.8,19.7,2025-05-17T16:00:59.214Z,2025-05-17T16:01:13Z,1zud0qdtf6c6wzkgqhz6b94a1,M. Haukioja,,5733028963,213,0.19,5733028955,56,Back,5733028959,141,22.4,5733028961,212,9.6,5733028957,140,45.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815813799,23,1,1,1,20,duspptyvnr5kpx2iko5gerhnz,1,45.7,22.4,2025-05-17T16:01:01.519Z,2025-05-17T16:01:05Z,5ynhzqvpks5u5bjgno6snhyzu,P. Ahiabu,,5733029175,213,3.26,5733029169,140,34.3,5733029173,212,12.1,5733029167,56,Back,5733029171,141,20.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815813801,24,61,1,1,24,duspptyvnr5kpx2iko5gerhnz,1,34.9,15.6,2025-05-17T16:01:05.055Z,2025-05-17T16:01:09Z,1zud0qdtf6c6wzkgqhz6b94a1,M. Haukioja,,5733029339,238,,5733029183,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815813805,22,5,1,1,25,7efqk7uh63928il0yffxijnv7,1,68.5,101.7,2025-05-17T16:01:06.303Z,2025-05-17T16:14:47Z,npha09mhy3755go8t6lg3ey2,A. Bjonbäck,,5733029237,233,25,5733029203,347,,5733029201,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815813811,25,5,1,1,25,duspptyvnr5kpx2iko5gerhnz,0,31.5,-1.7,2025-05-17T16:01:06.303Z,2025-05-17T16:14:47Z,1zud0qdtf6c6wzkgqhz6b94a1,M. Haukioja,,5733029235,347,,5733029233,56,Back,5733029257,233,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815813997,23,27,1,1,48,7efqk7uh63928il0yffxijnv7,1,0.0,0.0,2025-05-17T16:01:29.088Z,2025-05-17T16:01:33Z,,,,5733030415,233,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815814009,26,27,1,1,48,duspptyvnr5kpx2iko5gerhnz,1,0.0,0.0,2025-05-17T16:01:29.088Z,2025-05-17T16:01:32Z,,,,5733030383,53,6zw6j1zpm7vs8zkx5z6enqpgq,5733030381,41,Injury,5733030401,233,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815814277,24,28,1,2,20,7efqk7uh63928il0yffxijnv7,1,0.0,0.0,2025-05-17T16:02:01.143Z,2025-05-17T16:02:03Z,,,,5733031931,233,27,5733031825,55,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815814295,27,28,1,2,20,duspptyvnr5kpx2iko5gerhnz,1,0.0,0.0,2025-05-17T16:02:01.143Z,2025-05-17T16:02:02Z,,,,5733031895,233,24,5733031889,55,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815814331,25,1,1,2,22,7efqk7uh63928il0yffxijnv7,0,59.2,100.0,2025-05-17T16:02:02.830Z,2025-05-17T16:02:14Z,npha09mhy3755go8t6lg3ey2,A. Bjonbäck,,5733032085,140,70.1,5733032165,238,,5733032089,212,17.6,5733032083,56,Left,5733032087,141,81.7,5733032091,213,5.42,5733032385,189,,5733032081,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815814353,28,49,1,2,24,duspptyvnr5kpx2iko5gerhnz,1,23.0,12.6,2025-05-17T16:02:04.568Z,2025-05-17T16:10:31Z,1zud0qdtf6c6wzkgqhz6b94a1,M. Haukioja,,5733067065,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815814365,29,1,1,2,27,duspptyvnr5kpx2iko5gerhnz,1,24.4,22.5,2025-05-17T16:02:08.014Z,2025-05-17T16:02:08Z,1zud0qdtf6c6wzkgqhz6b94a1,M. Haukioja,,5733032283,56,Back,5733032287,141,67.8,5733032291,213,1.45,5733032285,140,28.1,5733032289,212,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815814391,30,1,1,2,28,duspptyvnr5kpx2iko5gerhnz,1,28.1,67.8,2025-05-17T16:02:08.622Z,2025-05-17T16:02:11Z,1xquqxm7zxe002v8dc2z46sb9,J. Engström,,5733032423,213,4.69,5733032417,140,27.4,5733032421,212,29.1,5733032419,141,25.0,5733032415,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815814419,31,1,1,2,30,duspptyvnr5kpx2iko5gerhnz,1,27.7,27.4,2025-05-17T16:02:11.198Z,2025-05-17T16:02:15Z,1zud0qdtf6c6wzkgqhz6b94a1,M. Haukioja,,5733032577,213,5.01,5733032575,212,14.9,5733032573,141,6.4,5733032569,56,Back,5733032571,140,31.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815814441,32,1,1,2,34,duspptyvnr5kpx2iko5gerhnz,1,36.0,7.9,2025-05-17T16:02:15.198Z,2025-05-17T16:02:17Z,1wg15zg0fffyoag6owdh35vkk,V. Rönnberg,,5733032713,212,13.2,5733032711,141,20.4,5733032709,140,26.4,5733032707,56,Back,5733032715,213,2.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815814483,33,1,1,2,36,duspptyvnr5kpx2iko5gerhnz,1,27.1,22.7,2025-05-17T16:02:17.470Z,2025-05-17T16:02:20Z,1zud0qdtf6c6wzkgqhz6b94a1,M. Haukioja,,5733032971,213,2.22,5733032969,212,29.8,5733032963,56,Back,5733032967,141,57.6,5733032965,140,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815814521,34,1,1,2,40,duspptyvnr5kpx2iko5gerhnz,1,12.7,60.2,2025-05-17T16:02:20.767Z,2025-05-17T16:02:24Z,45kijyqwuvgoc6hx51yueyeol,T. Marttinen,,5733033169,141,85.3,5733033165,56,Back,5733033171,212,18.8,5733033173,213,1.14,5733033167,140,20.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815814553,35,1,1,2,44,duspptyvnr5kpx2iko5gerhnz,1,25.7,72.7,2025-05-17T16:02:24.751Z,2025-05-17T16:02:27Z,1xquqxm7zxe002v8dc2z46sb9,J. Engström,,5733033347,213,4.68,5733033345,212,18.5,5733033343,141,45.5,5733033341,140,25.2,5733033339,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815814605,36,1,1,2,46,duspptyvnr5kpx2iko5gerhnz,1,26.8,44.6,2025-05-17T16:02:27.182Z,2025-05-17T16:02:33Z,1zud0qdtf6c6wzkgqhz6b94a1,M. Haukioja,,5733033707,140,36.6,5733033709,141,10.7,5733033711,212,25.2,5733033705,56,Back,5733033713,213,5.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815814629,37,1,1,2,53,duspptyvnr5kpx2iko5gerhnz,1,38.9,12.5,2025-05-17T16:02:33.614Z,2025-05-17T16:02:36Z,1wg15zg0fffyoag6owdh35vkk,V. Rönnberg,,5733033843,212,15.6,5733033837,56,Back,5733033841,141,26.1,5733033845,213,2.51,5733033839,140,26.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815814665,38,1,1,2,55,duspptyvnr5kpx2iko5gerhnz,1,27.0,25.8,2025-05-17T16:02:36.286Z,2025-05-17T16:02:40Z,1zud0qdtf6c6wzkgqhz6b94a1,M. Haukioja,,5733034029,1,,5733034021,212,33.9,5733034015,56,Back,5733034017,140,26.3,5733034019,141,75.7,5733034025,213,1.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
