id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/9/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/14/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2820727889,4,7,1,0,11,7efqk7uh63928il0yffxijnv7,0,58.0,23.8,2025-06-01T15:31:16.652Z,2025-06-01T16:21:14Z,4y7niu1b8drpeccb84s2e9wwl,S. Eremenko,,,5760373743,285,,5760373741,56,Center,5760373749,233,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820727897,8,61,1,0,12,8eab5wbcnttsiosd1o8c71gmk,0,41.0,82.4,2025-06-01T15:31:18.323Z,2025-06-01T15:31:18Z,c90jak72lerrxc3kpo73cupsk,B. Ampofo,,,5760373789,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820727923,6,1,1,0,14,7efqk7uh63928il0yffxijnv7,1,71.7,33.9,2025-06-01T15:31:20.512Z,2025-06-01T15:31:28Z,4y7niu1b8drpeccb84s2e9wwl,S. Eremenko,,,5760373973,155,,5760373979,141,78.1,5760373975,56,Center,5760373981,212,41.5,5760373983,213,0.81,5760373977,140,98.9,5760373985,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820727911,9,83,1,0,19,8eab5wbcnttsiosd1o8c71gmk,0,6.3,28.2,2025-06-01T15:31:25.490Z,2025-06-01T15:31:31Z,2fw3pz0v22kdbiognam8zsvoq,L. Kuittinen,,,5760374115,399,a3elaln9izarzlwqkwc4ynpey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820727943,7,1,1,0,22,7efqk7uh63928il0yffxijnv7,1,97.6,77.3,2025-06-01T15:31:28.276Z,2025-06-01T15:31:30Z,a3elaln9izarzlwqkwc4ynpey,K. Cissoko,,,5760374077,141,94.5,5760374081,213,2.36,5760374079,212,16.6,5760374073,56,Left,5760374075,140,86.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820727947,8,1,1,0,25,7efqk7uh63928il0yffxijnv7,1,85.3,94.5,2025-06-01T15:31:30.869Z,2025-06-01T15:31:33Z,d7od1kij5jchngdcwlvls0max,S. Kähkönen,,,5760374107,212,16.2,5760374109,213,3.10,5760374103,140,69.9,5760374101,56,Left,5760374105,141,95.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820727985,9,1,1,0,27,7efqk7uh63928il0yffxijnv7,1,66.6,94.7,2025-06-01T15:31:33.275Z,2025-06-01T15:31:35Z,dtdqh03syykiv1cjstn2lhkvd,J. Myrevik,,,5760374299,213,3.93,5760374291,140,46.1,5760374293,141,62.9,5760374297,212,30.5,5760374289,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820728009,10,1,1,0,30,7efqk7uh63928il0yffxijnv7,1,46.1,62.9,2025-06-01T15:31:35.946Z,2025-06-01T15:31:41Z,3cmp95fpjtqoc5njb5p7c9g8a,E. Gunnarsson,,,5760374485,212,21.4,5760374481,140,45.7,5760374483,141,31.5,5760374489,213,4.69,5760374479,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820728017,11,1,1,0,36,7efqk7uh63928il0yffxijnv7,0,56.7,32.5,2025-06-01T15:31:41.758Z,2025-06-01T15:31:43Z,dcv2hunon4wgijgt4kljtqxg5,J. Brunell,,,5760374577,1,,5760374565,155,,5760374573,212,42.0,5760374571,141,80.2,5760374569,140,82.1,5760374567,56,Left,5760374575,213,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820728019,10,8,1,0,38,8eab5wbcnttsiosd1o8c71gmk,1,24.1,28.5,2025-06-01T15:31:44.411Z,2025-06-01T15:31:45Z,a9234jafv17dcvbu54expih91,A. Granlund,,,5760374579,56,Back,5760374581,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820728023,11,61,1,0,40,8eab5wbcnttsiosd1o8c71gmk,0,35.7,25.3,2025-06-01T15:31:45.738Z,2025-06-01T15:37:11Z,bwn0e8pjrikjcpold20o2os2c,A. Essomba,,,5760374601,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820728041,12,1,1,0,41,7efqk7uh63928il0yffxijnv7,0,62.5,79.1,2025-06-01T15:31:46.600Z,2025-06-01T15:37:37Z,6iaszy97sphbfkhfxdwd93g15,M. Ogungbaro,,,5760374685,213,1.08,5760374677,56,Left,5760374683,212,16.4,5760374679,140,69.8,5760374681,141,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820728043,13,43,1,0,43,7efqk7uh63928il0yffxijnv7,1,0.0,0.0,2025-06-01T15:31:49.346Z,2025-06-01T15:37:39Z,d7od1kij5jchngdcwlvls0max,S. Kähkönen,,,5760374693,56,Left,5760387705,144,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820728055,12,5,1,0,44,8eab5wbcnttsiosd1o8c71gmk,1,26.4,-1.6,2025-06-01T15:31:50.471Z,2025-06-01T16:21:40Z,bwn0e8pjrikjcpold20o2os2c,A. Essomba,,,5760374727,347,,5760374735,233,14,5760374725,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820728047,14,5,1,0,44,7efqk7uh63928il0yffxijnv7,0,73.6,101.6,2025-06-01T15:31:50.471Z,2025-06-01T15:31:54Z,d7od1kij5jchngdcwlvls0max,S. Kähkönen,,,5760374711,347,,5760374755,233,12,5760374709,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820728135,13,1,1,1,0,8eab5wbcnttsiosd1o8c71gmk,1,33.2,0.0,2025-06-01T15:32:05.996Z,2025-06-01T15:32:08Z,a9234jafv17dcvbu54expih91,A. Granlund,,,5760375215,56,Right,5760375223,213,0.33,5760375221,212,19.6,5760375213,107,,5760375219,141,7.4,5760375217,140,50.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820728141,14,1,1,1,3,8eab5wbcnttsiosd1o8c71gmk,1,45.6,9.0,2025-06-01T15:32:08.643Z,2025-06-01T15:38:25Z,50pntfz4g78co2q68kno332z9,J. Tuominen,,,5760375243,3,,5760375257,156,,5760375249,141,2.7,5760375245,56,Back,5760375253,213,3.34,5760375251,212,21.4,5760375247,140,25.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820728147,15,43,1,1,5,8eab5wbcnttsiosd1o8c71gmk,1,0.0,0.0,2025-06-01T15:32:11.409Z,2025-06-01T15:38:18Z,a9234jafv17dcvbu54expih91,A. Granlund,,,5760375269,56,Back,5760389165,144,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820728181,16,1,1,1,7,8eab5wbcnttsiosd1o8c71gmk,0,27.0,2.8,2025-06-01T15:32:12.587Z,2025-06-01T15:32:17Z,2fw3pz0v22kdbiognam8zsvoq,L. Kuittinen,,,5760375445,157,,5760375449,140,64.3,5760375457,1,,5760375455,213,0.55,5760375447,56,Center,5760375451,141,38.0,5760375453,212,45.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820728187,15,44,1,1,10,7efqk7uh63928il0yffxijnv7,1,37.0,59.4,2025-06-01T15:32:16.310Z,2025-06-01T16:21:25Z,dcv2hunon4wgijgt4kljtqxg5,J. Brunell,,,5760375483,233,17,5760375477,285,,5760375475,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820728183,17,44,1,1,10,8eab5wbcnttsiosd1o8c71gmk,0,63.0,40.6,2025-06-01T15:32:16.311Z,2025-06-01T16:21:25Z,9wpb7yiz7zdsb7bj70ornyfis,J. Kekarainen,,,5760375463,286,,5760375461,56,Center,5760375487,233,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820728189,16,1,1,1,11,7efqk7uh63928il0yffxijnv7,0,36.6,55.8,2025-06-01T15:32:17.216Z,2025-06-01T15:39:09Z,dcv2hunon4wgijgt4kljtqxg5,J. Brunell,,,5760391177,212,0.6,5760391173,140,37.2,5760391171,3,,5760391179,213,0.00,5760375479,56,Back,5760391175,141,55.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820728191,18,61,1,1,12,8eab5wbcnttsiosd1o8c71gmk,1,64.3,38.0,2025-06-01T15:32:17.746Z,2025-06-01T15:39:02Z,9wpb7yiz7zdsb7bj70ornyfis,J. Kekarainen,,,5760375481,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820728233,17,2,1,1,15,7efqk7uh63928il0yffxijnv7,1,40.0,52.3,2025-06-01T15:32:20.840Z,2025-06-01T15:39:22Z,6iaszy97sphbfkhfxdwd93g15,M. Ogungbaro,,,5760375709,141,63.4,5760375707,140,62.8,5760375729,7,a3elaln9izarzlwqkwc4ynpey,5760375733,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820728255,19,55,1,1,15,8eab5wbcnttsiosd1o8c71gmk,1,39.0,38.7,2025-06-01T15:32:20.841Z,2025-06-01T16:21:13Z,2fw3pz0v22kdbiognam8zsvoq,L. Kuittinen,,,5760375863,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820728383,20,1,1,1,39,8eab5wbcnttsiosd1o8c71gmk,1,34.2,57.6,2025-06-01T15:32:45.419Z,2025-06-01T15:32:49Z,53kd57a8pwjno3l6cou3nexn9,J. Hämäläinen,,,5760376587,213,0.51,5760376579,56,Left,5760376573,5,,5760376575,155,,5760376577,241,,5760376583,141,93.5,5760376581,140,75.7,5760376589,1,,5760376585,212,49.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820728391,21,1,1,1,44,8eab5wbcnttsiosd1o8c71gmk,0,75.7,93.5,2025-06-01T15:32:49.779Z,2025-06-01T15:42:47Z,9618hk1lq7i6see347k7plkyy,M. Sarr,,,5760376629,3,,5760376637,212,19.8,5760376631,56,Center,5760376633,140,88.5,5760376639,213,5.46,5760376635,141,72.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820728417,18,12,1,1,45,7efqk7uh63928il0yffxijnv7,1,13.5,25.6,2025-06-01T15:32:51.117Z,2025-06-01T15:32:53Z,dcv2hunon4wgijgt4kljtqxg5,J. Brunell,,,5760376791,213,5.31,5760376783,141,22.4,5760376781,140,14.9,5760376779,56,Back,5760376787,212,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820728407,22,1,1,1,46,8eab5wbcnttsiosd1o8c71gmk,0,88.5,72.1,2025-06-01T15:32:52.418Z,2025-06-01T15:32:52Z,50pntfz4g78co2q68kno332z9,J. Tuominen,,,5760376737,56,Center,5760376741,141,74.1,5760376743,212,1.4,5760376745,213,1.57,5760376739,140,88.5,5760376735,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820728423,19,61,1,1,47,7efqk7uh63928il0yffxijnv7,1,13.2,21.3,2025-06-01T15:32:53.506Z,2025-06-01T15:43:11Z,5pa2n5nlvexr6z7nu65uz0qqy,R. Polley,,,5760376805,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820728427,20,83,1,1,48,7efqk7uh63928il0yffxijnv7,0,13.4,21.8,2025-06-01T15:32:54.006Z,2025-06-01T15:32:59Z,5pa2n5nlvexr6z7nu65uz0qqy,R. Polley,,,5760377063,399,50pntfz4g78co2q68kno332z9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820728435,21,45,1,1,49,7efqk7uh63928il0yffxijnv7,0,13.2,28.0,2025-06-01T15:32:54.627Z,2025-06-01T16:21:22Z,dcv2hunon4wgijgt4kljtqxg5,J. Brunell,,,5760377083,233,23,5760376867,285,,5760376865,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820728465,23,3,1,1,49,8eab5wbcnttsiosd1o8c71gmk,1,86.8,72.0,2025-06-01T15:32:54.627Z,2025-06-01T16:21:22Z,50pntfz4g78co2q68kno332z9,J. Tuominen,,,5760377037,56,Center,5760377039,286,,5760377065,233,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820728541,24,83,1,1,49,7efqk7uh63928il0yffxijnv7,0,8.5,27.6,2025-06-01T15:32:55.207Z,2025-06-01T15:43:41Z,5pa2n5nlvexr6z7nu65uz0qqy,R. Polley,,,5760401473,399,50pntfz4g78co2q68kno332z9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820728483,24,1,1,1,53,8eab5wbcnttsiosd1o8c71gmk,0,98.8,70.3,2025-06-01T15:32:59.074Z,2025-06-01T15:43:23Z,50pntfz4g78co2q68kno332z9,J. Tuominen,,,5760377141,56,Center,5760377143,140,95.7,5760377145,141,61.1,5760377151,213,4.23,5760377147,212,7.1,5760377139,155,,5760377191,195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820728477,22,12,1,1,54,7efqk7uh63928il0yffxijnv7,1,2.6,39.8,2025-06-01T15:32:59.724Z,2025-06-01T15:33:01Z,dcv2hunon4wgijgt4kljtqxg5,J. Brunell,,,5760377109,212,6.8,5760377103,56,Back,5760377111,213,4.12,5760377105,140,0.0,5760377107,141,31.5,5760377137,15,,5760377217,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820728487,23,6,1,1,55,7efqk7uh63928il0yffxijnv7,0,1.0,34.3,2025-06-01T15:33:01.021Z,2025-06-01T16:21:12Z,dcv2hunon4wgijgt4kljtqxg5,J. Brunell,,,5760377265,233,25,5760377229,56,Back,5760377231,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820728495,25,6,1,1,55,8eab5wbcnttsiosd1o8c71gmk,1,99.0,65.7,2025-06-01T15:33:01.021Z,2025-06-01T16:21:12Z,50pntfz4g78co2q68kno332z9,J. Tuominen,,,5760377225,73,,5760377257,233,23,5760377223,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820728675,26,1,1,2,20,8eab5wbcnttsiosd1o8c71gmk,1,99.5,99.5,2025-06-01T15:33:26.033Z,2025-06-01T15:33:39Z,c1f7vp2u7fndbs1q67yhze1hw,A. Kouame,1.0,,5760378321,140,92.8,5760378313,6,,5760378323,141,60.3,5760378311,2,,5760378319,56,Center,5760378653,210,13,5760378327,213,4.45,5760378317,223,,5760378325,212,27.6,5760378315,155,5760378655,154,,,,,,,,,,,,,,,,,,,,,,,
2820728691,28,13,1,2,22,8eab5wbcnttsiosd1o8c71gmk,1,92.9,63.4,2025-06-01T15:33:28.123Z,2025-06-01T16:25:17Z,a9234jafv17dcvbu54expih91,A. Granlund,,,5760378659,29,,5760378525,328,,5760378379,56,Center,5760480659,64,,5760378667,102,54.3,5760378673,231,53.1,5760378671,230,99.1,5760378519,25,,5760378521,15,,5760378661,154,5760378663,55,26,5760378669,103,66.7,5760403039,74,,,,,,,,,,,,,,,,,
2820728679,25,5,1,2,22,7efqk7uh63928il0yffxijnv7,1,-1.2,57.8,2025-06-01T15:33:28.386Z,2025-06-01T16:21:41Z,5pa2n5nlvexr6z7nu65uz0qqy,R. Polley,,,5760378335,56,Back,5760378477,233,29,5760378337,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820728699,29,5,1,2,22,8eab5wbcnttsiosd1o8c71gmk,0,101.2,42.2,2025-06-01T15:33:28.386Z,2025-06-01T16:21:41Z,53kd57a8pwjno3l6cou3nexn9,J. Hämäläinen,,,5760378481,233,25,5760378457,56,Center,5760378459,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820728685,27,43,1,2,23,8eab5wbcnttsiosd1o8c71gmk,1,0.0,0.0,2025-06-01T15:33:28.722Z,2025-06-01T15:33:32Z,53kd57a8pwjno3l6cou3nexn9,J. Hämäläinen,,,5760378345,56,Center,5760378487,144,44,5760378351,286,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820728767,26,1,1,2,40,7efqk7uh63928il0yffxijnv7,1,3.8,59.4,2025-06-01T15:33:46.149Z,2025-06-01T15:33:49Z,3cmp95fpjtqoc5njb5p7c9g8a,E. Gunnarsson,,,5760378977,237,,5760378965,56,Back,5760378969,141,46.4,5760378963,124,,5760378971,212,8.9,5760378973,213,4.77,5760378967,140,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820728791,27,1,1,2,43,7efqk7uh63928il0yffxijnv7,0,7.4,39.7,2025-06-01T15:33:49.429Z,2025-06-01T15:33:52Z,66zsjkvxs4cbh9u63hk273t1x,Miguel Santos,,,5760379111,1,,5760379105,141,42.2,5760379099,157,,5760379107,212,48.5,5760379109,213,0.04,5760379103,140,53.6,5760379101,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820728805,30,1,1,2,47,8eab5wbcnttsiosd1o8c71gmk,1,44.2,56.6,2025-06-01T15:33:53.123Z,2025-06-01T15:33:55Z,2fw3pz0v22kdbiognam8zsvoq,L. Kuittinen,,,5760379185,212,25.4,5760379177,3,,5760379187,213,5.72,5760379179,56,Center,5760379183,141,36.6,5760379181,140,64.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820728857,32,1,1,2,50,8eab5wbcnttsiosd1o8c71gmk,1,64.8,40.0,2025-06-01T15:33:55.729Z,2025-06-01T15:34:02Z,bwn0e8pjrikjcpold20o2os2c,A. Essomba,,,5760379413,140,81.8,5760379423,213,0.39,5760379421,212,19.3,5760379409,56,Center,5760379417,141,50.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820728837,28,83,1,2,53,7efqk7uh63928il0yffxijnv7,0,14.2,65.2,2025-06-01T15:33:59.380Z,2025-06-01T15:34:04Z,dtdqh03syykiv1cjstn2lhkvd,J. Myrevik,,,5760379553,399,9618hk1lq7i6see347k7plkyy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
