id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/9/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/11/value,qualifier/13/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2809331061,6,5,1,0,54,8eab5wbcnttsiosd1o8c71gmk,1,79.2,102.0,2025-05-03T14:01:53.707Z,2025-05-03T14:05:08Z,9618hk1lq7i6see347k7plkyy,M. Sarr,,,5697276743,233,23,5697276677,56,Left,5697276679,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809331035,23,5,1,0,54,303582z192rnbr2x28o2t7u38,0,20.8,-2.0,2025-05-03T14:01:53.707Z,2025-05-03T14:01:58Z,95h8ci71qugckn045d3rumlm1,G. Antzoulas,,,5697276565,347,,5697276563,56,Back,5697276771,233,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809331527,7,1,1,1,6,8eab5wbcnttsiosd1o8c71gmk,1,81.8,100.0,2025-05-03T14:02:05.421Z,2025-05-03T14:13:29Z,arxu3yjspsjmmobkj92c79ze2,J. Niska,,,5697278917,1,,5697278913,213,3.34,5697278901,107,,5697407133,189,,5697278903,56,Back,5697278905,140,45.6,5697278909,212,38.8,5697278907,141,90.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809331567,8,1,1,1,9,8eab5wbcnttsiosd1o8c71gmk,1,45.6,90.8,2025-05-03T14:02:08.509Z,2025-05-03T14:02:10Z,98u2encce9933qd4y2kukej85,B. Straalman,,,5697279123,56,Back,5697279129,212,27.8,5697279125,140,45.1,5697279127,141,49.9,5697279131,213,4.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809331621,9,1,1,1,10,8eab5wbcnttsiosd1o8c71gmk,1,45.1,49.7,2025-05-03T14:02:09.885Z,2025-05-03T14:02:12Z,2fw3pz0v22kdbiognam8zsvoq,L. Kuittinen,,,5697279445,213,4.48,5697279443,212,15.8,5697279437,56,Back,5697279439,140,41.6,5697279441,141,27.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809331727,10,1,1,1,12,8eab5wbcnttsiosd1o8c71gmk,1,39.1,34.8,2025-05-03T14:02:11.869Z,2025-05-03T14:02:14Z,a9234jafv17dcvbu54expih91,A. Granlund,,,5697279991,141,55.7,5697279995,213,2.62,5697279989,140,15.6,5697279985,56,Back,5697279993,212,28.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809331801,11,1,1,1,15,8eab5wbcnttsiosd1o8c71gmk,1,15.6,55.7,2025-05-03T14:02:14.814Z,2025-05-03T14:02:17Z,7oxxp38dxp40lby1kwg4xpn56,E. Huuhtanen,,,5697280371,213,1.18,5697280367,141,87.4,5697280365,140,24.0,5697280369,212,23.3,5697280363,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809331905,12,1,1,1,18,8eab5wbcnttsiosd1o8c71gmk,1,24.0,87.4,2025-05-03T14:02:17.230Z,2025-05-03T14:02:20Z,98u2encce9933qd4y2kukej85,B. Straalman,,,5697280913,140,34.2,5697280919,213,0.04,5697280915,141,88.1,5697280917,212,10.7,5697280911,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809331937,13,1,1,1,21,8eab5wbcnttsiosd1o8c71gmk,1,34.2,88.1,2025-05-03T14:02:20.830Z,2025-05-03T14:02:22Z,c1f7vp2u7fndbs1q67yhze1hw,A. Kouame,,,5697281117,213,1.57,5697281115,212,5.9,5697281113,141,96.8,5697281109,56,Back,5697281111,140,34.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809331971,14,1,1,1,23,8eab5wbcnttsiosd1o8c71gmk,1,34.2,96.8,2025-05-03T14:02:22.109Z,2025-05-03T14:02:23Z,arxu3yjspsjmmobkj92c79ze2,J. Niska,,,5697281311,56,Back,5697281317,212,5.3,5697281319,213,4.13,5697281315,141,90.3,5697281313,140,31.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809332085,15,1,1,1,24,8eab5wbcnttsiosd1o8c71gmk,1,31.4,90.2,2025-05-03T14:02:23.581Z,2025-05-03T14:02:26Z,c1f7vp2u7fndbs1q67yhze1hw,A. Kouame,,,5697281859,140,18.0,5697281857,56,Back,5697281861,141,93.0,5697281865,213,3.01,5697281863,212,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809332181,16,1,1,1,26,8eab5wbcnttsiosd1o8c71gmk,1,14.6,93.0,2025-05-03T14:02:26.030Z,2025-05-03T14:02:28Z,98u2encce9933qd4y2kukej85,B. Straalman,,,5697282311,213,4.01,5697282307,212,20.0,5697282303,141,70.6,5697282295,56,Back,5697282299,140,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809332263,17,1,1,1,29,8eab5wbcnttsiosd1o8c71gmk,1,2.2,69.9,2025-05-03T14:02:28.702Z,2025-05-03T14:02:32Z,7oxxp38dxp40lby1kwg4xpn56,E. Huuhtanen,,,5697282723,56,Back,5697282725,140,22.0,5697282729,212,46.9,5697282727,141,8.0,5697282731,213,5.17,5697282719,155,,5697282733,1,,5697282721,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809332383,18,1,1,1,32,8eab5wbcnttsiosd1o8c71gmk,1,22.1,8.5,2025-05-03T14:02:31.997Z,2025-05-03T14:02:35Z,a9234jafv17dcvbu54expih91,A. Granlund,,,5697283303,141,22.5,5697283299,56,Back,5697283305,212,18.0,5697283307,213,2.58,5697283301,140,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809332443,19,1,1,1,36,8eab5wbcnttsiosd1o8c71gmk,1,7.6,22.5,2025-05-03T14:02:35.581Z,2025-05-03T14:02:38Z,2fw3pz0v22kdbiognam8zsvoq,L. Kuittinen,,,5697283661,140,3.5,5697283659,56,Back,5697283663,141,47.3,5697283665,212,17.4,5697283667,213,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809332569,20,1,1,1,39,8eab5wbcnttsiosd1o8c71gmk,1,8.1,46.9,2025-05-03T14:02:38.493Z,2025-05-03T14:02:44Z,7oxxp38dxp40lby1kwg4xpn56,E. Huuhtanen,,,5697284343,213,1.01,5697284339,141,68.2,5697284335,56,Back,5697284337,140,16.8,5697284341,212,17.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809332881,21,1,1,1,44,8eab5wbcnttsiosd1o8c71gmk,1,27.1,71.2,2025-05-03T14:02:43.998Z,2025-05-03T14:02:55Z,98u2encce9933qd4y2kukej85,B. Straalman,,,5697285911,56,Back,5697285913,140,18.3,5697285915,141,44.9,5697285919,213,4.24,5697285917,212,20.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809332973,22,1,1,1,55,8eab5wbcnttsiosd1o8c71gmk,1,23.8,36.7,2025-05-03T14:02:54.941Z,2025-05-03T14:02:58Z,2fw3pz0v22kdbiognam8zsvoq,L. Kuittinen,,,5697286363,141,76.3,5697286367,212,26.9,5697286369,213,1.55,5697286357,56,Back,5697286359,140,24.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809333083,23,1,1,1,59,8eab5wbcnttsiosd1o8c71gmk,1,24.2,75.9,2025-05-03T14:02:58.734Z,2025-05-03T14:03:02Z,98u2encce9933qd4y2kukej85,B. Straalman,,,5697287023,141,46.6,5697287025,212,24.8,5697287027,213,4.08,5697287019,56,Back,5697287021,140,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809333179,24,1,1,2,3,8eab5wbcnttsiosd1o8c71gmk,1,10.1,46.0,2025-05-03T14:03:02.606Z,2025-05-03T14:03:05Z,7oxxp38dxp40lby1kwg4xpn56,E. Huuhtanen,,,5697287471,213,4.75,5697287459,140,10.4,5697287455,56,Back,5697287465,141,33.9,5697287469,212,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809333239,25,1,1,2,6,8eab5wbcnttsiosd1o8c71gmk,0,10.1,15.9,2025-05-03T14:03:05.773Z,2025-05-03T14:03:07Z,2fw3pz0v22kdbiognam8zsvoq,L. Kuittinen,,,5697287751,212,25.3,5697287747,140,31.2,5697287745,56,Back,5697287749,141,0.0,5697287743,157,,5697287755,1,,5697287753,213,5.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809333303,24,5,1,2,8,303582z192rnbr2x28o2t7u38,1,66.7,101.8,2025-05-03T14:03:07.635Z,2025-05-03T14:05:08Z,9fpgvc2avj64hiii3wd6w74k,K. Simojoki,,,5697288035,347,,5697288031,56,Left,5697288063,233,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809333251,26,5,1,2,8,8eab5wbcnttsiosd1o8c71gmk,0,33.3,-1.8,2025-05-03T14:03:07.635Z,2025-05-03T14:03:12Z,2fw3pz0v22kdbiognam8zsvoq,L. Kuittinen,,,5697287793,56,Back,5697287795,347,,5697288127,233,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809333637,25,1,1,2,18,303582z192rnbr2x28o2t7u38,1,63.7,100.0,2025-05-03T14:03:17.171Z,2025-05-03T14:03:19Z,9fpgvc2avj64hiii3wd6w74k,K. Simojoki,,,5697289921,140,41.3,5697289933,213,3.50,5697289937,1,,5697289915,107,,5697289919,56,Back,5697289925,141,88.9,5697289929,212,25.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809333839,26,1,1,2,20,303582z192rnbr2x28o2t7u38,1,41.1,88.7,2025-05-03T14:03:19.311Z,2025-05-03T14:03:26Z,18p445rm69t2xc13vggv5oueh,V. Tikkanen,,,5697290969,56,Back,5697290973,141,68.4,5697290977,213,4.22,5697290975,212,15.7,5697290971,140,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809333909,27,1,1,2,26,303582z192rnbr2x28o2t7u38,1,31.5,70.5,2025-05-03T14:03:25.973Z,2025-05-03T14:03:28Z,5j2hy92q8f17nppznxrp8kxxx,A. Ring,,,5697291329,56,Back,5697291331,140,28.6,5697291333,141,38.5,5697291335,212,22.0,5697291337,213,4.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809334031,28,1,1,2,29,303582z192rnbr2x28o2t7u38,1,28.5,37.0,2025-05-03T14:03:28.358Z,2025-05-03T14:03:32Z,95h8ci71qugckn045d3rumlm1,G. Antzoulas,,,5697291999,56,Back,5697292013,213,1.55,5697292009,212,17.2,5697292005,141,62.3,5697292003,140,28.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809334177,29,1,1,2,32,303582z192rnbr2x28o2t7u38,1,26.9,71.2,2025-05-03T14:03:31.810Z,2025-05-03T14:03:36Z,5j2hy92q8f17nppznxrp8kxxx,A. Ring,,,5697292771,212,16.7,5697292763,56,Back,5697292773,213,0.48,5697292765,140,41.0,5697292767,141,82.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809334261,30,1,1,2,36,303582z192rnbr2x28o2t7u38,1,38.0,74.2,2025-05-03T14:03:35.977Z,2025-05-03T14:03:38Z,4cooeu9zahategmvpj3zdr6xh,S. Hostikka,,,5697293191,141,58.2,5697293193,212,12.4,5697293189,140,43.6,5697293183,56,Back,5697293197,213,5.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809334303,31,1,1,2,38,303582z192rnbr2x28o2t7u38,0,43.6,58.2,2025-05-03T14:03:38.062Z,2025-05-03T14:15:40Z,bas4d4drvf8kefls9tszu0oic,P. Mentu,,,5697293363,56,Center,5697293367,141,69.1,5697293369,212,19.3,5697293365,140,60.6,5697293371,213,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
