id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/10/value,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value
2817964781,4,5,1,0,25,5qxgilg61hlwxzfpdn2nhcayd,1,-1.2,87.2,2025-05-23T15:00:48.942Z,2025-05-23T15:13:10Z,5nhh1n77us1h2z5wvx7mt2gpg,A. Okyere,,5744953815,233,8,5744953761,56,Back,5744953763,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817964787,8,5,1,0,25,8sy0cxovuxo76tuoas3uo55xj,0,101.2,12.8,2025-05-23T15:00:48.942Z,2025-05-23T15:13:11Z,4m7qbjhm8zl0z7px053siv6j9,P. Forsell,,5744953819,233,4,5744953811,346,,5744953809,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817964803,6,1,1,0,43,5qxgilg61hlwxzfpdn2nhcayd,1,5.1,59.7,2025-05-23T15:01:06.934Z,2025-05-23T15:01:10Z,eexcxuea18xbokvkko1erdffu,M. Almén,,5744953907,124,,5744953917,213,4.55,5744953909,56,Back,5744953915,212,11.4,5744953921,237,,5744953911,140,3.3,5744953913,141,43.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817964805,7,1,1,0,46,5qxgilg61hlwxzfpdn2nhcayd,0,7.3,39.1,2025-05-23T15:01:10.214Z,2025-05-23T15:01:12Z,5auce3x81f1kwok1aq7m4o2y1,L. Hughes,,5744953929,212,25.3,5744953923,56,Back,5744953927,141,43.7,5744953931,213,0.12,5744953925,140,31.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817964809,10,1,1,0,50,8sy0cxovuxo76tuoas3uo55xj,0,64.9,54.8,2025-05-23T15:01:13.884Z,2025-05-23T15:01:16Z,ro21tqqaeslyebto6ukon5zo,A. Wilson,,5744953971,1,,5744953967,212,37.3,5744953959,157,,5744953965,141,68.4,5744953969,213,0.25,5744953961,56,Center,5744953963,140,99.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817964811,9,1,1,0,56,5qxgilg61hlwxzfpdn2nhcayd,1,4.9,34.8,2025-05-23T15:01:20.165Z,2025-05-23T15:01:21Z,5auce3x81f1kwok1aq7m4o2y1,L. Hughes,,5744953993,212,20.1,5744953985,123,,5744953991,141,63.4,5744953989,140,9.6,5744953995,213,1.32,5744953987,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817964815,10,1,1,0,57,5qxgilg61hlwxzfpdn2nhcayd,1,9.6,63.6,2025-05-23T15:01:21.790Z,2025-05-23T15:01:32Z,eexcxuea18xbokvkko1erdffu,M. Almén,,5744954025,212,23.6,5744954019,56,Back,5744954023,141,92.3,5744954021,140,22.3,5744954027,213,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817964817,11,1,1,1,7,5qxgilg61hlwxzfpdn2nhcayd,0,54.7,96.1,2025-05-23T15:01:30.959Z,2025-05-23T15:09:30Z,amdo0gvq5yaascwon92mhyaga,E. Mömmö,,5744956639,212,1.7,5744956635,140,56.3,5744956649,286,,5744956641,213,0.08,5744956643,236,,5744956637,141,96.3,5744956645,233,11,5744954031,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817964821,11,74,1,1,7,8sy0cxovuxo76tuoas3uo55xj,1,45.2,4.4,2025-05-23T15:01:30.960Z,2025-05-23T15:09:30Z,9bd4vf4tdzfipobqzp2r7gbft,M. Paavola,,5744956651,233,11,5744954049,285,,5744954047,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817964823,12,5,1,1,8,8sy0cxovuxo76tuoas3uo55xj,0,42.6,-1.3,2025-05-23T15:01:32.584Z,2025-05-23T15:13:11Z,9bd4vf4tdzfipobqzp2r7gbft,M. Paavola,,5744954063,56,Back,5744954065,347,,5744954071,233,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817964819,12,5,1,1,8,5qxgilg61hlwxzfpdn2nhcayd,1,57.4,101.3,2025-05-23T15:01:32.584Z,2025-05-23T15:01:53Z,amdo0gvq5yaascwon92mhyaga,E. Mömmö,,5744954039,347,,5744954067,233,12,5744954037,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817964825,13,1,1,1,11,5qxgilg61hlwxzfpdn2nhcayd,1,58.1,100.0,2025-05-23T15:01:35.177Z,2025-05-23T15:01:39Z,amdo0gvq5yaascwon92mhyaga,E. Mömmö,,5744954077,56,Left,5744954083,212,11.4,5744954079,140,60.5,5744954081,141,85.3,5744954085,213,4.94,5744954075,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817964829,14,1,1,1,13,5qxgilg61hlwxzfpdn2nhcayd,0,60.8,84.7,2025-05-23T15:01:36.895Z,2025-05-23T15:10:25Z,49br3gmn71y8pd5wqkfkvrbah,Lucas Falcão,,5744954097,213,1.47,5744954091,140,61.2,5744954093,141,91.1,5744954089,56,Left,5744954095,212,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817964831,14,1,1,1,15,8sy0cxovuxo76tuoas3uo55xj,1,42.3,5.6,2025-05-23T15:01:38.936Z,2025-05-23T15:10:22Z,btr893a8ljoe8av97ji8kwr11,A. Tarvonen,,5744954107,213,2.42,5744954099,56,Back,5744954103,141,16.8,5744954101,140,34.0,5744954105,212,11.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817964833,15,1,1,1,16,8sy0cxovuxo76tuoas3uo55xj,0,34.0,16.8,2025-05-23T15:01:40.628Z,2025-05-23T15:01:41Z,9bd4vf4tdzfipobqzp2r7gbft,M. Paavola,,5744954119,212,12.0,5744954113,56,Back,5744954121,213,0.62,5744954117,141,27.0,5744954115,140,43.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817965241,94,1,1,1,17,5qxgilg61hlwxzfpdn2nhcayd,1,61.1,70.3,2025-05-23T15:01:40.821Z,2025-05-23T15:10:53Z,818ngmk0u0iqzv4j93yj97aad,R. Selander,,5744957057,140,67.4,5744957061,212,6.8,5744957063,213,0.25,5744957059,141,72.8,5744957055,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817964837,16,1,1,1,19,5qxgilg61hlwxzfpdn2nhcayd,1,64.2,83.9,2025-05-23T15:01:43.082Z,2025-05-23T15:03:57Z,49br3gmn71y8pd5wqkfkvrbah,Lucas Falcão,,5744954131,141,81.4,5744954133,212,3.5,5744954127,56,Left,5744954129,140,61.3,5744954135,213,3.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817964839,17,1,1,1,20,5qxgilg61hlwxzfpdn2nhcayd,1,60.6,84.4,2025-05-23T15:01:44.769Z,2025-05-23T15:01:47Z,818ngmk0u0iqzv4j93yj97aad,R. Selander,,5744954145,212,7.5,5744954143,141,92.3,5744954141,140,65.6,5744954147,213,0.80,5744954139,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817964845,18,1,1,1,23,5qxgilg61hlwxzfpdn2nhcayd,1,65.5,91.8,2025-05-23T15:01:47.737Z,2025-05-23T15:01:51Z,amdo0gvq5yaascwon92mhyaga,E. Mömmö,,5744954175,141,88.9,5744954171,56,Back,5744954173,140,46.7,5744954179,213,3.24,5744954177,212,19.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817964847,19,1,1,1,27,5qxgilg61hlwxzfpdn2nhcayd,1,44.2,87.4,2025-05-23T15:01:51.330Z,2025-05-23T15:01:54Z,eexcxuea18xbokvkko1erdffu,M. Almén,,5744954195,141,55.4,5744954191,56,Back,5744954193,140,32.0,5744954199,213,4.18,5744954197,212,25.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817964849,20,1,1,1,30,5qxgilg61hlwxzfpdn2nhcayd,1,36.2,40.9,2025-05-23T15:01:54.704Z,2025-05-23T15:01:57Z,e7cov36din7hwsjxovwr5smlm,Nícolas,,5744954207,140,44.1,5744954213,213,5.06,5744954211,212,24.5,5744954205,56,Back,5744954209,141,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817964851,21,1,1,1,33,5qxgilg61hlwxzfpdn2nhcayd,0,45.1,5.9,2025-05-23T15:01:57.656Z,2025-05-23T15:01:59Z,1utcfk5giq7ghp8b2z3u9b27d,J. Houston,,5744954221,140,68.9,5744954223,141,12.6,5744954219,56,Right,5744954225,212,25.4,5744954227,213,0.18,5744954217,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817964857,16,1,1,1,36,8sy0cxovuxo76tuoas3uo55xj,1,29.3,86.3,2025-05-23T15:02:00.685Z,2025-05-23T15:12:03Z,byudescfxvi1kxlpncbv0mymt,M. Sumusalo,,5744954253,213,6.00,5744954251,212,36.3,5744954247,140,62.5,5744954255,1,,5744954243,157,,5744954249,141,71.6,5744954245,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817964859,17,4,1,1,39,8sy0cxovuxo76tuoas3uo55xj,1,58.6,78.6,2025-05-23T15:02:03.060Z,2025-05-23T15:02:07Z,4m7qbjhm8zl0z7px053siv6j9,P. Forsell,,5744954283,233,22,5744954281,286,,5744954277,56,Center,5744954275,294,,5744954279,152,,5744954273,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817964855,22,4,1,1,39,5qxgilg61hlwxzfpdn2nhcayd,0,41.4,21.4,2025-05-23T15:02:03.061Z,2025-05-23T15:02:08Z,e7cov36din7hwsjxovwr5smlm,Nícolas,,5744954289,233,17,5744954265,56,Back,5744954261,13,,5744954263,294,,5744954269,285,,5744954267,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817964863,18,1,1,2,13,8sy0cxovuxo76tuoas3uo55xj,1,66.5,80.5,2025-05-23T15:02:37.668Z,2025-05-23T15:12:34Z,4m7qbjhm8zl0z7px053siv6j9,P. Forsell,,5744954345,152,,5744954355,213,5.38,5744954343,155,,5744954341,5,,5744954357,1,,5744954349,140,88.6,5744954339,2,,5744954353,212,37.4,5744954351,141,37.4,5744954347,56,Center,,,,,,,,,,,,,,,,,,,,,,,,
2817964867,20,1,1,2,15,8sy0cxovuxo76tuoas3uo55xj,0,87.8,40.4,2025-05-23T15:02:39.244Z,2025-05-23T15:03:21Z,9bd4vf4tdzfipobqzp2r7gbft,M. Paavola,,5744954377,213,5.94,5744954365,3,,5744954371,140,100.0,5744954373,141,32.7,5744954369,56,Center,5744954367,168,,5744954375,212,15.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817964865,19,43,1,2,16,8sy0cxovuxo76tuoas3uo55xj,1,0.0,0.0,2025-05-23T15:02:40.157Z,2025-05-23T15:03:10Z,9bd4vf4tdzfipobqzp2r7gbft,M. Paavola,,5744954401,233,23,5744954361,56,Center,5744954363,286,0,5744954493,144,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817964869,23,43,1,2,16,5qxgilg61hlwxzfpdn2nhcayd,1,0.0,0.0,2025-05-23T15:02:40.158Z,2025-05-23T15:03:17Z,e7cov36din7hwsjxovwr5smlm,Nícolas,,5744954381,285,0,5744954379,56,Back,5744954571,144,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817964871,21,5,1,2,18,8sy0cxovuxo76tuoas3uo55xj,0,101.2,31.4,2025-05-23T15:02:42.083Z,2025-05-23T15:12:37Z,9bd4vf4tdzfipobqzp2r7gbft,M. Paavola,,5744954391,56,Center,5744954411,233,24,5744954393,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817964875,24,5,1,2,18,5qxgilg61hlwxzfpdn2nhcayd,1,-1.2,68.6,2025-05-23T15:02:42.083Z,2025-05-23T15:13:11Z,e7cov36din7hwsjxovwr5smlm,Nícolas,,5744954397,56,Back,5744954405,233,21,5744954399,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817964885,25,1,1,2,39,5qxgilg61hlwxzfpdn2nhcayd,1,4.7,61.7,2025-05-23T15:03:03.188Z,2025-05-23T15:03:07Z,eexcxuea18xbokvkko1erdffu,M. Almén,,5744954465,56,Back,5744954477,237,,5744954463,124,,5744954469,141,44.6,5744954473,213,4.57,5744954471,212,11.7,5744954467,140,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817964889,26,1,1,2,43,5qxgilg61hlwxzfpdn2nhcayd,1,7.7,38.5,2025-05-23T15:03:07.390Z,2025-05-23T15:03:09Z,5auce3x81f1kwok1aq7m4o2y1,L. Hughes,,5744954479,56,Back,5744954483,141,27.3,5744954481,140,30.0,5744954487,213,5.97,5744954485,212,24.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817964891,27,1,1,2,45,5qxgilg61hlwxzfpdn2nhcayd,1,30.0,27.3,2025-05-23T15:03:09.202Z,2025-05-23T15:03:10Z,5nhh1n77us1h2z5wvx7mt2gpg,A. Okyere,,5744954499,140,31.6,5744954497,56,Back,5744954503,212,9.5,5744954501,141,13.5,5744954505,213,4.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817964893,28,1,1,2,47,5qxgilg61hlwxzfpdn2nhcayd,0,31.9,13.5,2025-05-23T15:03:10.811Z,2025-05-23T15:03:13Z,1utcfk5giq7ghp8b2z3u9b27d,J. Houston,,5744954517,141,13.8,5744954521,213,0.01,5744954513,56,Right,5744954519,212,27.0,5744954515,140,57.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817964895,22,8,1,2,49,8sy0cxovuxo76tuoas3uo55xj,1,37.2,87.8,2025-05-23T15:03:13.748Z,2025-05-23T15:03:13Z,8igk37zt3ixjxdtr1t9kwfnit,T. Manga,,5744954523,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817964897,23,4,1,2,51,8sy0cxovuxo76tuoas3uo55xj,1,39.7,86.8,2025-05-23T15:03:14.956Z,2025-05-23T15:13:14Z,8igk37zt3ixjxdtr1t9kwfnit,T. Manga,,5744954527,56,Back,5744954563,233,29,5744954525,13,,5744954531,265,,5744954533,286,,5744954529,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817964899,29,4,1,2,51,5qxgilg61hlwxzfpdn2nhcayd,0,60.3,13.2,2025-05-23T15:03:14.957Z,2025-05-23T15:13:14Z,2kbiramhoa1b8k51wtfk5raei,J. Da Sylva,,5744954561,285,,5744954557,152,,5744954559,265,,5744954553,13,,5744954567,233,23,5744954555,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817964911,24,1,1,2,59,8sy0cxovuxo76tuoas3uo55xj,1,35.6,90.8,2025-05-23T15:03:23.083Z,2025-05-23T15:03:24Z,byudescfxvi1kxlpncbv0mymt,M. Sumusalo,,5744954611,213,3.90,5744954605,140,31.4,5744954599,5,,5744954615,189,,5744954609,212,6.1,5744954601,152,,5744954603,56,Back,5744954607,141,84.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817964915,25,1,1,3,0,8sy0cxovuxo76tuoas3uo55xj,1,30.4,80.9,2025-05-23T15:03:24.629Z,2025-05-23T15:03:31Z,8igk37zt3ixjxdtr1t9kwfnit,T. Manga,,5744954651,140,25.1,5744954653,141,60.8,5744954657,213,4.33,5744954649,56,Back,5744954655,212,14.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817964919,26,1,1,3,7,8sy0cxovuxo76tuoas3uo55xj,1,30.4,54.0,2025-05-23T15:03:30.996Z,2025-05-23T15:03:34Z,9bd4vf4tdzfipobqzp2r7gbft,M. Paavola,,5744954677,140,28.9,5744954679,141,83.6,5744954683,213,1.65,5744954681,212,20.2,5744954675,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817964921,27,1,1,3,10,8sy0cxovuxo76tuoas3uo55xj,1,34.0,85.6,2025-05-23T15:03:34.476Z,2025-05-23T15:03:36Z,ro21tqqaeslyebto6ukon5zo,A. Wilson,,5744954695,140,41.2,5744954701,213,0.66,5744954693,56,Back,5744954699,212,9.6,5744954697,141,94.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817964923,28,1,1,3,12,8sy0cxovuxo76tuoas3uo55xj,0,44.7,95.3,2025-05-23T15:03:36.621Z,2025-05-23T15:03:37Z,byudescfxvi1kxlpncbv0mymt,M. Sumusalo,,5744954715,213,6.15,5744954709,140,76.3,5744954711,141,89.0,5744954713,212,33.5,5744954705,155,,5744954707,56,Left,5744954717,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
