id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/10/value,qualifier/15/value
2796147621,3,44,1,0,14,3ptum5fjcgw51mqui0gu6uuf4,0,62.3,84.4,2025-04-05T14:00:33.088Z,2025-04-05T14:00:36Z,3xtbzw2dg5my9jn99xqh5gdpm,D. Enqvist,,,5624639581,286,,5624639725,233,8,5624639579,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796147751,9,1,1,0,14,7efqk7uh63928il0yffxijnv7,1,32.6,13.1,2025-04-05T14:00:33.263Z,2025-04-05T14:00:36Z,cbceals9gkfqlywg94zzzlgb9,F. Valenčič,,,5624640237,56,Back,5624640241,141,4.6,5624640239,140,41.8,5624640245,213,5.74,5624640235,168,,5624640233,3,,5624640243,212,11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796147765,10,1,1,0,16,7efqk7uh63928il0yffxijnv7,0,37.1,7.9,2025-04-05T14:00:35.046Z,2025-04-05T14:00:37Z,7x14tbg2brvxi5g9jdbovp8gk,A. Björkskog,,,5624640321,213,1.38,5624640319,212,15.1,5624640317,141,29.7,5624640313,56,Back,5624640315,140,39.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796147841,5,1,1,0,19,3ptum5fjcgw51mqui0gu6uuf4,1,63.7,68.1,2025-04-05T14:00:38.265Z,2025-04-05T14:00:39Z,36gi7l0qvkbru5w6v2nym00ve,E. Patut,,,5624640651,140,76.1,5624640649,56,Center,5624640657,213,6.21,5624640653,141,66.7,5624640655,212,13.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796147869,6,1,1,0,20,3ptum5fjcgw51mqui0gu6uuf4,0,71.7,68.1,2025-04-05T14:00:39.417Z,2025-04-05T14:00:40Z,46ums24te70jl5qclztg8xhwp,C. David,,,5624640803,212,17.3,5624640791,56,Left,5624640799,141,82.6,5624640807,213,0.61,5624640795,140,85.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796148063,12,1,1,0,26,7efqk7uh63928il0yffxijnv7,1,11.8,13.8,2025-04-05T14:00:44.435Z,2025-04-05T14:00:46Z,5pa2n5nlvexr6z7nu65uz0qqy,R. Polley,,,5624641691,212,23.9,5624641683,140,2.7,5624641687,141,46.0,5624641681,56,Back,5624641695,213,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796148125,13,1,1,0,27,7efqk7uh63928il0yffxijnv7,0,3.3,46.4,2025-04-05T14:00:45.894Z,2025-04-05T14:00:49Z,66zsjkvxs4cbh9u63hk273t1x,Miguel Santos,,,5624642021,1,,5624642007,56,Back,5624642013,212,38.9,5624642015,213,5.53,5624642005,157,,5624642009,140,30.3,5624642011,141,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796148169,7,44,1,0,29,3ptum5fjcgw51mqui0gu6uuf4,1,69.4,90.9,2025-04-05T14:00:48.149Z,2025-04-05T14:00:52Z,3xtbzw2dg5my9jn99xqh5gdpm,D. Enqvist,,,5624642199,286,,5624642197,56,Left,5624642239,233,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796148143,14,44,1,0,29,7efqk7uh63928il0yffxijnv7,0,30.6,9.1,2025-04-05T14:00:48.150Z,2025-04-05T14:00:52Z,cbceals9gkfqlywg94zzzlgb9,F. Valenčič,,,5624642081,285,,5624642293,233,7,5624642079,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796148301,8,1,1,0,30,3ptum5fjcgw51mqui0gu6uuf4,1,68.9,88.1,2025-04-05T14:00:48.448Z,2025-04-05T16:17:21Z,3xtbzw2dg5my9jn99xqh5gdpm,D. Enqvist,,,5624642807,141,78.1,5624642813,213,5.29,5624642803,56,Center,5624642805,140,73.1,5624642801,3,,5624642809,212,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796148309,9,1,1,0,31,3ptum5fjcgw51mqui0gu6uuf4,1,73.4,78.5,2025-04-05T14:00:50.185Z,2025-04-05T14:00:53Z,u8remrfu8ug41xu71brhukmh,S. Dahlström,,,5624642843,140,78.5,5624642845,141,91.5,5624642851,212,10.3,5624642855,213,1.03,5624642835,3,,5624642837,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796148323,10,1,1,0,33,3ptum5fjcgw51mqui0gu6uuf4,1,78.5,91.5,2025-04-05T14:00:51.816Z,2025-04-05T14:00:53Z,1iyf79yql5sm8m6i8nwxntsve,Hugo Cardoso,,,5624642927,56,Center,5624642929,140,83.4,5624642931,141,78.2,5624642935,213,5.23,5624642925,155,,5624642933,212,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796148405,11,61,1,0,38,3ptum5fjcgw51mqui0gu6uuf4,0,78.5,75.0,2025-04-05T14:00:56.593Z,2025-04-05T14:00:56Z,46ums24te70jl5qclztg8xhwp,C. David,,,5624643317,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796148521,16,1,1,0,40,7efqk7uh63928il0yffxijnv7,0,24.6,37.6,2025-04-05T14:00:58.830Z,2025-04-05T15:01:35Z,4y7niu1b8drpeccb84s2e9wwl,S. Eremenko,,,5624643877,141,20.3,5624643873,56,Back,5624643881,213,5.70,5624643875,140,41.7,5624643871,157,,5624643883,1,,5624643879,212,21.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796148565,12,8,1,0,42,3ptum5fjcgw51mqui0gu6uuf4,1,57.6,70.6,2025-04-05T14:01:00.913Z,2025-04-05T14:01:01Z,eyxig53mzy4qlf208vpchs7is,M. Fonsell,,,5624644135,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796148737,17,1,1,0,43,7efqk7uh63928il0yffxijnv7,1,32.1,12.6,2025-04-05T14:01:01.830Z,2025-04-05T14:01:05Z,cbceals9gkfqlywg94zzzlgb9,F. Valenčič,,,5624644981,141,29.5,5624644975,56,Back,5624644983,212,15.1,5624644979,140,22.8,5624644985,213,2.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796148759,18,1,1,0,46,7efqk7uh63928il0yffxijnv7,0,22.8,29.5,2025-04-05T14:01:05.302Z,2025-04-05T14:01:06Z,dcv2hunon4wgijgt4kljtqxg5,J. Brunell,,,5624645075,212,31.8,5624645073,141,67.6,5624645077,213,0.95,5624645067,157,,5624645071,140,40.4,5624645069,56,Back,5624645079,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796148909,14,61,1,0,52,3ptum5fjcgw51mqui0gu6uuf4,1,63.8,41.0,2025-04-05T14:01:11.186Z,2025-04-05T14:01:11Z,8tzmahdp1kkbot7nulpirqhh,J. Nissinen,1.0,,5624645783,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796148979,15,15,1,0,54,3ptum5fjcgw51mqui0gu6uuf4,1,76.3,60.3,2025-04-05T14:01:12.769Z,2025-04-05T14:01:38Z,46ums24te70jl5qclztg8xhwp,C. David,,,5624650957,230,99.3,5624650927,78,,5624650941,103,19,5624650943,215,,5624650931,55,14,5624650959,231,49.6,5624650929,29,,5624646115,56,Center,5624650925,72,5624646113,18,5624649987,82,5624650947,146,80.8,5624651001,233,19,5624650939,102,51.8,5624650951,147,58.7,5624646111,22,,,,
2796149021,19,10,1,0,54,7efqk7uh63928il0yffxijnv7,1,19.2,41.3,2025-04-05T14:01:12.869Z,2025-04-05T14:01:39Z,dcv2hunon4wgijgt4kljtqxg5,J. Brunell,,,5624651049,233,15,5624646317,94,,5624646319,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796149057,16,1,1,0,56,3ptum5fjcgw51mqui0gu6uuf4,0,92.0,79.9,2025-04-05T14:01:15.041Z,2025-04-05T14:01:15Z,1iyf79yql5sm8m6i8nwxntsve,Hugo Cardoso,,,5624646455,140,92.0,5624646453,56,Center,5624646457,141,73.6,5624646449,2,,5624646461,213,4.71,5624646459,212,4.3,5624646451,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796149303,20,61,1,0,57,7efqk7uh63928il0yffxijnv7,1,6.4,27.1,2025-04-05T14:01:15.561Z,2025-04-05T14:01:34Z,5pa2n5nlvexr6z7nu65uz0qqy,R. Polley,,,5624647621,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796149081,17,6,1,0,58,3ptum5fjcgw51mqui0gu6uuf4,1,98.2,72.8,2025-04-05T14:01:16.456Z,2025-04-05T14:15:25Z,1iyf79yql5sm8m6i8nwxntsve,Hugo Cardoso,,,5624650739,233,21,5624646667,56,Center,5624646669,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796149429,21,6,1,0,58,7efqk7uh63928il0yffxijnv7,0,1.8,27.2,2025-04-05T14:01:16.456Z,2025-04-05T14:15:25Z,5pa2n5nlvexr6z7nu65uz0qqy,R. Polley,,,5624648915,73,,5624648913,56,Back,5624650781,233,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796150165,18,43,1,1,25,3ptum5fjcgw51mqui0gu6uuf4,1,0.0,0.0,2025-04-05T14:01:44.131Z,2025-04-05T14:01:46Z,1iyf79yql5sm8m6i8nwxntsve,Hugo Cardoso,,,5624651887,56,Left,5624652367,144,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796150769,19,1,1,1,35,3ptum5fjcgw51mqui0gu6uuf4,0,99.5,99.5,2025-04-05T14:01:53.745Z,2025-04-05T14:02:00Z,u8remrfu8ug41xu71brhukmh,S. Dahlström,,,5624654725,6,,5624654733,140,100.0,5624654723,2,,5624654727,155,,5624654743,212,55.3,5624654747,213,4.74,5624654729,223,,5624654731,56,Right,5624654739,141,5624654751,1,,,,,,,,,,,,,,,,,18.2,,,
2796151775,20,5,1,1,41,3ptum5fjcgw51mqui0gu6uuf4,0,101.0,26.8,2025-04-05T14:02:00.126Z,2025-04-05T14:07:28Z,u8remrfu8ug41xu71brhukmh,S. Dahlström,,,5624659815,233,22,5624659591,346,,5624659589,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796150903,22,5,1,1,41,7efqk7uh63928il0yffxijnv7,1,-1.0,73.2,2025-04-05T14:02:00.126Z,2025-04-05T14:07:28Z,66zsjkvxs4cbh9u63hk273t1x,Miguel Santos,,,5624659789,233,20,5624655421,346,,5624655415,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796152265,23,1,1,2,12,7efqk7uh63928il0yffxijnv7,1,4.6,61.2,2025-04-05T14:02:30.463Z,2025-04-05T14:02:36Z,66zsjkvxs4cbh9u63hk273t1x,Miguel Santos,,,5624662093,56,Left,5624662095,140,60.5,5624662101,213,0.21,5624662097,141,79.4,5624662103,1,,5624662091,124,,5624662107,74,,5624662099,212,60.0,,,,,,,,,,,,,,,,,,,,,,,,
2796152275,24,44,1,2,16,7efqk7uh63928il0yffxijnv7,1,60.7,74.8,2025-04-05T14:02:35.160Z,2025-04-05T14:33:50Z,4y7niu1b8drpeccb84s2e9wwl,S. Eremenko,,,5624662137,56,Center,5624662139,286,,5624662197,233,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796152231,21,44,1,2,16,3ptum5fjcgw51mqui0gu6uuf4,0,39.3,25.2,2025-04-05T14:02:35.161Z,2025-04-05T14:33:50Z,36gi7l0qvkbru5w6v2nym00ve,E. Patut,,,5624661867,285,,5624661865,56,Back,5624662299,233,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796152353,25,1,1,2,16,7efqk7uh63928il0yffxijnv7,0,60.4,79.4,2025-04-05T14:02:35.303Z,2025-04-05T16:17:32Z,4y7niu1b8drpeccb84s2e9wwl,S. Eremenko,,,5624662529,140,71.1,5624662531,141,74.2,5624662527,56,Center,5624662533,212,11.8,5624662525,3,,5624662535,213,5.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796152405,22,1,1,2,17,3ptum5fjcgw51mqui0gu6uuf4,0,30.8,28.0,2025-04-05T14:02:36.177Z,2025-04-05T14:02:38Z,eyxig53mzy4qlf208vpchs7is,M. Fonsell,,,5624662769,56,Right,5624662777,141,9.8,5624662781,213,5.99,5624662773,140,69.8,5624662779,212,42.8,5624662767,157,,5624662785,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796152477,26,12,1,2,20,7efqk7uh63928il0yffxijnv7,1,25.1,94.4,2025-04-05T14:02:39.391Z,2025-04-05T14:02:40Z,3cmp95fpjtqoc5njb5p7c9g8a,E. Gunnarsson,,,5624663103,140,28.3,5624663113,212,5.9,5624663115,213,0.97,5624663109,141,100.0,5624663097,56,Back,5624663289,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796152529,23,5,1,2,21,3ptum5fjcgw51mqui0gu6uuf4,1,68.8,-1.8,2025-04-05T14:02:39.953Z,2025-04-05T14:07:28Z,eyxig53mzy4qlf208vpchs7is,M. Fonsell,,,5624663435,233,27,5624663351,347,,5624663349,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796152497,27,5,1,2,21,7efqk7uh63928il0yffxijnv7,0,31.2,101.8,2025-04-05T14:02:39.953Z,2025-04-05T14:02:44Z,3cmp95fpjtqoc5njb5p7c9g8a,E. Gunnarsson,,,5624663499,233,23,5624663211,56,Back,5624663213,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796153273,24,1,1,2,35,3ptum5fjcgw51mqui0gu6uuf4,1,64.8,0.0,2025-04-05T14:02:53.677Z,2025-04-05T14:02:56Z,8tzmahdp1kkbot7nulpirqhh,J. Nissinen,,,5624666987,212,13.6,5624666985,141,12.8,5624666979,107,,5624666983,140,73.5,5624666989,213,0.83,5624666981,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796153287,25,3,1,2,37,3ptum5fjcgw51mqui0gu6uuf4,0,73.4,10.5,2025-04-05T14:02:56.145Z,2025-04-05T16:14:06Z,46ums24te70jl5qclztg8xhwp,C. David,,,5624667081,286,,5624667077,56,Right,5624668729,233,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796153343,28,7,1,2,37,7efqk7uh63928il0yffxijnv7,1,26.6,89.5,2025-04-05T14:02:56.146Z,2025-04-05T16:14:06Z,3cmp95fpjtqoc5njb5p7c9g8a,E. Gunnarsson,,,5624667413,56,Back,5624668651,233,25,5624667415,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796153431,30,1,1,2,40,7efqk7uh63928il0yffxijnv7,0,28.3,90.6,2025-04-05T14:02:58.606Z,2025-04-05T14:03:00Z,3cmp95fpjtqoc5njb5p7c9g8a,E. Gunnarsson,,,5624667819,213,0.02,5624667795,56,Back,5624667813,212,5.8,5624667797,140,33.8,5624667805,141,90.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796153407,26,61,1,2,41,3ptum5fjcgw51mqui0gu6uuf4,1,67.0,4.7,2025-04-05T14:02:59.509Z,2025-04-05T14:02:59Z,8tzmahdp1kkbot7nulpirqhh,J. Nissinen,,,5624667689,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796153443,27,5,1,2,41,3ptum5fjcgw51mqui0gu6uuf4,0,67.6,-1.6,2025-04-05T14:02:59.994Z,2025-04-05T14:03:05Z,8tzmahdp1kkbot7nulpirqhh,J. Nissinen,,,5624667877,56,Right,5624667879,347,,5624668377,233,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796153487,31,5,1,2,41,7efqk7uh63928il0yffxijnv7,1,32.4,101.6,2025-04-05T14:02:59.994Z,2025-04-05T14:07:28Z,3cmp95fpjtqoc5njb5p7c9g8a,E. Gunnarsson,,,5624668121,347,,5624668119,56,Back,5624668277,233,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796154081,32,1,1,2,55,7efqk7uh63928il0yffxijnv7,0,32.3,100.0,2025-04-05T14:03:13.824Z,2025-04-05T14:03:16Z,dtdqh03syykiv1cjstn2lhkvd,J. Myrevik,,,5624671331,56,Back,5624671329,107,,5624671339,141,95.4,5624671345,213,6.00,5624671335,140,47.2,5624671343,212,16.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796154155,28,61,1,2,59,3ptum5fjcgw51mqui0gu6uuf4,0,57.4,5.8,2025-04-05T14:03:17.434Z,2025-04-05T14:03:17Z,8tzmahdp1kkbot7nulpirqhh,J. Nissinen,,,5624671681,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796154463,33,61,1,3,5,7efqk7uh63928il0yffxijnv7,0,45.6,97.5,2025-04-05T14:03:23.642Z,2025-04-05T14:03:23Z,a3elaln9izarzlwqkwc4ynpey,K. Cissoko,,,5624673127,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796154535,29,5,1,3,6,3ptum5fjcgw51mqui0gu6uuf4,1,54.8,-1.7,2025-04-05T14:03:24.593Z,2025-04-05T14:03:27Z,8v9ms04dm6d99xb9lt5qdk74k,L. Andersson,,,5624673527,233,34,5624673409,347,,5624673407,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796154519,34,5,1,3,6,7efqk7uh63928il0yffxijnv7,0,45.2,101.7,2025-04-05T14:03:24.593Z,2025-04-05T14:07:29Z,a3elaln9izarzlwqkwc4ynpey,K. Cissoko,,,5624673359,56,Back,5624673361,347,,5624673579,233,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796154877,30,1,1,3,11,3ptum5fjcgw51mqui0gu6uuf4,0,56.0,0.0,2025-04-05T14:03:30.225Z,2025-04-05T14:03:32Z,8tzmahdp1kkbot7nulpirqhh,J. Nissinen,,,5624674995,141,10.0,5624674989,107,,5624674993,140,70.1,5624674997,212,16.8,5624674999,213,0.49,5624674991,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796154973,35,1,1,3,14,7efqk7uh63928il0yffxijnv7,0,21.9,93.5,2025-04-05T14:03:32.696Z,2025-04-05T14:03:33Z,dtdqh03syykiv1cjstn2lhkvd,J. Myrevik,,,5624675465,3,,5624675491,140,30.8,5624675509,212,10.6,5624675511,213,5.78,5624675507,141,86.0,5624675479,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796155007,31,61,1,3,16,3ptum5fjcgw51mqui0gu6uuf4,0,68.5,16.7,2025-04-05T14:03:34.585Z,2025-04-05T14:03:34Z,36gi7l0qvkbru5w6v2nym00ve,E. Patut,,,5624675653,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796155347,37,1,1,3,19,7efqk7uh63928il0yffxijnv7,1,31.4,76.3,2025-04-05T14:03:38.297Z,2025-04-05T14:03:40Z,80115v2kkgjym3ubywmkz654a,M. Kusu,,,5624677257,212,29.6,5624677253,140,50.5,5624677255,141,44.3,5624677259,213,5.46,5624677251,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
