id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/10/value,qualifier/12/value,qualifier/14/value
2802930521,13,1,1,0,31,8eab5wbcnttsiosd1o8c71gmk,1,42.6,33.6,2025-04-19T12:01:11.488Z,2025-04-19T12:01:15Z,a9234jafv17dcvbu54expih91,A. Granlund,,,5662041735,141,46.6,5662041733,140,35.1,5662041731,56,Back,5662041737,212,11.8,5662041739,213,2.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802930537,14,1,1,0,35,8eab5wbcnttsiosd1o8c71gmk,1,33.5,40.4,2025-04-19T12:01:15.152Z,2025-04-19T12:01:17Z,2fw3pz0v22kdbiognam8zsvoq,L. Kuittinen,,,5662041819,141,26.5,5662041821,212,10.8,5662041817,140,38.4,5662041823,213,5.21,5662041815,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802930569,15,1,1,0,37,8eab5wbcnttsiosd1o8c71gmk,1,39.1,25.2,2025-04-19T12:01:17.280Z,2025-04-19T12:01:21Z,a9234jafv17dcvbu54expih91,A. Granlund,,,5662042015,140,33.5,5662042021,213,2.11,5662042017,141,39.8,5662042019,212,11.5,5662042013,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802930585,16,1,1,0,41,8eab5wbcnttsiosd1o8c71gmk,1,33.0,39.1,2025-04-19T12:01:21.073Z,2025-04-19T12:01:23Z,2fw3pz0v22kdbiognam8zsvoq,L. Kuittinen,,,5662042125,141,67.5,5662042123,140,35.0,5662042121,56,Back,5662042127,212,19.4,5662042129,213,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802930595,17,1,1,0,43,8eab5wbcnttsiosd1o8c71gmk,0,35.1,67.9,2025-04-19T12:01:23.552Z,2025-04-19T12:01:25Z,53kd57a8pwjno3l6cou3nexn9,J. Hämäläinen,,,5662042205,140,76.4,5662042207,141,100.0,5662042201,155,,5662042213,1,,5662042211,213,0.49,5662042203,56,Left,5662042209,212,49.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802930605,8,5,1,0,45,duspptyvnr5kpx2iko5gerhnz,1,20.0,-2.0,2025-04-19T12:01:25.597Z,2025-04-19T12:55:15Z,bqc4ov50nt2cguo0rrxw2a02x,T. Reid,,,5662042265,56,Back,5662042267,347,,5662042287,233,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802930597,18,5,1,0,45,8eab5wbcnttsiosd1o8c71gmk,0,80.0,102.0,2025-04-19T12:01:25.597Z,2025-04-19T12:01:31Z,53kd57a8pwjno3l6cou3nexn9,J. Hämäläinen,,,5662042217,347,,5662042215,56,Left,5662042321,233,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802930753,9,1,1,0,57,duspptyvnr5kpx2iko5gerhnz,1,20.6,0.0,2025-04-19T12:01:36.842Z,2025-04-19T12:01:40Z,bqc4ov50nt2cguo0rrxw2a02x,T. Reid,,,5662043019,212,17.8,5662043011,107,,5662043013,56,Back,5662043015,140,36.1,5662043017,141,8.6,5662043021,213,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802930771,10,1,1,1,0,duspptyvnr5kpx2iko5gerhnz,1,35.9,6.7,2025-04-19T12:01:39.842Z,2025-04-19T12:09:12Z,di62c8bxsf1t8jrhzu47qb7u2,J. Lakkamäki,,,5662043087,56,Back,5662043085,168,,5662043093,212,6.8,5662043091,141,10.6,5662043083,3,,5662043095,213,0.40,5662043089,140,41.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802936653,74,61,1,1,1,duspptyvnr5kpx2iko5gerhnz,1,43.4,9.0,2025-04-19T12:01:41.341Z,2025-04-19T12:09:35Z,6zw6j1zpm7vs8zkx5z6enqpgq,M. Borchers,,,5662074983,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802930777,11,1,1,1,2,duspptyvnr5kpx2iko5gerhnz,0,43.1,10.6,2025-04-19T12:01:41.946Z,2025-04-19T12:01:43Z,ec7y1s97xpoab87z786zt0r56,M. Fall,,,5662043137,141,19.1,5662043133,56,Back,5662043135,140,43.5,5662043141,213,1.50,5662043139,212,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802930773,19,1,1,1,2,8eab5wbcnttsiosd1o8c71gmk,0,46.7,84.6,2025-04-19T12:01:42.513Z,2025-04-19T12:09:56Z,53kd57a8pwjno3l6cou3nexn9,J. Hämäläinen,,,5662076709,286,,5662043103,56,Back,5662076489,213,5.38,5662076483,140,49.0,5662076703,236,,5662076705,233,12,5662076487,212,3.9,5662076485,141,80.1,,,,,,,,,,,,,,,,,,,,,,,,,,
2802930781,12,74,1,1,2,duspptyvnr5kpx2iko5gerhnz,1,44.4,18.8,2025-04-19T12:01:42.514Z,2025-04-19T12:55:10Z,6zw6j1zpm7vs8zkx5z6enqpgq,M. Borchers,,,5662076693,285,,5662076731,233,19,5662043157,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802930827,21,1,1,1,6,8eab5wbcnttsiosd1o8c71gmk,1,29.2,68.5,2025-04-19T12:01:46.225Z,2025-04-19T12:01:50Z,a9234jafv17dcvbu54expih91,A. Granlund,,,5662043395,212,15.5,5662043393,141,55.1,5662043397,213,3.77,5662043391,140,17.3,5662043389,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802930867,22,1,1,1,10,8eab5wbcnttsiosd1o8c71gmk,1,25.0,52.7,2025-04-19T12:01:50.161Z,2025-04-19T12:01:55Z,7oxxp38dxp40lby1kwg4xpn56,E. Huuhtanen,,,5662043579,213,5.47,5662043571,56,Back,5662043573,140,38.7,5662043577,212,21.0,5662043575,141,30.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802930875,23,1,1,1,15,8eab5wbcnttsiosd1o8c71gmk,1,43.1,14.3,2025-04-19T12:01:54.928Z,2025-04-19T12:01:56Z,a9234jafv17dcvbu54expih91,A. Granlund,,,5662043637,141,4.7,5662043633,56,Back,5662043635,140,46.2,5662043641,213,5.17,5662043639,212,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802930909,24,1,1,1,16,8eab5wbcnttsiosd1o8c71gmk,1,44.5,5.0,2025-04-19T12:01:56.400Z,2025-04-19T12:02:01Z,bwn0e8pjrikjcpold20o2os2c,A. Essomba,,,5662043839,212,19.2,5662043841,213,2.30,5662043835,140,32.3,5662043837,141,26.1,5662043833,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802930931,25,1,1,1,21,8eab5wbcnttsiosd1o8c71gmk,1,31.3,30.9,2025-04-19T12:02:00.832Z,2025-04-19T12:02:02Z,2fw3pz0v22kdbiognam8zsvoq,L. Kuittinen,,,5662043969,213,1.64,5662043967,212,19.0,5662043961,56,Back,5662043963,140,30.1,5662043965,141,58.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802930971,26,1,1,1,23,8eab5wbcnttsiosd1o8c71gmk,1,29.1,63.0,2025-04-19T12:02:02.817Z,2025-04-19T12:02:07Z,53kd57a8pwjno3l6cou3nexn9,J. Hämäläinen,,,5662044205,212,19.0,5662044201,140,36.2,5662044207,213,1.17,5662044203,141,88.7,5662044199,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802930999,27,1,1,1,27,8eab5wbcnttsiosd1o8c71gmk,0,49.4,97.8,2025-04-19T12:02:07.425Z,2025-04-19T12:10:55Z,arxu3yjspsjmmobkj92c79ze2,J. Niska,,,5662044375,140,76.2,5662044377,141,90.9,5662044381,213,6.12,5662044373,56,Left,5662044379,212,28.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802931029,13,12,1,1,29,duspptyvnr5kpx2iko5gerhnz,1,21.8,8.2,2025-04-19T12:02:09.226Z,2025-04-19T12:11:06Z,bqc4ov50nt2cguo0rrxw2a02x,T. Reid,,,5662044569,56,Back,5662082349,213,4.71,5662082347,212,2.0,5662082341,140,21.8,5662082345,141,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802931003,28,61,1,1,30,8eab5wbcnttsiosd1o8c71gmk,1,82.9,91.2,2025-04-19T12:02:10.225Z,2025-04-19T12:11:04Z,dlxtr9p8d7k733qhpq9qyydey,J. Yli-Kokko,,,5662044399,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802931033,29,43,1,1,31,8eab5wbcnttsiosd1o8c71gmk,1,0.0,0.0,2025-04-19T12:02:11.313Z,2025-04-19T12:02:17Z,dlxtr9p8d7k733qhpq9qyydey,J. Yli-Kokko,,,5662044595,140,75.4,5662044729,144,1,5662044597,141,94.7,5662044599,212,0.6,5662044601,213,0.77,5662044593,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802931035,14,3,1,1,34,duspptyvnr5kpx2iko5gerhnz,0,22.9,7.5,2025-04-19T12:02:13.779Z,2025-04-19T12:54:56Z,di62c8bxsf1t8jrhzu47qb7u2,J. Lakkamäki,,,5662088943,285,,5662089869,233,106,5662088941,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802938511,106,7,1,1,34,8eab5wbcnttsiosd1o8c71gmk,0,77.1,92.5,2025-04-19T12:02:13.780Z,2025-04-19T12:54:56Z,arxu3yjspsjmmobkj92c79ze2,J. Niska,,,5662089865,286,,5662089861,233,14,5662089827,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802931039,30,43,1,1,34,8eab5wbcnttsiosd1o8c71gmk,1,0.0,0.0,2025-04-19T12:02:13.945Z,2025-04-19T12:02:22Z,arxu3yjspsjmmobkj92c79ze2,J. Niska,,,5662044617,56,Left,5662044979,144,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802938561,81,50,1,1,35,duspptyvnr5kpx2iko5gerhnz,1,42.2,5.8,2025-04-19T12:02:14.939Z,2025-04-19T12:13:59Z,di62c8bxsf1t8jrhzu47qb7u2,J. Lakkamäki,,,5662091753,286,,5662091751,56,Back,5662092345,233,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802938513,107,7,1,1,35,8eab5wbcnttsiosd1o8c71gmk,0,57.8,94.2,2025-04-19T12:02:14.940Z,2025-04-19T12:14:00Z,arxu3yjspsjmmobkj92c79ze2,J. Niska,,,5662092329,233,81,5662092319,56,Left,5662092321,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802938577,83,61,1,1,36,duspptyvnr5kpx2iko5gerhnz,1,38.9,7.2,2025-04-19T12:02:16.371Z,2025-04-19T12:14:23Z,di62c8bxsf1t8jrhzu47qb7u2,J. Lakkamäki,,,5662098125,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802938501,105,61,1,1,36,8eab5wbcnttsiosd1o8c71gmk,1,62.1,94.0,2025-04-19T12:02:16.620Z,2025-04-19T12:14:33Z,arxu3yjspsjmmobkj92c79ze2,J. Niska,,,5662098733,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802938569,82,3,1,1,37,duspptyvnr5kpx2iko5gerhnz,0,37.0,6.2,2025-04-19T12:02:17.083Z,2025-04-19T12:14:09Z,di62c8bxsf1t8jrhzu47qb7u2,J. Lakkamäki,,,5662094341,56,Back,5662094343,286,,5662094969,233,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802938521,108,7,1,1,37,8eab5wbcnttsiosd1o8c71gmk,1,63.0,93.8,2025-04-19T12:02:17.084Z,2025-04-19T12:14:10Z,dlxtr9p8d7k733qhpq9qyydey,J. Yli-Kokko,,,5662094947,233,82,5662094631,285,,5662094629,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802931065,31,61,1,1,38,8eab5wbcnttsiosd1o8c71gmk,1,76.9,96.0,2025-04-19T12:02:17.777Z,2025-04-19T12:14:42Z,arxu3yjspsjmmobkj92c79ze2,J. Niska,,,5662044767,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802931091,15,5,1,1,38,duspptyvnr5kpx2iko5gerhnz,1,22.8,-2.0,2025-04-19T12:02:18.337Z,2025-04-19T12:55:16Z,bqc4ov50nt2cguo0rrxw2a02x,T. Reid,,,5662044859,56,Back,5662044861,347,,5662044863,233,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802931071,32,5,1,1,38,8eab5wbcnttsiosd1o8c71gmk,0,77.2,102.0,2025-04-19T12:02:18.337Z,2025-04-19T12:02:23Z,arxu3yjspsjmmobkj92c79ze2,J. Niska,,,5662044897,233,15,5662044789,56,Left,5662044791,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802931187,16,1,1,1,50,duspptyvnr5kpx2iko5gerhnz,0,20.4,0.0,2025-04-19T12:02:30.458Z,2025-04-19T12:02:32Z,bqc4ov50nt2cguo0rrxw2a02x,T. Reid,,,5662045523,107,,5662045535,1,,5662045529,141,16.1,5662045527,140,38.9,5662045531,212,23.0,5662045533,213,0.56,5662045525,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802931193,33,8,1,1,54,8eab5wbcnttsiosd1o8c71gmk,1,42.0,81.1,2025-04-19T12:02:33.936Z,2025-04-19T12:02:34Z,d39zrjj1sao1lkkzief35sctl,F. Krebs,,,5662045567,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802931205,17,1,1,1,54,duspptyvnr5kpx2iko5gerhnz,1,38.8,11.7,2025-04-19T12:02:34.043Z,2025-04-19T12:02:35Z,6zw6j1zpm7vs8zkx5z6enqpgq,M. Borchers,,,5662045615,140,39.4,5662045621,213,1.49,5662045617,141,23.7,5662045619,212,8.2,5662045613,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802931257,18,1,1,1,55,duspptyvnr5kpx2iko5gerhnz,1,39.4,23.7,2025-04-19T12:02:34.674Z,2025-04-19T12:16:29Z,di62c8bxsf1t8jrhzu47qb7u2,J. Lakkamäki,,,5662045877,56,Right,5662045883,212,15.9,5662045881,141,14.4,5662045885,213,5.87,5662045879,140,53.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802931209,34,43,1,1,55,8eab5wbcnttsiosd1o8c71gmk,1,0.0,0.0,2025-04-19T12:02:35.585Z,2025-04-19T12:16:45Z,c1f7vp2u7fndbs1q67yhze1hw,A. Kouame,,,5662045631,212,13.5,5662045625,56,Back,5662045633,213,2.71,5662045627,140,31.8,5662045629,141,76.7,5662108937,144,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802942273,158,83,1,1,56,8eab5wbcnttsiosd1o8c71gmk,0,33.0,74.6,2025-04-19T12:02:35.814Z,2025-04-19T12:16:58Z,2fw3pz0v22kdbiognam8zsvoq,L. Kuittinen,,,5662109915,399,ec7y1s97xpoab87z786zt0r56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802942347,119,3,1,1,56,duspptyvnr5kpx2iko5gerhnz,1,70.0,12.3,2025-04-19T12:02:36.229Z,2025-04-19T12:54:59Z,ec7y1s97xpoab87z786zt0r56,M. Fall,,,5662110691,286,,5662111125,233,156,5662110687,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802942261,156,45,1,1,56,8eab5wbcnttsiosd1o8c71gmk,0,30.0,87.7,2025-04-19T12:02:36.229Z,2025-04-19T12:55:00Z,d39zrjj1sao1lkkzief35sctl,F. Krebs,,,5662111091,285,,5662111141,233,119,5662111083,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802931237,35,83,1,1,59,8eab5wbcnttsiosd1o8c71gmk,0,39.3,93.6,2025-04-19T12:02:38.896Z,2025-04-19T12:02:41Z,2fw3pz0v22kdbiognam8zsvoq,L. Kuittinen,,,5662045905,399,ec7y1s97xpoab87z786zt0r56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
