id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/12/value,qualifier/13/value,qualifier/14/value,qualifier/15/value,qualifier/11/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2815710213,6,5,1,0,16,cy6zs39z79dcfbr4xzkp38z7q,1,55.8,102.0,2025-05-17T14:01:39.306Z,2025-05-17T14:49:26Z,9p03mfw1a51fwu8fklock97je,M. Koskela,,5732517001,56,Left,5732517003,347,,5732517017,233,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815710201,7,5,1,0,16,3ptum5fjcgw51mqui0gu6uuf4,0,44.2,-2.0,2025-05-17T14:01:39.306Z,2025-05-17T14:01:42Z,1iyf79yql5sm8m6i8nwxntsve,Hugo Cardoso,,5732516939,347,,5732516937,56,Back,5732517051,233,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815710345,7,1,1,0,30,cy6zs39z79dcfbr4xzkp38z7q,1,57.0,100.0,2025-05-17T14:01:53.254Z,2025-05-17T14:01:55Z,80whrqt5ch885cdrzpzlez85w,Adramane Cassamá,,5732517623,140,70.8,5732517627,212,15.1,5732517629,213,6.00,5732517621,56,Left,5732517619,107,,5732517625,141,95.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815710347,8,50,1,0,32,cy6zs39z79dcfbr4xzkp38z7q,1,70.3,94.9,2025-05-17T14:01:55.597Z,2025-05-17T14:49:19Z,3tpjeq8mn2sy9v6a8hcesp9wq,T. Kaukua,,5732517633,56,Left,5732517687,233,8,5732517635,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815710351,8,7,1,0,32,3ptum5fjcgw51mqui0gu6uuf4,1,29.7,5.1,2025-05-17T14:01:55.598Z,2025-05-17T14:49:18Z,b7594v117himyndjrpkval8us,E. Okereke,,5732517679,233,8,5732517655,56,Back,5732517659,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815710387,9,1,1,0,33,3ptum5fjcgw51mqui0gu6uuf4,0,36.0,4.1,2025-05-17T14:01:56.450Z,2025-05-17T14:02:00Z,b7594v117himyndjrpkval8us,E. Okereke,,5732517813,140,81.2,5732517817,141,9.5,5732517819,212,47.6,5732517823,1,,5732517807,157,,5732517809,56,Right,5732517821,213,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815710463,9,1,1,0,37,cy6zs39z79dcfbr4xzkp38z7q,1,25.7,89.7,2025-05-17T14:02:00.674Z,2025-05-17T14:02:07Z,91fm2241o9p5nxo84p43tedhx,W. Eskelinen,,5732518121,56,Back,5732518129,213,0.03,5732518127,212,4.9,5732518123,140,30.4,5732518125,141,89.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815710493,10,1,1,0,44,cy6zs39z79dcfbr4xzkp38z7q,1,32.1,76.6,2025-05-17T14:02:07.177Z,2025-05-17T14:02:10Z,7r2ifipuieqiar5n00o2j5uj9,L. Bergsma,,5732518291,213,4.73,5732518283,56,Back,5732518289,212,19.3,5732518287,141,48.2,5732518285,140,32.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815710537,11,1,1,0,47,cy6zs39z79dcfbr4xzkp38z7q,1,33.0,42.1,2025-05-17T14:02:10.645Z,2025-05-17T14:02:14Z,9p03mfw1a51fwu8fklock97je,M. Koskela,,5732518473,56,Right,5732518471,155,,5732518477,141,7.0,5732518479,212,43.3,5732518483,1,,5732518481,213,5.70,5732518475,140,67.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815710569,12,1,1,0,51,cy6zs39z79dcfbr4xzkp38z7q,1,66.1,4.6,2025-05-17T14:02:14.535Z,2025-05-17T14:02:17Z,61ib1kknf11ab4v4f1magyu39,D. Barrow,,5732518609,213,3.10,5732518607,212,11.7,5732518605,141,5.3,5732518601,56,Right,5732518603,140,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815710627,13,1,1,0,54,cy6zs39z79dcfbr4xzkp38z7q,1,53.3,6.7,2025-05-17T14:02:17.753Z,2025-05-17T14:02:21Z,cn6gncw8nbyds83xx6cxbzrpw,S. Silander,,5732518823,141,24.6,5732518827,213,2.76,5732518829,1,,5732518821,140,24.3,5732518819,56,Back,5732518825,212,32.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815710715,14,1,1,0,58,cy6zs39z79dcfbr4xzkp38z7q,1,24.3,29.7,2025-05-17T14:02:21.736Z,2025-05-17T14:02:31Z,9p03mfw1a51fwu8fklock97je,M. Koskela,,5732519247,140,32.4,5732519253,213,1.24,5732519249,141,66.1,5732519251,212,26.2,5732519245,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815710735,15,1,1,1,7,cy6zs39z79dcfbr4xzkp38z7q,1,35.0,67.9,2025-05-17T14:02:30.875Z,2025-05-17T14:02:33Z,7r2ifipuieqiar5n00o2j5uj9,L. Bergsma,,5732519407,213,1.35,5732519405,212,19.2,5732519401,140,39.0,5732519399,56,Back,5732519403,141,95.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815710751,16,1,1,1,10,cy6zs39z79dcfbr4xzkp38z7q,1,38.8,95.4,2025-05-17T14:02:33.500Z,2025-05-17T14:02:34Z,80whrqt5ch885cdrzpzlez85w,Adramane Cassamá,,5732519485,140,41.3,5732519487,141,87.5,5732519489,212,6.0,5732519491,213,5.17,5732519483,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815710769,17,1,1,1,11,cy6zs39z79dcfbr4xzkp38z7q,1,41.6,87.4,2025-05-17T14:02:34.750Z,2025-05-17T14:02:36Z,2iff45qvldope3itiwthnvgx6,O. Tiihonen,,5732519547,140,38.8,5732519553,213,1.98,5732519549,141,97.5,5732519551,212,7.5,5732519545,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815710805,18,1,1,1,13,cy6zs39z79dcfbr4xzkp38z7q,1,38.8,97.5,2025-05-17T14:02:36.577Z,2025-05-17T14:02:41Z,80whrqt5ch885cdrzpzlez85w,Adramane Cassamá,,5732519753,140,16.8,5732519759,213,3.75,5732519757,212,28.2,5732519751,56,Back,5732519755,141,73.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815710825,19,1,1,1,18,cy6zs39z79dcfbr4xzkp38z7q,1,18.2,73.3,2025-05-17T14:02:41.467Z,2025-05-17T14:02:43Z,91fm2241o9p5nxo84p43tedhx,W. Eskelinen,,5732519845,140,21.4,5732519849,212,18.3,5732519847,141,46.9,5732519843,56,Back,5732519851,213,4.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815710867,20,1,1,1,20,cy6zs39z79dcfbr4xzkp38z7q,1,22.7,45.4,2025-05-17T14:02:43.529Z,2025-05-17T14:02:47Z,9p03mfw1a51fwu8fklock97je,M. Koskela,,5732520023,141,40.6,5732520027,213,5.87,5732520021,140,29.8,5732520019,56,Back,5732520025,212,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815710905,21,1,1,1,24,cy6zs39z79dcfbr4xzkp38z7q,1,36.8,30.7,2025-05-17T14:02:47.373Z,2025-05-17T14:02:50Z,a1dhi0sqw2yeffewd34n6z7fu,A. Dumbuya,,5732520165,213,5.66,5732520157,56,Right,5732520159,140,58.0,5732520163,212,27.4,5732520161,141,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815710933,22,1,1,1,27,cy6zs39z79dcfbr4xzkp38z7q,1,54.2,6.7,2025-05-17T14:02:50.466Z,2025-05-17T14:02:53Z,61ib1kknf11ab4v4f1magyu39,D. Barrow,,5732520259,141,33.4,5732520257,140,31.7,5732520263,213,2.49,5732520255,56,Back,5732520261,212,29.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815710971,23,1,1,1,30,cy6zs39z79dcfbr4xzkp38z7q,1,32.2,37.4,2025-05-17T14:02:53.590Z,2025-05-17T14:02:56Z,9p03mfw1a51fwu8fklock97je,M. Koskela,,5732520465,141,68.5,5732520461,140,36.6,5732520467,212,21.6,5732520457,56,Back,5732520469,213,1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815711021,24,1,1,1,33,cy6zs39z79dcfbr4xzkp38z7q,0,43.3,69.4,2025-05-17T14:02:56.371Z,2025-05-17T14:03:01Z,7r2ifipuieqiar5n00o2j5uj9,L. Bergsma,,5732520673,155,,5732520679,141,79.3,5732520677,140,88.6,5732520685,1,,5732520683,213,0.14,5732520675,56,Left,5732520681,212,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815711063,11,1,1,1,39,3ptum5fjcgw51mqui0gu6uuf4,0,14.8,11.9,2025-05-17T14:03:02.161Z,2025-05-17T14:03:07Z,b7594v117himyndjrpkval8us,E. Okereke,,5732520897,157,,5732520899,56,Back,5732520903,141,15.2,5732520905,212,30.4,5732520901,140,43.7,5732520909,1,,5732520907,213,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815711061,25,44,1,1,42,cy6zs39z79dcfbr4xzkp38z7q,1,56.2,86.6,2025-05-17T14:03:05.869Z,2025-05-17T14:52:19Z,7r2ifipuieqiar5n00o2j5uj9,L. Bergsma,,5732520893,56,Left,5732520895,286,,5732520987,233,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815711073,12,44,1,1,42,3ptum5fjcgw51mqui0gu6uuf4,0,43.8,13.4,2025-05-17T14:03:05.870Z,2025-05-17T14:52:20Z,f5f9sfvtizyppg8kqtmp9y3ca,T. Olawale,,5732520963,285,,5732520991,233,25,5732520961,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815711067,26,1,1,1,43,cy6zs39z79dcfbr4xzkp38z7q,0,55.9,87.8,2025-05-17T14:03:06.384Z,2025-05-17T14:03:06Z,7r2ifipuieqiar5n00o2j5uj9,L. Bergsma,,5732520937,213,0.33,5732520927,3,,5732520935,212,7.7,5732520931,140,62.8,5732520929,56,Left,5732520933,141,91.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815711095,13,1,1,1,44,3ptum5fjcgw51mqui0gu6uuf4,1,40.0,8.8,2025-05-17T14:03:07.665Z,2025-05-17T14:03:10Z,1iyf79yql5sm8m6i8nwxntsve,Hugo Cardoso,,5732521055,213,5.89,5732521051,141,5.8,5732521047,56,Back,5732521049,140,44.7,5732521053,212,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815711089,27,83,1,1,45,cy6zs39z79dcfbr4xzkp38z7q,0,63.2,94.4,2025-05-17T14:03:08.852Z,2025-05-17T14:03:12Z,7r2ifipuieqiar5n00o2j5uj9,L. Bergsma,,5732521201,399,f5f9sfvtizyppg8kqtmp9y3ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815711097,14,1,1,1,47,3ptum5fjcgw51mqui0gu6uuf4,0,46.4,3.5,2025-05-17T14:03:10.041Z,2025-05-17T14:03:10Z,f5f9sfvtizyppg8kqtmp9y3ca,T. Olawale,,5732521073,140,55.7,5732521071,56,Right,5732521075,141,7.7,5732521077,212,10.2,5732521079,213,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815711107,28,61,1,1,47,cy6zs39z79dcfbr4xzkp38z7q,1,61.8,94.5,2025-05-17T14:03:10.665Z,2025-05-17T14:03:11Z,7r2ifipuieqiar5n00o2j5uj9,L. Bergsma,,5732521115,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815711111,15,43,1,1,48,3ptum5fjcgw51mqui0gu6uuf4,1,0.0,0.0,2025-05-17T14:03:11.489Z,2025-05-17T14:03:14Z,1iyf79yql5sm8m6i8nwxntsve,Hugo Cardoso,,5732521325,144,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815711139,16,45,1,1,49,3ptum5fjcgw51mqui0gu6uuf4,0,59.6,5.2,2025-05-17T14:03:12.524Z,2025-05-17T14:42:37Z,1iyf79yql5sm8m6i8nwxntsve,Hugo Cardoso,,5732521263,56,Right,5732521355,233,29,5732521265,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815711137,29,3,1,1,49,cy6zs39z79dcfbr4xzkp38z7q,1,40.4,94.8,2025-05-17T14:03:12.524Z,2025-05-17T14:42:37Z,80whrqt5ch885cdrzpzlez85w,Adramane Cassamá,,5732521255,56,Back,5732521257,286,,5732521303,233,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815711247,31,1,1,1,52,cy6zs39z79dcfbr4xzkp38z7q,1,32.4,96.9,2025-05-17T14:03:15.758Z,2025-05-17T14:03:21Z,80whrqt5ch885cdrzpzlez85w,Adramane Cassamá,,5732521645,213,3.73,5732521637,56,Back,5732521641,141,74.2,5732521639,140,10.3,5732521643,212,27.9,5732521661,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815711299,32,1,1,2,0,cy6zs39z79dcfbr4xzkp38z7q,1,13.2,67.7,2025-05-17T14:03:23.256Z,2025-05-17T14:05:26Z,91fm2241o9p5nxo84p43tedhx,W. Eskelinen,,5732521893,56,Back,5732521901,213,5.67,5732521899,212,21.0,5732521897,141,49.9,5732521931,189,,5732521895,140,29.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815711365,33,1,1,2,5,cy6zs39z79dcfbr4xzkp38z7q,1,30.8,43.0,2025-05-17T14:03:28.630Z,2025-05-17T14:05:18Z,a1dhi0sqw2yeffewd34n6z7fu,A. Dumbuya,,5732522175,141,30.5,5732522173,140,34.5,5732522179,213,5.14,5732522177,212,9.3,5732522171,56,Back,5732522205,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815711431,34,1,1,2,7,cy6zs39z79dcfbr4xzkp38z7q,1,31.1,35.5,2025-05-17T14:03:30.770Z,2025-05-17T14:03:34Z,cn6gncw8nbyds83xx6cxbzrpw,S. Silander,,5732522401,141,47.3,5732522405,213,1.91,5732522397,56,Back,5732522399,140,28.4,5732522403,212,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815711493,35,1,1,2,11,cy6zs39z79dcfbr4xzkp38z7q,1,29.5,46.3,2025-05-17T14:03:34.316Z,2025-05-17T14:03:41Z,9p03mfw1a51fwu8fklock97je,M. Koskela,,5732522739,140,72.1,5732522737,56,Left,5732522745,213,0.65,5732522743,212,56.2,5732522741,141,96.3,5732522735,155,,5732522747,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815711503,36,1,1,2,18,cy6zs39z79dcfbr4xzkp38z7q,1,76.2,96.8,2025-05-17T14:03:41.222Z,2025-05-17T14:04:24Z,80whrqt5ch885cdrzpzlez85w,Adramane Cassamá,,5732522795,56,Left,5732522803,213,3.05,5732522799,141,97.1,5732522797,140,74.1,5732522801,212,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815711505,17,45,1,2,19,3ptum5fjcgw51mqui0gu6uuf4,0,25.6,5.8,2025-05-17T14:03:42.879Z,2025-05-17T14:42:38Z,1iyf79yql5sm8m6i8nwxntsve,Hugo Cardoso,,5732522809,56,Back,5732522993,233,37,5732522811,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815711549,37,3,1,2,19,cy6zs39z79dcfbr4xzkp38z7q,1,74.4,94.2,2025-05-17T14:03:42.879Z,2025-05-17T14:42:38Z,3tpjeq8mn2sy9v6a8hcesp9wq,T. Kaukua,,5732522981,233,17,5732522957,286,,5732522955,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815711589,38,1,1,2,24,cy6zs39z79dcfbr4xzkp38z7q,1,70.2,79.4,2025-05-17T14:03:47.941Z,2025-05-17T14:03:49Z,3tpjeq8mn2sy9v6a8hcesp9wq,T. Kaukua,,5732523141,141,70.9,5732523145,213,4.24,5732523137,56,Center,5732523139,140,67.4,5732523143,212,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815711599,39,1,1,2,25,cy6zs39z79dcfbr4xzkp38z7q,1,65.2,69.4,2025-05-17T14:03:48.925Z,2025-05-17T14:03:49Z,a1dhi0sqw2yeffewd34n6z7fu,A. Dumbuya,,5732523187,56,Center,5732523191,140,65.7,5732523195,141,77.0,5732523199,213,1.47,5732523197,212,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815711625,40,1,1,2,26,cy6zs39z79dcfbr4xzkp38z7q,1,63.5,80.6,2025-05-17T14:03:49.831Z,2025-05-17T14:03:51Z,2iff45qvldope3itiwthnvgx6,O. Tiihonen,,5732523303,140,67.2,5732523305,141,92.3,5732523301,56,Left,5732523307,212,8.9,5732523309,213,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815711691,41,1,1,2,30,cy6zs39z79dcfbr4xzkp38z7q,1,65.9,92.4,2025-05-17T14:03:53.221Z,2025-05-17T14:03:57Z,80whrqt5ch885cdrzpzlez85w,Adramane Cassamá,,5732523643,212,11.4,5732523637,56,Left,5732523645,213,0.29,5732523641,141,97.2,5732523639,140,76.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815711711,42,1,1,2,34,cy6zs39z79dcfbr4xzkp38z7q,1,74.6,93.0,2025-05-17T14:03:57.267Z,2025-05-17T14:09:23Z,4votdnyh0srvboatz6a20d5p0,J. Paananen,,5732523717,140,70.0,5732523719,141,86.8,5732523723,213,3.86,5732523721,212,6.4,5732523715,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815711737,43,1,1,2,35,cy6zs39z79dcfbr4xzkp38z7q,1,70.4,84.1,2025-05-17T14:03:58.891Z,2025-05-17T14:04:02Z,2iff45qvldope3itiwthnvgx6,O. Tiihonen,,5732523825,56,Center,5732523835,213,6.03,5732523831,141,76.4,5732523829,140,89.4,5732523833,212,20.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
