id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/8/value,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/14/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2806121111,6,43,1,0,8,cy6zs39z79dcfbr4xzkp38z7q,1,0.0,0.0,2025-04-26T12:07:07.630Z,2025-04-26T12:09:17Z,9rle4eqj5q7d4y7hgu570vgfd,N. Jokelainen,,,5679571415,56,Back,5679582701,144,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806121155,7,1,1,0,10,8eab5wbcnttsiosd1o8c71gmk,1,60.5,88.6,2025-04-26T12:07:09.229Z,2025-04-26T12:07:10Z,arxu3yjspsjmmobkj92c79ze2,J. Niska,,,5679571645,213,5.49,5679571641,141,78.8,5679571637,56,Center,5679571639,140,66.7,5679571643,212,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806121161,8,50,1,0,11,8eab5wbcnttsiosd1o8c71gmk,1,69.6,83.0,2025-04-26T12:07:10.284Z,2025-04-26T12:51:38Z,dlxtr9p8d7k733qhpq9qyydey,J. Yli-Kokko,,,5679571797,233,7,5679571677,56,Left,5679571679,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806121177,7,7,1,0,11,cy6zs39z79dcfbr4xzkp38z7q,1,30.4,17.0,2025-04-26T12:07:10.285Z,2025-04-26T12:51:38Z,a1dhi0sqw2yeffewd34n6z7fu,A. Dumbuya,,,5679571745,56,Back,5679571747,285,,5679571781,233,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806121233,9,1,1,0,15,cy6zs39z79dcfbr4xzkp38z7q,1,44.4,6.4,2025-04-26T12:07:14.077Z,2025-04-26T12:07:16Z,9rle4eqj5q7d4y7hgu570vgfd,N. Jokelainen,,,5679572009,56,Right,5679572015,212,12.7,5679572011,140,56.5,5679572013,141,7.6,5679572019,213,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806121241,10,61,1,0,17,cy6zs39z79dcfbr4xzkp38z7q,0,56.5,7.6,2025-04-26T12:07:15.901Z,2025-04-26T12:07:16Z,j4mqmt0lccgzq4nf87ljkoyy,J. Rennicks,,,5679572039,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806121301,9,50,1,0,18,8eab5wbcnttsiosd1o8c71gmk,1,34.2,83.2,2025-04-26T12:07:17.533Z,2025-04-26T12:51:39Z,d39zrjj1sao1lkkzief35sctl,F. Krebs,,,5679588643,286,,5679572371,56,Back,5679588639,233,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806121277,12,7,1,0,18,cy6zs39z79dcfbr4xzkp38z7q,0,65.8,16.8,2025-04-26T12:07:17.534Z,2025-04-26T12:51:39Z,4votdnyh0srvboatz6a20d5p0,J. Paananen,,,5679588225,285,,5679588223,56,Right,5679588629,233,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806121271,11,43,1,0,19,cy6zs39z79dcfbr4xzkp38z7q,1,0.0,0.0,2025-04-26T12:07:17.805Z,2025-04-26T12:07:23Z,4votdnyh0srvboatz6a20d5p0,J. Paananen,,,5679572209,56,Right,5679572689,144,45,5679572211,285,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806121377,11,1,1,0,20,8eab5wbcnttsiosd1o8c71gmk,1,21.1,76.7,2025-04-26T12:07:19.613Z,2025-04-26T12:07:23Z,2fw3pz0v22kdbiognam8zsvoq,L. Kuittinen,,,5679572717,56,Back,5679572719,140,8.6,5679572723,212,20.3,5679572725,213,4.01,5679572721,141,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806121443,12,1,1,0,24,8eab5wbcnttsiosd1o8c71gmk,0,8.6,54.6,2025-04-26T12:07:23.342Z,2025-04-26T12:07:27Z,7oxxp38dxp40lby1kwg4xpn56,E. Huuhtanen,,,5679573039,157,,5679573049,213,0.25,5679573043,140,56.4,5679573047,212,51.8,5679573045,141,73.6,5679573041,56,Center,5679573051,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806121445,13,44,1,0,27,cy6zs39z79dcfbr4xzkp38z7q,1,42.2,28.5,2025-04-26T12:07:26.653Z,2025-04-26T12:51:55Z,9p03mfw1a51fwu8fklock97je,M. Koskela,,,5679573163,233,13,5679573057,56,Back,5679573059,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806121455,13,44,1,0,27,8eab5wbcnttsiosd1o8c71gmk,0,57.8,71.5,2025-04-26T12:07:26.654Z,2025-04-26T12:51:55Z,50pntfz4g78co2q68kno332z9,J. Tuominen,,,5679573109,56,Center,5679573177,233,13,5679573111,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806121485,14,1,1,0,28,cy6zs39z79dcfbr4xzkp38z7q,1,40.0,32.1,2025-04-26T12:07:27.006Z,2025-04-26T12:11:09Z,9p03mfw1a51fwu8fklock97je,M. Koskela,,,5679573233,141,10.3,5679573237,213,5.00,5679573231,140,44.1,5679573227,3,,5679573229,56,Back,5679573235,212,15.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806121497,16,61,1,0,30,cy6zs39z79dcfbr4xzkp38z7q,0,44.1,10.3,2025-04-26T12:07:29.182Z,2025-04-26T12:07:37Z,9rle4eqj5q7d4y7hgu570vgfd,N. Jokelainen,,,5679573271,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806121571,15,1,1,0,33,8eab5wbcnttsiosd1o8c71gmk,0,59.8,91.5,2025-04-26T12:07:32.621Z,2025-04-26T12:07:34Z,arxu3yjspsjmmobkj92c79ze2,J. Niska,,,5679573631,140,62.2,5679573629,56,Left,5679573683,233,17,5679573687,286,,5679573635,212,2.6,5679573637,213,6.04,5679573633,141,90.6,5679573681,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806121561,17,74,1,0,33,cy6zs39z79dcfbr4xzkp38z7q,1,32.1,9.2,2025-04-26T12:07:32.622Z,2025-04-26T12:07:34Z,5lx97p0c2ja9g4vjofjr2o5pl,J. Lehtonen,,,5679573701,233,15,5679573601,285,,5679573599,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806121593,16,5,1,0,35,8eab5wbcnttsiosd1o8c71gmk,1,65.2,101.4,2025-04-26T12:07:34.206Z,2025-04-26T12:51:20Z,arxu3yjspsjmmobkj92c79ze2,J. Niska,,,5679573741,56,Left,5679573757,233,18,5679573743,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806121587,18,5,1,0,35,cy6zs39z79dcfbr4xzkp38z7q,0,34.8,-1.4,2025-04-26T12:07:34.206Z,2025-04-26T12:07:37Z,5lx97p0c2ja9g4vjofjr2o5pl,J. Lehtonen,,,5679573809,233,16,5679573707,56,Back,5679573709,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806121879,17,1,1,0,47,8eab5wbcnttsiosd1o8c71gmk,1,61.2,100.0,2025-04-26T12:07:46.462Z,2025-04-26T12:11:48Z,arxu3yjspsjmmobkj92c79ze2,J. Niska,,,5679575211,140,53.9,5679594447,189,,5679575215,212,10.7,5679575209,56,Left,5679575207,107,,5679575213,141,89.9,5679575217,213,3.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806121915,18,1,1,0,51,8eab5wbcnttsiosd1o8c71gmk,1,53.9,89.9,2025-04-26T12:07:50.445Z,2025-04-26T12:11:46Z,dlxtr9p8d7k733qhpq9qyydey,J. Yli-Kokko,,,5679575369,56,Back,5679575371,140,37.8,5679594301,189,,5679575375,212,16.9,5679575373,141,90.9,5679575377,213,3.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806121965,19,1,1,0,53,8eab5wbcnttsiosd1o8c71gmk,1,27.7,89.0,2025-04-26T12:07:52.365Z,2025-04-26T12:07:55Z,98u2encce9933qd4y2kukej85,B. Straalman,,,5679575657,212,22.3,5679575653,140,15.2,5679575659,213,4.08,5679575651,56,Back,5679575655,141,62.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806122119,20,1,1,1,0,8eab5wbcnttsiosd1o8c71gmk,1,23.6,62.1,2025-04-26T12:07:58.990Z,2025-04-26T12:08:03Z,7oxxp38dxp40lby1kwg4xpn56,E. Huuhtanen,,,5679576393,155,,5679576397,56,Left,5679576403,212,47.6,5679576407,1,,5679576399,140,64.3,5679576405,213,0.46,5679576401,141,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806122179,21,1,1,1,4,8eab5wbcnttsiosd1o8c71gmk,1,69.4,88.3,2025-04-26T12:08:03.374Z,2025-04-26T12:08:07Z,9618hk1lq7i6see347k7plkyy,M. Sarr,,,5679576741,213,5.23,5679576737,212,9.9,5679576727,56,Center,5679576733,141,75.6,5679576731,140,74.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806122225,22,1,1,1,8,8eab5wbcnttsiosd1o8c71gmk,1,78.6,83.5,2025-04-26T12:08:07.038Z,2025-04-26T12:08:09Z,d39zrjj1sao1lkkzief35sctl,F. Krebs,,,5679576953,56,Center,5679576959,212,12.7,5679576957,141,64.8,5679576961,213,4.68,5679576955,140,78.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806122271,23,1,1,1,10,8eab5wbcnttsiosd1o8c71gmk,1,80.7,54.8,2025-04-26T12:08:09.454Z,2025-04-26T12:08:27Z,9618hk1lq7i6see347k7plkyy,M. Sarr,1.0,,5679577201,212,11.1,5679577197,140,84.5,5679578479,154,,5679577199,141,39.5,5679577203,213,5.08,5679578475,210,15,5679577195,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806122283,24,15,1,1,13,8eab5wbcnttsiosd1o8c71gmk,1,91.2,33.3,2025-04-26T12:08:11.853Z,2025-04-26T12:12:37Z,bwn0e8pjrikjcpold20o2os2c,A. Essomba,,,5679578495,20,,5679578501,154,,5679578525,233,19,5679577241,22,,5679578497,78,,5679578507,102,50.0,5679577245,56,Center,5679578517,147,46.9,5679598849,63,5679578515,146,99.4,5679578499,29,5679578503,55,23,5679578509,103,8.9,,,,,,,,,,,,,,,,,,,,,,,,,
2806122287,19,10,1,1,13,cy6zs39z79dcfbr4xzkp38z7q,1,1.4,54.4,2025-04-26T12:08:11.953Z,2025-04-26T12:12:47Z,91fm2241o9p5nxo84p43tedhx,W. Eskelinen,,,5679578549,233,24,5679577827,179,,5679577277,182,,5679577279,56,Back,5679577273,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806122339,20,12,1,1,16,cy6zs39z79dcfbr4xzkp38z7q,1,14.1,51.8,2025-04-26T12:08:15.214Z,2025-04-26T12:08:17Z,3tpjeq8mn2sy9v6a8hcesp9wq,T. Kaukua,,,5679577563,167,,5679577555,213,1.05,5679577551,141,100.0,5679577547,56,Back,5679577549,140,32.8,5679577553,212,39.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806122341,21,5,1,1,17,cy6zs39z79dcfbr4xzkp38z7q,0,30.0,102.0,2025-04-26T12:08:16.360Z,2025-04-26T12:08:19Z,3tpjeq8mn2sy9v6a8hcesp9wq,T. Kaukua,,,5679577557,56,Back,5679577559,347,,5679577691,233,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806122351,25,5,1,1,17,8eab5wbcnttsiosd1o8c71gmk,1,70.0,-2.0,2025-04-26T12:08:16.360Z,2025-04-26T12:51:20Z,bwn0e8pjrikjcpold20o2os2c,A. Essomba,,,5679577603,347,,5679577601,56,Right,5679577645,233,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806122567,26,1,1,1,32,8eab5wbcnttsiosd1o8c71gmk,1,74.0,0.0,2025-04-26T12:08:31.215Z,2025-04-26T12:08:38Z,d34pugygez0vtpx1t8p5bnq0a,S. Sipola,,,5679578813,213,1.79,5679578805,56,Right,5679579383,189,,5679578807,140,72.4,5679578809,141,8.9,5679578803,107,,5679578811,212,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806122571,27,61,1,1,33,8eab5wbcnttsiosd1o8c71gmk,1,72.4,8.9,2025-04-26T12:08:32.513Z,2025-04-26T12:08:36Z,bwn0e8pjrikjcpold20o2os2c,A. Essomba,,,5679578843,56,Right,5679579245,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806122587,22,5,1,1,34,cy6zs39z79dcfbr4xzkp38z7q,1,25.0,101.8,2025-04-26T12:08:33.023Z,2025-04-26T12:51:21Z,3tpjeq8mn2sy9v6a8hcesp9wq,T. Kaukua,,,5679578923,347,,5679578921,56,Back,5679578993,233,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806122591,28,5,1,1,34,8eab5wbcnttsiosd1o8c71gmk,0,75.0,-1.8,2025-04-26T12:08:33.023Z,2025-04-26T12:51:21Z,bwn0e8pjrikjcpold20o2os2c,A. Essomba,,,5679578929,56,Right,5679579051,233,22,5679578931,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806122739,23,1,1,1,41,cy6zs39z79dcfbr4xzkp38z7q,0,21.9,100.0,2025-04-26T12:08:39.903Z,2025-04-26T12:08:43Z,80whrqt5ch885cdrzpzlez85w,Adramane Cassamá,,,5679579715,107,,5679579721,141,87.7,5679579725,213,6.02,5679579727,1,,5679579723,212,36.6,5679579719,140,55.6,5679579717,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806122789,29,1,1,1,46,8eab5wbcnttsiosd1o8c71gmk,0,42.5,7.7,2025-04-26T12:08:44.958Z,2025-04-26T12:08:47Z,98u2encce9933qd4y2kukej85,B. Straalman,,,5679580007,157,,5679580009,56,Right,5679580015,212,27.3,5679580011,140,67.7,5679580019,1,,5679580017,213,6.04,5679580013,141,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806122805,24,5,1,1,48,cy6zs39z79dcfbr4xzkp38z7q,1,35.8,102.0,2025-04-26T12:08:47.162Z,2025-04-26T12:51:21Z,80whrqt5ch885cdrzpzlez85w,Adramane Cassamá,,,5679580065,56,Back,5679580111,233,30,5679580067,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806122793,30,5,1,1,48,8eab5wbcnttsiosd1o8c71gmk,0,64.2,-2.0,2025-04-26T12:08:47.162Z,2025-04-26T12:08:52Z,98u2encce9933qd4y2kukej85,B. Straalman,,,5679580027,56,Right,5679580029,347,,5679580121,233,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806122917,25,1,1,1,55,cy6zs39z79dcfbr4xzkp38z7q,0,40.9,100.0,2025-04-26T12:08:54.286Z,2025-04-26T12:13:42Z,80whrqt5ch885cdrzpzlez85w,Adramane Cassamá,,,5679580711,56,Left,5679580721,213,5.67,5679580709,107,,5679580717,141,84.7,5679580719,212,20.3,5679580713,140,56.7,5679604771,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806122969,32,1,1,1,58,8eab5wbcnttsiosd1o8c71gmk,1,36.4,56.0,2025-04-26T12:08:57.533Z,2025-04-26T12:08:58Z,9618hk1lq7i6see347k7plkyy,M. Sarr,,,5679580935,141,47.2,5679580939,213,5.98,5679580937,212,20.0,5679580933,140,54.6,5679580931,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806122983,33,61,1,1,59,8eab5wbcnttsiosd1o8c71gmk,0,54.6,47.2,2025-04-26T12:08:58.414Z,2025-04-26T12:13:52Z,50pntfz4g78co2q68kno332z9,J. Tuominen,,,5679581007,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806123051,27,1,1,2,2,cy6zs39z79dcfbr4xzkp38z7q,1,42.0,38.9,2025-04-26T12:09:01.438Z,2025-04-26T12:09:04Z,9p03mfw1a51fwu8fklock97je,M. Koskela,,,5679581359,56,Back,5679581363,141,44.5,5679581367,213,0.45,5679581365,212,8.8,5679581361,140,49.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806123073,28,1,1,2,5,cy6zs39z79dcfbr4xzkp38z7q,0,49.1,42.5,2025-04-26T12:09:03.982Z,2025-04-26T12:14:02Z,a1dhi0sqw2yeffewd34n6z7fu,A. Dumbuya,,,5679581461,212,34.0,5679606449,1,,5679581457,141,0.0,5679581453,140,65.5,5679581451,56,Right,5679581465,213,5.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806123099,29,5,1,2,6,cy6zs39z79dcfbr4xzkp38z7q,0,66.3,-1.0,2025-04-26T12:09:04.894Z,2025-04-26T12:51:22Z,a1dhi0sqw2yeffewd34n6z7fu,A. Dumbuya,,,5679581593,347,,5679581591,56,Right,5679585995,233,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
