id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/9/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/15/value
2803022139,7,5,1,0,14,ea3yd0dgq6uy6pupkpn17j5xg,0,38.4,-1.4,2025-04-19T14:00:13.478Z,2025-04-19T14:00:18Z,ag78l8kpc7icq4payr6mgyej8,S. Yussif,,,5662520153,347,,5662520151,56,Back,5662520277,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803022307,6,1,1,0,26,3ptum5fjcgw51mqui0gu6uuf4,0,63.3,100.0,2025-04-19T14:00:25.033Z,2025-04-19T14:00:26Z,3xtbzw2dg5my9jn99xqh5gdpm,D. Enqvist,,,5662520979,107,,5662520991,213,6.05,5662520987,141,98.0,5662520983,140,73.3,5662520989,212,10.8,5662520981,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803022359,8,1,1,0,28,ea3yd0dgq6uy6pupkpn17j5xg,1,21.5,5.2,2025-04-19T14:00:26.934Z,2025-04-19T14:00:29Z,ag78l8kpc7icq4payr6mgyej8,S. Yussif,,,5662521263,212,18.3,5662521267,1,,5662521265,213,0.47,5662521261,141,17.3,5662521247,140,37.1,5662521245,56,Back,5662521243,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803034045,76,1,1,0,31,ea3yd0dgq6uy6pupkpn17j5xg,1,40.9,19.0,2025-04-19T14:00:29.899Z,2025-04-19T14:09:45Z,f2qohaex1g5tvz10leo2ia6s,M. Arsalo,,,5662584687,213,3.23,5662584685,212,9.2,5662584683,141,17.8,5662584679,56,Back,5662584681,140,32.2,5662584943,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803022409,10,1,1,0,32,ea3yd0dgq6uy6pupkpn17j5xg,0,27.1,16.5,2025-04-19T14:00:30.693Z,2025-04-19T14:10:05Z,bmbdwons7wudqebn3o3flm19l,V. Gasc,,,5662521497,56,Center,5662521501,141,21.9,5662587667,155,,5662521505,213,0.12,5662521499,140,55.6,5662521503,212,30.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803022445,7,1,1,0,33,3ptum5fjcgw51mqui0gu6uuf4,1,44.5,85.9,2025-04-19T14:00:32.121Z,2025-04-19T14:00:33Z,2lsv3xzudv78cddzsvl76zgx6,P. Lindgren,,,5662521623,56,Left,5662521627,140,60.3,5662521619,3,,5662521631,212,16.9,5662521629,141,90.3,5662521633,213,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803022451,8,61,1,0,34,3ptum5fjcgw51mqui0gu6uuf4,1,60.3,90.3,2025-04-19T14:00:33.608Z,2025-04-19T14:00:34Z,4zizd9804wk2k5v0l7ph0u0kq,A. Huttunen,,,5662521653,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803022477,9,50,1,0,36,3ptum5fjcgw51mqui0gu6uuf4,1,66.6,93.4,2025-04-19T14:00:35.605Z,2025-04-19T14:00:40Z,10qxrh1rh7uyhtm3scj8glqs,N. Kujasalo,,,5662522019,233,11,5662521795,286,,5662521793,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803022521,11,7,1,0,36,ea3yd0dgq6uy6pupkpn17j5xg,1,33.4,6.6,2025-04-19T14:00:35.606Z,2025-04-19T14:00:41Z,bmbdwons7wudqebn3o3flm19l,V. Gasc,,,5662521989,233,9,5662521953,167,,5662521955,56,Back,5662521957,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803022549,10,5,1,0,39,3ptum5fjcgw51mqui0gu6uuf4,1,68.1,101.4,2025-04-19T14:00:37.703Z,2025-04-19T14:22:37Z,10qxrh1rh7uyhtm3scj8glqs,N. Kujasalo,,,5662522091,347,,5662522345,233,12,5662522089,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803022593,12,5,1,0,39,ea3yd0dgq6uy6pupkpn17j5xg,0,31.9,-1.4,2025-04-19T14:00:37.703Z,2025-04-19T14:22:37Z,bmbdwons7wudqebn3o3flm19l,V. Gasc,,,5662522311,56,Back,5662522313,347,,5662522395,233,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803022789,11,1,1,0,51,3ptum5fjcgw51mqui0gu6uuf4,1,69.4,100.0,2025-04-19T14:00:50.265Z,2025-04-19T14:00:53Z,3xtbzw2dg5my9jn99xqh5gdpm,D. Enqvist,,,5662523327,212,8.2,5662523325,141,95.9,5662523323,140,76.1,5662523319,107,,5662523321,56,Left,5662523329,213,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803022797,12,3,1,0,53,3ptum5fjcgw51mqui0gu6uuf4,0,77.2,93.6,2025-04-19T14:00:52.181Z,2025-04-19T14:22:44Z,10qxrh1rh7uyhtm3scj8glqs,N. Kujasalo,,,5662523473,233,13,5662523367,286,,5662523365,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803022809,13,7,1,0,53,ea3yd0dgq6uy6pupkpn17j5xg,1,22.8,6.4,2025-04-19T14:00:52.182Z,2025-04-19T14:22:44Z,ag78l8kpc7icq4payr6mgyej8,S. Yussif,,,5662523417,56,Back,5662523421,285,,5662523445,233,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803022861,14,1,1,0,54,ea3yd0dgq6uy6pupkpn17j5xg,1,25.5,30.3,2025-04-19T14:00:53.637Z,2025-04-19T14:00:56Z,7glr1eur910fj5b5fg743job9,R. Karjalainen,,,5662523659,56,Back,5662523663,141,23.6,5662523665,212,21.9,5662523667,213,6.07,5662523669,1,,5662523661,140,45.9,5662523657,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803022871,15,61,1,0,57,ea3yd0dgq6uy6pupkpn17j5xg,0,46.1,28.3,2025-04-19T14:00:56.582Z,2025-04-19T14:00:57Z,1coz8r44qcr2aau1u09888i6s,M. Bojang,,,5662523705,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803022911,13,1,1,0,59,3ptum5fjcgw51mqui0gu6uuf4,1,54.5,47.6,2025-04-19T14:00:58.073Z,2025-04-19T14:01:00Z,64pptq46unjnsxn6wc3avhtec,E. Toivonen,,,5662523881,140,55.3,5662523883,141,55.8,5662523885,212,5.6,5662523887,213,1.42,5662523879,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803023033,14,1,1,1,1,3ptum5fjcgw51mqui0gu6uuf4,1,55.3,55.8,2025-04-19T14:00:59.864Z,2025-04-19T14:01:07Z,36gi7l0qvkbru5w6v2nym00ve,E. Patut,,,5662524483,140,66.3,5662524485,141,35.1,5662524487,212,18.2,5662524489,213,5.40,5662524481,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803023047,15,1,1,1,8,3ptum5fjcgw51mqui0gu6uuf4,1,68.3,48.2,2025-04-19T14:01:06.777Z,2025-04-19T14:01:08Z,1iyf79yql5sm8m6i8nwxntsve,Hugo Cardoso,,,5662524579,141,58.5,5662524575,56,Center,5662524583,213,2.79,5662524577,140,50.3,5662524581,212,20.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803023097,16,1,1,1,9,3ptum5fjcgw51mqui0gu6uuf4,1,46.8,59.1,2025-04-19T14:01:08.329Z,2025-04-19T14:01:12Z,2lsv3xzudv78cddzsvl76zgx6,P. Lindgren,,,5662524817,56,Left,5662524821,141,80.0,5662524823,212,17.0,5662524825,213,0.99,5662524819,140,55.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803023521,17,1,1,1,13,3ptum5fjcgw51mqui0gu6uuf4,0,58.0,85.0,2025-04-19T14:01:12.536Z,2025-04-19T14:02:30Z,10qxrh1rh7uyhtm3scj8glqs,N. Kujasalo,,,5662526887,140,100.0,5662526885,56,Left,5662526883,155,,5662526891,212,44.8,5662526895,1,,5662526893,213,0.01,5662526889,141,85.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803023391,16,5,1,1,19,ea3yd0dgq6uy6pupkpn17j5xg,1,-0.6,31.3,2025-04-19T14:01:17.750Z,2025-04-19T14:02:48Z,3zfwycbtlksz95tsqcog03yp6,Kelvin Pires,,,5662530933,233,27,5662533301,346,,5662526243,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803023863,27,5,1,1,19,3ptum5fjcgw51mqui0gu6uuf4,0,100.6,68.7,2025-04-19T14:01:17.750Z,2025-04-19T14:22:37Z,2lsv3xzudv78cddzsvl76zgx6,P. Lindgren,,,5662528625,56,Center,5662533259,346,,5662530959,233,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803023425,17,1,1,1,32,ea3yd0dgq6uy6pupkpn17j5xg,1,2.5,49.9,2025-04-19T14:01:30.774Z,2025-04-19T14:01:39Z,dcv3bj7tkpb8of9xh3br2510q,R. Paunio,,,5662526419,141,70.9,5662526431,237,,5662526425,213,1.23,5662527037,189,,5662526421,212,15.1,5662526415,56,Back,5662526417,140,7.3,5662526413,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803023503,18,1,1,1,34,ea3yd0dgq6uy6pupkpn17j5xg,0,8.4,70.6,2025-04-19T14:01:32.711Z,2025-04-19T14:01:36Z,czynssza36ggpaezb0i14si22,S. Chukwudi,,,5662526809,140,68.4,5662526799,157,,5662526811,141,73.3,5662526815,213,0.03,5662526817,1,,5662526813,212,63.0,5662526805,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803023575,18,1,1,1,38,3ptum5fjcgw51mqui0gu6uuf4,1,26.7,28.5,2025-04-19T14:01:37.561Z,2025-04-19T14:01:41Z,2lsv3xzudv78cddzsvl76zgx6,P. Lindgren,,,5662527137,140,6.3,5662527141,212,21.9,5662527135,56,Back,5662527143,213,2.94,5662527139,141,35.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803023625,20,1,1,1,43,3ptum5fjcgw51mqui0gu6uuf4,0,6.4,35.1,2025-04-19T14:01:42.250Z,2025-04-19T14:01:44Z,cikb5rw9wtq5th334wj89dhey,M. Riikonen,,,5662527379,56,Back,5662527383,141,36.0,5662527385,212,39.5,5662527387,213,0.02,5662527389,1,,5662527381,140,44.0,5662527377,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803023607,19,44,1,1,44,ea3yd0dgq6uy6pupkpn17j5xg,1,55.7,65.0,2025-04-19T14:01:42.822Z,2025-04-19T14:01:45Z,bmbdwons7wudqebn3o3flm19l,V. Gasc,,,5662527321,286,,5662527491,233,21,5662527319,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803023633,21,44,1,1,44,3ptum5fjcgw51mqui0gu6uuf4,0,44.6,34.0,2025-04-19T14:01:42.823Z,2025-04-19T14:01:45Z,u8remrfu8ug41xu71brhukmh,S. Dahlström,,,5662527535,233,19,5662527417,285,,5662527415,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803023663,20,1,1,1,44,ea3yd0dgq6uy6pupkpn17j5xg,1,54.7,68.1,2025-04-19T14:01:43.222Z,2025-04-19T14:01:45Z,bmbdwons7wudqebn3o3flm19l,V. Gasc,,,5662527587,213,0.06,5662527585,212,16.0,5662527583,141,69.6,5662527579,56,Center,5662527581,140,69.9,5662527577,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803023667,21,44,1,1,46,ea3yd0dgq6uy6pupkpn17j5xg,1,64.3,68.6,2025-04-19T14:01:44.727Z,2025-04-19T14:01:47Z,2qks3nbpd8o6igkqjl9e4po4q,Babacar Fati,,,5662527719,233,22,5662527613,286,,5662527611,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803023647,22,44,1,1,46,3ptum5fjcgw51mqui0gu6uuf4,0,33.8,31.1,2025-04-19T14:01:44.728Z,2025-04-19T14:01:46Z,36gi7l0qvkbru5w6v2nym00ve,E. Patut,,,5662527723,233,21,5662527525,56,Back,5662527527,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803023675,22,1,1,1,46,ea3yd0dgq6uy6pupkpn17j5xg,0,69.9,69.6,2025-04-19T14:01:45.382Z,2025-04-19T14:01:46Z,2qks3nbpd8o6igkqjl9e4po4q,Babacar Fati,,,5662527639,3,,5662527649,213,0.30,5662527645,141,71.7,5662527647,212,4.8,5662527643,140,74.3,5662527641,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803023737,23,1,1,1,49,3ptum5fjcgw51mqui0gu6uuf4,1,25.7,31.0,2025-04-19T14:01:47.849Z,2025-04-19T14:01:49Z,b7594v117himyndjrpkval8us,E. Okereke,,,5662527939,140,30.8,5662527935,56,Back,5662527943,141,16.5,5662527945,212,11.2,5662527947,213,5.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803023789,24,1,1,1,52,3ptum5fjcgw51mqui0gu6uuf4,1,30.2,10.6,2025-04-19T14:01:51.577Z,2025-04-19T14:01:53Z,64pptq46unjnsxn6wc3avhtec,E. Toivonen,,,5662528255,213,2.34,5662528253,212,7.0,5662528247,56,Back,5662528249,140,25.6,5662528251,141,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803023811,25,1,1,1,54,3ptum5fjcgw51mqui0gu6uuf4,1,24.6,21.9,2025-04-19T14:01:52.985Z,2025-04-19T14:01:55Z,b7594v117himyndjrpkval8us,E. Okereke,,,5662528383,213,1.98,5662528377,140,14.7,5662528375,56,Back,5662528381,212,26.0,5662528379,141,56.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803023849,26,1,1,1,56,3ptum5fjcgw51mqui0gu6uuf4,1,14.7,56.9,2025-04-19T14:01:55.353Z,2025-04-19T14:01:58Z,cikb5rw9wtq5th334wj89dhey,M. Riikonen,,,5662528553,56,Back,5662528561,141,72.6,5662528557,140,19.0,5662528565,212,11.6,5662528573,213,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803023941,28,1,1,2,1,3ptum5fjcgw51mqui0gu6uuf4,1,21.5,71.1,2025-04-19T14:01:59.801Z,2025-04-19T14:02:08Z,2lsv3xzudv78cddzsvl76zgx6,P. Lindgren,,,5662528989,212,23.0,5662528985,140,12.2,5662528987,141,40.4,5662528983,56,Back,5662528991,213,4.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803023959,29,1,1,2,3,3ptum5fjcgw51mqui0gu6uuf4,0,12.2,40.4,2025-04-19T14:02:02.602Z,2025-04-19T14:02:03Z,cikb5rw9wtq5th334wj89dhey,M. Riikonen,,,5662529131,157,,5662529141,213,6.11,5662529139,212,38.8,5662529143,1,,5662529133,56,Back,5662529137,141,30.4,5662529135,140,48.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803023999,23,1,1,2,5,ea3yd0dgq6uy6pupkpn17j5xg,1,52.2,64.6,2025-04-19T14:02:04.118Z,2025-04-19T14:02:06Z,2qks3nbpd8o6igkqjl9e4po4q,Babacar Fati,,,5662529393,3,,5662529397,140,52.1,5662529395,56,Center,5662529401,141,57.5,5662529405,212,4.8,5662529407,213,4.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803024005,24,61,1,2,7,ea3yd0dgq6uy6pupkpn17j5xg,1,52.1,57.5,2025-04-19T14:02:06.310Z,2025-04-19T14:02:06Z,bmbdwons7wudqebn3o3flm19l,V. Gasc,,,5662529441,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803024101,25,1,1,2,9,ea3yd0dgq6uy6pupkpn17j5xg,1,47.7,64.2,2025-04-19T14:02:07.735Z,2025-04-19T14:02:11Z,2qks3nbpd8o6igkqjl9e4po4q,Babacar Fati,,,5662529919,141,47.9,5662529923,213,3.48,5662529925,1,,5662529921,212,33.6,5662529917,140,17.5,5662529915,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803024181,27,1,1,2,13,ea3yd0dgq6uy6pupkpn17j5xg,1,17.5,47.9,2025-04-19T14:02:11.782Z,2025-04-19T14:02:16Z,dcv3bj7tkpb8of9xh3br2510q,R. Paunio,,,5662530339,212,17.1,5662530341,213,4.98,5662530335,140,21.8,5662530337,141,23.7,5662530333,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803024235,28,1,1,2,17,ea3yd0dgq6uy6pupkpn17j5xg,1,28.1,21.5,2025-04-19T14:02:15.974Z,2025-04-19T14:02:18Z,3zfwycbtlksz95tsqcog03yp6,Kelvin Pires,,,5662530609,56,Back,5662530613,141,36.9,5662530615,212,10.5,5662530617,213,1.63,5662530611,140,27.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803024265,29,1,1,2,19,ea3yd0dgq6uy6pupkpn17j5xg,1,29.0,39.5,2025-04-19T14:02:18.263Z,2025-04-19T14:02:20Z,bmbdwons7wudqebn3o3flm19l,V. Gasc,,,5662530829,141,59.7,5662530833,213,0.89,5662530825,56,Back,5662530827,140,39.5,5662530831,212,17.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803024295,30,1,1,2,21,ea3yd0dgq6uy6pupkpn17j5xg,1,39.5,59.7,2025-04-19T14:02:20.279Z,2025-04-19T14:02:22Z,2qks3nbpd8o6igkqjl9e4po4q,Babacar Fati,,,5662531023,141,50.3,5662531025,212,8.9,5662531027,213,3.94,5662531019,56,Back,5662531021,140,33.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803024327,31,1,1,2,23,ea3yd0dgq6uy6pupkpn17j5xg,1,33.6,50.3,2025-04-19T14:02:21.750Z,2025-04-19T14:02:23Z,bmbdwons7wudqebn3o3flm19l,V. Gasc,,,5662531169,212,13.0,5662531165,140,30.3,5662531167,141,68.7,5662531163,56,Back,5662531171,213,1.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803024397,32,1,1,2,25,ea3yd0dgq6uy6pupkpn17j5xg,1,30.9,68.5,2025-04-19T14:02:23.702Z,2025-04-19T14:02:27Z,czynssza36ggpaezb0i14si22,S. Chukwudi,,,5662531591,212,12.7,5662531585,56,Back,5662531587,140,30.5,5662531589,141,87.1,5662531593,213,1.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803024503,33,1,1,2,29,ea3yd0dgq6uy6pupkpn17j5xg,1,30.8,82.0,2025-04-19T14:02:27.687Z,2025-04-19T14:02:34Z,f2qohaex1g5tvz10leo2ia6s,M. Arsalo,,,5662532219,140,34.5,5662532223,212,39.6,5662532225,213,4.81,5662532227,1,,5662532221,141,24.0,5662532217,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
