id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/9/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/13/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2823310603,6,5,1,0,9,3cbke8cbou2ms925872vk6dwx,1,66.2,-2.0,2025-06-18T18:02:34.596Z,2025-06-18T18:52:47Z,166chk5he9ehkh9col37bw3jd,O. Olufunwa,,5774887545,347,,5774887549,233,5,5774887543,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310663,7,1,1,0,29,3cbke8cbou2ms925872vk6dwx,1,67.2,0.0,2025-06-18T18:02:54.328Z,2025-06-18T18:02:57Z,166chk5he9ehkh9col37bw3jd,O. Olufunwa,,5774887805,212,16.9,5774887799,56,Right,5774887807,213,0.63,5774887801,140,80.2,5774887797,107,,5774887803,141,12.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310665,8,1,1,0,32,3cbke8cbou2ms925872vk6dwx,0,80.3,12.6,2025-06-18T18:02:57.688Z,2025-06-18T18:02:58Z,b0wmozayt7xbjz6ihhdiczq0a,J. Latonen,,5774887819,141,23.3,5774887813,168,,5774887811,3,,5774887817,140,87.1,5774887821,212,10.2,5774887823,213,0.79,5774887815,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310673,6,12,1,0,33,duspptyvnr5kpx2iko5gerhnz,1,21.2,91.8,2025-06-18T18:02:58.140Z,2025-06-18T18:02:59Z,7zztpnbw4cfyw6q231nqy8nv9,M. Niemi,,5774887859,15,,5774887845,56,Back,5774887851,212,7.1,5774887853,213,6.08,5774887847,140,27.8,5774887849,141,89.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310689,7,1,1,0,36,duspptyvnr5kpx2iko5gerhnz,1,26.0,87.5,2025-06-18T18:03:01.394Z,2025-06-18T18:03:03Z,80mvshlrrlu5vt41gkruwn8fe,Y. El Ouatki,,5774887909,168,,5774887907,3,,5774887913,140,31.8,5774887915,141,77.8,5774887919,213,5.46,5774887911,56,Back,5774887917,212,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310691,8,44,1,0,37,duspptyvnr5kpx2iko5gerhnz,1,29.0,82.3,2025-06-18T18:03:02.199Z,2025-06-18T18:52:35Z,ec7y1s97xpoab87z786zt0r56,M. Fall,,5774887935,285,,5774887943,233,9,5774887933,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310683,9,44,1,0,37,3cbke8cbou2ms925872vk6dwx,0,71.0,17.7,2025-06-18T18:03:02.200Z,2025-06-18T18:52:35Z,bbdoe533sbua0ikwxa8ldo91x,A. Kabashi,,5774887951,233,8,5774887891,56,Right,5774887893,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310695,9,1,1,0,37,duspptyvnr5kpx2iko5gerhnz,1,31.8,77.8,2025-06-18T18:03:02.386Z,2025-06-18T18:11:43Z,ec7y1s97xpoab87z786zt0r56,M. Fall,,5774887963,168,,5774887971,212,18.7,5774887965,56,Back,5774887973,213,5.44,5774887961,3,,5774887967,140,43.6,5774887969,141,57.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310701,10,45,1,0,43,3cbke8cbou2ms925872vk6dwx,0,32.8,39.8,2025-06-18T18:03:08.394Z,2025-06-18T18:52:32Z,6q0g98fnbdx5sg52lazo2sqac,P. Gnanou,,5774888013,233,11,5774887985,56,Back,5774887987,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310703,11,3,1,0,43,duspptyvnr5kpx2iko5gerhnz,1,67.2,60.2,2025-06-18T18:03:08.394Z,2025-06-18T18:52:32Z,ebhnuikcvtrbmw5e80r1fds2y,O. Jakonen,,5774887997,233,10,5774887993,56,Center,5774887995,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310717,12,1,1,0,45,duspptyvnr5kpx2iko5gerhnz,1,72.4,70.2,2025-06-18T18:03:10.659Z,2025-06-18T18:03:15Z,ebhnuikcvtrbmw5e80r1fds2y,O. Jakonen,,5774888061,56,Left,5774888067,212,21.1,5774888069,213,0.46,5774888065,141,84.1,5774888063,140,90.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310729,13,1,1,0,50,duspptyvnr5kpx2iko5gerhnz,1,94.0,79.7,2025-06-18T18:03:15.490Z,2025-06-18T18:03:17Z,eaa9sktij53071abummj4pkwk,A. Cicale,,5774888125,141,81.7,5774888121,56,Left,5774888127,212,8.4,5774888129,213,2.98,5774888123,140,86.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310737,14,1,1,0,52,duspptyvnr5kpx2iko5gerhnz,0,85.6,81.1,2025-06-18T18:03:17.658Z,2025-06-18T18:03:18Z,80mvshlrrlu5vt41gkruwn8fe,Y. El Ouatki,,5774888165,141,55.1,5774888167,212,18.2,5774888161,56,Center,5774888157,2,,5774888159,155,,5774888169,213,4.95,5774888163,140,89.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310741,11,12,1,0,54,3cbke8cbou2ms925872vk6dwx,1,11.4,49.3,2025-06-18T18:03:19.143Z,2025-06-18T18:03:42Z,6q0g98fnbdx5sg52lazo2sqac,P. Gnanou,,5774888183,140,23.2,5774888189,213,5.70,5774888191,15,,5774888181,56,Back,5774888187,212,14.8,5774888185,141,37.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310755,15,1,1,0,56,duspptyvnr5kpx2iko5gerhnz,1,74.0,59.3,2025-06-18T18:03:21.369Z,2025-06-18T18:03:23Z,5ynhzqvpks5u5bjgno6snhyzu,P. Ahiabu,,5774888253,141,78.1,5774888257,213,2.04,5774888251,140,67.9,5774888255,212,14.3,5774888249,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310763,16,1,1,0,58,duspptyvnr5kpx2iko5gerhnz,1,70.6,78.2,2025-06-18T18:03:23.546Z,2025-06-18T18:03:27Z,7zztpnbw4cfyw6q231nqy8nv9,M. Niemi,,5774888301,212,20.6,5774888303,213,0.45,5774888297,140,88.3,5774888299,141,91.4,5774888295,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310779,17,1,1,1,2,duspptyvnr5kpx2iko5gerhnz,1,85.2,90.3,2025-06-18T18:03:27.274Z,2025-06-18T18:03:31Z,eaa9sktij53071abummj4pkwk,A. Cicale,,5774888407,213,2.98,5774888401,140,72.4,5774888403,141,93.6,5774888399,56,Left,5774888405,212,13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310785,18,1,1,1,6,duspptyvnr5kpx2iko5gerhnz,1,61.4,85.4,2025-06-18T18:03:31.290Z,2025-06-18T18:03:33Z,7zztpnbw4cfyw6q231nqy8nv9,M. Niemi,,5774888443,212,38.6,5774888437,56,Center,5774888439,140,51.8,5774888441,141,30.6,5774888447,1,,5774888445,213,4.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310793,19,1,1,1,8,duspptyvnr5kpx2iko5gerhnz,1,53.0,32.5,2025-06-18T18:03:33.770Z,2025-06-18T18:03:39Z,1t44y6xzubkclt6i6nzgkgr1l,Pedro Justiniano,,5774888495,213,2.46,5774888491,141,54.5,5774888489,140,35.3,5774888487,56,Back,5774888493,212,23.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310801,20,1,1,1,14,duspptyvnr5kpx2iko5gerhnz,1,34.6,48.2,2025-06-18T18:03:39.035Z,2025-06-18T18:03:41Z,6i2n7bcfphn89v0eccet2fop,R. Leislahti,,5774888549,141,69.9,5774888555,1,,5774888547,140,61.9,5774888551,212,32.2,5774888545,56,Center,5774888543,155,,5774888553,213,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310809,21,1,1,1,16,duspptyvnr5kpx2iko5gerhnz,0,61.9,69.9,2025-06-18T18:03:41.634Z,2025-06-18T18:03:43Z,ec7y1s97xpoab87z786zt0r56,M. Fall,,5774888613,213,0.02,5774888605,56,Center,5774888609,141,70.3,5774888601,3,,5774888607,140,73.3,5774888611,212,12.0,5774888603,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310835,12,12,1,1,17,3cbke8cbou2ms925872vk6dwx,1,27.6,28.6,2025-06-18T18:03:42.807Z,2025-06-18T18:03:45Z,166chk5he9ehkh9col37bw3jd,O. Olufunwa,,5774888705,141,41.6,5774888703,140,52.2,5774888701,56,Center,5774888707,212,27.3,5774888709,213,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310839,13,61,1,1,20,3cbke8cbou2ms925872vk6dwx,1,55.3,43.3,2025-06-18T18:03:45.886Z,2025-06-18T18:03:46Z,b0wmozayt7xbjz6ihhdiczq0a,J. Latonen,,5774888723,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310865,15,1,1,1,22,3cbke8cbou2ms925872vk6dwx,1,57.2,34.5,2025-06-18T18:03:47.447Z,2025-06-18T18:03:51Z,d8t6nh7paunxlvadzlfx69xx,T. Väyrynen,,5774888849,140,68.4,5774888855,213,5.56,5774888847,56,Right,5774888851,141,19.2,5774888853,212,15.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310873,16,3,1,1,26,3cbke8cbou2ms925872vk6dwx,0,69.8,7.8,2025-06-18T18:03:51.674Z,2025-06-18T18:03:55Z,nxt066bqaqw7grehjw514d7t,S. Heiskanen,,5774888883,286,,5774888955,233,22,5774888881,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310881,22,7,1,1,26,duspptyvnr5kpx2iko5gerhnz,1,30.2,92.2,2025-06-18T18:03:51.675Z,2025-06-18T18:03:55Z,7zztpnbw4cfyw6q231nqy8nv9,M. Niemi,,5774888925,56,Back,5774888949,233,16,5774888923,167,,5774888927,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310885,17,5,1,1,28,3cbke8cbou2ms925872vk6dwx,1,75.2,-2.0,2025-06-18T18:03:53.031Z,2025-06-18T18:52:47Z,nxt066bqaqw7grehjw514d7t,S. Heiskanen,,5774888999,233,23,5774888941,56,Right,5774888943,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310895,23,5,1,1,28,duspptyvnr5kpx2iko5gerhnz,0,24.8,102.0,2025-06-18T18:03:53.031Z,2025-06-18T18:52:47Z,7zztpnbw4cfyw6q231nqy8nv9,M. Niemi,,5774888995,56,Back,5774889005,233,17,5774888997,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823311023,18,1,1,1,54,3cbke8cbou2ms925872vk6dwx,0,81.5,0.0,2025-06-18T18:04:19.304Z,2025-06-18T18:04:21Z,166chk5he9ehkh9col37bw3jd,O. Olufunwa,,5774889595,140,91.0,5774889601,213,0.57,5774889593,56,Right,5774889597,141,7.4,5774889591,107,,5774889599,212,11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823311037,24,8,1,1,58,duspptyvnr5kpx2iko5gerhnz,1,7.0,95.9,2025-06-18T18:04:23.011Z,2025-06-18T18:04:23Z,7zztpnbw4cfyw6q231nqy8nv9,M. Niemi,,5774889663,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823311051,19,5,1,1,59,3cbke8cbou2ms925872vk6dwx,1,96.8,-2.0,2025-06-18T18:04:24.664Z,2025-06-18T18:52:47Z,166chk5he9ehkh9col37bw3jd,O. Olufunwa,,5774889751,56,Right,5774889771,233,25,5774889753,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823311057,25,5,1,1,59,duspptyvnr5kpx2iko5gerhnz,0,3.2,102.0,2025-06-18T18:04:24.664Z,2025-06-18T18:52:48Z,7zztpnbw4cfyw6q231nqy8nv9,M. Niemi,,5774889767,56,Back,5774889769,347,,5774889775,233,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823311073,20,1,1,2,5,3cbke8cbou2ms925872vk6dwx,1,94.7,0.0,2025-06-18T18:04:30.664Z,2025-06-18T18:04:32Z,166chk5he9ehkh9col37bw3jd,O. Olufunwa,,5774889863,107,,5774889871,212,6.7,5774889865,56,Right,5774889873,213,1.51,5774889867,140,95.1,5774889869,141,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823311077,21,1,1,2,7,3cbke8cbou2ms925872vk6dwx,1,95.1,8.5,2025-06-18T18:04:31.960Z,2025-06-18T18:04:34Z,d8t6nh7paunxlvadzlfx69xx,T. Väyrynen,,5774889901,141,4.3,5774889897,56,Right,5774889905,213,4.86,5774889899,140,95.5,5774889921,156,,5774889903,212,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823311107,22,1,1,2,8,3cbke8cbou2ms925872vk6dwx,1,94.3,3.9,2025-06-18T18:04:33.488Z,2025-06-18T18:14:23Z,166chk5he9ehkh9col37bw3jd,O. Olufunwa,,5774890049,141,10.9,5774890047,140,95.4,5774890041,2,,5774890043,155,,5774890051,212,4.9,5774890053,213,1.33,5774890045,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823313229,118,61,1,2,9,3cbke8cbou2ms925872vk6dwx,1,94.4,9.6,2025-06-18T18:04:34.577Z,2025-06-18T18:14:06Z,d8t6nh7paunxlvadzlfx69xx,T. Väyrynen,,5774901565,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823311105,26,12,1,2,10,duspptyvnr5kpx2iko5gerhnz,1,6.9,69.9,2025-06-18T18:04:35.346Z,2025-06-18T18:04:39Z,1zud0qdtf6c6wzkgqhz6b94a1,M. Haukioja,,5774890035,141,100.0,5774890099,15,,5774890033,140,10.5,5774890031,56,Back,5774890037,212,21.5,5774890075,167,,5774890039,213,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823311113,23,5,1,2,12,3cbke8cbou2ms925872vk6dwx,1,89.2,-1.4,2025-06-18T18:04:37.060Z,2025-06-18T18:52:48Z,166chk5he9ehkh9col37bw3jd,O. Olufunwa,,5774890065,56,Right,5774890067,347,,5774890077,233,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823311111,27,5,1,2,12,duspptyvnr5kpx2iko5gerhnz,0,10.8,101.4,2025-06-18T18:04:37.060Z,2025-06-18T18:04:39Z,1zud0qdtf6c6wzkgqhz6b94a1,M. Haukioja,,5774890087,233,23,5774890061,56,Back,5774890063,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823311153,24,1,1,2,20,3cbke8cbou2ms925872vk6dwx,0,89.0,0.0,2025-06-18T18:04:45.128Z,2025-06-18T18:04:47Z,166chk5he9ehkh9col37bw3jd,O. Olufunwa,,5774890263,212,17.4,5774890265,213,1.68,5774890255,107,,5774890257,56,Center,5774890261,141,23.6,5774890259,140,87.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823311161,28,12,1,2,23,duspptyvnr5kpx2iko5gerhnz,1,9.6,74.2,2025-06-18T18:04:48.058Z,2025-06-18T18:04:49Z,7zztpnbw4cfyw6q231nqy8nv9,M. Niemi,,5774890305,15,,5774890301,212,15.4,5774890295,56,Back,5774890303,213,5.90,5774890297,140,23.2,5774890299,141,65.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823313495,109,44,1,2,24,duspptyvnr5kpx2iko5gerhnz,1,21.3,65.0,2025-06-18T18:04:49.143Z,2025-06-18T18:15:49Z,84wint64ygxx3pi5fz3mr12j8,N. Fleuriau Chateau,,5774903401,56,Back,5774903487,233,139,5774903403,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823313491,139,44,1,2,24,3cbke8cbou2ms925872vk6dwx,0,78.7,35.0,2025-06-18T18:04:49.144Z,2025-06-18T18:16:49Z,bl43lr9kdb35de8gxvuk4xgk4,G. Europaeus,,5774903483,233,109,5774903285,286,,5774903283,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823311167,29,1,1,2,24,duspptyvnr5kpx2iko5gerhnz,0,22.9,66.7,2025-06-18T18:04:49.938Z,2025-06-18T18:16:34Z,84wint64ygxx3pi5fz3mr12j8,N. Fleuriau Chateau,,5774890343,140,30.3,5774890339,3,,5774890345,141,65.7,5774890347,212,7.8,5774890341,56,Back,5774890349,213,6.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823311173,25,1,1,2,26,3cbke8cbou2ms925872vk6dwx,1,67.1,30.3,2025-06-18T18:04:51.896Z,2025-06-18T18:04:53Z,bbdoe533sbua0ikwxa8ldo91x,A. Kabashi,,5774890375,212,3.1,5774890377,213,5.67,5774890371,140,69.5,5774890369,56,Center,5774890373,141,27.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823311175,26,43,1,2,28,3cbke8cbou2ms925872vk6dwx,1,0.0,0.0,2025-06-18T18:04:53.191Z,2025-06-18T18:05:02Z,19yfn0sushy5fc003vhn0skwl,E. Bashkirov,,5774890513,144,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823311177,27,1,1,2,29,3cbke8cbou2ms925872vk6dwx,1,71.3,26.4,2025-06-18T18:04:54.136Z,2025-06-18T18:04:55Z,19yfn0sushy5fc003vhn0skwl,E. Bashkirov,,5774890391,213,5.28,5774890389,212,13.9,5774890387,141,9.1,5774890383,56,Right,5774890385,140,78.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823311183,28,1,1,2,30,3cbke8cbou2ms925872vk6dwx,0,78.4,9.1,2025-06-18T18:04:55.304Z,2025-06-18T18:04:57Z,166chk5he9ehkh9col37bw3jd,O. Olufunwa,,5774890417,140,67.9,5774890419,141,19.4,5774890415,56,Right,5774890423,213,2.58,5774890421,212,13.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823311185,30,8,1,2,33,duspptyvnr5kpx2iko5gerhnz,1,26.8,82.1,2025-06-18T18:04:58.241Z,2025-06-18T18:04:58Z,80mvshlrrlu5vt41gkruwn8fe,Y. El Ouatki,,5774890427,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823311217,29,1,1,2,38,3cbke8cbou2ms925872vk6dwx,1,36.7,34.8,2025-06-18T18:05:03.544Z,2025-06-18T18:05:04Z,6q0g98fnbdx5sg52lazo2sqac,P. Gnanou,,5774890573,56,Back,5774890577,141,55.4,5774890581,213,1.53,5774890579,212,14.0,5774890575,140,37.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
