id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/8/value,qualifier/11/value,qualifier/15/value,qualifier/16/value,qualifier/17/value
2796150373,9,1,1,0,16,ea3yd0dgq6uy6pupkpn17j5xg,0,34.2,79.6,2025-04-05T14:01:45.051Z,2025-04-05T14:01:49Z,f2qohaex1g5tvz10leo2ia6s,M. Arsalo,,,5624652897,141,82.3,5624652909,1,,5624652893,56,Left,5624652895,140,85.8,5624652905,213,0.03,5624652887,155,,5624652899,212,54.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796150427,3,12,1,0,21,8sy0cxovuxo76tuoas3uo55xj,1,13.3,19.2,2025-04-05T14:01:49.592Z,2025-04-05T14:01:51Z,8igk37zt3ixjxdtr1t9kwfnit,T. Manga,,,5624653175,141,24.0,5624653179,213,0.26,5624653177,212,12.8,5624653173,140,25.1,5624653171,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796150551,5,4,1,0,25,8sy0cxovuxo76tuoas3uo55xj,1,24.1,24.8,2025-04-05T14:01:54.021Z,2025-04-05T15:16:36Z,ro21tqqaeslyebto6ukon5zo,A. Wilson,,,5624653871,285,,5624654191,233,10,5624653865,56,Back,5624653867,152,,5624653861,13,,5624653863,294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796150573,10,4,1,0,25,ea3yd0dgq6uy6pupkpn17j5xg,0,75.9,75.2,2025-04-05T14:01:54.022Z,2025-04-05T15:16:36Z,7glr1eur910fj5b5fg743job9,R. Karjalainen,,,5624654115,56,Center,5624654235,233,5,5624654119,152,,5624654105,13,,5624654125,286,,5624654109,294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796151317,6,1,1,0,36,8sy0cxovuxo76tuoas3uo55xj,1,27.4,22.4,2025-04-05T14:02:04.676Z,2025-04-05T14:02:12Z,8igk37zt3ixjxdtr1t9kwfnit,T. Manga,,,5624657389,56,Back,5624657391,140,24.4,5624657393,141,67.3,5624657395,212,30.7,5624657385,5,,5624657399,213,1.67,5624657387,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796151495,7,1,1,0,43,8sy0cxovuxo76tuoas3uo55xj,1,25.9,70.2,2025-04-05T14:02:11.812Z,2025-04-05T14:02:16Z,c5oixwvc8sk4fxliorsk7a311,J. Toivio,,,5624658239,140,24.2,5624658237,56,Back,5624658245,213,4.64,5624658243,212,23.9,5624658241,141,35.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796151633,8,1,1,0,47,8sy0cxovuxo76tuoas3uo55xj,0,28.6,29.8,2025-04-05T14:02:15.221Z,2025-04-05T14:02:19Z,8igk37zt3ixjxdtr1t9kwfnit,T. Manga,,,5624658905,140,72.5,5624658911,213,5.84,5624658913,1,,5624658901,155,,5624658907,141,0.0,5624658903,56,Right,5624658909,212,50.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796151645,9,5,1,0,50,8sy0cxovuxo76tuoas3uo55xj,0,76.5,-1.8,2025-04-05T14:02:19.115Z,2025-04-05T14:21:20Z,8igk37zt3ixjxdtr1t9kwfnit,T. Manga,,,5624658959,56,Right,5624662379,233,11,5624658963,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796152295,11,5,1,0,50,ea3yd0dgq6uy6pupkpn17j5xg,1,23.5,101.8,2025-04-05T14:02:19.115Z,2025-04-05T14:21:19Z,czynssza36ggpaezb0i14si22,S. Chukwudi,,,5624662231,347,,5624662315,233,9,5624662227,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796152409,12,1,1,1,8,ea3yd0dgq6uy6pupkpn17j5xg,0,23.5,100.0,2025-04-05T14:02:36.699Z,2025-04-05T14:02:38Z,2qks3nbpd8o6igkqjl9e4po4q,Babacar Fati,,,5624662795,140,39.2,5624662791,56,Back,5624662789,107,,5624662799,141,90.2,5624662801,212,18.2,5624662803,213,5.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796152541,10,1,1,1,10,8sy0cxovuxo76tuoas3uo55xj,1,60.4,15.9,2025-04-05T14:02:38.789Z,2025-04-05T14:02:41Z,ro21tqqaeslyebto6ukon5zo,A. Wilson,,,5624663419,212,9.7,5624663423,213,0.31,5624663409,3,,5624663411,56,Right,5624663417,141,20.3,5624663413,140,69.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796152911,12,1,1,1,14,8sy0cxovuxo76tuoas3uo55xj,1,81.5,11.4,2025-04-05T14:02:42.933Z,2025-04-05T14:02:48Z,4m7qbjhm8zl0z7px053siv6j9,P. Forsell,,,5624665209,140,90.4,5624665205,155,,5624665211,141,60.2,5624665217,1,,5624665213,212,34.5,5624665215,213,1.30,5624665207,56,Center,5624665203,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796153005,13,1,1,1,19,8sy0cxovuxo76tuoas3uo55xj,1,88.9,60.5,2025-04-05T14:02:48.069Z,2025-04-05T14:10:13Z,7dvn6m2z49c2n1ev0o9rvk93o,L. Weckström,1.0,,5624665671,212,5.3,5624665673,213,4.33,5624665669,141,53.3,5624665657,3,,5624674667,154,,5624665665,140,87.0,5624674659,210,13,5624665663,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796153019,14,13,1,1,20,8sy0cxovuxo76tuoas3uo55xj,1,87.0,53.1,2025-04-05T14:02:48.333Z,2025-04-05T14:11:41Z,btr893a8ljoe8av97ji8kwr11,A. Tarvonen,,,5624669575,72,,5624674763,55,13,5624795969,391,,5624674773,102,58.3,5624674783,153,,5624674753,83,,5624674759,154,,5624674789,230,99.1,5624674755,29,5624674785,146,91.9,5624674787,147,52.2,5624780113,214,5624674781,103,5.6,5624674791,231,50.5,5624665719,56,Center,5624780115,108,5624780117,328,5624665715,22,5624665717,17,,,,,
2796153057,13,43,1,1,22,ea3yd0dgq6uy6pupkpn17j5xg,1,0.0,0.0,2025-04-05T14:02:50.779Z,2025-04-05T14:03:05Z,dcv3bj7tkpb8of9xh3br2510q,R. Paunio,,,5624666417,177,0,5624668993,144,10,5624665879,182,0,5624665885,56,Back,5624665877,178,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796153305,15,1,1,1,26,ea3yd0dgq6uy6pupkpn17j5xg,1,8.5,51.2,2025-04-05T14:02:55.003Z,2025-04-05T14:02:57Z,dcv3bj7tkpb8of9xh3br2510q,R. Paunio,,,5624667195,212,14.4,5624667193,141,70.3,5624667189,140,14.4,5624667187,56,Back,5624667199,213,1.13,5624667185,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796153489,16,1,1,1,28,ea3yd0dgq6uy6pupkpn17j5xg,1,14.4,70.3,2025-04-05T14:02:57.083Z,2025-04-05T14:03:01Z,czynssza36ggpaezb0i14si22,S. Chukwudi,,,5624668125,140,15.2,5624668131,213,1.52,5624668123,56,Back,5624668127,141,97.1,5624668129,212,18.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796153519,17,1,1,1,33,ea3yd0dgq6uy6pupkpn17j5xg,0,15.2,97.1,2025-04-05T14:03:01.580Z,2025-04-05T14:03:02Z,f2qohaex1g5tvz10leo2ia6s,M. Arsalo,,,5624668325,212,11.8,5624668319,140,26.4,5624668327,213,6.20,5624668323,141,95.6,5624668315,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796153499,15,8,1,1,33,8sy0cxovuxo76tuoas3uo55xj,1,68.5,3.8,2025-04-05T14:03:01.956Z,2025-04-05T14:03:02Z,5wtugxjwq7fvbeqcak5j5l5nt,M. Larsen,,,5624668199,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796153539,16,5,1,1,34,8sy0cxovuxo76tuoas3uo55xj,0,76.4,-1.0,2025-04-05T14:03:02.676Z,2025-04-05T14:21:21Z,5wtugxjwq7fvbeqcak5j5l5nt,M. Larsen,,,5624669379,233,18,5624668401,56,Right,5624668403,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796153689,18,5,1,1,34,ea3yd0dgq6uy6pupkpn17j5xg,1,23.6,101.0,2025-04-05T14:03:02.676Z,2025-04-05T14:21:20Z,f2qohaex1g5tvz10leo2ia6s,M. Arsalo,,,5624669217,347,,5624669313,233,16,5624669215,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796153737,19,1,1,1,38,ea3yd0dgq6uy6pupkpn17j5xg,1,25.4,100.0,2025-04-05T14:03:06.603Z,2025-04-05T14:03:08Z,2qks3nbpd8o6igkqjl9e4po4q,Babacar Fati,,,5624669489,212,12.2,5624669491,213,4.24,5624669481,107,,5624669487,141,85.0,5624669483,56,Back,5624669485,140,20.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796153761,20,1,1,1,39,ea3yd0dgq6uy6pupkpn17j5xg,1,20.1,85.0,2025-04-05T14:03:07.787Z,2025-04-05T14:03:09Z,bmbdwons7wudqebn3o3flm19l,V. Gasc,,,5624669619,212,8.9,5624669621,213,1.54,5624669617,141,98.1,5624669613,56,Back,5624669615,140,20.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796153813,21,1,1,1,40,ea3yd0dgq6uy6pupkpn17j5xg,1,20.4,98.1,2025-04-05T14:03:08.732Z,2025-04-05T14:03:10Z,2qks3nbpd8o6igkqjl9e4po4q,Babacar Fati,,,5624669909,141,83.0,5624669913,213,5.33,5624669911,212,12.6,5624669905,56,Back,5624669907,140,27.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796153831,22,1,1,1,41,ea3yd0dgq6uy6pupkpn17j5xg,0,27.3,83.0,2025-04-05T14:03:09.899Z,2025-04-05T14:03:10Z,f2qohaex1g5tvz10leo2ia6s,M. Arsalo,,,5624670023,141,92.1,5624670021,140,24.9,5624670019,56,Back,5624670029,213,1.96,5624670025,212,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796153999,17,8,1,1,45,8sy0cxovuxo76tuoas3uo55xj,1,79.3,7.4,2025-04-05T14:03:14.077Z,2025-04-05T14:04:50Z,5wtugxjwq7fvbeqcak5j5l5nt,M. Larsen,,,5624670863,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796154029,23,50,1,1,46,ea3yd0dgq6uy6pupkpn17j5xg,1,22.3,88.6,2025-04-05T14:03:14.685Z,2025-04-05T16:19:47Z,bmbdwons7wudqebn3o3flm19l,V. Gasc,,,5624672205,233,19,5624671031,56,Back,5624671033,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796154215,19,7,1,1,46,8sy0cxovuxo76tuoas3uo55xj,0,77.7,11.4,2025-04-05T14:03:14.686Z,2025-04-05T16:19:46Z,4m7qbjhm8zl0z7px053siv6j9,P. Forsell,,,5624671953,56,Right,5624672073,233,23,5624671955,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796157365,29,61,1,1,46,8sy0cxovuxo76tuoas3uo55xj,0,75.6,8.6,2025-04-05T14:03:14.733Z,2025-04-05T14:04:40Z,5wtugxjwq7fvbeqcak5j5l5nt,M. Larsen,,,5624690261,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796154059,18,43,1,1,46,8sy0cxovuxo76tuoas3uo55xj,1,0.0,0.0,2025-04-05T14:03:15.112Z,2025-04-05T14:03:17Z,4m7qbjhm8zl0z7px053siv6j9,P. Forsell,,,5624671545,144,50,5624671213,56,Right,5624671215,286,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796154191,24,4,1,1,49,ea3yd0dgq6uy6pupkpn17j5xg,1,29.7,84.6,2025-04-05T14:03:18.108Z,2025-04-05T14:04:55Z,bmbdwons7wudqebn3o3flm19l,V. Gasc,,,5624672661,233,20,5624672379,294,,5624672385,285,,5624672377,13,,5624672383,152,,5624672381,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796154233,20,4,1,1,49,8sy0cxovuxo76tuoas3uo55xj,0,70.3,15.4,2025-04-05T14:03:18.109Z,2025-04-05T14:05:03Z,btr893a8ljoe8av97ji8kwr11,A. Tarvonen,,,5624672449,13,,5624693685,294,,5624672453,56,Right,5624672457,152,,5624672731,233,24,5624672463,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796154855,25,1,1,2,1,ea3yd0dgq6uy6pupkpn17j5xg,1,29.0,85.1,2025-04-05T14:03:30.123Z,2025-04-05T14:03:31Z,f2qohaex1g5tvz10leo2ia6s,M. Arsalo,,,5624674863,152,,5624674867,56,Back,5624674875,212,4.6,5624674857,5,,5624674873,141,90.5,5624674871,140,26.3,5624674877,213,2.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796155083,26,1,1,2,3,ea3yd0dgq6uy6pupkpn17j5xg,1,26.3,90.5,2025-04-05T14:03:31.307Z,2025-04-05T14:03:35Z,2qks3nbpd8o6igkqjl9e4po4q,Babacar Fati,,,5624675987,212,11.5,5624675983,140,22.3,5624675985,141,74.8,5624675979,56,Back,5624675993,213,4.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796155621,27,1,1,2,7,ea3yd0dgq6uy6pupkpn17j5xg,1,23.3,72.3,2025-04-05T14:03:35.835Z,2025-04-05T14:03:45Z,czynssza36ggpaezb0i14si22,S. Chukwudi,,,5624678685,212,31.7,5624678681,140,19.4,5624678683,141,26.1,5624678689,213,4.58,5624678679,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796155645,28,1,1,2,17,ea3yd0dgq6uy6pupkpn17j5xg,0,54.0,4.3,2025-04-05T14:03:45.531Z,2025-04-05T14:03:47Z,3zfwycbtlksz95tsqcog03yp6,Kelvin Pires,,,5624678805,56,Right,5624678811,212,2.3,5624678813,213,6.20,5624679071,286,,5624678807,140,56.2,5624679065,236,,5624678809,141,4.0,5624679067,233,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796155677,21,74,1,2,17,8sy0cxovuxo76tuoas3uo55xj,1,40.7,96.2,2025-04-05T14:03:45.532Z,2025-04-05T15:16:40Z,7dvn6m2z49c2n1ev0o9rvk93o,L. Weckström,,,5624679109,233,28,5624678979,285,,5624678977,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796155717,22,5,1,2,18,8sy0cxovuxo76tuoas3uo55xj,0,39.8,101.2,2025-04-05T14:03:46.844Z,2025-04-05T14:21:21Z,7dvn6m2z49c2n1ev0o9rvk93o,L. Weckström,,,5624679155,347,,5624679153,56,Back,5624680535,233,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796155957,29,5,1,2,18,ea3yd0dgq6uy6pupkpn17j5xg,1,60.2,-1.2,2025-04-05T14:03:46.844Z,2025-04-05T14:21:21Z,3zfwycbtlksz95tsqcog03yp6,Kelvin Pires,,,5624680377,347,,5624680501,233,22,5624680375,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796156015,30,1,1,2,26,ea3yd0dgq6uy6pupkpn17j5xg,1,61.0,0.0,2025-04-05T14:03:54.620Z,2025-04-05T14:03:56Z,ag78l8kpc7icq4payr6mgyej8,S. Yussif,,,5624680751,141,5.9,5624680753,212,5.4,5624680755,213,1.71,5624680749,140,60.3,5624680747,56,Right,5624680745,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796156159,31,1,1,2,27,ea3yd0dgq6uy6pupkpn17j5xg,1,60.3,5.9,2025-04-05T14:03:56.092Z,2025-04-05T14:04:00Z,bmbdwons7wudqebn3o3flm19l,V. Gasc,,,5624681573,141,0.4,5624681569,140,62.8,5624681565,56,Right,5624681579,213,5.32,5624681575,212,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796156297,32,1,1,2,31,ea3yd0dgq6uy6pupkpn17j5xg,1,63.6,1.6,2025-04-05T14:04:00.043Z,2025-04-05T14:04:04Z,ag78l8kpc7icq4payr6mgyej8,S. Yussif,,,5624682383,140,52.9,5624682381,56,Right,5624682387,141,2.8,5624682395,213,3.07,5624682391,212,11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796156393,33,1,1,2,35,ea3yd0dgq6uy6pupkpn17j5xg,1,52.9,2.8,2025-04-05T14:04:03.724Z,2025-04-05T14:04:06Z,3zfwycbtlksz95tsqcog03yp6,Kelvin Pires,,,5624682847,155,,5624682855,212,19.8,5624682849,56,Right,5624682857,213,0.43,5624682851,140,70.0,5624682853,141,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796156451,34,1,1,2,38,ea3yd0dgq6uy6pupkpn17j5xg,0,74.1,12.5,2025-04-05T14:04:06.571Z,2025-04-05T14:04:07Z,ayl3txfejfa46xvwnzzd76vze,K. Paananen,,,5624683177,213,1.13,5624683171,141,33.3,5624683165,56,Center,5624683167,140,80.5,5624683175,212,15.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796156537,24,1,1,2,39,8sy0cxovuxo76tuoas3uo55xj,1,20.2,70.5,2025-04-05T14:04:07.909Z,2025-04-05T14:04:10Z,8igk37zt3ixjxdtr1t9kwfnit,T. Manga,,,5624683675,213,0.74,5624683671,141,86.5,5624683673,212,16.1,5624683669,140,31.5,5624683667,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796156617,25,1,1,2,41,8sy0cxovuxo76tuoas3uo55xj,0,31.7,86.5,2025-04-05T14:04:10.069Z,2025-04-05T14:04:12Z,byudescfxvi1kxlpncbv0mymt,M. Sumusalo,,,5624684193,212,6.7,5624684191,141,83.8,5624684189,140,25.6,5624684187,56,Back,5624684195,213,3.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
