id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/13/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId
2814145989,7,1,1,0,20,ea3yd0dgq6uy6pupkpn17j5xg,1,24.0,86.6,2025-05-12T16:02:01.381Z,2025-05-12T16:02:03Z,f2qohaex1g5tvz10leo2ia6s,M. Arsalo,,,5723723199,140,30.3,5723723203,212,8.1,5723723197,56,Back,5723723201,141,93.5,5723723205,213,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814145995,8,1,1,0,22,ea3yd0dgq6uy6pupkpn17j5xg,1,31.4,93.5,2025-05-12T16:02:03.620Z,2025-05-12T16:02:04Z,7glr1eur910fj5b5fg743job9,R. Karjalainen,,,5723723247,212,6.9,5723723241,56,Back,5723723245,141,89.3,5723723243,140,25.4,5723723249,213,3.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814146003,9,1,1,0,23,ea3yd0dgq6uy6pupkpn17j5xg,1,25.9,88.9,2025-05-12T16:02:04.436Z,2025-05-12T16:02:05Z,bmbdwons7wudqebn3o3flm19l,V. Gasc,,,5723723297,140,29.7,5723723295,56,Back,5723723303,213,0.83,5723723299,141,95.3,5723723301,212,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814146031,10,1,1,0,24,ea3yd0dgq6uy6pupkpn17j5xg,1,29.7,95.3,2025-05-12T16:02:05.749Z,2025-05-12T16:02:09Z,7glr1eur910fj5b5fg743job9,R. Karjalainen,,,5723723463,213,3.65,5723723459,141,79.3,5723723457,140,10.9,5723723455,56,Back,5723723461,212,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814146061,11,1,1,0,28,ea3yd0dgq6uy6pupkpn17j5xg,1,9.1,76.4,2025-05-12T16:02:09.092Z,2025-05-12T16:02:15Z,czynssza36ggpaezb0i14si22,S. Chukwudi,,,5723723631,213,4.61,5723723627,141,31.5,5723723629,212,30.7,5723723623,56,Back,5723723625,140,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814146067,12,1,1,0,34,ea3yd0dgq6uy6pupkpn17j5xg,1,9.6,16.2,2025-05-12T16:02:15.349Z,2025-05-12T16:02:16Z,17p2jqe16w5j9qh5f8yr80g7o,O. Väistö,,,5723723657,140,21.5,5723723661,212,15.9,5723723655,56,Back,5723723663,213,0.67,5723723659,141,30.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814146083,13,1,1,0,34,ea3yd0dgq6uy6pupkpn17j5xg,1,21.5,30.7,2025-05-12T16:02:15.988Z,2025-05-12T16:02:18Z,bmbdwons7wudqebn3o3flm19l,V. Gasc,,,5723723737,56,Back,5723723741,141,24.3,5723723745,213,3.46,5723723771,156,,5723723739,140,9.1,5723723743,212,13.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814146097,14,1,1,0,38,ea3yd0dgq6uy6pupkpn17j5xg,1,9.3,25.2,2025-05-12T16:02:19.141Z,2025-05-12T16:02:20Z,17p2jqe16w5j9qh5f8yr80g7o,O. Väistö,,,5723723831,140,20.7,5723723835,212,13.5,5723723837,213,0.48,5723723829,56,Back,5723723833,141,34.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814146109,15,1,1,0,39,ea3yd0dgq6uy6pupkpn17j5xg,1,20.9,34.3,2025-05-12T16:02:20.229Z,2025-05-12T16:02:22Z,f2qohaex1g5tvz10leo2ia6s,M. Arsalo,,,5723723923,213,4.34,5723723913,56,Back,5723723919,212,13.7,5723723917,141,15.5,5723723915,140,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814146117,16,1,1,0,41,ea3yd0dgq6uy6pupkpn17j5xg,0,15.5,12.5,2025-05-12T16:02:22.359Z,2025-05-12T16:02:24Z,bmbdwons7wudqebn3o3flm19l,V. Gasc,,,5723723973,212,49.0,5723723967,56,Right,5723723965,155,,5723723975,213,6.09,5723723977,1,,5723723971,141,0.0,5723723969,140,61.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814146127,6,5,1,0,43,duspptyvnr5kpx2iko5gerhnz,1,39.8,101.8,2025-05-12T16:02:24.307Z,2025-05-12T18:09:24Z,eaa9sktij53071abummj4pkwk,A. Cicale,,,5723724027,233,17,5723724021,347,,5723724019,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814146119,17,5,1,0,43,ea3yd0dgq6uy6pupkpn17j5xg,0,60.2,-1.8,2025-05-12T16:02:24.307Z,2025-05-12T18:09:24Z,bmbdwons7wudqebn3o3flm19l,V. Gasc,,,5723723979,56,Right,5723723981,347,,5723724033,233,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814146187,7,1,1,0,55,duspptyvnr5kpx2iko5gerhnz,1,43.2,100.0,2025-05-12T16:02:36.187Z,2025-05-12T16:02:40Z,7zztpnbw4cfyw6q231nqy8nv9,M. Niemi,,,5723724321,213,5.94,5723724317,141,88.4,5723724323,1,,5723724315,140,67.6,5723724311,107,,5723724319,212,27.2,5723724313,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814146189,8,50,1,0,59,duspptyvnr5kpx2iko5gerhnz,1,70.0,89.0,2025-05-12T16:02:40.145Z,2025-05-12T18:10:28Z,ec7y1s97xpoab87z786zt0r56,M. Fall,,,5723724327,56,Left,5723724387,233,18,5723724329,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814146195,18,7,1,0,59,ea3yd0dgq6uy6pupkpn17j5xg,1,30.0,11.0,2025-05-12T16:02:40.146Z,2025-05-12T18:10:27Z,17p2jqe16w5j9qh5f8yr80g7o,O. Väistö,,,5723724357,285,,5723724355,56,Back,5723724371,233,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814146205,19,1,1,1,0,ea3yd0dgq6uy6pupkpn17j5xg,0,26.0,10.7,2025-05-12T16:02:41.333Z,2025-05-12T16:02:42Z,17p2jqe16w5j9qh5f8yr80g7o,O. Väistö,,,5723724393,140,37.1,5723724399,213,6.06,5723724391,56,Back,5723724397,212,12.0,5723724395,141,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814146211,9,1,1,1,1,duspptyvnr5kpx2iko5gerhnz,0,66.6,89.1,2025-05-12T16:02:42.445Z,2025-05-12T16:02:45Z,80mvshlrrlu5vt41gkruwn8fe,Y. El Ouatki,,,5723724433,140,93.1,5723724439,213,6.19,5723724437,212,28.0,5723724435,141,85.1,5723724431,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814146261,21,1,1,1,5,ea3yd0dgq6uy6pupkpn17j5xg,1,7.3,15.6,2025-05-12T16:02:46.149Z,2025-05-12T16:02:54Z,oqudbhzm03z0sfh8tw4qoqhg,G. Oksanen,,,5723724713,213,1.86,5723724707,140,3.0,5723724711,212,16.0,5723724705,56,Back,5723724709,141,38.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814146263,22,1,1,1,12,ea3yd0dgq6uy6pupkpn17j5xg,1,3.3,46.7,2025-05-12T16:02:53.893Z,2025-05-12T16:02:56Z,dcv3bj7tkpb8of9xh3br2510q,R. Paunio,,,5723724731,56,Back,5723724735,141,65.4,5723724733,140,6.7,5723724739,213,1.30,5723724737,212,13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814146273,23,1,1,1,15,ea3yd0dgq6uy6pupkpn17j5xg,1,6.4,64.3,2025-05-12T16:02:56.166Z,2025-05-12T16:02:59Z,czynssza36ggpaezb0i14si22,S. Chukwudi,,,5723724797,56,Back,5723724803,212,21.7,5723724801,141,93.0,5723724799,140,15.4,5723724805,213,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814146285,24,1,1,1,18,ea3yd0dgq6uy6pupkpn17j5xg,1,14.3,91.8,2025-05-12T16:02:59.829Z,2025-05-12T16:03:01Z,7glr1eur910fj5b5fg743job9,R. Karjalainen,,,5723724871,140,6.2,5723724869,56,Back,5723724875,212,10.6,5723724877,213,3.78,5723724873,141,82.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814146301,25,1,1,1,20,ea3yd0dgq6uy6pupkpn17j5xg,1,7.2,88.0,2025-05-12T16:03:01.733Z,2025-05-12T16:03:06Z,czynssza36ggpaezb0i14si22,S. Chukwudi,,,5723724971,212,8.2,5723724969,141,86.6,5723724967,140,15.0,5723724965,56,Back,5723724973,213,6.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814146299,10,83,1,1,23,duspptyvnr5kpx2iko5gerhnz,0,75.9,11.4,2025-05-12T16:03:04.951Z,2025-05-12T16:03:08Z,80mvshlrrlu5vt41gkruwn8fe,Y. El Ouatki,,,5723725009,399,f2qohaex1g5tvz10leo2ia6s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814146303,26,4,1,1,24,ea3yd0dgq6uy6pupkpn17j5xg,1,19.6,87.7,2025-05-12T16:03:05.876Z,2025-05-12T18:09:13Z,f2qohaex1g5tvz10leo2ia6s,M. Arsalo,,,5723724981,152,,5723724985,285,,5723724977,13,,5723725057,233,11,5723724983,265,,5723724979,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814146309,11,4,1,1,24,duspptyvnr5kpx2iko5gerhnz,0,80.4,12.3,2025-05-12T16:03:05.877Z,2025-05-12T18:09:13Z,80mvshlrrlu5vt41gkruwn8fe,Y. El Ouatki,,,5723725053,265,,5723725049,56,Right,5723725051,152,,5723725055,286,,5723725065,233,26,5723725047,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814146353,27,1,1,1,39,ea3yd0dgq6uy6pupkpn17j5xg,1,11.0,91.4,2025-05-12T16:03:21.012Z,2025-05-12T16:03:23Z,czynssza36ggpaezb0i14si22,S. Chukwudi,,,5723725323,141,58.4,5723725325,212,23.2,5723725317,56,Back,5723725319,140,5.3,5723725313,5,,5723725331,189,,5723725327,213,4.45,5723725315,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814146387,28,1,1,1,46,ea3yd0dgq6uy6pupkpn17j5xg,0,5.4,49.7,2025-05-12T16:03:28.005Z,2025-05-12T16:03:28Z,dcv3bj7tkpb8of9xh3br2510q,R. Paunio,,,5723725553,213,0.14,5723725543,157,,5723725549,141,59.9,5723725551,212,49.6,5723725555,1,,5723725545,56,Center,5723725547,140,52.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814146403,12,1,1,1,48,duspptyvnr5kpx2iko5gerhnz,0,40.0,38.9,2025-05-12T16:03:29.191Z,2025-05-12T16:03:30Z,1zud0qdtf6c6wzkgqhz6b94a1,M. Haukioja,,,5723725637,3,,5723725641,140,44.5,5723725647,213,5.47,5723725645,212,6.9,5723725639,56,Back,5723725643,141,31.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814146427,13,43,1,1,52,duspptyvnr5kpx2iko5gerhnz,1,0.0,0.0,2025-05-12T16:03:33.196Z,2025-05-12T16:13:06Z,80mvshlrrlu5vt41gkruwn8fe,Y. El Ouatki,,,5723749907,144,83,5723726569,399,1coz8r44qcr2aau1u09888i6s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814146421,29,43,1,1,53,ea3yd0dgq6uy6pupkpn17j5xg,1,0.0,0.0,2025-05-12T16:03:34.934Z,2025-05-12T16:13:08Z,1coz8r44qcr2aau1u09888i6s,M. Bojang,,,5723725781,56,Center,5723750009,144,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814146527,14,4,1,2,7,duspptyvnr5kpx2iko5gerhnz,1,40.6,21.0,2025-05-12T16:03:49.077Z,2025-05-12T16:03:56Z,,,,,5723726557,286,,5723726559,233,30,5723726553,56,Back,5723726555,152,,5723726551,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814146507,30,4,1,2,7,ea3yd0dgq6uy6pupkpn17j5xg,0,59.4,78.9,2025-05-12T16:03:49.078Z,2025-05-12T16:13:44Z,1coz8r44qcr2aau1u09888i6s,M. Bojang,,,5723726505,285,,5723726499,10,,5723726501,56,Left,5723726503,152,,5723726575,233,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814146595,15,1,1,2,13,duspptyvnr5kpx2iko5gerhnz,1,36.7,34.3,2025-05-12T16:03:54.550Z,2025-05-12T16:04:15Z,1zud0qdtf6c6wzkgqhz6b94a1,M. Haukioja,,,5723726817,141,10.9,5723726821,213,6.00,5723726809,155,,5723726823,1,,5723727369,189,,5723726811,152,,5723726815,140,89.6,5723726813,56,Right,5723726807,5,5723726819,212,57.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814146599,16,4,1,2,15,duspptyvnr5kpx2iko5gerhnz,1,91.6,25.1,2025-05-12T16:03:56.100Z,2025-05-12T18:09:14Z,6zw6j1zpm7vs8zkx5z6enqpgq,M. Borchers,,,5723727239,9,,5723727241,13,,5723727245,152,,5723727243,56,Center,5723727249,286,,5723727767,295,,5723727259,233,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814146587,31,4,1,2,15,ea3yd0dgq6uy6pupkpn17j5xg,0,8.4,74.9,2025-05-12T16:03:56.101Z,2025-05-12T16:06:41Z,czynssza36ggpaezb0i14si22,S. Chukwudi,,,5723727089,152,,5723733609,55,34,5723727083,13,,5723727081,9,,5723727673,295,,5723727693,233,16,5723727091,285,,5723727087,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814147613,34,17,1,2,26,ea3yd0dgq6uy6pupkpn17j5xg,1,0.0,0.0,2025-05-12T16:04:07.526Z,2025-05-12T16:07:32Z,czynssza36ggpaezb0i14si22,S. Chukwudi,,,5723733601,55,31,5723733599,289,,5723735489,189,,5723732881,31,,5723732885,13,243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814147443,17,16,1,4,16,duspptyvnr5kpx2iko5gerhnz,1,88.5,50.0,2025-05-12T16:05:57.473Z,2025-05-12T16:07:39Z,6zw6j1zpm7vs8zkx5z6enqpgq,M. Borchers,,,5723731619,9,,5723734101,230,99.4,5723734097,390,507612,5723731621,17,,5723734087,72,,5723734093,103,6.3,5723734089,76,,5723734103,231,50.2,5723734091,102,5723734119,375,04:15.665,53.1,5723731623,56,Center,5723734163,353,33,5723734111,374,2025-05-12 17:05:56.749,5723731625,214,5723734099,458,,,,,,,,,,,,,
2814147449,33,58,1,4,16,ea3yd0dgq6uy6pupkpn17j5xg,0,0.0,0.0,2025-05-12T16:05:57.473Z,2025-05-12T18:09:23Z,dcv3bj7tkpb8of9xh3br2510q,R. Paunio,,,5723731649,186,,5723731653,73,,5723731651,179,,5723731655,56,Back,5723731645,9,,5723734187,233,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814147837,35,1,1,5,5,ea3yd0dgq6uy6pupkpn17j5xg,1,49.8,50.9,2025-05-12T16:06:46.437Z,2025-05-12T16:11:45Z,1coz8r44qcr2aau1u09888i6s,M. Bojang,,,5723733931,56,Back,5723733935,141,75.9,5723733939,213,2.17,5723733933,140,38.7,5723746251,279,G,5723733937,212,20.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814147885,36,1,1,5,7,ea3yd0dgq6uy6pupkpn17j5xg,1,38.7,75.9,2025-05-12T16:06:48.261Z,2025-05-12T16:06:52Z,f2qohaex1g5tvz10leo2ia6s,M. Arsalo,,,5723734193,141,40.7,5723734191,140,27.5,5723734195,212,26.7,5723734189,56,Back,5723734197,213,4.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814147893,37,1,1,5,10,ea3yd0dgq6uy6pupkpn17j5xg,1,27.2,31.5,2025-05-12T16:06:51.861Z,2025-05-12T16:06:53Z,bmbdwons7wudqebn3o3flm19l,V. Gasc,,,5723734217,56,Back,5723734221,141,47.0,5723734225,213,2.06,5723734219,140,21.9,5723734223,212,11.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814147907,38,1,1,5,12,ea3yd0dgq6uy6pupkpn17j5xg,1,20.8,44.9,2025-05-12T16:06:53.220Z,2025-05-12T16:06:55Z,17p2jqe16w5j9qh5f8yr80g7o,O. Väistö,,,5723734289,213,5.82,5723734283,140,39.8,5723734285,141,30.1,5723734281,56,Back,5723734291,1,,5723734287,212,22.3,5723734279,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814147911,39,61,1,5,14,ea3yd0dgq6uy6pupkpn17j5xg,0,37.6,27.9,2025-05-12T16:06:55.270Z,2025-05-12T16:06:55Z,93961wszqaocy96z45j4a232s,A. Vargas,,,5723734297,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814147933,19,1,1,5,16,duspptyvnr5kpx2iko5gerhnz,1,64.4,89.4,2025-05-12T16:06:57.184Z,2025-05-12T16:06:58Z,eaa9sktij53071abummj4pkwk,A. Cicale,,,5723734413,56,Back,5723734419,212,18.4,5723734417,141,89.0,5723734421,213,3.16,5723734415,140,46.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814147941,20,1,1,5,17,duspptyvnr5kpx2iko5gerhnz,0,46.9,89.0,2025-05-12T16:06:58.135Z,2025-05-12T16:06:58Z,7zztpnbw4cfyw6q231nqy8nv9,M. Niemi,,,5723734459,212,27.6,5723734453,56,Center,5723734463,213,5.73,5723734455,140,69.2,5723734457,141,67.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814148001,41,1,1,5,19,ea3yd0dgq6uy6pupkpn17j5xg,1,32.8,36.4,2025-05-12T16:07:00.244Z,2025-05-12T16:07:06Z,f2qohaex1g5tvz10leo2ia6s,M. Arsalo,,,5723734801,213,4.72,5723734797,141,12.8,5723734793,56,Back,5723734799,212,16.0,5723734795,140,32.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
