id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/18/value
2806212929,6,44,1,0,39,8sy0cxovuxo76tuoas3uo55xj,0,34.8,51.0,2025-04-26T14:00:58.838Z,2025-04-26T14:57:38Z,btr893a8ljoe8av97ji8kwr11,A. Tarvonen,,,5680163091,233,5,5680044605,56,Back,5680044607,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806212967,6,1,1,0,39,7efqk7uh63928il0yffxijnv7,0,65.4,47.9,2025-04-26T14:00:59.198Z,2025-04-26T14:01:00Z,4y7niu1b8drpeccb84s2e9wwl,S. Eremenko,,,5680044785,213,5.90,5680044773,56,Center,5680044771,168,,5680044783,212,2.9,5680044777,140,68.0,5680044781,141,46.3,5680044767,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806213005,7,61,1,0,40,8sy0cxovuxo76tuoas3uo55xj,1,34.9,50.4,2025-04-26T14:00:59.541Z,2025-04-26T14:12:39Z,ro21tqqaeslyebto6ukon5zo,A. Wilson,,,5680045003,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806213111,7,50,1,0,45,7efqk7uh63928il0yffxijnv7,1,75.8,5.8,2025-04-26T14:01:05.219Z,2025-04-26T14:01:10Z,5pa2n5nlvexr6z7nu65uz0qqy,R. Polley,,,5680045581,56,Right,5680045583,286,,5680045961,233,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806213195,8,7,1,0,45,8sy0cxovuxo76tuoas3uo55xj,1,24.2,94.2,2025-04-26T14:01:05.220Z,2025-04-26T14:01:09Z,23yj26f5kapxyx90glndxs3kk,M. Glasson,,,5680045873,167,,5680045901,233,7,5680045877,285,,5680045875,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806213229,8,5,1,0,47,7efqk7uh63928il0yffxijnv7,1,77.6,-1.3,2025-04-26T14:01:07.061Z,2025-04-26T14:57:04Z,5pa2n5nlvexr6z7nu65uz0qqy,R. Polley,,,5680046033,56,Right,5680046037,347,,5680046483,233,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806213313,9,5,1,0,47,8sy0cxovuxo76tuoas3uo55xj,0,22.4,101.3,2025-04-26T14:01:07.061Z,2025-04-26T14:57:04Z,23yj26f5kapxyx90glndxs3kk,M. Glasson,,,5680046399,56,Back,5680046403,347,,5680046511,233,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806213293,9,1,1,0,49,7efqk7uh63928il0yffxijnv7,0,81.0,0.0,2025-04-26T14:01:08.876Z,2025-04-26T14:01:09Z,5pa2n5nlvexr6z7nu65uz0qqy,R. Polley,,,5680046313,140,83.3,5680046319,212,10.5,5680046309,56,Right,5680046321,213,1.34,5680046305,107,,5680046317,141,13.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806213363,10,43,1,0,52,8sy0cxovuxo76tuoas3uo55xj,1,0.0,0.0,2025-04-26T14:01:11.637Z,2025-04-26T14:01:13Z,c5oixwvc8sk4fxliorsk7a311,J. Toivio,,,5680046997,144,45,5680046621,56,Back,5680046625,285,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806213399,11,8,1,0,52,8sy0cxovuxo76tuoas3uo55xj,1,18.8,81.4,2025-04-26T14:01:12.261Z,2025-04-26T14:01:12Z,c5oixwvc8sk4fxliorsk7a311,J. Toivio,,,5680046787,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806213463,10,50,1,0,54,7efqk7uh63928il0yffxijnv7,1,69.8,6.7,2025-04-26T14:01:14.076Z,2025-04-26T14:57:31Z,5pa2n5nlvexr6z7nu65uz0qqy,R. Polley,,,5680047083,286,,5680047081,56,Right,5680047621,233,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806213537,12,7,1,0,54,8sy0cxovuxo76tuoas3uo55xj,1,30.2,93.3,2025-04-26T14:01:14.077Z,2025-04-26T14:57:31Z,23yj26f5kapxyx90glndxs3kk,M. Glasson,,,5680047469,285,,5680047465,56,Back,5680047599,233,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806213599,14,50,1,0,58,8sy0cxovuxo76tuoas3uo55xj,1,43.8,95.6,2025-04-26T14:01:18.164Z,2025-04-26T14:01:22Z,23yj26f5kapxyx90glndxs3kk,M. Glasson,,,5680047979,233,11,5680047749,286,,5680047745,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806213627,11,7,1,0,58,7efqk7uh63928il0yffxijnv7,1,56.2,4.4,2025-04-26T14:01:18.165Z,2025-04-26T14:01:21Z,5pa2n5nlvexr6z7nu65uz0qqy,R. Polley,,,5680047883,285,,5680047881,56,Right,5680047959,233,14,5680047879,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806213729,12,5,1,0,59,7efqk7uh63928il0yffxijnv7,0,55.4,-1.7,2025-04-26T14:01:18.964Z,2025-04-26T14:57:05Z,5pa2n5nlvexr6z7nu65uz0qqy,R. Polley,,,5680048351,347,,5680048457,233,15,5680048349,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806213637,15,5,1,0,59,8sy0cxovuxo76tuoas3uo55xj,1,44.6,101.7,2025-04-26T14:01:18.964Z,2025-04-26T14:57:04Z,23yj26f5kapxyx90glndxs3kk,M. Glasson,,,5680047919,56,Back,5680048397,233,12,5680047921,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806214055,16,1,1,1,7,8sy0cxovuxo76tuoas3uo55xj,1,45.4,100.0,2025-04-26T14:01:26.693Z,2025-04-26T14:01:29Z,byudescfxvi1kxlpncbv0mymt,M. Sumusalo,,,5680049885,212,28.0,5680049883,141,91.2,5680049881,140,71.3,5680049879,56,Left,5680049887,213,6.04,5680049877,107,,5680049889,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806214087,17,1,1,1,10,8sy0cxovuxo76tuoas3uo55xj,0,81.7,94.5,2025-04-26T14:01:29.780Z,2025-04-26T14:01:30Z,c538ewmcaz4z73gcftzedbob9,A. Tanaka,,,5680050037,213,4.62,5680050035,212,12.2,5680050031,140,80.6,5680050033,141,76.7,5680050027,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806214207,13,12,1,1,13,7efqk7uh63928il0yffxijnv7,1,22.9,24.6,2025-04-26T14:01:33.342Z,2025-04-26T14:01:34Z,3cmp95fpjtqoc5njb5p7c9g8a,E. Gunnarsson,,,5680050665,56,Back,5680050667,140,32.0,5680050669,141,17.4,5680050673,213,5.81,5680050671,212,10.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806214229,19,50,1,1,14,8sy0cxovuxo76tuoas3uo55xj,1,63.7,80.6,2025-04-26T14:01:33.509Z,2025-04-26T14:57:32Z,11xqkd2im28nwotbqeuhflcd1,J. Mäkelä,,,5680050827,56,Left,5680050829,286,,5680216827,233,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806237949,103,7,1,1,14,7efqk7uh63928il0yffxijnv7,1,36.3,19.4,2025-04-26T14:01:33.510Z,2025-04-26T14:57:31Z,4y7niu1b8drpeccb84s2e9wwl,S. Eremenko,,,5680216721,285,,5680216717,56,Back,5680216753,233,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806214201,18,43,1,1,14,8sy0cxovuxo76tuoas3uo55xj,1,0.0,0.0,2025-04-26T14:01:34.276Z,2025-04-26T14:01:37Z,11xqkd2im28nwotbqeuhflcd1,J. Mäkelä,,,5680050643,56,Left,5680051185,144,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806214443,14,4,1,1,15,7efqk7uh63928il0yffxijnv7,1,32.2,11.6,2025-04-26T14:01:34.500Z,2025-04-26T14:01:46Z,4y7niu1b8drpeccb84s2e9wwl,S. Eremenko,,,5680051917,152,,5680051959,233,20,5680051919,285,,5680051915,56,Back,5680051913,295,,5680051911,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806214339,20,4,1,1,15,8sy0cxovuxo76tuoas3uo55xj,0,67.8,88.4,2025-04-26T14:01:34.501Z,2025-04-26T14:01:47Z,11xqkd2im28nwotbqeuhflcd1,J. Mäkelä,,,5680051997,233,14,5680051571,56,Left,5680051573,152,,5680051569,295,,5680051575,286,,5680051567,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806215061,15,1,1,1,36,7efqk7uh63928il0yffxijnv7,1,30.5,14.4,2025-04-26T14:01:56.438Z,2025-04-26T14:02:01Z,5pa2n5nlvexr6z7nu65uz0qqy,R. Polley,,,5680055105,213,0.61,5680055095,152,,5680055091,5,,5680055101,141,55.8,5680055103,212,49.1,5680055093,157,,5680055097,56,Center,5680055107,1,,5680055099,140,68.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806247643,150,61,1,1,38,7efqk7uh63928il0yffxijnv7,0,71.5,63.0,2025-04-26T14:01:57.953Z,2025-04-26T14:18:25Z,a3elaln9izarzlwqkwc4ynpey,K. Cissoko,,,5680228881,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806215025,21,4,1,1,40,8sy0cxovuxo76tuoas3uo55xj,1,31.2,45.8,2025-04-26T14:02:00.464Z,2025-04-26T14:57:22Z,,,,,5680055243,285,,5680055239,56,Back,5680055241,152,,5680056095,233,16,5680055237,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806215079,16,4,1,1,40,7efqk7uh63928il0yffxijnv7,0,68.8,54.2,2025-04-26T14:02:00.465Z,2025-04-26T14:57:23Z,a3elaln9izarzlwqkwc4ynpey,K. Cissoko,,,5680056033,152,,5680056035,286,,5680056139,233,21,5680056027,10,,5680056029,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806215801,22,1,1,1,57,8sy0cxovuxo76tuoas3uo55xj,1,27.3,46.1,2025-04-26T14:02:16.551Z,2025-04-26T14:02:20Z,c5oixwvc8sk4fxliorsk7a311,J. Toivio,,,5680058777,56,Center,5680058765,5,,5680058793,212,53.5,5680058797,213,0.20,5680058785,141,61.5,5680058769,155,,5680058801,1,,5680058773,152,,5680058781,140,77.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806215849,23,1,1,2,1,8sy0cxovuxo76tuoas3uo55xj,0,77.3,61.5,2025-04-26T14:02:20.611Z,2025-04-26T14:02:22Z,23yj26f5kapxyx90glndxs3kk,M. Glasson,,,5680059005,3,,5680059017,212,21.4,5680059021,213,0.00,5680059007,56,Center,5680059009,140,97.7,5680059013,141,61.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806215927,17,12,1,2,3,7efqk7uh63928il0yffxijnv7,1,1.2,31.0,2025-04-26T14:02:22.778Z,2025-04-26T14:02:24Z,dcv2hunon4wgijgt4kljtqxg5,J. Brunell,,,5680059367,140,0.0,5680059369,141,5.6,5680059373,213,4.57,5680059371,212,17.5,5680059365,56,Back,5680059497,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806215953,18,6,1,2,4,7efqk7uh63928il0yffxijnv7,0,0.0,0.0,2025-04-26T14:02:23.877Z,2025-04-26T14:57:25Z,dcv2hunon4wgijgt4kljtqxg5,J. Brunell,,,5680059701,73,,5680059697,56,Back,5680059825,233,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806215941,24,6,1,2,4,8sy0cxovuxo76tuoas3uo55xj,1,0.0,0.0,2025-04-26T14:02:23.877Z,2025-04-26T14:57:25Z,23yj26f5kapxyx90glndxs3kk,M. Glasson,,,5680059791,233,18,5680059673,73,,5680059671,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806217361,25,1,1,2,38,8sy0cxovuxo76tuoas3uo55xj,0,99.5,99.5,2025-04-26T14:02:57.477Z,2025-04-26T14:54:21Z,c538ewmcaz4z73gcftzedbob9,A. Tanaka,,,5680066777,223,,5680066787,213,4.60,5680066779,56,Center,5680066781,140,96.2,5680066783,141,55.5,5680066775,155,,5680066785,212,30.1,5680066769,2,,5680066773,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806217259,19,44,1,2,40,7efqk7uh63928il0yffxijnv7,1,2.2,42.5,2025-04-26T14:03:00.308Z,2025-04-26T14:54:37Z,4y7niu1b8drpeccb84s2e9wwl,S. Eremenko,,,5680066183,56,Back,5680071641,233,28,5680066185,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806218183,28,44,1,2,40,8sy0cxovuxo76tuoas3uo55xj,0,97.8,57.5,2025-04-26T14:03:00.309Z,2025-04-26T14:54:49Z,23yj26f5kapxyx90glndxs3kk,M. Glasson,,,5680070821,286,,5680071695,233,19,5680070819,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806254479,174,43,1,2,41,8sy0cxovuxo76tuoas3uo55xj,1,0.0,0.0,2025-04-26T14:03:00.631Z,2025-04-26T14:54:26Z,23yj26f5kapxyx90glndxs3kk,M. Glasson,,,5680276351,140,90.3,5680276353,141,42.7,5680276347,168,0,5680276355,212,12.4,5680276349,56,Center,5680276357,213,4.26,5680549103,144,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806253731,179,12,1,2,41,7efqk7uh63928il0yffxijnv7,1,4.7,38.7,2025-04-26T14:03:01.057Z,2025-04-26T14:57:05Z,4y7niu1b8drpeccb84s2e9wwl,S. Eremenko,,,5680548957,213,1.31,5680549119,15,,5680548949,56,Back,5680548951,140,8.5,5680548953,141,60.5,5680548955,212,15.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806217347,21,12,1,2,43,7efqk7uh63928il0yffxijnv7,1,9.0,52.3,2025-04-26T14:03:03.166Z,2025-04-26T14:54:53Z,dtdqh03syykiv1cjstn2lhkvd,J. Myrevik,,,5680066637,56,Back,5680550887,140,9.0,5680550889,141,57.7,5680550893,213,1.57,5680550891,212,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806217333,20,43,1,2,45,7efqk7uh63928il0yffxijnv7,1,0.0,0.0,2025-04-26T14:03:04.641Z,2025-04-26T14:03:09Z,3cmp95fpjtqoc5njb5p7c9g8a,E. Gunnarsson,,,5680066561,285,0,5680067223,144,3,5680066559,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806217371,26,13,1,2,45,8sy0cxovuxo76tuoas3uo55xj,1,89.3,40.1,2025-04-26T14:03:05.357Z,2025-04-26T14:54:36Z,9bd4vf4tdzfipobqzp2r7gbft,M. Paavola,,,5680070333,102,42.5,5680070331,84,,5680069641,25,,5680066847,56,Center,5680283891,17,,5680070337,328,,5680069645,20,,5680070343,231,47.7,5680070341,230,99.1,5680070335,103,33.3,5680070339,458,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806217383,22,5,1,2,48,7efqk7uh63928il0yffxijnv7,1,-1.6,61.6,2025-04-26T14:03:07.574Z,2025-04-26T14:57:05Z,3cmp95fpjtqoc5njb5p7c9g8a,E. Gunnarsson,,,5680066955,56,Back,5680066957,346,,5680067273,233,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806217433,27,5,1,2,48,8sy0cxovuxo76tuoas3uo55xj,0,101.6,38.4,2025-04-26T14:03:07.574Z,2025-04-26T14:57:05Z,5wtugxjwq7fvbeqcak5j5l5nt,M. Larsen,,,5680067277,233,22,5680067239,346,,5680067235,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806218291,23,1,1,3,14,7efqk7uh63928il0yffxijnv7,0,4.1,40.4,2025-04-26T14:03:33.708Z,2025-04-26T14:03:36Z,66zsjkvxs4cbh9u63hk273t1x,Miguel Santos,,,5680071417,140,55.2,5680071427,1,,5680071419,141,17.7,5680071421,212,55.8,5680071423,213,6.00,5680071415,56,Right,5680071413,124,,5680071431,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806218369,29,1,1,3,17,8sy0cxovuxo76tuoas3uo55xj,0,46.7,70.2,2025-04-26T14:03:37.461Z,2025-04-26T14:03:38Z,11xqkd2im28nwotbqeuhflcd1,J. Mäkelä,,,5680071817,213,0.00,5680071815,212,21.9,5680071807,3,,5680071809,56,Center,5680071813,141,70.2,5680071811,140,67.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806218499,24,1,1,3,20,7efqk7uh63928il0yffxijnv7,0,24.0,11.7,2025-04-26T14:03:39.580Z,2025-04-26T14:03:41Z,dcv2hunon4wgijgt4kljtqxg5,J. Brunell,,,5680072453,213,6.04,5680072445,56,Right,5680072451,212,36.3,5680072443,157,,5680072455,1,,5680072447,140,57.5,5680072449,141,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806218513,25,5,1,3,21,7efqk7uh63928il0yffxijnv7,0,57.0,-1.6,2025-04-26T14:03:40.950Z,2025-04-26T14:03:44Z,dcv2hunon4wgijgt4kljtqxg5,J. Brunell,,,5680072511,347,,5680072509,56,Right,5680072697,233,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
