id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/8/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/15/value
2823310469,9,44,1,0,39,5qxgilg61hlwxzfpdn2nhcayd,1,91.6,59.9,2025-06-18T18:01:51.413Z,2025-06-18T18:54:05Z,7pnmkd2s7cca2p00x7ny98st1,N. Friberg,,,5774886883,286,,5774886881,56,Center,5774886889,233,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310463,7,44,1,0,39,303582z192rnbr2x28o2t7u38,0,8.4,40.1,2025-06-18T18:01:51.414Z,2025-06-18T18:54:05Z,2e3yktcpxvr1dxy2z1z1dolxw,M. Boamah,,,5774886863,285,,5774886861,56,Back,5774886893,233,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310475,10,1,1,0,39,5qxgilg61hlwxzfpdn2nhcayd,0,89.9,74.5,2025-06-18T18:01:51.854Z,2025-06-18T18:03:14Z,7pnmkd2s7cca2p00x7ny98st1,N. Friberg,,,5774886909,56,Left,5774886911,140,85.4,5774886915,212,14.7,5774886913,141,95.0,5774886907,3,,5774886917,213,1.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310473,8,50,1,0,42,303582z192rnbr2x28o2t7u38,1,15.6,10.6,2025-06-18T18:01:55.078Z,2025-06-18T18:05:51Z,bl6vj48jfq2s09w7sezntwgt0,L. Möller,,,5774886901,56,Back,5774891423,285,,5774891497,233,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310481,11,7,1,0,42,5qxgilg61hlwxzfpdn2nhcayd,1,84.4,89.4,2025-06-18T18:01:55.079Z,2025-06-18T18:05:50Z,amdo0gvq5yaascwon92mhyaga,E. Mömmö,,,5774891491,233,8,5774891485,286,,5774886927,56,Left,5774891711,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310479,9,5,1,0,45,303582z192rnbr2x28o2t7u38,1,13.5,-1.4,2025-06-18T18:01:57.659Z,2025-06-18T18:02:16Z,bl6vj48jfq2s09w7sezntwgt0,L. Möller,,,5774887091,347,,5774886921,56,Back,5774886943,233,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310483,12,5,1,0,45,5qxgilg61hlwxzfpdn2nhcayd,0,86.5,101.4,2025-06-18T18:01:57.659Z,2025-06-18T18:53:31Z,amdo0gvq5yaascwon92mhyaga,E. Mömmö,,,5774887089,347,,5774886947,233,9,5774886939,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310495,10,1,1,0,54,303582z192rnbr2x28o2t7u38,1,10.1,0.0,2025-06-18T18:02:06.376Z,2025-06-18T18:02:58Z,e0p7anuqsx00gybhm4wnkoesp,B. Lyons-Foster,,,5774886989,213,0.18,5774886985,141,3.2,5774886981,56,Back,5774886987,212,18.3,5774887829,107,,5774886983,140,27.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823311759,45,83,1,0,57,5qxgilg61hlwxzfpdn2nhcayd,0,61.8,94.6,2025-06-18T18:02:09.968Z,2025-06-18T18:07:43Z,amdo0gvq5yaascwon92mhyaga,E. Mömmö,,,5774894395,399,bl6vj48jfq2s09w7sezntwgt0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310497,11,50,1,0,58,303582z192rnbr2x28o2t7u38,1,25.8,4.0,2025-06-18T18:02:10.741Z,2025-06-18T18:07:34Z,bl6vj48jfq2s09w7sezntwgt0,L. Möller,,,5774886999,285,,5774886997,56,Back,5774894097,233,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310505,13,7,1,0,58,5qxgilg61hlwxzfpdn2nhcayd,1,74.2,96.0,2025-06-18T18:02:10.742Z,2025-06-18T18:07:34Z,amdo0gvq5yaascwon92mhyaga,E. Mömmö,,,5774894093,233,11,5774887035,56,Left,5774887033,167,,5774887037,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310501,12,5,1,0,59,303582z192rnbr2x28o2t7u38,1,22.6,-1.6,2025-06-18T18:02:11.527Z,2025-06-18T18:53:31Z,bl6vj48jfq2s09w7sezntwgt0,L. Möller,,,5774887081,233,14,5774887019,347,,5774887017,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310511,14,5,1,0,59,5qxgilg61hlwxzfpdn2nhcayd,0,77.4,101.6,2025-06-18T18:02:11.527Z,2025-06-18T18:53:31Z,amdo0gvq5yaascwon92mhyaga,E. Mömmö,,,5774887067,347,,5774887065,56,Left,5774887085,233,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310535,13,1,1,1,5,303582z192rnbr2x28o2t7u38,1,26.6,0.0,2025-06-18T18:02:18.022Z,2025-06-18T18:02:20Z,e0p7anuqsx00gybhm4wnkoesp,B. Lyons-Foster,,,5774887195,213,0.52,5774887191,141,4.4,5774887185,107,,5774887193,212,8.2,5774887187,56,Back,5774887189,140,33.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310541,14,1,1,1,8,303582z192rnbr2x28o2t7u38,1,33.4,4.4,2025-06-18T18:02:20.598Z,2025-06-18T18:02:22Z,bl6vj48jfq2s09w7sezntwgt0,L. Möller,,,5774887211,141,24.6,5774887215,213,1.10,5774887205,155,,5774887213,212,15.4,5774887207,56,Back,5774887209,140,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310553,15,1,1,1,9,303582z192rnbr2x28o2t7u38,1,40.0,24.6,2025-06-18T18:02:21.958Z,2025-06-18T18:02:24Z,8jb026oewf17pg61vdstcgj4l,T. Pukki,,,5774887261,141,40.9,5774887265,213,1.31,5774887257,56,Back,5774887263,212,11.5,5774887259,140,42.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310567,16,1,1,1,12,303582z192rnbr2x28o2t7u38,1,42.8,40.9,2025-06-18T18:02:24.326Z,2025-06-18T18:02:28Z,5j2hy92q8f17nppznxrp8kxxx,A. Ring,,,5774887359,56,Center,5774887365,212,29.8,5774887361,140,61.5,5774887367,213,0.85,5774887363,141,73.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310571,15,45,1,1,16,5qxgilg61hlwxzfpdn2nhcayd,0,28.4,22.0,2025-06-18T18:02:28.790Z,2025-06-18T18:54:01Z,1utcfk5giq7ghp8b2z3u9b27d,J. Houston,,,5774887377,285,,5774887383,233,17,5774887375,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310569,17,3,1,1,16,303582z192rnbr2x28o2t7u38,1,71.6,78.0,2025-06-18T18:02:28.790Z,2025-06-18T18:54:01Z,4cooeu9zahategmvpj3zdr6xh,S. Hostikka,,,5774887379,233,15,5774887371,56,Center,5774887373,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310573,18,1,1,1,17,303582z192rnbr2x28o2t7u38,1,73.8,73.8,2025-06-18T18:02:29.638Z,2025-06-18T18:02:31Z,4cooeu9zahategmvpj3zdr6xh,S. Hostikka,,,5774887389,140,81.6,5774887387,56,Center,5774887393,212,13.9,5774887395,213,5.34,5774887391,141,57.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310577,19,1,1,1,18,303582z192rnbr2x28o2t7u38,1,82.3,59.1,2025-06-18T18:02:30.950Z,2025-06-18T18:02:31Z,8jb026oewf17pg61vdstcgj4l,T. Pukki,,,5774887409,212,3.3,5774887411,213,1.60,5774887405,140,82.2,5774887403,56,Center,5774887407,141,63.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310591,20,1,1,1,19,303582z192rnbr2x28o2t7u38,1,82.2,63.9,2025-06-18T18:02:31.479Z,2025-06-18T18:02:34Z,5j2hy92q8f17nppznxrp8kxxx,A. Ring,,,5774887491,141,72.6,5774887495,213,0.67,5774887487,56,Center,5774887493,212,9.5,5774887489,140,89.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310601,21,1,1,1,22,303582z192rnbr2x28o2t7u38,1,84.4,72.0,2025-06-18T18:02:34.357Z,2025-06-18T18:02:35Z,9fpgvc2avj64hiii3wd6w74k,K. Simojoki,,,5774887535,141,63.7,5774887531,56,Center,5774887537,212,7.0,5774887533,140,80.5,5774887539,213,4.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310605,22,1,1,1,23,303582z192rnbr2x28o2t7u38,1,80.5,63.7,2025-06-18T18:02:35.782Z,2025-06-18T18:02:36Z,4cooeu9zahategmvpj3zdr6xh,S. Hostikka,,,5774887559,212,7.6,5774887555,140,77.1,5774887561,213,2.06,5774887553,56,Center,5774887557,141,73.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310617,23,1,1,1,24,303582z192rnbr2x28o2t7u38,0,77.1,73.5,2025-06-18T18:02:36.518Z,2025-06-18T18:02:40Z,bas4d4drvf8kefls9tszu0oic,P. Mentu,,,5774887617,141,100.0,5774887613,56,Left,5774887615,140,98.0,5774887621,213,0.72,5774887619,212,29.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310621,16,5,1,1,28,5qxgilg61hlwxzfpdn2nhcayd,1,2.7,-2.0,2025-06-18T18:02:40.414Z,2025-06-18T18:02:42Z,1utcfk5giq7ghp8b2z3u9b27d,J. Houston,,,5774887627,56,Back,5774887631,233,24,5774887629,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310619,24,5,1,1,28,303582z192rnbr2x28o2t7u38,0,97.3,102.0,2025-06-18T18:02:40.414Z,2025-06-18T18:53:32Z,bas4d4drvf8kefls9tszu0oic,P. Mentu,,,5774887637,233,16,5774887623,56,Left,5774887625,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310681,17,1,1,1,46,5qxgilg61hlwxzfpdn2nhcayd,0,8.6,0.0,2025-06-18T18:02:58.279Z,2025-06-18T18:09:22Z,1utcfk5giq7ghp8b2z3u9b27d,J. Houston,,,5774887879,140,30.1,5774887881,141,7.1,5774887877,56,Back,5774887885,213,0.24,5774887883,212,23.3,5774887887,1,,5774887875,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823312383,113,61,1,1,47,303582z192rnbr2x28o2t7u38,1,54.3,93.6,2025-06-18T18:02:59.772Z,2025-06-18T18:09:38Z,95h8ci71qugckn045d3rumlm1,G. Antzoulas,,,5774896913,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310685,18,43,1,1,48,5qxgilg61hlwxzfpdn2nhcayd,1,0.0,0.0,2025-06-18T18:03:00.318Z,2025-06-18T18:09:20Z,czl632fkj2mhbgu4jie3bug9h,J. Akintunde,,,5774887895,56,Back,5774896597,144,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310705,26,1,1,1,51,303582z192rnbr2x28o2t7u38,1,44.5,88.7,2025-06-18T18:03:03.910Z,2025-06-18T18:03:11Z,2e3yktcpxvr1dxy2z1z1dolxw,M. Boamah,,,5774888005,141,68.2,5774888001,56,Back,5774888007,212,29.3,5774888003,140,20.0,5774888009,213,3.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310713,27,1,1,1,58,303582z192rnbr2x28o2t7u38,1,21.3,59.3,2025-06-18T18:03:11.046Z,2025-06-18T18:03:14Z,ebqj8v33xv3otev2pycc6xomh,T. Nijhuis,,,5774888037,141,90.2,5774888033,56,Back,5774888035,140,24.7,5774888041,213,1.40,5774888039,212,21.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310727,28,1,1,2,2,303582z192rnbr2x28o2t7u38,0,25.9,93.8,2025-06-18T18:03:14.759Z,2025-06-18T18:03:17Z,95h8ci71qugckn045d3rumlm1,G. Antzoulas,,,5774888109,140,65.0,5774888115,213,6.00,5774888105,155,,5774888111,141,76.3,5774888107,56,Center,5774888117,1,,5774888113,212,42.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310735,19,44,1,2,6,5qxgilg61hlwxzfpdn2nhcayd,1,34.3,22.8,2025-06-18T18:03:18.190Z,2025-06-18T18:10:44Z,e7cov36din7hwsjxovwr5smlm,Nícolas,,,5774888171,233,29,5774888155,285,,5774888153,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310731,29,44,1,2,6,303582z192rnbr2x28o2t7u38,0,65.7,77.2,2025-06-18T18:03:18.191Z,2025-06-18T18:03:21Z,8jb026oewf17pg61vdstcgj4l,T. Pukki,,,5774888135,286,,5774888179,233,19,5774888133,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310745,20,1,1,2,6,5qxgilg61hlwxzfpdn2nhcayd,0,33.5,21.5,2025-06-18T18:03:18.518Z,2025-06-18T18:10:48Z,e7cov36din7hwsjxovwr5smlm,Nícolas,,,5774888213,141,20.0,5774888207,3,,5774888217,213,6.00,5774888211,140,36.8,5774888215,212,3.6,5774888209,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310739,30,61,1,2,6,303582z192rnbr2x28o2t7u38,1,65.0,76.3,2025-06-18T18:03:19.022Z,2025-06-18T18:03:19Z,8jb026oewf17pg61vdstcgj4l,T. Pukki,,,5774888175,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310747,21,61,1,2,8,5qxgilg61hlwxzfpdn2nhcayd,0,50.5,19.7,2025-06-18T18:03:20.894Z,2025-06-18T18:03:21Z,2kbiramhoa1b8k51wtfk5raei,J. Da Sylva,,,5774888219,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310765,31,1,1,2,9,303582z192rnbr2x28o2t7u38,1,44.1,90.8,2025-06-18T18:03:21.397Z,2025-06-18T18:03:27Z,9fpgvc2avj64hiii3wd6w74k,K. Simojoki,,,5774888309,140,30.9,5774888315,213,4.11,5774888311,141,61.2,5774888307,56,Back,5774888313,212,24.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310769,32,1,1,2,15,303582z192rnbr2x28o2t7u38,1,36.4,43.7,2025-06-18T18:03:27.686Z,2025-06-18T18:03:29Z,2e3yktcpxvr1dxy2z1z1dolxw,M. Boamah,,,5774888319,56,Back,5774888323,141,18.0,5774888327,213,4.62,5774888321,140,34.8,5774888325,212,17.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310781,33,1,1,2,16,303582z192rnbr2x28o2t7u38,1,34.8,18.0,2025-06-18T18:03:29.062Z,2025-06-18T18:03:32Z,e0p7anuqsx00gybhm4wnkoesp,B. Lyons-Foster,,,5774888415,140,29.6,5774888417,141,33.6,5774888413,56,Back,5774888419,212,11.9,5774888421,213,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310787,34,1,1,2,20,303582z192rnbr2x28o2t7u38,1,27.8,34.3,2025-06-18T18:03:32.182Z,2025-06-18T18:03:34Z,2e3yktcpxvr1dxy2z1z1dolxw,M. Boamah,,,5774888459,213,2.39,5774888453,140,15.7,5774888457,212,17.3,5774888451,56,Back,5774888455,141,51.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310791,35,1,1,2,22,303582z192rnbr2x28o2t7u38,1,15.7,51.6,2025-06-18T18:03:34.470Z,2025-06-18T18:03:37Z,ebqj8v33xv3otev2pycc6xomh,T. Nijhuis,,,5774888479,141,75.1,5774888477,140,23.3,5774888481,212,17.9,5774888475,56,Back,5774888483,213,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310797,36,1,1,2,25,303582z192rnbr2x28o2t7u38,1,31.9,79.3,2025-06-18T18:03:37.877Z,2025-06-18T18:03:40Z,95h8ci71qugckn045d3rumlm1,G. Antzoulas,,,5774888513,140,34.1,5774888517,212,7.6,5774888511,56,Back,5774888515,141,90.0,5774888519,213,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823310815,37,1,1,2,28,303582z192rnbr2x28o2t7u38,1,35.3,89.1,2025-06-18T18:03:40.454Z,2025-06-18T18:12:04Z,bas4d4drvf8kefls9tszu0oic,P. Mentu,,,5774888631,1,,5774888627,212,35.6,5774888623,140,69.2,5774888625,141,90.5,5774888621,56,Left,5774888629,213,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
