id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/8/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId
2803025415,10,43,1,1,15,cy6zs39z79dcfbr4xzkp38z7q,1,0.0,0.0,2025-04-19T14:03:07.054Z,2025-04-19T14:22:23Z,9rle4eqj5q7d4y7hgu570vgfd,N. Jokelainen,,,5662682939,144,83,5662537451,399,5k1kwehh9ck6nlqugcurw1yi1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803025097,14,50,1,1,16,5qxgilg61hlwxzfpdn2nhcayd,1,97.0,91.8,2025-04-19T14:03:07.478Z,2025-04-19T14:03:13Z,5k1kwehh9ck6nlqugcurw1yi1,D. Parfitt-Williams,,,5662535289,56,Left,5662535455,233,8,5662535291,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803025107,8,7,1,1,16,cy6zs39z79dcfbr4xzkp38z7q,1,3.0,8.2,2025-04-19T14:03:07.479Z,2025-04-19T14:03:22Z,4accnmk8l7khcvpzibgdxjl04,J. Körkkö,,,5662535347,285,,5662535429,233,14,5662535343,167,,5662535345,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803025111,9,6,1,1,17,cy6zs39z79dcfbr4xzkp38z7q,0,0.6,7.8,2025-04-19T14:03:08.646Z,2025-04-19T14:05:48Z,9rle4eqj5q7d4y7hgu570vgfd,N. Jokelainen,,,5662535803,233,15,5662535749,73,,5662535747,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803025103,15,6,1,1,17,5qxgilg61hlwxzfpdn2nhcayd,1,99.4,92.2,2025-04-19T14:03:08.646Z,2025-04-19T14:05:48Z,5k1kwehh9ck6nlqugcurw1yi1,D. Parfitt-Williams,,,5662535785,233,9,5662535437,73,,5662535435,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803025549,16,1,1,1,35,5qxgilg61hlwxzfpdn2nhcayd,1,99.5,99.5,2025-04-19T14:03:26.986Z,2025-04-19T14:03:43Z,d7fbq3piag375ujo9q9njqq6s,D. Bulgakov,1.0,,5662537695,141,42.7,5662537689,223,,5662537697,212,38.9,5662537693,140,95.3,5662537691,56,Center,5662537687,155,,5662539005,154,,5662537683,2,,5662537701,1,5662537699,213,4.60,5662539003,210,13,5662537685,6,,,,,,,,,,,,,,,,
2803025553,17,13,1,1,38,5qxgilg61hlwxzfpdn2nhcayd,1,95.3,42.7,2025-04-19T14:03:30.350Z,2025-04-19T14:23:27Z,7pnmkd2s7cca2p00x7ny98st1,N. Friberg,,,5662539041,154,,5662538167,15,,5662539053,230,99.0,5662537731,60,,5662538171,328,,5662539055,231,48.6,5662691435,74,,5662538165,25,,5662539049,103,5662539039,29,,5662537735,56,Center,5662539047,102,62.5,47.9,5662539051,214,5662539043,55,16,,,,,,,,,
2803025539,11,5,1,1,39,cy6zs39z79dcfbr4xzkp38z7q,1,-0.8,50.0,2025-04-19T14:03:31.158Z,2025-04-19T14:03:33Z,9rle4eqj5q7d4y7hgu570vgfd,N. Jokelainen,,,5662537625,346,,5662537623,56,Back,5662537879,233,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803025567,18,5,1,1,39,5qxgilg61hlwxzfpdn2nhcayd,0,100.8,50.0,2025-04-19T14:03:31.158Z,2025-04-19T14:53:06Z,7pnmkd2s7cca2p00x7ny98st1,N. Friberg,,,5662537841,346,,5662537839,56,Center,5662537925,233,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803026091,12,1,1,2,2,cy6zs39z79dcfbr4xzkp38z7q,1,4.8,50.0,2025-04-19T14:03:54.101Z,2025-04-19T14:03:59Z,91fm2241o9p5nxo84p43tedhx,W. Eskelinen,,,5662540861,56,Back,5662540865,140,19.2,5662540875,213,5.24,5662540883,237,,5662540869,141,11.7,5662540859,124,,5662540873,212,30.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803056345,179,83,1,2,5,5qxgilg61hlwxzfpdn2nhcayd,0,85.3,95.3,2025-04-19T14:03:56.754Z,2025-04-19T14:25:10Z,2shgmz0kct6m0wphe28gq04ix,S. Lindholm,,,5662704639,399,9p03mfw1a51fwu8fklock97je,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803026107,13,1,1,2,7,cy6zs39z79dcfbr4xzkp38z7q,0,16.4,2.8,2025-04-19T14:03:59.141Z,2025-04-19T14:04:00Z,9p03mfw1a51fwu8fklock97je,M. Koskela,,,5662540981,56,Back,5662540987,212,6.0,5662540985,141,0.0,5662540989,213,5.80,5662540983,140,21.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803026113,14,5,1,2,8,cy6zs39z79dcfbr4xzkp38z7q,0,25.2,-1.5,2025-04-19T14:03:59.461Z,2025-04-19T14:53:06Z,9p03mfw1a51fwu8fklock97je,M. Koskela,,,5662541105,233,19,5662541021,347,,5662541019,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803026097,19,5,1,2,8,5qxgilg61hlwxzfpdn2nhcayd,1,74.8,101.5,2025-04-19T14:03:59.461Z,2025-04-19T14:04:08Z,2shgmz0kct6m0wphe28gq04ix,S. Lindholm,,,5662541075,233,14,5662540941,56,Left,5662540943,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803026173,20,1,1,2,8,5qxgilg61hlwxzfpdn2nhcayd,0,84.2,100.0,2025-04-19T14:04:00.365Z,2025-04-19T14:23:43Z,5k1kwehh9ck6nlqugcurw1yi1,D. Parfitt-Williams,,,5662541407,56,Left,5662541409,140,84.9,5662541413,212,5.2,5662541411,141,93.6,5662541405,107,,5662541415,213,4.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803026167,15,1,1,2,10,cy6zs39z79dcfbr4xzkp38z7q,1,9.8,13.2,2025-04-19T14:04:02.294Z,2025-04-19T14:04:03Z,9p03mfw1a51fwu8fklock97je,M. Koskela,,,5662541375,56,Back,5662541383,213,0.27,5662541379,141,15.3,5662541373,3,,5662541377,140,14.8,5662541381,212,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803026187,16,1,1,2,11,cy6zs39z79dcfbr4xzkp38z7q,0,14.6,14.7,2025-04-19T14:04:03.301Z,2025-04-19T14:04:04Z,4votdnyh0srvboatz6a20d5p0,J. Paananen,,,5662541503,56,Back,5662541509,212,11.1,5662541505,140,15.2,5662541501,3,,5662541511,213,4.77,5662541507,141,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803026189,17,5,1,2,13,cy6zs39z79dcfbr4xzkp38z7q,0,18.6,-1.8,2025-04-19T14:04:04.733Z,2025-04-19T14:04:08Z,4votdnyh0srvboatz6a20d5p0,J. Paananen,,,5662541513,56,Back,5662541515,347,,5662541689,233,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803026209,21,5,1,2,13,5qxgilg61hlwxzfpdn2nhcayd,1,81.4,101.8,2025-04-19T14:04:04.733Z,2025-04-19T14:53:07Z,5k1kwehh9ck6nlqugcurw1yi1,D. Parfitt-Williams,,,5662541661,233,17,5662541629,56,Left,5662541631,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803026477,22,1,1,2,21,5qxgilg61hlwxzfpdn2nhcayd,1,76.4,100.0,2025-04-19T14:04:13.045Z,2025-04-19T14:04:20Z,1utcfk5giq7ghp8b2z3u9b27d,J. Houston,,,5662543171,213,5.71,5662543161,107,,5662543165,140,84.6,5662543167,141,93.8,5662543169,212,10.3,5662543163,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803026401,18,43,1,2,25,cy6zs39z79dcfbr4xzkp38z7q,1,0.0,0.0,2025-04-19T14:04:16.740Z,2025-04-19T14:26:13Z,9rle4eqj5q7d4y7hgu570vgfd,N. Jokelainen,,,5662543495,399,5k1kwehh9ck6nlqugcurw1yi1,5662712925,144,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803026537,23,1,1,2,28,5qxgilg61hlwxzfpdn2nhcayd,1,77.6,96.2,2025-04-19T14:04:20.085Z,2025-04-19T14:04:23Z,5k1kwehh9ck6nlqugcurw1yi1,D. Parfitt-Williams,,,5662543463,140,58.5,5662543469,213,3.84,5662543467,212,26.3,5662543465,141,71.2,5662543461,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803026639,24,1,1,2,32,5qxgilg61hlwxzfpdn2nhcayd,1,60.1,62.1,2025-04-19T14:04:23.654Z,2025-04-19T14:04:26Z,7pnmkd2s7cca2p00x7ny98st1,N. Friberg,,,5662544023,1,,5662544015,140,71.7,5662544019,212,33.8,5662544013,56,Right,5662544021,213,5.08,5662544017,141,15.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803026749,25,1,1,2,35,5qxgilg61hlwxzfpdn2nhcayd,1,71.7,15.8,2025-04-19T14:04:26.693Z,2025-04-19T14:04:31Z,2kbiramhoa1b8k51wtfk5raei,J. Da Sylva,,,5662544641,212,9.5,5662544639,141,29.1,5662544637,140,74.6,5662544635,56,Center,5662544643,213,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803026769,26,1,1,2,39,5qxgilg61hlwxzfpdn2nhcayd,0,74.6,28.8,2025-04-19T14:04:31.223Z,2025-04-19T14:26:47Z,818ngmk0u0iqzv4j93yj97aad,R. Selander,,,5662544759,140,100.0,5662544763,212,30.7,5662544757,56,Right,5662544765,213,5.86,5662717463,155,,5662544761,141,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803026785,19,5,1,2,40,cy6zs39z79dcfbr4xzkp38z7q,1,-1.2,91.1,2025-04-19T14:04:31.768Z,2025-04-19T14:53:07Z,cn6gncw8nbyds83xx6cxbzrpw,S. Silander,,,5662544849,346,,5662545839,233,27,5662544847,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803026949,27,5,1,2,40,5qxgilg61hlwxzfpdn2nhcayd,0,101.2,8.9,2025-04-19T14:04:31.768Z,2025-04-19T14:53:07Z,818ngmk0u0iqzv4j93yj97aad,R. Selander,,,5662545811,346,,5662545883,233,19,5662545809,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803027225,20,1,1,2,57,cy6zs39z79dcfbr4xzkp38z7q,1,4.8,50.3,2025-04-19T14:04:49.333Z,2025-04-19T14:04:52Z,91fm2241o9p5nxo84p43tedhx,W. Eskelinen,,,5662547201,141,22.4,5662547195,124,,5662547205,213,5.22,5662547199,140,14.9,5662547203,212,21.7,5662547209,237,,5662547197,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803027287,21,1,1,3,1,cy6zs39z79dcfbr4xzkp38z7q,1,30.4,11.3,2025-04-19T14:04:52.629Z,2025-04-19T14:04:54Z,9p03mfw1a51fwu8fklock97je,M. Koskela,,,5662547471,212,19.6,5662547465,56,Back,5662547467,140,45.5,5662547469,141,28.2,5662547473,213,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803027373,22,1,1,3,3,cy6zs39z79dcfbr4xzkp38z7q,1,45.1,24.7,2025-04-19T14:04:54.725Z,2025-04-19T14:04:58Z,7wd41kdu78udzrxi9feh2drhm,M. Ndione,,,5662547889,141,5.0,5662547887,140,55.1,5662547891,212,17.0,5662547885,56,Right,5662547893,213,5.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803027393,23,1,1,3,6,cy6zs39z79dcfbr4xzkp38z7q,1,54.9,10.1,2025-04-19T14:04:57.925Z,2025-04-19T14:27:33Z,4votdnyh0srvboatz6a20d5p0,J. Paananen,,,5662547995,56,Back,5662548003,213,2.38,5662548001,212,22.1,5662547997,140,39.7,5662547999,141,32.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803027535,24,1,1,3,8,cy6zs39z79dcfbr4xzkp38z7q,1,35.2,39.1,2025-04-19T14:05:00.068Z,2025-04-19T14:05:05Z,an77jbrily6wipsqhwliubhsl,A. Paananen,,,5662548693,56,Back,5662548699,212,15.7,5662548695,140,29.7,5662548697,141,60.6,5662548701,213,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803027619,25,1,1,3,13,cy6zs39z79dcfbr4xzkp38z7q,1,31.3,61.8,2025-04-19T14:05:05.189Z,2025-04-19T14:05:08Z,7r2ifipuieqiar5n00o2j5uj9,L. Bergsma,,,5662549127,141,89.3,5662549131,213,0.96,5662549129,212,22.8,5662549123,56,Back,5662549125,140,43.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803027707,26,1,1,3,17,cy6zs39z79dcfbr4xzkp38z7q,1,60.7,92.7,2025-04-19T14:05:08.421Z,2025-04-19T14:05:13Z,cn6gncw8nbyds83xx6cxbzrpw,S. Silander,,,5662549625,140,70.8,5662549629,212,10.8,5662549623,56,Left,5662549627,141,95.6,5662549631,213,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803027793,27,1,1,3,21,cy6zs39z79dcfbr4xzkp38z7q,1,58.3,74.8,2025-04-19T14:05:13.141Z,2025-04-19T14:05:18Z,61ib1kknf11ab4v4f1magyu39,D. Barrow,,,5662550155,140,47.5,5662550159,212,13.4,5662550161,213,3.70,5662550157,141,64.3,5662550151,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803027833,28,1,1,3,26,cy6zs39z79dcfbr4xzkp38z7q,1,47.3,56.9,2025-04-19T14:05:18.020Z,2025-04-19T14:05:20Z,an77jbrily6wipsqhwliubhsl,A. Paananen,,,5662550391,213,2.13,5662550387,141,76.6,5662550383,56,Back,5662550389,212,15.8,5662550385,140,39.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803027919,29,1,1,3,29,cy6zs39z79dcfbr4xzkp38z7q,1,41.9,80.2,2025-04-19T14:05:20.709Z,2025-04-19T14:05:25Z,7r2ifipuieqiar5n00o2j5uj9,L. Bergsma,,,5662550917,213,0.38,5662550913,141,93.9,5662550909,56,Left,5662550911,140,64.3,5662550915,212,25.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803027957,30,1,1,3,30,cy6zs39z79dcfbr4xzkp38z7q,1,71.2,87.4,2025-04-19T14:05:21.560Z,2025-04-19T14:32:10Z,cn6gncw8nbyds83xx6cxbzrpw,S. Silander,,,5662551121,213,4.98,5662551117,141,49.0,5662551119,212,27.1,5662551113,56,Center,5662551111,155,,5662551115,140,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803066821,251,50,1,3,31,cy6zs39z79dcfbr4xzkp38z7q,1,79.2,49.8,2025-04-19T14:05:22.532Z,2025-04-19T14:32:20Z,7wd41kdu78udzrxi9feh2drhm,M. Ndione,,,5662759057,233,28,5662755607,56,Center,5662755611,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
