id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/10/value,qualifier/11/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/12/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId
2799549889,10,1,1,0,23,7efqk7uh63928il0yffxijnv7,0,36.3,28.8,2025-04-12T11:31:03.710Z,2025-04-12T11:31:11Z,6iaszy97sphbfkhfxdwd93g15,M. Ogungbaro,,,5643397219,286,,5643397215,233,5,5643396723,56,Back,5643396731,213,0.66,5643396727,141,34.5,5643396729,212,6.4,5643396725,140,41.1,5643397213,236,,5643396721,157,5643396733,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799549925,5,74,1,0,23,2rdnn9p03qrmmv34tyx1nahpa,1,53.0,72.1,2025-04-12T11:31:03.711Z,2025-04-12T12:27:22Z,a30y638aa4uo6vudqgrcjvpat,J. Veteli,,,5643397251,233,10,5643396903,56,Center,5643397195,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799560243,106,1,1,0,27,2rdnn9p03qrmmv34tyx1nahpa,1,51.9,75.6,2025-04-12T11:31:07.767Z,2025-04-12T11:41:40Z,a30y638aa4uo6vudqgrcjvpat,J. Veteli,,,5643449969,3,,5643449977,212,10.3,5643449971,56,Center,5643449975,141,60.7,5643449979,213,4.55,5643449973,140,50.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799550043,6,4,1,0,30,2rdnn9p03qrmmv34tyx1nahpa,1,46.8,61.7,2025-04-12T11:31:09.923Z,2025-04-12T11:31:33Z,8r3xgvgtysw3a026rrhebyxre,M. Stjopin,,,5643397527,56,Back,5643397537,265,,5643397541,286,,5643397523,13,,5643397531,152,,5643398475,233,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799549967,11,4,1,0,30,7efqk7uh63928il0yffxijnv7,0,53.2,38.3,2025-04-12T11:31:09.924Z,2025-04-12T11:31:33Z,4y7niu1b8drpeccb84s2e9wwl,S. Eremenko,,,5643397111,56,Center,5643398465,233,6,5643397115,265,,5643397113,152,,5643397117,285,,5643397109,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799550555,7,1,1,1,4,2rdnn9p03qrmmv34tyx1nahpa,1,47.3,69.4,2025-04-12T11:31:44.340Z,2025-04-12T11:42:33Z,cpxcd9wihjrac0ttpvfzv5kkq,M. Rale,,,5643399667,140,39.0,5643455007,189,,5643399673,213,4.26,5643399671,212,20.1,5643399663,152,,5643399661,5,,5643399665,56,Back,5643399669,141,42.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799550571,8,1,1,1,7,2rdnn9p03qrmmv34tyx1nahpa,1,39.0,42.7,2025-04-12T11:31:47.723Z,2025-04-12T11:42:35Z,1vt9w739g9cui1qrjhld5jgt1,S. Väisänen,,,5643399757,140,42.8,5643399761,212,16.9,5643455185,189,,5643399763,213,4.95,5643399755,56,Back,5643399759,141,18.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799550597,9,1,1,1,8,2rdnn9p03qrmmv34tyx1nahpa,1,39.7,20.5,2025-04-12T11:31:48.674Z,2025-04-12T11:43:55Z,bt9canh10jbb5pms11dzi1j2t,A. Mäenpää,,,5643399853,56,Right,5643399861,212,19.4,5643399865,213,5.67,5643399855,140,54.8,5643399859,141,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799550613,10,43,1,1,10,2rdnn9p03qrmmv34tyx1nahpa,1,0.0,0.0,2025-04-12T11:31:50.509Z,2025-04-12T11:31:55Z,afacx0e14xrz11u9dnbry92ei,K. Wallius,,,5643400389,144,5,5643399917,347,0,5643399915,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799550659,11,1,1,1,11,2rdnn9p03qrmmv34tyx1nahpa,1,53.4,2.5,2025-04-12T11:31:51.491Z,2025-04-12T11:44:04Z,afacx0e14xrz11u9dnbry92ei,K. Wallius,,,5643400163,140,44.2,5643400167,212,11.0,5643400165,141,10.3,5643400169,213,2.64,5643400161,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799550779,12,1,1,1,13,2rdnn9p03qrmmv34tyx1nahpa,1,41.0,25.8,2025-04-12T11:31:52.971Z,2025-04-12T11:44:12Z,bt9canh10jbb5pms11dzi1j2t,A. Mäenpää,,,5643400753,213,1.87,5643400749,141,48.3,5643400745,56,Back,5643400751,212,16.0,5643400747,140,36.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799550809,13,1,1,1,14,2rdnn9p03qrmmv34tyx1nahpa,1,44.9,53.0,2025-04-12T11:31:54.019Z,2025-04-12T11:44:35Z,1vt9w739g9cui1qrjhld5jgt1,S. Väisänen,,,5643400897,141,83.0,5643400893,56,Left,5643400901,213,1.20,5643400899,212,21.9,5643400895,140,52.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799563539,128,1,1,1,15,2rdnn9p03qrmmv34tyx1nahpa,1,52.6,84.4,2025-04-12T11:31:55.350Z,2025-04-12T11:44:56Z,cpxcd9wihjrac0ttpvfzv5kkq,M. Rale,,,5643467227,140,64.8,5643467231,212,14.4,5643467229,141,94.2,5643467225,56,Left,5643467233,213,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799550839,14,1,1,1,16,2rdnn9p03qrmmv34tyx1nahpa,1,65.5,92.6,2025-04-12T11:31:55.986Z,2025-04-12T11:48:16Z,enc30jhvcxxy3c53muws4gbje,O. Jukkola,,,5643401039,212,10.8,5643401031,56,Left,5643401033,140,55.8,5643401041,213,3.48,5643401037,141,87.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799560231,105,1,1,1,17,2rdnn9p03qrmmv34tyx1nahpa,1,53.7,88.5,2025-04-12T11:31:57.689Z,2025-04-12T11:48:27Z,cpxcd9wihjrac0ttpvfzv5kkq,M. Rale,,,5643485145,213,4.25,5643485137,56,Back,5643485141,141,64.8,5643485139,140,46.0,5643485143,212,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799550881,15,1,1,1,21,2rdnn9p03qrmmv34tyx1nahpa,1,45.2,64.2,2025-04-12T11:32:01.602Z,2025-04-12T11:49:49Z,1vt9w739g9cui1qrjhld5jgt1,S. Väisänen,,,5643401329,56,Center,5643401333,141,77.1,5643401335,212,12.5,5643401331,140,53.7,5643401337,213,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799550921,16,1,1,1,25,2rdnn9p03qrmmv34tyx1nahpa,1,61.1,83.2,2025-04-12T11:32:05.835Z,2025-04-12T11:32:08Z,cpxcd9wihjrac0ttpvfzv5kkq,M. Rale,,,5643401541,213,3.80,5643401537,141,60.2,5643401539,212,25.5,5643401535,140,41.9,5643401533,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799551009,17,1,1,1,28,2rdnn9p03qrmmv34tyx1nahpa,1,42.1,58.5,2025-04-12T11:32:08.379Z,2025-04-12T11:32:12Z,1vt9w739g9cui1qrjhld5jgt1,S. Väisänen,,,5643401947,1,,5643401939,140,59.4,5643401943,212,33.7,5643401941,141,16.8,5643401945,213,5.28,5643401937,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799551047,18,1,1,1,32,2rdnn9p03qrmmv34tyx1nahpa,1,59.4,16.8,2025-04-12T11:32:12.523Z,2025-04-12T11:32:15Z,6j8sbzewfzr0kjs2acm6r7tw4,O. Tiitinen,,,5643402173,141,10.9,5643402177,213,3.41,5643402171,140,45.7,5643402169,56,Back,5643402175,212,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799551095,19,1,1,1,35,2rdnn9p03qrmmv34tyx1nahpa,1,45.7,10.9,2025-04-12T11:32:15.051Z,2025-04-12T11:32:19Z,bt9canh10jbb5pms11dzi1j2t,A. Mäenpää,,,5643402467,213,1.55,5643402465,212,31.3,5643402461,140,46.2,5643402459,56,Back,5643402463,141,56.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799551129,20,1,1,1,39,2rdnn9p03qrmmv34tyx1nahpa,1,58.4,52.7,2025-04-12T11:32:18.970Z,2025-04-12T11:32:21Z,1vt9w739g9cui1qrjhld5jgt1,S. Väisänen,,,5643402601,56,Center,5643402609,213,1.06,5643402605,141,73.5,5643402603,140,66.0,5643402607,212,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799551195,21,1,1,1,41,2rdnn9p03qrmmv34tyx1nahpa,1,68.8,75.7,2025-04-12T11:32:21.122Z,2025-04-12T11:32:25Z,cpxcd9wihjrac0ttpvfzv5kkq,M. Rale,,,5643402965,212,16.9,5643402961,140,80.1,5643402959,56,Left,5643402963,141,93.3,5643402967,213,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799551239,22,1,1,1,45,2rdnn9p03qrmmv34tyx1nahpa,1,71.2,74.5,2025-04-12T11:32:25.843Z,2025-04-12T11:50:41Z,a30y638aa4uo6vudqgrcjvpat,J. Veteli,,,5643403197,213,4.38,5643403191,140,61.3,5643403195,212,31.5,5643403193,141,30.7,5643403189,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799551283,23,1,1,1,49,2rdnn9p03qrmmv34tyx1nahpa,1,61.2,27.4,2025-04-12T11:32:29.234Z,2025-04-12T11:32:31Z,bt9canh10jbb5pms11dzi1j2t,A. Mäenpää,,,5643403413,213,5.96,5643403411,212,10.0,5643403407,140,70.2,5643403409,141,22.7,5643403405,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799551333,24,1,1,1,51,2rdnn9p03qrmmv34tyx1nahpa,1,69.8,23.0,2025-04-12T11:32:31.682Z,2025-04-12T11:32:34Z,8r3xgvgtysw3a026rrhebyxre,M. Stjopin,,,5643403631,141,49.4,5643403627,56,Center,5643403635,213,2.26,5643403633,212,23.3,5643403629,140,55.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799551375,25,1,1,1,54,2rdnn9p03qrmmv34tyx1nahpa,1,56.4,50.4,2025-04-12T11:32:34.138Z,2025-04-12T11:32:37Z,1vt9w739g9cui1qrjhld5jgt1,S. Väisänen,,,5643403837,213,4.91,5643403833,141,19.2,5643403829,56,Right,5643403831,140,60.5,5643403835,212,21.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799551417,26,1,1,1,57,2rdnn9p03qrmmv34tyx1nahpa,1,62.3,18.5,2025-04-12T11:32:36.954Z,2025-04-12T11:32:39Z,bt9canh10jbb5pms11dzi1j2t,A. Mäenpää,,,5643404039,140,72.8,5643404045,212,14.1,5643404049,213,5.61,5643404037,56,Right,5643404041,141,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799551453,27,1,1,1,59,2rdnn9p03qrmmv34tyx1nahpa,1,72.9,5.3,2025-04-12T11:32:39.282Z,2025-04-12T11:32:40Z,afacx0e14xrz11u9dnbry92ei,K. Wallius,,,5643404237,212,7.8,5643404233,140,65.7,5643404231,56,Right,5643404235,141,8.2,5643404239,213,2.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799551531,28,1,1,2,0,2rdnn9p03qrmmv34tyx1nahpa,1,65.7,8.2,2025-04-12T11:32:40.778Z,2025-04-12T11:32:44Z,bt9canh10jbb5pms11dzi1j2t,A. Mäenpää,,,5643404569,56,Right,5643404577,213,1.56,5643404575,212,7.4,5643404571,140,65.8,5643404573,141,19.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799551585,29,1,1,2,4,2rdnn9p03qrmmv34tyx1nahpa,1,66.1,23.4,2025-04-12T11:32:44.274Z,2025-04-12T11:32:47Z,6j8sbzewfzr0kjs2acm6r7tw4,O. Tiitinen,,,5643404827,213,1.43,5643404819,56,Center,5643404823,141,73.0,5643404829,1,,5643404825,212,34.1,5643404821,140,70.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799551709,30,1,1,2,7,2rdnn9p03qrmmv34tyx1nahpa,1,70.6,73.0,2025-04-12T11:32:47.242Z,2025-04-12T11:51:32Z,cpxcd9wihjrac0ttpvfzv5kkq,M. Rale,,,5643405453,212,24.0,5643405451,141,96.9,5643405449,140,87.4,5643405455,213,0.74,5643405447,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799551715,31,3,1,2,13,2rdnn9p03qrmmv34tyx1nahpa,0,84.7,79.8,2025-04-12T11:32:53.022Z,2025-04-12T12:27:25Z,enc30jhvcxxy3c53muws4gbje,O. Jukkola,,,5643405477,286,,5643405629,233,12,5643405475,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799551735,12,7,1,2,13,7efqk7uh63928il0yffxijnv7,1,15.3,20.2,2025-04-12T11:32:53.023Z,2025-04-12T12:27:24Z,6iaszy97sphbfkhfxdwd93g15,M. Ogungbaro,,,5643405557,285,,5643405555,56,Back,5643405625,233,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799551785,14,4,1,2,18,7efqk7uh63928il0yffxijnv7,1,27.0,36.0,2025-04-12T11:32:58.272Z,2025-04-12T12:26:36Z,cbceals9gkfqlywg94zzzlgb9,F. Valenčič,,,5643405833,56,Back,5643405831,13,,5643405839,285,,5643405835,152,,5643405991,233,32,5643405837,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799551805,32,4,1,2,18,2rdnn9p03qrmmv34tyx1nahpa,0,73.0,64.0,2025-04-12T11:32:58.273Z,2025-04-12T12:26:37Z,cpxcd9wihjrac0ttpvfzv5kkq,M. Rale,,,5643405971,13,,5643405975,152,,5643405979,286,,5643405973,56,Center,5643405977,265,,5643406023,233,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799552069,15,1,1,2,32,7efqk7uh63928il0yffxijnv7,1,28.1,41.9,2025-04-12T11:33:12.286Z,2025-04-12T11:58:47Z,dcv2hunon4wgijgt4kljtqxg5,J. Brunell,,,5643407145,189,,5643407117,56,Back,5643407121,141,63.1,5643407113,152,,5643407125,213,1.53,5643407119,140,28.6,5643407123,212,14.4,5643407111,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799552111,16,1,1,2,34,7efqk7uh63928il0yffxijnv7,1,28.7,77.2,2025-04-12T11:33:14.654Z,2025-04-12T11:33:15Z,3cmp95fpjtqoc5njb5p7c9g8a,E. Gunnarsson,,,5643407357,56,Back,5643407361,141,78.8,5643407359,140,37.2,5643407367,213,0.12,5643407363,212,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799552141,17,1,1,2,35,7efqk7uh63928il0yffxijnv7,1,38.5,76.9,2025-04-12T11:33:15.310Z,2025-04-12T11:33:17Z,4y7niu1b8drpeccb84s2e9wwl,S. Eremenko,,,5643407515,140,41.3,5643407519,212,8.9,5643407521,213,5.05,5643407513,56,Back,5643407517,141,64.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799552171,18,1,1,2,37,7efqk7uh63928il0yffxijnv7,1,40.6,64.5,2025-04-12T11:33:17.453Z,2025-04-12T11:33:25Z,80115v2kkgjym3ubywmkz654a,M. Kusu,,,5643407661,141,37.9,5643407657,56,Back,5643407665,212,19.7,5643407669,213,4.31,5643407659,140,33.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799552213,19,1,1,2,39,7efqk7uh63928il0yffxijnv7,0,33.9,34.5,2025-04-12T11:33:19.726Z,2025-04-12T11:33:22Z,6iaszy97sphbfkhfxdwd93g15,M. Ogungbaro,,,5643407859,212,45.4,5643407855,140,70.1,5643407863,1,,5643407857,141,0.0,5643407861,213,5.70,5643407853,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799552219,20,5,1,2,42,7efqk7uh63928il0yffxijnv7,0,71.8,-2.0,2025-04-12T11:33:22.400Z,2025-04-12T11:33:26Z,6iaszy97sphbfkhfxdwd93g15,M. Ogungbaro,,,5643407887,347,,5643408003,233,33,5643407885,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799552227,33,5,1,2,42,2rdnn9p03qrmmv34tyx1nahpa,1,28.2,102.0,2025-04-12T11:33:22.400Z,2025-04-12T12:27:15Z,7wysiv77u3wt6pk31uzzl7dre,T. Hytönen,,,5643407929,56,Back,5643407965,233,20,5643407935,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
