id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/12/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/11/value,qualifier/18/id,qualifier/18/qualifierId
2803022397,7,1,1,0,13,2rdnn9p03qrmmv34tyx1nahpa,0,76.8,77.8,2025-04-19T14:00:29.737Z,2025-04-19T14:00:31Z,87xd8a3n7mtk57za6pcc5l5n9,L. Ala-Myllymäki,,,5662521455,212,10.8,5662521457,213,6.23,5662521445,56,Center,5662521443,3,,5662521447,140,87.1,5662521449,141,76.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803022355,3,12,1,0,13,8sy0cxovuxo76tuoas3uo55xj,1,22.1,21.0,2025-04-19T14:00:30.628Z,2025-04-19T14:04:02Z,9bd4vf4tdzfipobqzp2r7gbft,M. Paavola,,,5662522909,397,,5662521225,212,5.3,5662521221,140,26.6,5662521219,56,Back,5662541271,233,8,5662521223,141,17.6,5662521227,213,5.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803022421,8,74,1,0,13,2rdnn9p03qrmmv34tyx1nahpa,1,88.1,85.9,2025-04-19T14:00:30.629Z,2025-04-19T14:04:03Z,6yreepfqr0qh9o2mlglzkri6t,R. Riski,,,5662521553,56,Left,5662541307,233,3,5662521555,285,,5662522873,397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803027205,49,61,1,0,16,8sy0cxovuxo76tuoas3uo55xj,1,16.8,11.5,2025-04-19T14:00:32.935Z,2025-04-19T14:05:14Z,9bd4vf4tdzfipobqzp2r7gbft,M. Paavola,,,5662549449,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803022511,6,45,1,0,20,8sy0cxovuxo76tuoas3uo55xj,0,9.2,12.6,2025-04-19T14:00:36.952Z,2025-04-19T14:00:40Z,9bd4vf4tdzfipobqzp2r7gbft,M. Paavola,,,5662521929,285,,5662521927,56,Back,5662522033,233,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803022517,9,3,1,0,20,2rdnn9p03qrmmv34tyx1nahpa,1,90.8,87.4,2025-04-19T14:00:36.952Z,2025-04-19T14:00:40Z,87xd8a3n7mtk57za6pcc5l5n9,L. Ala-Myllymäki,,,5662521941,286,,5662521935,56,Left,5662521985,233,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803022571,10,1,1,0,20,2rdnn9p03qrmmv34tyx1nahpa,1,92.5,85.1,2025-04-19T14:00:37.624Z,2025-04-19T14:00:40Z,87xd8a3n7mtk57za6pcc5l5n9,L. Ala-Myllymäki,,,5662522205,56,Left,5662522217,213,3.26,5662522207,140,83.7,5662522215,212,9.3,5662522211,141,83.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803022551,7,43,1,0,21,8sy0cxovuxo76tuoas3uo55xj,1,0.0,0.0,2025-04-19T14:00:37.643Z,2025-04-19T14:06:32Z,4lgvhmh5otjikwqiwbc2yu8kp,E. Banza,,,5662524231,233,15,5662558789,144,45,5662522095,285,0,5662522093,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803022973,15,43,1,0,21,2rdnn9p03qrmmv34tyx1nahpa,1,0.0,0.0,2025-04-19T14:00:37.643Z,2025-04-19T14:06:34Z,87xd8a3n7mtk57za6pcc5l5n9,L. Ala-Myllymäki,,,5662559099,144,3,5662524195,286,0,5662524193,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803022583,11,1,1,0,22,2rdnn9p03qrmmv34tyx1nahpa,1,83.7,83.2,2025-04-19T14:00:38.872Z,2025-04-19T14:00:40Z,a30y638aa4uo6vudqgrcjvpat,J. Veteli,,,5662522249,56,Center,5662522255,212,7.5,5662522251,140,86.8,5662522253,141,73.3,5662522257,213,5.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803022589,12,50,1,0,23,2rdnn9p03qrmmv34tyx1nahpa,1,87.2,74.2,2025-04-19T14:00:40.568Z,2025-04-19T15:53:53Z,6yreepfqr0qh9o2mlglzkri6t,R. Riski,,,5662522543,233,8,5662522289,286,,5662522287,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803022621,8,7,1,0,23,8sy0cxovuxo76tuoas3uo55xj,0,12.8,25.8,2025-04-19T14:00:40.569Z,2025-04-19T15:53:53Z,ro21tqqaeslyebto6ukon5zo,A. Wilson,,,5662522461,56,Back,5662522463,285,,5662522487,233,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803030171,75,61,1,0,24,2rdnn9p03qrmmv34tyx1nahpa,1,89.3,63.8,2025-04-19T14:00:41.128Z,2025-04-19T14:07:20Z,6yreepfqr0qh9o2mlglzkri6t,R. Riski,,,5662565403,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803022665,10,1,1,0,27,8sy0cxovuxo76tuoas3uo55xj,0,4.7,9.5,2025-04-19T14:00:43.635Z,2025-04-19T14:00:45Z,8igk37zt3ixjxdtr1t9kwfnit,T. Manga,,,5662522621,1,,5662522617,212,1.0,5662522613,140,5.4,5662522609,157,,5662522673,236,,5662522679,286,,5662522611,56,Back,5662522615,141,8.5,5662522619,213,5.54,5662522675,233,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2803022671,13,74,1,0,27,2rdnn9p03qrmmv34tyx1nahpa,1,93.9,89.3,2025-04-19T14:00:43.636Z,2025-04-19T14:47:45Z,6yreepfqr0qh9o2mlglzkri6t,R. Riski,,,5662522641,285,,5662522693,233,10,5662522639,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803022753,11,5,1,0,33,8sy0cxovuxo76tuoas3uo55xj,1,-0.9,26.6,2025-04-19T14:00:49.720Z,2025-04-19T14:01:23Z,8igk37zt3ixjxdtr1t9kwfnit,T. Manga,,,5662525513,233,14,5662523093,56,Back,5662523095,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803022923,14,5,1,0,33,2rdnn9p03qrmmv34tyx1nahpa,0,100.9,73.4,2025-04-19T14:00:49.720Z,2025-04-19T14:01:23Z,87xd8a3n7mtk57za6pcc5l5n9,L. Ala-Myllymäki,,,5662523939,346,,5662525519,233,11,5662523937,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803023053,12,1,1,0,50,8sy0cxovuxo76tuoas3uo55xj,1,5.2,60.6,2025-04-19T14:01:07.076Z,2025-04-19T14:01:08Z,c5oixwvc8sk4fxliorsk7a311,J. Toivio,,,5662524623,213,4.40,5662524615,56,Back,5662524627,237,,5662524619,141,49.1,5662524621,212,8.2,5662524617,140,2.8,5662524613,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803023091,13,1,1,0,52,8sy0cxovuxo76tuoas3uo55xj,1,2.9,48.1,2025-04-19T14:01:08.676Z,2025-04-19T14:01:11Z,eomg9p2mo39ce40d1elkxerpx,J. Koski,,,5662524801,56,Back,5662524805,141,28.9,5662524809,213,4.93,5662524803,140,5.6,5662524807,212,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803023127,14,1,1,0,55,8sy0cxovuxo76tuoas3uo55xj,0,6.9,15.5,2025-04-19T14:01:11.796Z,2025-04-19T14:01:15Z,8igk37zt3ixjxdtr1t9kwfnit,T. Manga,,,5662524971,213,6.19,5662524963,56,Right,5662524967,141,7.1,5662524969,212,63.0,5662524973,1,,5662524965,140,66.7,5662524961,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803023181,16,12,1,1,1,2rdnn9p03qrmmv34tyx1nahpa,1,27.7,89.6,2025-04-19T14:01:17.831Z,2025-04-19T14:08:26Z,cpxcd9wihjrac0ttpvfzv5kkq,M. Rale,,,5662525219,140,39.8,5662525603,189,,5662574185,15,,5662525223,212,14.8,5662525217,56,Back,5662525225,213,0.54,5662525221,141,100.0,5662574187,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803023191,15,5,1,1,2,8sy0cxovuxo76tuoas3uo55xj,1,60.2,-1.2,2025-04-19T14:01:18.677Z,2025-04-19T14:01:24Z,8igk37zt3ixjxdtr1t9kwfnit,T. Manga,,,5662525249,56,Right,5662525251,347,,5662525269,233,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803023187,17,5,1,1,2,2rdnn9p03qrmmv34tyx1nahpa,0,39.8,101.2,2025-04-19T14:01:18.677Z,2025-04-19T14:01:20Z,cpxcd9wihjrac0ttpvfzv5kkq,M. Rale,,,5662525231,56,Back,5662525235,347,,5662525317,233,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803023489,16,1,1,1,11,8sy0cxovuxo76tuoas3uo55xj,1,55.4,0.0,2025-04-19T14:01:28.260Z,2025-04-19T14:01:35Z,9bd4vf4tdzfipobqzp2r7gbft,M. Paavola,,,5662526711,1,,5662526697,56,Back,5662526707,212,28.7,5662526703,141,10.3,5662526709,213,2.86,5662526699,140,29.2,5662526695,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803023495,17,1,1,1,18,8sy0cxovuxo76tuoas3uo55xj,0,31.4,17.9,2025-04-19T14:01:35.380Z,2025-04-19T14:01:36Z,8igk37zt3ixjxdtr1t9kwfnit,T. Manga,,,5662526735,56,Center,5662526737,140,57.0,5662526739,141,22.1,5662526741,212,27.0,5662526743,213,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803023611,19,1,1,1,23,2rdnn9p03qrmmv34tyx1nahpa,1,66.6,75.0,2025-04-19T14:01:39.703Z,2025-04-19T14:01:43Z,a30y638aa4uo6vudqgrcjvpat,J. Veteli,,,5662527333,56,Center,5662527337,140,68.4,5662527341,141,61.8,5662527345,213,4.92,5662527343,212,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803023621,20,50,1,1,26,2rdnn9p03qrmmv34tyx1nahpa,1,66.6,63.6,2025-04-19T14:01:42.675Z,2025-04-19T15:53:54Z,87xd8a3n7mtk57za6pcc5l5n9,L. Ala-Myllymäki,,,5662527469,233,18,5662527371,56,Center,5662527373,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803023615,18,7,1,1,26,8sy0cxovuxo76tuoas3uo55xj,1,33.4,36.4,2025-04-19T14:01:42.676Z,2025-04-19T15:53:54Z,ro21tqqaeslyebto6ukon5zo,A. Wilson,,,5662527351,56,Back,5662527353,285,,5662527449,233,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803023709,21,83,1,1,26,2rdnn9p03qrmmv34tyx1nahpa,1,67.6,64.7,2025-04-19T14:01:43.381Z,2025-04-19T14:09:47Z,a30y638aa4uo6vudqgrcjvpat,J. Veteli,,,5662583623,399,ro21tqqaeslyebto6ukon5zo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803023635,19,1,1,1,26,8sy0cxovuxo76tuoas3uo55xj,0,38.9,34.0,2025-04-19T14:01:43.480Z,2025-04-19T14:09:45Z,ro21tqqaeslyebto6ukon5zo,A. Wilson,,,5662584059,140,26.2,5662527429,56,Back,5662584061,141,31.5,5662584065,213,3.27,5662584063,212,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803023673,21,1,1,1,29,8sy0cxovuxo76tuoas3uo55xj,0,26.4,32.5,2025-04-19T14:01:45.942Z,2025-04-19T14:01:46Z,8igk37zt3ixjxdtr1t9kwfnit,T. Manga,,,5662527637,213,0.08,5662527635,212,8.9,5662527631,140,34.8,5662527633,141,33.6,5662527629,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803023777,23,1,1,1,31,2rdnn9p03qrmmv34tyx1nahpa,1,80.0,72.7,2025-04-19T14:01:47.648Z,2025-04-19T14:01:51Z,87xd8a3n7mtk57za6pcc5l5n9,L. Ala-Myllymäki,,,5662528169,56,Left,5662528177,212,17.6,5662528173,141,86.8,5662528181,213,0.58,5662528171,140,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803023797,24,1,1,1,35,2rdnn9p03qrmmv34tyx1nahpa,0,96.6,82.0,2025-04-19T14:01:51.759Z,2025-04-19T14:01:53Z,enc30jhvcxxy3c53muws4gbje,O. Jukkola,,,5662528299,140,100.0,5662528305,213,4.94,5662528301,141,47.3,5662528295,155,,5662528303,212,24.2,5662528297,56,Center,5662528293,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803023817,22,5,1,1,37,8sy0cxovuxo76tuoas3uo55xj,1,-1.4,51.6,2025-04-19T14:01:53.664Z,2025-04-19T14:24:59Z,8igk37zt3ixjxdtr1t9kwfnit,T. Manga,,,5662528549,233,25,5662528415,346,,5662528413,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803023843,25,5,1,1,37,2rdnn9p03qrmmv34tyx1nahpa,0,101.4,48.4,2025-04-19T14:01:53.664Z,2025-04-19T14:24:59Z,enc30jhvcxxy3c53muws4gbje,O. Jukkola,,,5662528529,56,Center,5662528603,233,22,5662528531,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803024141,23,1,1,1,55,8sy0cxovuxo76tuoas3uo55xj,1,5.2,60.9,2025-04-19T14:02:12.564Z,2025-04-19T14:02:14Z,c5oixwvc8sk4fxliorsk7a311,J. Toivio,,,5662530147,140,3.7,5662530143,124,,5662530151,212,8.6,5662530145,56,Back,5662530157,237,,5662530153,213,4.53,5662530183,189,,5662530149,141,48.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803024313,24,1,1,2,4,8sy0cxovuxo76tuoas3uo55xj,1,1.7,50.3,2025-04-19T14:02:20.644Z,2025-04-19T14:02:23Z,eomg9p2mo39ce40d1elkxerpx,J. Koski,,,5662531097,212,16.0,5662531093,140,5.4,5662531095,141,73.2,5662531091,56,Back,5662531099,213,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803024357,25,1,1,2,6,8sy0cxovuxo76tuoas3uo55xj,1,6.7,75.4,2025-04-19T14:02:23.060Z,2025-04-19T14:02:26Z,c5oixwvc8sk4fxliorsk7a311,J. Toivio,,,5662531357,56,Back,5662531365,213,0.90,5662531361,141,96.5,5662531363,212,18.3,5662531359,140,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803024369,26,1,1,2,9,8sy0cxovuxo76tuoas3uo55xj,0,21.6,95.9,2025-04-19T14:02:25.924Z,2025-04-19T14:02:26Z,byudescfxvi1kxlpncbv0mymt,M. Sumusalo,,,5662531461,140,32.9,5662531465,212,13.4,5662531463,141,86.9,5662531467,213,5.81,5662531459,56,Back,5662531457,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803024425,26,8,1,2,10,2rdnn9p03qrmmv34tyx1nahpa,1,63.0,14.6,2025-04-19T14:02:27.312Z,2025-04-19T14:11:51Z,74od0bd25ox7cv2sfmebf72s5,A. Popovitš,,,5662531781,56,Right,5662601433,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803024431,27,44,1,2,13,2rdnn9p03qrmmv34tyx1nahpa,1,74.0,25.0,2025-04-19T14:02:29.683Z,2025-04-19T14:02:33Z,87xd8a3n7mtk57za6pcc5l5n9,L. Ala-Myllymäki,,,5662531817,286,,5662531815,56,Center,5662531855,233,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803024423,27,44,1,2,13,8sy0cxovuxo76tuoas3uo55xj,0,26.0,75.0,2025-04-19T14:02:29.684Z,2025-04-19T14:02:34Z,c538ewmcaz4z73gcftzedbob9,A. Tanaka,,,5662531743,285,,5662531741,56,Back,5662531903,233,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803024483,28,61,1,2,13,2rdnn9p03qrmmv34tyx1nahpa,1,76.0,26.4,2025-04-19T14:02:30.208Z,2025-04-19T14:12:00Z,87xd8a3n7mtk57za6pcc5l5n9,L. Ala-Myllymäki,,,5662532117,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803024471,28,1,1,2,14,8sy0cxovuxo76tuoas3uo55xj,1,27.0,73.5,2025-04-19T14:02:31.469Z,2025-04-19T14:02:32Z,ro21tqqaeslyebto6ukon5zo,A. Wilson,,,5662532021,141,78.8,5662532025,213,2.75,5662532023,212,9.4,5662532017,56,Back,5662532019,140,18.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803024509,29,1,1,2,15,8sy0cxovuxo76tuoas3uo55xj,1,18.7,76.9,2025-04-19T14:02:32.213Z,2025-04-19T14:02:35Z,c5oixwvc8sk4fxliorsk7a311,J. Toivio,,,5662532247,141,47.2,5662532243,56,Back,5662532251,213,4.40,5662532245,140,12.4,5662532249,212,21.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803024553,30,1,1,2,18,8sy0cxovuxo76tuoas3uo55xj,1,21.8,29.7,2025-04-19T14:02:35.156Z,2025-04-19T14:02:37Z,8igk37zt3ixjxdtr1t9kwfnit,T. Manga,,,5662532479,141,5.2,5662532483,212,16.9,5662532489,213,4.87,5662532473,56,Back,5662532475,140,24.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803024645,31,1,1,2,21,8sy0cxovuxo76tuoas3uo55xj,0,26.0,6.1,2025-04-19T14:02:38.580Z,2025-04-19T14:02:42Z,9bd4vf4tdzfipobqzp2r7gbft,M. Paavola,,,5662532903,56,Right,5662532907,141,9.8,5662532911,213,0.04,5662532901,155,,5662532905,140,90.0,5662532909,212,67.2,5662532913,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
