id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/10/value,qualifier/8/value,qualifier/9/value,qualifier/11/value,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2807819029,7,1,1,0,11,ea3yd0dgq6uy6pupkpn17j5xg,1,4.9,17.1,2025-04-28T16:01:02.147Z,2025-04-28T16:01:11Z,ag78l8kpc7icq4payr6mgyej8,S. Yussif,,,5688777737,56,Back,5688777743,141,7.7,5688777751,213,6.01,5688777747,212,24.0,5688777739,140,26.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807819035,8,50,1,0,14,ea3yd0dgq6uy6pupkpn17j5xg,1,26.8,4.9,2025-04-28T16:01:04.678Z,2025-04-28T16:54:51Z,ayl3txfejfa46xvwnzzd76vze,K. Paananen,,,5688790015,285,,5688790033,233,41,5688777779,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807819061,6,43,1,0,14,5qxgilg61hlwxzfpdn2nhcayd,1,0.0,0.0,2025-04-28T16:01:04.679Z,2025-04-28T16:04:58Z,49br3gmn71y8pd5wqkfkvrbah,Lucas Falcão,,,5688787133,144,7,5688777873,286,0,5688777871,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807820875,41,7,1,0,14,5qxgilg61hlwxzfpdn2nhcayd,1,73.2,95.1,2025-04-28T16:01:04.679Z,2025-04-28T16:54:51Z,49br3gmn71y8pd5wqkfkvrbah,Lucas Falcão,,,5688789865,56,Left,5688790017,233,8,5688789867,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807819071,7,1,1,0,14,5qxgilg61hlwxzfpdn2nhcayd,0,78.3,94.5,2025-04-28T16:01:05.324Z,2025-04-28T16:01:12Z,1utcfk5giq7ghp8b2z3u9b27d,J. Houston,,,5688777919,141,95.7,5688777913,155,,5688777921,212,24.6,5688777915,56,Left,5688777917,140,100.0,5688777923,213,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807819101,8,5,1,0,16,5qxgilg61hlwxzfpdn2nhcayd,0,101.6,92.0,2025-04-28T16:01:07.539Z,2025-04-28T16:54:31Z,1utcfk5giq7ghp8b2z3u9b27d,J. Houston,,,5688778043,233,9,5688778023,56,Left,5688778025,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807819087,9,5,1,0,16,ea3yd0dgq6uy6pupkpn17j5xg,1,-1.6,8.0,2025-04-28T16:01:07.539Z,2025-04-28T16:01:13Z,ayl3txfejfa46xvwnzzd76vze,K. Paananen,,,5688778033,233,8,5688777987,56,Back,5688777989,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807819171,10,1,1,0,28,ea3yd0dgq6uy6pupkpn17j5xg,1,1.5,49.6,2025-04-28T16:01:18.883Z,2025-04-28T16:01:25Z,dcv3bj7tkpb8of9xh3br2510q,R. Paunio,,,5688778451,213,1.34,5688778449,212,14.1,5688778443,56,Back,5688778441,124,,5688778445,140,4.6,5688778455,237,,5688778447,141,69.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807819185,11,1,1,0,34,ea3yd0dgq6uy6pupkpn17j5xg,1,17.4,85.7,2025-04-28T16:01:25.172Z,2025-04-28T16:01:28Z,czynssza36ggpaezb0i14si22,S. Chukwudi,,,5688778539,141,94.5,5688778543,213,0.41,5688778535,56,Back,5688778541,212,15.1,5688778537,140,30.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807819189,12,1,1,0,37,ea3yd0dgq6uy6pupkpn17j5xg,0,30.6,94.5,2025-04-28T16:01:28.515Z,2025-04-28T16:01:29Z,9tz8pzof2v3ktjwsyt3gl18gk,L. Laine,,,5688778567,140,48.4,5688778571,212,42.0,5688778565,56,Back,5688778563,157,,5688778569,141,39.2,5688778575,1,,5688778573,213,5.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807819195,9,1,1,0,39,5qxgilg61hlwxzfpdn2nhcayd,0,53.9,54.5,2025-04-28T16:01:30.253Z,2025-04-28T16:01:30Z,1utcfk5giq7ghp8b2z3u9b27d,J. Houston,,,5688778621,56,Center,5688778623,140,67.3,5688778629,213,5.86,5688778627,212,15.5,5688778619,157,,5688778631,1,,5688778625,141,45.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807819213,13,1,1,0,40,ea3yd0dgq6uy6pupkpn17j5xg,1,31.0,47.9,2025-04-28T16:01:31.347Z,2025-04-28T16:01:33Z,bmbdwons7wudqebn3o3flm19l,V. Gasc,,,5688778735,213,4.66,5688778729,140,30.2,5688778731,141,22.7,5688778727,56,Back,5688778733,212,17.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807819235,14,1,1,0,42,ea3yd0dgq6uy6pupkpn17j5xg,1,32.7,20.3,2025-04-28T16:01:33.587Z,2025-04-28T16:01:37Z,ag78l8kpc7icq4payr6mgyej8,S. Yussif,,,5688778879,213,5.91,5688778873,140,58.4,5688778871,56,Right,5688778875,141,4.7,5688778877,212,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807819239,10,45,1,0,46,5qxgilg61hlwxzfpdn2nhcayd,0,33.6,94.6,2025-04-28T16:01:37.299Z,2025-04-28T16:04:07Z,1utcfk5giq7ghp8b2z3u9b27d,J. Houston,,,5688778887,56,Back,5688779019,233,15,5688778889,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807819263,15,3,1,0,46,ea3yd0dgq6uy6pupkpn17j5xg,1,66.4,5.4,2025-04-28T16:01:37.299Z,2025-04-28T16:04:07Z,93961wszqaocy96z45j4a232s,A. Vargas,,,5688778999,56,Right,5688779015,233,10,5688779001,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807819273,11,45,1,0,51,5qxgilg61hlwxzfpdn2nhcayd,0,18.2,83.8,2025-04-28T16:01:42.244Z,2025-04-28T16:04:07Z,5nhh1n77us1h2z5wvx7mt2gpg,A. Okyere,,,5688779037,285,,5688779035,56,Back,5688779063,233,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807819271,16,3,1,0,51,ea3yd0dgq6uy6pupkpn17j5xg,1,81.8,16.2,2025-04-28T16:01:42.244Z,2025-04-28T16:04:07Z,93961wszqaocy96z45j4a232s,A. Vargas,,,5688779031,56,Right,5688779043,233,11,5688779033,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807819285,17,1,1,0,52,ea3yd0dgq6uy6pupkpn17j5xg,0,87.9,14.4,2025-04-28T16:01:43.061Z,2025-04-28T16:01:44Z,93961wszqaocy96z45j4a232s,A. Vargas,,,5688779131,213,1.24,5688779127,141,44.6,5688779119,2,,5688779125,140,94.6,5688779121,155,,5688779129,212,21.7,5688779123,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807819297,12,12,1,0,55,5qxgilg61hlwxzfpdn2nhcayd,1,7.3,56.0,2025-04-28T16:01:45.717Z,2025-04-28T16:01:46Z,eexcxuea18xbokvkko1erdffu,M. Almén,,,5688779203,141,74.7,5688779199,56,Back,5688779205,212,12.9,5688779247,15,,5688779201,140,9.5,5688779207,213,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807819329,14,1,1,0,59,5qxgilg61hlwxzfpdn2nhcayd,0,4.8,85.0,2025-04-28T16:01:49.804Z,2025-04-28T16:08:02Z,5nhh1n77us1h2z5wvx7mt2gpg,A. Okyere,,,5688779409,56,Back,5688779421,1,,5688779415,212,2.5,5688779411,140,7.0,5688779413,141,86.5,5688779419,213,0.42,5688779407,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807821961,67,61,1,1,0,ea3yd0dgq6uy6pupkpn17j5xg,1,89.3,8.0,2025-04-28T16:01:51.454Z,2025-04-28T16:07:57Z,93961wszqaocy96z45j4a232s,A. Vargas,,,5688795235,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807819339,18,1,1,1,1,ea3yd0dgq6uy6pupkpn17j5xg,1,55.8,21.3,2025-04-28T16:01:51.925Z,2025-04-28T16:01:53Z,17p2jqe16w5j9qh5f8yr80g7o,O. Väistö,,,5688779471,56,Center,5688779479,213,0.05,5688779473,140,69.9,5688779477,212,14.8,5688779475,141,22.4,5688779469,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807819351,20,1,1,1,3,ea3yd0dgq6uy6pupkpn17j5xg,0,64.7,24.6,2025-04-28T16:01:54.243Z,2025-04-28T16:01:55Z,bmbdwons7wudqebn3o3flm19l,V. Gasc,,,5688779543,212,20.7,5688779545,213,5.29,5688779539,140,75.5,5688779541,141,0.0,5688779537,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807819373,15,5,1,1,4,5qxgilg61hlwxzfpdn2nhcayd,1,26.6,100.8,2025-04-28T16:01:55.399Z,2025-04-28T16:54:31Z,d7fbq3piag375ujo9q9njqq6s,D. Bulgakov,,,5688779615,56,Back,5688779623,233,21,5688779617,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807819353,21,5,1,1,4,ea3yd0dgq6uy6pupkpn17j5xg,0,73.4,-0.8,2025-04-28T16:01:55.399Z,2025-04-28T16:02:00Z,bmbdwons7wudqebn3o3flm19l,V. Gasc,,,5688779549,347,,5688779547,56,Right,5688779657,233,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807819483,16,1,1,1,23,5qxgilg61hlwxzfpdn2nhcayd,1,29.7,100.0,2025-04-28T16:02:13.988Z,2025-04-28T16:02:15Z,1utcfk5giq7ghp8b2z3u9b27d,J. Houston,,,5688780263,140,32.5,5688780275,213,4.99,5688780261,56,Back,5688780259,107,,5688780267,141,85.4,5688780271,212,10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807819497,17,1,1,1,24,5qxgilg61hlwxzfpdn2nhcayd,1,32.5,85.4,2025-04-28T16:02:14.971Z,2025-04-28T16:02:17Z,5nhh1n77us1h2z5wvx7mt2gpg,A. Okyere,,,5688780353,56,Back,5688780359,212,8.1,5688780361,213,2.09,5688780355,140,28.7,5688780357,141,95.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807819517,18,1,1,1,26,5qxgilg61hlwxzfpdn2nhcayd,1,29.7,96.2,2025-04-28T16:02:17.253Z,2025-04-28T16:02:20Z,1utcfk5giq7ghp8b2z3u9b27d,J. Houston,,,5688780475,212,31.6,5688780469,56,Center,5688780477,213,5.76,5688780473,141,73.0,5688780479,1,,5688780471,140,55.8,5688780467,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807819545,19,1,1,1,29,5qxgilg61hlwxzfpdn2nhcayd,1,62.4,63.4,2025-04-28T16:02:20.547Z,2025-04-28T16:02:32Z,d7fbq3piag375ujo9q9njqq6s,D. Bulgakov,1.0,,5688780605,212,20.4,5688780799,210,13,5688780607,213,4.33,5688780599,56,Center,5688780603,141,35.5,5688780801,154,,5688780601,140,55.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807819547,20,13,1,1,34,5qxgilg61hlwxzfpdn2nhcayd,1,77.4,28.2,2025-04-28T16:02:25.299Z,2025-04-28T16:09:13Z,2fj3f2zy80nbu8p3ryblmioes,V. Purosalo,,,5688780805,85,,5688780811,55,19,5688780679,20,,5688798145,113,,5688780803,120,,5688780823,231,46.9,5688780821,230,98.9,5688780815,102,53.8,5688780611,22,5688780807,29,5688780819,215,5688780613,18,5688780809,154,5688780817,103,52.8,5688780615,56,Center,,,,,,,,,,,,,,
2807819549,21,5,1,1,36,5qxgilg61hlwxzfpdn2nhcayd,0,100.8,58.1,2025-04-28T16:02:26.780Z,2025-04-28T16:54:32Z,2fj3f2zy80nbu8p3ryblmioes,V. Purosalo,,,5688780629,56,Center,5688781511,233,22,5688780631,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807819669,22,5,1,1,36,ea3yd0dgq6uy6pupkpn17j5xg,1,-0.8,41.9,2025-04-28T16:02:26.780Z,2025-04-28T16:54:32Z,2qks3nbpd8o6igkqjl9e4po4q,Babacar Fati,,,5688781431,56,Back,5688781433,346,,5688781469,233,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807819693,23,1,1,1,57,ea3yd0dgq6uy6pupkpn17j5xg,1,1.4,50.3,2025-04-28T16:02:48.403Z,2025-04-28T16:02:52Z,dcv3bj7tkpb8of9xh3br2510q,R. Paunio,,,5688781621,124,,5688781627,141,31.8,5688781631,213,4.81,5688781629,212,12.6,5688781623,56,Back,5688781625,140,2.6,5688781635,237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807819727,24,1,1,2,1,ea3yd0dgq6uy6pupkpn17j5xg,1,9.1,25.8,2025-04-28T16:02:52.324Z,2025-04-28T16:02:55Z,17p2jqe16w5j9qh5f8yr80g7o,O. Väistö,,,5688781881,141,4.1,5688781877,56,Back,5688781883,212,16.6,5688781879,140,16.4,5688781885,213,5.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807819745,25,1,1,2,4,ea3yd0dgq6uy6pupkpn17j5xg,1,21.4,4.3,2025-04-28T16:02:55.651Z,2025-04-28T16:02:58Z,ag78l8kpc7icq4payr6mgyej8,S. Yussif,,,5688781991,141,5.0,5688781993,212,6.7,5688781987,56,Back,5688781989,140,15.0,5688781995,213,3.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807819771,26,1,1,2,7,ea3yd0dgq6uy6pupkpn17j5xg,1,17.4,11.6,2025-04-28T16:02:58.099Z,2025-04-28T16:03:00Z,bmbdwons7wudqebn3o3flm19l,V. Gasc,,,5688782103,141,19.5,5688782101,140,5.2,5688782105,212,13.9,5688782099,56,Back,5688782107,213,2.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807819849,27,1,1,2,9,ea3yd0dgq6uy6pupkpn17j5xg,1,4.7,18.3,2025-04-28T16:03:00.163Z,2025-04-28T16:03:08Z,17p2jqe16w5j9qh5f8yr80g7o,O. Väistö,,,5688782487,140,15.8,5688782493,213,5.57,5688782483,56,Back,5688782489,141,3.4,5688782491,212,15.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807822979,80,83,1,2,15,5qxgilg61hlwxzfpdn2nhcayd,1,75.6,94.0,2025-04-28T16:03:05.937Z,2025-04-28T16:10:24Z,d7fbq3piag375ujo9q9njqq6s,D. Bulgakov,,,5688801539,399,ag78l8kpc7icq4payr6mgyej8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807819859,28,1,1,2,17,ea3yd0dgq6uy6pupkpn17j5xg,1,25.9,11.7,2025-04-28T16:03:08.371Z,2025-04-28T16:03:09Z,ag78l8kpc7icq4payr6mgyej8,S. Yussif,,,5688782575,213,1.67,5688782569,141,31.5,5688782565,56,Back,5688782571,212,13.5,5688782567,140,24.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807819879,29,1,1,2,19,ea3yd0dgq6uy6pupkpn17j5xg,1,24.6,31.5,2025-04-28T16:03:09.684Z,2025-04-28T16:03:13Z,bmbdwons7wudqebn3o3flm19l,V. Gasc,,,5688782683,141,18.2,5688782681,140,19.5,5688782685,212,10.5,5688782687,213,4.18,5688782679,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807819889,30,1,1,2,22,ea3yd0dgq6uy6pupkpn17j5xg,1,19.5,18.2,2025-04-28T16:03:13.444Z,2025-04-28T16:03:15Z,17p2jqe16w5j9qh5f8yr80g7o,O. Väistö,,,5688782751,140,23.5,5688782749,56,Back,5688782753,141,5.2,5688782757,213,5.16,5688782755,212,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807819907,31,1,1,2,23,ea3yd0dgq6uy6pupkpn17j5xg,1,23.5,5.2,2025-04-28T16:03:13.932Z,2025-04-28T16:12:52Z,f2qohaex1g5tvz10leo2ia6s,M. Arsalo,,,5688782871,141,1.7,5688782867,56,Back,5688782875,212,9.1,5688782881,213,6.02,5688782869,140,31.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807820001,32,1,1,2,27,ea3yd0dgq6uy6pupkpn17j5xg,1,35.4,3.8,2025-04-28T16:03:18.275Z,2025-04-28T16:03:28Z,ag78l8kpc7icq4payr6mgyej8,S. Yussif,,,5688783459,212,50.1,5688783453,56,Right,5688783461,213,0.18,5688783463,1,,5688783455,140,82.4,5688783457,141,16.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807820009,33,1,1,2,37,ea3yd0dgq6uy6pupkpn17j5xg,1,82.6,12.3,2025-04-28T16:03:28.100Z,2025-04-28T16:03:29Z,1coz8r44qcr2aau1u09888i6s,M. Bojang,,,5688783501,140,77.4,5688783503,141,3.5,5688783507,213,3.97,5688783505,212,8.1,5688783499,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807820025,34,1,1,2,39,ea3yd0dgq6uy6pupkpn17j5xg,1,77.4,3.5,2025-04-28T16:03:29.764Z,2025-04-28T16:03:33Z,ag78l8kpc7icq4payr6mgyej8,S. Yussif,,,5688783617,212,21.8,5688783621,213,2.85,5688783615,141,12.8,5688783611,56,Right,5688783613,140,57.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807820073,35,1,1,2,42,ea3yd0dgq6uy6pupkpn17j5xg,1,57.5,12.8,2025-04-28T16:03:33.236Z,2025-04-28T16:03:38Z,17p2jqe16w5j9qh5f8yr80g7o,O. Väistö,,,5688783917,141,9.5,5688783913,56,Right,5688783919,212,8.9,5688783921,213,6.03,5688783915,140,65.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807820111,36,1,1,2,47,ea3yd0dgq6uy6pupkpn17j5xg,1,65.2,11.3,2025-04-28T16:03:38.181Z,2025-04-28T16:03:44Z,f2qohaex1g5tvz10leo2ia6s,M. Arsalo,,,5688784115,56,Left,5688784121,212,53.1,5688784117,140,86.5,5688784123,213,1.14,5688784113,196,,5688784119,141,82.1,5688784111,155,,5688784125,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
