id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/8/value,qualifier/10/value,qualifier/12/value,qualifier/11/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/15/value
2818301941,7,61,1,0,10,3ptum5fjcgw51mqui0gu6uuf4,0,31.9,15.8,2025-05-24T16:01:24.429Z,2025-05-24T16:19:49Z,2lsv3xzudv78cddzsvl76zgx6,P. Lindgren,,,5746818177,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818302027,5,1,1,0,15,303582z192rnbr2x28o2t7u38,1,78.1,88.6,2025-05-24T16:01:30.184Z,2025-05-24T16:19:32Z,5j2hy92q8f17nppznxrp8kxxx,A. Ring,,,5746818597,140,88.8,5746818589,2,,5746818599,141,44.9,5746818601,212,31.8,5746818591,155,,5746818595,56,Center,5746818605,213,5.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818302071,7,50,1,0,17,303582z192rnbr2x28o2t7u38,1,87.6,47.4,2025-05-24T16:01:31.457Z,2025-05-24T16:51:03Z,8jb026oewf17pg61vdstcgj4l,T. Pukki,,,5746935817,233,138,5746818865,56,Center,5746933517,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818322523,138,7,1,0,17,3ptum5fjcgw51mqui0gu6uuf4,0,12.4,52.6,2025-05-24T16:01:31.458Z,2025-05-24T16:51:03Z,eyxig53mzy4qlf208vpchs7is,M. Fonsell,,,5746935763,285,,5746935761,56,Back,5746935785,233,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818302039,6,43,1,0,19,303582z192rnbr2x28o2t7u38,1,0.0,0.0,2025-05-24T16:01:33.315Z,2025-05-24T16:20:40Z,8jb026oewf17pg61vdstcgj4l,T. Pukki,,,5746818691,56,Center,5746930499,144,50,5746818693,286,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818302051,8,83,1,0,19,3ptum5fjcgw51mqui0gu6uuf4,0,12.8,56.7,2025-05-24T16:01:33.316Z,2025-05-24T16:21:31Z,8tzmahdp1kkbot7nulpirqhh,J. Nissinen,,,5746930333,399,bas4d4drvf8kefls9tszu0oic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818302159,8,1,1,0,24,303582z192rnbr2x28o2t7u38,1,75.4,44.3,2025-05-24T16:01:38.505Z,2025-05-24T16:01:51Z,bas4d4drvf8kefls9tszu0oic,P. Mentu,1.0,,5746819319,140,90.7,5746819323,212,16.1,5746820155,210,13,5746819317,56,Center,5746819321,141,44.5,5746820157,154,,5746819325,213,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818302163,9,13,1,0,25,303582z192rnbr2x28o2t7u38,1,90.7,44.5,2025-05-24T16:01:40.081Z,2025-05-24T16:22:26Z,8jb026oewf17pg61vdstcgj4l,T. Pukki,,,5746820167,154,,5746820177,214,,5746820183,231,47.1,5746819345,56,Center,5746820169,55,8,5746820179,328,,5746820181,230,95.0,5746820175,103,1.4,5746820165,29,5746820173,102,62.4,5746820163,73,5746819505,20,5746819343,17,5746819341,22,,,,,,,,,,,,,,
2818302169,9,5,1,0,27,3ptum5fjcgw51mqui0gu6uuf4,1,-0.6,43.0,2025-05-24T16:01:42.084Z,2025-05-24T16:02:56Z,36gi7l0qvkbru5w6v2nym00ve,E. Patut,,,5746819367,346,,5746819365,56,Back,5746819385,233,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818302171,10,5,1,0,27,303582z192rnbr2x28o2t7u38,0,100.6,57.0,2025-05-24T16:01:42.084Z,2025-05-24T16:02:57Z,8jb026oewf17pg61vdstcgj4l,T. Pukki,,,5746819401,233,9,5746819371,346,,5746819369,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818302513,10,1,1,0,55,3ptum5fjcgw51mqui0gu6uuf4,0,3.3,47.3,2025-05-24T16:02:09.732Z,2025-05-24T16:02:10Z,eklpacb4xe0yb13zxi642gys4,J. Viitala,,,5746821481,213,6.20,5746821471,124,,5746821479,212,46.0,5746821477,141,41.9,5746821483,1,,5746821473,56,Back,5746821485,74,,5746821475,140,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818302557,11,61,1,0,58,303582z192rnbr2x28o2t7u38,1,54.3,49.6,2025-05-24T16:02:13.040Z,2025-05-24T16:22:59Z,bas4d4drvf8kefls9tszu0oic,P. Mentu,,,5746821735,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818302623,12,1,1,1,0,303582z192rnbr2x28o2t7u38,1,55.2,47.8,2025-05-24T16:02:15.035Z,2025-05-24T16:23:04Z,eswp4t4r8ktirsnkodz26gyui,B. Michel,,,5746822029,213,3.65,5746822021,56,Back,5746822027,212,20.5,5746822023,140,38.2,5746822025,141,33.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818302655,14,1,1,1,3,303582z192rnbr2x28o2t7u38,1,37.4,32.8,2025-05-24T16:02:17.689Z,2025-05-24T16:02:19Z,19xsgxk4g4gf1ickmbc92uzu,M. Ylitolva,,,5746822223,212,21.7,5746822219,140,18.8,5746822217,56,Back,5746822225,213,2.69,5746822221,141,46.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818302665,15,1,1,1,5,303582z192rnbr2x28o2t7u38,1,18.8,46.6,2025-05-24T16:02:19.321Z,2025-05-24T16:02:20Z,ebqj8v33xv3otev2pycc6xomh,T. Nijhuis,,,5746822325,56,Back,5746822329,141,34.5,5746822331,212,9.4,5746822327,140,23.1,5746822333,213,5.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818302711,16,1,1,1,6,303582z192rnbr2x28o2t7u38,1,23.1,34.5,2025-05-24T16:02:20.665Z,2025-05-24T16:02:24Z,95h8ci71qugckn045d3rumlm1,G. Antzoulas,,,5746822565,56,Back,5746822573,213,1.33,5746822567,140,27.7,5746822569,141,63.6,5746822571,212,20.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818302725,17,1,1,1,10,303582z192rnbr2x28o2t7u38,1,30.5,62.0,2025-05-24T16:02:24.345Z,2025-05-24T16:02:25Z,18p445rm69t2xc13vggv5oueh,V. Tikkanen,,,5746822665,212,8.6,5746822659,56,Back,5746822661,140,35.7,5746822663,141,52.2,5746822667,213,5.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818302803,18,1,1,1,11,303582z192rnbr2x28o2t7u38,1,35.7,52.2,2025-05-24T16:02:25.433Z,2025-05-24T16:02:30Z,7198rz1vtgazkeytaltke2noq,G. Kanellopoulos,,,5746823115,213,4.64,5746823107,56,Back,5746823109,140,34.7,5746823111,141,31.5,5746823113,212,14.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818302845,19,1,1,1,16,303582z192rnbr2x28o2t7u38,1,38.2,35.5,2025-05-24T16:02:30.745Z,2025-05-24T16:02:33Z,95h8ci71qugckn045d3rumlm1,G. Antzoulas,,,5746823341,212,17.5,5746823335,56,Back,5746823343,213,1.81,5746823339,141,60.5,5746823337,140,34.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818302945,20,1,1,1,19,303582z192rnbr2x28o2t7u38,1,36.9,53.4,2025-05-24T16:02:33.434Z,2025-05-24T16:02:40Z,18p445rm69t2xc13vggv5oueh,V. Tikkanen,,,5746824011,141,74.5,5746824013,212,16.3,5746824007,56,Back,5746824015,213,1.07,5746824009,140,44.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818302949,21,50,1,1,25,303582z192rnbr2x28o2t7u38,1,65.1,77.9,2025-05-24T16:02:40.041Z,2025-05-24T16:51:04Z,9fpgvc2avj64hiii3wd6w74k,K. Simojoki,,,5746824269,233,11,5746824023,56,Center,5746824025,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818302983,11,7,1,1,25,3ptum5fjcgw51mqui0gu6uuf4,1,34.9,22.1,2025-05-24T16:02:40.042Z,2025-05-24T16:51:03Z,36gi7l0qvkbru5w6v2nym00ve,E. Patut,,,5746824221,56,Back,5746824257,233,21,5746824223,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818303011,13,1,1,1,28,3ptum5fjcgw51mqui0gu6uuf4,1,38.2,23.6,2025-05-24T16:02:42.692Z,2025-05-24T16:02:44Z,1iyf79yql5sm8m6i8nwxntsve,Hugo Cardoso,,,5746824395,212,9.1,5746824391,140,30.4,5746824393,141,17.7,5746824389,56,Back,5746824397,213,3.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818303027,14,1,1,1,29,3ptum5fjcgw51mqui0gu6uuf4,0,28.6,17.2,2025-05-24T16:02:44.068Z,2025-05-24T16:02:49Z,b7594v117himyndjrpkval8us,E. Okereke,,,5746824487,212,13.9,5746824483,140,34.0,5746824481,56,Back,5746824489,213,5.13,5746824485,141,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818303045,15,5,1,1,32,3ptum5fjcgw51mqui0gu6uuf4,0,33.6,-1.6,2025-05-24T16:02:46.405Z,2025-05-24T16:02:51Z,1iyf79yql5sm8m6i8nwxntsve,Hugo Cardoso,,,5746824563,347,,5746824561,56,Back,5746824829,233,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818303085,22,5,1,1,32,303582z192rnbr2x28o2t7u38,1,66.4,101.6,2025-05-24T16:02:46.405Z,2025-05-24T16:02:57Z,9fpgvc2avj64hiii3wd6w74k,K. Simojoki,,,5746824791,347,,5746824817,233,15,5746824789,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818303251,23,1,1,1,39,303582z192rnbr2x28o2t7u38,1,70.8,100.0,2025-05-24T16:02:53.353Z,2025-05-24T16:02:57Z,9fpgvc2avj64hiii3wd6w74k,K. Simojoki,,,5746825743,213,3.92,5746825741,212,5.6,5746825735,56,Left,5746825737,140,67.0,5746825733,107,,5746825739,141,95.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818303319,24,1,1,1,43,303582z192rnbr2x28o2t7u38,1,65.8,86.6,2025-05-24T16:02:57.401Z,2025-05-24T16:03:01Z,7198rz1vtgazkeytaltke2noq,G. Kanellopoulos,,,5746826081,141,67.0,5746826073,56,Center,5746826087,212,14.1,5746826091,213,4.39,5746826077,140,61.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818303341,25,1,1,1,46,303582z192rnbr2x28o2t7u38,1,61.5,67.0,2025-05-24T16:03:00.682Z,2025-05-24T16:24:48Z,95h8ci71qugckn045d3rumlm1,G. Antzoulas,,,5746826253,141,36.3,5746826259,213,5.06,5746826251,140,68.6,5746826255,212,22.2,5746826249,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818303371,26,1,1,1,47,303582z192rnbr2x28o2t7u38,1,68.6,36.1,2025-05-24T16:03:01.849Z,2025-05-24T16:03:04Z,19xsgxk4g4gf1ickmbc92uzu,M. Ylitolva,,,5746826439,213,2.49,5746826431,56,Center,5746826433,140,65.7,5746826437,212,3.8,5746826435,141,39.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818303415,27,1,1,1,49,303582z192rnbr2x28o2t7u38,1,65.7,39.5,2025-05-24T16:03:04.073Z,2025-05-24T16:03:07Z,7198rz1vtgazkeytaltke2noq,G. Kanellopoulos,,,5746826705,213,4.88,5746826701,141,20.0,5746826699,140,67.9,5746826697,56,Right,5746826703,212,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818303441,28,1,1,1,54,303582z192rnbr2x28o2t7u38,1,68.1,19.2,2025-05-24T16:03:08.538Z,2025-05-24T16:03:09Z,eswp4t4r8ktirsnkodz26gyui,B. Michel,,,5746826867,213,2.38,5746826863,141,32.1,5746826861,140,59.3,5746826859,56,Center,5746826865,212,12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818303477,29,1,1,1,55,303582z192rnbr2x28o2t7u38,1,59.2,33.0,2025-05-24T16:03:09.834Z,2025-05-24T16:03:12Z,95h8ci71qugckn045d3rumlm1,G. Antzoulas,,,5746827085,140,81.5,5746827087,141,91.8,5746827083,56,Left,5746827091,213,1.04,5746827089,212,46.3,5746827093,1,,5746827081,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818303577,30,1,1,1,57,303582z192rnbr2x28o2t7u38,1,81.5,91.8,2025-05-24T16:03:12.185Z,2025-05-24T16:03:16Z,4cooeu9zahategmvpj3zdr6xh,S. Hostikka,,,5746827575,213,5.80,5746827567,56,Left,5746827573,212,17.6,5746827571,141,79.7,5746827569,140,96.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818303609,31,1,1,2,2,303582z192rnbr2x28o2t7u38,1,91.0,83.8,2025-05-24T16:03:16.553Z,2025-05-24T16:03:18Z,bas4d4drvf8kefls9tszu0oic,P. Mentu,,,5746827731,140,77.5,5746827729,56,Center,5746827737,213,3.47,5746827733,141,76.6,5746827735,212,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818303655,32,1,1,2,4,303582z192rnbr2x28o2t7u38,1,77.5,76.6,2025-05-24T16:03:18.281Z,2025-05-24T16:03:21Z,9fpgvc2avj64hiii3wd6w74k,K. Simojoki,,,5746827997,141,92.9,5746827993,56,Left,5746827995,140,84.5,5746827999,212,13.3,5746828001,213,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818303697,33,1,1,2,7,303582z192rnbr2x28o2t7u38,1,82.1,89.4,2025-05-24T16:03:21.769Z,2025-05-24T16:03:33Z,4cooeu9zahategmvpj3zdr6xh,S. Hostikka,1.0,,5746829141,154,,5746828199,56,Center,5746828197,155,,5746828205,212,22.0,5746829139,210,13,5746828207,213,5.14,5746828195,2,,5746828203,141,59.9,5746828201,140,,,,,,,,,,,,90.7,,,,,,,,,,,,,
2818303703,34,13,1,2,8,303582z192rnbr2x28o2t7u38,1,90.7,59.7,2025-05-24T16:03:23.097Z,2025-05-24T16:03:33Z,5j2hy92q8f17nppznxrp8kxxx,A. Ring,,,5746829169,29,,5746829181,102,58.0,5746828667,328,,5746829183,103,80.6,5746829175,55,33,5746828241,56,Center,5746828663,15,,5746829171,154,,5746829161,77,5746828239,17,,5746829187,231,5746828237,22,5746829185,230,,,,52.0,99.0,,,,,,,,,,,
2818303711,16,5,1,2,9,3ptum5fjcgw51mqui0gu6uuf4,1,-0.7,43.2,2025-05-24T16:03:23.316Z,2025-05-24T16:05:46Z,1iyf79yql5sm8m6i8nwxntsve,Hugo Cardoso,,,5746828291,56,Back,5746828381,233,35,5746828293,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818303723,35,5,1,2,9,303582z192rnbr2x28o2t7u38,0,100.7,56.8,2025-05-24T16:03:23.316Z,2025-05-24T16:05:47Z,5j2hy92q8f17nppznxrp8kxxx,A. Ring,,,5746828325,346,,5746828323,56,Center,5746828407,233,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818304183,17,1,1,2,32,3ptum5fjcgw51mqui0gu6uuf4,0,4.3,40.0,2025-05-24T16:03:46.821Z,2025-05-24T16:03:52Z,eklpacb4xe0yb13zxi642gys4,J. Viitala,,,5746831073,140,54.4,5746831077,212,54.1,5746831071,56,Center,5746831079,213,6.04,5746831069,124,,5746831081,1,,5746831075,141,21.2,5746831085,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818304199,36,44,1,2,37,303582z192rnbr2x28o2t7u38,1,45.6,77.8,2025-05-24T16:03:51.396Z,2025-05-24T16:51:13Z,18p445rm69t2xc13vggv5oueh,V. Tikkanen,,,5746831161,56,Back,5746831315,233,18,5746831163,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818304189,18,44,1,2,37,3ptum5fjcgw51mqui0gu6uuf4,0,54.4,22.2,2025-05-24T16:03:51.397Z,2025-05-24T16:51:13Z,f5f9sfvtizyppg8kqtmp9y3ca,T. Olawale,,,5746831121,286,,5746831367,233,36,5746831119,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818304215,37,1,1,2,37,303582z192rnbr2x28o2t7u38,0,45.8,76.0,2025-05-24T16:03:52.122Z,2025-05-24T16:03:52Z,18p445rm69t2xc13vggv5oueh,V. Tikkanen,,,5746831257,140,46.6,5746831261,212,0.9,5746831253,3,,5746831263,213,5.97,5746831259,141,75.6,5746831255,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818304219,19,61,1,2,38,3ptum5fjcgw51mqui0gu6uuf4,1,54.5,21.0,2025-05-24T16:03:52.639Z,2025-05-24T16:03:53Z,f5f9sfvtizyppg8kqtmp9y3ca,T. Olawale,,,5746831291,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818305309,55,44,1,2,39,303582z192rnbr2x28o2t7u38,1,39.0,77.6,2025-05-24T16:03:53.875Z,2025-05-24T16:04:56Z,9fpgvc2avj64hiii3wd6w74k,K. Simojoki,,,5746837305,233,20,5746837289,285,,5746837287,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818304243,20,44,1,2,39,3ptum5fjcgw51mqui0gu6uuf4,0,61.0,22.4,2025-05-24T16:03:53.876Z,2025-05-24T16:04:56Z,1iyf79yql5sm8m6i8nwxntsve,Hugo Cardoso,,,5746831419,56,Center,5746834647,286,,5746837325,233,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818304283,38,1,1,2,40,303582z192rnbr2x28o2t7u38,0,36.6,73.0,2025-05-24T16:03:54.345Z,2025-05-24T16:27:50Z,9fpgvc2avj64hiii3wd6w74k,K. Simojoki,,,5746831667,141,69.9,5746831661,56,Back,5746831671,212,5.6,5746831657,3,,5746831665,140,41.5,5746831675,213,5.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818326627,197,61,1,2,40,3ptum5fjcgw51mqui0gu6uuf4,1,59.4,34.6,2025-05-24T16:03:54.577Z,2025-05-24T16:27:43Z,f5f9sfvtizyppg8kqtmp9y3ca,T. Olawale,,,5746959793,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818304291,21,83,1,2,40,3ptum5fjcgw51mqui0gu6uuf4,0,56.8,30.3,2025-05-24T16:03:55.117Z,2025-05-24T16:27:58Z,36gi7l0qvkbru5w6v2nym00ve,E. Patut,,,5746831995,399,7198rz1vtgazkeytaltke2noq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
