id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/9/value,qualifier/10/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId
2813496199,4,61,1,0,13,7efqk7uh63928il0yffxijnv7,1,6.4,75.6,2025-05-11T13:00:57.596Z,2025-05-11T13:01:09Z,dtdqh03syykiv1cjstn2lhkvd,J. Myrevik,,,5720169435,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813496215,5,6,1,0,14,7efqk7uh63928il0yffxijnv7,0,1.0,74.6,2025-05-11T13:00:58.182Z,2025-05-11T13:44:59Z,dtdqh03syykiv1cjstn2lhkvd,J. Myrevik,,,5720169669,233,8,5720170887,75,,5720169525,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813496217,8,6,1,0,14,303582z192rnbr2x28o2t7u38,1,99.0,25.4,2025-05-11T13:00:58.182Z,2025-05-11T13:01:02Z,8jb026oewf17pg61vdstcgj4l,T. Pukki,,,5720169645,75,,5720169643,56,Center,5720169659,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813496653,9,1,1,0,40,303582z192rnbr2x28o2t7u38,0,99.5,0.5,2025-05-11T13:01:24.695Z,2025-05-11T13:01:26Z,4cooeu9zahategmvpj3zdr6xh,S. Hostikka,,,5720171811,2,,5720171825,212,28.9,5720171827,213,1.77,5720171823,141,42.2,5720171813,6,,5720171819,56,Center,5720171821,140,94.1,5720171817,224,,5720171815,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813496693,6,12,1,0,43,7efqk7uh63928il0yffxijnv7,1,3.0,60.6,2025-05-11T13:01:27.860Z,2025-05-11T13:01:31Z,7e8irrii6ddjjaex00kq8cand,A. Vidjeskog,,,5720172045,167,,5720171987,213,0.78,5720171985,212,39.2,5720171983,141,100.0,5720171979,56,Back,5720171981,140,29.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813496699,7,5,1,0,45,7efqk7uh63928il0yffxijnv7,0,28.4,101.6,2025-05-11T13:01:29.664Z,2025-05-11T13:01:34Z,7e8irrii6ddjjaex00kq8cand,A. Vidjeskog,,,5720172127,233,10,5720172001,56,Back,5720172003,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813496713,10,5,1,0,45,303582z192rnbr2x28o2t7u38,1,71.6,-1.6,2025-05-11T13:01:29.664Z,2025-05-11T13:44:23Z,4cooeu9zahategmvpj3zdr6xh,S. Hostikka,,,5720172109,233,7,5720172091,56,Right,5720172093,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813496827,11,1,1,0,55,303582z192rnbr2x28o2t7u38,1,73.8,0.0,2025-05-11T13:01:39.799Z,2025-05-11T13:01:42Z,19xsgxk4g4gf1ickmbc92uzu,M. Ylitolva,,,5720172691,107,,5720172693,56,Right,5720172695,140,84.6,5720172701,213,0.51,5720172697,141,7.4,5720172699,212,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813496843,12,1,1,0,58,303582z192rnbr2x28o2t7u38,1,84.6,7.4,2025-05-11T13:01:42.069Z,2025-05-11T13:01:43Z,eswp4t4r8ktirsnkodz26gyui,B. Michel,,,5720172767,140,75.6,5720172765,56,Right,5720172769,141,4.7,5720172771,212,9.6,5720172773,213,3.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813496867,13,1,1,0,59,303582z192rnbr2x28o2t7u38,1,75.6,4.7,2025-05-11T13:01:43.190Z,2025-05-11T13:01:45Z,19xsgxk4g4gf1ickmbc92uzu,M. Ylitolva,,,5720172915,140,80.5,5720172919,141,11.9,5720172923,212,7.1,5720172927,213,0.76,5720172913,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813496875,14,1,1,1,1,303582z192rnbr2x28o2t7u38,0,82.1,12.6,2025-05-11T13:01:45.062Z,2025-05-11T13:01:45Z,bas4d4drvf8kefls9tszu0oic,P. Mentu,,,5720172953,140,89.0,5720172949,56,Right,5720172963,213,0.30,5720172959,212,7.6,5720172957,141,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813496891,8,61,1,1,2,7efqk7uh63928il0yffxijnv7,1,13.3,81.4,2025-05-11T13:01:46.487Z,2025-05-11T13:01:46Z,6iaszy97sphbfkhfxdwd93g15,M. Ogungbaro,,,5720173039,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813496945,9,1,1,1,3,7efqk7uh63928il0yffxijnv7,1,20.1,78.1,2025-05-11T13:01:47.550Z,2025-05-11T13:01:49Z,7x14tbg2brvxi5g9jdbovp8gk,A. Björkskog,,,5720173265,213,0.49,5720173257,56,Back,5720173259,140,33.7,5720173263,212,16.2,5720173261,141,89.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813497029,11,1,1,1,7,7efqk7uh63928il0yffxijnv7,1,51.5,87.5,2025-05-11T13:01:51.308Z,2025-05-11T13:01:53Z,4y7niu1b8drpeccb84s2e9wwl,S. Eremenko,,,5720173639,213,5.21,5720173635,141,70.6,5720173637,212,13.1,5720173633,140,57.4,5720173631,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813497033,12,61,1,1,9,7efqk7uh63928il0yffxijnv7,0,58.6,67.0,2025-05-11T13:01:53.837Z,2025-05-11T13:01:54Z,a3elaln9izarzlwqkwc4ynpey,K. Cissoko,,,5720173657,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813497125,16,1,1,1,13,303582z192rnbr2x28o2t7u38,1,19.6,63.6,2025-05-11T13:01:57.942Z,2025-05-11T13:01:59Z,9fpgvc2avj64hiii3wd6w74k,K. Simojoki,,,5720174139,56,Back,5720174151,212,11.8,5720174147,141,56.1,5720174143,140,9.5,5720174155,213,3.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813497175,17,1,1,1,15,303582z192rnbr2x28o2t7u38,0,9.5,56.1,2025-05-11T13:01:59.127Z,2025-05-11T13:02:02Z,ebqj8v33xv3otev2pycc6xomh,T. Nijhuis,,,5720174375,213,5.69,5720174377,1,,5720174365,157,,5720174367,56,Back,5720174373,212,32.6,5720174369,140,35.2,5720174371,141,29.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813497251,13,1,1,1,18,7efqk7uh63928il0yffxijnv7,1,73.2,70.6,2025-05-11T13:02:02.669Z,2025-05-11T13:02:06Z,4y7niu1b8drpeccb84s2e9wwl,S. Eremenko,,,5720174757,141,61.2,5720174755,140,82.3,5720174759,212,11.5,5720174761,213,5.69,5720174753,56,Center,5720174751,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813497257,14,50,1,1,22,7efqk7uh63928il0yffxijnv7,1,75.2,63.3,2025-05-11T13:02:06.830Z,2025-05-11T13:44:49Z,a3elaln9izarzlwqkwc4ynpey,K. Cissoko,,,5720174793,56,Center,5720174995,233,18,5720174795,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813497279,18,7,1,1,22,303582z192rnbr2x28o2t7u38,1,24.8,36.7,2025-05-11T13:02:06.831Z,2025-05-11T13:44:49Z,4aoegh7yokqb5ix45ruvqjalm,J. Kallinen,,,5720174907,56,Back,5720174955,233,14,5720174909,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813497339,20,4,1,1,25,303582z192rnbr2x28o2t7u38,1,29.4,43.2,2025-05-11T13:02:09.414Z,2025-05-11T13:44:45Z,4aoegh7yokqb5ix45ruvqjalm,J. Kallinen,,,5720175257,265,,5720175255,152,,5720175259,285,,5720175253,56,Back,5720175317,233,15,5720175251,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813497347,15,4,1,1,25,7efqk7uh63928il0yffxijnv7,0,70.6,56.8,2025-05-11T13:02:09.415Z,2025-05-11T13:02:15Z,7e8irrii6ddjjaex00kq8cand,A. Vidjeskog,,,5720175331,233,20,5720175293,56,Center,5720175291,13,,5720175295,152,,5720175297,265,,5720175299,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813497609,21,1,1,1,39,303582z192rnbr2x28o2t7u38,1,27.9,25.5,2025-05-11T13:02:23.206Z,2025-05-11T13:02:28Z,95h8ci71qugckn045d3rumlm1,G. Antzoulas,,,5720176595,56,Back,5720176603,213,1.76,5720176597,140,25.9,5720176599,141,41.5,5720176593,152,,5720176601,212,11.1,5720176591,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813497639,22,1,1,1,44,303582z192rnbr2x28o2t7u38,0,35.3,57.3,2025-05-11T13:02:28.758Z,2025-05-11T13:02:31Z,18p445rm69t2xc13vggv5oueh,V. Tikkanen,,,5720176791,212,35.5,5720176783,155,,5720176795,1,,5720176789,141,68.8,5720176785,56,Center,5720176793,213,0.22,5720176787,140,68.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813497677,16,44,1,1,46,7efqk7uh63928il0yffxijnv7,1,31.6,26.4,2025-05-11T13:02:30.854Z,2025-05-11T14:12:46Z,dcv2hunon4wgijgt4kljtqxg5,J. Brunell,,,5720176921,285,,5720176919,56,Back,5720176941,233,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813497649,23,44,1,1,46,303582z192rnbr2x28o2t7u38,0,68.4,73.6,2025-05-11T13:02:30.855Z,2025-05-11T14:12:46Z,4cooeu9zahategmvpj3zdr6xh,S. Hostikka,,,5720176823,56,Center,5720176959,233,16,5720176825,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813497709,17,12,1,1,47,7efqk7uh63928il0yffxijnv7,1,31.4,18.2,2025-05-11T13:02:31.172Z,2025-05-11T13:03:09Z,dcv2hunon4wgijgt4kljtqxg5,J. Brunell,,,5720177027,141,0.0,5720177031,213,5.33,5720177029,212,16.7,5720177075,15,,5720177133,167,,5720177023,140,40.6,5720177019,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813497721,18,5,1,1,48,7efqk7uh63928il0yffxijnv7,0,39.2,-1.7,2025-05-11T13:02:32.534Z,2025-05-11T13:44:24Z,3cmp95fpjtqoc5njb5p7c9g8a,E. Gunnarsson,,,5720177085,56,Back,5720177087,347,,5720177149,233,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813497691,24,5,1,1,48,303582z192rnbr2x28o2t7u38,1,60.8,101.7,2025-05-11T13:02:32.534Z,2025-05-11T13:44:24Z,4cooeu9zahategmvpj3zdr6xh,S. Hostikka,,,5720176979,56,Left,5720177111,233,18,5720176981,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813497939,25,1,1,2,1,303582z192rnbr2x28o2t7u38,1,53.5,100.0,2025-05-11T13:02:45.046Z,2025-05-11T13:02:48Z,9fpgvc2avj64hiii3wd6w74k,K. Simojoki,,,5720178201,213,4.56,5720178193,56,Left,5720178191,107,,5720178195,140,51.9,5720178197,141,85.7,5720178199,212,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813497961,26,1,1,2,4,303582z192rnbr2x28o2t7u38,1,51.9,85.7,2025-05-11T13:02:48.342Z,2025-05-11T13:02:49Z,5j2hy92q8f17nppznxrp8kxxx,A. Ring,,,5720178311,212,24.3,5720178305,56,Center,5720178307,140,72.4,5720178313,213,5.80,5720178309,141,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813497973,27,1,1,2,5,303582z192rnbr2x28o2t7u38,0,72.4,69.0,2025-05-11T13:02:49.430Z,2025-05-11T13:02:51Z,8jb026oewf17pg61vdstcgj4l,T. Pukki,,,5720178377,141,82.0,5720178375,140,69.1,5720178411,156,,5720178379,212,9.5,5720178373,56,Left,5720178381,213,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813498029,19,8,1,2,8,7efqk7uh63928il0yffxijnv7,1,27.8,17.9,2025-05-11T13:02:52.669Z,2025-05-11T13:02:52Z,7e8irrii6ddjjaex00kq8cand,A. Vidjeskog,,,5720178635,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813498083,20,1,1,2,10,7efqk7uh63928il0yffxijnv7,1,24.3,14.9,2025-05-11T13:02:54.077Z,2025-05-11T13:02:56Z,npha09mhy3755go8t6lg3ey2,A. Bjonbäck,,,5720178973,1,,5720178961,157,,5720178969,212,25.5,5720178971,213,0.21,5720178967,141,22.8,5720178965,140,48.0,5720178963,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813498121,21,1,1,2,12,7efqk7uh63928il0yffxijnv7,1,48.0,22.8,2025-05-11T13:02:56.205Z,2025-05-11T13:02:57Z,a3elaln9izarzlwqkwc4ynpey,K. Cissoko,,,5720179189,140,53.3,5720179191,141,36.1,5720179185,3,,5720179187,56,Center,5720179193,212,10.6,5720179195,213,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813498149,22,1,1,2,13,7efqk7uh63928il0yffxijnv7,0,53.3,36.1,2025-05-11T13:02:57.501Z,2025-05-11T13:02:59Z,4y7niu1b8drpeccb84s2e9wwl,S. Eremenko,,,5720179373,56,Center,5720179381,213,6.23,5720179379,212,22.2,5720179377,141,34.3,5720179375,140,74.4,5720179371,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813498203,28,1,1,2,16,303582z192rnbr2x28o2t7u38,1,20.3,66.7,2025-05-11T13:03:00.583Z,2025-05-11T13:03:02Z,9fpgvc2avj64hiii3wd6w74k,K. Simojoki,,,5720179631,141,59.4,5720179629,140,4.6,5720179633,212,17.2,5720179627,56,Back,5720179635,213,3.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813498257,29,12,1,2,17,303582z192rnbr2x28o2t7u38,1,4.6,59.4,2025-05-11T13:03:02.007Z,2025-05-11T13:11:55Z,ebqj8v33xv3otev2pycc6xomh,T. Nijhuis,,,5720236441,167,,5720179883,141,100.0,5720179881,140,15.9,5720179885,212,31.3,5720179887,213,1.18,5720179879,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813498561,24,5,1,2,21,7efqk7uh63928il0yffxijnv7,1,85.2,-1.4,2025-05-11T13:03:05.310Z,2025-05-11T13:44:24Z,4y7niu1b8drpeccb84s2e9wwl,S. Eremenko,,,5720181483,347,,5720181481,56,Right,5720181703,233,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813498267,30,5,1,2,21,303582z192rnbr2x28o2t7u38,0,14.8,101.4,2025-05-11T13:03:05.310Z,2025-05-11T13:44:25Z,ebqj8v33xv3otev2pycc6xomh,T. Nijhuis,,,5720181715,233,24,5720179935,347,,5720179933,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813498661,25,1,1,2,42,7efqk7uh63928il0yffxijnv7,0,85.5,0.0,2025-05-11T13:03:26.621Z,2025-05-11T13:03:29Z,4y7niu1b8drpeccb84s2e9wwl,S. Eremenko,,,5720182003,56,Center,5720182011,213,1.38,5720182005,140,90.6,5720181999,107,,5720182007,141,40.6,5720182009,212,28.8,5720182013,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813498685,31,12,1,2,45,303582z192rnbr2x28o2t7u38,1,11.6,60.3,2025-05-11T13:03:29.271Z,2025-05-11T13:03:30Z,18p445rm69t2xc13vggv5oueh,V. Tikkanen,,,5720182143,212,12.5,5720182141,141,59.0,5720182145,213,6.21,5720182137,56,Back,5720182161,15,,5720182139,140,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813498729,32,12,1,2,47,303582z192rnbr2x28o2t7u38,1,23.5,59.0,2025-05-11T13:03:31.110Z,2025-05-11T13:03:32Z,bas4d4drvf8kefls9tszu0oic,P. Mentu,,,5720182371,15,,5720182349,141,50.4,5720182351,212,13.3,5720182353,213,5.83,5720182347,140,34.9,5720182345,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813498839,26,1,1,2,52,7efqk7uh63928il0yffxijnv7,1,59.8,70.0,2025-05-11T13:03:36.125Z,2025-05-11T13:03:38Z,80115v2kkgjym3ubywmkz654a,M. Kusu,,,5720182807,56,Center,5720182811,141,78.8,5720182809,140,66.8,5720182819,213,0.68,5720182815,212,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813498877,27,3,1,2,53,7efqk7uh63928il0yffxijnv7,1,71.4,81.4,2025-05-11T13:03:37.918Z,2025-05-11T13:44:54Z,npha09mhy3755go8t6lg3ey2,A. Bjonbäck,,,5720183043,56,Left,5720183045,286,,5720183085,233,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813498855,33,45,1,2,53,303582z192rnbr2x28o2t7u38,0,28.6,18.6,2025-05-11T13:03:37.918Z,2025-05-11T13:44:54Z,19xsgxk4g4gf1ickmbc92uzu,M. Ylitolva,,,5720183105,233,27,5720182927,285,,5720182925,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813498905,28,1,1,2,55,7efqk7uh63928il0yffxijnv7,0,85.1,81.8,2025-05-11T13:03:39.709Z,2025-05-11T13:03:56Z,npha09mhy3755go8t6lg3ey2,A. Bjonbäck,,,5720183147,2,,5720183151,56,Center,5720183153,140,90.5,5720183157,212,15.7,5720183155,141,60.3,5720183159,213,5.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813498915,34,12,1,2,57,303582z192rnbr2x28o2t7u38,1,7.4,44.6,2025-05-11T13:03:41.674Z,2025-05-11T13:12:51Z,95h8ci71qugckn045d3rumlm1,G. Antzoulas,,,5720242675,212,29.4,5720242677,213,4.98,5720183199,56,Back,5720242673,141,2.9,5720242671,140,14.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
