id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/13/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2815710545,17,1,1,1,0,2rdnn9p03qrmmv34tyx1nahpa,1,65.7,74.5,2025-05-17T14:02:13.981Z,2025-05-17T14:02:15Z,6yreepfqr0qh9o2mlglzkri6t,R. Riski,,,5732518509,141,62.7,5732518511,212,9.2,5732518513,213,4.20,5732518507,140,61.4,5732518505,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815710555,18,1,1,1,2,2rdnn9p03qrmmv34tyx1nahpa,1,61.4,62.7,2025-05-17T14:02:15.373Z,2025-05-17T14:02:16Z,8r3xgvgtysw3a026rrhebyxre,M. Stjopin,,,5732518541,140,57.8,5732518543,141,50.9,5732518539,56,Center,5732518545,212,8.9,5732518547,213,4.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815710619,19,1,1,1,3,2rdnn9p03qrmmv34tyx1nahpa,1,57.7,50.6,2025-05-17T14:02:16.301Z,2025-05-17T14:02:21Z,74od0bd25ox7cv2sfmebf72s5,A. Popovitš,,,5732518785,213,5.43,5732518779,140,76.4,5732518783,212,29.8,5732518781,141,17.7,5732518777,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815710643,20,1,1,1,8,2rdnn9p03qrmmv34tyx1nahpa,1,77.1,26.8,2025-05-17T14:02:21.325Z,2025-05-17T14:02:22Z,7hr8mxix88otsvgitsv184g0k,M. Söderbäck,,,5732518901,212,6.4,5732518899,141,33.4,5732518895,56,Center,5732518897,140,72.7,5732518903,213,2.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815710659,21,1,1,1,9,2rdnn9p03qrmmv34tyx1nahpa,1,72.7,33.4,2025-05-17T14:02:22.798Z,2025-05-17T14:02:25Z,a30y638aa4uo6vudqgrcjvpat,J. Veteli,,,5732519007,140,72.6,5732519013,213,4.70,5732519005,56,Center,5732519011,212,7.6,5732519009,141,22.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815710669,22,1,1,1,11,2rdnn9p03qrmmv34tyx1nahpa,1,75.5,22.4,2025-05-17T14:02:24.958Z,2025-05-17T14:02:26Z,74od0bd25ox7cv2sfmebf72s5,A. Popovitš,,,5732519061,212,8.5,5732519057,140,70.0,5732519055,56,Center,5732519063,213,2.32,5732519059,141,31.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815710675,23,1,1,1,13,2rdnn9p03qrmmv34tyx1nahpa,0,70.0,31.9,2025-05-17T14:02:26.190Z,2025-05-17T14:02:27Z,a30y638aa4uo6vudqgrcjvpat,J. Veteli,,,5732519079,141,36.4,5732519083,213,0.39,5732519081,212,8.0,5732519075,56,Center,5732519077,140,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815710695,13,8,1,1,15,8eab5wbcnttsiosd1o8c71gmk,1,40.5,67.5,2025-05-17T14:02:28.853Z,2025-05-17T14:02:29Z,dlxtr9p8d7k733qhpq9qyydey,J. Yli-Kokko,,,5732519155,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815710713,15,43,1,1,16,8eab5wbcnttsiosd1o8c71gmk,1,0.0,0.0,2025-05-17T14:02:29.517Z,2025-05-17T14:15:38Z,5fvzbq3mstt7eatkjpodbvpm2,J. Botué,,,5732519373,286,0,5732519241,56,Back,5732578355,144,50,5732519319,233,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815710727,24,1,1,1,16,2rdnn9p03qrmmv34tyx1nahpa,1,63.7,45.4,2025-05-17T14:02:29.518Z,2025-05-17T14:15:42Z,a30y638aa4uo6vudqgrcjvpat,J. Veteli,,,5732578637,140,69.8,5732578641,212,9.6,5732519299,56,Center,5732578643,213,0.84,5732578639,141,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815710757,25,1,1,1,21,2rdnn9p03qrmmv34tyx1nahpa,0,71.7,56.3,2025-05-17T14:02:34.254Z,2025-05-17T14:02:35Z,87xd8a3n7mtk57za6pcc5l5n9,L. Ala-Myllymäki,,,5732519511,212,16.5,5732519509,141,66.1,5732519513,213,0.42,5732519507,140,86.1,5732519505,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815710775,16,1,1,1,22,8eab5wbcnttsiosd1o8c71gmk,1,10.3,29.7,2025-05-17T14:02:35.950Z,2025-05-17T14:02:37Z,a9234jafv17dcvbu54expih91,A. Granlund,,,5732519573,140,4.3,5732519579,213,2.21,5732519577,212,10.5,5732519575,141,42.1,5732519571,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815710789,17,1,1,1,24,8eab5wbcnttsiosd1o8c71gmk,0,4.3,42.1,2025-05-17T14:02:37.543Z,2025-05-17T14:02:39Z,7oxxp38dxp40lby1kwg4xpn56,E. Huuhtanen,,,5732519649,141,53.7,5732519643,157,,5732519653,213,0.15,5732519651,212,52.6,5732519655,1,,5732519647,140,53.8,5732519645,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815710815,26,1,1,1,27,2rdnn9p03qrmmv34tyx1nahpa,1,43.0,49.0,2025-05-17T14:02:40.685Z,2025-05-17T14:02:45Z,bt9canh10jbb5pms11dzi1j2t,A. Mäenpää,,,5732519809,212,12.3,5732519811,213,1.96,5732519803,56,Back,5732519961,3,,5732519805,140,38.6,5732519807,141,65.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815710869,28,1,1,1,33,2rdnn9p03qrmmv34tyx1nahpa,1,38.6,65.8,2025-05-17T14:02:46.526Z,2025-05-17T14:02:47Z,1vt9w739g9cui1qrjhld5jgt1,S. Väisänen,,,5732520035,140,41.2,5732520041,212,11.0,5732520031,56,Back,5732520043,213,1.32,5732520039,141,81.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815710887,29,1,1,1,34,2rdnn9p03qrmmv34tyx1nahpa,1,41.2,81.4,2025-05-17T14:02:47.454Z,2025-05-17T14:02:48Z,cpxcd9wihjrac0ttpvfzv5kkq,M. Rale,,,5732520081,56,Back,5732520089,213,3.85,5732520085,141,71.8,5732520087,212,10.1,5732520083,140,33.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815710923,30,1,1,1,35,2rdnn9p03qrmmv34tyx1nahpa,1,33.9,71.8,2025-05-17T14:02:48.462Z,2025-05-17T14:02:52Z,1vt9w739g9cui1qrjhld5jgt1,S. Väisänen,,,5732520215,140,15.9,5732520217,141,51.5,5732520213,56,Back,5732520221,213,3.77,5732520219,212,23.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815710973,31,1,1,1,39,2rdnn9p03qrmmv34tyx1nahpa,0,13.4,47.5,2025-05-17T14:02:52.271Z,2025-05-17T14:02:57Z,5h0xmzqj69qpakvv8b3gfin6d,O. Virtanen,,,5732520483,213,6.12,5732520473,157,,5732520479,141,33.4,5732520477,140,70.6,5732520475,56,Center,5732520481,212,60.8,5732520485,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815710977,32,44,1,1,43,2rdnn9p03qrmmv34tyx1nahpa,1,64.2,25.2,2025-05-17T14:02:56.431Z,2025-05-17T16:06:08Z,7hr8mxix88otsvgitsv184g0k,M. Söderbäck,,,5732520499,286,,5732520497,56,Center,5732522239,233,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815710985,18,44,1,1,43,8eab5wbcnttsiosd1o8c71gmk,0,35.8,74.8,2025-05-17T14:02:56.432Z,2025-05-17T16:06:08Z,2fw3pz0v22kdbiognam8zsvoq,L. Kuittinen,,,5732520527,285,,5732520525,56,Back,5732522243,233,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815711313,34,61,1,1,44,2rdnn9p03qrmmv34tyx1nahpa,0,62.6,26.8,2025-05-17T14:02:57.079Z,2025-05-17T14:16:58Z,7hr8mxix88otsvgitsv184g0k,M. Söderbäck,,,5732521965,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815711015,19,1,1,1,45,8eab5wbcnttsiosd1o8c71gmk,1,38.4,76.9,2025-05-17T14:02:58.421Z,2025-05-17T14:03:00Z,2fw3pz0v22kdbiognam8zsvoq,L. Kuittinen,,,5732520649,140,56.3,5732520653,212,20.6,5732520657,1,,5732520655,213,5.86,5732520651,141,64.6,5732520647,56,Center,5732520645,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815711019,20,1,1,1,47,8eab5wbcnttsiosd1o8c71gmk,1,56.3,64.6,2025-05-17T14:03:00.549Z,2025-05-17T14:03:02Z,c1f7vp2u7fndbs1q67yhze1hw,A. Kouame,,,5732520669,213,4.03,5732520661,56,Back,5732520701,156,,5732520663,140,45.4,5732520665,141,43.7,5732520667,212,18.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815711141,22,1,1,1,49,8eab5wbcnttsiosd1o8c71gmk,1,45.4,43.7,2025-05-17T14:03:02.646Z,2025-05-17T14:03:14Z,dlxtr9p8d7k733qhpq9qyydey,J. Yli-Kokko,,,5732521267,56,Right,5732521273,212,42.6,5732521275,213,5.57,5732521277,1,,5732521271,141,2.9,5732521269,140,76.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815711153,23,61,1,2,0,8eab5wbcnttsiosd1o8c71gmk,0,95.8,23.9,2025-05-17T14:03:13.973Z,2025-05-17T14:03:14Z,bwn0e8pjrikjcpold20o2os2c,A. Essomba,,,5732521299,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815711161,24,5,1,2,1,8eab5wbcnttsiosd1o8c71gmk,0,101.4,32.2,2025-05-17T14:03:14.787Z,2025-05-17T14:03:17Z,bwn0e8pjrikjcpold20o2os2c,A. Essomba,,,5732521353,346,,5732521351,56,Center,5732521389,233,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
