id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/9/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/17/value
2815728553,159,1,1,0,5,8sy0cxovuxo76tuoas3uo55xj,0,51.7,74.2,2025-05-17T14:00:25.125Z,2025-05-17T14:24:49Z,c538ewmcaz4z73gcftzedbob9,A. Tanaka,,,5732609237,56,Center,5732609245,212,26.8,5732609243,141,76.3,5732609241,140,77.2,5732609247,213,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815728551,248,4,1,0,6,303582z192rnbr2x28o2t7u38,1,24.4,20.5,2025-05-17T14:00:25.467Z,2025-05-17T14:52:33Z,95h8ci71qugckn045d3rumlm1,G. Antzoulas,,,5732610641,265,,5732613797,233,194,5732610639,152,,5732610643,285,,5732610503,56,Back,5732610637,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815730721,194,4,1,0,6,8sy0cxovuxo76tuoas3uo55xj,0,75.6,79.5,2025-05-17T14:00:25.468Z,2025-05-17T14:52:34Z,1nww1pe0ouxnuwt8q9zy4xrmc,A. Seck,,,5732613763,265,,5732613759,56,Left,5732613765,286,,5732613761,152,,5732613827,233,248,5732613757,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815709235,4,1,1,0,10,303582z192rnbr2x28o2t7u38,1,27.9,21.5,2025-05-17T14:00:29.729Z,2025-05-17T14:27:42Z,8jb026oewf17pg61vdstcgj4l,T. Pukki,,,5732615807,152,,5732615795,213,1.48,5732615791,141,74.8,5732615805,5,,5732512947,56,Back,5732615797,1,,5732615789,140,31.1,5732615793,212,36.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815709249,4,43,1,0,16,8sy0cxovuxo76tuoas3uo55xj,1,0.0,0.0,2025-05-17T14:00:35.670Z,2025-05-17T14:27:27Z,8igk37zt3ixjxdtr1t9kwfnit,T. Manga,,,5732513047,213,0.15,5732513029,56,Center,5732513041,212,20.1,5732615259,144,1,5732513037,141,72.9,5732513033,140,59.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815709407,5,1,1,0,17,303582z192rnbr2x28o2t7u38,1,21.5,85.0,2025-05-17T14:00:36.606Z,2025-05-17T14:00:40Z,9fpgvc2avj64hiii3wd6w74k,K. Simojoki,,,5732513763,212,18.5,5732513765,213,4.87,5732513761,141,58.1,5732513759,140,24.2,5732513757,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815709409,6,1,1,0,20,303582z192rnbr2x28o2t7u38,0,26.7,54.2,2025-05-17T14:00:40.310Z,2025-05-17T14:00:41Z,18p445rm69t2xc13vggv5oueh,V. Tikkanen,,,5732513789,212,16.4,5732513791,213,5.46,5732513787,141,36.4,5732513783,56,Back,5732513785,140,37.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815709421,5,8,1,0,22,8sy0cxovuxo76tuoas3uo55xj,1,60.2,65.1,2025-05-17T14:00:41.639Z,2025-05-17T14:00:41Z,1nww1pe0ouxnuwt8q9zy4xrmc,A. Seck,,,5732513849,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815709467,7,1,1,0,23,8sy0cxovuxo76tuoas3uo55xj,0,59.9,61.5,2025-05-17T14:00:43.238Z,2025-05-17T14:30:10Z,c538ewmcaz4z73gcftzedbob9,A. Tanaka,,,5732513999,56,Center,5732514003,141,54.2,5732514005,212,5.8,5732514001,140,62.8,5732514007,213,5.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815709531,7,83,1,0,24,303582z192rnbr2x28o2t7u38,1,28.5,40.9,2025-05-17T14:00:43.531Z,2025-05-17T14:30:12Z,7198rz1vtgazkeytaltke2noq,G. Kanellopoulos,,,5732620681,399,1ds8j4s1h4fydkkhl9qe9l5yi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815731869,203,61,1,0,24,8sy0cxovuxo76tuoas3uo55xj,0,62.0,25.4,2025-05-17T14:00:44.193Z,2025-05-17T14:30:14Z,1ds8j4s1h4fydkkhl9qe9l5yi,C. Edlund,,,5732620559,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815732589,327,1,1,0,25,303582z192rnbr2x28o2t7u38,1,34.6,50.1,2025-05-17T14:00:44.792Z,2025-05-17T14:31:02Z,7198rz1vtgazkeytaltke2noq,G. Kanellopoulos,,,5732625627,140,26.1,5732625633,213,3.19,5732625629,141,49.5,5732625625,56,Back,5732625631,212,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815732591,328,1,1,0,27,303582z192rnbr2x28o2t7u38,1,30.2,45.0,2025-05-17T14:00:47.105Z,2025-05-17T14:31:17Z,18p445rm69t2xc13vggv5oueh,V. Tikkanen,,,5732626315,56,Back,5732626323,213,5.19,5732626319,141,37.2,5732626321,212,6.0,5732626317,140,32.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815709561,8,1,1,0,30,303582z192rnbr2x28o2t7u38,1,33.2,32.4,2025-05-17T14:00:49.983Z,2025-05-17T14:00:52Z,eswp4t4r8ktirsnkodz26gyui,B. Michel,,,5732514389,140,13.6,5732514393,212,20.9,5732514387,56,Back,5732514395,213,3.31,5732514391,141,27.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815709571,9,43,1,0,32,303582z192rnbr2x28o2t7u38,1,0.0,0.0,2025-05-17T14:00:51.936Z,2025-05-17T14:31:26Z,95h8ci71qugckn045d3rumlm1,G. Antzoulas,,,5732626619,144,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815709625,10,1,1,0,33,303582z192rnbr2x28o2t7u38,1,13.3,25.0,2025-05-17T14:00:52.498Z,2025-05-17T14:00:55Z,95h8ci71qugckn045d3rumlm1,G. Antzoulas,,,5732514619,140,3.0,5732514625,213,2.11,5732514617,56,Back,5732514623,212,21.1,5732514621,141,51.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815709639,11,1,1,0,35,303582z192rnbr2x28o2t7u38,1,3.0,51.6,2025-05-17T14:00:55.201Z,2025-05-17T14:00:57Z,ebqj8v33xv3otev2pycc6xomh,T. Nijhuis,,,5732514693,212,22.4,5732514689,140,8.8,5732514687,56,Back,5732514695,213,1.30,5732514691,141,83.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815709717,12,1,1,0,37,303582z192rnbr2x28o2t7u38,1,9.1,83.5,2025-05-17T14:00:57.294Z,2025-05-17T14:01:03Z,9fpgvc2avj64hiii3wd6w74k,K. Simojoki,,,5732515003,140,46.1,5732515007,212,40.6,5732515011,1,,5732515005,141,66.3,5732514999,155,,5732515001,56,Back,5732515009,213,5.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815709735,13,1,1,0,43,303582z192rnbr2x28o2t7u38,1,44.2,68.5,2025-05-17T14:01:03.434Z,2025-05-17T14:32:17Z,8jb026oewf17pg61vdstcgj4l,T. Pukki,,,5732515083,56,Back,5732515087,141,59.6,5732515091,213,3.69,5732515085,140,34.7,5732628163,156,,5732515089,212,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815709761,14,1,1,0,44,303582z192rnbr2x28o2t7u38,1,34.7,59.6,2025-05-17T14:01:04.434Z,2025-05-17T14:01:06Z,7198rz1vtgazkeytaltke2noq,G. Kanellopoulos,,,5732515211,213,5.93,5732515207,141,49.4,5732515203,56,Center,5732515209,212,19.9,5732515205,140,52.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815709795,15,1,1,0,46,303582z192rnbr2x28o2t7u38,1,52.3,49.4,2025-05-17T14:01:06.074Z,2025-05-17T14:32:35Z,5j2hy92q8f17nppznxrp8kxxx,A. Ring,,,5732515353,141,74.8,5732515357,213,0.45,5732515349,56,Center,5732515355,212,39.8,5732515351,140,86.5,5732515359,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815709861,16,1,1,0,50,303582z192rnbr2x28o2t7u38,1,85.5,84.8,2025-05-17T14:01:09.527Z,2025-05-17T14:33:07Z,eswp4t4r8ktirsnkodz26gyui,B. Michel,1.0,,5732515583,141,80.9,5732515585,212,5.2,5732515581,140,81.2,5732515579,56,Left,5732515587,213,3.67,5732516109,210,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815709865,17,13,1,0,54,303582z192rnbr2x28o2t7u38,1,80.8,75.7,2025-05-17T14:01:13.670Z,2025-05-17T14:33:07Z,4cooeu9zahategmvpj3zdr6xh,S. Hostikka,,,5732516117,29,,5732516131,231,49.1,5732516115,73,,5732515605,22,,5732515613,56,Center,5732515609,18,,5732516121,55,16,5732516125,102,63.5,5732516129,230,99.1,5732515863,20,5732516127,103,4.2,,,,,,,,,,,,,,,,,,,,,,,,
2815709903,8,5,1,0,55,8sy0cxovuxo76tuoas3uo55xj,1,-0.6,32.6,2025-05-17T14:01:15.091Z,2025-05-17T16:06:45Z,8igk37zt3ixjxdtr1t9kwfnit,T. Manga,,,5732515749,233,18,5732515723,56,Back,5732515725,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815709893,18,5,1,0,55,303582z192rnbr2x28o2t7u38,0,100.6,67.4,2025-05-17T14:01:15.091Z,2025-05-17T14:01:19Z,4cooeu9zahategmvpj3zdr6xh,S. Hostikka,,,5732515787,233,8,5732515703,346,,5732515701,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815710301,9,1,1,1,29,8sy0cxovuxo76tuoas3uo55xj,0,4.3,54.2,2025-05-17T14:01:48.489Z,2025-05-17T14:02:52Z,c5oixwvc8sk4fxliorsk7a311,J. Toivio,,,5732517401,124,,5732517405,140,41.1,5732517421,74,,5732517413,1,,5732517409,212,41.3,5732517403,56,Back,5732517407,141,75.6,5732517411,213,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815710295,19,44,1,1,30,303582z192rnbr2x28o2t7u38,1,56.6,18.4,2025-05-17T14:01:49.598Z,2025-05-17T14:52:51Z,95h8ci71qugckn045d3rumlm1,G. Antzoulas,,,5732517381,56,Right,5732517383,286,,5732517489,233,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815710305,10,44,1,1,30,8sy0cxovuxo76tuoas3uo55xj,0,43.4,81.6,2025-05-17T14:01:49.599Z,2025-05-17T14:52:51Z,1nww1pe0ouxnuwt8q9zy4xrmc,A. Seck,,,5732517431,285,,5732517501,233,19,5732517429,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815710307,20,1,1,1,30,303582z192rnbr2x28o2t7u38,0,54.2,10.4,2025-05-17T14:01:49.972Z,2025-05-17T14:01:50Z,95h8ci71qugckn045d3rumlm1,G. Antzoulas,,,5732517443,213,5.81,5732517433,3,,5732517437,140,69.7,5732517441,212,18.3,5732517439,141,0.0,5732517435,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815710319,11,5,1,1,30,8sy0cxovuxo76tuoas3uo55xj,1,33.0,102.0,2025-05-17T14:01:50.425Z,2025-05-17T16:06:45Z,1nww1pe0ouxnuwt8q9zy4xrmc,A. Seck,,,5732517511,56,Back,5732517513,347,,5732517517,233,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815710315,21,5,1,1,30,303582z192rnbr2x28o2t7u38,0,67.0,-2.0,2025-05-17T14:01:50.425Z,2025-05-17T14:01:54Z,95h8ci71qugckn045d3rumlm1,G. Antzoulas,,,5732517535,233,11,5732517479,347,,5732517477,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815710455,12,1,1,1,43,8sy0cxovuxo76tuoas3uo55xj,1,42.4,100.0,2025-05-17T14:02:03.192Z,2025-05-17T14:02:40Z,byudescfxvi1kxlpncbv0mymt,M. Sumusalo,,,5732518079,140,65.8,5732518081,141,89.4,5732518085,213,5.95,5732518075,107,,5732518089,1,,5732518083,212,26.0,5732518077,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815710461,13,1,1,1,47,8sy0cxovuxo76tuoas3uo55xj,0,65.8,89.4,2025-05-17T14:02:06.520Z,2025-05-17T14:02:07Z,btr893a8ljoe8av97ji8kwr11,A. Tarvonen,,,5732518109,140,62.2,5732518115,213,3.47,5732518113,212,4.0,5732518111,141,87.5,5732518159,156,,5732518107,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815710497,23,1,1,1,48,303582z192rnbr2x28o2t7u38,1,40.6,14.6,2025-05-17T14:02:08.230Z,2025-05-17T14:02:10Z,7mn880d3dieg0qb49tlzx1mfp,L. Lingman,,,5732518303,141,45.8,5732518307,213,2.48,5732518309,1,,5732518299,56,Back,5732518305,212,34.7,5732518301,140,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815710515,24,1,1,1,51,303582z192rnbr2x28o2t7u38,1,14.5,45.8,2025-05-17T14:02:10.785Z,2025-05-17T14:02:12Z,ebqj8v33xv3otev2pycc6xomh,T. Nijhuis,,,5732518357,212,8.9,5732518355,141,49.7,5732518351,56,Back,5732518353,140,22.6,5732518359,213,0.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815710539,25,1,1,1,53,303582z192rnbr2x28o2t7u38,1,22.8,49.7,2025-05-17T14:02:12.467Z,2025-05-17T14:02:14Z,18p445rm69t2xc13vggv5oueh,V. Tikkanen,,,5732518489,140,24.5,5732518493,212,22.0,5732518487,56,Back,5732518491,141,82.0,5732518495,213,1.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815710561,26,1,1,1,55,303582z192rnbr2x28o2t7u38,1,27.1,83.0,2025-05-17T14:02:14.620Z,2025-05-17T14:02:17Z,9fpgvc2avj64hiii3wd6w74k,K. Simojoki,,,5732518573,140,20.0,5732518577,212,13.8,5732518579,213,4.14,5732518575,141,66.0,5732518571,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815710591,27,1,1,1,57,303582z192rnbr2x28o2t7u38,1,21.2,66.1,2025-05-17T14:02:16.869Z,2025-05-17T14:02:19Z,18p445rm69t2xc13vggv5oueh,V. Tikkanen,,,5732518685,212,11.2,5732518683,141,59.1,5732518679,56,Back,5732518681,140,30.9,5732518687,213,5.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815710637,28,1,1,2,0,303582z192rnbr2x28o2t7u38,1,30.9,59.1,2025-05-17T14:02:19.556Z,2025-05-17T14:02:22Z,7mn880d3dieg0qb49tlzx1mfp,L. Lingman,,,5732518877,140,33.8,5732518873,56,Back,5732518883,213,1.43,5732518879,141,91.7,5732518881,212,22.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815710667,29,1,1,2,3,303582z192rnbr2x28o2t7u38,1,38.1,92.9,2025-05-17T14:02:22.617Z,2025-05-17T14:02:26Z,9fpgvc2avj64hiii3wd6w74k,K. Simojoki,,,5732519045,140,44.0,5732519049,212,7.0,5732519051,213,0.49,5732519043,56,Back,5732519047,141,97.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815710701,30,1,1,2,6,303582z192rnbr2x28o2t7u38,0,45.6,96.8,2025-05-17T14:02:26.070Z,2025-05-17T14:34:54Z,5j2hy92q8f17nppznxrp8kxxx,A. Ring,,,5732519199,140,100.0,5732519207,1,,5732519203,212,59.2,5732519195,155,,5732519201,141,82.4,5732519205,213,6.12,5732519197,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815710729,14,5,1,2,10,8sy0cxovuxo76tuoas3uo55xj,1,-1.2,20.0,2025-05-17T14:02:29.913Z,2025-05-17T16:06:46Z,ro21tqqaeslyebto6ukon5zo,A. Wilson,,,5732519313,346,,5732519311,56,Back,5732519325,233,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815710705,31,5,1,2,10,303582z192rnbr2x28o2t7u38,0,101.2,80.0,2025-05-17T14:02:29.913Z,2025-05-17T14:02:34Z,7198rz1vtgazkeytaltke2noq,G. Kanellopoulos,,,5732519223,56,Left,5732519225,346,,5732519333,233,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815711159,15,1,1,2,51,8sy0cxovuxo76tuoas3uo55xj,1,4.9,51.8,2025-05-17T14:03:11.081Z,2025-05-17T14:03:14Z,c5oixwvc8sk4fxliorsk7a311,J. Toivio,,,5732521335,56,Back,5732521349,74,,5732521345,1,,5732521341,212,49.5,5732521339,141,86.2,5732521337,140,46.5,5732521333,124,,5732521343,213,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815711169,16,1,1,2,55,8sy0cxovuxo76tuoas3uo55xj,1,46.5,86.2,2025-05-17T14:03:14.761Z,2025-05-17T14:03:16Z,1nww1pe0ouxnuwt8q9zy4xrmc,A. Seck,,,5732521393,140,38.6,5732521395,141,87.7,5732521391,56,Back,5732521397,212,8.4,5732521399,213,3.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815711263,17,1,1,2,58,8sy0cxovuxo76tuoas3uo55xj,1,37.8,87.5,2025-05-17T14:03:17.801Z,2025-05-17T14:03:22Z,c538ewmcaz4z73gcftzedbob9,A. Tanaka,,,5732521719,1,,5732521707,155,,5732521715,212,48.1,5732521711,140,83.6,5732521717,213,0.02,5732521713,141,89.0,5732521709,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815711275,18,1,1,3,2,8sy0cxovuxo76tuoas3uo55xj,1,76.7,86.5,2025-05-17T14:03:22.169Z,2025-05-17T14:03:23Z,btr893a8ljoe8av97ji8kwr11,A. Tarvonen,,,5732521785,213,2.45,5732521783,212,9.5,5732521781,141,95.4,5732521779,140,69.7,5732521777,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
