id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/12/value,qualifier/11/value,qualifier/15/value,qualifier/16/value
2817822669,8,12,1,0,50,ajtb177oqwawkdwbqhldmq6mx,1,15.9,62.1,2025-05-22T17:03:02.775Z,2025-05-22T17:03:10Z,6g671k5lvgoo2bgub2516q1w4,L. Henriksen,,,5744159869,141,49.9,5744159875,15,,5744159865,56,Back,5744159873,213,5.98,5744159867,140,40.8,5744159871,212,27.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817822695,14,1,1,0,52,bd4qakf7j0wwie8wke9km7uj8,0,72.4,49.1,2025-05-22T17:03:04.906Z,2025-05-22T17:03:06Z,e0nkqbugb4xkpluu5e42zf2ms,F. Engqvist,,,5744159995,213,1.32,5744159991,141,80.9,5744159993,212,22.3,5744159989,140,77.7,5744159987,56,Left,5744159985,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817822721,10,1,1,1,0,ajtb177oqwawkdwbqhldmq6mx,1,34.8,14.6,2025-05-22T17:03:12.999Z,2025-05-22T18:03:07Z,8viazilbghyogmhd7w3lg2six,S. Koch,,,5744175879,140,42.7,5744175881,141,22.9,5744175883,212,10.0,5744175885,213,0.60,5744160149,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817825755,95,1,1,1,0,ajtb177oqwawkdwbqhldmq6mx,1,39.5,25.2,2025-05-22T17:03:13.058Z,2025-05-22T17:12:21Z,x3ad9hfxts6jpfugy3kvq9d5,C. Björk,,,5744177889,141,16.2,5744177887,140,30.8,5744177885,56,Back,5744177891,212,11.0,5744177893,213,3.73,5744177995,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817822717,15,43,1,1,0,bd4qakf7j0wwie8wke9km7uj8,1,0.0,0.0,2025-05-22T17:03:13.081Z,2025-05-22T17:11:16Z,m031ocyfq011rual3olkegdm,A. Taranis,,,5744176029,144,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817825945,114,61,1,1,2,ajtb177oqwawkdwbqhldmq6mx,0,28.9,12.5,2025-05-22T17:03:14.771Z,2025-05-22T17:13:01Z,e8vt8711wb40afht2v13omket,M. Wohlgemuth,,,5744179325,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817822769,16,1,1,1,6,bd4qakf7j0wwie8wke9km7uj8,0,84.3,77.3,2025-05-22T17:03:18.769Z,2025-05-22T17:11:51Z,m031ocyfq011rual3olkegdm,A. Taranis,,,5744160395,213,4.79,5744160393,212,8.0,5744160391,141,65.5,5744160387,56,Center,5744160389,140,84.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817822835,12,12,1,1,7,ajtb177oqwawkdwbqhldmq6mx,1,10.6,34.6,2025-05-22T17:03:19.543Z,2025-05-22T17:03:34Z,6g671k5lvgoo2bgub2516q1w4,L. Henriksen,,,5744160813,140,47.2,5744160819,213,5.98,5744160817,212,40.3,5744160811,56,Back,5744160815,141,16.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817822799,17,1,1,1,11,bd4qakf7j0wwie8wke9km7uj8,1,67.0,75.3,2025-05-22T17:03:23.873Z,2025-05-23T13:01:30Z,4rhxehi019n7z1z1m7a39w1sk,K. Nyegaard,,,5744160575,141,95.9,5744160577,212,18.4,5744160579,213,2.27,5744160571,56,Left,5744160573,140,55.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817822809,18,1,1,1,13,bd4qakf7j0wwie8wke9km7uj8,1,55.7,95.9,2025-05-22T17:03:26.184Z,2025-05-22T19:24:05Z,em0yawcqyqwf53hbj0zlz4duc,A. Halsgaard,,,5744160647,213,3.98,5744160641,140,42.9,5744160643,141,74.1,5744160645,212,20.0,5744160639,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817822839,19,1,1,1,20,bd4qakf7j0wwie8wke9km7uj8,1,32.6,46.1,2025-05-22T17:03:32.337Z,2025-05-22T17:17:04Z,aejgqvdw1jftxaa538kaa15w4,O. Juul,,,5744160843,213,3.95,5744160841,212,16.8,5744160835,56,Back,5744160839,141,28.2,5744160837,140,21.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817822853,20,1,1,1,22,bd4qakf7j0wwie8wke9km7uj8,1,21.8,28.2,2025-05-22T17:03:34.744Z,2025-05-22T17:17:17Z,duvhbifjh37mvlm46akiy431m,M. Juhl,,,5744160933,141,20.6,5744160937,212,12.5,5744160927,56,Back,5744160929,140,32.6,5744160941,213,5.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817822865,21,1,1,1,23,bd4qakf7j0wwie8wke9km7uj8,0,32.6,20.6,2025-05-22T17:03:35.704Z,2025-05-22T17:17:39Z,aejgqvdw1jftxaa538kaa15w4,O. Juul,,,5744160985,140,43.5,5744160987,141,22.4,5744160989,212,11.5,5744160983,56,Back,5744160991,213,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817822849,13,1,1,1,24,ajtb177oqwawkdwbqhldmq6mx,0,48.4,79.5,2025-05-22T17:03:36.598Z,2025-05-22T17:17:49Z,eyvv6b94feknnp1uew6n0ytat,N. Mouritsen,,,5744160909,1,,5744160903,141,74.0,5744160905,212,28.3,5744160899,56,Center,5744160907,213,6.15,5744160901,140,75.1,5744160897,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817822905,22,1,1,1,27,bd4qakf7j0wwie8wke9km7uj8,1,15.0,12.5,2025-05-22T17:03:39.920Z,2025-05-22T19:23:38Z,duvhbifjh37mvlm46akiy431m,M. Juhl,,,5744161219,56,Back,5744161225,212,16.5,5744161223,141,33.7,5744161221,140,7.3,5744161227,213,2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817822943,23,1,1,1,32,bd4qakf7j0wwie8wke9km7uj8,1,8.8,45.7,2025-05-22T17:03:44.408Z,2025-05-22T17:03:47Z,emakjdiju8z2peey3ytjahz6y,A. Jensen,,,5744161367,213,1.28,5744161361,140,16.8,5744161359,56,Back,5744161363,141,87.7,5744161365,212,29.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817822965,24,1,1,1,35,bd4qakf7j0wwie8wke9km7uj8,1,16.6,81.7,2025-05-22T17:03:47.656Z,2025-05-22T17:03:50Z,em0yawcqyqwf53hbj0zlz4duc,A. Halsgaard,,,5744161479,141,54.8,5744161477,140,5.5,5744161475,56,Back,5744161483,213,4.15,5744161481,212,21.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817822987,25,1,1,1,38,bd4qakf7j0wwie8wke9km7uj8,1,7.2,51.0,2025-05-22T17:03:50.456Z,2025-05-22T17:03:53Z,emakjdiju8z2peey3ytjahz6y,A. Jensen,,,5744161591,140,17.9,5744161597,213,6.07,5744161589,56,Back,5744161595,212,11.5,5744161593,141,47.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817823005,26,1,1,1,40,bd4qakf7j0wwie8wke9km7uj8,1,16.7,49.3,2025-05-22T17:03:53.017Z,2025-05-22T17:03:56Z,4rhxehi019n7z1z1m7a39w1sk,K. Nyegaard,,,5744161735,141,77.0,5744161739,213,1.96,5744161733,140,9.4,5744161737,212,20.3,5744161731,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817823051,27,1,1,1,43,bd4qakf7j0wwie8wke9km7uj8,1,11.9,83.2,2025-05-22T17:03:56.177Z,2025-05-22T17:04:02Z,em0yawcqyqwf53hbj0zlz4duc,A. Halsgaard,,,5744162001,140,18.3,5744162007,213,0.92,5744161999,56,Back,5744162005,212,11.2,5744162003,141,96.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817823057,28,1,1,1,49,bd4qakf7j0wwie8wke9km7uj8,0,17.8,96.0,2025-05-22T17:04:01.929Z,2025-05-22T19:24:03Z,bwozpgcm48s08t1glxfgjajmd,N. Halse,,,5744162027,212,15.1,5744162031,1,,5744162021,56,Back,5744162025,141,94.8,5744162023,140,32.2,5744162029,213,6.23,5744162019,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817823061,14,8,1,1,50,ajtb177oqwawkdwbqhldmq6mx,1,60.2,9.7,2025-05-22T17:04:02.877Z,2025-05-23T13:02:36Z,e8vt8711wb40afht2v13omket,M. Wohlgemuth,,,5744905225,384,,5744162053,15,,5744162051,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817823097,15,1,1,1,52,ajtb177oqwawkdwbqhldmq6mx,1,63.9,14.1,2025-05-22T17:04:04.806Z,2025-05-22T17:04:06Z,8viazilbghyogmhd7w3lg2six,S. Koch,,,5744162201,140,68.4,5744162207,213,1.09,5744162199,56,Center,5744162203,141,27.4,5744162205,212,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817823101,16,43,1,1,53,ajtb177oqwawkdwbqhldmq6mx,1,0.0,0.0,2025-05-22T17:04:06.173Z,2025-05-23T13:03:13Z,x3ad9hfxts6jpfugy3kvq9d5,C. Björk,,,5744905331,144,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817823109,17,1,1,1,54,ajtb177oqwawkdwbqhldmq6mx,0,68.4,27.4,2025-05-22T17:04:06.262Z,2025-05-22T17:04:07Z,x3ad9hfxts6jpfugy3kvq9d5,C. Björk,,,5744162281,213,1.14,5744162279,212,9.7,5744162273,56,Center,5744162277,141,40.4,5744162275,140,72.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817823137,29,4,1,1,56,bd4qakf7j0wwie8wke9km7uj8,1,19.6,59.2,2025-05-22T17:04:09.064Z,2025-05-22T19:20:30Z,duvhbifjh37mvlm46akiy431m,M. Juhl,,,5744162575,233,18,5744162459,285,,5744162457,265,,5744162453,56,Back,5744162451,13,,5744162455,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817823141,18,4,1,1,56,ajtb177oqwawkdwbqhldmq6mx,0,80.4,40.8,2025-05-22T17:04:09.065Z,2025-05-23T13:03:31Z,8i0o1b8rjsab9se3v6vteqmfo,E. Nnamani,,,5744162549,265,,5744162543,13,,5744162545,56,Center,5744162547,152,,5744162581,233,29,5744162551,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817823207,30,1,1,2,9,bd4qakf7j0wwie8wke9km7uj8,1,24.9,59.7,2025-05-22T17:04:21.713Z,2025-05-22T17:04:22Z,4rhxehi019n7z1z1m7a39w1sk,K. Nyegaard,,,5744162917,212,6.5,5744162921,213,1.83,5744162901,5,,5744162913,141,69.0,5744162905,56,Back,5744162903,152,,5744162909,140,23.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817823215,31,1,1,2,10,bd4qakf7j0wwie8wke9km7uj8,1,23.3,69.0,2025-05-22T17:04:22.600Z,2025-05-22T17:04:23Z,bwozpgcm48s08t1glxfgjajmd,N. Halse,,,5744162969,212,9.3,5744162963,56,Back,5744162965,140,22.5,5744162967,141,82.6,5744162971,213,1.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817823259,32,1,1,2,11,bd4qakf7j0wwie8wke9km7uj8,1,22.5,82.6,2025-05-22T17:04:23.704Z,2025-05-22T17:04:32Z,em0yawcqyqwf53hbj0zlz4duc,A. Halsgaard,,,5744163249,56,Back,5744163253,141,95.7,5744163255,212,14.5,5744163257,213,0.66,5744163251,140,33.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817823265,33,1,1,2,20,bd4qakf7j0wwie8wke9km7uj8,0,55.4,95.4,2025-05-22T17:04:32.536Z,2025-05-22T19:23:48Z,aejgqvdw1jftxaa538kaa15w4,O. Juul,,,5744163293,141,100.0,5744163297,213,0.16,5744163291,140,80.1,5744163295,212,26.3,5744163289,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817823275,19,5,1,2,21,ajtb177oqwawkdwbqhldmq6mx,1,23.4,-1.8,2025-05-22T17:04:33.578Z,2025-05-22T19:09:25Z,2uellcocrvapu7o70g5zdcmad,J. Egeris,,,5744163347,233,34,5744163333,347,,5744163331,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817823271,34,5,1,2,21,bd4qakf7j0wwie8wke9km7uj8,0,76.6,101.8,2025-05-22T17:04:33.578Z,2025-05-22T19:09:25Z,aejgqvdw1jftxaa538kaa15w4,O. Juul,,,5744163315,347,,5744163377,233,19,5744163311,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817823297,20,1,1,2,22,ajtb177oqwawkdwbqhldmq6mx,1,29.3,0.0,2025-05-22T17:04:35.086Z,2025-05-22T17:04:37Z,6g671k5lvgoo2bgub2516q1w4,L. Henriksen,,,5744163451,107,,5744163457,141,12.6,5744163461,213,0.74,5744163459,212,14.8,5744163453,56,Back,5744163455,140,39.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817823339,21,1,1,2,25,ajtb177oqwawkdwbqhldmq6mx,1,39.7,12.6,2025-05-22T17:04:37.262Z,2025-05-22T17:04:43Z,e8vt8711wb40afht2v13omket,M. Wohlgemuth,,,5744163649,213,2.65,5744163643,140,6.7,5744163645,141,40.1,5744163641,56,Back,5744163647,212,39.4,5744163651,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817823369,22,1,1,2,30,ajtb177oqwawkdwbqhldmq6mx,1,28.8,53.6,2025-05-22T17:04:43.110Z,2025-05-22T17:04:46Z,9213debwtuph6cjborx73sx78,O. Søe,,,5744163785,140,39.2,5744163789,141,88.9,5744163781,56,Back,5744163793,212,26.4,5744163797,213,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817823411,23,1,1,2,34,ajtb177oqwawkdwbqhldmq6mx,1,39.2,87.5,2025-05-22T17:04:46.350Z,2025-05-22T17:04:50Z,eyvv6b94feknnp1uew6n0ytat,N. Mouritsen,,,5744164027,140,28.0,5744164031,212,16.1,5744164025,56,Back,5744164033,213,3.89,5744164029,141,71.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817823421,24,1,1,2,38,ajtb177oqwawkdwbqhldmq6mx,1,29.4,69.1,2025-05-22T17:04:50.621Z,2025-05-22T17:04:53Z,9213debwtuph6cjborx73sx78,O. Søe,,,5744164095,213,4.80,5744164093,212,21.5,5744164087,56,Back,5744164091,141,37.6,5744164089,140,31.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817823433,25,1,1,2,41,ajtb177oqwawkdwbqhldmq6mx,1,31.1,37.6,2025-05-22T17:04:53.221Z,2025-05-22T17:04:55Z,2uellcocrvapu7o70g5zdcmad,J. Egeris,,,5744164155,56,Back,5744164157,140,38.0,5744164159,141,11.3,5744164163,213,5.10,5744164161,212,19.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
