id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/8/value,qualifier/11/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/15/value,qualifier/16/value
2797109943,5,1,1,0,21,b8oqgvx1ijeyn6y1cn6929ix4,1,34.6,0.0,2025-04-06T12:01:00.204Z,2025-04-06T12:01:03Z,3xz0h3d6r2qgmv9egms8yaz56,C. Vestergaard,,,5629810835,56,Back,5629810841,212,18.3,5629810837,140,18.3,5629810839,141,7.6,5629810833,107,,5629810843,213,2.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797109997,6,1,1,0,24,b8oqgvx1ijeyn6y1cn6929ix4,1,15.1,8.9,2025-04-06T12:01:03.204Z,2025-04-06T12:01:07Z,9delpquqv81o7ftrgefb0wpp0,L. Callø,,,5629811051,56,Back,5629811055,140,4.4,5629811061,212,28.0,5629811059,141,46.6,5629811063,213,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797110031,7,1,1,0,29,b8oqgvx1ijeyn6y1cn6929ix4,1,8.0,49.1,2025-04-06T12:01:07.748Z,2025-04-06T12:01:10Z,6sdv4s8oz558wfhx72vwlpvu2,L. Moser,,,5629811237,212,32.0,5629811239,213,1.09,5629811231,56,Back,5629811235,141,90.9,5629811241,1,,5629811233,140,22.0,5629811229,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797110053,8,1,1,0,31,b8oqgvx1ijeyn6y1cn6929ix4,0,22.2,91.2,2025-04-06T12:01:10.036Z,2025-04-06T12:01:11Z,4zpmxlmdfa5wx79cr0q14pfx1,M. Olsen,,,5629811357,56,Back,5629811361,141,93.8,5629811359,140,35.3,5629811365,213,0.13,5629811355,3,,5629811363,212,13.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797110093,7,1,1,0,33,f1h34qp5zbfl489q8vnkhiq9s,0,59.0,29.4,2025-04-06T12:01:12.262Z,2025-04-06T13:00:31Z,bmkwmf5f2ssnw2cq7uga7yd5g,A. Troelsen,,,5629811595,140,79.4,5629811609,213,5.75,5629811591,3,,5629811605,212,24.9,5629811601,141,10.7,5629811593,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797110131,9,1,1,0,35,b8oqgvx1ijeyn6y1cn6929ix4,1,24.1,90.3,2025-04-06T12:01:13.892Z,2025-04-06T12:01:15Z,8ewvm6ux4yvpwgrzjkc1chqwa,A. Nørager,,,5629811811,141,92.3,5629811815,213,0.32,5629811805,3,,5629811813,212,4.3,5629811809,140,28.0,5629811807,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797110141,10,1,1,0,37,b8oqgvx1ijeyn6y1cn6929ix4,0,28.0,92.3,2025-04-06T12:01:15.548Z,2025-04-06T12:12:54Z,4zpmxlmdfa5wx79cr0q14pfx1,M. Olsen,,,5629811865,212,11.0,5629811859,56,Back,5629882333,1,,5629811861,140,38.4,5629811867,213,6.17,5629882331,157,,5629811863,141,90.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797110185,8,3,1,0,38,f1h34qp5zbfl489q8vnkhiq9s,1,64.5,15.6,2025-04-06T12:01:16.926Z,2025-04-06T14:04:07Z,bmkwmf5f2ssnw2cq7uga7yd5g,A. Troelsen,,,5629812083,56,Right,5629812247,233,11,5629812085,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797110213,11,45,1,0,38,b8oqgvx1ijeyn6y1cn6929ix4,0,35.5,84.4,2025-04-06T12:01:16.926Z,2025-04-06T14:04:07Z,9ircna8pbskreztmy1wiqwx9m,S. Yatéké,,,5629812205,56,Back,5629812207,285,,5629812301,233,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797110289,10,1,1,0,40,f1h34qp5zbfl489q8vnkhiq9s,1,62.4,20.0,2025-04-06T12:01:18.974Z,2025-04-06T12:01:24Z,bmkwmf5f2ssnw2cq7uga7yd5g,A. Troelsen,,,5629812611,212,28.3,5629812605,56,Back,5629812609,141,49.9,5629812613,213,2.34,5629812607,140,43.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797110347,11,1,1,0,45,f1h34qp5zbfl489q8vnkhiq9s,1,46.9,54.9,2025-04-06T12:01:24.045Z,2025-04-06T12:01:27Z,c7buy99bjqmkmno8w5t0189d6,T. Stagaard,,,5629812917,212,20.6,5629812919,213,4.65,5629812911,56,Back,5629812915,141,24.6,5629812913,140,45.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797110377,12,1,1,0,49,f1h34qp5zbfl489q8vnkhiq9s,1,47.9,24.7,2025-04-06T12:01:27.749Z,2025-04-06T12:01:30Z,aqc0qritba195wf770gyd1149,A. Skipper,,,5629813067,212,15.7,5629813063,140,59.0,5629813069,213,5.55,5629813061,56,Right,5629813065,141,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797110561,13,1,1,0,51,f1h34qp5zbfl489q8vnkhiq9s,1,59.1,6.5,2025-04-06T12:01:29.942Z,2025-04-06T12:01:39Z,s8c0oxnoqt6zi7pi88rwawvd,J. Buus,,,5629813903,212,30.1,5629813899,140,87.7,5629813897,56,Right,5629813895,155,,5629813901,141,9.2,5629813905,213,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797110515,12,83,1,0,56,b8oqgvx1ijeyn6y1cn6929ix4,0,11.7,86.6,2025-04-06T12:01:34.836Z,2025-04-06T12:03:21Z,8h3cyhuw5049gcxrsld3rw1ec,V. Westh,,,5629822321,399,9n2nm6smh0txgv2482qbwhixg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797110541,13,43,1,0,59,b8oqgvx1ijeyn6y1cn6929ix4,1,0.0,0.0,2025-04-06T12:01:37.628Z,2025-04-06T12:03:15Z,8h3cyhuw5049gcxrsld3rw1ec,V. Westh,,,5629821889,144,61,5629813831,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797110545,14,83,1,0,59,b8oqgvx1ijeyn6y1cn6929ix4,0,7.1,87.7,2025-04-06T12:01:37.639Z,2025-04-06T12:03:21Z,8h3cyhuw5049gcxrsld3rw1ec,V. Westh,,,5629822303,399,9n2nm6smh0txgv2482qbwhixg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797110601,14,1,1,1,0,f1h34qp5zbfl489q8vnkhiq9s,1,88.5,9.7,2025-04-06T12:01:38.862Z,2025-04-06T12:01:41Z,9n2nm6smh0txgv2482qbwhixg,J. Beck,,,5629814063,212,6.8,5629814067,213,3.67,5629814051,56,Right,5629814057,141,4.7,5629814053,140,82.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797110569,15,43,1,1,0,b8oqgvx1ijeyn6y1cn6929ix4,1,0.0,0.0,2025-04-06T12:01:39.093Z,2025-04-06T12:13:57Z,8h3cyhuw5049gcxrsld3rw1ec,V. Westh,,,5629888385,144,83,5629814403,399,s8c0oxnoqt6zi7pi88rwawvd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797110621,15,1,1,1,1,f1h34qp5zbfl489q8vnkhiq9s,0,83.6,5.9,2025-04-06T12:01:39.910Z,2025-04-06T14:07:46Z,s8c0oxnoqt6zi7pi88rwawvd,J. Buus,,,5629814161,213,2.07,5629814149,155,,5629814157,212,19.4,5629814155,141,30.9,5629814151,56,Center,5629814153,140,74.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797110659,16,61,1,1,2,b8oqgvx1ijeyn6y1cn6929ix4,1,30.6,85.4,2025-04-06T12:01:40.341Z,2025-04-06T12:14:13Z,4zpmxlmdfa5wx79cr0q14pfx1,M. Olsen,,,5629889877,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797125663,128,1,1,1,4,b8oqgvx1ijeyn6y1cn6929ix4,1,24.7,77.2,2025-04-06T12:01:42.408Z,2025-04-06T12:14:57Z,9ircna8pbskreztmy1wiqwx9m,S. Yatéké,,,5629893619,56,Back,5629893631,213,0.65,5629893627,212,7.5,5629893623,140,30.4,5629893625,141,83.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797110781,18,1,1,1,8,b8oqgvx1ijeyn6y1cn6929ix4,1,37.5,80.8,2025-04-06T12:01:46.556Z,2025-04-06T12:17:59Z,e3546n3qj447qgmizao50zx1w,F. Møller,,,5629815041,140,73.7,5629815045,212,38.4,5629815047,213,0.15,5629815039,56,Left,5629815049,1,,5629815043,141,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797110843,19,1,1,1,14,b8oqgvx1ijeyn6y1cn6929ix4,1,92.8,77.9,2025-04-06T12:01:53.203Z,2025-04-06T12:18:28Z,9ircna8pbskreztmy1wiqwx9m,S. Yatéké,,,5629815357,56,Left,5629815361,141,92.7,5629815359,140,82.4,5629815365,213,2.40,5629815363,212,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797110933,20,1,1,1,19,b8oqgvx1ijeyn6y1cn6929ix4,1,79.8,91.4,2025-04-06T12:01:57.452Z,2025-04-06T12:02:00Z,4zpmxlmdfa5wx79cr0q14pfx1,M. Olsen,,,5629815717,140,74.1,5629815719,141,74.1,5629815723,213,4.24,5629815715,56,Center,5629815721,212,13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797110955,21,1,1,1,22,b8oqgvx1ijeyn6y1cn6929ix4,1,74.3,65.4,2025-04-06T12:02:00.340Z,2025-04-06T12:02:02Z,9fvf8z6p8ok0n5vu999ysfywa,C. Jørgensen,,,5629815853,212,4.6,5629815849,140,71.1,5629815855,213,3.89,5629815851,141,60.8,5629815845,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797110989,22,1,1,1,23,b8oqgvx1ijeyn6y1cn6929ix4,1,70.4,60.6,2025-04-06T12:02:02.100Z,2025-04-06T12:02:05Z,5u9zrgsm6wycfcbk04m64wd1w,N. Morberg,,,5629816025,212,21.2,5629816021,140,54.2,5629816019,56,Left,5629816027,213,2.50,5629816023,141,79.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797111047,23,1,1,1,27,b8oqgvx1ijeyn6y1cn6929ix4,1,44.6,72.9,2025-04-06T12:02:05.964Z,2025-04-06T12:02:09Z,8ewvm6ux4yvpwgrzjkc1chqwa,A. Nørager,,,5629816321,212,23.5,5629816313,56,Back,5629816317,140,22.9,5629816319,141,64.3,5629816323,213,3.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797111079,24,1,1,1,31,b8oqgvx1ijeyn6y1cn6929ix4,1,15.4,62.7,2025-04-06T12:02:09.308Z,2025-04-06T12:02:11Z,6sdv4s8oz558wfhx72vwlpvu2,L. Moser,,,5629816463,212,15.3,5629816461,141,67.8,5629816457,56,Back,5629816459,140,29.6,5629816465,213,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797111089,25,1,1,1,32,b8oqgvx1ijeyn6y1cn6929ix4,1,29.6,67.8,2025-04-06T12:02:11.132Z,2025-04-06T12:02:12Z,5u9zrgsm6wycfcbk04m64wd1w,N. Morberg,,,5629816519,141,64.8,5629816523,213,3.24,5629816517,140,10.3,5629816515,56,Back,5629816557,156,,5629816521,212,20.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797111269,26,1,1,1,44,b8oqgvx1ijeyn6y1cn6929ix4,0,8.6,59.6,2025-04-06T12:02:22.812Z,2025-04-06T12:02:24Z,6sdv4s8oz558wfhx72vwlpvu2,L. Moser,,,5629817441,1,,5629817429,155,,5629817435,141,100.0,5629817431,56,Left,5629817439,213,0.50,5629817437,212,60.3,5629817433,140,59.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797111335,16,5,1,1,45,f1h34qp5zbfl489q8vnkhiq9s,1,42.0,-1.8,2025-04-06T12:02:24.117Z,2025-04-06T14:03:18Z,4jve632xnmqujh4ioaxpaovai,T. Freriks,,,5629817785,347,,5629817781,56,Back,5629817841,233,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797111281,27,5,1,1,45,b8oqgvx1ijeyn6y1cn6929ix4,0,58.0,101.8,2025-04-06T12:02:24.117Z,2025-04-06T14:03:19Z,6sdv4s8oz558wfhx72vwlpvu2,L. Moser,,,5629817485,347,,5629817865,233,16,5629817483,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797111399,17,1,1,1,49,f1h34qp5zbfl489q8vnkhiq9s,1,46.4,0.0,2025-04-06T12:02:27.548Z,2025-04-06T12:02:31Z,s8c0oxnoqt6zi7pi88rwawvd,J. Buus,,,5629818103,140,34.8,5629818105,141,16.2,5629818101,56,Back,5629818109,213,2.35,5629818099,107,,5629818107,212,17.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797111461,18,1,1,1,53,f1h34qp5zbfl489q8vnkhiq9s,1,34.3,19.4,2025-04-06T12:02:31.644Z,2025-04-06T12:02:35Z,aqc0qritba195wf770gyd1149,A. Skipper,,,5629818437,141,50.9,5629818433,140,33.5,5629818441,212,21.4,5629818431,56,Back,5629818445,213,1.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797111485,19,1,1,1,57,f1h34qp5zbfl489q8vnkhiq9s,1,32.4,57.5,2025-04-06T12:02:35.621Z,2025-04-06T12:02:37Z,c7buy99bjqmkmno8w5t0189d6,T. Stagaard,,,5629818561,141,72.4,5629818557,56,Back,5629818559,140,46.1,5629818565,213,0.61,5629818563,212,17.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797111551,20,1,1,1,58,f1h34qp5zbfl489q8vnkhiq9s,1,48.8,72.1,2025-04-06T12:02:36.876Z,2025-04-06T12:02:39Z,7wo1hk736v1xhovvu2t2trw89,Y. Bourhane,,,5629818875,140,32.8,5629818885,213,3.68,5629818881,212,19.6,5629818873,56,Back,5629818877,141,57.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797111599,21,1,1,2,1,f1h34qp5zbfl489q8vnkhiq9s,1,34.9,59.7,2025-04-06T12:02:39.340Z,2025-04-06T12:02:42Z,c7buy99bjqmkmno8w5t0189d6,T. Stagaard,,,5629819109,213,4.77,5629819103,140,36.0,5629819107,212,20.8,5629819105,141,29.2,5629819101,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797111663,22,1,1,2,4,f1h34qp5zbfl489q8vnkhiq9s,1,35.3,28.5,2025-04-06T12:02:42.563Z,2025-04-06T12:02:46Z,aqc0qritba195wf770gyd1149,A. Skipper,,,5629819455,213,1.54,5629819445,140,36.0,5629819449,141,63.9,5629819443,56,Back,5629819453,212,24.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797111689,23,1,1,2,8,f1h34qp5zbfl489q8vnkhiq9s,0,32.9,68.1,2025-04-06T12:02:46.563Z,2025-04-06T12:02:48Z,c7buy99bjqmkmno8w5t0189d6,T. Stagaard,,,5629819587,212,44.5,5629819579,155,,5629819589,213,0.26,5629819581,56,Left,5629819585,141,85.1,5629819583,140,73.8,5629819591,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797111767,28,1,1,2,11,b8oqgvx1ijeyn6y1cn6929ix4,0,33.4,25.8,2025-04-06T12:02:49.548Z,2025-04-06T12:02:53Z,3xz0h3d6r2qgmv9egms8yaz56,C. Vestergaard,,,5629819941,140,37.7,5629819945,212,5.0,5629819947,213,5.82,5629819939,56,Back,5629819937,3,,5629819943,141,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797111753,24,44,1,2,13,f1h34qp5zbfl489q8vnkhiq9s,1,66.0,80.6,2025-04-06T12:02:51.324Z,2025-04-06T14:04:14Z,6hmsrr08cllpl4iumu92zskbt,L. From,,,5629820059,233,29,5629819883,286,,5629819881,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797111773,29,44,1,2,13,b8oqgvx1ijeyn6y1cn6929ix4,0,34.0,19.4,2025-04-06T12:02:51.325Z,2025-04-06T14:04:14Z,ekx0wotp433tuaw4g93nybjmc,S. Jalal,,,5629820071,233,24,5629819977,285,,5629819975,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797111759,25,8,1,2,13,f1h34qp5zbfl489q8vnkhiq9s,1,72.1,85.7,2025-04-06T12:02:52.108Z,2025-04-06T12:03:01Z,6hmsrr08cllpl4iumu92zskbt,L. From,,,5629819897,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797111805,31,1,1,2,16,b8oqgvx1ijeyn6y1cn6929ix4,0,33.9,7.9,2025-04-06T12:02:54.835Z,2025-04-06T12:02:56Z,5u9zrgsm6wycfcbk04m64wd1w,N. Morberg,,,5629820121,212,3.9,5629820211,233,26,5629820215,286,,5629820209,236,,5629820115,56,Back,5629820117,140,37.6,5629820123,213,6.23,5629820119,141,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797111799,26,74,1,2,16,f1h34qp5zbfl489q8vnkhiq9s,1,68.0,93.0,2025-04-06T12:02:54.836Z,2025-04-06T12:02:56Z,1se7wkenvs4elrapvdw9mdnje,L. Montano,,,5629820243,233,31,5629820093,285,,5629820091,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797111829,27,5,1,2,17,f1h34qp5zbfl489q8vnkhiq9s,0,69.1,101.8,2025-04-06T12:02:55.932Z,2025-04-06T14:03:19Z,1se7wkenvs4elrapvdw9mdnje,L. Montano,,,5629820269,347,,5629820469,233,32,5629820267,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797111857,32,5,1,2,17,b8oqgvx1ijeyn6y1cn6929ix4,1,30.9,-1.8,2025-04-06T12:02:55.932Z,2025-04-06T14:03:19Z,5u9zrgsm6wycfcbk04m64wd1w,N. Morberg,,,5629820417,56,Back,5629820443,233,27,5629820421,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797111875,33,1,1,2,20,b8oqgvx1ijeyn6y1cn6929ix4,1,37.3,0.0,2025-04-06T12:02:58.716Z,2025-04-06T12:19:41Z,3xz0h3d6r2qgmv9egms8yaz56,C. Vestergaard,,,5629820489,141,8.5,5629820493,213,1.40,5629820483,107,,5629820487,140,38.5,5629820485,56,Back,5629820491,212,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
