id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/9/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId
2738553513,7,44,1,0,9,b8oqgvx1ijeyn6y1cn6929ix4,1,66.1,34.8,2024-10-25T17:00:30.605Z,2024-10-25T19:28:05Z,4uuqid6t4nspn0wspyltz3bx0,J. Musbaudeen,,,5310775685,56,Center,5310775767,233,5,5310775687,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738553527,5,44,1,0,9,8cfkisxf1fkxdqtt6tx1tup48,0,33.9,65.2,2024-10-25T17:00:30.606Z,2024-10-25T19:28:05Z,1icurh5jrnw1e6jdgqxjnhdnu,G. Çulhacı,,,5310775759,56,Back,5310775761,285,,5310775771,233,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738553539,8,1,1,0,9,b8oqgvx1ijeyn6y1cn6929ix4,1,58.5,33.7,2024-10-25T17:00:30.973Z,2024-10-25T17:00:34Z,4uuqid6t4nspn0wspyltz3bx0,J. Musbaudeen,,,5310775793,213,4.78,5310775791,212,12.0,5310775789,141,16.1,5310775787,140,59.3,5310775783,3,,5310775785,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738553543,9,1,1,0,12,b8oqgvx1ijeyn6y1cn6929ix4,0,57.7,14.9,2024-10-25T17:00:33.805Z,2024-10-25T17:00:36Z,dyzzo6n83rg4fpvmqqa69moes,A. Beck,,,5310775807,212,4.4,5310775845,236,,5310775851,286,,5310775803,140,61.6,5310775847,233,6,5310775801,56,Right,5310775809,213,5.92,5310775805,141,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,
2738553549,6,74,1,0,12,8cfkisxf1fkxdqtt6tx1tup48,1,28.9,94.8,2024-10-25T17:00:33.806Z,2024-10-25T19:23:26Z,67p0s4o54xcmiustgy8k5gljo,S. Hald,,,5310775839,56,Back,5310775841,285,,5310775863,233,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738553557,7,5,1,0,14,8cfkisxf1fkxdqtt6tx1tup48,0,35.0,102.0,2024-10-25T17:00:35.421Z,2024-10-25T19:24:26Z,67p0s4o54xcmiustgy8k5gljo,S. Hald,,,5310775885,56,Back,5310775887,347,,5310776129,233,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738553593,10,5,1,0,14,b8oqgvx1ijeyn6y1cn6929ix4,1,65.0,-2.0,2024-10-25T17:00:35.421Z,2024-10-25T19:24:26Z,dyzzo6n83rg4fpvmqqa69moes,A. Beck,,,5310776085,347,,5310776109,233,7,5310776083,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738553623,11,1,1,0,22,b8oqgvx1ijeyn6y1cn6929ix4,1,64.8,0.0,2024-10-25T17:00:43.645Z,2024-10-25T17:00:48Z,3xz0h3d6r2qgmv9egms8yaz56,C. Vestergaard,,,5310776275,140,31.8,5310776283,1,,5310776281,213,2.75,5310776271,107,,5310776277,141,19.1,5310776273,56,Back,5310776279,212,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738553655,12,1,1,0,27,b8oqgvx1ijeyn6y1cn6929ix4,1,32.8,20.6,2024-10-25T17:00:49.108Z,2024-10-25T17:00:50Z,dqssvdpt2iwg8qn9wto3miind,A. Leifsson,,,5310776437,140,26.8,5310776435,56,Back,5310776443,213,1.91,5310776441,212,19.0,5310776439,141,46.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738553687,13,1,1,0,29,b8oqgvx1ijeyn6y1cn6929ix4,1,26.8,47.2,2024-10-25T17:00:50.628Z,2024-10-25T17:00:54Z,52vwj2s29n7wngablotd7pboq,J. Ægidius,,,5310776583,140,29.2,5310776581,56,Back,5310776589,213,4.90,5310776585,141,28.0,5310776587,212,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738553719,14,1,1,0,32,b8oqgvx1ijeyn6y1cn6929ix4,1,30.0,37.0,2024-10-25T17:00:54.180Z,2024-10-25T17:00:58Z,dqssvdpt2iwg8qn9wto3miind,A. Leifsson,,,5310776729,213,2.05,5310776723,140,23.6,5310776727,212,14.6,5310776721,56,Back,5310776725,141,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738553735,15,1,1,0,36,b8oqgvx1ijeyn6y1cn6929ix4,1,26.0,56.7,2024-10-25T17:00:57.972Z,2024-10-25T17:01:00Z,52vwj2s29n7wngablotd7pboq,J. Ægidius,,,5310776799,56,Back,5310776805,212,19.3,5310776801,140,27.1,5310776807,213,1.51,5310776803,141,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738553761,16,1,1,0,39,b8oqgvx1ijeyn6y1cn6929ix4,0,25.9,86.5,2024-10-25T17:01:00.661Z,2024-10-25T17:07:45Z,8ewvm6ux4yvpwgrzjkc1chqwa,A. Nørager,,,5310776925,212,20.7,5310776919,56,Back,5310776923,141,100.0,5310776927,213,0.50,5310776921,140,43.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738553903,8,5,1,0,42,8cfkisxf1fkxdqtt6tx1tup48,1,51.4,-1.2,2024-10-25T17:01:03.748Z,2024-10-25T19:24:27Z,3mcj3wypzq3lno1ehc0vif1sl,J. Arias,,,5310777629,56,Right,5310777639,233,17,5310777631,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738553769,17,5,1,0,42,b8oqgvx1ijeyn6y1cn6929ix4,0,48.6,101.2,2024-10-25T17:01:03.748Z,2024-10-25T19:24:27Z,ekx0wotp433tuaw4g93nybjmc,S. Jalal,,,5310777645,233,8,5310776977,347,,5310776975,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738553933,9,1,1,0,55,8cfkisxf1fkxdqtt6tx1tup48,0,46.5,0.0,2024-10-25T17:01:17.151Z,2024-10-25T17:01:21Z,4m7gr5z6b40dj02yrmlwgeluc,S. Larsen,,,5310777803,212,31.1,5310777795,107,,5310777801,141,24.6,5310777799,140,70.9,5310777805,213,0.60,5310777807,1,,5310777797,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738554001,19,1,1,0,59,b8oqgvx1ijeyn6y1cn6929ix4,1,25.0,82.6,2024-10-25T17:01:21.190Z,2024-10-25T17:01:28Z,dqssvdpt2iwg8qn9wto3miind,A. Leifsson,,,5310778175,56,Back,5310778179,141,45.7,5310778181,212,33.7,5310778183,213,3.98,5310778185,1,,5310778177,140,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738554023,20,1,1,1,6,b8oqgvx1ijeyn6y1cn6929ix4,1,7.0,44.0,2024-10-25T17:01:28.060Z,2024-10-25T17:01:37Z,52vwj2s29n7wngablotd7pboq,J. Ægidius,,,5310778321,155,,5310778323,56,Back,5310778329,212,47.2,5310778325,140,47.3,5310778327,141,13.4,5310778331,213,5.83,5310778333,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738554065,21,61,1,1,8,b8oqgvx1ijeyn6y1cn6929ix4,0,47.3,13.4,2024-10-25T17:01:29.411Z,2024-10-25T17:01:41Z,9618hk1lq7i6see347k7plkyy,M. Sarr,,,5310778549,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738554071,10,5,1,1,12,8cfkisxf1fkxdqtt6tx1tup48,1,51.8,101.8,2024-10-25T17:01:33.737Z,2024-10-25T19:24:27Z,4ti8pdx03j8dh4mdb626ltmvo,N. Jakobsen,,,5310778575,56,Left,5310778645,233,22,5310778579,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738554079,22,5,1,1,12,b8oqgvx1ijeyn6y1cn6929ix4,0,48.2,-1.8,2024-10-25T17:01:33.737Z,2024-10-25T19:24:28Z,9618hk1lq7i6see347k7plkyy,M. Sarr,,,5310778603,347,,5310778601,56,Back,5310778649,233,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738554097,11,1,1,1,14,8cfkisxf1fkxdqtt6tx1tup48,1,49.6,100.0,2024-10-25T17:01:35.648Z,2024-10-25T17:05:34Z,4ti8pdx03j8dh4mdb626ltmvo,N. Jakobsen,,,5310778717,213,3.45,5310778707,107,,5310778711,140,30.2,5310778713,141,92.3,5310778719,1,,5310778715,212,21.3,5310778709,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738554115,12,1,1,1,15,8cfkisxf1fkxdqtt6tx1tup48,1,30.2,92.3,2024-10-25T17:01:36.847Z,2024-10-25T17:07:24Z,2pm5oqzyonn0dysa5nszgq3xm,H. Bonnesen,,,5310778809,213,3.86,5310778801,56,Back,5310778803,140,4.6,5310778805,141,57.6,5310778811,1,,5310778807,212,35.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738554151,13,1,1,1,17,8cfkisxf1fkxdqtt6tx1tup48,1,4.4,57.3,2024-10-25T17:01:39.087Z,2024-10-25T17:01:44Z,dqqswfn9s1tdxjoslts8ks6xg,B. Bayrak,,,5310778967,140,9.0,5310778973,213,4.98,5310778971,212,18.1,5310778969,141,31.6,5310778965,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738554155,14,1,1,1,22,8cfkisxf1fkxdqtt6tx1tup48,0,7.1,22.4,2024-10-25T17:01:44.152Z,2024-10-25T17:01:47Z,am3509ake84cde1xhb9264i22,M. Gudmann,,,5310778999,141,23.1,5310778995,56,Back,5310779107,236,,5310779113,286,,5310778997,140,9.2,5310779003,213,0.21,5310779001,212,2.3,5310779109,233,23,,,,,,,,,,,,,,,,,,,,,,,,,,
2738554171,23,74,1,1,22,b8oqgvx1ijeyn6y1cn6929ix4,1,80.4,91.5,2024-10-25T17:01:44.153Z,2024-10-25T19:23:26Z,9ircna8pbskreztmy1wiqwx9m,S. Yatéké,,,5310779133,233,14,5310779099,56,Left,5310779101,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738554237,15,5,1,1,25,8cfkisxf1fkxdqtt6tx1tup48,1,18.6,-1.7000000000000002,2024-10-25T17:01:46.488Z,2024-10-25T19:24:28Z,am3509ake84cde1xhb9264i22,M. Gudmann,,,5310779401,56,Back,5310779403,347,,5310779451,233,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738554183,24,5,1,1,25,b8oqgvx1ijeyn6y1cn6929ix4,0,81.4,101.7,2024-10-25T17:01:46.488Z,2024-10-25T19:24:29Z,9ircna8pbskreztmy1wiqwx9m,S. Yatéké,,,5310779153,347,,5310779151,56,Left,5310779461,233,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738554267,16,1,1,1,33,8cfkisxf1fkxdqtt6tx1tup48,1,12.0,0.0,2024-10-25T17:01:54.272Z,2024-10-25T17:01:56Z,4m7gr5z6b40dj02yrmlwgeluc,S. Larsen,,,5310779507,56,Back,5310779511,141,7.1,5310779505,107,,5310779513,212,8.2,5310779509,140,17.2,5310779515,213,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738554279,17,1,1,1,34,8cfkisxf1fkxdqtt6tx1tup48,1,17.3,7.3,2024-10-25T17:01:56.039Z,2024-10-25T17:01:57Z,3mcj3wypzq3lno1ehc0vif1sl,J. Arias,,,5310779589,212,3.6,5310779591,213,2.89,5310779581,140,14.0,5310779579,56,Back,5310779585,141,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738554323,18,1,1,1,35,8cfkisxf1fkxdqtt6tx1tup48,1,13.8,8.8,2024-10-25T17:01:57.175Z,2024-10-25T17:02:00Z,4m7gr5z6b40dj02yrmlwgeluc,S. Larsen,,,5310779767,140,28.5,5310779765,56,Back,5310779775,1,,5310779773,213,1.22,5310779763,157,,5310779771,212,45.5,5310779769,141,71.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738554399,19,1,1,1,39,8cfkisxf1fkxdqtt6tx1tup48,1,28.4,71.8,2024-10-25T17:02:00.616Z,2024-10-25T17:02:07Z,4ti8pdx03j8dh4mdb626ltmvo,N. Jakobsen,,,5310780117,56,Back,5310780121,141,83.5,5310780123,212,14.2,5310780119,140,39.6,5310780125,213,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738554405,20,3,1,1,45,8cfkisxf1fkxdqtt6tx1tup48,0,44.5,85.6,2024-10-25T17:02:06.784Z,2024-10-28T17:42:55Z,1icurh5jrnw1e6jdgqxjnhdnu,G. Çulhacı,,,5323024515,465,,5310780167,56,Back,5310780203,211,,5310780169,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738554445,26,1,1,1,47,b8oqgvx1ijeyn6y1cn6929ix4,1,39.7,3.1,2024-10-25T17:02:09.163Z,2024-10-25T17:02:13Z,3xz0h3d6r2qgmv9egms8yaz56,C. Vestergaard,,,5310780353,212,35.2,5310780347,56,Back,5310780351,141,31.0,5310780355,213,2.57,5310780349,140,11.5,5310780357,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738554465,27,1,1,1,52,b8oqgvx1ijeyn6y1cn6929ix4,1,13.4,37.9,2024-10-25T17:02:13.755Z,2024-10-25T17:02:16Z,52vwj2s29n7wngablotd7pboq,J. Ægidius,,,5310780465,212,22.3,5310780463,141,69.9,5310780461,140,18.0,5310780459,56,Back,5310780467,213,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738554487,28,1,1,1,55,b8oqgvx1ijeyn6y1cn6929ix4,1,20.7,68.1,2024-10-25T17:02:16.731Z,2024-10-25T17:02:19Z,8ewvm6ux4yvpwgrzjkc1chqwa,A. Nørager,,,5310780549,140,20.2,5310780555,213,4.69,5310780551,141,36.6,5310780553,212,21.4,5310780547,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738554499,29,1,1,1,58,b8oqgvx1ijeyn6y1cn6929ix4,1,22.0,35.8,2024-10-25T17:02:19.555Z,2024-10-25T17:02:21Z,dqssvdpt2iwg8qn9wto3miind,A. Leifsson,,,5310780625,212,13.2,5310780619,56,Back,5310780627,213,4.77,5310780623,141,16.4,5310780621,140,22.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738554555,30,1,1,1,59,b8oqgvx1ijeyn6y1cn6929ix4,1,22.7,16.4,2024-10-25T17:02:20.947Z,2024-10-25T17:02:25Z,3xz0h3d6r2qgmv9egms8yaz56,C. Vestergaard,,,5310780857,141,31.8,5310780861,213,1.97,5310780853,56,Back,5310780859,212,11.4,5310780855,140,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738554617,31,1,1,2,4,b8oqgvx1ijeyn6y1cn6929ix4,0,18.8,27.4,2024-10-25T17:02:25.739Z,2024-10-25T17:02:29Z,dqssvdpt2iwg8qn9wto3miind,A. Leifsson,,,5310781175,56,Right,5310781187,213,6.03,5310781173,155,,5310781179,141,7.4,5310781189,1,,5310781183,212,54.2,5310781177,140,68.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738554637,21,12,1,2,8,8cfkisxf1fkxdqtt6tx1tup48,1,27.3,91.1,2024-10-25T17:02:30Z,2024-10-25T17:02:32Z,2pm5oqzyonn0dysa5nszgq3xm,H. Bonnesen,,,5310781247,140,36.2,5310781251,212,11.5,5310781255,213,0.62,5310781279,167,,5310781249,141,100.0,5310781245,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738554645,22,5,1,2,9,8cfkisxf1fkxdqtt6tx1tup48,0,36.0,101.0,2024-10-25T17:02:30.650Z,2024-10-25T19:24:30Z,2pm5oqzyonn0dysa5nszgq3xm,H. Bonnesen,,,5310781269,347,,5310781267,56,Back,5310781813,233,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738554745,32,5,1,2,9,b8oqgvx1ijeyn6y1cn6929ix4,1,64.0,-1.0,2024-10-25T17:02:30.650Z,2024-10-25T19:24:29Z,dqssvdpt2iwg8qn9wto3miind,A. Leifsson,,,5310781783,233,22,5310781761,347,,5310781753,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738554777,33,1,1,2,21,b8oqgvx1ijeyn6y1cn6929ix4,1,65.6,0.0,2024-10-25T17:02:42.731Z,2024-10-25T17:02:46Z,3xz0h3d6r2qgmv9egms8yaz56,C. Vestergaard,,,5310781929,140,39.7,5310781937,1,,5310781925,107,,5310781927,56,Back,5310781935,213,2.59,5310781931,141,23.4,5310781933,212,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738554805,34,1,1,2,25,b8oqgvx1ijeyn6y1cn6929ix4,1,39.7,23.4,2024-10-25T17:02:46.706Z,2024-10-25T17:02:48Z,dqssvdpt2iwg8qn9wto3miind,A. Leifsson,,,5310782089,56,Back,5310782103,212,10.8,5310782099,141,39.1,5310782107,213,1.40,5310782095,140,41.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738554833,35,1,1,2,27,b8oqgvx1ijeyn6y1cn6929ix4,0,44.5,39.1,2024-10-25T17:02:48.674Z,2024-10-25T17:02:50Z,8ewvm6ux4yvpwgrzjkc1chqwa,A. Nørager,,,5310782237,140,74.7,5310782245,1,,5310782239,141,14.9,5310782233,56,Right,5310782231,155,,5310782243,213,5.80,5310782241,212,35.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738554855,23,1,1,2,29,8cfkisxf1fkxdqtt6tx1tup48,1,26.9,87.7,2024-10-25T17:02:50.512Z,2024-10-25T17:02:53Z,4ti8pdx03j8dh4mdb626ltmvo,N. Jakobsen,,,5310782359,56,Back,5310782367,212,6.1,5310782355,3,,5310782369,213,5.94,5310782363,140,32.4,5310782365,141,84.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738554877,24,1,1,2,32,8cfkisxf1fkxdqtt6tx1tup48,0,32.9,81.5,2024-10-25T17:02:53.705Z,2024-10-25T17:02:54Z,67p0s4o54xcmiustgy8k5gljo,S. Hald,,,5310782493,141,89.4,5310782497,213,0.29,5310782489,56,Back,5310782491,140,49.9,5310782495,212,18.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738554963,36,1,1,2,37,b8oqgvx1ijeyn6y1cn6929ix4,0,45.4,7.1,2024-10-25T17:02:58.978Z,2024-10-25T17:03:02Z,dqssvdpt2iwg8qn9wto3miind,A. Leifsson,,,5310783005,155,,5310783011,141,23.7,5310783013,212,50.4,5310783015,213,0.23,5310783009,140,92.2,5310783017,1,,5310783007,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
