id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/8/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId
2742534691,13,1,1,0,47,b8oqgvx1ijeyn6y1cn6929ix4,1,72.9,22.8,2024-11-02T12:02:20.145Z,2024-11-02T12:02:22Z,2qedb8t85t1ieeed9613c9crt,C. Enemark,,,5332563131,212,15.0,5332563133,213,1.47,5332563127,140,74.3,5332563129,141,44.8,5332563123,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742534719,14,1,1,0,49,b8oqgvx1ijeyn6y1cn6929ix4,1,74.3,44.8,2024-11-02T12:02:21.921Z,2024-11-02T12:02:24Z,4uuqid6t4nspn0wspyltz3bx0,J. Musbaudeen,,,5332563241,141,53.4,5332563237,56,Center,5332563239,140,80.2,5332563245,212,8.5,5332563249,213,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742534729,15,61,1,0,51,b8oqgvx1ijeyn6y1cn6929ix4,0,80.2,53.4,2024-11-02T12:02:23.745Z,2024-11-02T14:22:44Z,9ircna8pbskreztmy1wiqwx9m,S. Yatéké,,,5332563285,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742534873,13,12,1,0,52,bd4qakf7j0wwie8wke9km7uj8,1,10.8,30.0,2024-11-02T12:02:24.696Z,2024-11-02T12:02:40Z,duvhbifjh37mvlm46akiy431m,M. Juhl,,,5332563991,140,13.6,5332564003,213,4.88,5332563999,212,17.7,5332563995,141,4.3,5332563985,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742534833,16,1,1,1,1,b8oqgvx1ijeyn6y1cn6929ix4,1,90.5,85.7,2024-11-02T12:02:33.481Z,2024-11-02T12:02:36Z,ekx0wotp433tuaw4g93nybjmc,S. Jalal,,,5332563777,56,Left,5332563781,141,85.6,5332563785,213,3.15,5332563783,212,14.8,5332563779,140,76.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742534849,17,1,1,1,4,b8oqgvx1ijeyn6y1cn6929ix4,1,83.3,73.3,2024-11-02T12:02:36.361Z,2024-11-02T12:02:37Z,9fvf8z6p8ok0n5vu999ysfywa,C. Jørgensen,,,5332563871,212,12.6,5332563873,213,4.16,5332563867,140,77.0,5332563865,56,Center,5332563869,141,57.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742534859,18,1,1,1,5,b8oqgvx1ijeyn6y1cn6929ix4,0,74.1,53.6,2024-11-02T12:02:37.704Z,2024-11-02T12:02:38Z,4uuqid6t4nspn0wspyltz3bx0,J. Musbaudeen,,,5332563921,141,33.4,5332563919,140,85.2,5332563917,56,Center,5332563925,213,5.42,5332563923,212,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742534917,14,12,1,1,8,bd4qakf7j0wwie8wke9km7uj8,1,14.3,61.8,2024-11-02T12:02:40.440Z,2024-11-02T12:02:44Z,aejgqvdw1jftxaa538kaa15w4,O. Juul,,,5332564161,140,3.8,5332564159,56,Back,5332564165,212,25.6,5332564167,213,2.02,5332564163,141,95.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742534963,16,1,1,1,12,bd4qakf7j0wwie8wke9km7uj8,1,3.8,95.7,2024-11-02T12:02:45.176Z,2024-11-02T12:02:47Z,aejgqvdw1jftxaa538kaa15w4,O. Juul,,,5332564361,56,Back,5332564369,213,0.05,5332564363,140,25.1,5332564367,212,22.4,5332564365,141,97.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742534969,17,61,1,1,13,bd4qakf7j0wwie8wke9km7uj8,0,25.1,97.2,2024-11-02T12:02:45.712Z,2024-11-02T14:22:38Z,m031ocyfq011rual3olkegdm,A. Taranis,,,5332564393,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742534977,18,5,1,1,14,bd4qakf7j0wwie8wke9km7uj8,0,24.7,101.6,2024-11-02T12:02:47.073Z,2024-11-02T14:18:20Z,m031ocyfq011rual3olkegdm,A. Taranis,,,5332564515,233,19,5332564417,56,Back,5332564419,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742534985,19,5,1,1,14,b8oqgvx1ijeyn6y1cn6929ix4,1,75.3,-1.6,2024-11-02T12:02:47.073Z,2024-11-02T14:18:20Z,6bajck5osvj7trnwt2a5mc3dg,I. Tånnander,,,5332564493,233,18,5332564445,56,Right,5332564447,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742535289,20,1,1,1,42,b8oqgvx1ijeyn6y1cn6929ix4,0,85.1,0.0,2024-11-02T12:03:14.721Z,2024-11-02T12:03:20Z,3xz0h3d6r2qgmv9egms8yaz56,C. Vestergaard,,,5332565993,212,32.2,5332565989,141,44.8,5332565995,213,1.32,5332565985,140,92.8,5332565981,56,Center,5332565997,1,,5332565977,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742535279,19,44,1,1,45,bd4qakf7j0wwie8wke9km7uj8,1,8.6,58.2,2024-11-02T12:03:18.168Z,2024-11-02T14:33:38Z,4rhxehi019n7z1z1m7a39w1sk,K. Nyegaard,,,5332565919,285,,5332565917,56,Back,5332566067,233,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742535303,21,44,1,1,45,b8oqgvx1ijeyn6y1cn6929ix4,0,91.4,41.8,2024-11-02T12:03:18.169Z,2024-11-02T14:33:39Z,2qedb8t85t1ieeed9613c9crt,C. Enemark,,,5332566085,233,19,5332566037,56,Center,5332566039,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742535283,20,12,1,1,46,bd4qakf7j0wwie8wke9km7uj8,1,11.0,63.3,2024-11-02T12:03:18.599Z,2024-11-02T12:03:22Z,4rhxehi019n7z1z1m7a39w1sk,K. Nyegaard,,,5332565947,141,64.8,5332565949,212,10.1,5332565943,56,Back,5332565945,140,20.6,5332566017,15,,5332565951,213,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742535315,22,15,1,1,48,b8oqgvx1ijeyn6y1cn6929ix4,1,81.5,41.3,2024-11-02T12:03:21.137Z,2024-11-02T15:56:12Z,9fvf8z6p8ok0n5vu999ysfywa,C. Jørgensen,,,5332566475,160,,5332566911,328,,5332566909,215,,5332566913,458,,5332566915,146,98.6,5332566907,103,22.8,5332566479,72,,5332566921,233,21,5332566903,81,5332566905,102,47.3,5332566101,56,Center,5332566917,147,49.3,5332566099,18,,,,,,,,,,,,,,,,
2742535323,21,10,1,1,49,bd4qakf7j0wwie8wke9km7uj8,1,1.9,51.9,2024-11-02T12:03:21.237Z,2024-11-02T12:03:31Z,8r9iqig43yjty7l1oq6yg73mc,M. Brylov,,,5332566365,179,,5332566131,182,,5332566133,56,Back,5332566503,233,22,5332566127,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742535329,22,6,1,1,50,bd4qakf7j0wwie8wke9km7uj8,0,9.6,57.0,2024-11-02T12:03:22.650Z,2024-11-02T14:19:04Z,8r9iqig43yjty7l1oq6yg73mc,M. Brylov,,,5332566171,56,Back,5332566173,73,,5332566197,233,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742535317,23,6,1,1,50,b8oqgvx1ijeyn6y1cn6929ix4,1,90.4,43.0,2024-11-02T12:03:22.650Z,2024-11-02T12:03:29Z,9fvf8z6p8ok0n5vu999ysfywa,C. Jørgensen,,,5332566191,233,22,5332566187,56,Center,5332566189,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742535597,24,1,1,2,24,b8oqgvx1ijeyn6y1cn6929ix4,0,99.5,0.5,2024-11-02T12:03:56.241Z,2024-11-02T12:03:57Z,9fvf8z6p8ok0n5vu999ysfywa,C. Jørgensen,,,5332567561,2,,5332567577,213,1.72,5332567565,155,,5332567569,56,Center,5332567563,6,,5332567571,140,94.8,5332567573,141,47.5,5332567579,1,,5332567575,212,5332567567,224,,,,,,,,,,32.3,,,,,,,,,,,,,,,
2742535611,23,12,1,2,25,bd4qakf7j0wwie8wke9km7uj8,1,4.8,60.9,2024-11-02T12:03:58.032Z,2024-11-02T13:02:34Z,duvhbifjh37mvlm46akiy431m,M. Juhl,,,5332567641,212,19.4,5332567665,15,,5332567637,140,23.1,5332567643,213,0.15,5332567639,141,65.2,5332567635,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742535627,25,1,1,2,26,b8oqgvx1ijeyn6y1cn6929ix4,1,75.9,34.0,2024-11-02T12:03:58.650Z,2024-11-02T12:04:00Z,f58yr2jmfp8kpgprfxbokt1t6,M. Vestergård,,,5332567737,56,Right,5332567741,141,16.4,5332567743,212,19.0,5332567745,213,5.60,5332567739,140,89.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742535631,26,1,1,2,28,b8oqgvx1ijeyn6y1cn6929ix4,0,89.9,14.9,2024-11-02T12:04:00.689Z,2024-11-02T12:04:01Z,9fvf8z6p8ok0n5vu999ysfywa,C. Jørgensen,,,5332567759,2,,5332567761,155,,5332567765,56,Center,5332567769,140,93.3,5332567771,141,46.0,5332567773,212,21.4,5332567775,213,1.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742535683,24,12,1,2,30,bd4qakf7j0wwie8wke9km7uj8,1,9.5,56.6,2024-11-02T12:04:02.895Z,2024-11-02T13:02:32Z,35og29e19w0ykeqcvudhpgr8,N. Vesterbæk,,,5332567935,212,30.0,5332567933,141,100.0,5332567979,167,,5332567931,140,10.5,5332567937,213,1.54,5332567929,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742535691,25,5,1,2,32,bd4qakf7j0wwie8wke9km7uj8,0,12.1,100.9,2024-11-02T12:04:04.602Z,2024-11-02T14:18:21Z,aejgqvdw1jftxaa538kaa15w4,O. Juul,,,5332567965,56,Back,5332568221,233,27,5332567967,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742535745,27,5,1,2,32,b8oqgvx1ijeyn6y1cn6929ix4,1,87.9,-0.9,2024-11-02T12:04:04.602Z,2024-11-02T14:18:21Z,9fvf8z6p8ok0n5vu999ysfywa,C. Jørgensen,,,5332568191,347,,5332568213,233,25,5332568189,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742535889,28,1,1,2,49,b8oqgvx1ijeyn6y1cn6929ix4,1,85.8,0.0,2024-11-02T12:04:21.273Z,2024-11-02T12:04:25Z,3xz0h3d6r2qgmv9egms8yaz56,C. Vestergaard,,,5332568827,56,Right,5332568833,212,20.8,5332568835,213,2.42,5332568831,141,19.4,5332568825,107,,5332568829,140,70.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742535929,29,1,1,2,53,b8oqgvx1ijeyn6y1cn6929ix4,0,70.8,22.4,2024-11-02T12:04:25.273Z,2024-11-02T12:04:28Z,8ewvm6ux4yvpwgrzjkc1chqwa,A. Nørager,,,5332569037,213,0.70,5332569025,2,,5332569029,56,Center,5332569031,140,100.0,5332569039,1,,5332569033,141,61.4,5332569035,212,41.1,5332569027,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742536149,27,5,1,2,55,bd4qakf7j0wwie8wke9km7uj8,1,-0.6000000000000001,38.6,2024-11-02T12:04:28.154Z,2024-11-02T14:18:21Z,bwozpgcm48s08t1glxfgjajmd,N. Halse,,,5332570037,346,,5332570039,233,30,5332570035,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742535935,30,5,1,2,55,b8oqgvx1ijeyn6y1cn6929ix4,0,100.6,61.4,2024-11-02T12:04:28.154Z,2024-11-02T14:18:22Z,8ewvm6ux4yvpwgrzjkc1chqwa,A. Nørager,,,5332569069,56,Center,5332570057,233,27,5332569071,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742536177,28,1,1,3,17,bd4qakf7j0wwie8wke9km7uj8,0,3.7,41.0,2024-11-02T12:04:50.119Z,2024-11-02T12:04:53Z,8r9iqig43yjty7l1oq6yg73mc,M. Brylov,,,5332570167,124,,5332570175,212,63.2,5332570173,141,9.7,5332570179,1,,5332570171,140,60.4,5332570181,74,,5332570169,56,Right,5332570177,213,5.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742536225,31,1,1,3,22,b8oqgvx1ijeyn6y1cn6929ix4,0,44.8,80.2,2024-11-02T12:04:54.849Z,2024-11-02T12:04:57Z,ekx0wotp433tuaw4g93nybjmc,S. Jalal,,,5332570345,212,21.4,5332570343,141,100.0,5332570341,140,30.1,5332570337,3,,5332570347,213,2.38,5332570339,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742536317,29,5,1,3,24,bd4qakf7j0wwie8wke9km7uj8,1,68.0,-1.9,2024-11-02T12:04:56.695Z,2024-11-02T14:18:22Z,8r9iqig43yjty7l1oq6yg73mc,M. Brylov,,,5332570815,56,Right,5332570817,347,,5332570843,233,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
