id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/11/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2719988213,7,1,1,0,15,dbl7ir1qugqz8nvp1vzn8im50,1,68.7,88.9,2024-09-14T15:02:24.613Z,2024-09-14T15:02:25Z,1b32j0lqi7ggcabdra4tygxzo,M. Jensen,,,5209217305,56,Left,5209217311,212,3.9,5209217307,140,65.1,5209217313,213,2.86,5209217309,141,90.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719988239,8,1,1,0,15,dbl7ir1qugqz8nvp1vzn8im50,1,65.1,90.5,2024-09-14T15:02:25.093Z,2024-09-14T15:02:27Z,1mml4inucvyomv1dcog3c1pt5,N. Mickelson,,,5209217473,56,Center,5209217479,212,12.1,5209217475,140,67.2,5209217477,141,73.0,5209217481,213,4.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719988279,9,1,1,0,17,dbl7ir1qugqz8nvp1vzn8im50,0,67.2,73.0,2024-09-14T15:02:26.901Z,2024-09-14T15:02:29Z,e9o7q10wnhex4e8eo47mobbvt,J. Bonde,,,5209217713,212,25.5,5209217709,140,82.7,5209217715,213,0.88,5209217711,141,100.0,5209217707,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719988405,5,5,1,0,19,a9vw7ikerpr4cuweeeka5aneg,1,14.7,-1.5,2024-09-14T15:02:28.698Z,2024-09-14T17:01:45Z,dfxs5u8rdcxhzp33aks3acdn8,K. Lusavec,,,5209218347,347,,5209218427,233,10,5209218345,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719988293,10,5,1,0,19,dbl7ir1qugqz8nvp1vzn8im50,0,85.3,101.5,2024-09-14T15:02:28.698Z,2024-09-14T17:01:46Z,e9o7q10wnhex4e8eo47mobbvt,J. Bonde,,,5209218469,233,5,5209217761,347,,5209217759,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719988605,6,1,1,0,33,a9vw7ikerpr4cuweeeka5aneg,0,10.9,0.0,2024-09-14T15:02:42.954Z,2024-09-14T15:02:45Z,a6ymx4wkrn260rtpb360nsiqd,M. Kallesøe,,,5209219267,1,,5209219265,213,0.25,5209219259,141,12.5,5209219257,140,44.0,5209219261,212,35.9,5209219255,56,Back,5209219253,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719988615,11,44,1,0,34,dbl7ir1qugqz8nvp1vzn8im50,1,57.8,89.9,2024-09-14T15:02:43.982Z,2024-09-14T16:59:04Z,1mml4inucvyomv1dcog3c1pt5,N. Mickelson,,,5209219301,56,Left,5209219501,233,7,5209219303,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719988619,7,44,1,0,34,a9vw7ikerpr4cuweeeka5aneg,0,42.2,10.1,2024-09-14T15:02:43.983Z,2024-09-14T16:59:05Z,dfxs5u8rdcxhzp33aks3acdn8,K. Lusavec,,,5209219333,285,,5209219331,56,Back,5209219563,233,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719988625,12,61,1,0,35,dbl7ir1qugqz8nvp1vzn8im50,1,60.9,93.9,2024-09-14T15:02:44.731Z,2024-09-14T15:02:45Z,1mml4inucvyomv1dcog3c1pt5,N. Mickelson,,,5209219363,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719988647,8,61,1,0,35,a9vw7ikerpr4cuweeeka5aneg,1,44.0,12.5,2024-09-14T15:02:45.026Z,2024-09-14T15:02:46Z,dfxs5u8rdcxhzp33aks3acdn8,K. Lusavec,,,5209219465,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719988709,13,1,1,0,36,dbl7ir1qugqz8nvp1vzn8im50,1,64.1,92.0,2024-09-14T15:02:45.949Z,2024-09-14T15:02:48Z,2z8u8kyv91shp0la8alkn6kus,M. Ejdum,,,5209219799,1,,5209219789,141,80.8,5209219787,140,75.8,5209219793,212,14.5,5209219783,157,,5209219785,56,Left,5209219797,213,5.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719988725,14,50,1,0,38,dbl7ir1qugqz8nvp1vzn8im50,1,75.1,81.6,2024-09-14T15:02:48.025Z,2024-09-14T16:57:17Z,80s55a7uw8kypoikefwhtdm5m,M. Fenger,,,5209219851,56,Left,5209219855,286,,5209219991,233,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719988703,9,7,1,0,38,a9vw7ikerpr4cuweeeka5aneg,0,24.9,18.4,2024-09-14T15:02:48.026Z,2024-09-14T16:57:17Z,9dh7cnu4uzbraeck0t5iqlj4k,A. Herdonsson,,,5209219755,285,,5209219753,56,Back,5209219929,233,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719988813,16,1,1,0,41,dbl7ir1qugqz8nvp1vzn8im50,0,70.2,60.8,2024-09-14T15:02:50.325Z,2024-09-14T17:05:52Z,5wmik73cqursg7sv3w14ue5pm,L. Deedson,,,5209220303,140,75.0,5209220311,1,,5209220305,141,5.8,5209220307,212,37.7,5209220309,213,4.85,5209220301,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719988893,11,1,1,0,45,a9vw7ikerpr4cuweeeka5aneg,1,28.1,90.6,2024-09-14T15:02:55.018Z,2024-09-14T15:02:57Z,bdz03qovxerzrv12lgljae1p0,C. Tapé,,,5209220663,212,12.5,5209220659,141,82.1,5209220647,56,Back,5209220655,140,38.7,5209220667,213,5.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719988955,12,1,1,0,48,a9vw7ikerpr4cuweeeka5aneg,0,42.3,84.5,2024-09-14T15:02:57.578Z,2024-09-14T15:03:00Z,cl4xl80n4gew1ox03r3ooshrd,O. Kjærgaard,,,5209221067,141,92.3,5209221063,56,Left,5209221069,212,22.0,5209221065,140,62.6,5209221071,213,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719988973,17,8,1,0,51,dbl7ir1qugqz8nvp1vzn8im50,1,40.6,7.4,2024-09-14T15:03:00.685Z,2024-09-14T17:05:47Z,dqtarwrqvkopmzbt2ovp2dln9,B. Paulsen,,,5209221113,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719989339,19,4,1,0,56,dbl7ir1qugqz8nvp1vzn8im50,1,51.0,15.4,2024-09-14T15:03:06.057Z,2024-09-14T16:58:45Z,ev2s21ogvpjtata4fndi868ve,J. Gomez,,,5209223077,152,,5209223081,286,,5209223073,13,,5209223079,265,,5209223075,56,Right,5210117633,233,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719989067,13,4,1,0,56,a9vw7ikerpr4cuweeeka5aneg,0,47.4,85.1,2024-09-14T15:03:06.058Z,2024-09-14T16:58:35Z,cqsc3mj8klukkgutdrpegybdg,K. Karikari,,,5209221735,56,Back,5209221737,152,,5210116653,285,,5209221739,265,,5209221731,13,,5210117655,233,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719989483,20,1,1,1,12,dbl7ir1qugqz8nvp1vzn8im50,1,56.1,8.9,2024-09-14T15:03:21.229Z,2024-09-14T15:03:22Z,97xbmht3t4t1p9iu6598oq7l5,A. Manneh,,,5209223621,152,,5209223631,213,3.30,5209223629,212,13.2,5209223625,140,43.7,5209223623,56,Back,5209223619,5,,5209223627,141,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719989651,21,1,1,1,13,dbl7ir1qugqz8nvp1vzn8im50,1,39.6,6.2,2024-09-14T15:03:22.789Z,2024-09-14T15:03:30Z,e42jh6bbwn4aybdnysonrvutx,L. Owusu,,,5209224427,141,34.9,5209224423,56,Back,5209224425,140,15.8,5209224429,212,31.7,5209224431,213,2.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719989663,22,1,1,1,20,dbl7ir1qugqz8nvp1vzn8im50,0,18.7,30.0,2024-09-14T15:03:29.830Z,2024-09-14T15:03:30Z,4clmd8g8jogdfvauhijd7n55h,V. Myhra,,,5209224491,157,,5209224495,140,62.2,5209224499,212,46.9,5209224493,56,Right,5209224501,213,6.05,5209224497,141,14.1,5209224503,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719989829,14,1,1,1,23,a9vw7ikerpr4cuweeeka5aneg,1,32.8,70.2,2024-09-14T15:03:32.354Z,2024-09-14T15:03:36Z,4lxxyqy78jkglhv2w6crzcnsa,O. Kolskogen,,,5209225167,152,,5209225179,1,,5209225163,5,,5209225171,140,69.5,5209225165,157,,5209225177,213,5.98,5209225169,56,Center,5209225173,141,52.2,5209225175,212,40.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719989835,15,44,1,1,24,a9vw7ikerpr4cuweeeka5aneg,1,66.0,59.6,2024-09-14T15:03:33.485Z,2024-09-14T16:59:05Z,6k7khwtkxpem9z17bl5rrf2p6,E. Frederiksen,,,5209225205,56,Center,5209225325,233,23,5209225207,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719989749,23,44,1,1,24,dbl7ir1qugqz8nvp1vzn8im50,0,34.0,40.4,2024-09-14T15:03:33.486Z,2024-09-14T16:59:05Z,ev2s21ogvpjtata4fndi868ve,J. Gomez,,,5209225451,233,15,5209224829,56,Back,5209224831,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719989851,16,1,1,1,24,a9vw7ikerpr4cuweeeka5aneg,0,69.5,52.2,2024-09-14T15:03:33.977Z,2024-09-14T17:03:21Z,6k7khwtkxpem9z17bl5rrf2p6,E. Frederiksen,,,5209225295,140,77.3,5209225287,3,,5209225293,56,Center,5209225297,141,43.0,5209225299,212,10.3,5209225301,213,5.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719989819,24,1,1,1,25,dbl7ir1qugqz8nvp1vzn8im50,1,31.5,33.6,2024-09-14T15:03:34.582Z,2024-09-14T15:03:36Z,dqtarwrqvkopmzbt2ovp2dln9,B. Paulsen,,,5209225109,141,34.2,5209225113,213,0.07,5209225103,3,,5209225111,212,6.2,5209225105,56,Back,5209225107,140,37.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719989875,25,1,1,1,27,dbl7ir1qugqz8nvp1vzn8im50,1,35.7,33.6,2024-09-14T15:03:36.285Z,2024-09-14T15:03:38Z,ev2s21ogvpjtata4fndi868ve,J. Gomez,,,5209225409,212,22.7,5209225403,56,Back,5209225411,213,1.38,5209225405,140,39.8,5209225407,141,66.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719990153,26,1,1,1,29,dbl7ir1qugqz8nvp1vzn8im50,1,39.8,66.4,2024-09-14T15:03:38.469Z,2024-09-14T15:03:48Z,1b32j0lqi7ggcabdra4tygxzo,M. Jensen,,,5209226869,212,8.3,5209226859,140,43.1,5209226875,213,1.14,5209226861,141,77.5,5209226857,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719990195,27,1,1,1,39,dbl7ir1qugqz8nvp1vzn8im50,1,69.0,92.7,2024-09-14T15:03:48.229Z,2024-09-14T15:03:50Z,1mml4inucvyomv1dcog3c1pt5,N. Mickelson,,,5209227101,213,5.98,5209227097,141,83.9,5209227095,140,87.4,5209227099,212,20.2,5209227093,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719990293,28,1,1,1,41,dbl7ir1qugqz8nvp1vzn8im50,1,87.7,84.1,2024-09-14T15:03:50.125Z,2024-09-14T15:03:53Z,2z8u8kyv91shp0la8alkn6kus,M. Ejdum,,,5209227539,56,Left,5209227547,213,1.83,5209227541,140,85.7,5209227545,212,8.3,5209227543,141,95.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719990501,29,1,1,1,44,dbl7ir1qugqz8nvp1vzn8im50,1,84.7,94.4,2024-09-14T15:03:53.326Z,2024-09-14T15:04:02Z,1b32j0lqi7ggcabdra4tygxzo,M. Jensen,,,5209228659,213,4.33,5209228651,56,Left,5209228653,140,82.9,5209228655,141,87.4,5209228657,212,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719990303,17,83,1,1,44,a9vw7ikerpr4cuweeeka5aneg,0,23.8,10.6,2024-09-14T15:03:53.402Z,2024-09-14T15:04:27Z,5lu7bn7uec3zjqpoi1x81gbu1,S. Hausner,,,5209231923,399,1mml4inucvyomv1dcog3c1pt5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719990513,30,61,1,1,50,dbl7ir1qugqz8nvp1vzn8im50,0,87.6,94.4,2024-09-14T15:03:59.887Z,2024-09-14T17:03:30Z,1mml4inucvyomv1dcog3c1pt5,N. Mickelson,,,5209228693,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719990495,18,4,1,1,51,a9vw7ikerpr4cuweeeka5aneg,1,12.4,9.4,2024-09-14T15:04:00.778Z,2024-09-14T15:04:24Z,dfxs5u8rdcxhzp33aks3acdn8,K. Lusavec,,,5209231069,152,,5209231075,285,,5209231509,295,,5209231171,233,31,5209231067,13,,5209228631,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719990593,31,4,1,1,51,dbl7ir1qugqz8nvp1vzn8im50,0,87.6,90.6,2024-09-14T15:04:00.779Z,2024-09-14T15:04:25Z,1mml4inucvyomv1dcog3c1pt5,N. Mickelson,,,5209231129,295,,5209231131,152,,5209229049,56,Left,5209231133,286,,5209231127,13,,5209231265,233,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719990509,19,43,1,1,52,a9vw7ikerpr4cuweeeka5aneg,1,0.0,0.0,2024-09-14T15:04:01.619Z,2024-09-14T15:04:16Z,dfxs5u8rdcxhzp33aks3acdn8,K. Lusavec,,,5209228679,56,Back,5209230451,144,5,5209228681,347,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719991195,20,1,1,2,17,a9vw7ikerpr4cuweeeka5aneg,0,9.5,10.6,2024-09-14T15:04:26.777Z,2024-09-14T17:05:52Z,dfxs5u8rdcxhzp33aks3acdn8,K. Lusavec,,,5209232077,152,,5209232083,141,79.2,5209232085,212,57.8,5209232087,213,0.94,5209232069,5,,5209232075,157,,5209232089,1,,5209232081,140,42.0,5209232079,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719991241,32,1,1,2,18,dbl7ir1qugqz8nvp1vzn8im50,1,65.3,16.5,2024-09-14T15:04:27.198Z,2024-09-14T15:04:29Z,5wmik73cqursg7sv3w14ue5pm,L. Deedson,,,5209232275,141,26.2,5209232269,3,,5209232273,140,68.8,5209232277,212,7.6,5209232271,56,Center,5209232281,213,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719991303,33,1,1,2,20,dbl7ir1qugqz8nvp1vzn8im50,1,68.8,26.2,2024-09-14T15:04:29.790Z,2024-09-14T15:04:32Z,e9o7q10wnhex4e8eo47mobbvt,J. Bonde,,,5209232641,212,24.6,5209232643,213,3.60,5209232629,56,Back,5209232639,141,10.0,5209232621,3,,5209232635,140,47.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719991395,35,1,1,2,24,dbl7ir1qugqz8nvp1vzn8im50,0,46.0,11.9,2024-09-14T15:04:33.126Z,2024-09-14T15:04:36Z,e42jh6bbwn4aybdnysonrvutx,L. Owusu,,,5209233187,213,0.39,5209233173,155,,5209233185,212,51.7,5209233183,141,41.0,5209233179,56,Center,5209233181,140,91.5,5209233189,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719991811,23,1,1,2,36,a9vw7ikerpr4cuweeeka5aneg,1,11.5,48.8,2024-09-14T15:04:45.499Z,2024-09-14T15:04:50Z,8uhv14rin2znrr0wqgvcc2f2t,M. Delač,,,5209234967,141,28.7,5209234971,213,4.82,5209234965,140,12.9,5209234963,56,Back,5209234969,212,13.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719991867,24,1,1,2,41,a9vw7ikerpr4cuweeeka5aneg,0,23.4,29.9,2024-09-14T15:04:50.769Z,2024-09-14T15:04:53Z,5lu7bn7uec3zjqpoi1x81gbu1,S. Hausner,,,5209235279,1,,5209235271,140,70.1,5209235267,157,,5209235273,141,81.9,5209235269,56,Left,5209235275,212,60.5,5209235277,213,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719991947,36,1,1,2,43,dbl7ir1qugqz8nvp1vzn8im50,1,35.3,15.9,2024-09-14T15:04:52.870Z,2024-09-14T15:04:56Z,e42jh6bbwn4aybdnysonrvutx,L. Owusu,,,5209235767,212,24.9,5209235751,56,Right,5209235771,213,5.95,5209235747,3,,5209235755,140,57.7,5209235761,141,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719992215,38,50,1,2,55,dbl7ir1qugqz8nvp1vzn8im50,1,79.0,10.8,2024-09-14T15:05:04.529Z,2024-09-14T17:05:53Z,5wmik73cqursg7sv3w14ue5pm,L. Deedson,,,5209237237,56,Right,5209237527,233,25,5209237239,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719992241,25,7,1,2,55,a9vw7ikerpr4cuweeeka5aneg,1,21.0,89.2,2024-09-14T15:05:04.530Z,2024-09-14T15:05:10Z,81w1fqi66z0ibawynhraybaxg,S. Ngabo,,,5209237343,56,Back,5209237345,285,,5209237469,233,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719992357,27,4,1,2,59,a9vw7ikerpr4cuweeeka5aneg,1,22.4,92.0,2024-09-14T15:05:08.678Z,2024-09-14T17:05:10Z,81w1fqi66z0ibawynhraybaxg,S. Ngabo,,,5209238021,152,,5209238017,13,,5209238089,233,39,5209238019,56,Back,5209238025,285,,5210151871,295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
