id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/9/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/11/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/10/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId
2709231099,5,1,1,0,11,b8oqgvx1ijeyn6y1cn6929ix4,0,35.7,66.1,2024-08-16T17:00:48.271Z,2024-08-16T17:01:56Z,8h3cyhuw5049gcxrsld3rw1ec,V. Westh,,,5150095969,3,,5150095975,141,67.2,5150095977,212,4.0,5150095979,213,0.19,5150095973,140,39.4,5150095971,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709231115,6,61,1,0,13,b8oqgvx1ijeyn6y1cn6929ix4,1,39.0,69.3,2024-08-16T17:00:49.914Z,2024-08-16T17:47:51Z,9ircna8pbskreztmy1wiqwx9m,S. Yatéké,,,5150098969,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709231161,10,1,1,0,15,a9vw7ikerpr4cuweeeka5aneg,1,60.8,19.1,2024-08-16T17:00:52.277Z,2024-08-16T17:14:09Z,9dh7cnu4uzbraeck0t5iqlj4k,A. Herdonsson,,,5150096265,213,5.27,5150096263,212,5.4,5150096259,140,63.5,5150096257,56,Right,5150096261,141,12.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709231127,8,1,1,0,15,a9vw7ikerpr4cuweeeka5aneg,0,57.8,27.7,2024-08-16T17:00:52.326Z,2024-08-16T17:14:05Z,4mxciw9jsj9l437fd7bv78p91,J. Ankersen,,,5150096095,213,5.67,5150096091,141,20.9,5150096089,140,64.0,5150096087,56,Right,5150096093,212,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709231131,7,44,1,0,16,b8oqgvx1ijeyn6y1cn6929ix4,1,32.2,66.8,2024-08-16T17:00:52.863Z,2024-08-16T17:11:04Z,3xz0h3d6r2qgmv9egms8yaz56,C. Vestergaard,,,5150096101,56,Back,5150096159,233,9,5150096103,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709231139,9,44,1,0,16,a9vw7ikerpr4cuweeeka5aneg,0,67.8,33.2,2024-08-16T17:00:52.864Z,2024-08-16T19:08:11Z,4m9sp9mxlsjk6fv7v218yqfv9,M. Egho,,,5150096157,286,,5150096163,233,7,5150096155,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709231135,8,1,1,0,16,b8oqgvx1ijeyn6y1cn6929ix4,0,29.3,59.3,2024-08-16T17:00:53.134Z,2024-08-16T17:11:06Z,3xz0h3d6r2qgmv9egms8yaz56,C. Vestergaard,,,5150096125,56,Back,5150096131,212,7.1,5150096123,3,,5150096129,141,60.2,5150096133,213,0.09,5150096127,140,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709231173,11,1,1,0,21,a9vw7ikerpr4cuweeeka5aneg,0,63.8,39.3,2024-08-16T17:00:57.989Z,2024-08-16T17:14:36Z,9dh7cnu4uzbraeck0t5iqlj4k,A. Herdonsson,,,5150134701,141,14.1,5150134699,140,73.9,5150134697,56,Right,5150134703,212,20.2,5150134707,213,5.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709231199,9,1,1,0,22,b8oqgvx1ijeyn6y1cn6929ix4,1,35.6,74.8,2024-08-16T17:00:58.950Z,2024-08-16T17:01:02Z,f1ba9g771s0zeel0titcj3omi,A. Njai,,,5150096451,140,38.8,5150096457,213,5.18,5150096453,141,65.1,5150096455,212,7.4,5150096449,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709231201,10,1,1,0,25,b8oqgvx1ijeyn6y1cn6929ix4,1,27.6,81.4,2024-08-16T17:01:01.857Z,2024-08-16T17:11:30Z,1nn1wc14k9zd3wtu73loj7kes,P. Ngongo,,,5150124681,213,5.48,5150124675,140,35.2,5150124673,56,Back,5150124677,141,69.3,5150124679,212,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709231205,11,1,1,0,25,b8oqgvx1ijeyn6y1cn6929ix4,1,54.4,45.6,2024-08-16T17:01:02.038Z,2024-08-16T17:13:27Z,9618hk1lq7i6see347k7plkyy,M. Sarr,,,5150130845,141,20.3,5150130843,140,56.4,5150130849,213,4.83,5150130847,212,17.3,5150130841,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709231209,12,43,1,0,25,b8oqgvx1ijeyn6y1cn6929ix4,1,0.0,0.0,2024-08-16T17:01:02.151Z,2024-08-16T17:48:28Z,ekx0wotp433tuaw4g93nybjmc,S. Jalal,,,5150131295,212,10.9,5150230479,144,1,5150131293,141,35.4,5150131289,56,Center,5150131297,213,2.02,5150131291,140,53.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709231269,19,1,1,0,29,b8oqgvx1ijeyn6y1cn6929ix4,1,56.8,10.9,2024-08-16T17:01:05.855Z,2024-08-16T17:01:10Z,ekx0wotp433tuaw4g93nybjmc,S. Jalal,,,5150096733,56,Right,5150096741,213,2.26,5150096737,141,17.4,5150096739,212,5.7,5150096735,140,53.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709231279,20,1,1,0,33,b8oqgvx1ijeyn6y1cn6929ix4,1,53.3,17.4,2024-08-16T17:01:09.846Z,2024-08-16T17:01:11Z,8h3cyhuw5049gcxrsld3rw1ec,V. Westh,,,5150096815,56,Back,5150096819,141,18.8,5150096817,140,38.8,5150096821,212,15.3,5150096823,213,3.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709231293,21,1,1,0,34,b8oqgvx1ijeyn6y1cn6929ix4,1,38.2,19.1,2024-08-16T17:01:11.366Z,2024-08-16T17:01:15Z,3xz0h3d6r2qgmv9egms8yaz56,C. Vestergaard,,,5150096873,212,21.8,5150096871,141,50.4,5150096869,140,33.9,5150096867,56,Back,5150096875,213,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709231317,22,1,1,0,38,b8oqgvx1ijeyn6y1cn6929ix4,1,34.3,56.1,2024-08-16T17:01:15.078Z,2024-08-16T17:01:19Z,dqssvdpt2iwg8qn9wto3miind,A. Leifsson,,,5150096989,56,Back,5150096993,141,30.3,5150096997,213,4.77,5150096991,140,35.2,5150096995,212,17.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709231333,23,1,1,0,42,b8oqgvx1ijeyn6y1cn6929ix4,0,37.1,15.9,2024-08-16T17:01:19.246Z,2024-08-16T17:48:43Z,3xz0h3d6r2qgmv9egms8yaz56,C. Vestergaard,,,5150097061,56,Center,5150097069,213,0.24,5150097067,212,36.1,5150097063,140,70.5,5150097065,141,28.6,5150097071,1,,5150231047,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709234239,54,43,1,0,44,a9vw7ikerpr4cuweeeka5aneg,1,0.0,0.0,2024-08-16T17:01:20.829Z,2024-08-16T17:07:39Z,5w0giylttgiapseaw6qky0mxg,F. Christensen,,,5150112863,212,3.3,5150113209,144,1,5150112861,141,31.4,5150112859,140,60.2,5150112857,56,Center,5150112855,3,0,5150112865,213,1.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709231361,12,1,1,0,45,a9vw7ikerpr4cuweeeka5aneg,1,22.9,78.3,2024-08-16T17:01:22.525Z,2024-08-16T17:01:25Z,4lxxyqy78jkglhv2w6crzcnsa,O. Kolskogen,,,5150097191,56,Back,5150097199,213,0.87,5150097197,212,13.6,5150097189,3,,5150097193,140,31.2,5150097195,141,93.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709231363,13,4,1,0,48,a9vw7ikerpr4cuweeeka5aneg,1,34.4,87.6,2024-08-16T17:01:25.493Z,2024-08-16T19:02:13Z,eso2tbbpnxu9qvx6zy07m5jx0,J. Madsen,,,5150097235,265,,5150097317,233,24,5150097231,56,Back,5150097321,286,,5150097233,152,,5150097229,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709231373,24,4,1,0,48,b8oqgvx1ijeyn6y1cn6929ix4,0,65.6,12.4,2024-08-16T17:01:25.494Z,2024-08-16T19:02:14Z,ekx0wotp433tuaw4g93nybjmc,S. Jalal,,,5150097289,285,,5150097287,265,,5150097283,56,Right,5150097281,13,,5150097323,233,13,5150097285,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709231533,14,1,1,1,10,a9vw7ikerpr4cuweeeka5aneg,1,28.8,91.7,2024-08-16T17:01:47.013Z,2024-08-16T17:01:49Z,eso2tbbpnxu9qvx6zy07m5jx0,J. Madsen,,,5150098051,212,18.9,5150098045,56,Back,5150098053,213,4.38,5150098041,5,,5150098043,152,,5150098049,141,65.4,5150098047,140,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709231545,15,1,1,1,12,a9vw7ikerpr4cuweeeka5aneg,1,23.0,65.4,2024-08-16T17:01:49.165Z,2024-08-16T17:01:51Z,4lxxyqy78jkglhv2w6crzcnsa,O. Kolskogen,,,5150098109,213,4.88,5150098107,212,16.3,5150098103,140,25.6,5150098105,141,41.8,5150098101,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709231567,16,1,1,1,14,a9vw7ikerpr4cuweeeka5aneg,1,25.6,41.8,2024-08-16T17:01:51.412Z,2024-08-16T17:01:54Z,5lu7bn7uec3zjqpoi1x81gbu1,S. Hausner,,,5150098215,56,Back,5150098223,213,5.37,5150098217,140,41.6,5150098219,141,9.8,5150098221,212,27.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709231579,17,1,1,1,17,a9vw7ikerpr4cuweeeka5aneg,1,41.6,9.8,2024-08-16T17:01:54.213Z,2024-08-16T17:01:55Z,a6ymx4wkrn260rtpb360nsiqd,M. Kallesøe,,,5150098271,140,33.7,5150098273,141,22.4,5150098277,213,2.34,5150098275,212,11.9,5150098269,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709231597,18,1,1,1,18,a9vw7ikerpr4cuweeeka5aneg,1,33.7,22.4,2024-08-16T17:01:55.332Z,2024-08-16T17:01:58Z,5lu7bn7uec3zjqpoi1x81gbu1,S. Hausner,,,5150098375,212,10.4,5150098369,56,Back,5150098371,140,39.3,5150098373,141,9.8,5150098377,213,5.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709231629,19,1,1,1,21,a9vw7ikerpr4cuweeeka5aneg,0,40.0,8.3,2024-08-16T17:01:58.044Z,2024-08-16T17:02:03Z,a6ymx4wkrn260rtpb360nsiqd,M. Kallesøe,,,5150098541,213,0.04,5150098533,56,Right,5150098539,212,64.0,5150098537,141,11.6,5150098543,1,,5150098531,155,,5150098535,140,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709231631,20,5,1,1,26,a9vw7ikerpr4cuweeeka5aneg,0,101.1,10.4,2024-08-16T17:02:03.329Z,2024-08-16T19:02:46Z,a6ymx4wkrn260rtpb360nsiqd,M. Kallesøe,,,5150098547,346,,5150098791,233,25,5150098545,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709231677,25,5,1,1,26,b8oqgvx1ijeyn6y1cn6929ix4,1,-1.1,89.6,2024-08-16T17:02:03.329Z,2024-08-16T19:02:46Z,8ewvm6ux4yvpwgrzjkc1chqwa,A. Nørager,,,5150098761,56,Back,5150098777,233,20,5150098763,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709231801,26,1,1,1,46,b8oqgvx1ijeyn6y1cn6929ix4,1,4.6,60.2,2024-08-16T17:02:23.406Z,2024-08-16T17:02:26Z,8ewvm6ux4yvpwgrzjkc1chqwa,A. Nørager,,,5150099365,124,,5150099371,141,63.0,5150099377,1,,5150099373,212,55.8,5150099375,213,0.03,5150099381,74,,5150099367,56,Center,5150099369,140,57.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709231803,27,44,1,1,49,b8oqgvx1ijeyn6y1cn6929ix4,1,59.0,60.7,2024-08-16T17:02:25.611Z,2024-08-16T19:08:11Z,9ircna8pbskreztmy1wiqwx9m,S. Yatéké,,,5150099421,233,21,5150099385,56,Center,5150099387,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709231799,21,44,1,1,49,a9vw7ikerpr4cuweeeka5aneg,0,41.0,39.3,2024-08-16T17:02:25.612Z,2024-08-16T19:08:12Z,5lu7bn7uec3zjqpoi1x81gbu1,S. Hausner,,,5150099429,233,27,5150099363,285,,5150099361,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709231831,28,1,1,1,49,b8oqgvx1ijeyn6y1cn6929ix4,0,57.7,63.0,2024-08-16T17:02:26.327Z,2024-08-16T17:02:37Z,9ircna8pbskreztmy1wiqwx9m,S. Yatéké,,,5150099521,56,Center,5150099517,3,,5150099519,168,,5150099531,1,,5150099523,140,94.4,5150099529,213,0.19,5150099527,212,39.2,5150099525,141,73.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709231843,22,12,1,1,55,a9vw7ikerpr4cuweeeka5aneg,1,6.0,28.9,2024-08-16T17:02:31.821Z,2024-08-16T17:02:33Z,4lxxyqy78jkglhv2w6crzcnsa,O. Kolskogen,,,5150099595,141,0.0,5150099617,167,,5150099589,56,Back,5150099593,140,6.5,5150099599,213,4.74,5150099597,212,20.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709231845,23,5,1,1,56,a9vw7ikerpr4cuweeeka5aneg,0,6.9,-1.4,2024-08-16T17:02:32.926Z,2024-08-16T19:02:47Z,4lxxyqy78jkglhv2w6crzcnsa,O. Kolskogen,,,5150099761,233,29,5150099603,347,,5150099601,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709231859,29,5,1,1,56,b8oqgvx1ijeyn6y1cn6929ix4,1,93.1,101.4,2024-08-16T17:02:32.926Z,2024-08-16T19:02:46Z,9618hk1lq7i6see347k7plkyy,M. Sarr,,,5150099689,347,,5150099687,56,Left,5150099743,233,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709232153,30,1,1,2,40,b8oqgvx1ijeyn6y1cn6929ix4,0,89.9,100.0,2024-08-16T17:03:17.231Z,2024-08-16T17:03:22Z,3xz0h3d6r2qgmv9egms8yaz56,C. Vestergaard,,,5150101197,213,4.80,5150101199,1,,5150101187,107,,5150101193,141,51.6,5150101189,56,Center,5150101195,212,34.1,5150101191,140,92.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709231107,7,44,1,2,44,a9vw7ikerpr4cuweeeka5aneg,1,7.2,48.1,2024-08-16T17:03:21.115Z,2024-08-16T19:08:12Z,5lu7bn7uec3zjqpoi1x81gbu1,S. Hausner,,,5150153963,233,31,5150153945,56,Back,5150153947,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709232157,31,44,1,2,44,b8oqgvx1ijeyn6y1cn6929ix4,0,92.8,51.9,2024-08-16T17:03:21.116Z,2024-08-16T19:08:12Z,1nn1wc14k9zd3wtu73loj7kes,P. Ngongo,,,5150153971,233,7,5150101209,286,,5150101207,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709232167,24,12,1,2,45,a9vw7ikerpr4cuweeeka5aneg,1,10.9,44.0,2024-08-16T17:03:22.109Z,2024-08-16T19:12:54Z,5lu7bn7uec3zjqpoi1x81gbu1,S. Hausner,,,5150101251,140,33.0,5150101257,213,6.11,5150101253,141,38.2,5150101279,15,,5150101255,212,23.5,5150101249,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709255367,392,44,1,2,46,b8oqgvx1ijeyn6y1cn6929ix4,1,61.0,48.9,2024-08-16T17:03:23.588Z,2024-08-16T19:08:13Z,9fvf8z6p8ok0n5vu999ysfywa,C. Jørgensen,,,5150233445,233,491,5150232789,56,Center,5150232791,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709255477,491,44,1,2,47,a9vw7ikerpr4cuweeeka5aneg,0,39.0,51.1,2024-08-16T17:03:23.589Z,2024-08-16T19:13:33Z,4mxciw9jsj9l437fd7bv78p91,J. Ankersen,,,5150233359,285,,5150233357,56,Back,5150233623,233,392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709232183,32,1,1,2,47,b8oqgvx1ijeyn6y1cn6929ix4,1,60.6,54.9,2024-08-16T17:03:23.677Z,2024-08-16T19:05:01Z,9fvf8z6p8ok0n5vu999ysfywa,C. Jørgensen,,,5150101367,213,5.78,5150101363,141,46.0,5150101359,56,Center,5150101365,212,12.6,5150101357,3,,5150101361,140,71.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709232191,33,1,1,2,51,b8oqgvx1ijeyn6y1cn6929ix4,1,72.0,44.6,2024-08-16T17:03:27.692Z,2024-08-16T17:03:29Z,ekx0wotp433tuaw4g93nybjmc,S. Jalal,,,5150101425,140,88.8,5150101431,213,5.34,5150101427,141,9.2,5150101429,212,29.8,5150101423,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709232231,34,1,1,2,52,b8oqgvx1ijeyn6y1cn6929ix4,1,88.8,9.2,2024-08-16T17:03:29.077Z,2024-08-16T17:03:47Z,f1ba9g771s0zeel0titcj3omi,A. Njai,1.0,,5150101605,140,91.5,5150102155,210,13,5150101601,155,,5150102157,154,,5150101611,213,1.47,5150101603,56,Center,5150101599,2,,5150101607,141,51.2,5150101609,212,28.7,,,,,,,,,,,,,,,,,,,,,,,,,,
2709232241,35,44,1,2,57,b8oqgvx1ijeyn6y1cn6929ix4,1,90.6,48.6,2024-08-16T17:03:34.373Z,2024-08-16T19:08:14Z,1nn1wc14k9zd3wtu73loj7kes,P. Ngongo,,,5150101659,56,Center,5150101691,233,25,5150101661,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709232245,25,44,1,2,57,a9vw7ikerpr4cuweeeka5aneg,0,9.4,51.4,2024-08-16T17:03:34.374Z,2024-08-16T19:08:14Z,a6ymx4wkrn260rtpb360nsiqd,M. Kallesøe,,,5150101663,56,Back,5150101697,233,35,5150101665,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
