id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/9/value,qualifier/11/value,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/8/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId
2711320285,4,1,1,0,10,8cfkisxf1fkxdqtt6tx1tup48,1,32.6,77.5,2024-08-20T16:30:51.384Z,2024-08-20T16:30:53Z,69h930ebovyl7rut5dz4r2iok,M. Khan,,,5161640537,56,Back,5161640545,213,5.07,5161640541,141,72.1,5161640543,212,3.9,5161640539,140,33.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711320289,6,1,1,0,11,8cfkisxf1fkxdqtt6tx1tup48,0,33.9,72.1,2024-08-20T16:30:52.272Z,2024-08-20T16:36:03Z,11ngumxajbizagbzpm5kompxx,M. Chacón,,,5161640557,212,28.2,5161640555,141,71.7,5161640551,56,Center,5161640559,213,6.27,5161640553,140,60.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711320301,6,1,1,0,12,ajtb177oqwawkdwbqhldmq6mx,1,34.7,32.4,2024-08-20T16:30:53.307Z,2024-08-20T16:36:05Z,2uellcocrvapu7o70g5zdcmad,J. Egeris,,,5161640631,141,8.8,5161640635,213,5.88,5161640627,56,Right,5161640633,212,40.9,5161640625,157,,5161640637,1,,5161640629,140,70.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711320303,7,61,1,0,13,ajtb177oqwawkdwbqhldmq6mx,0,70.5,8.8,2024-08-20T16:30:54.044Z,2024-08-20T16:35:52Z,as7qhgi67gngq0nb3zmwg8jro,S. Clemmensen,,,5161640645,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711320309,7,1,1,0,18,8cfkisxf1fkxdqtt6tx1tup48,1,27.5,87.1,2024-08-20T16:30:58.856Z,2024-08-20T16:31:00Z,1icurh5jrnw1e6jdgqxjnhdnu,G. Çulhacı,,,5161640673,140,34.3,5161640679,213,0.44,5161640671,56,Back,5161640675,141,92.1,5161640677,212,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711320313,8,50,1,0,19,8cfkisxf1fkxdqtt6tx1tup48,1,33.6,93.0,2024-08-20T16:31:00.234Z,2024-08-20T19:12:06Z,11ngumxajbizagbzpm5kompxx,M. Chacón,,,5161640693,56,Back,5161640719,233,8,5161640725,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711320317,8,7,1,0,19,ajtb177oqwawkdwbqhldmq6mx,1,66.4,7.0,2024-08-20T16:31:00.235Z,2024-08-20T16:31:05Z,as7qhgi67gngq0nb3zmwg8jro,S. Clemmensen,,,5161640703,56,Right,5161640723,285,,5161640707,233,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711320323,10,1,1,0,21,ajtb177oqwawkdwbqhldmq6mx,1,53.9,7.0,2024-08-20T16:31:01.755Z,2024-08-20T16:31:06Z,as7qhgi67gngq0nb3zmwg8jro,S. Clemmensen,,,5161640731,56,Back,5161640735,141,16.7,5161640739,213,2.22,5161640733,140,49.1,5161640737,212,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711320327,11,1,1,0,22,ajtb177oqwawkdwbqhldmq6mx,1,49.1,16.7,2024-08-20T16:31:03.203Z,2024-08-20T16:31:06Z,e8vt8711wb40afht2v13omket,M. Wohlgemuth,,,5161640765,212,11.3,5161640761,140,59.1,5161640763,141,10.7,5161640767,213,5.91,5161640759,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711320331,12,1,1,0,23,ajtb177oqwawkdwbqhldmq6mx,0,59.1,10.7,2024-08-20T16:31:03.835Z,2024-08-20T16:35:37Z,4a0jmv6qmwn01iuqp1mhnyzth,N. Thomsen,,,5161640777,212,10.1,5161640775,141,24.7,5161640771,56,Center,5161640773,140,62.3,5161640779,213,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711320325,9,1,1,0,24,8cfkisxf1fkxdqtt6tx1tup48,1,36.5,83.8,2024-08-20T16:31:04.832Z,2024-08-20T16:31:06Z,11ngumxajbizagbzpm5kompxx,M. Chacón,,,5161640747,56,Back,5161640753,212,8.5,5161640751,141,87.2,5161640755,213,2.87,5161640749,140,28.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711320335,11,1,1,0,26,8cfkisxf1fkxdqtt6tx1tup48,1,28.7,87.2,2024-08-20T16:31:06.896Z,2024-08-20T16:31:09Z,1icurh5jrnw1e6jdgqxjnhdnu,G. Çulhacı,,,5161640797,141,54.2,5161640801,213,4.01,5161640795,140,10.7,5161640799,212,29.3,5161640793,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711320337,12,1,1,0,28,8cfkisxf1fkxdqtt6tx1tup48,1,10.7,54.3,2024-08-20T16:31:09.424Z,2024-08-20T19:14:09Z,dqqswfn9s1tdxjoslts8ks6xg,B. Bayrak,,,5161640859,212,18.4,5161640861,213,1.59,5161640857,141,81.4,5161640855,140,10.4,5161640853,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711320343,13,1,1,0,33,8cfkisxf1fkxdqtt6tx1tup48,0,10.5,81.7,2024-08-20T16:31:13.776Z,2024-08-20T16:31:15Z,2pm5oqzyonn0dysa5nszgq3xm,H. Bonnesen,,,5161640937,140,46.2,5161640935,56,Back,5161640933,157,,5161640941,212,38.2,5161640945,1,,5161640943,213,6.08,5161640939,141,70.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711320351,13,8,1,0,36,ajtb177oqwawkdwbqhldmq6mx,1,55.7,33.9,2024-08-20T16:31:16.787Z,2024-08-20T16:31:16Z,2uellcocrvapu7o70g5zdcmad,J. Egeris,,,5161640977,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711320363,15,1,1,0,39,ajtb177oqwawkdwbqhldmq6mx,1,54.5,39.5,2024-08-20T16:31:19.818Z,2024-08-20T16:31:21Z,5u9zrgsm6wycfcbk04m64wd1w,N. Morberg,,,5161641027,213,4.83,5161641019,56,Right,5161641021,140,56.1,5161641025,212,14.2,5161641023,141,18.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711320365,16,4,1,0,39,ajtb177oqwawkdwbqhldmq6mx,1,55.8,22.8,2024-08-20T16:31:20.439Z,2024-08-20T17:35:23Z,e8vt8711wb40afht2v13omket,M. Wohlgemuth,,,5161641051,233,14,5161641039,286,,5161641037,265,,5161641035,152,,5161641031,13,,5161641033,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711320361,14,4,1,0,39,8cfkisxf1fkxdqtt6tx1tup48,0,44.2,77.2,2024-08-20T16:31:20.440Z,2024-08-20T17:35:23Z,3mcj3wypzq3lno1ehc0vif1sl,J. Arias,,,5161641045,152,,5161641041,13,,5161641049,285,,5161641043,56,Back,5161641071,233,16,5161641047,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711320393,18,1,1,0,51,ajtb177oqwawkdwbqhldmq6mx,1,55.3,13.7,2024-08-20T16:31:31.540Z,2024-08-20T16:38:02Z,6g671k5lvgoo2bgub2516q1w4,L. Henriksen,,,5161646357,152,,5161641341,189,,5161641217,56,Back,5161646355,5,,5161641223,212,26.7,5161641225,213,1.99,5161641221,141,49.6,5161641219,140,44.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711320397,19,1,1,0,52,ajtb177oqwawkdwbqhldmq6mx,1,44.9,49.6,2024-08-20T16:31:32.933Z,2024-08-20T16:36:59Z,e8vt8711wb40afht2v13omket,M. Wohlgemuth,,,5161641249,213,1.84,5161641243,140,39.1,5161641241,56,Back,5161641245,141,82.3,5161641247,212,23.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711320413,20,1,1,0,53,ajtb177oqwawkdwbqhldmq6mx,1,39.1,82.3,2024-08-20T16:31:34.307Z,2024-08-20T16:31:40Z,9213debwtuph6cjborx73sx78,O. Søe,,,5161641317,56,Back,5161641319,140,24.4,5161641321,141,58.1,5161641325,213,3.96,5161641323,212,22.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711320415,21,1,1,1,0,ajtb177oqwawkdwbqhldmq6mx,1,20.6,62.6,2024-08-20T16:31:41.107Z,2024-08-20T16:31:42Z,b2gkyjq8emj9pywryc3rycogl,M. Falkesgaard,,,5161641359,141,75.3,5161641357,140,22.7,5161641363,213,1.32,5161641361,212,8.9,5161641355,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711320425,22,1,1,1,1,ajtb177oqwawkdwbqhldmq6mx,1,22.7,75.3,2024-08-20T16:31:41.938Z,2024-08-20T16:31:43Z,9213debwtuph6cjborx73sx78,O. Søe,,,5161641417,212,10.2,5161641409,56,Back,5161641413,140,18.8,5161641419,213,4.30,5161641415,141,61.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711320445,23,1,1,1,3,ajtb177oqwawkdwbqhldmq6mx,1,18.4,56.1,2024-08-20T16:31:43.708Z,2024-08-20T16:31:50Z,b2gkyjq8emj9pywryc3rycogl,M. Falkesgaard,,,5161641517,212,19.2,5161641515,141,28.2,5161641511,56,Back,5161641519,213,4.87,5161641513,140,21.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711320451,24,1,1,1,10,ajtb177oqwawkdwbqhldmq6mx,1,20.8,30.3,2024-08-20T16:31:51.348Z,2024-08-20T19:14:11Z,2uellcocrvapu7o70g5zdcmad,J. Egeris,,,5161641547,212,18.7,5161641541,56,Back,5161641545,141,50.7,5161641543,140,32.8,5161641549,213,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711320455,25,43,1,1,11,ajtb177oqwawkdwbqhldmq6mx,1,0.0,0.0,2024-08-20T16:31:52.354Z,2024-08-20T16:38:16Z,e8vt8711wb40afht2v13omket,M. Wohlgemuth,,,5161641577,141,71.7,5161641575,140,19.9,5161641573,56,Back,5161641581,213,2.33,5161646561,144,1,5161641579,212,19.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711320457,26,1,1,1,12,ajtb177oqwawkdwbqhldmq6mx,1,19.9,71.7,2024-08-20T16:31:53.298Z,2024-08-20T19:14:12Z,9213debwtuph6cjborx73sx78,O. Søe,,,5161641587,140,30.9,5161641585,56,Back,5161641593,213,5.96,5161641591,212,12.2,5161641589,141,66.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711320465,27,1,1,1,13,ajtb177oqwawkdwbqhldmq6mx,1,30.9,66.1,2024-08-20T16:31:54.290Z,2024-08-20T16:31:56Z,5u9zrgsm6wycfcbk04m64wd1w,N. Morberg,,,5161641627,140,19.8,5161641631,212,11.7,5161641633,213,3.03,5161641625,56,Back,5161641629,141,68.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711320477,28,1,1,1,15,ajtb177oqwawkdwbqhldmq6mx,1,19.8,68.1,2024-08-20T16:31:56.179Z,2024-08-20T16:32:02Z,9213debwtuph6cjborx73sx78,O. Søe,,,5161641699,212,13.3,5161641693,56,Back,5161641695,140,16.2,5161641701,213,4.42,5161641697,141,49.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711320481,29,1,1,1,22,ajtb177oqwawkdwbqhldmq6mx,1,13.8,47.5,2024-08-20T16:32:03.499Z,2024-08-20T16:32:04Z,b2gkyjq8emj9pywryc3rycogl,M. Falkesgaard,,,5161641729,56,Back,5161641733,141,71.1,5161641735,212,20.7,5161641731,140,26.2,5161641737,213,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711320485,30,1,1,1,24,ajtb177oqwawkdwbqhldmq6mx,1,26.2,71.1,2024-08-20T16:32:04.595Z,2024-08-20T16:32:05Z,9213debwtuph6cjborx73sx78,O. Søe,,,5161641743,140,38.1,5161641749,213,5.94,5161641741,56,Back,5161641745,141,64.6,5161641747,212,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711320495,31,1,1,1,24,ajtb177oqwawkdwbqhldmq6mx,1,38.1,64.6,2024-08-20T16:32:05.266Z,2024-08-20T16:32:10Z,5u9zrgsm6wycfcbk04m64wd1w,N. Morberg,,,5161641797,212,15.5,5161641793,140,23.6,5161641791,56,Back,5161641795,141,60.6,5161641799,213,3.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711320503,32,1,1,1,32,ajtb177oqwawkdwbqhldmq6mx,1,40.9,50.6,2024-08-20T16:32:12.747Z,2024-08-20T16:32:15Z,e8vt8711wb40afht2v13omket,M. Wohlgemuth,,,5161641839,140,32.5,5161641843,212,16.9,5161641841,141,71.8,5161641845,213,2.12,5161641837,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711320515,33,1,1,1,35,ajtb177oqwawkdwbqhldmq6mx,1,39.1,66.7,2024-08-20T16:32:15.754Z,2024-08-20T16:32:20Z,9213debwtuph6cjborx73sx78,O. Søe,,,5161641897,56,Back,5161641905,213,4.56,5161641901,141,30.3,5161641903,212,25.1,5161641899,140,35.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711320527,34,1,1,1,40,ajtb177oqwawkdwbqhldmq6mx,1,38.0,25.8,2024-08-20T16:32:20.754Z,2024-08-20T16:32:25Z,2uellcocrvapu7o70g5zdcmad,J. Egeris,,,5161641965,56,Back,5161641967,140,40.6,5161641969,141,63.9,5161641973,213,1.47,5161641971,212,26.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711320531,35,1,1,1,45,ajtb177oqwawkdwbqhldmq6mx,1,44.3,57.2,2024-08-20T16:32:25.706Z,2024-08-20T16:32:27Z,9213debwtuph6cjborx73sx78,O. Søe,,,5161641983,141,40.9,5161641981,140,65.1,5161641985,212,24.5,5161641979,56,Center,5161641987,213,5.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711320535,36,1,1,1,46,ajtb177oqwawkdwbqhldmq6mx,1,65.2,40.7,2024-08-20T16:32:26.850Z,2024-08-20T16:32:28Z,4a0jmv6qmwn01iuqp1mhnyzth,N. Thomsen,,,5161642015,212,8.3,5161642011,140,72.6,5161642013,141,44.9,5161642009,56,Center,5161642017,213,0.35,5161642007,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711320537,37,1,1,1,47,ajtb177oqwawkdwbqhldmq6mx,0,72.6,44.9,2024-08-20T16:32:27.937Z,2024-08-20T16:32:30Z,8i0o1b8rjsab9se3v6vteqmfo,E. Nnamani,,,5161642041,4,,5161642029,56,Center,5161642037,213,6.07,5161642031,140,86.7,5161642035,212,15.1,5161642033,141,40.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711320539,15,43,1,1,51,8cfkisxf1fkxdqtt6tx1tup48,1,0.0,0.0,2024-08-20T16:32:31.599Z,2024-08-20T16:32:36Z,1icurh5jrnw1e6jdgqxjnhdnu,G. Çulhacı,,,5161642175,144,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711320549,16,12,1,1,53,8cfkisxf1fkxdqtt6tx1tup48,1,3.0,74.8,2024-08-20T16:32:33.608Z,2024-08-20T16:32:38Z,1icurh5jrnw1e6jdgqxjnhdnu,G. Çulhacı,,,5161642131,213,1.14,5161642127,141,100.0,5161642125,140,10.8,5161642201,167,,5161642123,56,Back,5161642129,212,19.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711320551,17,5,1,1,53,8cfkisxf1fkxdqtt6tx1tup48,0,16.0,101.2,2024-08-20T16:32:34.194Z,2024-08-20T16:32:43Z,1icurh5jrnw1e6jdgqxjnhdnu,G. Çulhacı,,,5161642137,347,,5161642233,233,38,5161642135,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711320565,38,5,1,1,53,ajtb177oqwawkdwbqhldmq6mx,1,84.0,-1.2,2024-08-20T16:32:34.194Z,2024-08-20T18:27:27Z,8i0o1b8rjsab9se3v6vteqmfo,E. Nnamani,,,5161642215,233,17,5161642205,347,,5161642203,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711320585,40,1,1,2,0,ajtb177oqwawkdwbqhldmq6mx,1,75.3,0.0,2024-08-20T16:32:40.922Z,2024-08-20T16:33:22Z,6g671k5lvgoo2bgub2516q1w4,L. Henriksen,,,5161642299,140,68.8,5161642305,213,2.10,5161642301,141,15.3,5161642303,212,13.5,5161642297,56,Right,5161642925,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711320587,41,1,1,2,1,ajtb177oqwawkdwbqhldmq6mx,1,68.8,15.3,2024-08-20T16:32:41.890Z,2024-08-20T16:32:44Z,e8vt8711wb40afht2v13omket,M. Wohlgemuth,,,5161642319,1,,5161642317,213,2.88,5161642309,56,Back,5161642315,212,39.4,5161642311,140,32.5,5161642313,141,30.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711320627,42,1,1,2,6,ajtb177oqwawkdwbqhldmq6mx,1,38.4,30.1,2024-08-20T16:32:46.835Z,2024-08-20T16:32:54Z,2uellcocrvapu7o70g5zdcmad,J. Egeris,,,5161642517,56,Back,5161642523,212,26.1,5161642519,140,39.1,5161642525,213,1.54,5161642521,141,68.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711320635,43,1,1,2,14,ajtb177oqwawkdwbqhldmq6mx,1,47.7,65.2,2024-08-20T16:32:54.586Z,2024-08-20T16:32:59Z,9213debwtuph6cjborx73sx78,O. Søe,,,5161642569,213,0.63,5161642563,141,92.0,5161642561,140,71.7,5161642567,212,31.1,5161642559,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
