id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/12/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/14/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/16/value
2802137533,7,1,1,0,19,dbl7ir1qugqz8nvp1vzn8im50,1,15.3,83.3,2025-04-17T11:00:41.732Z,2025-04-17T11:00:43Z,auk14ut8cwaqop549u2zmfgt1,N. Bürgy,,,5657604543,213,4.08,5657604553,189,,5657604535,56,Back,5657604539,141,65.2,5657604537,140,6.7,5657604541,212,15.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802137547,8,1,1,0,21,dbl7ir1qugqz8nvp1vzn8im50,0,6.7,65.2,2025-04-17T11:00:43.819Z,2025-04-17T11:00:47Z,2g019dl7zougqjo7usig0rf11,M. Hansen,,,5657604607,140,45.3,5657604611,212,41.2,5657604609,141,76.0,5657604605,56,Back,5657604615,1,,5657604603,157,,5657604613,213,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802137553,7,1,1,0,24,b8oqgvx1ijeyn6y1cn6929ix4,1,54.6,21.5,2025-04-17T11:00:46.602Z,2025-04-17T12:20:02Z,3xz0h3d6r2qgmv9egms8yaz56,C. Vestergaard,,,5657671281,141,22.7,5657671279,140,55.1,5657671277,3,,5657671285,213,1.00,5657604645,56,Center,5657671283,212,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802137565,9,1,1,0,26,b8oqgvx1ijeyn6y1cn6929ix4,1,56.8,3.7,2025-04-17T11:00:48.513Z,2025-04-17T11:00:50Z,ekx0wotp433tuaw4g93nybjmc,S. Jalal,,,5657604679,140,65.9,5657604681,141,9.5,5657604677,56,Right,5657604685,213,0.39,5657604683,212,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802137567,10,1,1,0,28,b8oqgvx1ijeyn6y1cn6929ix4,0,65.9,9.5,2025-04-17T11:00:50.705Z,2025-04-18T11:27:22Z,5u9zrgsm6wycfcbk04m64wd1w,N. Morberg,,,5657604689,56,Right,5657604695,212,6.6,5657604693,141,14.3,5657604697,213,2.63,5657604691,140,60.4,5658818669,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802137583,9,4,1,0,31,dbl7ir1qugqz8nvp1vzn8im50,1,33.4,85.4,2025-04-17T11:00:53.505Z,2025-04-17T11:00:59Z,15jhbyn4wsbd865fd9djcwaok,W. Martin,,,5657604801,286,,5657604773,152,,5657604771,56,Back,5657604769,13,,5657604779,233,11,5657604775,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802137577,11,4,1,0,31,b8oqgvx1ijeyn6y1cn6929ix4,0,66.6,14.6,2025-04-17T11:00:53.506Z,2025-04-17T11:01:00Z,ekx0wotp433tuaw4g93nybjmc,S. Jalal,,,5657604733,13,,5657604787,233,9,5657604739,265,,5657604735,56,Right,5657604737,152,,5657604795,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802137597,10,1,1,0,35,dbl7ir1qugqz8nvp1vzn8im50,1,29.3,83.5,2025-04-17T11:00:57.739Z,2025-04-17T11:01:00Z,2uw6m0yavlvkkiob73hoywb56,G. Grubbe,,,5657604825,56,Back,5657604829,141,79.4,5657604823,152,,5657604831,212,6.9,5657604821,5,,5657604833,213,3.56,5657604827,140,23.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802137601,11,1,1,0,38,dbl7ir1qugqz8nvp1vzn8im50,1,23.3,79.4,2025-04-17T11:01:00.379Z,2025-04-17T11:01:05Z,auk14ut8cwaqop549u2zmfgt1,N. Bürgy,,,5657604877,140,29.4,5657604885,1,,5657604883,213,4.86,5657604873,196,,5657604875,56,Back,5657604879,141,15.5,5657604881,212,43.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802137609,12,1,1,0,42,dbl7ir1qugqz8nvp1vzn8im50,0,31.1,14.9,2025-04-17T11:01:05.004Z,2025-04-17T11:01:10Z,1mml4inucvyomv1dcog3c1pt5,N. Mickelson,,,5657604943,141,18.3,5657604949,1,,5657604945,212,62.4,5657604939,56,Right,5657604941,140,90.5,5657604937,155,,5657604947,213,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802137611,12,12,1,0,47,b8oqgvx1ijeyn6y1cn6929ix4,1,13.5,85.6,2025-04-17T11:01:09.705Z,2025-04-17T11:01:11Z,8ewvm6ux4yvpwgrzjkc1chqwa,A. Nørager,,,5657604957,212,10.6,5657604951,56,Back,5657604965,167,,5657604953,140,11.8,5657604959,213,1.74,5657604955,141,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802137613,13,5,1,0,48,b8oqgvx1ijeyn6y1cn6929ix4,0,11.6,101.4,2025-04-17T11:01:10.411Z,2025-04-17T11:01:21Z,8ewvm6ux4yvpwgrzjkc1chqwa,A. Nørager,,,5657605063,233,13,5657604961,56,Back,5657604963,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802137621,13,5,1,0,48,dbl7ir1qugqz8nvp1vzn8im50,1,88.4,-1.4,2025-04-17T11:01:10.411Z,2025-04-17T13:12:06Z,1mml4inucvyomv1dcog3c1pt5,N. Mickelson,,,5657605055,56,Right,5657605065,233,13,5657605057,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802137627,14,1,1,1,1,dbl7ir1qugqz8nvp1vzn8im50,1,87.8,0.0,2025-04-17T11:01:23.627Z,2025-04-17T11:01:25Z,1mml4inucvyomv1dcog3c1pt5,N. Mickelson,,,5657605105,107,,5657605115,213,1.63,5657605109,140,87.0,5657605113,212,13.4,5657605111,141,17.6,5657605107,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802137635,15,1,1,1,3,dbl7ir1qugqz8nvp1vzn8im50,1,87.0,17.6,2025-04-17T11:01:25.627Z,2025-04-17T11:01:28Z,2z8u8kyv91shp0la8alkn6kus,M. Ejdum,,,5657605165,212,4.0,5657605161,140,85.1,5657605163,141,12.5,5657605167,213,4.19,5657605159,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802137647,16,1,1,1,6,dbl7ir1qugqz8nvp1vzn8im50,1,79.6,10.0,2025-04-17T11:01:28.251Z,2025-04-17T11:01:30Z,1mml4inucvyomv1dcog3c1pt5,N. Mickelson,,,5657605211,140,58.7,5657605217,213,2.95,5657605213,141,16.4,5657605215,212,22.4,5657605209,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802137639,14,43,1,1,6,b8oqgvx1ijeyn6y1cn6929ix4,1,0.0,0.0,2025-04-17T11:01:28.441Z,2025-04-17T12:20:53Z,4zpmxlmdfa5wx79cr0q14pfx1,M. Olsen,,,5657672599,144,83,5657605309,399,dqtarwrqvkopmzbt2ovp2dln9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802137643,15,43,1,1,7,b8oqgvx1ijeyn6y1cn6929ix4,1,0.0,0.0,2025-04-17T11:01:29.057Z,2025-04-17T11:01:31Z,4zpmxlmdfa5wx79cr0q14pfx1,M. Olsen,,,5657605197,56,Back,5657605237,144,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802137655,17,1,1,1,8,dbl7ir1qugqz8nvp1vzn8im50,1,58.7,16.4,2025-04-17T11:01:30.227Z,2025-04-17T11:01:33Z,dqtarwrqvkopmzbt2ovp2dln9,B. Paulsen,,,5657605283,140,49.6,5657605289,213,2.01,5657605285,141,46.0,5657605281,56,Back,5657605287,212,22.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802137659,18,1,1,1,11,dbl7ir1qugqz8nvp1vzn8im50,1,55.8,52.1,2025-04-17T11:01:33.740Z,2025-04-17T11:01:36Z,auk14ut8cwaqop549u2zmfgt1,N. Bürgy,,,5657605327,56,Center,5657605333,212,18.7,5657605335,213,0.78,5657605331,141,71.5,5657605329,140,68.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802137669,19,1,1,1,14,dbl7ir1qugqz8nvp1vzn8im50,1,68.4,71.5,2025-04-17T11:01:36.731Z,2025-04-17T11:01:39Z,15jhbyn4wsbd865fd9djcwaok,W. Martin,,,5657605371,56,Left,5657605373,140,72.9,5657605377,212,13.6,5657605379,213,1.22,5657605375,141,90.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802137675,20,1,1,1,17,dbl7ir1qugqz8nvp1vzn8im50,1,69.5,85.1,2025-04-17T11:01:39.091Z,2025-04-17T11:01:43Z,bxamae8lo647u6k3kruigir8q,A. Sørensen,,,5657605425,212,12.2,5657605419,56,Left,5657605421,140,58.2,5657605423,141,81.2,5657605427,213,3.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802137681,21,1,1,1,21,dbl7ir1qugqz8nvp1vzn8im50,1,55.5,72.1,2025-04-17T11:01:43.787Z,2025-04-17T11:01:46Z,auk14ut8cwaqop549u2zmfgt1,N. Bürgy,,,5657605461,140,44.3,5657605467,213,4.17,5657605463,141,43.4,5657605459,56,Back,5657605465,212,22.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802137689,22,1,1,1,24,dbl7ir1qugqz8nvp1vzn8im50,1,44.3,43.4,2025-04-17T11:01:46.244Z,2025-04-17T11:01:48Z,dqtarwrqvkopmzbt2ovp2dln9,B. Paulsen,,,5657605511,213,4.95,5657605507,141,21.8,5657605505,140,47.7,5657605509,212,15.1,5657605503,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802137693,23,1,1,1,26,dbl7ir1qugqz8nvp1vzn8im50,1,48.5,18.6,2025-04-17T11:01:48.611Z,2025-04-17T11:01:50Z,1mml4inucvyomv1dcog3c1pt5,N. Mickelson,,,5657605545,140,65.6,5657605549,212,18.9,5657605543,56,Right,5657605547,141,10.0,5657605551,213,5.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802137695,24,3,1,1,28,dbl7ir1qugqz8nvp1vzn8im50,0,64.4,9.4,2025-04-17T11:01:50.426Z,2025-04-18T11:29:16Z,5wmik73cqursg7sv3w14ue5pm,L. Deedson,,,5657605557,286,,5657605591,233,16,5658820855,464,,5657605555,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802137701,16,7,1,1,28,b8oqgvx1ijeyn6y1cn6929ix4,1,35.6,90.6,2025-04-17T11:01:50.427Z,2025-04-18T11:30:29Z,4zpmxlmdfa5wx79cr0q14pfx1,M. Olsen,,,5658822277,384,,5657605581,56,Back,5657605587,233,24,5657605583,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802137707,17,1,1,1,30,b8oqgvx1ijeyn6y1cn6929ix4,0,35.8,83.9,2025-04-17T11:01:52.402Z,2025-04-17T12:22:06Z,8ewvm6ux4yvpwgrzjkc1chqwa,A. Nørager,,,5657605599,56,Back,5657606657,286,,5657606651,236,,5657605601,140,38.6,5657605607,213,1.19,5657605605,212,7.9,5657606653,233,25,5657605603,141,94.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802137703,25,74,1,1,30,dbl7ir1qugqz8nvp1vzn8im50,1,64.8,11.1,2025-04-17T11:01:52.403Z,2025-04-17T13:04:08Z,2z8u8kyv91shp0la8alkn6kus,M. Ejdum,,,5657606649,285,,5657606659,233,17,5657605595,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802137713,26,1,1,1,32,dbl7ir1qugqz8nvp1vzn8im50,0,57.0,8.6,2025-04-17T11:01:54.978Z,2025-04-18T11:30:45Z,1mml4inucvyomv1dcog3c1pt5,N. Mickelson,,,5657605639,140,89.9,5657605645,213,0.18,5657605643,212,35.1,5658822635,155,,5657605647,1,,5657605637,56,Right,5657605641,141,17.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802137719,18,12,1,1,35,b8oqgvx1ijeyn6y1cn6929ix4,1,14.8,81.7,2025-04-17T11:01:57.896Z,2025-04-17T11:02:00Z,b55jtl3ixolidn6cvc4t90efo,J. Vadstrup,,,5657605685,140,20.0,5657605689,212,14.8,5657605709,167,,5657605691,213,1.19,5657605687,141,100.0,5657605683,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802137721,19,5,1,1,36,b8oqgvx1ijeyn6y1cn6929ix4,0,18.2,102.0,2025-04-17T11:01:58.738Z,2025-04-17T13:12:07Z,b55jtl3ixolidn6cvc4t90efo,J. Vadstrup,,,5657605693,56,Back,5657605695,347,,5657605763,233,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802137727,27,5,1,1,36,dbl7ir1qugqz8nvp1vzn8im50,1,81.8,-2.0,2025-04-17T11:01:58.738Z,2025-04-17T13:12:06Z,1mml4inucvyomv1dcog3c1pt5,N. Mickelson,,,5657605755,233,19,5657605733,347,,5657605731,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802137743,28,1,1,1,41,dbl7ir1qugqz8nvp1vzn8im50,1,82.0,0.0,2025-04-17T11:02:04.042Z,2025-04-17T11:02:09Z,1mml4inucvyomv1dcog3c1pt5,N. Mickelson,,,5657605853,141,10.9,5657605855,212,20.7,5657605849,56,Right,5657605851,140,64.1,5657605847,107,,5657605857,213,2.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802137755,29,1,1,1,46,dbl7ir1qugqz8nvp1vzn8im50,1,61.2,22.2,2025-04-17T11:02:08.939Z,2025-04-17T11:02:14Z,dqtarwrqvkopmzbt2ovp2dln9,B. Paulsen,,,5657605917,140,44.3,5657605919,141,58.1,5657605921,212,30.2,5657605915,56,Back,5657605923,213,2.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802137767,30,1,1,1,51,dbl7ir1qugqz8nvp1vzn8im50,1,51.8,59.1,2025-04-17T11:02:13.979Z,2025-04-17T11:02:21Z,auk14ut8cwaqop549u2zmfgt1,N. Bürgy,,,5657606027,213,0.60,5657606021,140,83.6,5657606019,56,Left,5657606023,141,92.9,5657606017,155,,5657606029,1,,5657606025,212,40.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802137765,20,83,1,1,57,b8oqgvx1ijeyn6y1cn6929ix4,0,18.8,7.0,2025-04-17T11:02:19.808Z,2025-04-17T11:02:21Z,3xz0h3d6r2qgmv9egms8yaz56,C. Vestergaard,,,5657606035,399,5vwzliaibdlhfm38g8v5z0r8p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802137769,31,61,1,1,58,dbl7ir1qugqz8nvp1vzn8im50,0,80.5,93.9,2025-04-17T11:02:20.962Z,2025-04-17T11:02:21Z,5vwzliaibdlhfm38g8v5z0r8p,J. Grot,,,5657606033,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802137777,22,1,1,1,59,b8oqgvx1ijeyn6y1cn6929ix4,1,22.2,10.3,2025-04-17T11:02:21.600Z,2025-04-17T11:02:25Z,ekx0wotp433tuaw4g93nybjmc,S. Jalal,,,5657606083,213,2.50,5657606077,140,16.7,5657606079,141,16.7,5657606075,56,Back,5657606081,212,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802137787,23,1,1,2,2,b8oqgvx1ijeyn6y1cn6929ix4,1,16.7,16.7,2025-04-17T11:02:24.248Z,2025-04-18T11:31:37Z,9fvf8z6p8ok0n5vu999ysfywa,C. Jørgensen,,,5657606135,140,47.4,5657606139,212,32.6,5657606133,56,Back,5657606137,141,23.6,5657606141,213,0.14,5657606143,1,,5657606131,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802137789,24,44,1,2,3,b8oqgvx1ijeyn6y1cn6929ix4,1,43.2,26.1,2025-04-17T11:02:25.593Z,2025-04-17T13:04:40Z,9ircna8pbskreztmy1wiqwx9m,S. Yatéké,,,5657606147,56,Back,5657606151,233,32,5657606149,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802137779,32,44,1,2,3,dbl7ir1qugqz8nvp1vzn8im50,0,56.8,73.9,2025-04-17T11:02:25.594Z,2025-04-17T13:04:41Z,auk14ut8cwaqop549u2zmfgt1,N. Bürgy,,,5657606089,56,Center,5657606091,286,,5657606155,233,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802137791,25,1,1,2,3,b8oqgvx1ijeyn6y1cn6929ix4,1,47.4,23.6,2025-04-17T11:02:25.647Z,2025-04-17T12:23:02Z,9ircna8pbskreztmy1wiqwx9m,S. Yatéké,,,5657606163,140,39.8,5657606159,3,,5657606165,141,33.9,5657606169,213,2.42,5657606161,56,Back,5657606167,212,10.6,5657675351,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
