id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/13/value,qualifier/16/value,qualifier/15/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2787819443,7,5,1,0,10,f1h34qp5zbfl489q8vnkhiq9s,0,100.4,18.6,2025-03-14T18:01:15Z,2025-03-14T20:24:36Z,4jve632xnmqujh4ioaxpaovai,T. Freriks,,,5578971215,56,Right,5578972011,233,4,5578971217,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787819617,5,1,1,0,28,a9vw7ikerpr4cuweeeka5aneg,0,3.5,57.2,2025-03-14T18:01:33.281Z,2025-03-14T18:01:38Z,8uhv14rin2znrr0wqgvcc2f2t,M. Delač,,,5578972181,140,61.1,5578972185,212,61.0,5578972191,74,,5578972177,124,,5578972189,1,,5578972187,213,0.14,5578972183,141,69.3,5578972179,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787819635,8,1,1,0,34,f1h34qp5zbfl489q8vnkhiq9s,0,38.5,11.9,2025-03-14T18:01:39.746Z,2025-03-14T18:01:40Z,s8c0oxnoqt6zi7pi88rwawvd,J. Buus,,,5578972267,141,0.0,5578972263,56,Back,5578972269,212,13.7,5578972271,213,5.56,5578972265,140,48.3,5578972261,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787819661,6,5,1,0,35,a9vw7ikerpr4cuweeeka5aneg,1,52.7,101.6,2025-03-14T18:01:40.479Z,2025-03-14T20:24:37Z,8uhv14rin2znrr0wqgvcc2f2t,M. Delač,,,5578972373,347,,5578972383,233,9,5578972371,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787819639,9,5,1,0,35,f1h34qp5zbfl489q8vnkhiq9s,0,47.3,-1.6,2025-03-14T18:01:40.479Z,2025-03-14T20:24:37Z,s8c0oxnoqt6zi7pi88rwawvd,J. Buus,,,5578972291,56,Back,5578972401,233,6,5578972293,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787819681,7,1,1,0,38,a9vw7ikerpr4cuweeeka5aneg,1,54.3,100.0,2025-03-14T18:01:43.904Z,2025-03-14T18:01:46Z,bdz03qovxerzrv12lgljae1p0,C. Tapé,,,5578972467,56,Back,5578972473,212,21.2,5578972469,140,36.5,5578972471,141,87.2,5578972475,213,3.64,5578972465,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787819713,8,1,1,0,41,a9vw7ikerpr4cuweeeka5aneg,1,33.5,85.9,2025-03-14T18:01:46.432Z,2025-03-14T18:01:51Z,4i0jiisff5k1efcgf27skpqfo,F. Roslyng,,,5578972657,212,28.4,5578972653,140,9.8,5578972651,56,Back,5578972659,213,3.65,5578972655,141,65.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787819765,9,2,1,0,45,a9vw7ikerpr4cuweeeka5aneg,1,9.8,65.7,2025-03-14T18:01:50.905Z,2025-03-14T18:02:32Z,8uhv14rin2znrr0wqgvcc2f2t,M. Delač,,,5578972957,7,cqsc3mj8klukkgutdrpegybdg,5578972925,140,53.1,5578972961,56,Center,5578972959,1,,5578972927,141,45.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787819875,11,1,1,0,59,f1h34qp5zbfl489q8vnkhiq9s,1,37.7,62.0,2025-03-14T18:02:04.132Z,2025-03-14T18:02:07Z,c7buy99bjqmkmno8w5t0189d6,T. Stagaard,,,5578973471,213,4.73,5578973459,56,Back,5578973463,140,38.2,5578973467,141,25.9,5578973451,5,,5578973455,241,,5578973469,212,24.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787819903,12,1,1,1,2,f1h34qp5zbfl489q8vnkhiq9s,1,41.5,20.0,2025-03-14T18:02:07.691Z,2025-03-14T18:02:10Z,aqc0qritba195wf770gyd1149,A. Skipper,,,5578973589,56,Right,5578973597,213,5.94,5578973593,141,4.9,5578973595,212,30.6,5578973591,140,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787819931,13,1,1,1,5,f1h34qp5zbfl489q8vnkhiq9s,1,70.3,5.8,2025-03-14T18:02:10.060Z,2025-03-14T18:02:13Z,s8c0oxnoqt6zi7pi88rwawvd,J. Buus,,,5578973711,212,27.1,5578973705,56,Right,5578973707,140,94.8,5578973709,141,18.3,5578973713,213,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787819937,14,1,1,1,7,f1h34qp5zbfl489q8vnkhiq9s,0,94.8,18.3,2025-03-14T18:02:12.851Z,2025-03-14T18:02:14Z,15yli690oxmbr4dl1ksti2p9m,M. Maden,,,5578973789,236,,5578973739,141,23.7,5578973737,140,94.5,5578973741,212,3.7,5578973735,56,Center,5578973743,213,1.66,5578973791,233,10,5578973795,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787819945,10,74,1,1,7,a9vw7ikerpr4cuweeeka5aneg,1,7.8,71.7,2025-03-14T18:02:12.852Z,2025-03-14T20:12:26Z,4i0jiisff5k1efcgf27skpqfo,F. Roslyng,,,5578973777,56,Back,5578973797,233,14,5578973779,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787819977,15,1,1,1,12,f1h34qp5zbfl489q8vnkhiq9s,0,92.6,10.7,2025-03-14T18:02:17.155Z,2025-03-14T18:02:25Z,4mxciw9jsj9l437fd7bv78p91,J. Ankersen,,,5578973995,236,,5578973959,141,12.5,5578973957,140,92.6,5578973961,212,1.2,5578973951,2,,5578973963,213,1.57,5578973955,56,Right,5578974001,286,,5578973997,233,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787819985,11,12,1,1,12,a9vw7ikerpr4cuweeeka5aneg,1,10.5,82.1,2025-03-14T18:02:17.255Z,2025-03-14T18:02:18Z,9dh7cnu4uzbraeck0t5iqlj4k,A. Herdonsson,,,5578973983,185,,5578973985,56,Back,5578974045,233,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787819997,12,6,1,1,14,a9vw7ikerpr4cuweeeka5aneg,0,9.4,84.2,2025-03-14T18:02:19.137Z,2025-03-14T18:02:25Z,9dh7cnu4uzbraeck0t5iqlj4k,A. Herdonsson,,,5578974103,73,,5578974171,233,16,5578974101,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787820001,16,6,1,1,14,f1h34qp5zbfl489q8vnkhiq9s,1,90.6,15.8,2025-03-14T18:02:19.137Z,2025-03-14T20:12:09Z,4mxciw9jsj9l437fd7bv78p91,J. Ankersen,,,5578974147,56,Right,5578974157,233,12,5578974149,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787820307,17,1,1,1,39,f1h34qp5zbfl489q8vnkhiq9s,0,99.5,0.5,2025-03-14T18:02:44.724Z,2025-03-14T20:57:11Z,s8c0oxnoqt6zi7pi88rwawvd,J. Buus,,,5578975685,6,,5578975695,141,89.0,5578975895,345,,5578975691,56,Left,5578975701,1,,5578975689,223,,5578975697,212,61.2,5578975693,140,89.1,5578975687,155,,5578975683,2,5578975699,213,1.75,,,,,,,,,,,,,,,,,,,,,,
2787820403,14,1,1,1,47,a9vw7ikerpr4cuweeeka5aneg,1,12.2,12.5,2025-03-14T18:02:52.024Z,2025-03-14T18:02:59Z,6k7khwtkxpem9z17bl5rrf2p6,E. Frederiksen,,,5578976149,140,40.6,5578976153,212,29.9,5578976147,56,Back,5578976151,141,10.1,5578976155,213,6.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787820411,15,3,1,1,54,a9vw7ikerpr4cuweeeka5aneg,0,83.6,11.8,2025-03-14T18:02:59.673Z,2025-03-14T20:25:23Z,cqsc3mj8klukkgutdrpegybdg,K. Karikari,,,5578976175,286,,5578976173,56,Right,5578976289,233,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787820439,18,7,1,1,54,f1h34qp5zbfl489q8vnkhiq9s,1,16.4,88.2,2025-03-14T18:02:59.674Z,2025-03-14T20:25:22Z,4mxciw9jsj9l437fd7bv78p91,J. Ankersen,,,5578976271,233,15,5578976251,285,,5578976249,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787820467,20,1,1,1,57,f1h34qp5zbfl489q8vnkhiq9s,1,23.1,90.5,2025-03-14T18:03:02.179Z,2025-03-14T18:03:04Z,4mxciw9jsj9l437fd7bv78p91,J. Ankersen,,,5578976391,213,0.11,5578976387,141,93.5,5578976383,56,Back,5578976385,140,40.1,5578976389,212,18.0,5578976381,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787820473,21,1,1,1,59,f1h34qp5zbfl489q8vnkhiq9s,0,39.0,93.8,2025-03-14T18:03:04.483Z,2025-03-14T18:03:05Z,1se7wkenvs4elrapvdw9mdnje,L. Montano,,,5578976421,141,96.2,5578976417,56,Back,5578976425,213,0.29,5578976419,140,44.2,5578976423,212,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787820499,16,61,1,2,1,a9vw7ikerpr4cuweeeka5aneg,1,72.0,7.3,2025-03-14T18:03:06.938Z,2025-03-14T18:07:06Z,6k7khwtkxpem9z17bl5rrf2p6,E. Frederiksen,,,5578976543,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787820509,17,5,1,2,2,a9vw7ikerpr4cuweeeka5aneg,0,69.2,-1.2,2025-03-14T18:03:07.907Z,2025-03-14T20:24:37Z,a6ymx4wkrn260rtpb360nsiqd,M. Kallesøe,,,5578976591,56,Right,5578976593,347,,5578977201,233,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787820619,22,5,1,2,2,f1h34qp5zbfl489q8vnkhiq9s,1,30.8,101.2,2025-03-14T18:03:07.907Z,2025-03-14T18:07:25Z,1se7wkenvs4elrapvdw9mdnje,L. Montano,,,5578977161,347,,5578977181,233,17,5578977159,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787820649,23,1,1,2,14,f1h34qp5zbfl489q8vnkhiq9s,1,39.4,100.0,2025-03-14T18:03:19.683Z,2025-03-14T18:03:22Z,1se7wkenvs4elrapvdw9mdnje,L. Montano,,,5578977295,56,Back,5578977299,141,77.8,5578977303,213,5.01,5578977301,212,17.0,5578977293,107,,5578977297,140,44.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787820657,24,4,1,2,17,f1h34qp5zbfl489q8vnkhiq9s,1,43.4,72.8,2025-03-14T18:03:22.027Z,2025-03-14T20:38:56Z,4jve632xnmqujh4ioaxpaovai,T. Freriks,,,5578977369,286,,5578977365,152,,5578977361,13,,5578979035,189,,5578977367,265,,5578977363,56,Back,5578977443,233,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787820661,18,4,1,2,17,a9vw7ikerpr4cuweeeka5aneg,0,56.6,27.2,2025-03-14T18:03:22.028Z,2025-03-14T21:27:57Z,dfxs5u8rdcxhzp33aks3acdn8,K. Lusavec,,,5578977561,189,,5578977425,285,,5578977421,152,,5578977417,13,,5578977459,233,24,5578977423,265,,5578977419,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787820675,25,1,1,2,18,f1h34qp5zbfl489q8vnkhiq9s,1,44.1,77.8,2025-03-14T18:03:23.532Z,2025-03-14T20:57:15Z,ate1ymumg2iwzn8uyyf3ts222,A. Lausen,,,5578977475,141,46.0,5578977471,56,Back,5578977479,213,4.86,5578977467,5,,5578977469,152,,5578977477,212,21.9,5578977473,140,47.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787820681,26,1,1,2,19,f1h34qp5zbfl489q8vnkhiq9s,1,47.2,45.8,2025-03-14T18:03:24.699Z,2025-03-14T18:03:25Z,15yli690oxmbr4dl1ksti2p9m,M. Maden,,,5578977499,56,Back,5578977503,141,52.8,5578977507,213,2.21,5578977505,212,6.0,5578977501,140,43.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787820707,27,1,1,2,20,f1h34qp5zbfl489q8vnkhiq9s,1,44.2,52.8,2025-03-14T18:03:25.491Z,2025-03-14T18:03:27Z,bmkwmf5f2ssnw2cq7uga7yd5g,A. Troelsen,,,5578977661,212,14.8,5578977657,140,40.1,5578977659,141,31.9,5578977655,56,Back,5578977663,213,4.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787820767,28,1,1,2,22,f1h34qp5zbfl489q8vnkhiq9s,1,40.0,31.8,2025-03-14T18:03:27.147Z,2025-03-14T18:03:33Z,aqc0qritba195wf770gyd1149,A. Skipper,,,5578978023,56,Back,5578978027,141,66.1,5578978029,212,23.6,5578978025,140,36.8,5578978031,213,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787820803,29,1,1,2,29,f1h34qp5zbfl489q8vnkhiq9s,1,42.2,81.4,2025-03-14T18:03:34.220Z,2025-03-14T18:03:36Z,c7buy99bjqmkmno8w5t0189d6,T. Stagaard,,,5578978177,56,Back,5578978197,1,,5578978187,212,35.7,5578978183,141,29.5,5578978191,213,4.57,5578978179,140,37.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787820839,30,1,1,2,31,f1h34qp5zbfl489q8vnkhiq9s,1,37.3,29.5,2025-03-14T18:03:36.259Z,2025-03-14T18:03:39Z,aqc0qritba195wf770gyd1149,A. Skipper,,,5578978421,140,80.2,5578978425,212,47.6,5578978419,56,Right,5578978427,213,5.95,5578978423,141,6.8,5578978417,155,,5578978429,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787820855,31,1,1,2,34,f1h34qp5zbfl489q8vnkhiq9s,1,80.2,6.8,2025-03-14T18:03:39.515Z,2025-03-14T18:03:42Z,s8c0oxnoqt6zi7pi88rwawvd,J. Buus,,,5578978507,212,11.0,5578978503,140,89.9,5578978505,141,13.1,5578978509,213,0.40,5578978501,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787820861,32,1,1,2,36,f1h34qp5zbfl489q8vnkhiq9s,0,89.9,13.1,2025-03-14T18:03:41.924Z,2025-03-14T18:03:43Z,15yli690oxmbr4dl1ksti2p9m,M. Maden,,,5578978573,56,Center,5578978577,141,41.8,5578978575,140,95.2,5578978581,212,20.3,5578978585,213,1.29,5578978565,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787821043,20,1,1,2,44,a9vw7ikerpr4cuweeeka5aneg,1,9.8,54.9,2025-03-14T18:03:49.808Z,2025-03-14T18:03:58Z,8uhv14rin2znrr0wqgvcc2f2t,M. Delač,,,5578979529,123,,5578979531,56,Back,5578979535,141,68.2,5578979539,213,0.50,5578979533,140,25.6,5578979537,212,18.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787821099,21,1,1,2,53,a9vw7ikerpr4cuweeeka5aneg,1,33.9,62.7,2025-03-14T18:03:58Z,2025-03-14T18:04:01Z,9dh7cnu4uzbraeck0t5iqlj4k,A. Herdonsson,,,5578979749,141,38.5,5578979745,56,Back,5578979751,212,16.6,5578979747,140,32.1,5578979753,213,4.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787821133,22,1,1,2,56,a9vw7ikerpr4cuweeeka5aneg,1,32.2,38.3,2025-03-14T18:04:01.608Z,2025-03-14T18:04:04Z,dfxs5u8rdcxhzp33aks3acdn8,K. Lusavec,,,5578979961,213,5.26,5578979947,56,Back,5578979955,141,11.0,5578979959,212,21.8,5578979951,140,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787821155,23,1,1,2,59,a9vw7ikerpr4cuweeeka5aneg,1,41.0,10.9,2025-03-14T18:04:04.632Z,2025-03-14T18:04:06Z,a6ymx4wkrn260rtpb360nsiqd,M. Kallesøe,,,5578980115,213,2.67,5578980111,141,20.0,5578980107,56,Back,5578980109,140,29.3,5578980113,212,13.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787821217,24,1,1,3,1,a9vw7ikerpr4cuweeeka5aneg,1,29.3,20.0,2025-03-14T18:04:06.769Z,2025-03-14T18:04:12Z,5lu7bn7uec3zjqpoi1x81gbu1,S. Hausner,,,5578980377,140,11.6,5578980381,212,24.7,5578980383,213,2.42,5578980375,56,Back,5578980379,141,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787821241,25,1,1,3,7,a9vw7ikerpr4cuweeeka5aneg,0,13.1,50.6,2025-03-14T18:04:12.497Z,2025-03-14T18:04:15Z,8uhv14rin2znrr0wqgvcc2f2t,M. Delač,,,5578980507,141,73.8,5578980503,56,Center,5578980509,212,53.6,5578980511,213,0.30,5578980515,1,,5578980505,140,61.9,5578980501,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787821297,33,1,1,3,10,f1h34qp5zbfl489q8vnkhiq9s,1,41.3,25.3,2025-03-14T18:04:15.555Z,2025-03-14T18:04:18Z,s8c0oxnoqt6zi7pi88rwawvd,J. Buus,,,5578980755,212,27.9,5578980751,140,60.9,5578980749,56,Center,5578980757,213,0.74,5578980753,141,53.0,5578980747,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787821301,34,1,1,3,13,f1h34qp5zbfl489q8vnkhiq9s,0,61.2,52.7,2025-03-14T18:04:18.787Z,2025-03-14T18:04:19Z,9n2nm6smh0txgv2482qbwhixg,J. Beck,,,5578980781,212,8.1,5578980773,3,,5578980777,140,62.3,5578980783,213,4.86,5578980775,56,Center,5578980779,141,40.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787821323,26,1,1,3,15,a9vw7ikerpr4cuweeeka5aneg,0,35.7,56.3,2025-03-14T18:04:20.152Z,2025-03-14T18:04:21Z,9dh7cnu4uzbraeck0t5iqlj4k,A. Herdonsson,,,5578980897,56,Center,5578980899,140,65.1,5578980905,213,5.84,5578980901,141,34.8,5578980903,212,34.2,5578980907,1,,5578980895,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787821333,35,1,1,3,16,f1h34qp5zbfl489q8vnkhiq9s,0,38.4,66.9,2025-03-14T18:04:21.923Z,2025-03-14T18:04:22Z,c7buy99bjqmkmno8w5t0189d6,T. Stagaard,,,5578980939,3,,5578980957,212,25.7,5578980961,213,5.56,5578980945,140,56.8,5578980951,141,41.9,5578980941,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
