id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/8/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/12/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/14/value,qualifier/15/value
2701841395,3,1,1,0,21,7gkglopz9cjsysn2u6sbhuvc5,1,38.1,87.1,2024-07-19T17:00:21.754Z,2024-07-19T17:00:25Z,bvw5oc4c040ey5dt5wn0choiy,G. Mortensen,,,5109071419,140,49.0,5109071417,56,Back,5109071423,212,12.2,5109071425,213,5.93,5109071415,3,,5109071421,141,80.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2701841399,4,1,1,0,25,7gkglopz9cjsysn2u6sbhuvc5,0,49.0,80.8,2024-07-19T17:00:25.342Z,2024-07-19T17:27:22Z,9nafz0c0x2qvmo5ldm0djmcq1,M. Kaastrup,,,5109071449,140,61.0,5109071447,56,Center,5109071453,212,13.3,5109071445,168,,5109071451,141,74.4,5109071443,3,,5109071455,213,5.95,,,,,,,,,,,,,,,,,,,,,,,,,,,
2701841397,9,1,1,0,25,bd4qakf7j0wwie8wke9km7uj8,0,44.2,25.0,2024-07-19T17:00:26.104Z,2024-07-19T18:01:09Z,bwozpgcm48s08t1glxfgjajmd,N. Halse,,,5109071433,56,Center,5109071435,140,61.7,5109071441,213,0.23,5109071431,3,,5109071437,141,31.2,5109071439,212,18.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2701841401,5,1,1,0,27,7gkglopz9cjsysn2u6sbhuvc5,0,42.3,66.1,2024-07-19T17:00:27.675Z,2024-07-19T17:00:29Z,18vvlxsaoloypja4fdddj687o,O. Jebali,,,5109071505,141,77.0,5109071499,157,,5109071503,140,72.9,5109071501,56,Center,5109071509,213,0.23,5109071507,212,33.0,5109071511,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2701841403,10,1,1,0,29,bd4qakf7j0wwie8wke9km7uj8,1,33.7,22.1,2024-07-19T17:00:30.128Z,2024-07-19T17:00:32Z,99tm7b6ux9s4qocz0y4pcahas,V. Montell,,,5109071527,213,1.61,5109071521,140,32.9,5109071525,212,21.2,5109071523,141,53.3,5109071519,56,Back,5109071517,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2701841405,11,1,1,0,32,bd4qakf7j0wwie8wke9km7uj8,0,32.8,53.1,2024-07-19T17:00:32.272Z,2024-07-19T17:00:33Z,aejgqvdw1jftxaa538kaa15w4,O. Juul,,,5109071537,141,30.9,5109071539,212,26.1,5109071531,157,,5109071541,213,5.67,5109071543,1,,5109071535,140,53.1,5109071533,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,
2701841411,6,1,1,0,34,7gkglopz9cjsysn2u6sbhuvc5,1,48.7,77.3,2024-07-19T17:00:34.550Z,2024-07-19T17:00:38Z,18vvlxsaoloypja4fdddj687o,O. Jebali,,,5109071553,3,,5109071563,213,0.43,5109071555,56,Left,5109071557,140,65.5,5109071559,141,89.1,5109071561,212,19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2701841413,12,43,1,0,37,bd4qakf7j0wwie8wke9km7uj8,1,0.0,0.0,2024-07-19T17:00:37.423Z,2024-07-19T17:26:17Z,duvhbifjh37mvlm46akiy431m,M. Juhl,,,5109116597,144,7,5109071567,56,Back,5109071569,285,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2701841419,7,4,1,0,40,7gkglopz9cjsysn2u6sbhuvc5,1,68.7,89.6,2024-07-19T17:00:40.446Z,2024-07-19T17:27:54Z,9nafz0c0x2qvmo5ldm0djmcq1,M. Kaastrup,,,5109071603,56,Left,5109071615,233,13,5109071605,152,,5109071601,13,,5109071609,286,,5109071607,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2701841415,13,4,1,0,40,bd4qakf7j0wwie8wke9km7uj8,0,31.3,10.4,2024-07-19T17:00:40.447Z,2024-07-19T17:00:42Z,duvhbifjh37mvlm46akiy431m,M. Juhl,,,5109071581,152,,5109071585,285,,5109071577,13,,5109071579,56,Back,5109071583,265,,5109071619,233,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2701841485,8,1,1,0,54,7gkglopz9cjsysn2u6sbhuvc5,1,69.0,90.3,2024-07-19T17:00:55.136Z,2024-07-19T17:01:16Z,11cna826ls27ahux2w0ckapqt,K. Kusk,1.0,,5109071903,5,,5109072189,210,13,5109071915,212,14.7,5109071905,152,,5109071909,140,79.7,5109071907,56,Center,5109071919,213,5.58,5109071911,141,76.4,,,,,,,,,,,,,,,,,,,,,,,,
2701841489,9,13,1,0,59,7gkglopz9cjsysn2u6sbhuvc5,1,83.3,74.1,2024-07-19T17:00:59.690Z,2024-07-19T19:01:38Z,139g7ilwvcpl519v3scnweg2d,L. Jensen,,,5109072195,29,,5109072193,81,,5109071995,20,,5109072207,230,98.4,5109072201,102,30.1,5109071933,56,Center,5109071931,64,,5109072203,103,59.7,5109072205,215,5109072197,55,8,5109072191,24,5109072209,231,52.9,,,,,,,,,,,,,,
2701841499,10,5,1,1,1,7gkglopz9cjsysn2u6sbhuvc5,0,100.8,38.2,2024-07-19T17:01:02.026Z,2024-07-19T17:01:07Z,139g7ilwvcpl519v3scnweg2d,L. Jensen,,,5109071969,56,Center,5109071971,346,,5109072059,233,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2701841509,14,5,1,1,1,bd4qakf7j0wwie8wke9km7uj8,1,-0.8,61.8,2024-07-19T17:01:02.026Z,2024-07-19T17:09:15Z,8r9iqig43yjty7l1oq6yg73mc,M. Brylov,,,5109072051,56,Back,5109072055,233,10,5109072053,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2701841555,15,1,1,1,18,bd4qakf7j0wwie8wke9km7uj8,1,3.7,53.3,2024-07-19T17:01:19.216Z,2024-07-19T17:26:47Z,8r9iqig43yjty7l1oq6yg73mc,M. Brylov,,,5109072307,213,4.74,5109072301,140,4.1,5109072311,237,,5109072305,212,17.4,5109072297,124,,5109072299,56,Back,5109072303,141,27.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
2701841565,16,1,1,1,23,bd4qakf7j0wwie8wke9km7uj8,0,6.3,29.5,2024-07-19T17:01:23.329Z,2024-07-19T17:01:25Z,99tm7b6ux9s4qocz0y4pcahas,V. Montell,,,5109072365,212,38.3,5109072363,141,23.9,5109072357,157,,5109072359,56,Back,5109072361,140,42.6,5109072369,1,,5109072367,213,6.18,,,,,,,,,,,,,,,,,,,,,,,,,,,
2701841585,11,1,1,1,26,7gkglopz9cjsysn2u6sbhuvc5,1,54.4,70.3,2024-07-19T17:01:26.599Z,2024-07-19T17:01:29Z,bvw5oc4c040ey5dt5wn0choiy,G. Mortensen,,,5109072463,3,,5109072473,213,4.97,5109072469,141,34.0,5109072467,140,60.7,5109072471,212,25.6,5109072465,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2701841597,12,1,1,1,29,7gkglopz9cjsysn2u6sbhuvc5,1,60.7,34.0,2024-07-19T17:01:29.656Z,2024-07-19T17:01:32Z,duahzgqspyuy2gu31u3s8ky96,M. Lassen,,,5109072551,213,6.17,5109072543,56,Center,5109072549,212,7.9,5109072547,141,32.7,5109072545,140,68.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2701841607,14,1,1,1,32,7gkglopz9cjsysn2u6sbhuvc5,1,68.2,32.7,2024-07-19T17:01:32.557Z,2024-07-19T17:01:34Z,139g7ilwvcpl519v3scnweg2d,L. Jensen,,,5109072601,56,Center,5109072609,213,3.00,5109072607,212,10.6,5109072605,141,34.9,5109072603,140,58.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2701841613,15,1,1,1,33,7gkglopz9cjsysn2u6sbhuvc5,1,58.4,34.8,2024-07-19T17:01:34.043Z,2024-07-19T17:01:37Z,a7eramyy1bd8msxmg84ctc8ut,A. Simon Okosun,,,5109072633,56,Right,5109072635,140,86.0,5109072643,1,,5109072641,213,5.74,5109072639,212,33.9,5109072631,155,,5109072637,141,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
2701841619,16,1,1,1,35,7gkglopz9cjsysn2u6sbhuvc5,0,87.5,8.9,2024-07-19T17:01:35.896Z,2024-07-19T18:01:05Z,duahzgqspyuy2gu31u3s8ky96,M. Lassen,,,5109072663,213,1.48,5109072655,56,Center,5109072659,141,40.4,5109072651,2,,5109072657,140,89.3,5109072661,212,21.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2701841637,17,12,1,1,36,bd4qakf7j0wwie8wke9km7uj8,1,9.6,63.6,2024-07-19T17:01:36.832Z,2024-07-19T17:29:27Z,81c40rn7lrb39qu0sam8kv6dw,O. Skolnik,,,5109072745,212,32.1,5109072747,213,0.95,5109072741,140,27.4,5109072743,141,100.0,5109072739,56,Back,5109072767,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2701841633,17,5,1,1,39,7gkglopz9cjsysn2u6sbhuvc5,1,75.0,-2.0,2024-07-19T17:01:39.830Z,2024-07-19T17:01:43Z,duahzgqspyuy2gu31u3s8ky96,M. Lassen,,,5109072713,56,Right,5109072769,233,18,5109072715,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2701841641,18,5,1,1,39,bd4qakf7j0wwie8wke9km7uj8,0,25.0,102.0,2024-07-19T17:01:39.830Z,2024-07-19T17:09:15Z,81c40rn7lrb39qu0sam8kv6dw,O. Skolnik,,,5109072765,347,,5109072773,233,17,5109072763,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2701841683,18,1,1,1,48,7gkglopz9cjsysn2u6sbhuvc5,1,78.5,0.0,2024-07-19T17:01:48.505Z,2024-07-19T17:01:50Z,duahzgqspyuy2gu31u3s8ky96,M. Lassen,,,5109072985,140,85.5,5109072983,56,Right,5109072981,107,,5109072987,141,5.8,5109072989,212,9.1,5109072991,213,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2701841697,19,1,1,1,50,7gkglopz9cjsysn2u6sbhuvc5,1,85.5,5.8,2024-07-19T17:01:50.490Z,2024-07-19T17:01:53Z,7j35sfip0xb51mpa91wzikrh0,O. Øhlenschlæger,,,5109073047,140,76.4,5109073055,212,9.6,5109073043,56,Right,5109073059,213,3.26,5109073051,141,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2701841713,20,1,1,1,53,7gkglopz9cjsysn2u6sbhuvc5,1,76.3,4.3,2024-07-19T17:01:53.462Z,2024-07-19T17:01:55Z,duahzgqspyuy2gu31u3s8ky96,M. Lassen,,,5109073141,155,,5109073149,212,11.5,5109073147,141,7.7,5109073145,140,87.0,5109073151,213,0.20,5109073143,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2701841715,21,3,1,1,53,7gkglopz9cjsysn2u6sbhuvc5,0,84.8,8.3,2024-07-19T17:01:53.758Z,2024-07-19T17:01:56Z,7j35sfip0xb51mpa91wzikrh0,O. Øhlenschlæger,,,5109073175,233,19,5109073155,56,Right,5109073157,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2701841705,19,7,1,1,53,bd4qakf7j0wwie8wke9km7uj8,1,15.2,91.7,2024-07-19T17:01:53.759Z,2024-07-19T17:31:05Z,aejgqvdw1jftxaa538kaa15w4,O. Juul,,,5109073171,233,21,5109073115,56,Back,5109073107,167,,5109073117,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2701841709,20,5,1,1,54,bd4qakf7j0wwie8wke9km7uj8,0,13.3,102.0,2024-07-19T17:01:54.624Z,2024-07-19T17:01:58Z,aejgqvdw1jftxaa538kaa15w4,O. Juul,,,5109073135,56,Back,5109073229,233,22,5109073137,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2701841721,22,5,1,1,54,7gkglopz9cjsysn2u6sbhuvc5,1,86.7,-2.0,2024-07-19T17:01:54.624Z,2024-07-19T17:09:15Z,7j35sfip0xb51mpa91wzikrh0,O. Øhlenschlæger,,,5109073191,56,Right,5109073193,347,,5109073205,233,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2701841761,23,1,1,2,5,7gkglopz9cjsysn2u6sbhuvc5,1,87.1,0.0,2024-07-19T17:02:05.573Z,2024-07-19T17:02:06Z,duahzgqspyuy2gu31u3s8ky96,M. Lassen,,,5109073453,213,1.50,5109073445,56,Right,5109073447,140,87.5,5109073449,141,6.8,5109073443,107,,5109073451,212,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2701841773,24,1,1,2,6,7gkglopz9cjsysn2u6sbhuvc5,1,87.4,6.8,2024-07-19T17:02:06.826Z,2024-07-19T17:02:08Z,11cna826ls27ahux2w0ckapqt,K. Kusk,,,5109073505,140,89.0,5109073509,212,3.7,5109073507,141,1.9,5109073511,213,5.18,5109073503,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2701841779,25,1,1,2,8,7gkglopz9cjsysn2u6sbhuvc5,1,89.0,1.9,2024-07-19T17:02:08.566Z,2024-07-19T17:02:10Z,duahzgqspyuy2gu31u3s8ky96,M. Lassen,,,5109073533,212,11.1,5109073535,213,2.85,5109073529,140,78.9,5109073527,56,Right,5109073531,141,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2701841783,26,1,1,2,9,7gkglopz9cjsysn2u6sbhuvc5,0,79.2,6.5,2024-07-19T17:02:10.044Z,2024-07-19T17:02:12Z,11cna826ls27ahux2w0ckapqt,K. Kusk,,,5109073553,2,,5109073585,236,,5109073563,212,4.6,5109073565,213,0.91,5109073587,233,21,5109073557,56,Right,5109073559,140,81.9,5109073591,286,,5109073561,141,,,,,,,,,11.9,,,,,,,,,,,,,
2701841787,21,12,1,2,9,bd4qakf7j0wwie8wke9km7uj8,1,15.4,85.6,2024-07-19T17:02:10.144Z,2024-07-19T17:31:32Z,4rhxehi019n7z1z1m7a39w1sk,K. Nyegaard,,,5109073583,56,Back,5109073595,233,26,5109073581,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2701841797,22,12,1,2,14,bd4qakf7j0wwie8wke9km7uj8,1,12.1,64.3,2024-07-19T17:02:14.784Z,2024-07-19T17:31:29Z,81c40rn7lrb39qu0sam8kv6dw,O. Skolnik,,,5109073639,56,Back,5109073643,141,57.9,5109073661,15,,5109073645,212,20.1,5109073641,140,30.8,5109073647,213,6.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2701841809,24,1,1,2,16,bd4qakf7j0wwie8wke9km7uj8,0,31.1,54.3,2024-07-19T17:02:16.559Z,2024-07-19T17:31:46Z,1el3mu4rgcx8tebrawgfvynf8,S. Baskaya,,,5109073699,56,Center,5109073703,141,31.6,5109073705,212,30.4,5109073701,140,56.0,5109073707,213,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2701841813,27,61,1,2,17,7gkglopz9cjsysn2u6sbhuvc5,0,37.4,65.8,2024-07-19T17:02:18.154Z,2024-07-19T17:02:18Z,bvw5oc4c040ey5dt5wn0choiy,G. Mortensen,,,5109073723,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2701841839,28,83,1,2,19,7gkglopz9cjsysn2u6sbhuvc5,0,38.5,62.3,2024-07-19T17:02:19.471Z,2024-07-19T17:14:12Z,bvw5oc4c040ey5dt5wn0choiy,G. Mortensen,,,5109095515,399,7pnxa8wzxx5qxevcckxdd62tx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2701841829,25,61,1,2,20,bd4qakf7j0wwie8wke9km7uj8,1,58.6,33.7,2024-07-19T17:02:20.505Z,2024-07-19T17:02:20Z,7pnxa8wzxx5qxevcckxdd62tx,E. Nielsen,,,5109073803,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2701841865,26,1,1,2,21,bd4qakf7j0wwie8wke9km7uj8,1,63.3,50.7,2024-07-19T17:02:21.952Z,2024-07-19T17:02:34Z,1el3mu4rgcx8tebrawgfvynf8,S. Baskaya,1.0,,5109074011,212,19.6,5109074007,140,78.4,5109074009,141,67.6,5109074265,210,15,5109074013,213,0.63,5109074005,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2701841867,27,15,1,2,24,bd4qakf7j0wwie8wke9km7uj8,1,86.5,63.7,2024-07-19T17:02:25.072Z,2024-07-19T17:02:35Z,7h02v4ymnko5fh01iylbh34es,R. Arabaci,,,5109074287,29,,5109074305,230,98.1,5109074299,147,58.5,5109074309,231,54.5,5109074293,102,50.3,5109074023,56,Center,5109074295,103,19,5109074289,55,26,5109074021,64,5109074189,82,,5109074335,233,5109074297,146,91.7,,29,5109074185,72,5109074285,78,5109074183,23,,,,,,
2701841873,29,10,1,2,24,7gkglopz9cjsysn2u6sbhuvc5,1,8.3,41.5,2024-07-19T17:02:25.172Z,2024-07-19T17:02:35Z,18vvlxsaoloypja4fdddj687o,O. Jebali,,,5109074047,94,,5109074343,233,27,5109074049,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2701841899,28,5,1,2,27,bd4qakf7j0wwie8wke9km7uj8,1,94.6,101.4,2024-07-19T17:02:27.471Z,2024-07-19T17:02:31Z,7h02v4ymnko5fh01iylbh34es,R. Arabaci,,,5109074161,347,,5109074199,233,30,5109074159,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2701841885,30,5,1,2,27,7gkglopz9cjsysn2u6sbhuvc5,0,5.4,-1.4,2024-07-19T17:02:27.471Z,2024-07-19T17:09:16Z,18vvlxsaoloypja4fdddj687o,O. Jebali,,,5109074101,347,,5109074099,56,Back,5109074203,233,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2701841941,29,1,1,2,43,bd4qakf7j0wwie8wke9km7uj8,1,94.6,100.0,2024-07-19T17:02:43.254Z,2024-07-19T17:33:15Z,aejgqvdw1jftxaa538kaa15w4,O. Juul,,,5109074531,140,92.4,5109074537,213,4.48,5109074525,107,,5109074527,56,Left,5109074535,212,9.9,5109074533,141,87.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2701841945,30,1,1,2,45,bd4qakf7j0wwie8wke9km7uj8,0,92.3,87.5,2024-07-19T17:02:45.855Z,2024-07-19T17:02:46Z,7h02v4ymnko5fh01iylbh34es,R. Arabaci,,,5109074589,212,22.7,5109074581,155,,5109074587,141,54.2,5109074591,213,4.74,5109074585,140,92.9,5109074579,2,,5109074583,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,
2701841947,31,12,1,2,46,7gkglopz9cjsysn2u6sbhuvc5,1,9.5,45.4,2024-07-19T17:02:47.013Z,2024-07-19T17:02:49Z,18vvlxsaoloypja4fdddj687o,O. Jebali,,,5109074619,212,25.1,5109074617,141,31.0,5109074621,213,5.88,5109074627,15,,5109074613,56,Back,5109074615,140,31.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
